"参考资料"	"侯精一、毛玉玲《昆明话音档》"
"ʂ"	"①尸诗豉（豆～）施②饬食蚀识适释石时鲥湿十什（～物）拾实失室③矢豕屎史驶使始④示视嗜市试式饰是氏侍适（合～）"
"ʐ"	"②日肏"
""	"i"
"p"	"①屄②鼻笔毕必弼逼碧壁③彼比④闭箅（～子）弊币毙陛避"
"pʰ"	"①披批匹（布～）②皮疲琵匹僻辟霹脾③痹（麻～）鄙庇匹（～夫）④屁"
"m"	"①咪眯②泌蜜密弥觅迷靡糜谜③米④谜（文）"
"t"	"①低②的（目～）滴笛敌狄籴③底抵④帝弟第递隶"
"tʰ"	"①梯剔②题提堤啼蹄踢涕嚏③体④替屉"
"n"	"②倪尼泥呢溺匿暱逆③礼你女④腻"
"l"	"②黎犁梨篱璃力厘历栗驴律率（效～）③里理鲤李旅④丽离例厉励荔利莉痢吏虑滤"
"tɕ"	"①鸡稽几（～乎）机饥肌基姬羁居车（～马炮）拘驹疽②缉辑集及级汲吸给（供～）疾吉即戟屐积籍鲫稷棘极绩寂击激橘局侷菊③挤几（～何己纪）举矩④祭际济荠计继系（～鞋带）季技妓寄记忌既冀据锯巨钜拒距遽聚具俱句惧矩剧"
"tɕʰ"	"①妻凄悽溪欺期骑蛆区驱趋②齐脐蛴奇岐祁耆鳍其棋旗祈七漆膝乞迄吃戚渠瞿屈③启岂起杞取娶④砌契企器弃气汽去（文）趣"
"ɕ"	"①西栖犀兮奚牺嘻嬉禧熙希稀虚嘘墟樨须鬚需荽②习袭悉息熄媳隙昔惜席夕锡析婿膝徐蓄恤③洗喜蟢（～子）屣许④细系係戏序叙绪絮"
"零"	"①衣依医伊淤迂②宜谊仪蚁移易夷姨胰懿疑怡贻一乙逸抑弋益亦译缢郁鱼渔于吁盂於余馀愚虞娱郁域狱裕浴③椅以拟已矣尾（又）迤语与雨宇禹羽屿④意异肄翼毅亿忆艺呓诣瞖义议熠宜（便～）御誉预豫遇寓芋俞榆愉渝愈喻玉"
""	"u"
"p"	"③哺捕补④不布佈怖步埠（商～）部簿阜（又）"
"pʰ"	"①铺（～设）②仆朴扑蒲脯菩勃卜瀑曝讣③普谱甫④铺（店～）"
"m"	"②模（～子）目穆牧木沐③母拇④墓（又）"
"f"	"①夫肤敷俘（～虏）②扶符复弗拂彿佛③府俯腑腐辅斧抚釜④付赋附傅赴父富副妇负阜埠"
"t"	"①都②笃督毒独读牍③堵赌肚（～子）④妬蠹杜肚（腹～）度踱渡镀"
"tʰ"	"①□（温～）②徒屠途图突秃③土吐（～痰）④吐（呕～）兔"
"n"	"②奴③努④怒"
"l"	"①噜（香～～）②卢芦炉庐（茅～）鹿禄绿③鲁橹滷虏④路赂露"
"k"	"①姑辜孤②骨谷③古估（～计）盬（～子）贾（商～）股鼓④故固雇顾"
"kʰ"	"①枯箍②哭瓠（～芦）窟酷③苦④库裤"
"x"	"①呼乎②胡蝴湖狐壶忽③虎浒（水～）④户沪互护"
"ts"	"①租②卒足築③祖组诅④助"
"tsʰ"	"①粗初②锄猝族雏蹴③楚础④醋"
"s"	"①苏酥梳疏蔬②续速③数（动词）④素诉嗉数（名词）"
"ʈʂ"	"①诸猪朱株珠铢茱②竹竺筑烛逐祝粥触③煮主嘱④柱驻注住铸著苧（～麻）箸（筷子）"
"ʈʂʰ"	"①□（～出来）②除出厨③储褚（姓）杵暑薯鼠处（～理）④处（住～）"
"ʂ"	"①书舒枢输殊②术述秫黍赎熟③曙④墅署豎戍数（名词）庶恕漱"
"ʐ"	"①擩（～进去）②如入肉（白）③汝乳儒④辱（悔～）"
"零"	"①乌坞钨污巫诬②吾梧吴蜈无毋勿物屋③五伍午舞武鹉侮④误悟恶（可～）务雾"
""	"ɛ"
"p"	"①□（脚～了）③摆④拜败稗"
"pʰ"	"②排（文）牌③排（白）④派"
"m"	"②埋③买④卖迈"
"t"	"①呆（文）③歹逮④戴带待怠殆代袋贷大（～夫）"
"tʰ"	"①胎②台苔抬④态太泰"
"n"	"①奶③乃奶（牛～）④耐奈"
"l"	"②来③□（～在上面）④赖癞"
"k"	"①揩偕稭（麦～）该阶皆街③改解（讲～）④盖丐概介芥疥界尬届戒械"
"kʰ"	"①开揩③凯恺楷④溉慨"
"x"	"①嗨□（～大的）②孩偕谐鞋还（～有）③海蟹④亥骇解（姓）懈害"
"ts"	"①灾栽③宰④载再在"
"tsʰ"	"①猜②才财材裁③彩採睬④菜蔡"
"s"	"①腮④赛"
"ʈʂ"	"①斋④债寨"
"ʈʂʰ"	"①差（出～）钗②柴豺③踩"
"ʂ"	"①筛（～子）④晒"
"零"	"①哀唉②埃挨崖岩呆（白）③矮④碍艾爱霭蔼隘"
""	"uɛ"
"ʈʂ"	"③跩（大～～）"
"ʈʂʰ"	"①揣（～在口袋）③揣（～摩）④踹"
"ʂ"	"①衰摔③甩④帅率（统～）"
"k"	"①乖③拐④怪"
"kʰ"	"③块蒯④会（～计）刽快筷"
"x"	"②怀槐淮④坏"
"零"	"①歪③崴④外"
""	"əi"
"p"	"①杯背卑碑禆俾婢悲篦（～麻子）④贝敝蔽辈背倍臂被备"
"pʰ"	"①胚（～胎）坯（土～）披批②培陪赔裴③呸④沛配佩譬辔"
"m"	"②梅枚玫媒煤眉楣媚没（～有）③每美④妹昧谜（白）寐没（～有，又）"
"f"	"①非飞妃菲②肥③匪④废肺吠痱（～子）沸费"
"ts"	"②贼"
"零"	"②欸③欸"
""	"uəi"
"t"	"①堆④对队碓兑"
"tʰ"	"①推②颓③腿④退"
"n"	"③馁④内"
"l"	"②雷③儡馁累（～积）垒④累（劳～）类泪"
"k"	"①圭闺规龟归③诡轨晷鬼④瑰鳜桂跪癸柜贵"
"kʰ"	"①盔亏窥②魁奎逵夔葵揆③傀④溃愧"
"x"	"①灰诙恢麾挥辉徽②回③悔毁④会（开～）绘晦汇慧彗惠秽讳卉荟贿"
"ts"	"③嘴④最罪（点～）醉"
"tsʰ"	"①崔催④脆翠悴粹"
"s"	"①虽（文）尿（白）②随髓④碎岁遂隧穗"
"ʈʂ"	"①追锥④赘坠缀"
"ʈʂʰ"	"①吹炊②槌垂锤"
"ʂ"	"②谁③水④税睡"
"ʐ"	"③蕊④锐睿瑞"
"零"	"①煨巍威②危桅为（作～）帷维惟唯围违微薇③委餧伟苇纬尾④卫为（～哪样）伪位遗魏未味胃蝟谓畏慰"
""	"ʌo"
"p"	"①包胞③保褒堡宝饱④报抱铇雹暴爆豹"
"pʰ"	"①抛泡②袍刨③跑④炮泡（又）"
"m"	"①猫②毛矛茅锚谋③卯亩（白）某（白）牡④冒帽貌"
"t"	"①刀叨（唠～）③祷岛倒（打～）④到倒（～水）道稻盗导"
"tʰ"	"①滔掏涛②桃逃陶萄淘③讨④套"
"n"	"②挠铙③脑④闹"
"l"	"①捞（～出来）②劳捞（打～）唠牢③老④涝"
"k"	"①高膏羔糕铰（白）③稿搞搅（白）④告窖（白）"
"kʰ"	"①敲③考烤④靠犒"
"x"	"①蒿薅②豪毫号（呼～）③好（～坏）④浩好（喜～）耗号（～数）"
"ts"	"①遭糟召③早枣蚤澡④躁灶皂造"
"tsʰ"	"①操②曹巢③草騲炒吵④造噪燥譟"
"s"	"①骚臊③扫（～地）嫂④扫（～帚）"
"ʈʂ"	"①召招昭朝（～阳）②着（～了）③找爪（～牙，～子）④罩照"
"ʈʂʰ"	"①抄钞②朝（～着）潮③吵炒④耖"
"ʂ"	"①梢捎稍②韶苕③少（多～）④少（～年）邵绍潲（～水）"
"ʐ"	"②饶挠（又）③扰绕（围～）④绕（～圈）"
"零"	"①爊（～白菜）②熬③袄④傲奥懊拗（脾气～）"
""	"iʌo"
"p"	"①膘（肥～）标彪③表錶"
"pʰ"	"①飘②瓢③漂（～白）④票漂（～亮）"
"m"	"①喵瞄②苗描③藐渺秒④妙庙谬（文）"
"t"	"①刁雕貂③屌④钓吊掉调（～动）"
"tʰ"	"①挑②条调（～和）③调（～头）④跳粜"
"n"	"③鸟④尿"
"l"	"①撩②燎療聊辽撩瞭③了（～结）④寥廖料"
"tɕ"	"①交郊铰（文）胶教（～书）焦椒骄娇浇②嚼（～筋）③绞狡搅剿矫缴④教（～育）校（～对）较窖觉（～觉）轿叫窍"
"tɕʰ"	"①锹跷悄②樵瞧乔桥荞憔③巧④鞘（刀～）诮"
"ɕ"	"①消霄宵硝销嚣萧箫骁②淆肴③小晓④孝酵肴餚淆校（学～）效笑"
"零"	"①妖邀要（～求）腰幺夭②摇谣窑姚尧③咬舀（～水）杳④要（重～）耀"
""	"əu"
"m"	"②牟眸谋③某冇④茂贸"
"f"	"②浮③否④埠"
"t"	"①兜③斗抖陡④斗（～争）豆逗荳"
"tʰ"	"①偷②头投③□（～散）④透"
"n"	"④耨"
"l"	"②楼③搂篓④漏陋"
"k"	"①勾钩沟③狗苟④垢彀（往上～）够构购媾"
"kʰ"	"①抠③口④叩（文，～头）扣寇蔻"
"x"	"①齁②侯喉猴③吼④后厚候"
"ts"	"①邹③走④奏"
"tsʰ"	"①搊②愁④凑"
"s"	"①搜飕馊蒐②宿③叟④嗽（咳～）瘦"
"ʈʂ"	"①周舟州洲③肘帚④昼纣宙皱绉骤咒"
"ʈʂʰ"	"①抽②绸稠筹雠酬仇③丑瞅④臭（香～）"
"ʂ"	"①收③手首守④兽受授售寿"
"ʐ"	"②柔揉蹂④肉"
"零"	"①区（姓）欧讴殴③藕偶呕（～吐）④沤（久浸于水中）怄（～气）"
""	"iəu"
"m"	"④谬"
"t"	"①丢"
"n"	"②牛③纽扭④拗（～紧）"
"l"	"①溜②流硫琉刘留榴③柳④瘤榴"
"tɕ"	"①揪鸠阄（拈～）③酒九久韭灸④就救究舅臼咎旧柩"
"tɕʰ"	"①秋丘②囚求球仇（姓）酋"
"ɕ"	"①修羞休③朽④秀锈绣袖嗅（用鼻～）"
"零"	"①忧优悠幽②尤邮由油游犹③有友酉莠④诱又右祐柚釉幼黝"
""	"iu"
"tɕ"	"②掬鞠"
"tɕʰ"	"②曲屈掘"
"ɕ"	"②畜蓄戌"
"零"	"②育欲浴域郁狱"
""	"ã "
"p"	"①班斑颁扳般搬邦帮浜（一条～）③板版绑榜谤④扮瓣办半伴绊棒蚌傍"
"pʰ"	"①攀潘肨（～臭）②盘磐胮庞旁傍③膀（整～皮）④盼袢（纽～）判叛胖"
"m"	"①䊟䐽（～嘟嘟）②蛮瞒馒忙芒茫③满莽④曼慢漫幔"
"f"	"①番藩翻方芳②凡帆梵烦繁樊妨肪房防③反仿纺彷访④范犯泛饭贩放"
"t"	"①担（～任）丹单（～独）当③胆党掸（～尘）④担（～子）谈诞旦但惮弹（子～）蛋荡宕当（～掉）"
"tʰ"	"①贪滩摊汤膛②谭谈痰檀壇弹（～琴）堂螳唐糖塘坛昙③毯坦倘躺忐④探炭叹烫趟"
"n"	"②南楠男难（～易）③攮④难（患～）"
"l"	"②兰拦栏婪蓝篮囊郎螂廊狼朗③览揽榄缆懒琅漤④滥烂浪澜"
"k"	"①甘柑泔（～水）尴（～尬）干肝竿（竹～）干（～湿）冈刚纲钢岗缸肛③感敢橄桿擀赶港④干（树～）杠"
"kʰ"	"①堪勘嵌（白）看（～守）刊康糠龛②扛③坎瞰侃槛④看抗炕瞰阚"
"x"	"①酣鼾憨夯②含函涵邯寒韩行（～列）航杭③喊罕④撼旱焊捍汗汉项（白）巷"
"ts"	"①簪脏（肮～）赃臧③攒趱④赞葬脏（内～）藏（西～）"
"tsʰ"	"①参餐汆仓苍伧②蚕惭残藏（～好）③惨④灿"
"s"	"①三桑丧（婚～）③散（鞋带～了）嗓④散（～会）丧（～失）"
"ʈʂ"	"①张章樟漳沾粘占瞻氈②肠场长（～短）③盏展长（生～）④暂站佔蘸绽栈战颤溅（白)丈仗杖帐账胀障"
"ʈʂʰ"	"①搀昌猖②蝉禅缠谗馋常尝裳③产铲谄厂敞④忏倡（提～）唱怅畅"
"ʂ"	"①山珊删膻杉衫商伤③陕闪赏偿晌④讪疝扇搧善膳擅单（姓）禅（～让）赡上尚"
"ʐ"	"②然燃瓤③染冉壤攘嚷釀④让"
"零"	"①庵淹安鞍肮②昂④谙暗岸按案"
""	"uã"
"t"	"①端③短④断段锻缎"
"tʰ"	"①湍②团"
"n"	"③暖"
"l"	"②栾滦挛孪鸾③卵④乱"
"k"	"①官关观（参～）冠（衣～）鳏光③管馆广④贯惯罐灌观（道～）冠（～军）逛"
"kʰ"	"①宽匡框②狂③款④旷矿况"
"x"	"①欢荒慌②桓还（～原）环黄皇蝗③缓谎恍幌④唤换焕幻患宦"
"ts"	"①钻④钻"
"tsʰ"	"①汆蹿④篡纂串窜"
"s"	"①酸④算蒜"
"ʈʂ"	"①专砖庄桩装妆③转（～车）④转（～过去）状壮赚撰篆传（～记）撞"
"ʈʂʰ"	"①川钏穿疮窗②船传（～达）椽床③喘闯撞（又）④串创"
"ʂ"	"①闩栓霜孀双③爽④涮"
"ʐ"	"③软阮"
"零"	"①弯湾豌汪②完丸纨玩顽王亡忘③皖宛碗腕惋婉晚挽往枉网④万望忘妄旺"
""	"iã"
"n"	"①娘（姑～）孃（二～）②娘（新～）④酿"
"l"	"②良粮梁粱凉量（～长短）③两辆④亮量（数～）谅"
"tɕ"	"①将（～来）浆疆薑僵姜江③将奖桨讲④酱将（大～）匠降（下～）犟"
"tɕʰ"	"①枪羌腔戕②墙强（～弱）③抢强（勉～）④呛炝"
"ɕ"	"①相（～互）箱厢襄镶香乡②详祥降（～服）③想享响④象像向项（文）巷相（～貌）"
"零"	"①央秧殃②羊洋阳杨扬③仰养痒④样恙漾"
""	"iᴇ̃"
"p"	"①鞭边编③贬扁匾蝙④辩辨辫变汴便（方～）"
"pʰ"	"①篇偏②便（～宜）骈④骗片"
"m"	"②绵棉眠③免勉娩缅④面麵"
"t"	"①滇颠巅掂③点典碘④佃甸店电殿奠佃垫"
"tʰ"	"①添天②甜田填③忝舔"
"n"	"①拈②黏鲇年③碾辇撵撚④念"
"l"	"②廉镰连联怜莲帘③脸④练炼恋殓敛"
"tɕ"	"①监尖兼间（文，房～）奸姦煎肩坚艰绢捐涓③检捡简柬拣谏剪茧涧捲（～起）④鉴舰渐剑间（～断）践件箭溅贱荐见圈（猪～）卷倦眷券"
"tɕʰ"	"①歼（～灭）签佥纤谦迁笺千牵铅圈（圆～）②潜钳乾（～坤）虔嵌全痊泉权拳鬈③浅遣犬④欠歉劝"
"ɕ"	"①暹嫌仙鲜先宣喧②衔咸鹹闲涎贤弦旋镟眩悬玄③显险癣选④陷馅限苋现线羡县楦"
"零"	"①淹（文）阉醃焉蔫研烟燕（～京）冤渊②盐炎阎严颜延筵俨檐芫员圆园元缘沿原源袁辕援垣③掩眼演兖远④验厌靥（酒～）艳砚焰酽雁晏谚宴燕（～子）嚥院愿怨"
""	"ə̃"
"p"	"①奔③本苯④笨"
"pʰ"	"①喷烹②盆彭朋④喷（香～～）"
"m"	"①闷（～着）②门④闷（沉～）"
"f"	"①分芬纷吩②坟焚汾③粉④愤粪奋忿份氛"
"t"	"①登灯蹬③等④凳邓瞪"
"tʰ"	"①熥②腾誊藤疼③□（说话打～）④□（时间～的太长了）"
"n"	"②能"
"l"	"②楞（～角）③冷④楞（～住）睖"
"k"	"①跟根更（～换）庚羮耕③亘哽粳耿④更（～加）亘"
"kʰ"	"①坑③恳垦肯"
"x"	"①哼②痕恒衡③很④恨杏（白）"
"ts"	"①曾（姓）增赠僧争筝睁③怎④憎"
"tsʰ"	"①撑参（～差）②曾（～经）层岑③碜④蹭衬"
"s"	"①森僧生笙牲甥③省"
"ʈʂ"	"①针斟珍榛臻真贞③枕诊疹④镇阵振震正政症朕郑圳"
"ʈʂʰ"	"②沉陈尘臣辰娠澄橙娠成城乘承丞骋③惩逞④趁"
"ʂ"	"①琛深森参（人～）身申伸②神晨③审婶沈④甚葚渗肾慎圣盛剩胜蜃"
"ʐ"	"①扔②壬任（姓）人仁仍③刃忍韧④任（责～）妊认"
"零"	"①恩④硬"
""	"uə̃"
"t"	"①蹲敦墩③盹④饨（馄～）盾遁顿钝"
"tʰ"	"①吞饨（又）②屯囤豚臀④褪（～下来）蜕（～皮）"
"n"	"④嫩"
"l"	"②伦仑沦轮④论囵"
"k"	"③滚④棍"
"kʰ"	"①昆崑坤②□（～鸡蛋）③捆④困"
"x"	"①昏婚荤晕②魂馄（～饨）横④混"
"ts"	"①尊遵"
"tsʰ"	"①村皴②存③忖④寸"
"s"	"①孙③损笋"
"ʈʂ"	"①谆肫③准"
"ʈʂʰ"	"①春椿③蠢"
"ʂ"	"②唇纯淳绳③瞬④顺舜"
"ʐ"	"④闰润"
"零"	"①温瘟②文蚊纹闻雯③稳吻刎紊④问"
""	"ĩ"
"p"	"①彬宾槟殡鬓冰兵傧③禀丙柄秉饼并（合～）④病并（～且）"
"pʰ"	"①拼姘②贫频凭平评萍瓶屏③品④聘"
"m"	"②明盟萌鸣名茗铭冥螟民③闽悯闵敏泯皿④命"
"t"	"①丁钉靪疔③顶鼎④钉（～住）订定锭"
"tʰ"	"①听汀厅②亭停廷庭蜓（蜻～）③艇挺④听（探～）"
"n"	"②宁柠泞凝③拧④佞"
"l"	"①拎②林淋临邻鳞燐陵凌菱零铃灵伶③凛廪领岭④赁吝令"
"tɕ"	"①今金禁（～不住）襟津巾斤筋京鲸荆精睛（眼～）晶旌经矜均钧君军③锦紧仅谨景警井颈④禁（～止）进晋尽劲近竞兢茎敬静净径侭俊竣窘菌郡竟境镜"
"tɕʰ"	"①侵浸钦亲卿青清蜻轻倾②琴禽擒秦勤芹擎情晴群裙琼③寝请顷④亲（～家）庆磬"
"ɕ"	"①心辛新薪欣兴（～旺）星腥馨炘昕薰熏勋②行形型刑旬殉荀询循巡③省（反～）醒④信汛迅衅兴（高～）杏幸性姓讯训"
"零"	"①音阴荫窨因姻殷英鹰莺婴樱鹦缨晕②淫银寅蝇迎盈赢萤营茔荧吟龈匀云耘芸郧③饮引影颖隐允尹陨④印应映运韵熨孕"
""	"oŋ"
"p"	"①崩④迸"
"pʰ"	"②棚蓬篷③捧④碰"
"m"	"①蒙（～人）②蒙（～古）朦濛③猛懵④孟梦"
"f"	"①风枫疯丰封峰蜂锋②冯缝（～衣服）逢③讽④凤缝（一条～）奉俸"
"t"	"①东冬③董懂④冻栋动洞"
"tʰ"	"①通②同桐筒铜童瞳③桶捅统④痛"
"n"	"②农浓侬脓"
"l"	"①聋②龙笼隆③陇陇垅④弄"
"k"	"①公工攻功弓宫躬恭供③汞拱（～手）④贡共供（～养）"
"kʰ"	"①空（～虚）③孔恐④控空（～缺）"
"x"	"①轰揈烘（～干）②弘宏洪红虹鸿泓③轰（又）哄（～骗）④閧"
"ts"	"①宗棕综鬃③总④粽纵"
"tsʰ"	"①聪葱囱②从丛④冲（～鼻子）"
"s"	"①松鬆嵩②㞞③耸④送宋诵颂讼"
"ʈʂ"	"①中（当～）忠盅钟鍾终③冢④重（轻～）种（～树）仲众中（射～）"
"ʈʂʰ"	"①充冲舂②重（～复）虫③宠④铳"
"ʐ"	"②戎绒茸③冗"
"零"	"①翁嗡④瓮"
""	"ioŋ"
"tɕ"	"③炯迥"
"tɕʰ"	"②穷穹"
"ɕ"	"①兄胸凶②熊雄"
"零"	"①雍拥庸镛②融容荣③甬勇涌永④用佣咏詠泳"
