	注释：-白读，=文读
p	[1]碑悲卑背{～柴}[2]牌排筏-肥-[3]摆=[5]吠沸-痱-[6]避□{踩}
pʰ	[1]批披胚坯丕□{削}[3]杮{柴～，细木片，原文作“庀”}[5]沛啡{唾}
m	[1]□{粘上}[3]买[6]卖𣍐{不会，不能}昧
f	[1]飞=菲妃诽绯非挥辉徽晖珲[2]肥=[3]匪翡[5]废费
v	[1]威喂[2]违围唯为{人～}伪惟[3]委伟苇纬韪[5]畏[8]位为慰谓胃
t	[1]低[2]堤提题蹄啼池-[3]底抵贮-{装}[5]帝[6]第递弟隶
tʰ	[1]□{削}[3]体[5]替剃□{稗子}
n	[1]奶{乳汁}[2]泥-[3]奶{伯母}
l	[1]勒[2]离篱璃黎蛎[3]礼[6]丽荔励詈{骂}
ts	[1]知支脂肢芝[2]齐[3]紫[5]际济祭制剂挤漈[6]□{乱插手}
tsʰ	[1]妻凄萋[3]□{累计}[5]刺-□{搓}
s	[1]西犀施嘶[2]匙□{多}穧{多}[3]洗徙玺髓[5]细世试势啻{伓～，不止}[6]誓逝氏嗜豉{豆～}
k	[1]街鸡稽羁[3]解{～开}[5]计继疥
kʰ	[1]溪[3]启□{啃}[5]快-去{～年}契
h	[2]兮携[3]□{瞪眼，斜眼，原文作“盻”}[5]戏肺[6]蟹係{关～}
∅	[2]鞋移[3]矮椅[6]易-
#əy	
t	[1]蛛[2]厨[5]着{穿}[6]队坠颓着{燃烧}□{路}墿{路}
tʰ	[1]推[3]□{鼎～：锅铲，原文作“抒”}
n	[3]馁[5]□{揣}
l	[1]□{跌}[3]缕累垒儡{傀～}[5]□{用掌打}[6]类泪□{积累}
ts	[1]株珠诛朱[3]主[5]注铸著最赘借-
tsʰ	[1]吹炊初-{～八}[3]□{倒，注}[5]尺-粟-{稻谷}戍{房子，原文作“处”}厝{房子，原文作“处”}[6]蓆{草～}
s	[1]鬚-{胡～}梳-蔬-输[2]谁[3]暑曙[5]岁税隧黍□{抚摸}[6]锐石-睡
k	[1]驹闺[2]茄[5]句桂
kʰ	[5]去
ŋ	[6]箬-{叶子}
h	[1]靴嘘{威胁}虚{做事蛮撞}
∅	[6]卫慧惠彗
#aŋ	
p	[2]平-坪-[5]柄-[6]病-叛
pʰ	[1]攀潘[2]澎彭膨
m	[1]□{跨}[2]盲暝-{～光头，夜间；晚饭}馒蛮{～讲}[6]曼蔓谩漫慢={怠～}
f	[1]翻藩帆番幡欢[2]横烦繁凡矾钒[3]反[5]贩涣焕唤痪[6]患范犯饭=
v	[1]湾弯[2]环衡桓[3]晚挽缓皖豌宛腕婉碗[6]万换幻
t	[1]单丹耽睁□{睁}担{～水}[2]澹{湿}□{湿}谈坛檀痰弹{～性}[3]胆[5]旦但蛋担诞□{吵架}[6]惮郑-弹{子～}淡{冷～}
tʰ	[1]贪坍撑摊滩[2]潭坛[3]坦毯[5]探叹碳炭牚{斜撑}□{斜撑}
n	[2]男南楠难[3]揽{抱}[5]□{使力}
l	[2]兰栏拦蓝篮林-{柴～：树林}[3]榄缆揽灡{唾液}□{唾液}懒览[6]滥烂
ts	[1]簪挣争睁[2]惭残[3]盏斩崭井-[5]蘸赞[6]栈站暂
tsʰ	[1]参餐搀蜻-青-{～菜}[3]惨醒-产铲[5]忏灿
s	[1]三山叁杉衫生牲珊删疝[2]晴-谗馋[3]省伞甚散{茶～}[5]姓-散{～开}[6]蕈{蘑菇}散{雨～了}
k	[1]甘柑泔艰监更{三更}干竿杆肝尴羹间={中～}[2]衔寒-[3]赶简杆{称～}秆敢橄㔶{盖子}监{太～}鉴谏哽[5]涧锏[6]汗
kʰ	[1]坑刊勘堪看{～守}[3]坎砍侃[5]舰嵌磡看{～见}
h	[1]酣鼾蚶[2]邯含寒=韩罕咸{～阳}函[3]□{谷物虚空}[5]汉喊[6]翰
ŋ	[2]岩颜癌[6]硬岸雁
∅	[1]安鞍□{烧菜}[3]饮-{米汤}[5]暗按案晏[6]旱焊馅陷
#əŋ	
p	[2]蓬篷冯棚□{～尘，灰尘}缝-{～衣}[5]放-粪-[6]□{棵}
pʰ	[1]蜂-[3]捧
m	[2]蒙濛檬朦蠓{～囝，蚊子}[3]懵[5]问-[6]梦闷焖
f	[1]分=枫纷芬风疯封丰蜂=峰锋烽烘[2]坟逢云-[3]粉讽[5]奋[6]份愤忿汾奉氛凤缝={裁～}
v	[1]翁嗡蓊□{埋}[2]文闻紊纹汶雯红洪宏鸿[3]吻刎稳□{捆扎}[5]瓮问={～题}揾{蘸}□{慢煮}[6]混□{无烟慢烧}
t	[1]东冬咚氡中-[2]同铜筒彤桐峒潼童[3]董懂[5]冻栋蝀{石～：棘胸蛙}[6]动洞重-
tʰ	[1]窗-通[2]虫[3]桶捅统[5]痛
n	[2]农脓侬{人}[5]□{软}
l	[2]聋隆聋龙胧砻笼胧咙{喉～}[3]拢陇垄垅弄{柴～}[6]弄{调～}
ts	[1]中终钟忠盅衷综宗踪棕鬃[2]从丛[3]总肿种{～子}[5]粽众种{～菜}纵[6]仲重={～量}
tsʰ	[1]匆聪葱囱充冲憧舂[5]铳
s	[1]崧嵩双鬆{～开}[2]崇绒戎茸松{～柴：松树}[5]宋送[6]讼诵颂𢱤{推}
k	[1]工公功攻供-[3]巩[5]贡汞[6]共-
kʰ	[1]空[3]孔恐[5]控□{远扔}[6]虹
#õ	
p	[1]帮邦[2]旁庞彷滂螃[3]榜绑膀[5]膀谤[6]傍棒蚌
m	[2]忙盲芒亡茫氓虻莽漭硭蟒[3]网惘罔莽□{～走～远}
f	[1]方坊妨肪枋芳荒慌谎[2]房防坊[3]访仿纺[5]放=
v	[1]汪[2]黄皇簧惶煌蝗磺王还{～有}[3]枉往[6]旺望妄忘
t	[1]端敦墩当驐{阉割}[2]臀唐堂塘棠搪膛溏谭团肠长-{索忒～}[3]党挡[5]档裆当{上～}顿-{一～饭}[6]段断锻煅缎椴宕丈荡{～雨：下雨}
tʰ	[1]汤吞[2]糖[3]倘躺趟[5]烫
n	[2]囊囔攮[3]暖[6]嫩酿
l	[2]朗狼郎琅廊啷螂晾[3]朗{明～}[6]卵论浪乱
ts	[1]尊遵樽臧脏赃装庄桩妆[2]存藏{隐～}[3]纂□{堵，塞}[5]钻撰葬壮[6]状藏{西～}
tsʰ	[1]窗=创{～伤}沧舱伧疮仓苍村[2]床[3]忖[5]寸创窜篡
s	[1]孙桑丧{～事}酸霜孀[3]嗓磉爽损[5]漱算蒜丧{～失}
k	[1]刚钢纲缸肛江豇[2]□{架}[3]讲港[5]岗冈钢扛降{～落}□{上闩}
kʰ	[1]康慷糠[5]抗亢炕伉旷矿囥{藏}
h	[2]航杭痕降{投～}[5]□{那样}[6]项𥮕 {竹～}
ŋ	[2]昂戆{傻}[5]望{看}
∅	[1]秧央[2]行{银～}痕[6]巷
#ẽ	
p	[1]崩蹦[2]朋鹏硼爿{上～，上面}[3]版板扳{～转}[6]辨瓣办
pʰ	[1]烹
m	[2]盟萌[3]猛{～烈}[6]孟慢-{～囝：慢点}
t	[1]灯登瞪[2]填甜腾疼藤滕誊[3]碘典等点[5]店[6]邓□{门～，门槛，原文作“垫”}掂甸佃惦殿靛奠橂{硬实}□{炖的一种}□{途～，壁虎}簟{晒谷席子，粟～}苎
tʰ	[3]□{糟蹋}[5]舔
n	[2]能[8]念廿
l	[2]莲{～头，地名}[3]冷{～淡}[6]练炼楝
ts	[1]针增曾{姓}[2]层曾{～经}[3]剪[6]赠憎
tsʰ	[1]千呻{呻吟}[2]塍{田}[3]筅{鼎～，炊帚}
s	[1]生笙牲甥僧森参{人～}先-[2]前
k	[1]艰耕庚赓根跟更间-{房间}[2]咸悬-{高}[3]减柬茧拣[5]亘更{～好}
kʰ	[1]牵[3]犬垦恳啃肯[5]欠
h	[1]亨[2]恒衡行{～动}还{～债}[3]很苋杏[6]限恨幸□{发～，热气逼人}
ŋ	[3]眼[5]砚{～瓦}
∅	[1]恩行{没关系，无妨}
#aʔ	
p	[7]百=噗{吸，接吻}
f	[7]发=法豁{～拳}[8]罚
v	[7]挖[8]滑活猾划获伐乏或惑
m	[8]末沫袜陌
t	[7]答搭[8]达踏
tʰ	[7]獭塔塌榻
n	[8]纳呐钠捺衲
l	[8]蜡腊辣喇猎癞
ts	[7]扎札眨摘=[8]杂闸
tsʰ	[7]擦嚓察插
s	[7]霎杀萨煞
k	[7]鸽蛤荚峡甲胛狎匣葛
kʰ	[7]恰掐洽
h	[7]骇吓[8]核合盒
∅	[7]鸭压押辖
#oʔ	
p	[7]博剥驳搏泊薄=缚=
pʰ	[7]扑璞朴仆
m	[7]膜幕寞[8]莫
t	[7]琢啄掇{端}剟{剁}□{剁}[8]突铎夺
tʰ	[7]托脱拓
n	[8]诺
l	[7]□{套入}[8]落=洛骆烙络=乐{快～}捋
ts	[7]作
tsʰ	[7]措撮错=
s	[7]朔刷索=
k	[7]各阁觉角-郭
kʰ	[7]确壳廓扩霍{～乱}
h	[8]学=
ŋ	[8]鹤岳乐{～清，地名}
∅	[7]恶={善～}
#eʔ	
p	[7]北八柏伯把-[8]白=
pʰ	[7]迫拍=珀魄
m	[8]默墨麦=脉密-
t	[7]得德[8]特
tʰ	[7]忒贴帖匿{藏}□{烙，也引申为热气逼人}[8]叠沓
n	[7]□{凹，陷}[8]纳
l	[7]勒肋落{丢失}[8]粒
ts	[7]则汁责仄节-{时～}指{～头囝}[8]择泽宅=
tsʰ	[7]侧册=厕恻测策拆=[8]贼
s	[7]虱塞色涩瑟啬摄[8]十拾什煠{清水煮}□{蟑螂}
k	[7]格革隔䥛{镰～：镰刀，原文作“锲”}胳割[8]□{挤，原文作“轧”}夹{缝隙}
kʰ	[7]克刻客=咳乞{给，让}□{拾}□{～得，没关系，无妨}磕渴
h	[7]血黑喝
ŋ	[7]扼厄轭[8]逆额=
∅	[8]狭
#əʔ	
p	[7]不髪{头～}腹-{～肚：肚子}博[8]雹卜
m	[7]摸母{做tsəʔ2～侬：女人，妻子}[8]木沐目穆牧末物-{～事}
f	[7]复拂幅氟弗辐覆腹=福□{近扔}[8]佛伏袱
v	[7]握屋沃[8]物
t	[7]笃督竹筑□{～难，只，只有}[8]牍毒浊独
tʰ	[7]秃□{戳}[8]读
l	[7]□{淌水}[8]陆六麓碌鹿禄
ts	[7]嘱祝粥做[8]轴
tsʰ	[7]□{刺}
s	[7]瑟速肃宿束缩夙叔淑[8]熟族昨
k	[7]谷角-{鸡～：公鸡}□{～侬，谁，原文作“何”}[8]膈
kʰ	[7]哭酷
#i	
p	[1]卑[2]脾枇琵[3]比[5]秘闭痹篦毙[6]币蔽敝弊备婢被{～动}
pʰ	[1]□{烧菜时加酒等}[2]皮疲啤[3]彼鄙庇疕{干薄的表皮，原文作“庀”}[5]屁譬鼻
m	[1]微薇[2]眉楣媚迷谜弥靡糜[3]美米[5]咪{猫～}[6]未{～来}味□{浸}
t	[2]驰迟池[5]置志{蒲～：胎记}[6]地稚
tʰ	[1]□{贪～，贪便宜}[3]□{藻的一种}[5]涕滞{不流畅}
l	[2]梨[3]李里厘理鲤[6]利痢
tɕ	[1]□{～□pai213，女阴}[2]持迟=[3]姊旨指己籽子-{果核}趾止纸=□{这，原文作“者”}[5]智致至志[6]自-字治痔-视-{近～眼}
tɕʰ	[1]痴-黐{被粘上}[3]扯址[5]饲-{喂，～饭}伺-{挑逼}[6]市
ɕ	[1]牺尸丝诗稀希禧嘻嬉{玩}熙[2]时兹[3]矢始喜=死-[5]四泗肆[6]视=侍是
ȵ	[2]儿宜仪谊尼呢疑泥[3]饵耳={木～}尔你拟议蚁=[5]□{吸引}[6]义腻邑贰二毅艺
k	[1]肌基圾畸姬枝机箕饥=几{茶～}讥[2]其期骑奇棋旗祈祁耆麒[3]纪幾={～何}[5]记冀既[6]忌妓技
kʰ	[1]欺□{揭}[2] {蚂～，蚂蝗}□{抓}[3]喜{～鹊}齿起企岂[5]器弃汽气[6]柿
∅	[1]医衣=依□{□ȵiaŋ31□ȵiaŋ31～：蝉}[2]而怡贻姨夷[3]伊{他、她}以已[5]意亿忆[6]异肄又{训读}□{又}
#ɿ	
ts	[1]之资姿谘咨兹滋[2]慈磁□{揪}[3]组祖阻租子=[6]助自=
tsʰ	[1]粗初={～中}痴=雌[3]楚此础[5]醋刺=次
s	[1]苏酥{脆}梳=疏=蔬=思斯司私荽师=狮=[2]瓷词辞祠嗣[3]死=使=史驶[5]素诉塑数[6]寺伺=饲=士事=痔=仕侍恃祀
#ia	
p	[5]壁
pʰ	[2]□{人品坏}[5]破-[6]瀑
m	[2]麻-
t	[1]爹[5]摘-蛎{牡蛎}
tʰ	[5]拆-
l	[5]□{衣而不扣}
tɕ	[1]嗟遮[2]□{吓骂}[3]纸-姐{母亲}者[5]蔗脊柘隻{一～鞋}
tɕʰ	[1]车{火～}[2]斜-[3]且[5]赤-{～肉}刺-{～绒衣}□{溃疡}
ɕ	[1]赊些□{事情糟糕}[2]蛇邪斜=佘畲[3]舍写[5]泄泻卸[6]谢射社食-
ȵ	[1]搦{捉拿}□{咬}[3]蚁-□{聚集}蜒{～蚰，蜗牛}[6]额-{～头}外-惹{传染}
k	[2]瘸[5]寄-
kʰ	[5]崎{陡}徛{陡}[6]徛{站立}
∅	[1]椰[2]爷[3]野冶[6]夜
#iau	
ȵ	[1]□{眉头皱}[3]鸟{～类}
∅	[5]□{衣服皱，原文声调缺失，根据其他蛮讲推测可能为阴去}
#ieu	
p	[1]标彪膘骠镳鳔飙飚[3]表婊裱
pʰ	[1]漂{～流}飘剽[2]嫖瓢薸{原文作“莩”}[3]漂{～白}[5]票漂{～亮}
m	[1]猫[2]描瞄苗[3]秒渺缈邈淼邈缪杳藐牡[6]妙庙谬
t	[1]雕碉刁凋貂[2]条调{～味}[5]钓吊=掉{丢失}[6]调{对～}□{趟，次}
tʰ	[1]挑[3]挑{～选}[5]跳粜□{籴}
l	[1]撩{花俏，爱表现}[2]疗辽僚聊燎[3]了
tɕ	[1]浇蕉椒礁焦召沼诏昭招朝饺=[2]潮朝{～代}[3]少-[5]照[6]赵兆肇
tɕʰ	[1]超[5]笑-
ɕ	[1]消萧销硝霄嚣宵潇逍骁枭箫魈烧[2]韶[3]小晓少=[5]笑=鞘[6]绍邵
ȵ	[2]饶尧挠[6]尿-绕
k	[1]骄矫娇[2]桥乔侨荞□{个体农户的批发}[3]缴饺-{水～}[5]叫[6]轿
kʰ	[3]挢{撬}[5]翘跷
∅	[1]腰邀妖夭幺[2]摇遥姚谣窑[3]扰[5]要{～紧}[6]耀鹞
#iou	
t	[1]丢[2]绸橱{鸡～：鸡笼}[3]拄{抵，支撑，原文作“肘”}[6]粙{稻}
tʰ	[1]抽-□{玩耍}[2]丑-[6]柱-
l	[1]溜熘[2]流=刘留=瘤硫馏榴[3]柳□{触动}[5]溜{滑}
tɕ	[1]周洲州舟鸠[2]稠筹酬畴[3]酒肘□{等待}[5]咒[6]就纣宙昼=□{包圆}
tɕʰ	[1]秋湫鳅[3]帚手-□{赎}[5]臭𣗬树-[6]□{吃亏而不甘}
ɕ	[1]修休羞收[2]仇售泅{～潭：游泳}柔[3]手=首守朽[5]锈秀绣嗅兽[6]寿袖受授
ȵ	[1]扭妞[2]牛[3]纽钮[5]扭{摘}
k	[1]阄跔{蹲，介词“在”}纠[2]囚球求裘虬{缩小，卷曲}[3]九=久韭[5]灸究救[6]舅=咎旧=
kʰ	[1]丘蚯邱□{残缺}[3]□{曳}[5]糗{饭干硬}䊆{饭干硬}
∅	[1]优攸幽悠忧[2]尤游邮由油犹[3]友有=酉[5]幼[6]又诱右宥柚佑釉
#iaŋ	
p	[1]般班斑颁[2]搬盘盆[3]饼-[5]扮半□{倒，注}[6]拌{和，混}
pʰ	[3]饼{薄而圆之物，如岩～}[5]盼绊判[6]伴并{比较}
m	[2]名-蛮{野～}瞒[3]满
t	[2]庭-{三角～}[3]鼎{锅，原文作“鐤”}
tʰ	[1]厅-听-[5]欠{～头}
l	[2]□{剔除}[3]岭-领-{头～，头颈}
tɕ	[1]正-{～月}将{～来}[2]长={～短}□{亲～}[3]䭕{味淡}长={生～}[5]正-{～确}[6]丈杖=仗
tɕʰ	[2]成{食～，把剩余的吃完}[3]请-□{一种皮肤病}[5]□{指甲根部起的皮肉}
ɕ	[1]兄声-□{刺鼻}[2]成-城□{诱逼}[3]扇{一～门}
ȵ	[2]□{重～，罗嗦}□{～～□i213：蝉}[3]仰[5]□{吃个不停}[6]让□{斩}
k	[1]惊-[3]颈-[5]镜-
∅	[2]赢-□{全大～，大家}[3]影-映-
#iəŋ	
ɕ	[1]胸凶匈汹[2]凶熊雄
ȵ	[2]浓
k	[1]宫弓躬恭蚣[2]穷琼穹[3]炯迥拱[5]供={～销}[6]共={～产党}
kʰ	[1]倾顷[3]恐
∅	[1]拥庸佣臃雍壅[2]容溶荣冗融蓉茸咙{～喉}[3]永勇涌蛹踊甬俑泳[6]用
#iɪŋ	
p	[1]宾滨彬斌槟膑兵冰[2]频贫平=屏凭瓶苹坪=评枰萍[3]柄=丙秉禀饼=炳[5]并=殡奔柄=[6]病=
pʰ	[1]乒[3]品[5]拼姘聘拚
m	[2]名=明鸣民铭酩茗冥暝=盟眠[3]敏悯闵闽皿泯[5]面-{红～}[6]命={寿命}
t	[1]诊珍疹钉丁盯叮疔[2]停庭=亭霆婷蜓陈沉-尘-廷绳{跳～}[3]顶鼎{福～}等=[5]镇凳订圳[6]定=锭阵
tʰ	[1]厅=听=汀町[2]□{斟酒，原文作“盛”}[3]挺艇[5]趁-{赚钱}
ȵ	[2]宁狞咛凝
l	[1]□{刺}[2]林=临邻琳淋嶙鳞霖粼灵镰磷麟檩零凌陵伶铃羚聆菱苓棂翎[3]领=岭=凛[6]另令
k	[1]金今经径京惊=鲸衿荆襟[2]琴芹禽擒芩□{盖上}[3]紧谨景锦颈=警[5]劲茎境禁敬镜=[6]妗仅竟竞肾{胗，鸡～，原文作“肣”}
kʰ	[1]轻倾氢卿钦[3]肯=[5]庆磬
ŋ	[2]人迎壬吟妊[5]认任赁
ts	[1]真侦贞斟缜怔征帧蒸诤峥徵筝精睛晶[2]秦情呈程逞惩澄绳橙尘=沉=[3]井=枕整[5]正=振进晋震浸证甑症政[6]郑=尽净静
tsʰ	[1]清青=蜻=亲称蛏琛深[3]请=寝[5]侵称{～心}衬趁={～机}凊{凉，冷}
s	[1]新薪芯欣心身申伸声=升星腥鑫馨兴{～旺}娠{带～}辛[2]神辰晨臣承丞晴=成=城=诚型形型仍[3]迅审婶沈省{反省}惺醒=[5]信迅汛讯胜圣性姓=兴擤渗[6]剩乘盛=慎甚=肾
∅	[1]因阴音荫茵姻殷英樱婴鹰莺嘤瑛鹦罂缨{菜头～}[2]淫寅赢=盈人仁荧萤型楹[3]影=引隐颖颍饮=[5]应映=印茔
#iẽ	
p	[1]边编鞭煸[2]便{～宜}[3]贬匾扁[5]变遍[6]辨辩辫便{～利}
pʰ	[1]篇偏翩[5]骗片
m	[2]棉绵[3]免勉娩缅[6]麵{～条}
t	[1]颠巅癫[2]田缠[3]典碘[6]电淀
tʰ	[1]天添[3]䋎{动词“缝”}
l	[2]连莲=联帘镰=廉怜鲢[3]脸辇{打滚}[6]链恋
tɕ	[1]笺尖煎毡□{木灰制成的食用碱}□{挖}[2]钱[3]展践[5]占渐箭战荐溅[6]贱{卑～}
tɕʰ	[1]签迁纤迁歼鲜-[2]蚕潜寻{两手伸直的长度}[3]浅癣[5]□{头朝下跌下}
ɕ	[1]先={～生}仙鲜=膻[2]然燃贤禅嫌蝉[3]险陕显[5]线宪献扇=煽盐{腌制}[6]现善膳鳝单{姓}贱{易养，顽皮}
ȵ	[1]研粘拈{夹菜}[2]年言严儿{～婿}[3]染[5]□{瘾头，原文作阳去，可能有误}[6]验
k	[1]肩坚兼[2]乾虔墘{边沿}[3]检囝[5]见剑[6]健俭键
kʰ	[1]谦铅[2]钳[3]遣{赶走}[5]欠歉
∅	[1]湮焉烟蔫咽淹[2]沿延盐阎檐筵[3]掩魇演[5]厌燕□{比高}[6]炎焰艳宴
#iaʔ	
p	[8]跋
m	[7]抹
l	[8]略掠劣
tɕ	[7]□{溅}[8]着{睡～}□{～粟}撤
tɕʰ	[7]切□{淌}
ɕ	[7]削设闪[8]协芍勺杓若穴截侠
ȵ	[8]弱虐疟热
k	[7]脚
kʰ	[7]却雀怯鹊缺{器物破口}
∅	[7]约[8]药钥跃悦阅粤翼
#iɪʔ	
p	[7]笔毕必壁=臂璧碧鳖逼憋□{裂}
pʰ	[7]撇匹辟僻譬劈霹癖
m	[8]灭蔑篾幂蜜密=秘泌觅
