				编号	字头	汀角	东平洲
				64	翳		ŋɐi13
				65	冷	laŋ13{~：(天氣)冷}；laŋ55{~：毛線}	laŋ13{~：(天氣)冷}；laŋ15{~水：冷水}
				66	涼	liɔŋ11{~爽：(天氣)涼}；laŋ11{~乾：晾乾}	liɔŋ11{~爽：(天氣)涼}；lɔŋ11{~乾：晾乾}
				67	爽	sɔŋ35	sɔŋ35
				68	暖	lin13	lun35{~：(天氣)暖 / 和}；lun13{~水：溫水}；lin13{~水壺：暖水瓶}
				69	山	san13	san33{~：山}；san55{半~腰：山腰}
				70	頂	tɐŋ35	tεŋ35{山~：山頂}；tɐŋ35{屋瓦~：(屋)頂上}；tɐŋ11{~狗吠：猜拳}
				71	半	pun13	pun13
				72	腰	jiu13	jiu33
				73	腳	kiɔk35	kiɔk55
				74	下	ha55{山~：山麓}；la55{今~：這會兒}；ha13{一~仔：乍(看很 / 像)}	ha55{鄉~：鄉下}；ha13{肋坼~：腋下}
				75	崖	ŋai11	ŋai11
				76	谷	kok35	kok55
				77	前	tsʰin11	tsʰin11
				78	背	pui13	pui55{山~：山後}；pui13{後~：後面}
				79	海	fui35	fui35
				80	江	kɔŋ13	kɔŋ33
				81	湖	fu11	fu11
				82	邊	pin13{河~：河岸}；pin55{側~門：側門}	pin33
				83	壩	pa13	pa13
				84	沙	sa13	sa33
				85	沖	tsʰoŋ13	tsʰoŋ33
				86	溝	kʰɐu13	
				87	坑	haŋ13	hang35{~渠：水渠}；haŋ13{~仔：水坑}
				88	渠		kʰi11
				89	池	tsʰi11	tsʰi11
				90	塘	tʰɔŋ11	tʰɔŋ11
				91	平	pʰiɛŋ11	pʰiaŋ11{~地：平地}；pʰiɛŋ11{~：便宜}
				92	石	sεk55{~牯：石頭}；sɛk55{挾~：磁石}	sak55
				93	牯	ku35{石~：石頭}；ku13{狗~：公狗}	ku35{石~：石頭}；ku33{狗~：公狗}
				94	鵝	ŋɔ11	ŋɔ11
				95	春	tsʰɐn13{鵝~石：鵝卵石}；tsʰɐn11{核~：睪丸}	tsʰɐn33{鵝~石：鵝卵石}；tʰɐn33{雞~花：雞蛋花}；tsʰɐn13{生~：(雞)下蛋}
				96	泥	lɐi11	lɐi11{~：土(乾、半 / 乾)}；lai11{~鰍：泥鰍}
				97	爛	lan55	lan55
				98	塵	tsʰɐn11	tsʰɐn11
				99	垃	lap55	lap55
				100	圾	sap35	sap55
				101	魯	lu13	lu13
				102	銹	sɐu13	sɐu13
				103	木	mok55	mok55
				104	碎	sui13{木~：刨花兒}；sui11{餅~：(餅乾)渣 / 兒}	sui13
				105	粉	fɐn35	fɐn35
				106	末	mut55	mut55
				107	硝	siu13	
				108	灰	fui13	fui33
				109	紅	hoŋ11	hoŋ11
				110	玻	pɔ55	pɔ33
				111	璃	li55	li33
				112	油	jɐu11	jɐu11
				113	漆		tsʰɐt55
				114	挾	hip35	kɐp55
				115	金	kɐm13	kɐm33{~：金子}；lam11{回~：(天氣)潮}；kɐm11{黃~金：黃~~}
				116	銅	tʰoŋ11	tʰoŋ11
				117	鐵	tʰit35	tʰit55
				118	錫	siɛk35	sεk55
				119	鋁	lui13	lui13
				120	和	vɔ11	
				121	滾	kɐn35	kɐn35
				122	洗	sɐi35	sɐi35
				123	米	mɐi13{洗~水：泔水}；mɐi35{買~：買米}；mai13{~酒：米酒}	mɐi13{洗~水：泔水}；mɐi35{買~：買米}；mai13{~酒：米酒}
				124	城	saŋ11{~入便：城裏}；sɛŋ11{入~：去城裏}	saŋ11
				125	入	jɐp55	jɐp55
				126	便	pin55	pʰin55
				127	裡	lɐi11	lui13
				128	鄉	hiɔŋ13	hiɔŋ33
				129	村	tsʰin13	tsʰun33
				130	圍	vɐi11	vɐi11
				131	巷	hɔŋ55	hɔŋ55
				132	路	lu55	lu55
				133	嘢	ja13	ja13{~：東西}；lɐi55{睇住~：看守(東 / 西)}
				134	色	sɐk35	sɐk55
				135	聲	sɛŋ13{~：聲音}；sεŋ13{唔出~：不吭氣}	saŋ33{~：聲音}；saŋ13{~：嗓子}
				136	味	mi55	mi55
				137	道	tɐu55	tʰau55
				138	皓		hau55{~：光亮}；hɐu55{天~：天亮了}
				139	影	jaŋ35{~：影子}；jɐŋ35{電~：電影}	jɐŋ35
				140	景	kɐŋ35	kɐŋ35
				141	面	min55	min55{前~：前面}；pin55{後~：後面}
				142	眼	ŋan13	ŋan13{~面前：前面}；ŋan11{晟~：(光線)刺 / 眼}
				143	後	hɐu55	hɐu55
				144	左	tsɔ35	tsɔ35
				145	右	jɐu55	jɐu55
				146	上	sɔŋ55{~高：上面}；siɔŋ13{~樑：上樑(架房 / 梁)}；sɔŋ13{~來：上來}	sɔŋ55{~高：上面}；sɔŋ13{~來：上來}
				147	高	kɐu13{上~：上面}；kau13{顎~頭：抬(頭)}	kau33
				148	低	tɐi35{下~：下面}；tɐi55{睡~：躺下}；tɐi13{睇~：數落}	tɐi55{下~：下面}；tai33{交~：叮囑}；tɐi33{~頭：低(頭)}
				149	外	ŋui55	ŋui55
				150	出	tsʰɐt35{~年：明年}；tsɐt35{~面落緊大水：外面在下 / 雨。}	tsʰɐt55{~便：外面}；tsɐt55{~力：使勁(拉)}
				151	屋	ok35	ok55
				152	瓦	ŋa13{屋~頂：(屋)頂上}；ŋa11{~片：瓦(整塊)}	ŋa13{屋~頂：(屋)頂上}；ŋa11{~片：瓦(整塊)}
				153	底	tɐi35	tɐi55{下~：(床)底下}；tɐi35{~衫：汗衫(貼身 / 衣)}；tai35{腳板~：腳心}
				154	中	tsoŋ13	tsoŋ13{~間：中間}；tsoŋ33{~藥：中藥}
				155	間	kan13{中~：中間}；tsɐn55{~間仔：一會兒}	kan33{中~：中間}；tsʰɐn55{一~間：一會兒}；kan55{房~：房間}
				156	側	tsɐk35{~邊：旁邊}；tsʰɐk55{打~睡：側身睡}；tsʰɐk35{~頭：偏(頭)}	tsɐk55{~邊：旁邊}；tsʰɐk55{打~睏：側身睡}
				157	對	tui13	tui13
				158	附	fu55	fu55
				159	近	kɐn55	kʰɐn55
				160	隔	kak35	kak55
				161	籬	li11	li11
				162	今	kɐm13{~年：今年}；kɐn13{~下：現在}	kɐm33{~年：今年}；kɐn33{~下：現在}
				163	年	lin11	lin11
				164	舊	kɐu55	kʰɐu55
				165	尋	tsʰɐm11	
				166	撞	tsʰɔŋ55	tsʰɔŋ55
				167	聽	tʰɐŋ13{~日：明天}；tʰiɛŋ13{~：聽}	tʰɐŋ33{~日：明天}；tʰiɛŋ33{~話：乖}
				168	等	tʰɐŋ35{~日：次日}；tɐŋ35{~陣佢曉來：(別急)等 / 一會兒他 / 就來}	tɐŋ35
				169	第	tɐi55	tʰai55{~二日：次日}；tʰɐi55{~二世：後世}
				170	二	ȵi55	ȵi55{第~日：次日}；ji55{第~世：後世}
				171	子	tsi35{日~：日子(時 / 日)}；tsi55{筷~：筷子}	tsi35
				172	鐘	tsoŋ13	tsoŋ33
				173	點	tim35	tim35
				174	朝	tsiu13	tsiu33
				175	早	tsɐu35	tsau35{朝頭~：早晨(泛 / 指)}；tsau33{~飯：早飯}
				176	晝	tsɐu13{上~：上午}；tsɐu11{晏~：中午}	tsɐu13{上~：上午}；tsau13{晏~：午飯}
				177	晏	an13	an13
				178	夜	ja55	ja55
				179	晚	man13{夜~頭：夜裏(睡靜 / 後)}；mɐn13{夜~頭：天黑了}	man13
				180	成	sɛŋ11{~日：整天}；siεŋ11{~隻：整個(吃)}	saŋ11{~日：整天}；sɐŋ11{~隻：整個(吃)}
				181	耗	hɐu13	
				182	了		lɔ13{天黑~：天黑了}；ɔ13{餓死~：餓死了 / (結果)}
				183	尾	mi13{月~：月底}；mi55{收~：最後}；mi11{第~：最後一名}	mi13
				184	陣	tsɐn55	tsʰɐn55
				185	開	hui13	fui33{~頭：起初}；fui13{~心死哦：高興死了 / (程度誇 / 張)}
				186	始	tsʰi35	tsʰi35
				187	跟	kɐn55{~尾：後來}；kɐn13{~尾娶：續弦}	kɐn33{~跟：跟著(就走 / 了)}；kɐn35{跟~：跟著(就走 / 了)}
				188	包	pau13	pau33
				189	收	sɐm13{~尾：最後}；sɐu13{~工：收工}	sɐu33
				190	最	tsui13	tsui13
				191	啱	ŋam55	ŋam33
				192	先	sin13	sin13{畀佢~食：(他要趕 / 車)讓他先 / 吃}；sin33{你走~：你先走(， / 我馬上 / 來)！}
				193	初	tsʰɔ13	tsɔ33
				194	一	jɐt35{年初~：大年初一}；jɐt55{第~名：第一名}；jat35{~樣長个繩：一樣長的 / 繩子}	jɐt55{年初~：大年初一}；jat55{~樣長嘅繩：一樣長的 / 繩子}
				195	五	ŋ13	ŋ13
				196	節	tsit35	tsit55
				197	八	pat35	pat55
				198	十	sɐp55	sɐp55
				199	重	tsʰoŋ11{~陽節：重陽節}；tsʰoŋ13{~：重}；tsoŋ55{~：還(沒來)}	tsʰoŋ11{~陽節：重陽節}；tsʰoŋ13{~：重}
				200	陽	jɔŋ11	jɔŋ11
				201	三	sam13	sam33
				202	通	tʰoŋ13	tʰoŋ55{~勝：曆書}；tʰoŋ33{煙~：煙囪}
				203	書	si13	su33
				204	勝	sɐŋ13	sɐŋ13
				205	世	sɐi13	sɐi13
				206	人	jɐn11{一世~：一輩子}；hɐŋ13{丈~佬：岳父}；jan11{得~鍾意：(這孩子很) / 討人喜歡}	jɐn11{一世~：一輩子}；jan11{得~鍾意：(這孩子很) / 討人喜歡}
				207	眨	tsam35	tsam55{~下眼：瞬間}；tsɐp55{~眼：眨(眼)}
				208	候	hɐu55	hɐu55
				209	田	tʰin11	tʰin11
				210	乾	kun13	kun33{~田：旱地}；kun13{~塘：抽乾水塘}
				211	塍	sɐn11	sɐn11
				212	壆	pɔk35	pɔk55
				213	耕	kɐŋ13{~田：種田}；kaŋ13{~田佬：農民}	kɐŋ33{~田：種田}；kɐŋ11{~田：耘田}；kaŋ33{~田佬：農民}
				214	掹	mɐŋ13	mɐŋ33
				215	禾	vɔ11	vɔ11
				216	苗	miu11	miu11
				217	秧		jɔŋ33
				218	蒔	si55	si55
				219	割	kut35	kut55
				220	拌	pʰan13	pʰan33
				221	稈	kun35	kun35
				222	草	tsʰɐu35{禾稈~：稻草}；tsɐu35{艾~：艾}	tsʰau35{禾稈~：稻草}；tsau35{艾~：艾}；pɐt55{潦~：草書}
				223	糝	sɐm35	sɐm35
				224	漚	ɐu13	ɐu13{~肥：漚肥(漚制 / 肥料)}；ɐu33{~仔：害喜(妊娠 / 反應)}
				225	肥	fi11	fi11
				226	鋤	tsʰɔ11	tsʰɔ11
				227	柄	piɛŋ13	piɛŋ13
				228	鏟	tsʰan35	tsʰan35
				229	釘	tiɛŋ13	tεŋ35{~鋤：鎬(挖土 / 用)}；tiɛŋ33{~紐：釘(扣子)}
				230	鐮	lim11	lim11
				231	刀	tɐu13	tau33
				232	柴	tsʰai11{~刀：柴刀}；tsʰai35{火~：火柴}	tsʰai11
				233	犁	lɐi11	lai11
				234	耙	pʰa11	pʰa11
				235	車	tsʰε13{水~：水車(車水 / 用)}；tsʰa13{衣~：縫紉機}；tsʰɛ13{~站：車站}；tsʰɛ55{汽~：汽車}	tsʰa33
				236	桶	tʰoŋ35	tʰoŋ35
				237	畚	fɐn13	fɐn13
				238	箕	ki13	ki13{畚~：畚箕(畚穀 / 用)}；ki33{筲~：筲箕}
				239	籮	lɔ11	lɔ11
				240	篩	sɐi13	sɐi33
				241	磨	mɔ55{石~：磨(磨麵粉 / 用)}；mɔ11{~米：碾米}	mɔ55
				242	碓	tui13	tui13
				243	坎	hɐm35	hɐm35
				244	碌	lok55	luk55{石~：石滾(壓 / 地，打場 / 用)}；lok55{~仔：柚子(果)}
				245	堂	tʰɔŋ11	tʰɔŋ11
				246	笪	tat35	tat55
				247	擔	tam13	tam13{~竿：扁擔}；tam33{門~：門檻兒}
				248	竿	kun13	kun55
				249	繩	sɐŋ11{~：繩子}；tin35{~：繩(繩)}	sɐŋ11{~：繩子}；tun35{~：繩(繩)}
				250	樁	tsɔŋ13	tsɔŋ33{打~：打樁}；tsɔŋ55{打地~：打房基}
				251	楔	sɐt35	sut55
				252	竹	tsok35	tsok55
				253	鞭	pin13	pin33
				254	芽	ŋa11	ŋa11
				255	暴	pau13	pau13{~芽：(種子)出 / 芽}；pʰau11{~牙：齙牙}
				256	睇	tʰɐi35{~牛：放牛}；tʰai35{~屋：看家}；tɐi35{~低：數落}	tʰɐi35{難~：難看}；tʰai35{畀我~下：讓我看看}
				257	牛	ŋɐu11	ŋɐu11
				258	掌	tsɔŋ35	tsɔŋ35
				259	劈	pʰiɛk35	pʰiɛk55
				260	投	tʰɐu11	tʰɐu11
				261	墟	hi13	hi13
				262	魚	ji11	ju11
				263	捉	tsok35{~魚：(用手)捕 / 魚}；tsok55{~棋：下棋}	tsok55{~魚：(用手)捕 / 魚}；tsɔk55{~棋：下棋}
				264	作	tsɔk35	tsɔk55
				265	陂	pi13	pi13
				266	戽	fu13{~水：戽水}；fu55{~被：(小孩)踢 / (被子)}	fu13
				267	絞		kɐu35
				268	菜	tsʰui13	tsʰui13
				269	園	jin11	jun11{菜~：菜園}；jin11{花~仔：院子}
				270	種	tsoŋ13{~菜：種菜}；tsoŋ35{打~：(豬、牛)交 / 配}	tsoŋ13{~菜：種菜}；tsoŋ35{打~：(豬、牛)交 / 配}
				271	淋	lɐm11	lɐm11
				272	劏	tʰɔŋ13	tʰɔŋ33
				273	整	tsɐŋ35	tsɐŋ35
				274	雞	kɐi13{劏~：殺雞}；kɐi55{~：哨子}	kɐi33{劏~：殺雞}；kai13{~春花：雞蛋花}
				275	豬	tsi13	tsu33
				276	養	jɔŋ13	jɔŋ13{~雞：養雞}；miu35{~過的：母貓}
