				编号	字头	汀角	东平洲
				459	扒	pʰa11{~：(雞)翻(食 / 物)}；pʰa55{打快~：歇業}	pʰa55{打快~：歇業}；pʰa11{鬼~仔：汽艇}
				460	刮	kat35{~：(別)理(他)}；kʰat55{~：劃(火柴)}	kat55{~：(雞)翻(食 / 物)}；kʰat55{~：劃(火柴)}
				461	啼	tʰɐi11	tʰɐi11
				462	噹	tiɔŋ13	tiɔŋ13{~：(雞)啄 / (米)(拾食)}；tiɔŋ33{~：(雞)啄(蜈 / 蚣)(啄咬)}
				463	擒	kʰɐm11	
				464	鴨	ap35	ap55
				465	野	jɛ13{~獸：野獸}；ja13{~蠻：蠻橫}	ja13
				466	獸	sɐu13	sɐu13
				467	老	lɐu13{~虎：老虎}；lɐu35{~姑婆：老姑娘}；lau13{~公：丈夫}	lau13{~虎：老虎}；lau35{~鴉：烏鴉}
				468	虎	fu35	fu35
				469	獅	si13	si33
				470	豹	pʰau13	pʰau13
				471	狼	lɔŋ11	lɔŋ11
				472	狐	fu11	fu11
				473	狸	li11	li11
				474	騮	lɐu13	
				475	猴		hɐu11
				476	鹿	lok55	lok55
				477	兔	tʰu13	tu13
				478	鼠	si35	si35{老~：老鼠}；su35{蚊~：蝙蝠}
				479	雀	tsʰiɔk35	tsʰiɔk55
				480	鴉	a13	a33
				481	鵲	siak35	siak55
				482	雁	ŋan55	ŋan55
				483	鷹	jɐŋ13	jɐŋ33
				484	燕	jin13	jin13
				485	盲	maŋ11	maŋ11
				486	蚊	mɐn11{~：蚊子}；mɐn55{~：(一)元(錢)}	mɐn33
				487	鴿	kap35	kap55
				488	鷯	liu55	liu55
				489	哥	kɔ13	kɔ33{鷯~仔：八哥}；kɔ11{~哥：哥哥(對)}；kɔ55{哥~：哥哥(對)}
				490	竇	tɐu13	tɐu13{~：(鳥)窩}；tɐu33{~：(一) 窩(狗)}
				491	翼	jɐk55{~：翅膀}；jit55{薄~翼：(紙)~薄}	jɐk55
				492	擺	pai35	pai35
				493	爪	tsau35	tsau35
				494	蝲	la11	
				495	蜞	kʰia11{蝲~：蜘蛛}；kʰi11{湖~：螞蟥}	kʰi11
				496	蠄	kʰɐm11	kʰɐm11
				497	蟧		lau11
				498	蟻	ŋɐi35	ŋɐi35
				499	螞		ma13
				500	蚿	hin35	hin35
				501	蜈	ŋ11	
				502	蚣	koŋ13	
				503	蟲	tsʰoŋ11{蜈蚣~：蜈蚣}；fɔ35{火~：螢火蟲}	tsʰoŋ11
				504	百	pak13{~厭：淘氣}；pak35{~一：一百一十}	piɛk55{~足：蜈蚣}；pak55{~一：一百一十}
				505	足		suk55{百~：蜈蚣}；tsok55{踢~球：踢足球}
				506	壁	piɛk35	piɛk55
				507	蠅	jɐŋ11	jɐŋ11
				508	蜱	pɐi55	pi13{牛~：牛虻(黃色 / 似蒼蠅)}；pi33{乾~：臭蟲}
				509	摟	lɐu13	lɐu55
				510	囓	ŋat35	ŋat55
				511	咬	ŋau13	ŋau13
				512	叼		tiu33
				513	虱	sɐt35	sɐt55
				514	甴	kat35	kʰat55
				515	曱	tsat55	tsʰat55
				516	囊	lɔŋ11{~蜊：蜻蜓}；laŋ11{腳~肚：腿肚子}	lɔŋ11
				517	蜊	li55	li11
				518	寧	liɛŋ55	lɛŋ13
				519	蝴	fu11	fu11
				520	蝶	tip55	tʰip55
				521	娘	liɔŋ11	liɔŋ11
				522	蜢	maŋ35	maŋ35
				523	焰	jim55	
				524	螢		jɐŋ11
				525	蜜	mɐt55	mɐt55
				526	蜂	foŋ13	foŋ33
				527	針	tsɐm13	tsɐm33
				528	織	tsit35	
				529	蟋		sɐk55
				530	蟀		sɐt55
				531	蝌		fɔ33
				532	蚪		tɐu35
				533	蛤	kɐp35	kɐp55
				534	蜍	si11	
				535	龜	kɐi13	kɐi33
				536	爬	pʰa11	pʰa11
				537	蝦	ha11{~公：蝦}；ha13{扯~：哮喘}	ha33
				538	鰍	tsʰɐu13	tsʰɐu33
				539	九	kɐu35	kɐu35
				540	箭	tsin13	
				541	蚌	pʰɔŋ13	
				542	蜆		hin35
				543	敵		tʰit55
				544	螺	lɔ11	lɔ11
				545	蟹	hai13	hɐi13
				546	鱔	sin13	sin13
				547	鯉	li13	li13
				548	鯽	tsɐk35	tsɐk55
				549	鱗	lɐn11	lɐn11
				550	企	ki13{屋~：家(住處)}；kʰi35{返屋~：回家}；ki3{有冇去佢屋~：(你)去沒 / 去他家？}	kʰi35{屋~：家(住處)}；kʰi13{~理：整齊}；ki35{有冇去佢屋~：(你)去沒 / 去他家？}
				551	牆	tsʰiɔŋ11	tsʰiɔŋ11
				552	磚	tsin13	tsun33
				553	斷	tʰin13	
				554	片	pʰin35	pʰin35
				555	橫	vaŋ11	vaŋ11
				556	樑	liɔŋ11	liɔŋ11
				557	桁	haŋ11	haŋ11
				558	桷		kɔk55
				559	簷	jim11	jɐm11
				560	柱	tsʰi13	tsʰu13
				561	躉	tɐn35	
				562	肚	tu35{間~：房間}；tʰu35{大~婆：孕婦}	tu35{~兜：兜肚}；tʰu35{~胈餓：餓(了)}
				563	房	fɔŋ11{側~：廂房}；foŋ11{廚~櫃：櫥子(立式 / 有拉門)}	fɔŋ11
				564	廳	tʰiɛŋ13	tʰiɛŋ33
				565	井	tsiɛŋ35	tsiɛŋ35
				566	窗	tsʰiɔŋ55{~門：窗戶}；tsʰiɔŋ13{~簾：窗簾}	tsʰiɔŋ33
				567	門	mun11	mun11
				568	檻	tsʰam13	
				569	搭	tap35	tap55
				570	弄	loŋ55	loŋ55
				571	棚	pʰaŋ11	pʰaŋ11
				572	欄	lan11	lan11
				573	級	kʰɐp55	kʰɐp55
				574	樓	lɐu11	lɐu11
				575	梯	tʰui13	tʰɐi55
				576	廚	tsʰi11{~房：廚房}；tsi11{~房櫃：櫥子(立式 / 有拉門)}	tsʰu11
				577	煙	jin55{~通：煙囪}；jin13{~斗：旱煙袋}	jin33
				578	灶	tsɐu13	tsau13
				579	糞	fɐn35	
				580	缸	kɔŋ13	kɔŋ55{屎~：廁所}；kɔŋ33{水~：大缸}
				581	窿	loŋ13	loŋ33
				582	罅	la13	la13
				583	籠	loŋ11	loŋ11{雞~：雞籠(棲息 / 處)}；loŋ35{~：櫃子(臥式 / 有掀蓋)}
				584	傢	ka13	ka33{~俬：傢具}；ka13{~生：工具}
				585	俬	si13	si33
				586	交	kau13	kau13{打牙~：聊天}；kau33{~低：叮囑}
				587	椅	ji35	ji35
				588	凳	tɐŋ13	tɐŋ13
				589	長	tsʰɔŋ11	tsɔŋ11{~凳：長條板凳}；tsʰɔŋ11{~：長(繩)}
				590	桌		tsɔk55
				591	櫃	kɐi55	kʰɐi55
				592	櫥		tsu11
				593	拖	tʰɔ13	tʰɔ33
				594	箱	siɔŋ13	siɔŋ33
				595	眠	min11	min11
				596	床	tsʰɔŋ11	tsʰɔŋ11
				597	席	tsiɛk55{~：竹席}；tsɐk55{開~：上菜}	tsʰiak55
				598	被	pʰi13	pʰi13
				599	褥	jok55	jok55
				600	氈	tsʰin13	tsʰin33
				601	枕	tsɐm35	tsɐm35
				602	帳	tsɔŋ13	tsɔŋ13
				603	簾	lim11	lim11
				604	盆	pʰun11	pʰun11
				605	巾	kɐn13	kɐn33
				606	手	sɐu35	sɐu35{~巾：毛巾}；sau35{~套：手套}
				607	鹼	kan35	kan35
				608	鏡	kiɛŋ13	kiɛŋ13
				609	梳	sɔ13	sɔ33
				610	刷	tsʰat35	tsʰat55
				611	膏	kɐu13	kau33
				612	勺	sɔk55	sɔk55
				613	蒲	pʰu11	
				614	埕	tsʰɐŋ11	tsʰɐŋ11
				615	缽	put35	put55
				616	罐	kun13	kun13
				617	樽	tsɐn13	tsɐn33
				618	卒	tsɐt35	tsɐt55
				619	杯	pui13	pui33
				620	壺	fu11	fu11
				621	匙	tsʰi11{~羹：調羹}；si11{鎖~：鈅匙}	si11
				622	羹	kaŋ13	kaŋ33
				623	調	tiu55	tʰiu11
				624	筷	fai13	fai13
				625	煤	mui11	mui11
				626	炭	tʰan13	tʰan13
				627	爐	lu11	lu11
				628	鑊	vɔk55	vɔk55
				629	蓋	kui13	kui13
				630	癆	lɐu13{鑊~：鍋堙子(鍋 / 背的煙灰)}；lɐu11{肺~：肺結核}	lau33{鑊~：鍋堙子(鍋 / 背的煙灰)}；lɐu11{肺~：肺結核}
				631	砧	tsɐm13	tsɐm33
				632	板	pan35	pan35
				633	蒸	tsɐŋ13	tsɐŋ33
				634	筲	sɐu13	sau33
				635	撈	lau11{~箕：笊籬}；lau13{~：拌(飯)}	lau11{~箕：笊籬}；lɐu55{~轉頭：回(頭)}；lau13{~：拌(飯)}
				636	布	pu13	pu13
				637	斗	tɐu35	tɐu35
				638	筒	tʰoŋ11	tʰoŋ11
				639	電	tin55	tʰin55
				640	燈	tɐŋ13	tɐŋ33
				641	尿	liu55	liu55
				642	痰	tʰam11	tʰam11
				643	鎖	sɔ35	sɔ35
				644	蓑	sɔ13	
				645	衣	ji13	ji33
				646	帽	mɐu55	mau55
				647	笠		lɐp55
				648	嫲		ma11
				649	扇	sin13	sin13
				650	遮	tsε13	tsa33
				651	臿		tsap55
				652	篙	kɐu13	kau33
				653	曬	sai13	
				654	衫	sam13	sam33
				655	丫	a13	a33
				656	叉	tsʰa13	tsʰa33
				657	扶	fu11	
				658	棍	kɐn13	kɐn13
				659	持		tsʰi11
				660	篤	tok55{打呃~：打嗝}；tok35{~：(毛衣覺 / 著)紮}	tok55
				661	釣	tiu13	
				662	檳	pin13	pin33
				663	錘	tsʰui11	tsʰui11
				664	利	li55	li55
				665	鉆	tsɔn55{利~：錐子}；tsin13{~：鉆(木匠鉆 / 眼工具)}	tsun13
				666	錐		tsui33
				667	斧	pu35	pu35
				668	鉗	kʰim11	kʰim11
				669	鑷		kʰip55
				670	鑿	tsɔk55	tsʰɔk55
				671	鋸	ki13	ki13
				672	銼	tsʰɔ13	tsʰɔ13
				673	刨	pʰau11	pʰau11
				674	鉤	ŋɐu13	kɐu33
				675	鉸	kau13	kau33
				676	剪	tsin35	tsin35
				677	絆		pan13
				678	指	tsi35{手~：手指}；hai55{專~小孩：能幹}	tsi35
				679	線	sin13	sin13
				680	叾	tok35	tok55
				681	舷	sin11	
				682	裂	lit55	
				683	坼	tsʰak35	tsʰak55{~：(器物)裂 / 縫兒}；tsʰap55{肋~下：腋下}
				684	跡	tsɐk35	tsiak55
				685	爆	pau13	pau13{~坼：(傢具)開 / 裂}；pʰau13{~牙：獠牙}；pau33{~仗：鞭炮}
				686	褲	fu13	fu13
				687	試	si13	si13
				688	恤	sut35	
				689	衲	lap55	lap55
				690	褡	tap35	tap55
				691	褸	lɐu13	lɐu33
				692	單	tan13	tan33
				693	短	tin35	tin35
				694	襠	lɔŋ55	lɔŋ55
				695	密	mɐt55	mɐt55
				696	裙	kʰɐn11	kʰɐn11
				697	袖	tsɐu55	tsʰau55
				698	領	liɛŋ13	liɛŋ13
				699	皺	tsɐu11{~：(衣服)皺 / (了)}；tsɐu13{~眉頭：皺(眉頭)}	tsʰɐu11{~：(衣服)皺 / (了)}；tsɐu13{~眉頭：皺(眉頭)}
				700	袋	tui55	tʰui55
				701	啪	pak55	pak55
				702	鈕	lɐu35	lɐu35
				703	扣	kʰɐu13	kʰɐu13
				704	鞋	hai11	hai11
				705	屐	kiɛk55	kʰiak55
				706	墊	tsin13	tin13
				707	靴	hiɔ13	hiɔ33
				708	襪	mat55	mat55
				709	套	tʰɐu13	tʰau13
				710	頸	kiɛŋ35	kiɛŋ35
				711	口	hɐu35	hɐu35
				712	兜	tɐu13	tɐu33
				713	燙	tʰɔŋ13	tʰɔŋ13
				714	胈	pat55	pʰat55
				715	餓	ŋɔ55	ŋɔ55
				716	麵	min55	min55
				717	糠	hɔŋ13	hɔŋ33
				718	宿	sok35	
				719	餿		sɐu33
				720	剩	tsɐŋ55	sɐŋ55
				721	粥	tsok35	tsok55
				722	飲	jɐm35	jɐm35
				723	焦	tsiu13	tsiu33
				724	渴	hut35	fut55
				725	酒	tsɐu35	tsɐu35
				726	糟	tsɐu35{~乸：米酒渣}；tsau55{亂~糟：亂~~}	tsau13
				727	渣		tsa33
				728	舀	jiu35	jiu35
				729	瘦	sɐu33{~肉：瘦肉}；sɐu13{~：(人)瘦}	sɐu13
				730	臘	lap55	lap55
				731	葷		fɐn33
				732	齋	tsɐi13	tsɐi33
				733	順	sɐn55	sɐn55
				734	潤	jɐn55	jɐn55
				735	肝		kun33
				736	脷	li55	li55
				737	夾	kɐp35{~送：夾菜}；kap35{~肋底：腋下}	
				738	送	soŋ13{夾~：夾菜}；sɔŋ13{~酒：(用菜)下 / 酒}	soŋ13{挾~：夾菜}；sɔŋ13{~酒：(用菜)下 / 酒}
				739	淘	tʰɐu11	tʰau11
				740	減	kam35	kam35
				741	燶	loŋ13	loŋ33
				742	腐	fu55	fu55
				743	黴	mui11	mui11
				744	萊	lui11	
				745	飽	pau35	pau35
				746	呃	ik55{打~：打飽嗝}；ɛk55{打~篤：打嗝}	ɐk55
				747	糕	kɐu13	kau33
				748	條	tʰiu11	tʰiu11
				749	饅	man11	man55
				750	餃		kau35
				751	吞	tʰɐn55{雲~：餛飩}；tʰɐn13{~：吞}	tʰɐn33
				752	餡	hɐm55	hɐm55
				753	糖	tʰɔŋ11	tʰɔŋ11
				754	不	pɐt55	
				755	甩	lɐt55	lɐt55
				756	圓	jin11	jun11{湯~：湯圓}；jin11{~：(眼睛)圓}
				757	餈	tsʰi11	tsi11
				758	粑		pa33
				759	裹	kɔ35	kɔ35{~粽：粽子}；kiɔ35{包~：裹}
				760	小	siu35	siu35
				761	餅	piɛŋ55	piɛŋ35
				762	宵	siu13	siu33
				763	配	pʰui13	pʰui13
				764	料	liu55	liu55
				765	醋	tsʰu13	tsʰu13
				766	鹽	jim11	jim11
				767	豉	si55	si55
				768	隻	tsɛk35{大~：塊頭（人身 / 架大小）}；tsiεk35{三四~人：三四個 / (人)}；tsεk35{~：(一)隻(雞)}	tsik55
				769	球	kɐu55	kʰɐu11{大~：塊頭（人身 / 架大小）}；kɐm11{~：(一)片(桔 / 子)}；kɐu55{~：(一)團(泥)}
				770	那	na13{頭~毛：頭髮}；la11{~疤：疤}	
				771	旋	tsʰin55	tsʰin55
				772	辮	pin13	pin33
				773	髻	kɐi13	kɐi13
				774	靨	lɐp55	lip55
				775	額	ŋɐk55	ŋɐk55
				776	魂	vɐn11	
				777	精	tsiɛŋ13	tsɐŋ33{~：精液}；tsiɛŋ33{~叻：精}
				778	太	tʰai13{~公：曾祖父}；tʰai55{阿~：曾祖母}	tʰai13{~陽穴：太陽穴}；tʰai55{~過辣：(辣椒)太 / 辣了}
				779	穴		hip55
				780	腦	lɐu13	
				781	囟	sɐm13	sɐn13
				782	珠	tsi13	tsu33
				783	汁	tsɐp55{眼~毛：睫毛}；tsɐp35{墨~：墨汁}	tsɐp55
				784	眉	mi11	mi11
				785	鼻	pi55	pʰi55
				786	空		kʰoŋ33
				787	膿	loŋ11	loŋ11
				788	擤	sɐn13	sɐn13
				789	耳	ȵi35{~吉：耳朵}；ȵi13{刺~：(聲音)刺 / 耳}	ȵi35{~吉：耳朵}；ȵi13{刺~：(聲音)刺 / 耳}
				790	吉	kɐt35	kɐt55
				791	嘴	tsui35	tsui35
				792	唇	sɐn11	sɐn11
				793	胡	vu11	fu11
				794	鬚	su13	su33
				795	巴	pʰa11{下~：下巴}；pa13{手~掌：手掌}	pʰa11{下~：下巴}；pa55{手~掌：手掌}
				796	泡		pʰau13
				797	喉	hɐu11	hɐu11
				798	嚨	loŋ11	loŋ11
				799	膊	pɔk35	pɔk55
				800	脊	tsiɛk35	tsiɛk55
				801	骨	kɐt35	kɐt55
				802	肋	lak55	lak55{~框骨：肋骨}；lap55{~坼下：腋下}
				803	框		kaŋ33
				804	赤	tsʰɛk35	tsʰak55
				805	臂	pi13	pi13
				806	踭	tsaŋ13	tsaŋ33
				807	腕		vun35
				808	拳	kʰin11	kʰin11
				809	拉	lai13{~尾指：小拇指}；lɐi35{~著：扭傷}	lai33
				810	甲	kap35	kap55
				811	腡	lɔ11	lɔ11
				812	姩	lin55	lin55
				813	臍	tsʰi11	tsʰi11
				814	窟	fɐt35	fɐt55
				815	無		mau11
				816	卵	lɐn35	lɐn35
				817	睪		hak55
				818	仁		ŋɐn11
				819	谿	hɐi13	hɐi33
				820	屌	tiu35	tiu35
				821	髀	pi35	pi35
				822	罌		aŋ33
				823	膝	sɐt35	sɐt55
				824	盤	pʰan11{腳~頭：腳}；pʰun11{~貨：盤點}	pʰun11
				825	趾	tsi35	tsi35
				826	印	jɐn13	jɐn13
				827	男	lam11	lam11
				828	佬	lɐu35{單眼~：獨眼兒}；lau35{攞食~：乞丐}	lau35
				829	女	li13{~人：女人}；li35{仔~：兒女}；ji35{~婿：女婿}	li13{~人：女人}；ju35{仔~：兒女}
				830	婦	fu13	fu13{~娘：女人}；pu33{新~：兒媳}；pu13{娶新~：娶兒媳婦}
				831	伯	pak35	pak55
				832	爺	ja13{伯~婆：老太婆}；ja11{姑~：姑父}	ja11{姑~：姑父}；ja13{兩仔~：父子倆}
				833	姐	tsiε35{大~仔：姑娘}；tsiɛ55{阿~：姐姐}；tsiɛ35{~夫：姐夫}；tsi35{~妹：姐妹}	tsia35{~公：外祖父}；tsiɛ35{阿~：姐姐}
				834	妹	mui55	mui55
				835	細	sɐi13	sɐm13{~民仔：小孩兒(統 / 稱)}；sɐi13{~：(年紀)小}
				836	民		mɐn33
				837	市	si13	si13
				838	農		loŋ11
				839	身	sɐn13	sɐn33
				840	守	sɐu35	sɐu35
				841	寡	ka35	ka35
				842	孤	ku13	ku33
				843	兒	ji11	ji11
				844	蒙	moŋ13	moŋ33
				845	突	tɐt55	
				846	鬥	tʰɐu13{~雞眼：對眼兒}；tɐu13{~木佬：木匠}	tʰɐu55{~雞眼：對眼兒}；tɐu13{~木佬：木匠}
				847	聾	loŋ11	loŋ33
				848	個	kɔ13{聾~：聾子}；kɔ35{~邊：那邊}	kɛ13{傻人~：騙子}；kɔ35{~邊：那邊}
				849	嘅		kɛ13{聾~：聾子}；kiε13{我~：我的}；kiɛ13{短短~繩：短短的繩 / 子}
				850	啞	a35	a35
				851	缺	kʰit35	kʰit55
				852	崩	pɐŋ13	
				853	拐	kɐi35	kɐi35
				854	哨	sau13	sau13
				855	痘	tɐu55	tʰau55
				856	瘌	lat13	lat55
				857	痢	li13	li33
				858	多	tɔ13	tɔ33{~謝：感謝}；tɔ13{幾~斤：多少斤}
				859	孖	ma13	ma55{~指：六指}；ma33{~仔：雙胞胎}
				860	駝	tʰɔ11	tʰɔ11
				861	哭	hok35	hok55
				862	癲	tin13	tʰin33
				863	跛	pɐi13	pɐi33
				864	懵	moŋ35	moŋ35
				865	傻		sɔ11
				866	騙	ŋak55{~人個：騙子}；pin13{~：哄騙}；pʰin13{~唔到我：騙不了我}	
				867	賊	tsɐk55	tsɐk55
				868	攞	lɔ13	lɔ13
				869	契	kʰɐi13	kʰɐi13{~家佬：情夫}；kɐi13{~爺：乾爹}
				870	家	ka13	ka33{契~佬：情夫}；ka13{~：家(人家)}
				871	佮	kap35	kap55
				872	妓	ki35	ki35
				873	伙	fɔ35	fɔ35
				874	醫	ji13	ji33
				875	剃	tʰɐi13	tʰɐi13
				876	意	ji13	ji13{生~佬：商人}；ji55{有~：故意}
				877	保	pɐu35	pʰau55
				878	客	hak35	hak55
				879	氣	hi13	hi13
				880	脾		pʰi11
				881	臭	tsʰɐu13	tsʰɐu13
				882	方	fɔŋ13	fɔŋ33{大~：大方}；fɔŋ55{處~：處方}
				883	叻	liɛk55	liɛk55
				884	能		lɐŋ11
				885	解		hai55
				886	專	lɐŋ11	tsun33
				887	孩		
				888	勤	kʰɐn11	kʰɐn11
				889	懶	lan13	lan13
				890	慳	han13	han33
				891	儉		kʰin55
				892	聰	tsʰoŋ13	
				893	明	mɐŋ11	
				894	快	fai13{打~扒：歇業}；fai55{~利：(刀)快}	fai13{~脆：爽快}；fai33{打~扒：歇業}；fai55{~：(刀)快}
				895	脆	tsʰui13	tsʰui13{快~：爽快}；tsʰui11{乾~：索性(不去)}
				896	蠢	tsʰɐn35	tsʰɐn35
				897	殘	tsʰan11	
				898	忍	jɐn35	
				899	毒	tok55{陰~：陰險}；tau55{~：(用藥)毒 / (魚)}	tʰok55{~：殘忍}；tʰau55{~：(用藥)毒 / (魚)}
				900	蠻	man11	man11
				901	刻	hɐk35{~薄：刻薄}；hak35{即~：馬上(就 / 到)}	hɐk55{~薄：刻薄}；kʰat55{~：刻(圖章)}；hak55{即~：馬上(就 / 到)}
				902	薄	pɔk55	pʰɔk55
				903	奸	kan13	kan33
				904	善	sin55	
				905	良	liɔŋ11	
				906	實	sɐt35{老~：老實}；sɐt55{結~：(籃子)結 / 實}	sɐt55
				907	唔	m̩11{~出聲：不吭氣}；m1̩1{睡~落覺：失眠}；m1̣1{~捨得：心疼(東 / 西)}	m̩11{~講野：不吭氣}；m1̣1{~捨得：心疼(東 / 西)}；hm̩11{敨~到氣：喘不過氣}；m1̩1{喊~郁佢：(我)叫不 / 動他}
				908	講	koŋ55{~古仔：講故事}；kɔŋ35{~嘢：說話}	kɔŋ35{唔~野：不吭氣}；koŋ35{~古仔：講故事}；kɔŋ31{~本地：撇廣州話}
				909	怕	pʰa13{~醜：害羞}；pa55{咸~冷：一共}	pʰa13
				910	醜	tsʰɐu35	tsʰɐu35
				911	可	hɔ11	hɔ11
				912	憐	lin11	lin11
				913	靚	liɛŋ13	liɛŋ13
				914	樣	jɔŋ55	jɔŋ55
				915	難	lan11	lan11
				916	齊	tsʰɐi11	tsʰɐi35{一~：一共}；tsʰɐi11{一~：一塊兒 / (去)}
				917	理		li13
				918	臢	tsa35	
				919	垠		ŋɐn35
				920	馴	sɐn11	
				921	乖		kai33
				922	話	va55	va55
				923	厭	jin13	
				924	躁		tsʰau13
				925	硬	ŋaŋ55	ŋaŋ55
				926	偷	tʰɐu13	tʰɐu33
				927	搣		
				928	糜		mi55
				929	猾	vat55	vak55
				930	狡		kau35
				931	死	si35	si35{病~：病死了}；si31{凍~嗨：凍死了 / (結果)}
				932	賤	tsin55	
				933	格	kak35	kak55
				934	衰	sui13	sui13
				935	愛	mui13{唔~面：無恥}；ui13{~：得(去)}	ui13{唔~面：無恥}；ɔi13{淨~一滴：只需要一 / 丁點兒}
				936	扯	tsʰa13{~大砲：說謊}；tsʰɛ35{~蝦：哮喘}；tsʰε35{~鼻鼾：打鼾}；tsʰε11{~二胡：拉二胡}；tsʰa35{~：拔(草)}	tsʰa33{~大砲：說謊}；tsʰa35{~鼻鼾：打鼾}
				937	砲	pʰau13	pʰau33
				938	詐	tsʰa13{~懵：裝傻}；tsa13{~：假裝(不 / 懂)}	tsʰa33{~懵：裝傻}；tsa13{~：假裝(不 / 懂)}
				939	現	jin55	
				940	爸	pa11{~爸：父親(對 / 稱)}；pa55{爸~：父親(對 / 稱)}；pa13{阿奶阿~：父母}	pa33{阿~：父親(對 / 稱)}；pa13{阿咪阿~：父母}
				941	阿	a13{~奶：母親(對 / 稱)}；ɔŋ13{~伢仔：嬰兒}	a13{~爸：父親(對 / 稱)}；a33{~公：祖父}；ɔŋ33{~伢仔：嬰兒}
				942	奶	lai13	lin55{阿~：母親(對 / 稱)}；lai13{~嘴：奶嘴}
				943	咪		mi33
				944	媽	ma13{後~：繼母}；ma55{契~：乾媽}	ma13{阿~仔：伯母}；ma33{後~：繼母}
				945	叔	sok35{阿~：叔父}；suk35{~姆仔：嬸母}	sok55{阿~：叔父}；suk55{~伯兄弟：堂兄弟}
				946	姆	mi13	
				947	嬸		sɐm35
				948	姨	ji11	ji11
				949	丈	tsʰɔŋ13	tsʰiɔŋ55{姨~：姨父}；tsʰɔŋ55{~人佬：岳父}
				950	舅	kʰɐu13	kʰɐu13{大~：舅父}；kʰau13{阿~：舅父}
				951	母	mɐu13	
				952	妗		kʰɐm13{大~：舅母}；kɐm13{~仔：舅母}
				953	嫂	sɐu35	sɐu35
				954	夫	fu13	fu33
				955	弟	tɐi55	tʰɐi13{阿~：弟弟}；tʰɐi55{徒~：徒弟}
				956	襟	kʰɐm13{老~：連襟}；kɐm13{~章：徽章}	kʰɐm13
				957	妯		sok55
				958	娌		li13
				959	親	tsʰɐn13	tsʰɐn13{~家：親家}；tsʰɐn33{~戚：親戚}
				960	滿	mun13	man13{~仔：最小的兒 / 子}；mun13{~：(籮裏穀 / 子)滿}
				961	新	sɐm13{~婦：兒媳}；sɐŋ13{~郎公：新郎}；sɐn13{~：(衣服)新}	sɐm33{~婦：兒媳}；sɐŋ33{~郎公：新郎}；sɐn33{~：(衣服)新}
				962	婿	sɐi13	sɐi33
				963	孫	sin13	sun33
				964	息	sɐk35	sɐk55
				965	甥	saŋ13	saŋ33
				966	侄	tsʰɐt35	tsʰɐt55
				967	兩	liɔŋ13	liɔŋ13{~仔爺：父子倆}；liɔŋ35{~斤：二斤}
				968	兄	hɐŋ13	hɐŋ33
				969	姊	tsi35	tsi35
				970	表	piu35	piu35
				971	戚	tsʰɐk35	tsʰɐk55{親~：親戚}；tsɐk55{邏親~：走親戚}
				972	輩	pui13	pui13
				973	份	fɐn55	fɐn55
				974	名	miɛŋ11	miɛŋ11
				975	媒	mui11	mui11
				976	定	tɐŋ55	tʰɐŋ55{~親：訂婚}；tʰiaŋ55{呢~：這裏}；tiaŋ55{第二~：別處}
				977	婚	fɐn13	
				978	娶	tsʰi35	tsʰu35
				979	嫁	ka13	ka13
				980	招	tsiu13	tsiu33
				981	郎	lɔŋ11	lɔŋ11
				982	舍	sε13	
				983	室		sɐt55
				984	再		tsui13
				985	馱		tʰɔ11
				986	產	tsʰan35	tsʰan35
				987	流	lɐu11	lɐu11
				988	動	toŋ55	tʰoŋ13
				989	接	tsip35	tsip55
				990	胞	pau13	
				991	胎		tʰui33
				992	伢	ŋa11	ŋa11
				993	坐	tsʰɔ13	tsʰɔ13{請~：請坐}；tsɔ13{~多下：(別忙，)再 / 坐一會兒。}
				994	餵	vɐi13	vɐi13
				995	疴	ɔ13	
				996	瀨	lai11	lai11
				997	擯	pin35	
				998	泯		min35
				999	命	miɛŋ55	miɛŋ55{短~：夭折}；miaŋ55{搏~：拼命(跑)}
				1000	吊	tiu13	tiu13
				1001	病	piɛŋ55{~死耗：病死了}；piεŋ55{探~：看望(病 / 人)}	pʰiaŋ55
				1002	喪	sɔŋ13	
				1003	事	si55	si55
				1004	棺	kun13	kun33
				1005	材	tsʰui11	tsʰui11
				1006	殯	pɐn13	pɐn13
				1007	埋	mai11	mai11{~：埋(起來)}；mui11{搵~嗨：找遍了}
				1008	葬		tsɔŋ13
				1009	溪	kʰɐi13	kʰɐi33
				1010	仗	tsiɔŋ55	tsʰiɔŋ55{爆~：鞭炮}；tsʰɔŋ55{打炮~：放鞭炮}
				1011	墳	fɐn11	fɐn11
				1012	碑	pi13	pi33
				1013	墓		mu55
				1014	掛	ka13	
				1015	拜		pai13
				1016	吽	ŋɐu55	
				1017	呆		ŋui11
				1018	震	tsɐn13	tsɐn13
				1019	感	kam35	kam35{~冒：感冒}；kan35{~倒：著涼}
				1020	倒	tɐu35{感~：感冒}；tɐu13{~立：倒立}	tau35{感~：著涼}；tau13{~立：倒立}
				1021	冒		mau55
				1022	抽	tsʰɐu13{~筋：抽筋}；tsɐu13{~籤：抓鬮}	tsɐu33{~蝦：哮喘}；tsʰɐu33{~筋：抽筋}
				1023	咳	kʰɐt35	kʰɐt55
				1024	暑	si35	si35
				1025	嘔	ɐu35	ɐu35
				1026	想		siɔŋ35
				1027	秘	pi13	pi13
				1028	屙	ɔ13	ɔ33
				1029	滯	tsɐi55	
				1030	塞	sɐk35	sɐk55
