	注释：-白读；=文读			
θ	[1]须={必～}需输={运～}殊思私={～人}斯师={老～}司={～令}徐薯{山药}词祠辞[3]暑署墅始死史[5]赐饲={～料}四={～川}肆□{昆虫蚕食}[6]序叙绪事={故～}树={～立}屿竖侍士={相～：看相的人；棋子之一}仕巳祀伺嗣{绝～：断子绝孙，詈语}□{理睬}			
k	[1]居拘车{棋子之一}渠[3]举矩[5]据{数～}锯[6]巨距拒具俱□{拄。～杖：拄拐杖}			
kʰ	[1]趋区岖驱[5]去={过～}			
ŋ	[1]鱼渔虞{～姬：人名}娱[3]语[6]御遇寓			
x	[1]虚嘘墟{集市}戌[3]许			
∅	[1]淤衣-{胎盘；～身带：脐带}余{文言用字，我；剩～}俞愉儒孺{～人：对妇女的尊称，一般前加女子姓氏}予{给～}如于{姓；生～}[3]与乳{～白色}雨禹{大～}羽宇[6]誉预愈{韩～}裕			
#a				
p	[1]巴{～掌：手掌；～～：锅巴}芭{～蕉}疤笆{篱～}叭{喇～：大的，播放广播用的}杷琶爬钯扒{猪～：用来刮猪毛的工具，多为巴掌大小的铁片；～痒：挠痒}[3]把{量词；动词}靶饱-{真～：很饱}□{做～：合伙，一起}[5]霸坝{堤～}擘{撕}掰{～喙：打哈欠}百-{几～}伯-{阿～：伯伯}柏-{松～}□{烦心、心里难受}□{犬～～：公狗的阴茎}[6]耙{六齿～}爸{郎～：父亲（称别人的父亲）}‖[9]□{～□laŋ33槌：蝌蚪}□{□pi21～老□iek21：蝙蝠}‖[11]爸{阿～：爸爸（称自己的父亲）}			
pʰ	[1]脬{阴囊；癫～：男疯子}□{讲～：吹牛}[5]泡-{水～}怕拍={动词，打；介词，从}			
m	[1]妈={姨～：妈妈的姐妹}麻={～烦；～脸}蟆{蛤～}猫{～母：母猫}□{用五指大把抓}□{啼～：哭}[3]马{变～法：变魔术}码妈-{阿～：奶奶；老～：妻子；姨～：祖母或外祖母的姐妹}□{做～～：作弊}‖□{□paŋ35～：扒手}[5]骂‖[10]□{□tsʰa33～□lai23：毛毛虫}			
t	[1]焦-{干燥}茶[3]打{量词}‖□{～□（t＞）laŋ35：走路不稳，踉跄的样子}[5]□{压}‖[11]□{□ti55～：喇叭}			
tʰ	[1]他{其～}它{其～}[5]䖳{海蜇皮}澈{～洁：干净，可单说}			
n	[1]□{解手}□{张开大拇指和中指{或小指}来量长度}‖[3]□{～后日：大后天}‖[5]□{褪～～：光膀子}			
l	[1]拉={～手}‖[3]□{～□li33：穿山甲}‖[9]□{～□tsʰa35：肮脏}			
ts	[1]渣{～～：渣滓}楂查[3]早-{～起：上午}[5]榨窄			
tsʰ	[1]叉杈差瘥{《集韵》：楚懈切，瘉也。□kak21～：病情好转}柴‖□{□la21～：肮脏}[3]炒‖□{□～ma53□lai23：毛毛虫}[5]册‖[11]□{□ku33-21～：捣乱}			
θ	[1]沙={～漠}纱砂裟{袈～}痧{着～：中暑}师-{～傅}[3]洒			
k	[1]家{尾～：最小的叔叔}加嘉袈{～裟}痂佳胶铰{～刀：剪刀}□{～□（ts＞）ʒy33-53袋：草编的饭袋}[3]假{真～}贾{姓}绞-{拧，挤压}□{～蚤：跳蚤}[5]假{请～}架驾嫁稼价教-{～书}筊{～杯：民间占卜用的月牙形器物}格-{格子}隔-{～壁}□{□xaŋ21～：家具}[6]咬{嚼}‖[9]□{～□lɐu35：遗失}□{～□laŋ21□kʰi35睏：侧身睡}			
kʰ	[1]骹{脚；～手底：脚掌；好～：形容某人不计较输赢}鲛[3]卡□{～□lak5：修理}[5]客-{侬～：客人；～鹊：喜鹊}‖□{～□keiŋ33：褶子}‖[9]□{～□liu53：玩儿}			
ŋ	[1]牙芽蚜衙崖‖□{蜻～：蜻蜓}□{□lɐu33～：捉弄；小孩好动}[3]雅‖[9]□{～□tsʰi35：蝉}			
x	[1]虾霞蛤{～蟆}□{引逗小孩时挠痒痒}□{芋头未煮熟散发的气味令人发麻，也可用于其他食物放久变味而产生的类似气味}[5]孝-{带～}[6]夏{立～}厦{大～}厦{～门：地名}□{～货：载货}			
∅	[1]阿{～哥：哥哥；～大：排行最大的兄弟姐妹}[3]哑{病～声：声音沙哑、嘶哑}亚[5]拗{～断}‖丫{～头}[6]下後-{～兜：后面}			
#ia				
p	[5]壁-{隔～}			
pʰ	[1]陂{山坡}□{歪、倾斜，一般用于较大的物体，如建筑物等}[5]僻僻-{～开}			
t	[1]爹‖□{油～：油腻}[5]摘[6]蛎{牡～}			
tʰ	[5]□{跟随}			
n	[3]惹			
l	[5]□{火焰较近掠过}			
ts	[1]遮笊{～篱：用竹篾编成的一种勺形用具，能沥水，可在汤水里捞东西}[3]姐{阿～：姐姐}者[5]柘{～荣：地名}蔗鹧{～鸪}隻{量词}迹-{骹～：脚印}			
tsʰ	[1]车{踏～：骑车}斜-{转个弯}□{灡～：围嘴儿}[5]刺-{织。～羊毛：织毛线}□{引～：引诱，传染}‖[9]□{～□lau23：竹枝做的扫把}			
θ	[1]赊佘{～太君}畲{～族}邪斜=蛇{老～：蛇}桸{匏～：瓢。《集韵》：香依切，木名，汁可食，一曰勺也}□{苦～：一种野菜}□{老～：当官的人}[3]写舍{宿～；～得}[5]泻{放腹～：拉肚子}卸□{连接}[6]社麝{～香}射{～箭}谢			
k	[5]寄			
kʰ	[1]奇{奇数；蜀～：一只}骑{～马}□{欺负}□{～侬旁：单人旁}[5]□{～厝：盖房子}□{陡峭}□{～耙：耖（在耕耙后，将土块弄得更碎的一种农具）}[6]徛{站}			
ŋ	[1]鹅-{白鹅}[5]艾-{～草}□{耀眼、刺目}[6]外-{～兜：外面}蚁{蚂蚁}			
x	[5]吓‖[11]□{助词，门擘～：门开着}			
∅	[1]耶{～稣}[3]野冶也[6]夜□{撒}			
#ua				
t	[6]‖□{□tsu33□luŋ35～：抖一下子}			
tʰ	[1]拖□{撩起}			
n	[6]□{物品倾斜向一方}			
ts	[1]抓			
k	[1]瓜[3]寡[5]芥-{～菜：一种茎高叶窄的芥菜}卦挂{～瓶：输液}			
kʰ	[1]夸垮			
ŋ	[6]瓦			
x	[1]花华{中～；姓}铧{犁～：犁上端用来翻土的铁片}[5]化			
∅	[1]鸦{老～：乌鸦}娃蛙娲{女～}挖=[6]话画			
#ɛ				
p	[1]排{竹～：竹筏；～公妈：祭祖先}牌簰{筏子}[3]摆□{走路左右摇摆的样子}			
pʰ	[1]□{洋～：一种形体小的青蛙，约拇指大小}□{做～：撒娇}[3]□{面～：脸颊}[5]稗{稗子}‖□{□tsi35～：女阴}			
m	[1]□{俯卧在床上}□{躲}[3]买□{凹进去}[5]□{坍}‖□{□ku21□tsʰyøŋ35～：屁股蛋}[6]卖𣍐{不会（应为“伓解”的合音）}			
t	[1]低题蹄[3]底抵-{～押}□{遮，挡}[5]帝[6]弟={～兄}第递逮‖[11]□{□θiu21～：惭愧}			
tʰ	[1]啼=[3]体[5]替屉{～～：抽屉}			
n	[1]尼泥{水～}[3]奶{阿～：母亲}‖□{□tsieŋ35～：这里；□xiek21～：那里}[5]□{凹}[6]泥{拘～}□{硬～：强迫}			
l	[1]犁={～堘：耕地}黎藜{杖～：用来制作拐杖的植物}璃{玻～}□{□tsʰy35-33～：赶牛用的竹枝}‖□{□ŋɛ33～：啼哭不止}[3]礼□{景况凄惨，难以东山再起。羞～：丢脸}□{小孩发脾气，趴在地上，间歇性哭闹}[6]隶丽{美～}励			
ts	[1]斋{偷走～：旷课；侬家～：私塾}齐[5]济[6]剂□{量词，蜀～布：一段布料；蜀～柴：一截木头}□{贱～：受罪或犯错}□{动词，发面}			
tsʰ	[1]妻差{出～}			
θ	[1]西[3]洗[5]细{～婆：小老婆}婿={贤～}粞{～粉：糯米磨成的粉}[6]□{多}			
k	[1]街[3]解-{～开}			
kʰ	[1]溪{～头卵：鹅卵石}□{咬、啃}□{衣裳～：衣服下摆}[5]快-{～慢}			
ŋ	[1]倪{姓}睨{时不时偷瞄一眼}霓□{树枝}‖[3]□{～□lɛ35：啼哭不止}			
x	[3]□{怒视，翻白眼}[6]蟹{老～：淡水的螃蟹}			
∅	[1]鞋□{推}[3]矮[6]解{会。《广韵》：胡买切，晓也}			
#ie				
p	[5]臂[6]闭避=			
pʰ	[1]批{信}砒□{涂～浆：涂水泥}□{削}‖[11]□{棕□liu55～：撕成细条的棕叶，捆粽子用}			
t	[1]池[3]里{～面}[6]弟-{阿～：弟弟}			
tʰ	[1]啼-{小声哭}[5]剃			
l	[1]例离{～婚}篱{～笆}厘[6]荔			
ts	[1]支={～持}枝栀{～子：中药名}脂{胭～}芝[3]紫{～菜：茄子}[5]祭漈{小瀑布}际製{～作}制{～度}□{事～：事情。有些方言材料写作“代志”}			
θ	[1]些施匙{锁～；铁～：锅铲}[5]世逝势[6]豉-{～油：酱油}誓□{～尿：尿床}			
k	[1]鸡{水～：田鸡。坂东方言中的“塍鸡”一词是指在稻田里叫的一种形体较小的鸟}闺规岐{常见于地名}鲑{～囝：一种鱼酱，用来调味}□{系、扎、拴}[5]计继桂季			
kʰ	[3]启企[5]契{～囝：义子}			
ŋ	[1]宜-{便～}[6]艺义{～女：丫头；～家：婚姻关系中，与女方同姓的宗亲}议谊毅			
x	[1]携[5]系{～统；关～}费{～用}废肺吠={蜀犬～日}惠慧彗{～星}戏			
∅	[1]爷移[3]椅			
#œ				
m	[1]□{不负责任}			
t	[6]苎{～麻：闽东常见，旧时可制成衣服}			
tʰ	[3]□{铲}□{顽～：顽皮}			
n	‖[3]□{□tøŋ35-21～：哪里}			
l	[1]驴犁-{动词，～上去：用理发师的专用推剪往上推}□{女人骂人（与“咒”义同）}□{伸}[5]鑢{锉磨使之光滑的工具，或作动词}			
ts	[1]□{跳}□{为人轻佻，多指女人}[3]□{人品不好}[6]助			
tsʰ	[1]初□{～侬：骂人}[5]□{鼎～：丝瓜络，常用来洗锅}□{用力擦}			
θ	[1]疏{～密}梳[3]玺黍{高粱}			
k	[5]□{声音很大，形容词；叫、呼人，动词}			
kʰ	[1]□{傻}			
ŋ	[1]□{歪，斜，可用于抽象概念，如歪理}			
x	[1]哈{大口呼气}□{吹嘘、说大话}[5]□{一哄而上}			
#yø				
t	[3]贮{盛（饭等固体物）}			
ts	[3]□{腐～：豆腐乳}[5]借			
tsʰ	[5]尺			
k	[1]桥			
∅	[3]□{花萎}[6]裔阅锐			
#ɔ				
p	[1]玻褒{羡慕、夸奖；哄小孩儿}葡{刺～萄：野草莓的统称（包括覆盆子和树莓等）}婆袍[3]保堡煲宝[5]报播□{男人骂人}[6]抱暴爆□{量词，蜀～草：一丛草；蜀～香蕉：一串香蕉}			
pʰ	[1]波菠坡[5]破={～坏}粕{甘蔗～：甘蔗渣}			
m	[1]毛无-{没有}魔□{蚊虫叮咬鼓起的疙瘩。起～：蚊虫叮咬后鼓起疙瘩}[3]母-{石头～：大石头；鸡～：母鸡；蕃～：白薯种}拇[6]磨={动词；名词}冒帽			
t	[1]多刀涛佗{华～}陀{阿弥～佛}驼驮{拿}陶萄逃□{～□touŋ242～：掉}‖□{□tʰaŋ35-21□kuaŋ33-21～：摆架子}□{～□（t＞）louŋ53喙：漱口。前两字可能是“盪”的分音词}□{收～：收拾}[3]岛捣倒{打～}祷□{□puŋ23-21～裤：开裆裤}□{量词，蜀～草：一捆草}[5]到桌[6]惰道盗导稻蹈□{□tsɔ33-53～：狡猾}‖[9]□{～凉：乘凉}			
tʰ	[1]滔桃□{塗～：较小的土坯}[3]讨{～神奶：问巫婆；～菜：去菜园摘菜}[5]套托			
n	[1]哪{～吒}挪□{稀饭等煮糊}[3]恼脑[5]□{物件}			
l	[1]罗逻啰锣萝{～卜}牢劳痨涝{发大水}□{用水稍煮}□{□puk21-33～盖：宝盖头}‖肚{腹～：肚子}□{收～：拾}[3]老={～实}潦□{鞋～：装针线的竹器，圆形，较浅}□{送饭的竹器，上圆下方}[5]□{动词，套}□{～筛：孔很小的筛子}[6]□{～重：过称}□{寻找}‖[11]□{□ku21～病□tʰœy33：麻风病。如今这种病很少见，该词现在多用来表示某人事情做得绝，无人理会}			
ts	[1]遭曹槽=[3]昨早=左佐枣□{～□（t＞）lɔ242：狡猾}[5]做作[6]坐={列～其次}座造皂{胰～：肥皂}□{肥～：肥肉}□{阶～：台阶}			
tsʰ	[1]搓臊{（海产品等）腥}操{曹～}[3]藻草={～～：马虎}□{食用碱}[5]错措燥{天气干燥}躁糙{～米}			
θ	[1]缲{～边}嗦{啰～}梭骚槽-{猪～；尿～：给小孩夜间解手用的便器}□{鸭子等扁平喙动物啄物}[3]锁琐嫂[5]索{绳子}□{吮吸}			
k	[1]哥歌高篙{竹～：撑船用的竹竿}膏糕□{沾}胳{～□lɔʔ5下：腋下}[3]稿{～头：田里的稻茬}搞[5]个告阁搁□{煎}□{加热冷掉的食物}‖[9]□{～□louŋ21粒：整个}			
kʰ	[1]苛□{鼾声，打鼾}□{刁难}[3]可坷{坎～病痛：遇到意想不到的灾祸，十分不幸}考拷[5]靠□{鱼～：小鱼干}			
ŋ	[1]鹅={天～}俄{～罗斯}娥蛾熬{～眠：熬夜；～油：用较多的油将肉中油脂熬出来}[3]我={自～}[5]鏊{平底锅}[6]饿傲□{～～：重叠词，泛指牛}			
x	[1]何荷{～花；薄～}毫豪{～猪}[3]好{形容词，与“坏”相对}郝{姓}[5]好{爱～}耗[6]贺号{～码；大～乞丐：街头卖艺的艺人}浩			
∅	[1]阿{～胶}河{～囝：田间的小渠}[3]袄[5]奥澳恶{乖，聪明}□{接吻}‖[11]□{杉刺～：杉树的叶子}			
#uo				
p	[1]晡{半～：半天}夫-{丈～：男性}蒲{～扇}莆□{桐～树：桐树}[3]脯{胸～肉：动物胸脯肉；菜～：腌制的萝卜{一般用当地的黄土和盐进行腌制}；菜～囝：切碎或呈丝状的腌制萝卜}剥补斧-{～头}[5]布怖□{快要。～暗：傍晚，～去：要去}[6]步部簿			
pʰ	[1]麸铺{床～}□{哄人}[3]普浦谱圃[5]曝{晒}铺{量词，蜀～：一里路程}			
m	[1]摸模{～糊}摹雾-{落～：下雾}[5]墓[6]暮慕募戊			
t	[1]屠厨橱={～柜}[3]朵[6]□{路}‖[10]□{～杖：辅助挑担用的棍子（挑担时可作为拐杖，也可在休息时支撑担子中端）}			
tʰ	[3]妥椭			
l	[3]虏劣			
ts	[1]朱珠={柱～：柱子下的石墩；出～：长水痘}[3]主-{～侬：主人}[5]注铸烛			
tsʰ	[1]□{～螺丝：拧螺丝}□{蹲}[5]厝{房子}粟-{稻谷}			
θ	[1]输-{～赢}[3]所={～以}[5]□{砍，切}[6]□{尿～：尿布}			
k	[3]果={青～：性凉的水果，也可指水果}裹={包～}廓□{魔芋}[5]过{～去（古卧切）}句			
kʰ	[1]锅科窠{动物的巢穴}瘸{～手：手残废}靴[5]课去-{来～；僵～：僵持不下}曲-{弯的；唱～：唱戏}□{□liaŋ35～：很粗的缝}			
ŋ	[6]误悟			
x	[1]禾和{～平}□{～～汤：温水}伙[5]货藿{～香正气水}[6]祸和{附～}			
∅	[1]倭{～寇}蜗{～牛}莴{～笋}窝{燕～}[5]沃{浇}[6]芋			
#ai				
p	[6]败			
m	[6]迈			
t	[2]台□{一种小白虫，类似螨虫，附在身上会发痒}□{糠中常见的小虫，形体很小，淡黄色}□{量词，蜀～墓：一座墓}[5]带戴碓{～米：舂米。无水时用脚踩一端；有水时可用水推（称“水碓”）}□{～～：程度副词，非常}[6]大={～学；～阿妈：婆婆}待怠代={～表}贷事-{无～：没关系}□{被击中}‖[9]□{～中：中间}			
tʰ	[2]治-{杀}[5]太汰态泰			
n	‖[5]婿-{年～：女婿}[6]耐奈柰□{真～：动作迟缓}‖□{□kaŋ53～：为什么；怎么（和“□kaŋ21□nei55：为什么；怎么”词义相同）}‖[11]□{□kaŋ21～：为什么；怎么（和“□kaŋ53□nai242：为什么；怎么”词义相同）}			
l	[2]箩{箩筐，上圆下方孔小的竹器，多装稻谷}来={～往}雷-{响～公：打雷}□{□uoŋ53-33～：菠萝}[5]□{水从坡壁上斜着流下来，通常有水坝；也可指鱼上下游之间的游动}‖□{□tsʰa33□ma53～：毛毛虫}□{□θyøŋ53～：逆水}[6]赖{～皮：耍赖}濑{水流较急、较浅的地方}癞□{摩擦、刮擦}			
ts	[2]才财材豺{～狼}裁[5]再债载{记～；～货}[6]在{所～：地方、处所}寨械			
tsʰ	[5]菜{～头：萝卜}蔡			
θ	[1]沙-{沙子}鲨腮狮筛={～选}私-{～家钱：私房钱}‖□{～帚：一种芦苇做的笤帚。该说法比“芒扫芦苇做的扫帚”更常见}[2]脐□{耳～：耳垂}[3]屎使{～蜀下：用一下}驶[5]塞{边～}[6]士-{道～}□{放置，专指重的东西}□{～下～下：动作迟钝}			
k	[5]盖{名词}介界芥={～菜：一种茎矮叶阔的芥菜}疥{生～：长疥疮}届□{再、又}‖[9]□{～后日：大后天}			
kʰ	[5]溉概慨			
ŋ	[2]□{人坏或性格执拗；做～：耍赖}			
x	[2]孩谐颏{下～：下巴}□{陶瓷器}[6]亥害			
∅	‖[10]□{有□pi21～：有办法；无□pi21～：没办法}[5]艾={金～条：艾条的一种}爱={～情}[6]碍			
#ei				
pʰ	[3]痞-{～囝：流氓}			
m	[3]□{～鬼：梦魇}			
t	[1]呆□{小米。因小米的植株形似狗尾草，方言亦称“犬尾索”}□{～手：帮人、帮工}[3]歹			
tʰ	[1]胎苔={舌～}筛-{蜀下：筛一下；□lɔ23～：孔很小的筛子}梯台{风～：台风}□{棕～：蓑衣}□{～囝：使稻谷脱粒时使用的竹木架子。本字可能是“梯”，因中间用竹木排列而成，形似小梯子}			
n	[1]□{肥肥～～：胖乎乎}[3]乃			
l	[3]□{鱼篓}			
ts	[1]灾栽[3]宰纸载{年～}指-{十一～：六指}趾-{骹～：脚趾}			
tsʰ	[1]钗猜{～拳}[3]彩采			
k	[1]该{～好：幸亏}胲{嗉子，禽类喉咙下装食物的地方}阶[3]改解={～决}			
kʰ	[1]开={～关}[3]凯楷			
x	[3]海			
∅	[1]哀唉[3]倚{依赖，靠}			
#uai				
p	[5]簸{～箕：用来晒东西的圆而浅的竹编容器}拜			
pʰ	[5]破-{～水：将田里的水往外排}派			
m	[2]磨-{动词}摩麻-{油～：芝麻；出～：出荨麻疹}埋[6]□{用背驮}			
t	[6]大-{～小}			
k	[2]槐□{～头：棺木首尾的木板}[5]怪			
kʰ	[5]快={～乐}块=			
x	[2]怀{～疑}淮{～山}[6]坏			
∅	‖[6]□{□ni53～：多少}			
#au				
p	[2]胞[5]豹趵{～突泉}龅			
pʰ	[2]跑[5]炮[6]鲍泡={～沫}			
m	[2]锚矛茅[6]貌			
t	[2]骰{～子}[5]罩{鸡笼～：盖小鸡的罩子}昼-{食～：吃午饭；下～：下午}[6]豆-{～腐}痘脰{～脖：脖子}□{公牛脖子上方、脊背最靠前部隆起的部位。该隆起部位为公牛较明显的生理特征。若公牛阉割后（一般为出生后半年），该部位隆起则不明显}			
tʰ	[2]头-{～发}‖□{直～：一直}[5]透{～夜：通宵}□{用药毒死，本字或写作“毒”}			
n	[6]闹			
l	[2]楼-{～梯}流-{水～}刘留-{～下来}□{量词，蜀～：一遍}[5]□{人从高处往下走}‖□{□tsʰia21～：竹枝做的扫把}[6]老-{～虎}漏-{～电}			
ts	[2]巢{黄～}剿[5]灶			
tsʰ	[5]臭-{～丸：樟脑丸}			
θ	[5]扫{动词}哨{横～：横笛}嗽			
k	[2]猴{～囝：猴子}□{～蚣：蚯蚓}[5]教={～育}校{～对}较遘{到。《集韵》：下遘切，遇也}够{有～：够了}□{耳～：有柄的茶杯；酒～：量酒的器具}[6]厚-			
ŋ	[2]肴□{面部扭曲}[6]藕			
x	[5]孝={～顺}酵鲎[6]效校{学～}侯-{闽～：地名（该地名也可读文读）}			
∅	[6]後-{～门；使～：行贿}			
#ɐu				
p	[1]包苞[3]饱={温～}			
pʰ	[1]抛刨□{柚子}			
m	[3]卯铆{～钉。单说可作动词}亩			
t	[1]兜{近～：附近}蔸{量词，棵、株}□{近～：附近}[3]斗{容量单位}抖			
tʰ	[1]偷[3]㪗{展开、解开}敨{展开、解开}			
n	[1]□{作～：撒娇}□{动物用爪子划破。乞猫□ni35～去：被猫抓了}‖□{硬～：肯定}[3]饶{上～：地名}挠绕			
