IPA	調值	調類	漢字
pʰai	413	5	派
mai	35	3	买
mai	413	5	卖
sai	413	5	晒
xai	55	2	鞋还
ŋai	35	3	矮
tsɿ	413	5	制字治
sɿ	413	5	世四寺柿事试市
Ǿi	413	5	艺意义[文读：～务，正～]
mi	35	3	米
ti	11	1	低
tʰei	11	1	梯[白读：楼～]
tʰi	413	5	剃
ti	413	5	弟递地
ȵi	55	2	泥
li	55	2	犁梨
ɕi	11	1	西希溪[文读：～流]
tɕi	11	1	鸡饥
tɕʰi	11	1	溪[白读：琏～村]
tɕʰi	413	5	契器气
ɕi	413	5	系戏
pei	11	1	杯碑
pʰei	413	5	配
pʰei	55	2	赔
mei	55	2	煤眉[文读：～目]
mei	413	5	妹
tei	413	5	对
lei	55	2	雷
tsei	413	5	罪醉
sei	413	5	碎岁
xuei	11	1	灰飞
xuei	55	2	回肥
Ǿuai	413	5	外
xuei	413	5	会肺费
kuai	413	5	怪
kʰuai	413	5	块快
xuai	55	2	怀
xuai	413	5	坏
kuai	35	3	拐
kua	413	5	挂
Ǿuai	11	1	歪
Ǿuei	413	5	卫位味胃
kuei	413	5	桂跪柜贵
pʰi	55	2	皮匹
pi	413	5	被[白读：～窝]
tsɿ	35	3	紫纸指子
tsʰɿ	413	5	刺
tsɿ	11	1	知资
tsʰɿ	55	2	池迟祠
Ǿe	55	2	儿
tɕi	413	5	寄记季
ȵi	35	3	蚁[白读：白～，蚂～]
ȵi	413	5	义[白读：～气]
Ǿi	55	2	移姨
pi	35	3	比
pʰi	413	5	屁
pi	42	7	鼻笔逼壁
mi	55	2	眉[白读：～毛]
sɿ	35	3	死使
sɿ	11	1	师丝
Ǿe	413	5	二
li	35	3	李
sɿ	55	2	时
Ǿe	35	3	耳
ɕi	35	3	喜洗[又读]
tɕi	35	3	几
Ǿi	11	1	衣
tsei	35	3	嘴
ɕyei	55	2	随[白读：～便]垂[白读：下～]
tɕʰyei	11	1	吹
kuei	11	1	规龟
kʰuei	11	1	亏
Ǿuei	11	1	危
lei	413	5	类
tɕyei	11	1	追
tɕʰyei	55	2	锤垂[文读：～直]
ɕyei	35	3	水
Ǿuei	35	3	尾
kuei	35	3	鬼
Ǿuei	55	2	围
pɔu	35	3	宝饱
pɔu	413	5	抱
mɔu	55	2	毛
mɔu	413	5	帽
tɔu	11	1	刀
tʰɔu	35	3	讨
tʰɔu	55	2	桃
tɔu	413	5	道
lɔu	35	3	脑老
tsɔu	35	3	早找
tsɔu	413	5	灶罩照造[～飞机]
tsʰɔu	35	3	草
tsʰɔu	413	5	糙造[～反]
sɔu	35	3	嫂勺
kɔu	11	1	高
kʰɔu	413	5	靠
ŋɔu	55	2	熬
xɔu	35	3	好
xɔu	413	5	号
pɔu	11	1	包
pʰɔu	413	5	炮
miɔu	11	1	猫[白读]
lɔu	413	5	闹
tɕya	11	1	抓
tsʰɔu	11	1	抄
tɕiɔu	11	1	交焦
kʰɔu	11	1	敲
ɕiɔu	413	5	孝校笑
piɔu	35	3	表
pʰiɔu	413	5	票
miɔu	413	5	庙
ɕiɔu	35	3	小
tsʰɔu	55	2	朝
sɔu	11	1	烧
ȵiɔu	35	3	绕鸟[文读]
tɕʰiɔu	55	2	桥
tɕiɔu	413	5	轿叫
Ǿiɔu	11	1	腰
Ǿiɔu	413	5	要
Ǿiɔu	55	2	摇
tiɔu	35	3	鸟[白读]
tiɔu	413	5	钓
tʰiɔu	55	2	条
liɔu	413	5	料
ɕiɔu	11	1	箫
mu	35	3	母
təu	35	3	抖
tʰəu	11	1	偷
tʰəu	55	2	头
təu	413	5	豆
ləu	55	2	楼
tsəu	35	3	走
tsʰəu	413	5	凑臭
kəu	11	1	钩
kəu	35	3	狗
kəu	413	5	够
kʰəu	35	3	口
ŋəu	35	3	藕
xəu	413	5	后厚
liəu	55	2	流
tɕiəu	35	3	酒九
ɕiəu	11	1	修休
ɕiəu	413	5	袖
tsʰəu	11	1	抽
tsʰəu	55	2	绸愁
səu	413	5	瘦寿
tsəu	11	1	州
səu	35	3	手
tɕʰiəu	55	2	球
tɕiəu	413	5	舅旧
ȵiəu	55	2	牛
Ǿiəu	11	1	优
Ǿiəu	35	3	有
Ǿiəu	413	5	右幼
Ǿiəu	55	2	油
tiəu	11	1	丢
tʰã	11	1	贪汤
tʰã	55	2	潭弹糖
lã	55	2	南蓝难兰
tsʰã	55	2	蚕缠长尝
kã	35	3	感敢讲[白读：～话]
kʰã	55	2	含[白读：～口水]
ŋã	413	5	暗岸
ta	42	7	搭达
tʰa	42	7	踏塔
la	11	1	拉
tsa	42	7	杂闸扎
ko	42	7	鸽割各郭角[牛～，额～前]国[文读]
xo	42	7	盒活佛[又读]鹤霍或
tã	35	3	胆党
tʰã	35	3	毯
tã	413	5	淡
sã	11	1	三杉衫山伤
kã	11	1	甘肝间钢
xã	35	3	喊
la	42	7	蜡辣
tɕyẽ	413	5	赚传
tɕiẽ	35	3	减剪
xã	55	2	咸含[文读：～山、包～]
tsʰa	42	7	插擦
ka	42	7	夹[白读]
tɕiẽ	11	1	监尖奸肩
Ǿiẽ	55	2	岩炎盐严颜延言
tɕia	42	7	甲夹[文读]
ŋa	42	7	鸭
ȵiẽ	11	1	黏
tɕʰiẽ	11	1	签牵铅[文读：～球]
tsã	413	5	占战
zã	35	3	染
tɕʰiẽ	55	2	钳钱前
ȵiẽ	413	5	验念
ɕiẽ	35	3	险显选
Ǿiẽ	413	5	厌
tɕie	42	7	接杰节截结
tse	42	7	折贼侧[白读：翻～]择窄摘
Ǿie	42	7	叶业
tɕiẽ	413	5	剑件建健见
tɕʰiẽ	413	5	欠
tiẽ	35	3	点典
tiẽ	413	5	店垫
tʰiẽ	11	1	添天
tʰiẽ	55	2	甜田
ɕiẽ	55	2	嫌
tie	42	7	跌碟
tʰie	42	7	贴铁
ɕie	42	7	协歇雪
xuã	413	5	犯换饭放
xua	42	7	法滑发罚
pʰin	35	3	品
lin	55	2	林邻零
tɕin	42	7	浸
ɕin	11	1	心新星
tɕʰin	55	2	寻[白读]琴勤
tsʰən	55	2	沉陈辰层程城
sən	11	1	参深身孙升生声僧[文读]
tsən	11	1	针僧[白读]争贞
zən	413	5	任认
tɕin	11	1	金筋经
Ǿin	11	1	音蝇
li	42	7	立栗力历
tɕi	42	7	集急及吉极积击
ɕi	42	7	习吸息惜席锡
tsɿ	42	7	汁侄直织
sɿ	42	7	十实失食式石虱[文读：～子]
zu	42	7	入肉褥
tã	11	1	单
tʰã	413	5	炭
lã	35	3	懒
lã	413	5	烂浪
sã	35	3	伞
kʰã	413	5	看
xã	413	5	汉汗
ŋã	11	1	安
kʰo	42	7	渴阔壳
pã	413	5	扮办棒
tsʰã	35	3	铲产厂
ŋã	35	3	眼[白读：～睛]
ɕiẽ	413	5	限线现县
pa	42	7	八
sa	42	7	杀
pã	11	1	班帮
pã	35	3	板绑
mã	413	5	慢
xa	42	7	瞎
piẽ	413	5	变便
pʰiẽ	413	5	骗片
miẽ	55	2	棉
miẽ	413	5	面面
liẽ	55	2	连莲
tɕʰiẽ	35	3	浅
ɕiẽ	11	1	鲜先
sɛ̃	413	5	扇
sã	413	5	善上
pie	42	7	别憋
mie	42	7	灭篾
lie	42	7	列
tsʰe	42	7	撤测拆策侧[文读：～面]
se	42	7	舌设虱[白读：～子]塞色
ze	42	7	热
ȵie	42	7	孽捏
piẽ	35	3	扁
ȵiẽ	55	2	年
Ǿiẽ	11	1	烟
tɕʰie	42	7	切
puõ	11	1	搬
puõ	413	5	半
pʰuõ	413	5	判[白读]
pʰuõ	55	2	盘
muõ	35	3	满
tuõ	11	1	端
tuõ	35	3	短
tuõ	413	5	断
luõ	35	3	暖
luõ	413	5	乱
suõ	11	1	酸
suõ	413	5	算
kuã	11	1	官关光
kʰuã	11	1	宽筐
xuã	11	1	欢翻慌方
Ǿuã	55	2	完顽王
Ǿuã	35	3	碗晚网
po	42	7	拨薄剥
pʰo	42	7	泼
mo	42	7	末
tʰo	42	7	脱托
to	42	7	夺
Ǿua	42	7	挖袜
ɕyẽ	11	1	闩
kuã	413	5	惯
xuã	55	2	还黄房防
Ǿuã	11	1	弯
ɕya	42	7	刷
kua	42	7	刮
tɕʰyẽ	55	2	全传船权
tɕyẽ	35	3	转卷
tɕyẽ	11	1	砖
Ǿyẽ	35	3	软远
tɕʰyẽ	11	1	圈
Ǿyẽ	55	2	圆原园
Ǿyẽ	413	5	院
kʰã	11	1	铅[白读：～笔]糠
tɕye	42	7	绝决
xuã	35	3	反纺
Ǿuã	413	5	万旺
tɕʰyẽ	413	5	劝
Ǿyẽ	11	1	冤
Ǿye	42	7	月越
tɕʰye	42	7	缺
ɕye	42	7	血
tʰən	11	1	吞
kən	11	1	根更耕
xən	413	5	恨
ŋən	11	1	恩[白读：感～]
pʰin	55	2	贫平瓶
min	55	2	民名明[～白，～亮]
tɕin	413	5	进劲近镜静
tɕʰin	11	1	亲清轻青
tsən	413	5	镇震证正
sən	55	2	神绳
zən	55	2	人
tɕin	35	3	紧井
Ǿin	55	2	银迎赢营
Ǿin	413	5	印
Ǿin	35	3	引隐影
mi	42	7	密
tɕʰi	42	7	七吃
zɿ	42	7	日
Ǿi	42	7	一益
pən	35	3	本
pʰən	55	2	盆
mən	55	2	门明[～朝]
tən	11	1	墩蹲灯
lən	413	5	嫩
tsʰən	11	1	村
tsʰən	413	5	寸秤
kuən	35	3	滚
kʰuən	413	5	困
xuən	11	1	婚
xuən	55	2	魂坟横[白读]
Ǿuən	11	1	温
tsu	42	7	卒族竹粥足烛
ku	42	7	骨谷
lən	55	2	轮能
tɕyn	413	5	俊
sən	35	3	笋省
tɕyn	35	3	准
tɕʰyn	11	1	春
tɕʰyn	55	2	唇裙
ɕyn	413	5	顺
ɕyn	55	2	纯寻[文读]
Ǿyn	413	5	闰运
tɕyn	11	1	均军
Ǿyn	55	2	匀云
ly	42	7	律
tɕʰy	42	7	出曲
tɕy	42	7	橘菊局
fən	11	1	分
fən	35	3	粉
fən	413	5	粪
Ǿuən	55	2	蚊
Ǿuən	413	5	问
ɕyn	11	1	熏
Ǿu	42	7	物握屋
mã	55	2	忙
tsʰã	11	1	仓
mo	11	1	摸
lo	42	7	落
tso	42	7	作着桌镯
so	42	7	索缩
ŋo	42	7	恶
ȵiã	55	2	娘
liã	35	3	两
liã	413	5	亮
tɕiã	11	1	浆姜江
tɕʰiã	35	3	抢
tɕiã	413	5	匠
ɕiã	35	3	想响
ɕiã	413	5	像向项
tsã	11	1	张章
tɕyã	11	1	装桩
tɕyã	413	5	壮
tɕʰyã	11	1	疮窗
tɕʰyã	55	2	床
ɕyã	11	1	霜双
tsʰã	413	5	唱
zã	413	5	让
Ǿiã	11	1	秧
Ǿiã	35	3	痒
Ǿiã	413	5	样
tɕʰio	42	7	雀
ɕio	42	7	削学
ȵio	42	7	弱
tɕio	42	7	脚角[主～]
Ǿio	42	7	约药
kʰuã	55	2	狂
xu	42	7	缚福服佛[又读]
pʰã	413	5	胖判[文读]
tɕyã	42	7	撞
ɕiã	55	2	降
pʰoŋ	55	2	朋棚蓬
tən	35	3	等
tən	413	5	凳
tʰən	55	2	藤
kʰən	35	3	肯
pe	42	7	北百白
me	42	7	墨麦
te	42	7	得
tʰe	42	7	特
kʰe	42	7	刻客
xe	42	7	黑
pin	11	1	冰兵
sən	413	5	剩
ɕin	413	5	兴姓
kue	42	7	国[白读]
moŋ	35	3	猛
ta	35	3	打
lən	35	3	冷
kən	35	3	梗
kʰən	11	1	坑
ŋən	413	5	硬
ɕin	55	2	行形
pʰe	42	7	拍
ke	42	7	格隔
ŋe	42	7	额
pin	413	5	柄病
min	413	5	命
tɕʰin	413	5	庆
pin	35	3	饼
lin	35	3	领
tsən	35	3	整
tsʰɿ	42	7	尺
tin	11	1	钉
tin	35	3	顶
tʰin	11	1	厅
tʰin	413	5	听
tʰin	55	2	停
tʰin	35	3	挺
tin	413	5	定
pʰi	42	7	劈
tʰi	42	7	踢
ti	42	7	笛
ɕioŋ	11	1	兄凶
Ǿioŋ	55	2	荣容
Ǿyn	35	3	永
toŋ	11	1	东冬
toŋ	35	3	懂
toŋ	413	5	冻动洞
tʰoŋ	11	1	通
tʰoŋ	35	3	桶统
tʰoŋ	413	5	痛
tʰoŋ	55	2	铜
loŋ	55	2	聋脓浓龙
loŋ	413	5	弄
tsoŋ	413	5	粽重种
tsʰoŋ	11	1	葱充冲[～上去，～洗]
soŋ	413	5	送宋
koŋ	11	1	公宫恭
koŋ	35	3	孔
xoŋ	11	1	烘风丰封蜂
xoŋ	55	2	红
Ǿuoŋ	11	1	翁
mu	42	7	木目
tu	42	7	读毒
lu	42	7	鹿六[白读]绿
kʰu	42	7	哭
soŋ	11	1	松松[文读]
xoŋ	413	5	凤缝
moŋ	413	5	梦
tsoŋ	11	1	中终
tsʰoŋ	55	2	虫松[白读]
tɕioŋ	55	2	穷
ɕioŋ	55	2	熊雄
su	42	7	宿叔熟赎属
tsʰu	42	7	畜
tsoŋ	35	3	肿
koŋ	413	5	共
Ǿioŋ	35	3	拥
Ǿioŋ	413	5	用
Ǿy	42	7	浴
