音标	声调	汉字
li	6	利例莉痢厉隶励丽
tsi	4	剂
tsi	1	遮蜘
tsi	3	姐脐荠脂旨指纸趾
tsi	5	翅蔗
tsi	6	际穄谢至志制治致智制志滞
tsʰi	3	扯痴耻齿峙
si	2	钥
si	1	豉凄凄凄栖
si	3	蛇始匙
si	5	世式适
si	6	氏示市似侍是恃逝舐势誓细
ȵi	4	耳饵蚁义议
ȵi	3	儿
ȵi	6	艺
ki	2	期棋旗
ki	1	肌饥冀
ki	3	给几(茶几)几(几个)忌纪其奇
ki	5	羁虮(虱的卵)技妓季记祭寄髻吸
ki	6	吉既继
kʰi	1	机讥饥
kʰi	3	祈乞起岂
kʰi	5	汽气讫器
kʰi	6	企
hi	1	希稀溪牺
hi	3	喜
hi	5	系(系鞋带)系(连系)系(中文系，系统)系(关系)戏弃
wi	2	肥
wi	1	煨
kʷi	6	回
i	4	以
i	1	医
i	3	已
i	5	懿
i	6	怡贻饴矣异意
po	4	抱暴
po	3	保堡宝
po	5	豹报
po	6	菢(菢小鸡(孵))
pʰo	3	钹(铜质圆乐器)
mo	2	毛矛茅
mo	4	卯
mo	6	冒帽貌
to	1	刀
to	3	倒(打倒，倒掉)倒(倒着走，倒车)岛捣祷
to	5	到道
to	6	稻
tʰo	3	导逃桃陶萄淘讨
tʰo	5	套
no	4	恼脑
lo	2	牢劳
lo	4	老姥
tso	1	遭糟召
tso	3	曹槽巢早蚤枣澡躁
tso	5	皂灶兆照罩赵
tsʰo	2	潮
tsʰo	1	抄超钞
tsʰo	3	草
tsʰo	5	糙造燥
so	1	骚臊
so	3	嫂
so	5	扫(扫地，打扫)扫(扫帚)哨
ko	1	高羔膏(牙膏，膏药)膏(膏油，膏车)篙糕
ko	3	秆稿
ko	5	告
kʰo	3	考烤
kʰo	5	拷犒铐靠
ŋo	6	爊熬袄傲
ho	2	毫豪壕
ho	3	好(好坏)好(爱好)
ho	6	浩
o	6	号(号叫，号啕大哭)号(口号，号码)
pu	2	辅
pu	1	簸
pu	3	补葡
pu	6	布(一块布，布料)步布(宣布，公布)怖部讣仆(仆人，奴仆)
pʰu	1	捕铺(铺开，铺设，铺张)
pʰu	3	甫浦普谱
pʰu	5	铺(店铺，当铺)
pʰu	6	瀑曝
mu	4	母牡拇
mu	3	摸巫(巫婆，老巫)
mu	6	磨(磨刀，磨墨)磨(石磨，磨豆腐)募慕暮
fu	1	孵
fu	3	腐
fu	5	麸釜父负妇
tu	1	都(都是)笃肚(肚子，肚脐)
tu	3	堵赌途图
tu	6	肚(猪肚)妒度(度量)度(忖度)渡踱铎
tʰu	3	土
tʰu	5	镀吐(吐痰)吐(呕吐)兔
nu	4	努
nu	6	怒糯
lu	3	驴
lu	6	赂路露鹭
tsu	4	蓄
tsu	1	嘱租
tsu	3	轴逐箸阻祖组
tsu	6	助
tsʰu	1	粗
tsʰu	3	楚础筑
tsʰu	5	醋素
su	1	梳疏(亲疏，疏密，疏远)疏(注疏，经疏)蔬酥苏
su	5	叔淑漱朔诉嗉(鸟嗉子，嗉囊)
su	6	塑
ku	1	孤锅
ku	3	箍古股牯鼓蛊故贾
ku	5	固雇锢顾
ku	6	辜
kʰu	1	棵窠颗枯
kʰu	3	苦
kʰu	5	库裤
hu	1	夫肤芙
hu	3	斧府腑虎浒
hu	5	付附副傅富赋户戽(戽水(把水泼出去)戽斗)
hu	6	咐护
u	3	勿
u	5	雾
u	6	互无悟务误
ty	1	堆推
ny	4	女
ly	4	吕旅稆履缕
ly	6	滤
tsy	2	厨橱
tsy	1	株蛛诛猪
tsy	3	徐主煮
tsy	5	殊署拄着
tsy	6	雏聚住注(注意)蛀注(注释)驻铸
tsʰy	1	蛆
tsʰy	3	处(处理)处(处所，处里)取娶
tsʰy	5	趣
tsʰy	6	储
sy	1	书枢输戍须(必须)须(胡须，锦旗下面垂的须)
sy	3	暑鼠
sy	5	胥序婿
sy	6	叙绪
ky	3	矩举拒距佢渠曲
ky	5	居跔锯
ky	6	具俱据惧
kʰy	1	趋
kʰy	5	瞿衢去
ŋy	3	鱼渔
hy	1	输(运输)虚墟嘘
hy	3	许
y	4	虞愚雨语
y	1	予与
y	6	迂遇喻御寓裕预豫御誉舁
ŋ̍	4	五午伍武舞
tsɿ	4	痔致
tsɿ	1	黹咨姿资
tsɿ	3	此止址兹淄滋子姊梓
tsɿ	5	做(做事情)
tsɿ	6	自字牸
tsʰɿ	3	侈寺伺
tsʰɿ	5	疵瓷次刺赐
sɿ	1	尸(尸陈)尸(死尸，分尸)师狮诗矢司私思(思想，思念)思(意思)斯丝撕厮蛳
sɿ	3	使驶死
sɿ	5	四肆
sɿ	6	士仕事祀
pɐ	1	巴坝(平地)
pɐ	5	坝(大坝，堤坝)欛
pʰɐ	5	怕
tɐ	3	打
tsɐ	2	楂(山楂)查(调查，查帐)
tsɐ	1	渣
tsɐ	3	茶
tsɐ	5	诈榨
jɐ	4	野
jɐ	6	夜
hɐ	4	暇
ɐ	4	亚
ɐ	1	丫
pʰɔ	1	玻坡颇
pʰɔ	5	菠破
mɔ	1	摩
mɔ	5	魔
tɔ	4	舵
tɔ	2	托(托盘，枪托)托(托词，寄托)驼
tɔ	1	多
tɔ	3	朵躲
tʰɔ	2	拓
tʰɔ	1	拖
lɔ	4	裸
lɔ	1	瘰
lɔ	3	啰
tsɔ	1	搓
tsɔ	5	左佐
tsʰɔ	1	初
tsʰɔ	5	措锉
sɔ	1	唆娑梭
sɔ	3	所
sɔ	5	数(动词)数(数目，分数)
kɔ	1	戈哥歌馃
kɔ	5	个
kʰɔ	1	科
kʰɔ	5	课
ŋɔ	2	饿
ŋɔ	4	我(我)
ŋɔ	6	卧
hɔ	5	荷(薄荷)荷(荷花)荷(挑担)祸
pai	2	排簰
pai	3	摆牌
pai	5	拜
pai	6	败
pʰai	5	派
mai	4	买
mai	6	卖迈
tai	1	呆
tai	6	大(大小，大学)大(大夫，大黄，大蒜)殆待怠
tʰai	1	胎
tʰai	5	太态
nai	3	奶
lai	6	赖濑癞
tsai	3	豺
tsai	5	再
tsai	6	载
tsʰai	3	采彩睬踩
sai	1	腮鳃
sai	3	柴
sai	5	赛晒
kai	1	街
kai	3	改
kʰai	5	溉概慨
ŋai	5	埃爱
ŋai	6	艾隘
wai	2	怀
wai	1	歪(不正)歪(不正，歪嘴、歪戴帽子)
wai	6	坏
kʷai	1	乖
kʷai	3	拐
kʷai	5	怪
kʰʷai	5	刽会桧快筷
ai	3	矮蔼
ai	5	坳
suai	1	衰
suai	3	拽
puə̯i	6	倍辈
pʰuə̯i	5	配
muə̯i	6	妹
tuə̯i	5	兑碓对蜕
tuə̯i	6	队
tʰuə̯i	3	腿
tʰuə̯i	5	颓退褪
nuə̯i	6	馁内
luə̯i	6	泪类
tsuə̯i	1	追锥
tsuə̯i	3	嘴
tsuə̯i	5	最醉
tsuə̯i	6	瑞
tsʰuə̯i	1	猜吹炊崔催摧
tsʰuə̯i	5	翠隧
suə̯i	3	水
suə̯i	5	税遂碎岁
kuə̯i	3	轨鬼愧
kuə̯i	5	贵
kuə̯i	6	跪
kʰuə̯i	3	逵葵
uə̯i	6	惠会(开会)会(会不会)汇(汇总，汇报，词汇)慧绘位胃谓
pɐi	2	裴
pɐi	1	悲屄(女阴)
pʰɐi	5	佩
mɐi	4	每美
fɐi	3	匪榧毁
fɐi	5	翡诙辉
tɐi	3	台(桌子，书桌)台(平台，台湾)
tɐi	5	呆带戴
tɐi	6	代袋贷
tʰɐi	3	台(天台，台州)台(平台)抬苔
nɐi	6	奈耐
lɐi	3	来
lɐi	6	擂
tsɐi	2	材财裁
tsɐi	1	灾栽(栽树，栽菜苗)宰载(年载)斋
tsɐi	3	载(满载)
tsɐi	6	在(现在，在家)
tsʰɐi	5	菜蔡脆寨
sɐi	1	虽
kɐi	1	该皆阶秸疥偕
kɐi	3	戒揩
kɐi	5	丐盖介芥届界
kʰɐi	1	开凯
kʰɐi	3	楷
ŋɐi	6	碍
hɐi	3	海蟹
hɐi	6	亥
wɐi	1	威
wɐi	3	伟伪
wɐi	6	卉讳卫
kʷɐi	1	规归
kʷɐi	5	瑰桂奎
kʷɐi	6	柜
kʰʷɐi	1	圭闺窥亏
kʰʷɐi	5	魁
ŋʷɐi	6	外
ɐi	6	害
sɔi	6	睡
pek	8b	白柏北帕拍珀魄
pek	7b	百迫
mek	8b	脉麦
tsek	7a	只
tsek	7b	则责窄
tsʰek	7b	册厕侧策测恻拆坼
kek	7b	革格隔
kʰek	7b	客
nek	8b	额
hek	7b	吓
pik	7a	逼婢脾
pʰik	7a	劈霹
tik	7a	的滴
tik	8a	狄笛涤
tik	7a	嫡
tik	8a	敌籴
tʰik	7a	剔踢提
lik	8a	黎力历(历史)历(历书，日历)
tsik	7a	积即
tsik	8a	疾集脊
tsik	7a	迹夕只织
tsik	8a	直侄
tsik	7a	值
tsik	8a	植殖
tsik	7a	职
tsik	8a	置质拙
tsʰik	7a	迟尺赤绩戚漆
sik	8a	池驰籍石食时
sik	7a	识
sik	8a	室
sik	7a	释析息悉惜熄锡
sik	8a	席习席
sik	7a	蛰
sik	8a	执
hik	7a	吃(喝酒)吃(吃东西，吃亏)益
siə̯k	8b	勺
jiə̯k	8b	药
kiə̯k	7b	脚却
puə̯k	8b	博簿
puə̯k	7b	剥驳
muə̯k	7b	莫
tsuə̯k	8b	浊(水浑，浑浊)浊(清浊)镯
tsuə̯k	7b	捉擢
kyə̯k	7b	钁
pɐk	8a	雹卜
mɐk	8a	墨默
tɐk	7a	得德
tʰɐk	7a	特
lɐk	8a	勒肋
tsɐk	8a	贼
sɐk	7a	塞色啬
kɐk	7a	角
kʰɐk	7a	咳克刻(时刻表)刻(用刀刻)
hɐk	7a	骇黑
hɐk	8a	学
kʷɐk	7a	国
kʲɐk	7a	屐
pɔk	8b	拨
pɔk	8a	膊
pʰɔk	7b	泼
mɔk	8a	木沐
fɔk	7a	伏服福辐复袱
tɔk	8a	督独犊牍读
tɔk	7b	夺
tʰɔk	7a	凸突
lɔk	8b	烙
lɔk	8a	六卢庐炉陆
lɔk	8b	落
lɔk	8a	绿
tsɔk	8b	凿
tsɔk	7a	粥竹烛足
tsɔk	7b	作
tsʰɔk	7a	触戳促蜀束祝族
sɔk	8a	赎
sɔk	7a	俗速粟肃缩宿(星宿)宿(住宿，宿舍)续(连续)续(继续，续集)削
sɔk	7b	熟属索
nɔk	7b	玉
kɔk	7a	谷(山谷)谷(稻谷)
kɔk	7b	胳搁阁各
kʰɔk	7a	哭
kʰɔk	7b	霍藿磕廓扩确
hɔk	7a	复握育
ɔk	7a	屋
ɔk	7b	恶(可恶，大便)恶(凶恶，恶毒)
tam	1	担(挑，拿，担任)担(挑担，担子)含
tam	3	胆谭毯
tʰam	1	耽贪
tʰam	5	探
nam	3	男
lam	2	蓝兰篮
tsam	2	残谗馋
tsam	1	砧
tsam	3	斩
tsam	6	暂战
tsʰam	1	渗
sam	1	三钐衫(大衣，衣裳)衫(衬衫，布衫)裳
ham	2	咸(咸淡)咸(咸丰)闲
wam	6	犯贩
tiə̯m	4	簟
tiə̯m	3	点
tiə̯m	5	店
tiə̯m	6	踮
tʰiə̯m	1	添舔
tʰiə̯m	3	甜
niə̯m	1	黏沾粘
niə̯m	6	念验
liə̯m	4	镰
tsiə̯m	1	尖
tsiə̯m	5	占(占卜)占(占领，占地方)栈
ʃiə̯m	3	险
ȵiə̯m	4	冉染
jiə̯m	2	嫌檐盐(调味品)盐(动词，腌制)
jiə̯m	1	阉掩
jiə̯m	3	贤
jiə̯m	5	厌
jiə̯m	6	腌(腌制)
kiə̯m	4	槛
kiə̯m	2	钳
kʰiə̯m	2	虔
kʰiə̯m	5	欠
lɐm	2	林淋
tsɐm	2	岑沉
tsɐm	1	珍针
tsɐm	3	蘸
tsɐm	5	浸
sɐm	1	深心芯枕
sɐm	6	□(静养，安静)
jɐm	1	窨因音洇姻阴阴
kɐm	1	柑(芦柑，柑桔)柑(橘子)柑(甜橙，橙子)
kɐm	3	敢橄
kʰɐm	1	柑
kʲɐm	1	今金经
kʲɐm	6	甘
ɐm	5	暗
pan	1	班般斑
pan	3	扳(扳手，用力往后拉)扳()板版
pan	5	爿(一爿店)襻
pan	6	办扮
pʰan	1	攀
man	2	蛮
man	4	挽晚
man	6	馒鳗幔漫慢
fan	1	番翻
fan	3	帆繁反
fan	5	梵
fan	6	范
tan	2	弹(弹琴)弹(子弹，弹子)痰谈
tan	1	单(姓，单雄信)
tan	5	但
tʰan	5	炭叹
nan	3	南
nan	6	难
lan	2	拦栏
lan	4	懒
lan	6	婪滥烂
tsan	2	蚕
tsan	1	錾
tsan	3	盏
tsʰan	2	蟾
tsʰan	1	餐
tsʰan	3	惨产铲
san	1	山
san	5	伞散(松散，鞋带散了)散(散会，解散)
ȵan	4	眼
kan	1	间
han	1	罕
wan	2	凡烦矾还(还原，还钱)还(还有)环丸
wan	1	豌弯湾
wan	6	泛饭蔓万
kʷan	1	关
kʷan	5	贯掼惯
tsuan	6	赚
suan	1	删珊拴闩
jen	4	衍演
jen	5	燕
jen	6	现宴
kʲen	4	舰
kʲen	1	碱锏
kʲen	3	检简
kʲen	5	间艰见掮
kʲen	6	件
kʰjen	1	遣
pien	3	扁
pien	5	瓣变骗
pien	6	便(便宜)便(方便，便当)遍辨辩
pʰien	5	片
mien	4	免
mien	6	眠面(脸色，花脸)面(被面，面子)面(吃面，面粉)
tien	6	佃奠电殿垫淀
tʰien	1	忝
nien	3	辇捻碾
lien	6	楝(苦楝树)炼(炼丹)练(练习，熟练)炼(锻炼)链恋
tsien	4	荐
tsien	3	剪展
tsien	5	颤
tsien	6	贱箭灒
tsʰien	2	潜
tsʰien	3	溅
sien	5	搧扇善膳线
pun	1	搬潘
pun	3	盘
tun	2	团(团结，一团线，团长)团(糯米团子)
tun	1	端掇
tsun	1	专砖钻(动词，钻洞)
tsun	3	船椽传(传达，流传)传(传记，水浒传)全泉肫(鸡肫)
tsʰun	1	川穿串春椿汆(汆丸子，汆汤，汆青菜)蹿
tsʰun	3	蠢
sun	2	旬(十天，上旬)寻
sun	1	酸宣
sun	6	醇顺舜(尧舜)莼迅讯
kun	1	官棺观(参观，观音)观(道观，寺观)冠
kun	3	滚
kʰun	1	宽
ʃyn	4	驯
ʃyn	1	荤熏(熏陶)勋熏(熏衣草)熏(烟熏)
ʃyn	5	训
kyn	2	权
kyn	1	捐绢均君军钧
kyn	3	郡拳裙群
kyn	6	菌
kʰyn	1	圈
yn	4	允
yn	1	冤
yn	3	铅(铅笔，铅球)沿元袁原员援园圆猿源缘辕
yn	5	怨
yn	6	闰(闰月)润运韵
piə̯n	1	蝙鞭边扁匾遍
pʰiə̯n	1	编偏篇
miə̯n	3	棉
tiə̯n	2	田
tiə̯n	1	颠癫
tʰiə̯n	1	天腆
niə̯n	2	年严
niə̯n	1	研
liə̯n	3	连莲怜联
tsiə̯n	2	钱
tsiə̯n	4	□(舅母，娘妗)
tsiə̯n	1	煎
tsiə̯n	3	前
tsʰiə̯n	1	歼千扦迁签(签字)签(竹签，求签)清亲(亲生，父亲)亲(亲家)毡
siə̯n	1	疝仙先
ȵiə̯n	2	燃
ȵiə̯n	1	烟咽
ȵiə̯n	3	忍
kʰiə̯n	1	牵
iə̯n	2	颜
puə̯n	5	半伴绊
puə̯n	6	拌畔
pʰuə̯n	5	判叛
muə̯n	4	满
muə̯n	3	瞒
tuə̯n	3	短
tuə̯n	5	断
tuə̯n	6	段椴缎锻
nuə̯n	4	暖
luə̯n	3	卵(鸡卵，男阴)
luə̯n	6	乱
tsuə̯n	3	转(转送，转学，翻转)转(转圆圈，转毛线)
tsuə̯n	5	喘窜(东窜西窜)篆
suə̯n	3	选癣
suə̯n	5	蒜算
juə̯n	4	远
juə̯n	6	院
kuə̯n	3	管馆款
kuə̯n	5	冠灌罐棍
kʰuə̯n	3	捆
kʰuə̯n	5	困(困难)困(睡觉)
wuə̯n	1	皖(皖南事变)
wuə̯n	3	碗
syə̯n	4	楦
ȵyə̯n	4	阮软
kyə̯n	3	卷(一卷，考卷)卷(卷起来)倦眷
kʰyə̯n	4	券
kʰyə̯n	5	劝
pɐn	2	盆
pɐn	3	本
pɐn	6	笨
mɐn	6	闷
fɐn	1	分芬吩纷饙(米泔水)昏婚
fɐn	3	粉
fɐn	5	畚(畚箕)忿愤粪欢
tɐn	1	登戥(称金银药品等物品用)
tɐn	6	钝顿
tʰɐn	1	吞
tʰɐn	5	扽(用力猛地一拉)
nɐn	6	嫩
lɐn	3	鳞
lɐn	6	仑论(论语)论(讨论，论文)
tsɐn	2	陈尘
tsɐn	1	曾增憎真诊尊
tsɐn	3	曾臣存攒疹整撙(节省，抑制)
tsɐn	5	阵振震
tsʰɐn	1	村忖
tsʰɐn	3	趁塍(田塍)
tsʰɐn	5	衬逞寸
sɐn	1	身沈升眚(白内障)辛欣新薪
sɐn	3	辰(地支，辰光，时辰)晨乘唇娠审笋损榫(榫头)
sɐn	5	笙胜(胜任)胜(胜败，战胜)信
ȵɐn	2	营
ȵɐn	3	人仁银
ȵɐn	6	刃韧认晓
jɐn	4	引瘾
jɐn	5	印
kɐn	4	恳
kɐn	1	根跟庚耕埂耿更
kʰɐn	3	肯啃垦
hɐn	3	痕
hɐn	5	恨
wɐn	2	坟焚坟
wɐn	1	温瘟
wɐn	3	魂稳
wɐn	6	份奋换混问
kʲɐn	4	近
kʲɐn	1	巾斤筋京
kʲɐn	3	仅紧谨景
kʰjɐn	3	芹勤
kɔn	1	肝干(天干地支)渴干(干湿)
kɔn	3	竿杆赶擀减
kɔn	5	干(干部，能干)
kʰɔn	5	看(看守)看(看见)
hɔn	2	寒
ɔn	1	安庵鞍揞(手覆、揞住)
ɔn	5	按案雁
ɔn	6	岸汗旱捍汉焊翰限
fap	7b	乏
tap	7b	搭答
lap	8b	腊蜡
tsap	8b	杂扎扎闸铡眨
tsʰap	7b	插
kap	7b	夹(夹衣)夹(夹子，夹东西)荚甲胛挟
ap	8a	鸭
ap	7b	押压
tiə̯p	8b	牒迭(一沓纸)迭(折被子、纸)碟蝶谍迭(折叠，堆叠)
tʰiə̯p	7b	帖(请帖)贴(贴邮票，张贴)
niə̯p	8b	聂孽业
liə̯p	8b	猎
tsiə̯p	7b	接
tsʰiə̯p	7b	撤
jiə̯p	8b	页叶
kiə̯p	7b	劫竭
kʰiə̯p	7b	怯
lɐp	8a	立(站立，立正，建立)
lɐp	7a	律
sɐp	7a	涩
sɐp	8a	什(果什，什物)十拾
sɐp	7a	史
ȵɐp	8a	入
hɐp	8a	盒
kʲɐp	7a	及急级极
pat	7b	八
mat	8b	袜
fat	7b	发(发展，发财)法发(头发)
lat	8b	辣
tsʰat	7b	擦(搽药，搽雪花膏)擦(擦洗)
sat	7b	杀
hat	7b	瞎
wat	8b	伐筏罚滑
wat	7b	挖
kʷat	7b	刮
suat	7b	刷(涮洗)刷(牙刷，刷子)
tsʰut	7a	出除
sut	7a	朮(白朮)术(技术，算术)
piə̯t	7b	憋
pʰiə̯t	7b	撇
miə̯t	8b	灭
miə̯t	7b	篾蔑
tiə̯t	7b	跌迭(更迭)
tʰiə̯t	7b	铁
tsiə̯t	7b	节浅
tsʰiə̯t	7b	彻切窃
ʃiə̯t	7b	歇蝎
ȵiə̯t	8b	热
kiə̯t	7b	疖结洁
tʰuə̯t	7b	脱
luə̯t	8b	捋
tsuə̯t	8b	絶
suə̯t	7b	说雪
kuə̯t	7a	骨
kʰuə̯t	7a	窟
kʰuə̯t	7b	阔
uə̯t	8b	活
ʃyə̯t	7b	血
ȵyə̯t	7b	月
kyə̯t	7b	决诀
kʰyə̯t	7b	掘(挖掘，掘地)掘(挖掘)厥蕨憠倔缺
yə̯t	8b	越
yə̯t	7b	粤
pɐt	7a	笔必
mɐt	8a	密
fɐt	7a	拂
tsʰɐt	7a	七
sɐt	7a	瑟虱
sɐt	8a	实
ȵɐt	8a	日
ɐt	7a	一壹
kɔt	7b	割
pau	1	包胞褒
pau	3	饱
pau	5	爆
pau	6	刨鲍刨
pʰau	1	脬泡
pʰau	3	跑
pʰau	5	泡(水泡，泡泡，泡茶)炮
tau	1	叨
tau	5	滔
nau	6	铙挠闹
lau	2	捞唠痨涝
lau	6	玩
tsʰau	3	吵炒
tsʰau	5	操
sau	5	潲(猪食)潲(潲雨)
ȵau	4	咬
ȵau	3	挠
jau	4	鹞(鹞鹰，纸鹞)
kau	1	交郊胶浇缴
kau	3	搅
kau	5	茭教(教书)教(教育，教师)窖觉(困(一)觉)觉(知觉，觉得)
kʰau	1	敲
hau	5	蒿薅
au	3	拗
neu	6	丢
leu	5	鸟
piə̯u	2	嫖薸
piə̯u	1	彪标臕
piə̯u	3	表(表面，表扬)婊表(手表)
pʰiə̯u	1	飘
pʰiə̯u	3	瓢
pʰiə̯u	5	票
miə̯u	4	锚
miə̯u	2	苗描
miə̯u	3	秒渺藐
miə̯u	6	妙庙
tiə̯u	2	调
tiə̯u	1	刁凋貂雕
tiə̯u	3	条
tiə̯u	5	吊掉钓调(调动，调查)调(音调)挑
tiə̯u	6	调
tʰiə̯u	5	跳(跳高，跳起)跳(走。小孩不高兴跺脚的说)
niə̯u	3	扭纽
niə̯u	6	尿
liə̯u	4	了(了结)了(吃完，完全)
liə̯u	2	疗
liu	4	瞭
liə̯u	3	僚燎(燎原)燎(火燎眉毛)
liə̯u	6	撩料廖(姓)廖(姓)
tsiə̯u	1	椒焦蕉剿
tsiə̯u	5	招昭沼诏
siə̯u	1	捎梢筲烧肖逍消宵硝霄销萧箫
siə̯u	3	少(多少)
siə̯u	5	稍笑
jiə̯u	2	姚窑
jiə̯u	4	尧摇
jiə̯u	2	遥谣
jiə̯u	4	舀(舀水)舀(盛饭)
jiə̯u	1	嚣幺夭吆妖腰邀杳要
jiə̯u	5	较酵要耀
kʲiə̯u	3	狡绞侥铰饺
kʲiə̯u	5	叫
kʲiə̯u	6	轿
kʰjiə̯u	1	翘
kʰjiə̯u	3	乔侨荞桥
kʰjiə̯u	5	撬窍
pʰɐu	3	扔
mɐu	4	某亩
tɐu	2	投头
tɐu	1	兜(兜风)兜(竹篓，鱼篓)
tɐu	3	抖陡
tɐu	6	斗(十升为斗)豆逗斗(斗争，批斗)痘
tʰɐu	1	偷
tʰɐu	5	透
lɐu	2	硫刘楼搂(搂取(挖))
lɐu	4	搂(搂抱)
lɐu	3	柳
lɐu	6	陋漏
tsɐu	2	酬稠愁筹
tsɐu	1	舟州周(姓)洲周(一周，周年)邹
tsɐu	3	酒
tsɐu	5	骤掫
tsɐu	6	凑袖奏
tsʰɐu	1	抽揪秋(秋天，春秋)秋(秋千)
tsʰɐu	3	丑(地支名)丑(难看，丑恶)
tsʰɐu	5	臭□(嗅觉，闻)
sɐu	1	收搜(搜查，搜身)搜(搜集)飕馊
sɐu	3	手守首叟
sɐu	5	瘦兽嗽
sɐu	6	受授售寿
nɐu	5	皱
jɐu	2	油
jɐu	4	友有
jɐu	3	游
jɐu	6	又右柚佑釉
kɐu	1	勾(勾引，勾芡，勾心斗角)勾(勾当)钩沟
kɐu	3	苟狗
kɐu	5	够彀(往上够)构
kɐu	6	购
kʰɐu	1	抠眍
kʰɐu	3	口
kʰɐu	5	叩扣寇
ŋɐu	4	偶(配偶)偶(偶然)呕藕
ŋɐu	1	瓯欧区
hɐu	3	吼
wɐu	2	浮
kʲɐu	1	鸠阄
kʲɐu	3	九久灸韭求球
kʲɐu	5	柩救丘
kʲɐu	6	臼旧
ɐu	1	殴
ɐu	5	沤怄
ɐu	6	后(皇后)厚后(前后，后来)候
tsiɐu	6	就
tsʰiɐu	1	鳅
siɐu	1	修羞
paŋ	5	棒
maŋ	1	莽蟒
jaŋ	4	壤攘嚷
ŋaŋ	4	昂仰
waŋ	3	妨
kʰʷaŋ	5	况旷矿
kʰjaŋ	5	腔
leŋ	4	冷
leŋ	6	另
tseŋ	1	怎赠争征睁踭征
tsʰeŋ	5	撑牚(椅子上桌，板下的牚)
seŋ	1	森生牲甥孙
keŋ	5	更
peŋ	6	硬
heŋ	3	行
weŋ	2	横(横直)横(蛮横)
kʲeŋ	1	羹耩粳
kʲeŋ	5	梗茎
piŋ	2	贫频平坪屏瓶萍评凭苹
piŋ	1	冰兵
piŋ	3	丙秉柄饼姘
piŋ	5	□(脖子)
piŋ	6	病
pʰiŋ	3	并
pʰiŋ	5	拚
miŋ	3	民名明铭
miŋ	6	命
tiŋ	2	廷亭庭停蜓
tiŋ	1	丁叮疔钉钉厅
tiŋ	3	顶鼎
tiŋ	6	定订锭
tʰiŋ	3	挺艇
niŋ	3	拎
liŋ	2	伶翎零(零分，零碎，零头，三十)铃龄灵
liŋ	4	领岭
liŋ	3	邻磷零(零工，临时工)
tsiŋ	2	成呈城程
tsiŋ	1	晶睛精蒸
tsiŋ	3	诚井秦枕(动词)
tsiŋ	5	晋进尽甑镇正(正月)正政症郑证
tsiŋ	6	净
tsʰiŋ	2	情晴
tsʰiŋ	1	称(称呼，称重)称(相称，称心)青蜻
tsʰiŋ	3	请
tsʰiŋ	5	秤(称东西用)
siŋ	1	申(地支，申请)伸声星猩腥
siŋ	3	醒
siŋ	5	尽性姓
siŋ	6	剩
kiŋ	3	颈警
kiŋ	5	径竟敬镜
kʰiŋ	1	惊轻
