	注释：-白读，=文读
pʰ	[1]帕白[7]拍
b	[2]划{～船}[3]趴
m	[1]埋{～怨}麻抹膜明{～年}[2]婆墨-{～鱼}[3]马码莫蚂[5]棉[7]麦
t	[1]□{拿}[2]塌[5]渡[7]答搭
tʰ	[2]沓[5]□{按}[7]塔
n	[2]□{～豆：黄豆}爬[7]腊辣
l	[1]啰[5]蜡
ts	[1]渣遮[3]□{二}[5]榨炸[7]眨塞炙
tsʰ	[1]叉差{～不多}车石[3]阻[7]擦尺
dz	[1]踩{原文调值作“213”，疑为误记}[3]查扯渗揖□{拔}[5]射□{～人：丢人}
s	[1]蓑嗦沙赊杉三[3]□{骂}舍□{～扫帚：竹扫把}
z	[2]线[3]野惹[5]夜[7]嚷
k	[1]家-加蚣[2]鸽[3]假[5]架嫁价夹[7]隔
kʰ	[2]课卡[5]客
ŋ	[1]牙芽伢
x	[1]何虾哈腮鼾[2]盒[3]瞎
ɣ	[2]□{叔}[3]下[7]押压
∅	[1]丫桠屙[2]粟恶□{～□sɿ35：姨妈}[3]哑亚
#yɤ	
t	[1]尘中□{亲～：岳父}[2]筒栋
tʰ	[3]重{轻～}
d	[2]从
l	[1]龙[2]虫
tɕ	[2]穷[3]共[5]□{迁就}
tɕʰ	[5]□{躲}
dʑ	[2]瘸斜重{～阳}枞[3]□{中～：拇指与中指张开的长度}
ȵ	[1]浓[3]耳
ɕ	[1]靴胸凶[2]学={～费}□{～□sæ35：蜥蜴}[3]写
#ɯ	
p	[5]钵[7]拔
pʰ	[5]瓣[7]泼
b	[1]坡[5]薄[7]□{□au35～：祖父}
m	[1]蛾鹅磨-{～刀}[2]谋末木={～耳}[5]磨{～房}魔摸忘[7]某纹
t	[1]朵斗{圆形的指纹}[2]驼{～腰}渡[5]带[7]着{～衣}
tʰ	[1]着{睡～了}[3]舵[7]□{散}
n	[2]夺[3]□{找}[5]大
l	[1]锣脶柔揉[5]罗
ts	[1]邹周[5]□{高粱}[7]左佐组雀
tsʰ	[1]搓吹凿[2]拄族[5]措错[7]惧撮
dz	[2]篓[5]勺
s	[1]梭苏撒索[3]锁诉
z	[5]药
k	[1]歌哥箕{原文作“簸”}沟[2]构舅[5]过个裹救割[7]急葛各脚极
kʰ	[1]窠□{～叶：茶叶}[2]扣[3]可起[5]去[7]阔
ɡ	[2]渠[3]我[5]割
ŋ	[1]牛[5]饿怄[7]藕
x	[2]活[3]贺後={以～}[5]货
ɣ	[2]和禾[3]祸
∅	[1]莴[2]欧合[7]忆{记}鸭
#iɯ	
t	[1]猪蛛䨨{雷}[2]锤[5]住
tʰ	[1]值直
l	[1]驴榴[2]□{涎水}[3]里[5]滤刘[7]力
tɕ	[1]书珠洲[2]留咒[3]煮守灸就[5]鸠畜烛[7]竹织□{涩}
tɕʰ	[1]蛆自秋={立～}属[5]□{煮饭用的锅子}□{歪}
dʑ	[2]流咸酸[5]仇酬丑袖
ȵ	[1]泥鱼[2]艺脱[3]女[7]肉褥月{满～}
ɕ	[1]输休[2]秀[3]手受[5]絮衰瘦若{训读}
ʑ	[5]食-{～饭}
∅	[1]优[3]又[5]尤邮由
#ai	
p	[1]跛帆扳{～手}[2]朋彭棚捧[3]稗败本粉{澡衣～子：洗衣粉}
pʰ	[3]□{抖动}
b	[1]□{～雪：鹅毛雪}[2]盆篷缝
m	[1]门-[2]明-{～天}[3]尾□{～～：叔母}
f	[1]矾分[2]烦坟豮[3]翻反粉
v	[3]远
t	[1]巅癫□{～□kɯ0：女婿}[2]填[3]待贷点顶
tʰ	[1]天-添□{窝}窝{训读}[2]态[3]殿垫
d	[2]同铜桐[3]沉澄
n	[2]碍
l	[1]年[2]皱甜田[3]耐内垒簟碾捏拢
ts	[1]钱[2]坐座骑{训读}再蹲{训读}□{蹲}成侧[3]子盅共种
tsʰ	[1]钗签千[3]浅
dz	[1]林[2]裁陈层盛{～饭}统[3]动
s	[1]山新薪[2]□{～子：植物的茎}
z	[2]来让融熔
k	[1]该皆跟[2]概溉阶介界疥届械格[3]讲
ŋ	[2]爱[3]眼
x	[3]亥哄
ɣ	[2]红洪还[3]陷
∅	[1]淹浸[3]饮
#uai	
t	[1]团墩
l	[3]□{倒下}
ts	[1]砖准[3]茶{～杯}
tsʰ	[1]窜穿村椿春{～天}[3]茶{饮～}
dz	[2]船
s	[1]孙甥狲{猢～：猴子}[2]帅[3]笋榫
z	[2]匀[3]□{蚯蚓}
k	[1]轨裈{裤}[2]怪[3]捆滚轮{训读}
kʰ	[2]会{～计}[3]犬
x	[1]昏浑荤[2]或[3]坏{～人}
∅	[1]温[2]河魂横[3]稳外
#ɛi	
p	[1]帮崩[5]变奔迸
m	[1]忙[5]万问默梦□{～□xa0：妻子}[7]密
f	[1]风疯封蜂[5]喷
v	[5]缝
t	[1]灯东冬[5]兜店冻
tʰ	[1]拼{训读}都通桶□{蜂～：蜂窝}[7]代
d	[5]袋洞
n	[1]笼□{～□xa0：丈夫}
ts	[1]升聋棕钟舂[5]箭责粽
tsʰ	[1]聪葱冲[5]秤策[7]彩铲
dz	[5]才豺
s	[1]松[5]痛送诵
z	[5]剩
k	[1]公工躬
kʰ	[5]间空
x	[1]烘[5]核[7]恨
ɣ	[5]巷
∅	[1]□{溅}[5]应瓮
#uɛi	
t	[5]顿
n	[5]嫩
ts	[5]□{～水：放凉的开水}
tsʰ	[5]串寸[7]蠢
z	[5]顺闰
k	[5]灌棍国睏[7]拐
x	[5]怀槐惑
∅	[5]为咽
#ei	
p	[1]杯碑[3]簸倍[5]背{～后}臂[7]北
pʰ	[1]坯剖□{萝卜}[2]配佩[3]批[5]破劈
b	[1]陪[5]葵
m	[1]媒煤桅[2]梅[5]□{～鹞：老鹰}[7]每脉墨={～斗}
f	[2]佛[3]坏-
t	[5]递[7]得
tʰ	[3]土-
ts	[2]锄[5]做
tsʰ	[1]粗初贼[5]菜
z	[5]□{他}
k	[7]黑
x	[1]灰-
#uei	
t	[2]队
n	[5]律[7]类
l	[3]虑旅
ts	[1]追[2]最
s	[2]税[5]随
k	[1]规[2]桂
kʰ	[1]盔亏
x	[1]挥辉灰={～面}[3]汇会{开～}
∅	[1]煨威[3]卫位[5]危违
#au	
p	[1]包苞[3]保堡宝
pʰ	[1]鳔[2]雹[3]抱刨
b	[2]刨
m	[1]毛茅猫矛□{□u35～：青蛙}
t	[1]刀[2]淘导[3]倒
tʰ	[3]道
d	[2]跳调投
n	[2]桃-{～子}[3]闹
l	[1]牢[2]□{～饭：煮饭}[3]脑恼老
ts	[1]遭糟招沼召[2]槽[3]早枣澡爪赵少[5]□{钓鱼钩}
tsʰ	[1]操抄超[3]草嫂炒
s	[1]骚臊烧筲[3]扫□{道路}
z	[2]摇窑
k	[1]膏糕教铰高[3]搞[5]较
ŋ	[3]熬
x	[1]蒿[3]好
∅	[1]□{～□bɤ0：男性老人}[2]篙坳
#iau	
p	[1]膘标
pʰ	[1]漂
m	[1]苗
t	[1]朝雕[2]条
tʰ	[5]挑
l	[1]□{把菜放开水里烫烫}[3]了料廖
tɕ	[1]胶焦蕉骄交浇[2]荞[3]嚼[7]饺
tɕʰ	[1]锹[3]轿[5]缲翘
dʑ	[2]桥
ȵ	[3]绕
ɕ	[1]消萧箫宵[2]削孝={～子}[3]晓[7]小{～暑}
∅	[1]妖邀腰要{～求}[3]舀钥
#əu	
p	[5]报豹[7]剥
pʰ	[5]炮泡
b	[5]袍抱爆
m	[5]冒帽□{～天了：阴天了}[7]亩
t	[5]到倒{～水}[7]岛
tʰ	[5]套
d	[5]陶萄偷桃={核～}
n	[7]□{～～：弟弟}
l	[5]劳烙
ts	[5]罩灶韶照
tsʰ	[5]臭糙
dz	[5]曹[7]□{～出去：撵出去}
s	[5]扫笑
k	[5]告珓觉叫[7]角
kʰ	[5]靠敲□{累}[7]考壳
ŋ	[5]傲
x	[5]薅毫孝-
∅	[5]学-{～生}
#iəu	
p	[7]表
m	[5]庙[7]秒
tʰ	[5]吊调{～动}
d	[5]调
n	[5]掉
tɕ	[7]饺
tɕʰ	[5]窍[7]鹊
dʑ	[5]□{～娘：蜻蜓}
ɕ	[5]尿
∅	[5]谣姚要{～东西}
#æ̃	
p	[1]班[3]办
pʰ	[2]潘
b	[5]□{骗}
m	[2]轭{训读}[5]卖馒
f	[2]贩[5]凡
v	[7]晚=
tʰ	[1]贪[2]叹[7]毯
d	[5]谭
n	[5]男
ts	[2]站赞
tsʰ	[1]参餐汆[7]产
dz	[5]残
s	[1]衫
k	[1]柑[7]杆擀
ŋ	[1]岩安
x	[3]焊限
#iæ̃	
p	[1]鞭[7]匾
pʰ	[2]片[5]骗撇
m	[5]绵
t	[7]典[3]电
tɕ	[1]坚[7]碱检剑简
tɕʰ	[1]签[2]欠
dʑ	[5]钳
ȵ	[5]莲连严拈
ɕ	[1]仙间{时～}[5]嫌闲弦[7]险
∅	[2]厌燕[5]颜[7]演
#uæ̃	
t	[1]端{～午}[3]缎
ts	[3]赚
k	[1]棺[2]贯[5]惯[7]管馆
∅	[1]湾
#yæ̃	
tɕ	[1]捐
dʑ	[5]全
∅	[1]冤[5]铅元原源
#ẽ	
p	[2]瓶-[3]饼
pʰ	[5]□{一～门：一扇门}
m	[1]名明={清～}埋[3]妹闷[5]门={做～路：干活}
f	[7]粉=
t	[3]邓订
tʰ	[7]挺
d	[5]亭
n	[3]领另
l	[5]能
ts	[1]珍曾{姓}征筝情精{～肉}正{～月}[2]镇证政□{结}[3]症郑[5]正
tsʰ	[1]清青撑□{糠}[2]趁城[3]井请
dz	[5]程[3]陈
s	[1]梳鳞□{鳞}申僧声星腥[3]醒[5]□{生锈}[7]沈神省
z	[2]赢[3]忍
k	[1]根更{五～}庚□{望～：看见}[2]更[7]梗□{～年：整年}
ŋ	[1]恩
x	[7]很
∅	[5]阴
#iẽ	
p	[1]槟冰[7]丙
m	[5]民
b	[2]凭瓶=
n	[5]灵铃
tɕ	[1]经精{～神}惊□{甘～：甘蔗}[2]敬[3]静
tɕʰ	[2]乘庆
dʑ	[2]琴芹橙
ȵ	[5]砚迎
∅	[1]音因英[7]影
#uẽ	
l	[3]论
ts	[1]尊遵
tsʰ	[1]春{～分}
s	[2]训[5]纯[7]损
z	[3]锐孕
k	[1]观
kʰ	[2]困
x	[1]婚
∅	[1]瘟
#yẽ	
tɕ	[1]均
dʑ	[5]存
∅	[5]荣营[7]永
#õ	
p	[1]□{～场：赶场}□{～□tsoŋ：板凳}[5]柄
pʰ	[5]攀襻
m	[1]媒{做～}饭[5]命
f	[2]平坪[5]病
t	[1]堆耽单丁钉[2]痰[5]担
tʰ	[1]听
d	[5]停
n	[1]蓝零兰
l	[1]南连
ts	[1]簪占争[2]馋
tsʰ	[1]□{炒菜的锅子}[2]搀[5]衬
s	[1]闩生[5]涮
k	[5]戒
kʰ	[3]咳
x	[5]唤
ɣ	[2]环行[5]杏
∅	[2]檩[5]硬
#aŋ	
p	[3]棒
b	[5]蚌
m	[7]蟒[2]□{奶}
f	[5]防
t	[1]当[3]□{～□xaŋ0：底下}[7]党
tʰ	[1]汤={～圆}
ts	[1]章[2]脏
tsʰ	[7]厂
k	[1]缸
x	[1]项
#iaŋ	
tɕ	[1]刚姜[2]将今[7]奖
ɕ	[5]降
ȵ	[2]□{小}
∅	[5]阳=
#uaŋ	
k	[1]光{原文调值作“213”，疑为误记}[7]广
kʰ	[1]眶[2]矿旷
ɡ	[5]狂
∅	[1]汪[3]旺{称尾高}[7]往
#oŋ	
p	[1]方{地～}扳搬[2]盘螃□{一～墙：一堵墙}[3]扮磅板{～子}[5]半
m	[1]瞒蒙[3]满幕晚[5]望[7]猛
f	[1]方{东～}兄[3]纺[5]放丰
v	[2]返房[3]网
t	[1]龛{训读}□{龛}庵{训读}□{庵}端裆[2]堂团唐[3]胆[5]当{～铺}[7]董
tʰ	[1]滩摊汤[3]断[5]炭阵烫
d	[1]糖={冰～}[2]弹[3]塘[5]淡定
n	[1]拦栏[2]糖-{红～}[5]那浪隆
l	[1]难[5]晾
ts	[1]庄装妆忠[2]床□{～机：织布机}[3]撑掌搀[5]钻
tsʰ	[1]仓疮窗充[2]□{磕}[3]闯上状撞[5]唱
dz	[2]酿[3]懒痒[5]乱藤□{～月：腊月}
s	[1]三{～十}桑霜伤双松{～香}[2]宋[3]攒磉赏晌伞[5]散算蒜
z	[1]阳扬壤[2]篱园羊洋杨[3]养[5]瓤样绒
k	[1]甘肝竿□{蛋}官钢江豇功弓[2]贡[3]敢[5]杠
kʰ	[1]干[3]坎[5]炕
x	[1]欢荒慌夯
#ioŋ	
t	[1]沾张[3]长{生～}涨肿[5]战杖帐账胀
tʰ	[3]丈
d	[2]长{～短}场
l	[1]良粮
tɕ	[1]浆[3]蒋桨
tɕʰ	[1]嗅枪尝腔香[2]强墙[3]浅[5]酱
dʑ	[3]匠
ȵ	[1]梁[2]娘肠[3]辆[5]亮
ɕ	[1]丧箱厢镶乡相{互～}[3]想享饷[5]相{～貌}向[7]宠
∅	[1]秧[7]日{每～}
#ŋ̍	
∅	[1]旱人[2]黄皇王[3]五伍碗[5]二岸汗晏{晚}日{今～}[7]木{～匠}
