例字	注释	中古音	公平	九屋	潭下	甘棠
难	~易	山开一平寒泥	nɒ̃21	nuo33	nᵘɔ33	nᵘɔ22
栏		山开一平寒来	lɒ̃21	nuo33	nᵘɔ33	luo22
餐		山开一平寒清	tsʰɒ̃44	tsʰuo232	tsʰᵘɔ13	tsʰᵘɔ132
残		山开一平寒从	tsɒ̃21	tsʰan21{借桂}	tsʰan21{借桂}	tsʰɑŋ22
肝		山开一平寒见	kʊɒ̃44	koŋ232	kᵘɔŋ13	kuo132
干	~湿	山开一平寒见	kʊɒ̃44	koŋ232	kᵘɔŋ13	kuo132
寒		山开一平寒匣	hɒ̃21	huo33	hᵘɔ33	hᵘɔ22
安		山开一平寒影	ɒ̃44	uo232	ᵘɔ13	ŋᵘɔ132
懒		山开一上旱来	lɒ̃33	nuo21	nᵘɔ21	nᵘɔ44
伞		山开一上旱心	sɒ̃35	suo35	sᵘɔ35	sᵘɔ35
赶		山开一上旱见	kɒ̃55/kʊaŋ55	koŋ422	kᵘɔ44	kᵘɔ44
旱		山开一上旱匣	hɒ̃33	hoŋ21	hᵘɔŋ21	huo21
旦		山开一去翰端	tɒ̃35	tan35{借桂}	tɑŋ35	tᵘɔ21
炭		山开一去翰透	tʰɒ̃35	tʰuo53	tʰᵘɔ53	tʰᵘɔ35
蛋		山开一去翰定	tɒ̃53	tuo53	tᵘɔ53	tᵘɔ21
难	灾~	山开一去翰泥	nɒ̃53	nuo53	nᵘɔ53	nᵘɔ21
烂		山开一去翰来	lɒ̃53	nuo53	nᵘɔ53	nɑŋ35
灒	溅	山开一去翰精	tsɒ̃53	tʃʰi35{训读}	tsᵘɔ35	tsᵘɔ35
散		山开一去翰心	sɒ̃35	suo35	sᵘɔ35	sᵘɔ35
看	~见	山开一去翰溪	ȵiaŋ35	kʰuo53	kʰᵘɔ53	kʰᵘɔ35
岸		山开一去翰疑	ŋɒ̃53	uo53	ᵘɔ53	ŋᵘɔ21
汉		山开一去翰晓	hɒ̃35	hoŋ53	hᵘɔ53	hᵘɔ35
汗		山开一去翰匣	hɒ̃53	hoŋ53	hᵘɔŋ53	huo21
案		山开一去翰影	ɒ̃35	uo35	ᵘɔ35	ŋᵘɔ35
达		山开一入曷定		tuo5	tᵘɔ5	tᵘɔ5
捺		山开一入曷泥		na35	15	nᵘɔ5
辣		山开一入曷来	lʊo35	nua232	nuɯ35	nᵘɔ35
擦		山开一入曷清	tsʰɒ55	tsʰuo422	tsʰᵘɔ5	tsʰᵘɔ44
割		山开一入曷见	kʊɒ55	kua5	kuɯ5	kuo5
渴		山开一入曷溪		koŋ232	15	kʰuo44
山		山开二平山生	ʃɒ̃44	suo232	sᵘɔ13	sᵘɔ132
间		山开二平山见	kɒ̃44	kiŋ232	kᵘɔ13	kai132
闲		山开二平山匣		huo33	hᵘɔ33	hᵘɔ22
铲		山开二上产初	tʃʰɒ̃55	tsʰuo21	tsʰᵘɔ21	tsʰᵘɔ44
简		山开二上产见		ki422	tʃiɛ44	kie44
眼		山开二上产疑	ŋɒ̃33	uo21	ᵘɔ21	ŋᵘɔ44
限		山开二上产匣		huo53	hᵘɔ53	hᵘɔ21
扮		山开二去襉帮		puo53	pᵘɔŋ21	pɑŋ35
盼		山开二去襉滂		pʰan35{借桂}	pʰᵘɔ53	pʰɑŋ35
办		山开二去涧並	pɒ̃21	puo53	pᵘɔ53	pᵘɔ21
苋		山开二去襉匣	hɒ̃53	huo53	hᵘɔŋ21	hᵘɔ21
八		山开二入黠帮	pa55	puo5	pᵘɔ5	pᵘɔ5
拔		山开二入黠並	pa53	puo53	pᵘɔ5	pa44
抹		山开二入黠明	mɒ55	kʰuo232	mɑu5	muo5
扎	~辫子	山开二入黠庄	tʃɒ55	tsuo5	tsᵘɔ5	tsᵘɔ5
察		山开二入黠初	tʃʰɒ55	tsuə33	tsʰᵘɔ5	tsᵘɔ22
杀		山开二入黠生	ʃɒ55	suo5	sᵘɔ5	sᵘɔ5
班		山开二平删帮	pɒ̃44	puo232	pᵘɔ13	pᵘɔ132
蛮		山开二平删明	mɒ̃21	muo33	mᵘɔ33	mɑŋ22
删		山开二平删生		soŋ232	sᵘɔŋ13	sᵘɔ132
奸		山开二平删见	kɒ̃44	tʃiᴇn33{借桂}	tʃiɛ13	kie132
颜		山开二平删疑		iŋ33	iɛ33	ie22
板		山开二上潸帮	pɒ̃55	puo422	pᵘɔ44	pᵘɔ44
慢		山开二去谏明	mɒ̃53	muo53	mᵘɔ53	mᵘɔ21
雁		山开二去谏疑		uo35	ᵘɔ35	ŋᵘɔ21
铡		山开二入辖崇		tsuo5	tsᵘɔ53	tsᵘɔ21
鞭		山开三平仙帮	pən44	pi232	piɛ13	pie132
篇		山开三平仙滂	pʰən44	pʰi232	pʰiɛ13	pʰie132
便	{~宜}	山开三平仙並	pən21	pai33	pai33	pie21
棉		山开三平仙明	mən21	mi33	miɛ33	mie21{借桂}
连		山开三平仙来	lən21	ni33	niɛ33	ȵie22
煎		山开三平仙精	tsən44	tʃi232	tʃiɛ13	tʃie132
迁		山开三平仙清	tsʰən44	tʃʰi232	tʃʰiɛ13	tʃʰie132
钱		山开三平仙从	tsən21	tʃi33	tʃiɛ33	tʃie33
仙		山开三平仙心	sən44	ʃi232	ʃiɛ13	ʃie132
燃		山开三平仙日	ŋən21	iŋ33	iɛ33	ie22
延		山开三平仙以		iᴇn21{借桂}	iɛ33	iŋ22
辨		山开三上狝並		piᴇn35{借桂}	piɛ53	pie21
免		山开三上狝明	mən33	miŋ21	miɛ21	mie44
碾	{~碎}	山开三上狝泥	nən55	ni21	niɛ21	ȵie44
剪		山开三上狝精	tsən55	tʃi422	tʃiɛ44	tʃie44
浅		山开三上狝清	tsʰən55	tʃʰi21	tʃʰiɛ21	tʃʰie44
展		山开三上狝知	tʃin55	tsuo422	tsan44	tsɑŋ44
善		山开三上狝禅	ʃʊaŋ53	sɑŋ35	san35	sɑŋ35
件		山开三上狝群	kən53	ki53	tʃiɛ53	kie21
演		山开三上狝疑		iŋ422	iɛ44	ie44
变		山开三去线帮	pən35	pi35	piɛ35	pie35
骗	{~人}	山开三去线滂	pʰən35	pʰi53	pʰiɛ53	pʰie35
便	{方~}	山开三去线並	pən53	pi21	piɛ53	pie21
面		山开三去线明	mən53	mi53	miɛ53	mie21
箭		山开三去线精	tsən35	tʃi35	tʃiɛ35	tʃie35
贱		山开三去线从	tsən53	tʃi53	tʃiɛ53	tʃie21
线		山开三去线心	sən35	ʃi35	ʃiɛ35	ʃie35
战		山开三去线章		tsan35	tsan53	tsɑŋ35
扇		山开三去线书	ʃən35	ʃi35	ʃiɛ35	ʃie35
别		山开三入薛帮		piᴇ5	piɛ5	pie21
灭		山开三入薛明		miᴇ21	miɛ5	mie44
列		山开三入薛来		niᴇ21	niɛ5	ȵie44
撤		山开三入薛彻		tsʰa422	tsʰa5	tsʰa5
舌		山开三入薛船	ʃə21	ʃi53	ʃiɛ53	ʃie21
折	{~本}	山开三入薛禅	ʃi21	ʃiᴇ53	ʃiɛ53	ʃie5
热		山开三入薛日	ȵi4	iᴇ422	iɛ5	ȵie5
孽		山开三入薛疑	ȵi4	iᴇ422	iɛ5	ȵie5
言		山开三平元疑		iᴇn21{借桂}	15	ie22
建		山开三去愿见		tʃiᴇn35{借桂}	tʃiŋ35	kiŋ35
献		山开三去愿晓		hi53	ʃiɛ35	hie35
揭		山开三入月见	tʃʰi33	kiᴇ5	tʃiɛ5	kie5
歇		山开三入月晓	hiə4	hiᴇ5	ʃiɛ5	hie5
边		山开四平先帮	pən44	pi232	piɛ13	pie132
颠		山开四平先端			tiɛ13	tie132
天		山开四平先透	tʰən44	tʰi232	tʰiɛ13	tʰie132
田		山开四平先定	tən21	ti33	tiɛ33	tie22
年		山开四平先泥	nən21	ni33	niɛ33	ȵie22
怜		山开四平先来	lən33	ni33	niɛ33	ȵiŋ22
千		山开四平先清	tsʰən44	tʃʰi232	tʃʰiɛ13	tʃʰie132
前		山开四平先从	tsən21	tʃi33	tʃiɛ33	tʃie22
先		山开四平先心	sən44	ʃi232	ʃiɛ13	ʃie132
肩		山开四平先见			tʃiɛn33{借桂}	kiŋ132
牵		山开四平先溪	hən44	kʰi232	tʃʰiɛ13	kʰie132
研		山开四平先疑		iᴇn21{借桂}	niɛ33	ȵie132
烟		山开四平先影	in44	i232	iɛ13	ie132
扁		山开四上铣帮	pən55	pi422	piɛ44	pie44
典		山开四上铣端	tən55	tiᴇn53{借桂}	tiɛ44	tie44
遍		山开四去霰帮	pʰən35	pʰi53	pʰiɛ53	pie35
片		山开四去霰滂	pʰən35	pʰi53	pʰiɛ53	pʰie35
面	{~粉}	山开四去霰明	mən53	mi53	miɛ53	mie21
电		山开四去霰定	tən53	ti53	tiɛ53	tie21
练		山开四去霰来	lən53	ni53	niɛ53	ȵie21
见		山开四去霰见	kən35	ki35	tʃiɛ35	15
现		山开四去霰匣	hən53	hi53	ʃiɛ53	hie21
憋		山开四入屑帮	pi4	piᴇ53	piɛ5	pie21
撇		山开四入屑滂	pʰi4	pʰiᴇ5	pʰiɛ5	pʰie44
铁		山开四入屑透	tʰi4	tʰiᴇ422	tʰiɛ5	tʰie5
节		山开四入屑精	tsi4	tʃiᴇ5	tʃiɛ5	tʃie5
切		山开四入屑清	tʃʰi44	tʃʰiᴇ5	tʃʰiɛ5	tʃʰie5
截		山开四入屑从	tsi4	tʃiᴇ5	tʃiɛ5	tʃie5
结		山开四入屑见	ki4	kiᴇ5	tʃiɛ5	kie5
噎		山开四入屑影	i4	iᴇ5	iɛ13	ie5
搬		山合一平桓帮	pon44	poŋ232	pᵘɔŋ13	puo132
盘		山合一平桓並	pon21	poŋ33	pᵘɔŋ33	puo22
端		山合一平桓端	ton44	tuə232	tᵘɔ13	tᵘɔ132
团		山合一平桓定	tɔ̃21	toŋ33	tuə33	tᵘɔ22
钻	{动词}	山合一平桓精	tson44	tsoŋ35	tsuə13	tsuɑŋ132
酸		山合一平桓心	son44	soŋ232	sᵘɔŋ13	sᵘɔ132
官		山合一平桓见	kon44	koŋ232	kᵘɔŋ13	kuo132
欢		山合一平桓晓	hon44	hoŋ232	fɑŋ13	huɑŋ132
丸		山合一平桓匣	in21	ə33	yɛ33	uɑŋ22
伴		山合一上缓並	pon33	poŋ53	pᵘɔŋ53	puo21
满		山合一上缓明	mon33	moŋ21	mᵘɔŋ21	muo44
短		山合一上缓端	ton55	toŋ422	tᵘɔŋ44	tuo44
暖		山合一上缓泥	non33	noŋ21	nᵘɔŋ21	lᵘɔ44
卵		山合一上缓来	tɒ̃53{训读}		nᵘɔ21	15
管		山合一上缓见	kon55	koŋ422	kᵘɔŋ44	kuɑŋ44
碗		山合一上缓影	on55	ŋ422	ŋ44	uo44
半		山合一去换帮	pon33	poŋ35	pᵘɔŋ35	puo35
判		山合一去换滂	pʰon35	pʰan35{借桂}	pʰᵘɔ53	pʰɑŋ35
叛		山合一去换並	pʰon35	pʰan35{借桂}	pʰan35	pɑŋ35
段		山合一去换定		toŋ53	tᵘɔŋ53	tᵘɔ21
乱		山合一去换来	lon53	noŋ53	nᵘɔ53	nᵘɔ21
钻	{~子}	山合一去换精	tson35	tsoŋ35	tsuə53	tsuɑŋ35
蒜		山合一去换心	son35	soŋ35	sᵘɔŋ35	sᵘɔ35
罐		山合一去换见		tɑŋ53{训读}	kᵘɔŋ35	kuo35
换		山合一去换匣	hon53	hoŋ53	hᵘɔŋ53	huo21
拨		山合一入末帮	pɯ44	pua5	puɯ5	puo5
泼		山合一入末滂	pʰɯ44	pʰua422	pʰuɯ5	pʰuo5
末		山合一入末明			mᵘɔ21	muo44
脱		山合一入末透	tʰi4	tʰi5	tʰuə53	tʰuo5
括		山合一入末见		kua21	kuɯ5	kua4
阔		山合一入末溪	fɯ4	hua5	kʰuɯ5	kʰuo5
活		山合一入末匣		huə33	huɯ53	huo5
滑		山合二入黠匣	fɒ33	hua33	huɯ53	hᵘɔ21
关		山合二平删见	kʊɒ̃44	koŋ232	kᵘɔŋ13	kᵘɔ132{关口}/kye132{关门}/kuɑŋ132{关于}
环		山合二平删匣		huan21{借桂}	fan33	huɑŋ22
弯		山合二平删影	ʊɒ̃44	oŋ232	ŋ13	uo132
惯		山合二去谏见		koŋ33	kᵘɔŋ35	kuɑŋ35
患		山合二去谏匣			15	huɑŋ35
刷		山合二入辖生	ʃʊa35	sua53	suə5	sᵘɔ5
刮		山合二入辖见	kʊɒ55	kua5	kuɯ5	kʊ5
全		山合三平仙从	tsən21	tsə33	tyɛ33	tye22
宣		山合三平仙心		ʃyᴇn33	ʃyɛ13	ʃye132
旋		山合三平仙邪	tən35{训读}	tə35{训读}	15	tye35{训读}
传		山合三平仙澄	tʃən21	tsə33	tʃyɛ33	tʃye22
专		山合三平仙章	tʃən44	tsə232	tʃyɛ13	tʃye132
穿		山合三平仙昌	tʃʰən44	tsʰə232	tʃʰyɛ13	tʃʰye132
船		山合三平仙船	ʃən21	sə33	ʃyɛ33	ʃye22
拳		山合三平仙群	kən21	kə33	tʃyɛ33	kye22
圆		山合三平仙云	lon33{调读}	ə33	yɛ33	ye22
铅		山合三平仙以		ə33	tsʰai13	ye22
选		山合三上狝心	sən33	sə422	ʃyɛ44	ʃye44
软		山合三上狝日	ŋən33	ə21	yɛ21	ŋye44
卷		山合三上狝见	kən33	kə422	tyɛ44	kye44
恋		山合三去线来		ni53	15	ȵie21
转	{~螺丝}	山合三去线知	tən33	tə33	tyɛ35	tye35
串		山合三去线昌	tʃʰən35	tsʰə33	tʃʰyɛ53	tʃʰye35
院		山合三去线云			yɛ53	ye21
绝		山合三入薛从		tsə33	tʃyɛ5	kye5
雪		山合三入薛心	si4	sə33	ʃyɛ5	ʃye5
翻		山合三平元敷	fɒ̃44	fuo232	fᵘɔ13	fᵘɔ132
烦		山合三平元奉	fɒ̃21	fuo33	fᵘɔ33	fᵘɔ22
元		山合三平元疑	fa33	yᴇn21{借桂}	yɛ33	ye22
原		山合三平元疑	in21	iŋ33	yɛ33	ye22
冤		山合三平元影	in44	ə232	yɛ13	ye132
园		山合三平元云	in21	yᴇn21{借桂}	yɛ33	ye22
反		山合三上阮非	fɒ̃55	fuo422	fᵘɔ44	fᵘɔ44
晚		山合三上阮微			ŋ44	15
远		山合三上阮云	in33	ə21	yɛ21	ye44
贩		山合三去愿非	fɒ̃35	fuo33	fan35	fɑŋ35
饭		山合三去愿奉	fɒ̃53	fuo53	fᵘɔ53	fᵘɔ21
万		山合三去愿微	ʊɒ̃53	uo53	ŋ53	ᵘɔ21
劝		山合三去愿溪	hən33	hə33	tʃʰyɛ53	kʰye35
愿		山合三去愿疑	ŋən33	yᴇn35{借桂}	yɛ53	ye21
怨		山合三去愿影	in33	yᴇn35{借桂}	yɛ53	ye35
发	{~财}	山合三入月非	fɒ̃55	fuo5	fᵘɔ5	fᵘɔ5
罚		山合三入月奉	fɒ̃53	fuo33	fᵘɔ53	fᵘɔ21
袜		山合三入月微	mɒ21	mua422	muɯ5	muo55
月		山合三入月疑	ʊɯ4	ə21	yɛ5	ŋye5
县		山合四去霰匣	hən53	hi53	ʃiɛ53	hie21
缺		山合四入屑溪	kʰiᴇ4	kʰi422	tʃʰyɛ5	kʰye5
血		山合四入屑晓	ʃi4	hə5	ʃyɛ5	hye5
吞		臻开一平痕透	tʰaŋ44	i33{训读}	tʰəŋ13	tʰəŋ132
根		臻开一平痕见	kaŋ44	kə232	kə13	ka132
痕		臻开一平痕匣			həŋ33	həŋ22
恩		臻开一平痕影	ŋaŋ44	ə232	əŋ13	ŋa132
很		臻开一上很匣	haŋ53	həŋ422	həŋ44	həŋ44
恨		臻开一去恨匣	haŋ53	həŋ53	həŋ53	həŋ21
宾		臻开三平真帮	paŋ44	piŋ232	piɛ13	piŋ44
贫		臻开三平真並		pai33	pai33	pai22
民		臻开三平真明		miŋ33	mai33	mai22
邻		臻开三平真来		nai33	niɛ33	ȵiŋ22
津		臻开三平真精			kai13	tsai44
亲		臻开三平真清	tsʰaŋ44	tʃʰiŋ232	tsʰai13	tʃʰiŋ132
秦		臻开三平真从	tsən21	tʃiŋ33	tʃiŋ33	tʃiŋ22
新		臻开三平真心	saŋ44	ʃiŋ232	ʃiŋ13	ʃiŋ132
珍		臻开三平真知		tsəŋ232	tsəŋ13	tsəŋ132
陈		臻开三平真澄		tsəŋ33	tsəŋ33	tsəŋ22
尘		臻开三平真澄	tʃaŋ21	tsʰəŋ21{借桂}	tsəŋ33	15
真		臻开三平真章	tʃaŋ44	tsəŋ232	tsəŋ13	tsəŋ132
神		臻开三平真船	ʃaŋ21	səŋ33	səŋ33	səŋ22
身		臻开三平真书	ʃaŋ44	səŋ232	səŋ13	səŋ132
晨		臻开三平真禅	ʃaŋ21	səŋ33	15	səŋ22
人		臻开三平真日	ȵiaŋ21	iŋ33	iŋ33	ȵiŋ22
巾		臻开三平真见	kiaŋ44	kiŋ232	tʃiŋ13	kiŋ44
银		臻开三平真疑	ȵiaŋ21	ŋ33	iŋ33	ȵiŋ22
因		臻开三平真影	iaŋ44	iŋ232	iŋ13	iŋ132
尽		臻开三上轸从	tsaŋ33	tʃiŋ33	tʃiŋ53	tʃiŋ21
忍		臻开三上轸日	ȵiaŋ33	iŋ422	iŋ44	iŋ44
紧		臻开三上轸见	kiaŋ33	kiŋ422	tʃiŋ44	kiŋ44
引		臻开三上轸以	iaŋ33	iŋ422	iŋ44	iŋ44
进		臻开三去震精	ȵiə21{训读}	iᴇ422{训读}	y5{训读}	tʃiŋ35
亲	{~家}	臻开三去震清	tsʰaŋ33	tsʰai33	tsʰai53	tsʰai35
信		臻开三去震心	saŋ33	ʃiŋ35	ʃiŋ35	ʃiŋ35
镇		臻开三去震知		tsəŋ33	tsai35	tsəŋ21
衬		臻开三去震初		tsʰəŋ53	tsʰəŋ53	tsʰəŋ35
认		臻开三去震日	ȵiaŋ53		iŋ53	niŋ21
印		臻开三去震影	tʃin44{训读}	iŋ33	iŋ35	iŋ35
笔		臻开三入质帮	piə4	pɛ5	piɛ5	pi5
必		臻开三入质帮		pi21{借桂}	pi5	pi5
匹		臻开三入质滂	pæ4	pʰi5	pi44	pʰi44
蜜		臻开三入质明	miə4	mɛ422	mi5	mi5
栗		臻开三入质来		niᴇ232	ni44	nai5
七		臻开三入质清	tʃʰiə4	tʃʰiᴇ422	tʃʰi5	tʃʰi5
侄		臻开三入质澄	tʃiᴇ21	tʃiᴇ33	tsai53	tsai21
虱		臻开三入质生	ʃə4	sa53	ʃiɛ5	sa5
质		臻开三入质章		tsɿ21{借桂}	tsɿ21{借桂}	tʃi5
实		臻开三入质船	ʃə21	ʃiᴇ33	ʃiɛ53	ʃie21
失		臻开三入质书		ʃiᴇ5	ʃiɛ53	ʃi5
室		臻开三入质书	ʃə4	sɿ21{借桂}	sɿ21	ʃi21
日		臻开三入质日	ȵiə21	iᴇ33	i5	ȵi5{日子}/ȵie5{日头}
吉		臻开三入质见		kiᴇ5	tʃi5	ki5
一		臻开三入质影	i4	iᴇ5	i5/iɛ5	i5
斤		臻开三平殷见	kiaŋ44	kiŋ232	tʃiŋ13	kiŋ132
勤		臻开三平殷群	kiaŋ21	kiŋ33	tiŋ33	kiŋ22
近		臻开三上隐群	kiaŋ33	kiŋ21	tiŋ21	kiŋ44
隐		臻开三上隐影		iŋ33	iŋ44	iŋ44
劲		臻开三去掀见	kiaŋ35		nai5	kiŋ35
盆		臻合一平魂並	paŋ21	pə33	piɛ33	pəŋ22
门		臻合一平魂明	maŋ21	mə33	miɛ33	məŋ22
尊		臻合一平魂精		tsəŋ232	tsuəŋ33{借桂}	tsəŋ132
村		臻合一平魂清	tsʰaŋ44	tsʰəŋ232	tsʰəŋ13	tsʰəŋ132
存		臻合一平魂从	tsaŋ21	tsəŋ33	tsəŋ33	tsəŋ22
孙		臻合一平魂心	saŋ44	səŋ232	sa13/sᵘɔŋ13	səŋ132
昆		臻合一平魂见		kʰuəŋ33{借桂}	kʰuəŋ33{借桂}	kʰuəŋ132
坤		臻合一平魂溪		kʰuəŋ33{借桂}	kʰᵘɔŋ13	kʰuəŋ132
婚		臻合一平魂晓	faŋ44	huəŋ232	hᵘɔŋ13	huəŋ132
魂		臻合一平魂匣	faŋ21	huəŋ33	hᵘɔŋ33	huəŋ22
温		臻合一平魂影	ʊaŋ44	uəŋ232	uəŋ13	ioŋ132
本		臻合一上混帮	paŋ55	pə422	piɛ44	pəŋ44
滚		臻合一上混见	kʊaŋ33	kuəŋ422	kᵘɔŋ44	kuəŋ44
混		臻合一上混匣	faŋ53	huəŋ422	huɑŋ53	huəŋ21
稳		臻合一上混影	ʊaŋ55	uəŋ422	uəŋ44	uəŋ44
嫩		臻合一去恩泥	naŋ53	nəŋ33	nᵘɔŋ53	nəŋ21
寸		臻合一去恩清	tsʰaŋ35	tsʰəŋ53	tsʰəŋ53	tsʰəŋ35
棍		臻合一去恩见	kʊaŋ33	kuəŋ33	kᵘɔŋ35	kuəŋ35
困		臻合一去恩溪	kʰʊaŋ33	kuəŋ35	kʰuəŋ53	kʰuəŋ35
没		臻合一入没明	mə4		15	15
骨		臻合一入没见	kʊɯ4	kuə5	ku5	kʊ5
轮		臻合三平谆来		nəŋ33	nəŋ33	nəŋ22
椿		臻合三平谆彻	tsʰaŋ44	tsʰoŋ232	tsʰuəŋ13	tsʰəŋ132
春		臻合三平谆昌	tsʰaŋ44	tsʰoŋ232	tsʰuəŋ13	tsʰuəŋ132
纯		臻合三平谆禅	tsaŋ21	tsʰuəŋ21{借桂}	suəŋ33	səŋ22
均		臻合三平谆见		kiŋ232	tʃyɛ13	kəŋ44
匀		臻合三平谆以	iaŋ21	yŋ21{借桂}	iᵘɔŋ33	iŋ22
笋		臻合三上准心	saŋ55	ʃiŋ422	səŋ44	səŋ44
准		臻合三上准章	tʃʊaŋ55	tsoŋ422	tsuəŋ44	tsuəŋ44
蠢		臻合三上准昌	tʃʰʊaŋ55	tsʰuəŋ21	tsʰuəŋ21	tsʰuəŋ44
菌		臻合三上准群	kiaŋ53	kuəŋ21	kᵘɔŋ21	kyŋ35
顺		臻合三去椁船	ʃʊaŋ53	soŋ33	suəŋ53	səŋ21
闰		臻合三去椁日	ȵiaŋ53	uəŋ53	iᵘɔŋ53	iŋ21
律		臻合三入术来		ny21{借桂}	15	ȵʏ5
出		臻合三入术昌	tʃʰiᴇ21/tʃʰɑʊ35	tsʰə422	tʃʰy5	tʰʏ5
木		臻合三入术船		su21{借桂}	ʃy21	ʃiou21
分		臻合三平文非	faŋ44	fə232	fiɛ13	fəŋ132
坟		臻合三平文奉	faŋ21	fə33	fiɛ33	fəŋ22
蚊		臻合三平文微	maŋ21	mə33	miɛ33	məŋ22
军		臻合三平文见	kiaŋ44	tʃyŋ232	tyn13	kyŋ132
裙		臻合三平文群	kiaŋ53	kuəŋ33	kᵘɔŋ33	kəŋ22
熏		臻合三平文晓	hiaŋ44	huəŋ232	hᵘɔŋ13	həŋ132
荤		臻合三平文晓	faŋ44	huəŋ232	hᵘɔŋ13	huəŋ132
云		臻合三平文云	iaŋ21	uəŋ33	iᵘɔŋ33	iŋ22
粉		臻合三上吻非	faŋ55	fə422	fiɛ44	fəŋ44
粪		臻合三去问非	faŋ35	fə33	fiɛ35	fəŋ35
份		臻合三去问奉	faŋ53	fə53	fiɛ53	fəŋ21
问		臻合三去问微	maŋ53	mə53	miɛ53	məŋ21
运		臻合三去问云	iaŋ53	uəŋ53	yn53	iŋ21
物		臻合三入物微	ʊɯ21	ua33	ua5	ua5
帮		宕开一平唐帮	pon44	pɑŋ232	pɑŋ13	pɑŋ132
旁		宕开一平唐並	pon21	pɑŋ33	pɑŋ33	pɑŋ22
忙		宕开一平唐明		mɑŋ33	mɑŋ33	mɑŋ21
当	{~时}	宕开一平唐端		tɑŋ232	tɑŋ13	tɑŋ132
汤		宕开一平唐透	tʰɔ̃44	tɑŋ232	tʰɑŋ13	tʰɑŋ132
堂		宕开一平唐定	tɔ̃21	tɑŋ33	tɑŋ33	tɑŋ22
糖		宕开一平唐定	tɔ̃21	tɑŋ33	tɑŋ33	tɑŋ22
塘		宕开一平唐定	tɔ̃21	tɑŋ33	tɑŋ33	tɑŋ22
郎		宕开一平唐来	lɔ̃21	nɑŋ33	nɑŋ33	nɑŋ22
狼		宕开一平唐来	lɔ̃21	nɑŋ33	nɑŋ33	nɑŋ22
仓		宕开一平唐清	tsʰɔ̃44	tsʰɑŋ232	tsʰɑŋ13	tsʰɑŋ132
桑		宕开一平唐心		sɑŋ232	sᵘɔ13	sɑŋ132
刚		宕开一平唐见	kɔ̃44	kɑŋ232	kɑŋ13	kɑŋ132
缸		宕开一平唐见	on35	kɑŋ232	kɑŋ13	kɑŋ132
糠		宕开一平唐溪	hɔ̃44	hɑŋ232	kʰɑŋ13	kʰɑŋ132
昂		宕开一平唐疑	ŋɔ̃21	ɑŋ33	15	ŋɑŋ22
行		宕开一平唐匣	hɔ̃21	hɑŋ33	hɑŋ33	hɑŋ22
榜		宕开一上荡帮	pɒ̃33	pɑŋ422	pᵘɔ44	pɑŋ44
党		宕开一上荡端	tɔ̃55	tɑŋ422	tɑŋ44/tᵘɔ44	tɑŋ44
嗓		宕开一上荡心	sɔ̃55	sɑŋ422	sɑŋ44	sɑŋ44
当	{~铺}	宕开一去宕端	tɔ̃35	tɑŋ33	tɑŋ35	tɑŋ35
浪		宕开一去宕来	lɔ̃53	nɑŋ53	nɑŋ35	nɑŋ21
葬		宕开一去宕精	tsɔ̃35	tsɑŋ33	tsɑŋ35	tsɑŋ35
杠		宕开一去宕见	kɔ̃44	kɑŋ33	kɑŋ35	kɑŋ35
抗		宕开一去宕溪		kʰɑŋ35	kʰɑŋ53	kʰɑŋ35
博		宕开一入铎帮		puo5	pᵘɔ21	puo21
薄		宕开一入铎並	pɯ33	puə53	pɑu53	pou21
摸		宕开一入铎明	mũ44	mɑu232	mɑu5	muo132
落		宕开一入铎来	lʊo53	nɑu21	nɑu5	nou5
乐		宕开一入铎来	lʊo21	nuo21{借桂}	nuə5	iɑu5
作		宕开一入铎精		tsɿ5	tsuə33	tsuo5
凿		宕开一入铎从	tsʊo53	tsuo422	tsᵘɔ53	tsᵘɔ44
索		宕开一入铎心	sʊo55	sɑu5	sɑu5	sou5
各		宕开一入铎见	kə4	kuə5	ku35	kou5
鹤		宕开一入铎匣		hə33	15	huo44
恶		宕开一入铎影	o55	uo5	uə5	uo5
粮		宕开三平阳来	lin21	niɑŋ33	niɑŋ33	ȵiɑŋ22
将		宕开三平阳精	tsin44	tʃiɑŋ232	tʃiɑŋ13	tʃiɑŋ132
枪		宕开三平阳清	tsʰin44	tʃʰiɑŋ232	tʃʰiɑŋ13	tʃʰiɑŋ132
墙		宕开三平阳从	tsin21	tʃiɑŋ33	tʃiɑŋ33	tʃiɑŋ22
箱		宕开三平阳心	sin44	ʃiɑŋ232	ʃiɑŋ13	ʃiɑŋ132
详		宕开三平阳邪		tʃiɑŋ33	tʃiɑŋ33	tʃiɑŋ22
张		宕开三平阳知	tʃin44	tsɑŋ232	tsɑŋ13	tsɑŋ132
长	{~短}	宕开三平阳澄	tin21	tiɑŋ33	tiɑŋ33	tsɑŋ22
肠		宕开三平阳澄	tin21	tsɑŋ33	tsɑŋ33	tsɑŋ22
场		宕开三平阳澄	tʃin21	tsɑŋ33	tsʰɑŋ21{借桂}	tsɑŋ22
庄		宕开三平阳庄	tʃʊɔ̃44	tsɑŋ232	tsuɑŋ13	tsuɑŋ44
装		宕开三平阳庄	tʃʊɔ̃44	tsɑŋ232	tsuɑŋ13	15
疮		宕开三平阳初	tʃʰʊɔ̃44	tsʰɑŋ232	tsʰuɑŋ13	tsʰuɑŋ44
