例字	注释	中古音	公平	九屋	潭下	甘棠
车	{马~}	假开三平麻昌	tʃʰiᴇ44	tsʰua232	tsʰᵘɔ13	tsʰᵘɔ132
蛇		假开三平麻船	ʃiᴇ21	sua33	sᵘɔ33	sᵘɔ22
爷		假开三平麻以	ləu33{训读}	tiᴇ232	tiɛ13{训读}	iɔ22
姐		假开三上马精	tɒ53	tʃiᴇ422	tʃiɛ44	tʃie44
写		假开三上马心	siᴇ55	ʃiɔ422	ʃiᵘɔ44	ʃiɔ44
扯		假开三上马昌	tʃʰiᴇ55	tʃʰiᴇ21	tʃʰiɛ21	tʃʰie44
社		假开三上马禅	ʃiᴇ35	sua21	ʃiᵘɔ21	sᵘɔ21
惹		假开三上马日		iɔ422	iᵘɔ44	ȵiɔ44
也	{~是}	假开三上马以	i33/iᴇ33/a33	a33	a21	a21
野		假开三上马以	io33	iɔ21	iᵘɔ21	iɔ44
借		假开三去祃精		tʃiɔ35	tʃiᵘɔ35	tʃiɔ35
泻		假开三去祃心	siᴇ35	ʃiɔ35	ʃiᵘɔ35	ʃiɔ35
谢		假开三去祃邪	siᴇ35	sai33{文读}	tʃiᵘɔ53	tʃiɔ21
夜		假开三去祃以	iɒ53	iɔ53	iᵘɔ53	iɔ21
瓜		假合二平麻见	kʊɒ44	kua232	kuə13	kᵘɔ132
夸		假合二平麻溪		kʰua232	15	kʰua132
花		假合二平麻晓	fɒ44	hua232	huɯ13	hᵘɔ132
划	{~船}	假合二平麻匣	fɒ53	hua53	huɯ53	hua22
寡		假合二上马见	kʊɒ55	kua422	kua44	kᵘɔ44
瓦		假合二上马疑	ŋo33	ua21	ua21	ŋᵘɔ44
化		假合二去祃晓	fɒ53	hua53	huɯ53	hᵘɔ35
铺	{~设}	遇合一平模滂	pʰʊ44	pʰu232	pʰu13	pʰʊ132
菩		遇合一平模並	pʊ21	puə33	pu33	15
模	{~子}	遇合一平模明	mʊ21	mu33	mu33	muo22
都	{~是}	遇合一平模端	tʊ44	tɤᵊ33/tu33{变调}	tu13	tʊ132
徒		遇合一平模定	tɑʊ21	tu33	tᵘɔu33	tʊ22
涂		遇合一平模定	tɑʊ21	tu33	tᵘɔu33	tʊ22
奴		遇合一平模泥	nɑʊ21	nu33	nᵘɔu33	nʊ22
