IPA	調值	調類	漢字
u	21	6	雾
tɕʰi	41	3	取
tɕy	21	6	柱住
səu	41	3	数手
səu	45	5	数瘦[文]
ɕy	45	5	竖
ɕy	21	6	树
tɕʰy	33	1	区
y	45	5	遇裕玉浴
y	41	3	雨
y	21	6	芋
tʰæ	33	1	胎
tæ	13	2	台
læ	13	2	来
tsʰæ	45	5	菜
tsæ	13	2	财柴
kæ	33	1	该街
kæ	41	3	改解
kʰæ	33	1	开
xæ	41	3	海蟹
ŋæ	45	5	爱
pei	45	5	贝
tæ	45	5	带
kæ	45	5	盖戒
xæ	21	6	害
pæ	45	5	拜
pæ	13	2	排牌
mæ	13	2	埋
pæ	41	3	摆
pʰæ	45	5	派
mæ	41	3	买
mæ	45	5	卖
sæ	45	5	晒
xæ	13	2	鞋
ŋæ	41	3	矮
pæ	21	6	败
pei	21	6	币背被
tsɿ	45	5	制治
sɿ	45	5	世试式
i	45	5	艺意益
mi	41	3	米
ti	33	1	低
tʰi	33	1	梯
tʰi	45	5	剃
ti	21	6	弟递地
ȵi	13	2	泥
li	13	2	犁梨
ɕi	33	1	西溪希
ɕi	41	3	洗喜
tɕi	33	1	鸡饥
tɕʰi	45	5	契器气
ɕi	45	5	系戏
pei	33	1	杯碑
pʰei	45	5	配
pei	13	2	赔
mei	13	2	煤眉
mei	21	6	妹
tei	45	5	对
lei	13	2	雷
tsei	21	6	罪
sei	45	5	碎岁
xuei	33	1	灰飞
xuei	13	2	回肥
uæ	21	6	外
xuei	21	6	会
kuæ	45	5	怪
kʰuæ	41	3	块
xuæ	13	2	怀
fæ	21	6	坏
kuæ	41	3	拐
kua	45	5	挂
uæ	33	1	歪
xua	21	6	画话划
kʰuæ	45	5	快
uei	45	5	卫胃
fei	45	5	肺
kuei	45	5	桂贵
pi	13	2	皮鼻
tsɿ	41	3	紫纸指子
tsʰɿ	45	5	刺直[白]
tsɿ	33	1	知资
tsɿ	13	2	池迟祠
ɛ	13	2	儿
tɕi	45	5	寄记季
ȵi	21	6	蚁义[白]
i	13	2	移姨
pi	41	3	比
pʰi	45	5	屁
si	41	3	死
si	45	5	四
sɿ	33	1	师丝
ɛ	21	6	二耳
tsɿ	21	6	字
sɿ	21	6	寺柿事市
sɿ	41	3	使
sɿ	13	2	时
tɕi	41	3	几
i	33	1	衣
tsei	41	3	嘴
sei	13	2	随
tsʰuei	33	1	吹
tsuei	13	2	垂锤
kuei	33	1	规龟
kʰuei	33	1	亏
kʰuei	41	3	跪
uei	33	1	危
lei	21	6	类
tsei	45	5	醉
tsuei	33	1	追
kuei	21	6	柜
uei	21	6	位味
xuei	45	5	费
uei	41	3	尾
kuei	41	3	鬼
uei	13	2	围
pɔ	41	3	宝饱
pɔ	21	6	抱
mɔ	13	2	毛
mɔ	21	6	帽
tɔ	33	1	刀
tʰɔ	41	3	讨
tɔ	13	2	桃
tɔ	21	6	道
lɔ	41	3	脑老
tsɔ	41	3	早找
tsɔ	45	5	灶造罩照
tsʰɔ	41	3	草
tsʰɔ	45	5	糙
sɔ	41	3	嫂
kɔ	33	1	高
kʰɔ	45	5	靠
ŋɔ	13	2	熬
xɔ	41	3	好
xɔ	21	6	号
pɔ	33	1	包
pʰɔ	45	5	炮
mɔ	33	1	猫
lɔ	21	6	闹
tsa	33	1	抓
tsʰɔ	33	1	抄
tɕiɔ	33	1	交焦钩[白]
tɕʰiɔ	33	1	敲
ɕiɔ	45	5	孝校笑瘦[白]
piɔ	41	3	表
pʰiɔ	45	5	票
miɔ	21	6	庙
ɕiɔ	41	3	小
tsɔ	13	2	朝
sɔ	33	1	烧
iɔ	41	3	绕
tɕiɔ	13	2	桥轿
iɔ	33	1	腰
iɔ	45	5	要
iɔ	13	2	摇
ȵiɔ	41	3	鸟
tiɔ	45	5	钓
tiɔ	13	2	条头[白]
liɔ	21	6	料
ɕiɔ	33	1	箫
tɕiɔ	45	5	叫够[白]
mu	41	3	母
tʰiɔ	33	1	偷[白]
liɔ	13	2	楼[白]
tɕiɔ	41	3	走[白]狗[白]
tsʰəu	45	5	凑臭
kʰəu	41	3	口
ŋəu	41	3	藕
ɕiɔ	21	6	后[白]
xəu	21	6	厚后[文]
fəu	13	2	浮[白]
liəu	13	2	流
tɕiəu	41	3	酒九
ɕiəu	33	1	修休
ɕiəu	45	5	袖
tsʰəu	13	2	愁
səu	21	6	寿
tɕiəu	13	2	球
tɕiəu	21	6	舅旧
ȵiəu	13	2	牛
iəu	33	1	优
iəu	41	3	有
iəu	21	6	右
iəu	13	2	油
tiəu	33	1	丢
iəu	45	5	幼育
tʰã	33	1	贪
tã	13	2	潭弹
lã	13	2	南蓝难兰
tsã	13	2	蚕缠
kã	41	3	感敢减
xã	13	2	含咸
ŋã	45	5	暗岸
ta	24	7	搭达
tʰa	24	7	踏塔
la	33	1	拉
tsa	24	7	杂闸扎摘[白]
kʊ	24	7	鸽割各郭
xʊ	24	7	盒活佛鹤
tã	41	3	胆
tʰã	41	3	毯
tã	21	6	淡
sã	33	1	三杉衫山闩
kã	33	1	甘监[白]肝间奸
xã	41	3	喊
la	24	7	蜡
tsã	21	6	赚
tsʰa	24	7	插擦尺[白]
ka	24	7	夹[白]
ŋã	13	2	岩颜
tɕia	24	7	甲夹[文]
ŋa	24	7	鸭
ȵiẽ	24	7	黏
tɕiẽ	33	1	尖肩监[文]
tɕʰiẽ	33	1	签牵
tsã	45	5	占战
ȵyn	41	3	染
tɕiẽ	13	2	钳钱前全
ȵiẽ	21	6	验念
ɕiẽ	41	3	险显选
iẽ	45	5	厌
iẽ	13	2	炎盐延铅荣
tɕiɛ	24	7	接杰节截结绝
tsɛ	24	7	折择窄摘[文]
iɛ	45	5	叶
tɕiẽ	45	5	剑建健见
tɕʰiẽ	45	5	欠
ȵiẽ	13	2	严言年莲
ȵiɛ	24	7	业孽捏
tiẽ	41	3	点典
tiẽ	45	5	店
tʰiẽ	33	1	添天吞
tiẽ	13	2	甜田
ɕiẽ	13	2	嫌
tiɛ	24	7	跌
tʰiɛ	24	7	贴铁
tʰiɛ	45	5	碟
ɕiɛ	24	7	协歇雪
fã	21	6	犯饭
fa	13	2	法
pʰin	41	3	品
lin	13	2	林邻零
tɕin	45	5	浸进劲镜
ɕin	33	1	心新凶星[文]兄[文]
ɕyn	13	2	寻
tsen	13	2	沉陈唇层程城虫松[白]
sen	33	1	参深身孙僧升松生[文]声[文]松[文]
tsen	33	1	针贞中终
len	21	6	任认嫩弄
tɕin	33	1	金筋经
tɕin	13	2	琴勤穷
in	33	1	音蝇拥
li	45	5	立律
tɕi	24	7	集急及吉极积击
ɕi	24	7	习吸息惜席锡[文]
tsɿ	24	7	汁侄织直[文]
sɿ	24	7	十实失食石[文]
y	24	7	入
tã	33	1	单
tʰã	45	5	炭
lã	41	3	懒
lã	21	6	烂
sã	41	3	伞
kʰã	45	5	看
xã	45	5	汉
xã	21	6	汗限
ŋã	33	1	安
la	45	5	辣
kʰʊ	24	7	渴阔壳
pã	45	5	扮
pã	21	6	办
tsʰã	41	3	铲产
ŋã	41	3	眼
pa	24	7	八
sa	24	7	杀刷
pã	33	1	班
pã	41	3	板
mã	21	6	慢
miẽ	21	6	面面
liẽ	13	2	连
tɕiẽ	41	3	剪
tɕʰiẽ	41	3	浅
ɕiẽ	33	1	鲜先
ɕiẽ	45	5	线
tɕyn	45	5	扇俊
sã	45	5	善
tɕiẽ	21	6	件
piɛ	24	7	别憋
miɛ	24	7	灭
liɛ	45	5	列
tsʰɛ	24	7	撤侧测拆策
sɛ	24	7	舌虱塞色
sɛ	45	5	设
ȵi	45	5	热[白]义[文]
piẽ	41	3	扁
pʰiẽ	45	5	片骗
tiẽ	21	6	垫
ɕiẽ	21	6	现县
iẽ	33	1	烟
mi	45	5	篾
tɕʰiɛ	24	7	切
põ	33	1	搬
põ	45	5	半
pʰõ	45	5	判
põ	13	2	盘
mõ	41	3	满
tõ	33	1	端
tõ	41	3	短
tõ	21	6	断
lõ	41	3	暖
lõ	21	6	乱
sõ	33	1	酸
sõ	45	5	算
kõ	33	1	官
kʰõ	33	1	宽
xõ	33	1	欢
uõ	13	2	完
xõ	21	6	换
uõ	41	3	碗
pɛ	24	7	拨[白]北百
pʰɛ	24	7	泼[白]拍白
mʊ	24	7	末
tʰʊ	24	7	脱托
tʊ	24	7	夺
uã	13	2	顽
ua	45	5	滑[白]
ua	24	7	挖袜
kuã	33	1	关
kuã	45	5	惯
fã	13	2	还
xæ	24	7	还
uã	33	1	弯
kua	24	7	刮
tɕyen	41	3	转卷
tɕyen	13	2	传船权
tɕyen	45	5	传砖
ȵyen	41	3	软
tɕʰyen	33	1	圈
yen	13	2	圆园
yen	45	5	院
fã	41	3	反
fã	33	1	翻
uã	41	3	晚
uã	21	6	万
tɕʰyen	45	5	劝
ȵyen	13	2	原
yen	33	1	冤
yen	41	3	远
fa	24	7	发滑[文]
fa	45	5	罚
yɛ	24	7	月越热[文]
tɕyɛ	24	7	决
tɕʰyɛ	24	7	缺
ɕyɛ	24	7	血
ken	33	1	根更耕公宫恭
xen	45	5	恨凤
ŋen	33	1	恩翁
pin	13	2	贫平瓶
min	13	2	民明[文]名[文]
tɕʰin	33	1	亲清[文]轻[文]青[文]
tsen	45	5	镇震证正粽种
sen	13	2	神辰绳
ȵin	13	2	人
tɕin	41	3	紧井[文]
in	13	2	银迎营容赢[文]
in	45	5	印
in	41	3	引隐影
pi	24	7	笔逼
pʰi	24	7	匹
mi	24	7	密
li	24	7	栗力历日[文]
tɕʰi	24	7	七
ȵi	24	7	日[白]
i	24	7	一
tɕin	21	6	近静
pen	41	3	本
pen	13	2	盆朋棚蓬
men	13	2	门
ten	33	1	墩蹲灯东冬
tsʰen	33	1	村葱充冲
tsʰen	45	5	寸秤
kuen	41	3	滚
kʰuen	45	5	困
fen	33	1	婚分
fen	13	2	魂坟横[文]
uen	33	1	温
tsəu	24	7	卒竹粥足烛
ku	24	7	骨谷
len	13	2	轮能脓浓龙
sen	41	3	笋省
tɕyn	41	3	准
tɕʰyn	33	1	春
ɕyn	45	5	顺
tsuen	13	2	纯
yn	21	6	闰运
tɕyn	33	1	均军
yn	13	2	匀云
tɕʰy	24	7	出
tɕy	24	7	橘菊局
fen	41	3	粉
fen	45	5	粪
uen	13	2	蚊
uen	21	6	问
tɕyn	13	2	裙
ɕyn	33	1	熏
u	45	5	物
paŋ	33	1	帮
maŋ	13	2	忙
taŋ	41	3	党
tʰaŋ	33	1	汤
taŋ	13	2	糖
laŋ	21	6	浪让
tsʰaŋ	33	1	仓疮窗
kaŋ	33	1	钢江
kʰaŋ	33	1	糠坑[白]
pʰu	24	7	薄
mʊ	33	1	摸
lʊ	24	7	落
tsʊ	24	7	作着桌镯
sʊ	24	7	索勺
ŋʊ	24	7	恶
ȵiaŋ	13	2	娘
liaŋ	41	3	两
liaŋ	21	6	亮
tɕiaŋ	33	1	浆姜
tɕʰiaŋ	41	3	抢
tɕiaŋ	21	6	匠
ɕiaŋ	41	3	想响
ɕiaŋ	45	5	像向姓[白]
tsaŋ	33	1	张装章桩争[白]
tsaŋ	13	2	长床
tsaŋ	45	5	壮
saŋ	33	1	霜伤双生[白]声[白]
tsʰaŋ	41	3	厂
tsʰaŋ	45	5	唱
saŋ	13	2	尝
saŋ	21	6	上
iaŋ	33	1	秧
iaŋ	41	3	痒
iaŋ	21	6	样
tɕʰiʊ	24	7	雀
ɕiʊ	24	7	削学
ȵiʊ	24	7	弱
tɕiʊ	24	7	脚角
iʊ	24	7	约药
kuaŋ	33	1	光
faŋ	33	1	慌方
faŋ	13	2	黄房防
faŋ	45	5	放
faŋ	41	3	纺
uaŋ	41	3	网
kʰuaŋ	33	1	筐
kuaŋ	13	2	狂
uaŋ	13	2	王横[白]
uaŋ	21	6	旺
fʊ	24	7	缚
paŋ	41	3	绑
pʰaŋ	45	5	胖
paŋ	45	5	棒
tsaŋ	21	6	撞
kaŋ	41	3	讲梗
ɕiaŋ	13	2	降
ɕiaŋ	21	6	项
pʊ	24	7	剥拨[文]
u	24	7	握屋
ten	41	3	等懂
ten	45	5	凳冻
ten	13	2	藤铜
kʰen	41	3	肯孔
mɛ	24	7	墨麦
tɛ	24	7	得
tʰɛ	24	7	特
tsʰɛ	45	5	贼
kʰɛ	24	7	刻客
xɛ	24	7	黑
pin	33	1	冰兵
sen	21	6	剩
ɕin	45	5	兴姓[文]
kuɛ	24	7	国
fɛ	24	7	或
men	41	3	猛
ta	41	3	打
laŋ	41	3	冷
ŋen	21	6	硬
ɕin	13	2	行形熊雄
kɛ	24	7	格隔
ŋɛ	24	7	额
pin	41	3	柄饼
piaŋ	21	6	病[白]
miaŋ	13	2	明[白]名[白]
miaŋ	21	6	命[白]
tɕʰin	45	5	庆
lin	41	3	领
tɕiaŋ	41	3	井[白]
tɕʰiaŋ	33	1	清[白]轻[白]青[白]
tsen	41	3	整肿
iaŋ	13	2	赢[白]
tiaŋ	33	1	钉[白]
tin	41	3	顶
tʰin	33	1	厅
tʰiaŋ	45	5	听[白]
tin	13	2	停
tʰin	41	3	挺
tin	21	6	定
ɕiaŋ	33	1	星[白]兄[白]
pi	45	5	壁
pʰia	24	7	劈
tʰi	24	7	踢
ti	24	7	笛
ɕia	24	7	锡[白]
tɕʰia	24	7	吃[白]
yn	41	3	永
tʰen	33	1	通
tʰen	41	3	桶统
tʰen	45	5	痛
ten	21	6	动洞
len	33	1	聋
sen	45	5	送宋
xen	33	1	烘风丰封蜂
xen	13	2	红缝
mu	24	7	木目
tʰəu	45	5	读
ləu	24	7	鹿六绿
tsʰəu	24	7	族畜
kʰu	24	7	哭
sen	33	1	参深身孙僧升松
təu	24	7	毒
men	21	6	梦
fu	24	7	福服
səu	24	7	宿缩叔熟赎属
ȵiəu	24	7	肉
tsen	21	6	重
ken	21	6	共
ɕin	33	1	心新凶
in	13	2	银迎营容
in	21	6	用
lu	41	3	褥
tɕʰiəu	24	7	曲
xa	24	7	瞎
piẽ	45	5	变
piẽ	21	6	便
miẽ	13	2	棉
