simp	trad	detail	调类
腌	腌		iɪ1
腌	醃		iɪ1
烟	烟		iɪ1
烟	煙		iɪ1
烟	菸	香～	iɪ1
胭	胭		iɪ1
蔫	蔫	花～落個哩：花枯萎了	iɪ1
嫣	嫣		iɪ1
焉	焉		iɪ1
演	演		iɪ3
魇	魘	夢～	iɪ3
厌	厭		iɪ5A
堰	堰		iɪ5A
䞁	䞁		iɪ5A
燕	燕	～京	iɪ1
燕	燕	～子	iɪ5A
咽	咽		iɪ5A
咽	嚥		iɪ5A
宴	宴		iɪ5A
雁	雁		iɪ5A
赝	贗		iɪ5A
赝	贋		iɪ5A
贝	貝		pai1
杯	杯		pai1
杯	盃		pai1
杯	桮		pai1
背	背	～書包（動詞）	pai1
背	揹	～書包（動詞）	pai1
碑	碑		pai1
卑	卑		pai1
悲	悲		pai1
辈	輩		pai5A
背	背	後～（名詞）	pai5A
臂	臂	手～	pai5A
臂	臂	又	pi5A
胚	胚		pʰai1
坯	坯		pʰai1
坏	坏	坏者，凡土器未燒之緫名也	pʰai1
丕	丕		pʰai1
丕	丕		pʰi1
剖	剖		pʰei1
配	配		pʰai5B
培	培		bai2
陪	陪		bai2
赔	賠		bai2
裴	裴		bai2
裴	裵		bai2
倍	倍		bai6
佩	佩		bai6
背	背	～誦（動詞）	bai6
焙	焙		bai6
痱	痱		bai6
眉	眉	（文）	mai2
梅	梅		mai2
槑	槑	古文梅字	mai2
枚	枚		mai2
玫	玫		mai2
媒	媒		mai2
煤	煤		mai2
莓	莓		mai2
楣	楣	倒～，門～	mai2
霉	霉	～雨	mai2
霉	黴	發～	mai2
谋	謀		mei2
每	每		mai3
美	美		mai3
某	某		mei3
妹	妹		mai6
魅	魅		mai6
昧	昧		mai6
媚	媚		mai6
寐	寐		mai6
茂	茂		mei6
贸	貿		mei6
否	否		fei3
浮	浮	形容詞，浮躁：～尸（指辦事不穩重的人）	vei2
堆	堆		tai1
兜	兜		tei1
丢	丟		tei1
抖	抖		tei3
陡	陡		tei3
对	對		tai5A
斗	斗	抽～	tei3
斗	鬥	爭～	tei5A
斗	鬦	俗鬭字	tei5A
斗	鬭	爭～	tei5A
斗	鬬	爭～	tei5A
斗	鬪	爭～	tei5A
推	推		tʰai1
偷	偷		tʰei1
腿	腿		tʰai3
退	退		tʰai5B
颓	頹		dai2
颓	頽		dai2
蜕	蛻		tʰai5B
蜕	蜕		tʰai5B
透	透		tʰei5B
头	頭		dei2
投	投		dei2
骰	骰	～子	dei2
队	隊		dai6
兑	兌		dai6
兑	兑		dai6
豆	豆		dei6
逗	逗		dei6
痘	痘		dei6
内	內		nai6
芮	芮		zai6
溜	溜		lei1
溜	澑		lei1
流	流	又	lei2
刘	劉		lei2
留	留		lei2
留	畱		lei2
榴	榴		lei2
榴	橊		lei2
硫	硫		lei2
琉	琉		lei2
雷	雷		lai2
蕾	蕾		lai2
擂	擂		lai2
楼	樓		lei2
柳	柳	又	lei3
柳	桺		lei3
儡	儡		lai3
垒	垒		lai3
垒	壘		lai3
搂	摟		lei3
馏	餾		lei6
馏	𩞷		lei6
累	累	積～	lai3
磊	磊		lai3
磥	磥	同磊	lai3
累	纍		lai2
羸	羸		lai2
累	累	勞～	lai6
类	類		lai6
漏	漏	～落（不小心遺失了，弄丟了）	lei6
陋	陋		lei6
椎	椎		tsai1
追	追		tsai1
锥	錐		tsai1
昼	晝		tsei1
邹	鄒		tsei1
周	周		tsei1
周	週		tsei1
舟	舟		tsei1
州	州		tsei1
洲	洲		tsei1
嘴	嘴		tsi3
走	走		tsei3
缀	綴		tsai5A
赘	贅		tsai5A
醉	醉	（文）	tsai5A
奏	奏		tsei5A
皱	皺		tsei5A
绉	縐	～巴巴	tsei5A
咒	咒		tsei5A
咒	呪		tsei5A
帚	帚	苕～	tsei3
最	最		tsai5A
催	催		tsʰei1
崔	崔		tsʰei1
吹	吹	（文）	tsʰai1
炊	炊		tsʰai1
抽	抽		tsʰei1
丑	丑	小～	tsʰei3
丑	醜	～八怪	tsʰei3
脆	脆	（文）	tsʰai5B
脆	脆	（白）	tsʰi5B
翠	翠		tsʰai5B
凑	湊		tsʰei5B
臭	臭		tsʰei5B
垂	垂	（文）	zai2
垂	垂	（白）～下來	zi2
槌	槌		dzai2
锤	錘		dzai2
谁	誰		zai2
绸	綢		dzei2
稠	稠		dzei2
筹	籌		dzei2
仇	讎		dzei2
仇	讐		dzei2
仇	仇		dzei2
酬	酬		dzei2
柔	柔		dzei2
罪	罪	犯～	dzai6
罪	辠	犯～	dzai6
罪	罪	～過人：可憐	zai6
罪	辠	～過人：可憐	zai6
睡	睡		zai6
瑞	瑞		zai6
遂	遂		zai6
隧	隧		zai6
穗	穗		zai6
坠	墜		zai6
纣	紂		zei6
宙	宙		zei6
籀	籀		dzei6
籀	籒		dzei6
冑	冑	甲～（從“冃”，與“胄”不同）	dzei6
胄	胄	～裔，貴～（從“肉”，與“冑”不同）	dzei6
伷	伷	貴～（同“胄”，多用於人名）	dzei6
骤	驟		dzei6
虽	雖		sai1
尿	尿		si1
溲	溲	排泄小便	sei1
搜	搜	～查，～集	sei1
搜	蒐	～集	sei1
蒐	蒐	茜草	sei1
飕	颼		sei1
馊	餿		sei1
收	收		sei1
叟	叟		sei3
叟	叜	古文叟字	sei3
傁	傁		sei3
手	手		sei3
首	首		sei3
守	守		sei3
碎	碎		sai5A
岁	歲		sai5A
岁	歳		sai5A
税	稅		sai5A
锐	銳	～角	sai5A
锐	鋭	～角	sai5A
锐	銳	～氣	zai6
锐	鋭	～氣	zai6
秽	穢		huai5A
秽	穢		ɦuai6
艘	艘		sei5A
粹	粹		zai6
嗽	嗽		sei5A
瘦	瘦		sei5A
漱	漱	咳～	sei5A
兽	獸		sei5A
随	隨		zai2
隋	隋		zai2
愁	愁		zei2
受	受		zei6
寿	壽		zei6
授	授		zei6
售	售		zei6
沟	溝		kei1
勾	勾	～當，～銷	kei1
句	句	高～麗	kei1
钩	鉤		kei1
钩	鈎		kei1
佝	佝		kei1
偻	僂		lei2
狗	狗		kei3
苟	苟		kei3
够	夠		kei5A
构	構		kei5A
购	購		kei5A
抠	摳		kʰei1
口	口		kʰei3
去	去	（白）	tɕʰi5B
扣	扣		kʰei5B
寇	寇		kʰei5B
厚	厚		ɡei6
藕	藕		ŋei3
偶	偶	配～，～然	ŋei3
齁	齁		hei1
佝	佝	～背：駝背	həɯ1
呴	呴	氣喘	hei1
吼	吼		hei1
吼	吼		hei5A
鲎	鱟	彩虹	hei5A
侯	侯		ɦʰei2
喉	喉		ɦʰei2
猴	猴		ɦʰei2
瘊	瘊		ɦʰei2
逅	逅		ɦʰei2
后	后	皇～	ɦʰei6
后	後	～底：後面	ɦʰei6
候	候		ɦʰei6
欧	歐		ei1
区	區	姓	ei1
瓯	甌		ei1
讴	謳		ei1
沤	漚		ei1
鸥	鷗		ei1
殴	毆		ei1
呕	嘔	當表示嘔吐時，申港衹單說嘔，不說嘔吐。	ei3
怄	慪		ei5A
圭	圭		kuai1
闺	閨		kuai1
规	規		kuai1
龟	龜		kuai1
归	歸		kuai1
诡	詭		kuai3
轨	軌		kuai3
鬼	鬼		kuai3
会	會	～計	kuai5A
刽	劊		kuai5A
桧	檜		kuai5A
桂	桂		kuai5A
贵	貴		kuai5A
盔	盔		kʰuai1
魁	魁		kʰuai1
傀	傀		kʰuai3
奎	奎		kʰuai1
睽	睽		kʰuai1
亏	虧		kʰuai1
块	塊		kʰuai5B
喟	喟	～嘆	kʰuai5B
癸	癸		kuai3
逵	逵		ɡuai2
葵	葵	又	ɡuai2
揆	揆		ɡuai6
溃	潰		ɡuai6
馈	餽		ɡuai6
馈	饋		ɡuai6
聩	聵		ɡuai6
愧	愧		ɡuai6
跪	跪		ɡuai6
柜	櫃		ɡuai6
恢	恢		huai1
灰	灰		huai1
麾	麾		huai1
挥	揮		huai1
辉	輝		huai1
晖	暉		huai1
徽	徽		huai1
悔	悔		huai3
虫	虫	虺本字	huai3
虺	虺	一種蛇	huai3
毁	毁		huai3
毁	毀		huai3
毁	燬		huai3
毁	譭		huai3
毁	䛼		huai3
贿	賄		huai5A
晦	晦		huai5A
卉	卉		huai5A
卉	芔	卉本字	huai5A
烩	燴		huai5A
桅	桅		ɦuai2
徘	徘	～徊	bai2
徊	徊	徘～	ɦuai2
回	回	一～	ɦuai2
回	囘	一～	ɦuai2
回	囬	一～	ɦuai2
回	迴	～轉	ɦuai2
回	逥	～轉	ɦuai2
回	廻	～轉	ɦuai2
回	廽	～轉	ɦuai2
蛔	蛔		ɦuai2
蛔	蚘		ɦuai2
蛔	蜖		ɦuai2
蛔	蛕		ɦuai2
茴	茴		ɦuai2
危	危		ɦuai2
为	爲	行～	ɦuai2
违	違		ɦuai2
围	圍		ɦuai2
汇	匯	～合	ɦuai6
汇	滙	～合	ɦuai6
汇	彙	詞～	ɦuai6
会	會		ɦuai6
绘	繪		ɦuai6
卫	衛		ɦuai6
卫	衞		ɦuai6
卫	䘙		ɦuai6
彗	彗		ɦuai6
惠	惠		ɦuai6
慧	慧		ɦuai6
伪	僞		ɦuai6
为	爲	～人民服務	ɦuai6
位	位		ɦuai6
魏	魏		ɦuai6
讳	諱		ɦuai6
讳	諱		huai5A
伟	偉		ɦuai6
苇	葦		ɦuai6
荟	薈		ɦuai6
纬	緯		ɦuai6
胃	胃		ɦuai6
谓	謂		ɦuai6
猬	猬		ɦuai6
煨	煨		uai1
萎	萎		uai1
葵	葵	又：向日～	uai1
威	威		uai1
畏	畏		uai1
委	委		uai3
慰	慰		uai5A
搬	搬		pɤ1
半	半		pɤ5A
潘	潘		pʰɤ1
拌	拌	～得：捨得（俗作拚）	pʰɤ1
拚	拚	（俗）～得：捨得（正字爲拌）	pʰɤ1
判	判		pʰɤ5B
繙	繙	同槃	bɤ2
槃	槃		bɤ2
磐	磐		bɤ2
蹒	蹣		bɤ2
盘	盤		bɤ2
胖	胖	心寬體～	bɤ2
伴	伴		bɤ6
拌	拌		bɤ6
叛	叛		bɤ6
瞒	瞞		mɤ2
馒	饅		mɤ2
鳗	鰻	～鱺	mɤ2
鲡	鱺	鰻～	li2
满	滿		mɤ3
漫	漫		mɤ6
幔	幔		mɤ6
端	端		tɤ1
短	短		tɤ3
断	斷	決～	tɤ5A
锻	鍛		tɤ5A
贪	貪		tʰɤ1
湍	湍		tʰɤ1
探	探		tʰɤ5B
彖	彖		tʰɤ5B
抟	摶		dɤ2
漙	漙		dɤ2
鏄	鏄		dɤ2
覃	覃		dɤ2
潭	潭		dɤ2
谭	譚		dɤ2
坛	罈	酒～	dɤ2
坛	罎	酒～	dɤ2
坛	壜	酒～	dɤ2
坛	墰	酒～	dɤ2
坛	墵	酒～	dɤ2
坛	埮	酒～	dɤ2
团	團		dɤ2
段	段		dɤ6
缎	緞		dɤ6
断	斷	砍～	dɤ6
囡	囡	～～（對小女孩的暱稱，常用於小女孩的小名）	nɤ1
男	男		nɤ2
南	南		nɤ2
楠	楠		nɤ2
腩	腩		nɤ3
暖	暖		nɤ3
龻	龻		lɤ2
鸾	鸞		lɤ2
銮	鑾		lɤ2
挛	攣		lɤ2
孪	孿		lɤ2
峦	巒		lɤ2
娈	孌		lɤ2
栾	欒		lɤ2
滦	灤		lɤ2
癵	癵		lɤ2
脔	臠		lɤ2
曫	曫		lɤ2
羉	羉		lɤ2
滦	灓		lɤ2
圝	圝		lɤ2
圞	圞		lɤ2
卵	卵		lɤ3
乱	亂		lɤ6
詹	詹		tsɤ1
瞻	瞻		tsɤ1
占	占	～卜	tsɤ1
沾	沾	～～自喜	tsɤ1
沾	霑	～恩，雨露均～	tsɤ1
毡	毡		tsɤ1
毡	氊		tsɤ1
毡	氈		tsɤ1
钻	鑽	～研	tsɤ1
专	專		tsɤ1
砖	磚		tsɤ1
撰	撰		dzɤ6
展	展		tsɤ3
纂	纂		tsɤ3
转	轉	～眼	tsɤ3
占	佔	～領	tsɤ5A
占	占		tsɤ5A
战	戰		tsɤ5A
颤	顫		tsɤ5A
钻	鑽	電～	tsɤ5A
转	轉	～圓圈	tsɤ5A
参	參		tsʰɤ1
餐	餐	～廳，～巾紙	tsʰɤ1
餐	餐	吃一～	tsʰɛ1
汆	汆	燙一下食物	tsʰɤ1
窜	竄		tsʰɤ1
篡	篡		tsʰɤ1
川	川		tsʰɤ1
穿	穿		tsʰɤ1
惨	慘		tsʰɤ3
喘	喘		tsʰɤ3
串	串		tsʰɤ5B
缠	纏		dzɤ2
传	傳	水滸～	dzɤ2
椽	椽		dzɤ2
篆	篆		dzɤ6
蒃	蒃		dzɤ6
传	傳		dzɤ6
膻	膻		sɤ1
膻	羶		sɤ1
扇	扇	～風	sɤ1
扇	搧	～風	sɤ1
煽	煽		sɤ1
酸	酸	味道～	sɤ1
酸	痠	～痛	sɤ1
涮	涮		sɤ1
陕	陝		sɤ3
闪	閃		sɤ3
扇	扇	電風～	sɤ5A
算	算		sɤ5A
祘	祘	同算	sɤ5A
蒜	蒜		sɤ5A
蚕	蠶		zɤ2
蟾	蟾		zɤ2
蝉	蟬		zɤ2
禅	禪	～宗	zɤ2
单	單	～于	zɤ2
婵	嬋		zɤ2
然	然		zɤ2
燃	燃		zɤ2
船	船		zɤ2
染	染		zɤ6
冉	冉		zɤ6
善	善		zɤ6
鳝	鱔		zɤ6
单	單	姓	zɤ6
膳	膳		zɤ6
禅	禪	～讓	zɤ6
甘	甘		kɤ1
柑	柑		kɤ1
泔	泔		kɤ1
干	干	～涉	kɤ1
干	乾	～燥	kɤ1
漧	漧	～燥	kɤ1
肝	肝		kɤ1
感	感		kɤ3
敢	敢		kɤ3
橄	橄	～欖	kɛ3
杆	杆	欄～	kɤ1
杆	杆	一～秤	kɤ3
杆	桿	一～秤	kɤ3
竿	竿		kɤ3
秆	秆		kɤ3
秆	稈		kɤ3
擀	擀		kɤ3
赶	趕		kɤ3
干	幹	骨～，～部	kɤ5A
干	榦	樹～	kɤ5A
赣	贛		kɤ5A
赣	灨		kɤ5A
赣	贑		kɤ5A
淦	淦		kɤ5A
绀	紺		kɤ5A
旰	旰		kɤ5A
看	看	～守	kʰɤ1
堪	堪		kʰɤ1
龛	龕		kʰɤ1
勘	勘		kʰɤ1
刊	刊		kʰɤ1
刊	栞		kʰɤ1
砍	砍		kʰɤ3
看	看	小～	kʰɤ5B
岸	岸		ŋɤ6
憨	憨		hɤ1
酣	酣		hɤ1
鼾	鼾		hɤ1
罕	罕		hɤ3
汉	漢		hɤ5A
厂	厂	山石之厓巖，人可居	hɤ5A
含	含		ɦʰɤ2
函	函		ɦʰɤ2
寒	寒		ɦʰɤ2
韩	韓		ɦʰɤ2
撼	撼		ɦʰɤ6
憾	憾		ɦʰɤ6
旱	旱		ɦʰɤ6
汗	汗		ɦʰɤ6
焊	焊		ɦʰɤ6
翰	翰		ɦʰɤ6
瀚	瀚		ɦʰɤ6
庵	庵		ɤ1
鹌	鵪		ɤ1
安	安		ɤ1
鞍	鞍		ɤ1
揞	揞		ɤ3
暗	暗		ɤ5A
暗	闇		ɤ5A
按	按		ɤ5A
案	案		ɤ5A
蠲	蠲		tɕiɤ1
捐	捐		tɕiɤ1
娟	娟		tɕiɤ1
鹃	鵑		tɕiɤ1
卷	卷	～起來	tɕiɤ3
卷	捲	～起來	tɕiɤ3
眷	眷		tɕiɤ5A
绢	絹		tɕiɤ5A
卷	卷	試～	tɕiɤ5A
圈	圈	圓～	tɕʰiɤ1
犬	犬		tɕʰiɤ3
劝	勸		tɕʰiɤ5B
券	券		tɕʰiɤ5B
蜷	蜷		dʑiɤ2
拳	拳		dʑiɤ2
权	權		dʑiɤ2
颧	顴		dʑiɤ2
圈	圈	豬～	dʑiɤ6
倦	倦		dʑiɤ6
软	軟		ȵiɤ3
楦	楦	鞋～	ɕiɤ5A
圆	圓		ɦiɤ2
员	員		ɦiɤ2
缘	緣		ɦiɤ2
缘	縁		ɦiɤ2
元	元		ɦiɤ2
鼋	黿	～頭渚（無錫地名）	ɦiɤ2
原	原		ɦiɤ2
源	源		ɦiɤ2
袁	袁		ɦiɤ2
辕	轅		ɦiɤ2
园	园	《莊子·齊物論》五者园而幾向方矣	ɦuɤ2
园	園	公～	ɦiɤ2
援	援		ɦiɤ2
猿	猿		ɦiɤ2
玄	玄		ɦiɤ2
悬	懸		ɦiɤ2
眩	眩		ɦiɤ2
渊	淵		ɦiɤ2
渊	渕	俗淵字	ɦiɤ2
媛	媛		ɦiɤ6
院	院		ɦiɤ6
朊	朊		ɦiɤ6
阮	阮		ɦiɤ6
愿	愿	《書·臯陶謨》～而恭	ɦiɤ6
愿	願	～意	ɦiɤ6
县	縣		ɦiɤ6
冤	冤		iɤ1
鸳	鴛		iɤ1
远	遠		iɤ3
怨	怨		ɦiɤ6
官	官		kuɤ1
棺	棺		kuɤ1
观	觀	參～，山～（地名）	kuɤ1
冠	冠	～軍，衣～	kuɤ1
管	管		kuɤ3
馆	館		kuɤ3
馆	舘		kuɤ3
贯	貫		kuɤ5A
灌	灌		kuɤ5A
罐	罐		kuɤ5A
观	觀	寺～	kuɤ5A
宽	寬		kʰuɤ1
款	款		kʰuɤ3
欢	歡		huɤ1
欢	懽		huɤ1
焕	煥		huɤ5A
唤	喚		huɤ5A
痪	瘓		huɤ5A
完	完		ɦuɤ2
玩	玩		ɦuɤ2
丸	丸		ɦuɤ2
桓	桓		ɦuɤ2
换	換		ɦuɤ6
皖	皖		ɦuɤ6
豌	豌		uɤ1
腕	腕		uɤ1
缓	緩		uɤ3
碗	碗		uɤ3
惋	惋		uɤ3
腕	腕		uɤ3
宛	宛		uɤ3
婉	婉		uɤ3
巴	巴		po1
芭	芭		po1
疤	疤		po1
笆	笆		po1
把	把	量詞	po3
霸	霸		po5A
坝	垻		po5A
坝	壩		po5A
怕	怕		pʰo5B
爬	爬		bo2
琶	琶		bo2
耙	耙		bo6
蟆	蟆		mo2
蟆	蟇		mo2
麻	蔴		mo2
麻	麻		mo2
蘑	蘑	～菇	mo2
马	馬		mo3
码	碼		mo3
骂	駡		mo6
骂	罵		mo6
拿	拿	俗拏字	no2
拿	拏		no2
拿	挐	同拏	no2
拿	㧱	俗拏字	no2
查	査	姓	tso1
查	查	姓	tso1
楂	楂		tso1
渣	渣		tso1
诈	詐		tso5A
榨	榨	～油	tso5A
炸	炸	爆～	tso5A
柞	柞		tso5A
钗	釵		tsʰo1
叉	叉		tsʰo1
杈	杈		tsʰo1
车	車		tsʰo1
车	車	老派，幾乎已消失	tsʰɑ1
岔	岔		tsʰo5B
茶	茶		dzo2
搽	搽		dzo2
查	査		dzo2
查	查		dzo2
莎	莎		so1
沙	沙		so1
砂	砂	硃～	so1
纱	紗		so1
裟	裟		so1
所	所	廁～，～有	səɯ3
产	產	～母，～母娘：產婦	so3
产	産	～母，～母娘：產婦	so3
瓜	瓜		ko1
寡	寡		ko3
嫁	嫁		ko5A
价	价	价，善也	kɑ5A
价	價	～錢	ko5A
挂	挂		ko5A
挂	掛		ko5A
卦	卦		ko5A
夸	誇		kʰo1
夸	夸		kʰo1
垮	垮		kʰo3
可	可		kʰəɯ3
跨	跨		kʰo5B
胯	胯		kʰo5B
牙	牙		ŋo2
芽	芽		ŋo2
衙	衙		ŋo2
瓦	瓦	磚～	ŋo3
虾	蝦		ho1
花	花	～瓣瓣，～費，姓	ho1
花	蘤	～瓣瓣	ho1
花	芲	～瓣瓣	ho1
化	化		ho5A
罅	罅	～～：縫隙	ho5A
华	華		ɦo2
铧	鏵		ɦo2
划	划	～船	ɦo2
画	畵		ɦo6
画	畫		ɦo6
话	話		ɦo6
踝	踝		ɦo2
厦	廈		ɦʰo6
下	下		ɦʰo6
夏	夏		ɦʰo6
鸦	鴉		o1
丫	丫	～頭：女孩子	o1
桠	椏	～杈：枝椏	o1
蛙	蛙		o1
洼	洼		o1
洼	窪		o1
哑	啞		o3
靴	靴		ɕio1
魔	魔		məɯ2
磨	磨	～刀	məɯ2
摩	摩		məɯ2
模	模		məɯ2
亩	畮		məɯ3
亩	畝		məɯ3
母	母		məɯ3
姥	姥		məɯ3
拇	拇		məɯ3
磨	磨	石～	məɯ6
暮	暮		məɯ6
慕	慕		məɯ6
墓	墓		məɯ6
募	募		məɯ6
幕	幕		məɯ6
多	多		təɯ1
都	都		təɯ1
朵	朵		təɯ3
朵	朶		təɯ3
躲	躲		təɯ3
躲	躱		təɯ3
堵	堵		təɯ3
赌	賭		təɯ3
肚	肚	豬～，魚～	təɯ3
妒	妒		təɯ5A
妒	妬		təɯ5A
拖	拖		tʰəɯ1
妥	妥		tʰəɯ3
椭	橢		tʰəɯ3
唾	唾		tʰəɯ3
土	土		tʰəɯ3
吐	吐		tʰəɯ3
兔	兔		tʰəɯ5B
兔	兎		tʰəɯ5B
菟	菟		tʰəɯ5B
菟	莵		tʰəɯ5B
菟	菟		dəɯ2
菟	莵		dəɯ2
驼	駞		dəɯ2
驼	駝		dəɯ2
驮	馱		dəɯ2
驮	駄		dəɯ2
陀	陀		dəɯ2
佗	佗		dəɯ2
沱	沱	滂～	dəɯ2
徒	徒		dəɯ2
屠	屠		dəɯ2
途	途		dəɯ2
涂	涂		dəɯ2
涂	塗	～～畫畫	dəɯ2
图	圖		dəɯ2
舵	舵		dəɯ6
大	大	～姐，～小	dəɯ6
堕	墮		dəɯ6
惰	惰		dəɯ6
肚	肚	～臍眼，～皮	dəɯ6
杜	杜		dəɯ6
度	度		dəɯ6
渡	渡		dəɯ6
镀	鍍		dəɯ6
哪	哪		na6
哪	哪	～吒	nəɯ2
吒	吒	哪～	tso5A
挪	挪		nəɯ2
奴	奴		nəɯ2
捼	捼	動詞，揉身體的某個部位	nəɯ2
努	努		nəɯ3
糯	糯		nəɯ6
懦	懦		nəɯ6
怒	怒		nəɯ6
啰	囉		ləɯ1
噜	嚕	～囌	ləɯ1
罗	羅		ləɯ2
锣	鑼		ləɯ2
箩	籮		ləɯ2
萝	蘿	菠～	ləɯ2
骡	騾		ləɯ2
螺	螺		ləɯ2
脶	腡		ləɯ2
卢	盧		ləɯ2
炉	爐		ləɯ2
芦	蘆		ləɯ2
鸬	鸕		ləɯ2
裸	裸		ləɯ3
鲁	魯		ləɯ3
橹	櫓		ləɯ3
虏	虜		ləɯ3
掳	擄		ləɯ3
卤	鹵		ləɯ3
卤	滷		ləɯ3
篓	簍		lei3
路	路		ləɯ6
露	露		ləɯ6
鹭	鷺		ləɯ6
租	租		tsəɯ1
左	左		tsəɯ3
佐	佐		tsəɯ3
祖	祖		tsəɯ3
组	組		tsəɯ3
阻	阻		tsəɯ3
做	做		tsəɯ5A
搓	搓		tsʰəɯ1
粗	粗		tsʰəɯ1
初	初		tsʰəɯ1
楚	楚		tsʰəɯ3
础	礎		tsʰəɯ3
锉	銼		tsʰəɯ5B
醋	酢		tsʰəɯ5B
醋	醋		tsʰəɯ5B
措	措		tsʰəɯ5B
错	錯	～過機會	tsʰəɯ5B
错	錯	弗～	tsʰo5B
助	助		dzəɯ6
蓑	蓑		səɯ1
梭	梭		səɯ1
唆	唆		səɯ1
苏	蘇	～州	səɯ1
苏	甦	～醒	səɯ1
苏	囌	嚕～	səɯ1
稣	穌		səɯ1
酥	酥		səɯ1
梳	梳		səɯ1
疏	疏		səɯ1
蔬	蔬		səɯ1
锁	鎖		səɯ3
琐	瑣		səɯ3
数	數	～銅錢（動詞）	səɯ3
素	素		səɯ5A
诉	訴		səɯ5A
塑	塑		səɯ5A
塑	塑	～料	soʔ7
数	數	～目（名詞）	səɯ5A
锄	鋤		zəɯ2
雏	雛		zəɯ2
坐	坐		zəɯ6
座	座		zəɯ6
哥	哥		kəɯ1
歌	歌		kəɯ1
歌	謌		kəɯ1
锅	鍋		kəɯ1
戈	戈		kəɯ1
个	個	～別	kəɯ3
个	箇	～別	kəɯ3
个	个	～別	kəɯ3
果	果		kəɯ3
果	菓		kəɯ3
裹	裹		kəɯ3
过	過		kəɯ5A
科	科		kʰəɯ1
窠	窠		kʰəɯ1
棵	棵		kʰəɯ1
蝌	蝌		kʰəɯ1
颗	顆		kʰəɯ1
课	課		kʰəɯ5B
娥	娥		ŋəɯ2
蛾	蛾		ŋəɯ2
讹	訛		ŋəɯ2
讹	譌	訛本字	ŋəɯ2
囮	囮		ŋəɯ2
鹅	鵝		ŋəɯ2
鹅	鵞		ŋəɯ2
鹅	䳗		ŋəɯ2
鹅	䳘		ŋəɯ2
俄	俄		ŋəɯ2
我	我		ŋəɯ3
饿	餓		ŋəɯ6
卧	臥		ŋəɯ6
喝	喝	（又音）～個一口：喝一口湯、茶、粥等流質食物	həɯ1
火	火		həɯ3
伙	伙		həɯ3
伙	夥		həɯ3
货	貨		həɯ5A
荷	荷	薄～	həɯ5A
河	河		ɦʰəɯ2
何	何		ɦʰəɯ2
菏	菏	～澤（山東地名）	ɦʰəɯ2
荷	荷	～花	ɦʰəɯ2
和	和	～氣，～服	ɦʰəɯ2
和	龢		ɦʰəɯ2
和	咊		ɦʰəɯ2
禾	禾		ɦʰəɯ2
贺	賀		ɦʰəɯ6
祸	禍		ɦʰəɯ6
和	和	～泥	ɦʰəɯ6
倭	倭		əɯ1
涡	渦		əɯ1
莴	萵		əɯ1
蜗	蝸		əɯ1
窝	窩		əɯ1
挝	撾	老～	əɯ1
屙	屙	～,～肚：腹瀉。～屎：大便	əɯ1
溜	溜	又	liəɯ1
流	流	又	liəɯ2
刘	劉	又	liəɯ2
留	留	又	liəɯ2
留	畱	又	liəɯ2
榴	榴	又	liəɯ2
榴	橊	又	liəɯ2
硫	硫	又	liəɯ2
琉	琉	又	liəɯ2
柳	柳	又	liəɯ3
柳	桺	又	liəɯ3
馏	餾	又	liəɯ6
馏	𩞷	又	liəɯ6
酒	酒		tsiəɯ3
萩	萩		tsʰiəɯ1
秋	秋		tsʰiəɯ1
秋	秌		tsʰiəɯ1
秋	龝		tsʰiəɯ1
秋	鞦	～韆	tsʰiəɯ1
鳅	鰍		tsʰiəɯ1
就	就		ziəɯ6
就	就	（口語）～是	zei6
修	修		siəɯ1
修	脩		siəɯ1
羞	羞		siəɯ1
秀	秀		siəɯ5A
宿	宿	星～	siəɯ5A
宿	㝛	星～	siəɯ5A
绣	繡		siəɯ5A
绣	綉		siəɯ5A
锈	銹		siəɯ5A
锈	鏽		siəɯ5A
囚	囚		ziəɯ2
泅	泅		ziəɯ2
袖	褎		ziəɯ6
袖	褏		ziəɯ6
袖	袖		ziəɯ6
袖	袖	衣～管	zei6
袖	褎	衣～管	zei6
袖	褏	衣～管	zei6
揪	揪		tɕiəɯ1
鬏	鬏		tɕiəɯ1
鸠	鳩		tɕiəɯ1
阄	鬮		tɕiəɯ1
纠	糾		tɕiəɯ1
究	究		tɕiəɯ1
九	九		tɕiəɯ3
久	久		tɕiəɯ3
韭	韭		tɕiəɯ3
灸	灸		tɕiəɯ3
救	救		tɕiəɯ5A
恘	恘	脾臟～：脾氣差	tsʰei3
恘	恘	～死頭：不講理，脾氣不好的人	tɕʰiəɯ1
邱	邱		tɕʰiəɯ1
丘	丘		tɕʰiəɯ1
蚯	蚯		tɕʰiəɯ1
糗	糗	硬拽	tɕʰiəɯ3
求	求		dʑiəɯ2
球	球		dʑiəɯ2
仇	仇		dʑiəɯ2
仇	讐		dʑiəɯ2
仇	讎		dʑiəɯ2
臼	臼		dʑiəɯ6
舅	舅		dʑiəɯ6
旧	舊		dʑiəɯ6
柩	柩		dʑiəɯ6
牛	牛		ȵiəɯ2
纽	紐		ȵiəɯ3
扭	扭		ȵiəɯ3
钮	鈕		ȵiəɯ3
休	休		ɕiəɯ1
貅	貅	貔～	ɕiəɯ1
朽	朽		ɕiəɯ3
嗅	嗅		ɕiəɯ5A
尤	尤		ɦiəɯ2
鱿	魷		ɦiəɯ2
邮	郵		ɦiəɯ2
