音标	调类	调值	
pu	3	31	补脯辅（白 ～佐）
pu	5	213	布怖
puʔ	7	5	不
bʰu	1	44	铺
bʰu	2	13	蒲菩□（气体或液体溢出）匍
bʰu	3	31	谱普浦脯扑（～克牌）
bʰu	5	213	铺
bʰu	6	33	部簿步埠卜
bʰuʔ	7	5	赴讣朴卜仆曝瀑覆（～倒：趴着）
fu	1	44	夫肤敷麸
fu	2	13	俘符扶芙浮（文）服佛伏
fu	3	31	府腑俯甫斧抚釜腐辅（文 ～导）否阜
fu	5	213	付赋傅富副
fu	6	33	父附妇负
fuʔ	7	5	复福幅蝠复腹覆
hu	1	44	呼
hu	2	13	和（～了：打麻将赢了）胡湖狐壶乎葫糊
hu	3	31	虎浒
hu	5	213	戽（～斗）
hu	6	33	户沪互护
huʔ	7	5	忽斛
ku	1	44	姑孤箍（动词）菇
ku	3	31	古估盬牯（～牛：公牛 贼～：盗贼）股鼓
ku	5	213	故固锢雇顾
kuʔ	7	5	穀谷
gʰu	1	44	枯骷箍（组成名词，戒～：戒指）
gʰu	2	13	跍（蹲）瓠（～子）
gʰu	3	31	苦
gʰu	5	213	库裤
gʰuʔ	7	5	哭窟酷
u	1	44	乌污巫诬□(～骨：颧骨)
u	2	13	吴吾梧无芜
u	3	31	五伍午忤仵武舞侮鹉
u	6	33	误悟务雾戊
uʔ	7	5	兀物勿屋□（～死：淹死）
ʂʯ	1	44	书舒墟(～市)虚须(文)需输吁
ʂʯ	2	13	殊
ʂʯ	3	31	暑鼠署薯许水
ʂʯ	5	213	庶恕戍
ʂʯ	6	33	序（文）竖树睡（白）
ʂʯʔ	7	5	術沭述秫
tʂʯ	1	44	猪诸居车（～马炮）诛蛛株朱珠拘驹俱锥鸠（斑～）
tʂʯ	3	31	煮举主矩
tʂʯ	5	213	著据锯（文）驻注注蛀铸句剧
tʂʯʔ	7	5	橘焗局
dʐʰʯ	1	44	枢区驱吹（白）
dʐʰʯ	2	13	除储渠厨瞿槌锤捶
dʐʰʯ	3	31	处（相～）杵拄处
dʐʰʯ	5	213	趣（文）
dʐʰʯ	6	33	苎箸（动～：开吃）巨拒距柱住具惧苣（莴～）
dʐʰʯʔ	7	5	出屈
ɳʯ	2	13	鱼渔愚虞娱
ɳʯ	3	31	女语
ʯ	1	44	於淤瘀迂于盂
ʯ	2	13	如余舁（抬）儒
ʯ	3	31	吕铝汝与乳雨宇禹羽
ʯ	6	33	预豫誉喻裕芋榆逾愈吁遇寓愉御纬(～线)
ʯʔ	7	5	尉(～迟,姓）入域疫役玉
pa	1	44	巴笆粑芭疤□(粘黏）
pa	3	31	把
pa	5	213	霸把坝
paʔ	7	5	伯（白 ～公）爸八
bʰa	1	44	趴
bʰa	2	13	爬杷扒琶耙钯白（白）拔
bʰa	5	213	怕
bʰa	6	33	罢稗卜
bʰaʔ	7	5	拍魄帕
ma	1	44	妈
ma	2	13	麻
ma	3	31	马码蚂玛
ma	6	33	骂
maʔ	7	5	抹脉（白）□（～坼：开裂）□（～顶搭：扎辫子）蟆（蛤～）麦
faʔ	7	5	法發罚伐乏阀髮筏
ta	1	44	□（张嘴）
ta	3	31	打
ta	5	213	这
taʔ	7	5	跌跶（摔跤）搭答沓
dʰa	6	33	大（文）
dʰaʔ	7	5	獭达踏搨塔榻塌
na	1	44	他拉
na	2	13	拿
na	3	31	哪（～个）
na	5	213	娜
naʔ	7	5	□（贵）纳腊蜡捺辣瘌（白 ～痢）䖧
ʦa	1	44	抓（白）楂渣
ʦa	5	213	炸诈榨炸乍闸栅炸柞
ʦaʔ	7	5	眨札窄扎柘（～树）轧铡摘（白）蔗
dzʰa	1	44	叉杈差
dzʰa	2	13	茶茬查浞（淋湿）
dzʰa	5	213	岔
dzʰaʔ	7	5	搽杂插擦察拆（白）
sa	1	44	杉莎沙纱痧㸺(母牛)
sa	3	31	洒耍撒
saʔ	7	5	萨撒杀刷煞
tʂa	1	44	遮
tʂaʔ	7	5	炙隻(白）
dʐʰa	1	44	车
dʐʰa	3	31	扯
dʐʰaʔ	7	5	赤（白）尺
ʂa	1	44	奢赊佘（姓）畲
ʂa	2	13	蛇石（白）
ʂa	3	31	舍（～得）傻
ʂa	5	213	赦舍（邻～）
ʂa	6	33	射麝社（白）□（歪斜）
ʂaʔ	7	5	□（传染）
ka	1	44	家（白）枷
ka	5	213	架（白）嫁（白）尬稼（白 庄～）
kaʔ	7	5	胳（～肢窝）夹（～菜）□（二～货：笨蛋）胛（白）隔（白 ～壁）甲（白 指～）
gʰa	2	13	㐄（跨）蛤（～蟆）
gʰa	3	31	卡
gʰa	5	213	胯
gʰaʔ	7	5	掐
ŋa	1	44	桠轭
ŋa	2	13	牙芽伢（小孩）
ŋa	3	31	哑
ŋaʔ	7	5	鸭压（白）啮（咬）额（白 ～公：额头）
ha	1	44	虾蝦哈
ha	6	33	下
haʔ	7	5	嚇（吓）瞎
a	2	13	啊（表疑问）
piaʔ	7	5	壁（白）
bʰiaʔ	7	5	劈（白）
tia	1	44	爹
tiaʔ	7	5	滴（白）
dʰia	2	13	提（白）
dʰiaʔ	7	5	缔（将绳子打结 ～鞋带）踢栎
tɕia	1	44	家（文）加嘉痂佳
tɕia	3	31	假姐贾
tɕia	5	213	架（文）驾嫁（文）稼（文）借藉价
tɕiaʔ	7	5	甲（文）胛（文）脊
dʑʰia	2	13	斜（白）
dʑʰia	5	213	笡
dʑʰia	6	33	谢（白）
dʑʰiaʔ	7	5	喫（～饭）恰洽
ȵia	1	44	□（发～：撒娇）
ȵia	5	213	腻（细～哩个：细腻的）
ɕia	1	44	些（白）
ɕia	2	13	斜（文）霞瑕暇遐
ɕia	3	31	写
ɕia	5	213	泻卸
ɕia	6	33	夏厦
ɕiaʔ	7	5	狭峡匣辖锡（白）
ia	1	44	鸦丫耶（～稣）□(全部的）
ia	2	13	衙爷涯
ia	3	31	也雅野
ia	5	213	亚
ia	6	33	夜□（仅仅、只有）
iaʔ	7	5	押压（文）
kua	1	44	瓜
kua	3	31	寡剐
kua	5	213	掛卦褂
kuaʔ	7	5	刮括（白）
gʰua	1	44	誇
gʰua	3	31	垮侉
gʰua	5	213	跨
hua	1	44	花
hua	2	13	华划桦滑猾
hua	5	213	化
hua	6	33	画话划
ua	1	44	鸹（老～：乌鸦）蛙洼剜
ua	2	13	娃
ua	3	31	搲瓦
ua	5	213	凹（山～）
uaʔ	7	5	挖袜
tʂʯa	1	44	抓（文）
dʐʰʯa	2	13	瘸茄
dʐʰʯaʔ	7	5	□（闲逛、溜达）
ʯa	3	31	惹
ʯaʔ	7	5	哕入（表示“肏、交合”义，俗作“日”）
po	1	44	波菠玻坡
po	3	31	跛（文）
po	5	213	簸
poʔ	7	5	博驳勃饽脖
bʰo	1	44	颇
bʰo	2	13	婆薄雹
bʰo	5	213	破
bʰoʔ	7	5	泊（梁山～）
mo	1	44	摸□（磨蹭、拖延）
mo	2	13	魔磨摩馍摹模模
mo	3	31	母拇麼
mo	6	33	磨暮慕墓募
moʔ	7	5	没（沉～）木目穆牧莫膜寞
to	1	44	多
to	3	31	躲朵
to	5	213	剁
toʔ	7	5	厾夺
dʰo	1	44	拖
dʰo	2	13	陀驼驮它砣
dʰo	3	31	妥椭
dʰo	6	33	舵惰
dʰoʔ	7	5	托铎
no	2	13	罗锣箩萝逻挪骡螺脶
no	3	31	裸卵（文 以～击石）
no	6	33	糯诺摞
noʔ	7	5	落烙骆酪赂洛络乐（白 音～）
ʦo	3	31	左佐
ʦoʔ	7	5	作酌捉桌卓琢啄
dzʰo	1	44	搓
dzʰo	2	13	矬凿昨
dzʰo	5	213	锉莝(一～甘蔗)错
dzʰo	6	33	坐座
dzʰoʔ	7	5	戳浊镯绰（～号）
so	1	44	蓑梭唆
so	3	31	锁琐所
soʔ	7	5	塑率（～领）蟀索（绳子）朔欶（吮吸）
tʂo		0	□（......～：先等我做完......）
tʂoʔ	7	5	斫着
dʐʰo	2	13	着（睏～）
dʐʰoʔ	7	5	焯
ʂo	3	13	傻
ʂoʔ	7	5	绰（～～有余）硕
ko	1	44	歌哥戈锅
ko	3	31	果裹
ko	5	213	个过
koʔ	7	5	合（十～一升）各鸽葛阁搁郭廓角（白）
gʰo	1	44	科蝌窠棵□（～了：置于情绪词后，表达被修饰情绪词的程度之深）
gʰo	2	13	□（吆喝、叫）
gʰo	3	31	可颗
gʰo	5	213	课
gʰoʔ	7	5	确(白）壳磕渴
ŋo	2	13	蛾鹅俄娥硪（打～：夯实土地)讹
ŋo	3	31	我
ŋo	6	33	饿卧
ŋoʔ	7	5	鄂恶□（久浸水中）
ho	1	44	呵（哦～)
ho	2	13	河何荷（～花）和（～平）
ho	3	31	火伙
ho	5	213	货戽（～水）
ho	6	33	贺荷（薄～）祸和（～面）
hoʔ	7	5	合盒㬦（扯～闪：闪电）豁喝（～水）郝鹤蠚（～人）霍藿缚
o	1	44	阿(～弥陀佛 ～胶）
o˞	2	13	儿而
o˞	3	31	耳饵尔(文）
o˞	6	33	二贰
o˞ʔ	7	5	日
dʰioʔ	7	5	略掠
ʨioʔ	7	5	爵脚觉（～得）角（文）
dʑʰio	2	13	嚼
dʑʰioʔ	7	5	雀鹊却确（文）
ȵioʔ	7	5	虐疟弱
ɕio	2	13	学
ɕioʔ	7	5	削
io	1	44	哟
ioʔ	7	5	约药钥跃岳乐（文）
uo	1	44	窝蜗踒倭屙莴涡
uo	2	13	和（白 ～尚）禾
uoʔ	7	5	龌握沃
pɛʔ	7	5	钵拨剥北百柏伯(文）檗（黄～：药名）
bʰɛ	6	33	卜
bʰɛ	2	13	白（文）
bʰɛʔ	7	5	泼钹泊（停～）迫□（飞～哩：蝴蝶）
mɛʔ	7	5	末沫墨默陌脉（文）
tɛʔ	7	5	得德
tɛ		0	嘚（实体名词惯用尾缀，无实义，县南呼为哩）得（介词或副词 eg.把～他:给他）
dʰɛ	2	13	特
dʰɛʔ	7	5	脱忒（～好）特
nɛ	2	13	萝哪（～吒）
nɛ	5	213	那（具体远指代词）
nɛʔ	7	5	捋肋勒
ʦɛʔ	7	5	蜘(～蛛）撮（一～米）则侧（白 ～着睡）责
dzʰɛ	2	13	贼
dzʰɛʔ	7	5	撮（～箕）侧（文 ～面）测厕（文）泽择宅策册拆（文）
sɛ	1	44	□（露齿）
sɛʔ	7	5	涩塞色啬瑟虱膝
tʂɛ	3	31	者□（矫情、装可爱）
tʂɛʔ	7	5	哲蜇折浙
dʐʰɛʔ	7	5	彻撤辙
ʂɛ	2	13	舌折（～本）
ʂɛʔ	7	5	摄涉设
kɛ	3	31	给（文）
kɛ	5	213	锯(白 ～木头)
kɛ	6	33	□(～痒：挠痒痒)
kɛʔ	7	5	隔（文）格革胳（文）割
gʰɛʔ	7	5	刻克客
ŋɛʔ	7	5	扼额（文）
hɛ	1	44	吁（喘气、哈气）
hɛ	2	13	核（文）
hɛʔ	7	5	黑赫
piɛ	1	44	□（纠正）
piɛ	3	31	瘪
piɛʔ	7	5	憋鳖
bʰiɛ	2	13	别
bʰiɛ	3	31	蹩（打～脚：走路时脚步不自然）痞（～子：流氓、无赖）
bʰiɛʔ	7	5	撇别
dʰiɛʔ	7	5	劣猎帖贴迭叠碟牒蝶谍捩（骜～：性格固执强硬、不服管教）列烈裂铁
miɛʔ	7	5	灭篾蔑
ʨiɛ	1	44	□（扎、刺）给（白）
ʨiɛʔ	7	5	接劫揭节杰结洁□(中间～：中午)
dʑʰiɛ	2	13	绝
dʑʰiɛ	3	31	且
dʑʰiɛʔ	7	5	妾捷怯杰揭切截刻(一～钟）□（将物品提起）
ȵiɛʔ	7	5	聂镊蹑业孽捏
ɕiɛ	1	44	疏（白）
ɕiɛ	5	213	泄
ɕiɛʔ	7	5	胁协薛歇蝎屑雪血
iɛ	6	33	□（碎屑掉落）
iɛʔ	7	5	叶页噎□（～谷嘚：秕谷）
kuɛʔ	7	5	聒国
gʰuɛʔ	7	5	阔扩
huɛ	2	13	活
huɛʔ	7	5	或惑获
uɛʔ	7	5	热（烫）
ʂʯɛ	1	44	靴
ʂʯɛʔ	7	5	说穴
tʂʯɛʔ	7	5	拙厥倔蕨掘决诀
dʐʰʯɛʔ	3	31	□（折断）
dʐʰʯɛʔ	7	5	缺
ȵʯɛʔ	7	5	月
ʯɛ	1	44	□（揉皱）
ʯɛʔ	7	5	悦阅越曰粤热（～天里：夏季）
kuiʔ	7	5	骨
pai	1	44	跛（白）
pai	3	31	摆
pai	5	213	拜
bʰai	2	13	排牌簰
bʰai	5	213	派
bʰai	6	33	败
mai	2	13	埋霾
mai	3	31	买
mai	6	33	卖迈
tai	5	213	戴带
dʰai	5	213	太泰态
dʰai	6	33	大（白）贷待怠殆代袋
nai	2	13	来
nai	3	31	奶乃
nai	6	33	耐奈赖癞（文）
ʦai	1	44	灾栽斋
ʦai	3	31	宰载
ʦai	5	213	再债载
dzʰai	1	44	猜钗差
dzʰai	2	13	纔材财裁才豺柴
dzʰai	3	31	彩采睬
dzʰai	5	213	菜蔡载（满～）
dzʰai	6	33	在
sai	1	44	腮鳃筛衰
sai	2	13	□(发抖）
sai	5	213	赛寨晒帅率（～领）
kai	1	44	该皆阶街
kai	3	31	改解（～开）
kai	5	213	盖丐介（白）界芥疥届戒（白）械（白）解（押～）
gʰai	1	44	开揩
gʰai	3	31	凯慨楷
gʰai	5	213	概溉
ŋai	1	44	哀挨埃娭
ŋai	2	13	呆捱□（拖延）岩（白）崖（白）
ŋai	3	31	矮蔼□(～热：想要)
ŋai	5	213	隘爱
ŋai	6	33	碍艾外（白）
hai	1	44	□（拖延）
hai	2	13	孩鞋（白）还
hai	3	31	海蟹
hai	6	33	亥害懈蟹
ɕiai	2	13	鞋（文）谐
tɕiai	3	31	解3（文 ～决）
tɕiai	5	213	介（文）戒（文）
iai	2	13	岩（文）崖（文）
kuai	1	44	乖
kuai	3	31	拐
kuai	5	213	怪桧
gʰuai	3	31	傀块蒯
gʰuai	5	213	会（～计）刽快筷
huai	2	13	槐淮怀
huai	6	33	坏
uai	1	44	歪
uai	6	33	外（文）
ʂʯai	1	44	摔
ʂʯai	3	31	甩□(很)
pau	1	44	褒包胞苞
pau	3	31	保堡宝饱膊
pau	5	213	报豹
bʰau	1	44	拋泡（蓬松）藨奅
bʰau	2	13	袍刨狍浮（白）
bʰau	3	31	跑
bʰau	5	213	爆炮泡鳔
bʰau	6	33	抱暴菢鲍刨
mau	2	13	猫（白）毛矛（文）茅锚
mau	3	31	卯铆
mau	5	213	冒
mau	6	33	帽貌毋（沒有，俗作“冇”）
fau	2	13	浮（白）
tau	1	44	刀叨
tau	3	31	祷岛倒
tau	5	213	到倒
dʰau	1	44	滔掏涛
dʰau	2	13	桃逃淘陶萄绹（系、捡）
dʰau	3	31	讨导
dʰau	5	213	套
dʰau	6	33	道稻盗
nau	1	44	□（偷）
nau	2	13	劳捞牢唠痨涝
nau	5	213	脑恼老佬
nau	6	33	闹
ʦau	1	44	糟遭
ʦau	3	31	早枣蚤澡爪找
ʦau	5	213	灶燥臊罩
dzʰau	1	44	操抄钞
dzʰau	2	13	曹嘈槽糟巢
dzʰau	3	31	炒吵草騲（～狗：母狗）
dzʰau	5	213	糙造肇仯（半大不小的动物；～子：后生）
dzʰau	6	33	皂噪
sau	1	44	筲骚臊稍捎艄
sau	3	31	扫嫂
sau	5	213	臊扫潲
tʂau	1	44	朝昭招诏
tʂau	3	31	沼
tʂau	5	213	照
dʐʰau	1	44	超
dʐʰau	2	13	朝潮
dʐʰau	6	33	赵兆
ʂau	1	44	烧
ʂau	2	13	苕薯芍韶
ʂau	3	31	少
ʂau	5	213	少
ʂau	6	33	召绍邵
ʐau	2	13	铙挠饶桡
ʐau	3	31	扰绕
kau	1	44	高膏篙羔糕茭跤蛟
kau	3	31	稿搞犒搅（白 俗作“搞”）
kau	5	213	告教（白）校（白 ～秤）窖觉（睏～：睡觉）珓（用于占卜的工具）铰
gʰau	1	44	敲□（犬类吠叫）
gʰau	3	31	考烤拷
gʰau	5	213	靠
ŋau	1	44	欧
ŋau	2	13	爊鳌骜（～戾：性格固执强硬、不服管教）熬
ŋau	3	31	袄咬
ŋau	5	213	懊奥懊坳□（冷，多指水冷）
ŋau	6	33	傲
hau	1	44	蒿
hau	2	13	猴喉豪壕毫嚎号
hau	3	31	好
hau	5	213	好孝（白）
hau	6	33	后厚候号耗浩
piau	1	44	膘标飙彪□（青竹～：竹叶青蛇）
piau	3	31	表婊裱
bʰiau	1	44	飘
bʰiau	2	13	瓢嫖薸
bʰiau	3	31	瞟漂
bʰiau	5	213	票漂
miau	1	44	猫（文）
miau	2	13	苗描瞄谋
miau	3	31	藐渺秒杪（树枝的细梢）杳某亩牡矛（白）
miau	6	33	庙妙茂贸
tiau	1	44	刁□（～子：公牛）叼貂雕蔸逗兜（～细伢子：逗小孩子）
tiau	3	31	斗（白）抖(白）陡
tiau	5	213	钓吊掉调
dʰiau	1	44	挑
dʰiau	2	13	头投燎疗条调聊辽撩瞭楼箬
dʰiau	3	31	了㪗（～气）篓斢（调换）
dʰiau	5	213	跳粜
dʰiau	6	33	寥料豆痘廖
ʨiau	1	44	交郊胶焦蕉椒醮骄娇矫浇勾（白）钩沟邹
ʨiau	3	31	绞狡搅（文）较剿缴侥走狗苟饺铰
ʨiau	5	213	教（文）叫奏（白）□（瓶～哩：瓶塞子）构（白 ～凌：结冰）校（文）
dʑʰiau	1	44	锹缲悄搊□（离开）□（翻～：造反）
dʑʰiau	2	13	樵乔侨桥荞愁（发～：不悦）
dʑʰiau	3	31	巧口□（面～：面前）
dʑʰiau	5	213	俏鞘窍凑（白）
dʑʰiau	6	33	轿藠（～头）
dʑʰiau		0	□（闭～痧：中暑）
ȵiau	1	44	殴欧瓯抠
ȵiau	2	13	尧
ȵiau	3	31	鸟藕偶呕
ȵiau	5	213	怄
ȵiau	6	33	尿
ɕiau	1	44	消宵霄硝销枵（～薄：树中空）嚣萧箫搜馊
ɕiau	2	13	淆
ɕiau	3	31	小晓筱
ɕiau	5	213	酵孝（文）笑瘦（白）哮
ɕiau	6	33	效校
iau	1	44	妖邀腰要幺吆
iau	2	13	肴摇谣瑶窑姚
iau	3	31	舀
iau	5	213	要
iau	6	33	耀鹞
tɨu	1	44	都
tɨu	3	31	抖(文）堵赌肚褚（文）笃
tɨu	5	213	斗（文）妒
tɨuʔ	7	5	督妒㞘（底部）
dʰɨu	1	44	偷
dʰɨu	2	13	徒屠途涂图
dʰɨu	3	31	土吐（～痰）肚
dʰɨu	5	213	兔吐（呕～）透秃
dʰɨu	6	33	杜度渡镀踱
dʰɨu	7	5	突独读牍犊毒
nɨu	1	44	搂
nɨu	2	13	奴炉芦鸬庐
nɨu	3	31	努鲁橹虏卤缕
nɨu	6	33	怒路露鹭漏陋
nɨuʔ	7	5	鹿禄六陆绿（文）录□（顽劣）
ʦɨu	1	44	租
ʦɨu	3	31	祖组阻
ʦɨu	5	213	做奏（文）绉
ʦɨu	7	5	足卒（文）
dzʰɨu	1	44	粗初
dzʰɨu	2	13	鋤愁
dzʰɨu	3	31	褚（白）楚础
dzʰɨu	5	213	醋措错2凑（文）
dzʰɨu	6	33	助骤
dzʰɨuʔ	7	5	族逐1促猝
sɨu	1	44	苏酥梳疏（文）蔬搜飕
sɨu	3	31	数1（动词）叟
sɨu	5	213	素诉嗉数2（名词）嗽瘦（文）漱
sɨu	7	5	续肃宿缩俗续赎速
tʂɨu	1	44	周舟州洲
tʂɨu	3	31	肘帚
tʂɨu	5	213	昼咒
tʂɨu	6	33	轴（文）
tʂɨuʔ	7	5	竹筑轴（白）祝粥烛嘱
dʐʰɨu	1	44	抽
dʐʰɨu	2	13	绸稠仇筹酬
dʐʰɨu	3	31	丑
dʐʰɨu	5	213	臭
dʐʰɨu	6	33	纣宙
dʐʰɨuʔ	7	5	畜逐触束（结～）
ʂɨu	1	44	收
ʂɨu	3	31	手首守
ʂɨu	5	213	兽
ʂɨu	6	33	受寿授售
ʂɨuʔ	7	5	叔熟淑蜀属
ʐɨu	2	13	柔揉
ʐɨuʔ	7	5	肉辱褥
kɨu	1	44	勾（文）
kɨu	5	213	够构（文）
gɨu	1	44	抠
gɨu	5	213	叩扣寇
hɨu	3	31	吼
tiu	1	44	丢
dʰiu	1	44	溜
dʰiu	2	13	流刘浏留榴1(手～弹)琉馏
dʰiu	3	31	榴2(石～)柳
dʰiuʔ	7	5	绿(白)
ʨiu	1	44	揫□(梳个～儿)鸠阄纠（～缠）纠（～正)
ʨiu	3	31	酒九久韭灸
ʨiu	5	213	救究𣪘（拧、扭）
ʨiuʔ	7	5	菊掬
dʑʰiu	1	44	鳅秋丘邱
dʑʰiu	2	13	囚泅求球俅
dʑʰiu	6	33	就舅臼咎旧柩袖
dʑʰiuʔ	7	5	曲（酒～）曲（～折）
ȵiu	1	44	妞
ȵiu	2	13	牛
ȵiu	3	31	纽扭
ȵiu	6	33	谬
ɕiu	1	44	修羞休
ɕiu	3	31	朽
ɕiu	5	213	秀绣锈嗅
ɕiuʔ	7	5	畜（～牧）蓄粟
iu	1	44	忧优悠幽
iu	2	13	尤邮由油游犹
iu	3	31	有友酉莠
iu	5	213	诱幼
iu	6	33	又右佑柚釉
iuʔ	7	5	郁育欲浴狱
pan	1	44	班斑颁扳□(推)□(追赶)
pan	3	31	板版□(往地上扔）
pan	5	213	扮□(～谷：给稻子脱粒)
bʰan	1	44	攀
bʰan	2	13	彭
bʰan	5	213	盼襻(纽～)绊
bʰan	6	33	瓣办
man	1	44	蒙（遮盖、罩住）
man	2	13	蛮
man	5	213	掹（扯住）
man	6	33	慢幔
fan	1	44	翻番
fan	2	13	藩烦矾繁凡帆
fan	3	31	反返
fan	5	213	泛贩畈（平田、低地）
fan	6	33	范犯饭
tan	1	44	耽担单丹
tan	3	31	胆
tan	5	213	担旦
dʰan	1	44	贪坍滩摊瘫
dʰan	2	13	潭谭痰谈檀坛弹
dʰan	3	31	毯坦诞
dʰan	5	213	探炭叹
dʰan	6	33	淡但弹蛋
nan	2	13	南男蓝篮难兰拦栏
nan	3	31	览揽榄缆懒□（牛～子：小牛）漤冷
nan	6	33	滥难烂
ʦan	1	44	㬹争（白）睁筝
ʦan	3	31	崭斩盏攒
ʦan	5	213	站蘸栈赞□（液体飞溅）
dzʰan	1	44	餐搀参（～军）撑
dzʰan	2	13	残馋蚕惭谗□(口水）
dzʰan	3	31	铲产惨□（门～：门坎）
