#ɿ
ts[1]资姿咨糍兹滋[2]瓷慈磁[3]紫姊子梓[5]自字
f[1]匪[2]肥[3]翡[5]肺废吠痱费
t[1]德得
ts[2]贼
ʂ[2]谁
k[3]给{～你}
kʰ[1]刻{用刀～}[2]□{吃}
x[1]黑
∅[1]欸

#ɔ
p[1]褒保堡包胞[2]宝[3]饱[5]报暴豹爆抱{～窝}
pʰ[1]泡抛剖[2]袍刨[3]跑[5]炮
m[1]□{探望}[2]毛茅猫锚[3]卯[5]冒帽貌
t[1]刀叨[3]岛祷倒{打～}导[5]道稻到倒{～车}盗
tʰ[1]滔掏涛[2]桃淘陶萄[3]讨[5]套
n[1]□{摸牌}[2]挠[3]脑恼[5]闹
l[1]捞唠[2]劳牢涝[3]老[5]落{～枕}
ts[1]遭糟[3]早枣蚤澡[5]皂造躁灶糙
tsʰ[1]操{～练}[2]曹槽[3]草
s[1]骚[3]扫{～地}[5]臊扫{～帚}
tʂ[1]朝{～霞}昭招召[2]着{～火}[3]找沼[5]罩笊赵兆照
tʂʰ[1]抄钞超[2]巢朝{～代}潮[3]炒吵
ʂ[1]梢捎稍烧[2]勺[3]少{多～}[5]潲{～雨}韶绍少{老～}邵
ʐ[2]饶{买东西时赠送同类商品}
k[1]高膏篙羔糕[3]稿[5]告膏{～油}
kʰ[3]考烤[5]靠犒
ŋ[1]熬{～菜}嗷[2]熬[3]袄[5]懊傲鏊奥
x[1]蒿薅[2]豪壕毫[3]好[5]浩好{喜～}耗号
∅[1]□{应答词}

#əu
t[1]兜[3]斗{升～}抖陡[5]斗{～争}豆逗
tʰ[1]偷[2]头投[5]透□{禽类下蛋}
l[1]搂{～取}[2]楼耧[3]篓搂{～拖}[5]漏陋奏凑
ts[1]邹[3]走[5]揍
tsʰ[1]□{象声词，形容快}[5]凑
s[1]叟[2]飕[5]嗽
tʂ[1]周舟州洲[2]轴[3]肘[5]纣昼宙皱咒
tʂʰ[1]抽掫搊[2]绸愁筹仇酬[3]丑瞅[5]臭
ʂ[1]搜收[3]手首守[5]受瘦兽寿授售
ʐ[1]□{手拿物体做圆周运动或钟摆运动}[5]肉
k[1]勾钩沟[3]狗苟[5]彀够构购扣寇
kʰ[1]抠[2]□{性格急躁，易与人发生口角并占上风}[3]口[5]扣
ŋ[1]欧偶呕殴[3]藕□{食物、衣物等被烤糊}[5]沤怄
x[1]□{副词，形容程度深}[2]侯喉猴瘊[3]吼[5]后厚候

#æ
p[1]班斑颁扳般搬[3]板版[5]扮瓣办伴拌半绊
pʰ[1]攀潘[2]盘[5]盼襻判叛
m[1]□{象声词，羊叫声}[2]蛮瞒馒{～头}[3]满[5]慢幔漫
f[1]翻番[2]凡帆藩烦繁矾[3]反[5]范犯泛饭贩
t[1]耽担{～任}丹单[3]胆掸[5]担{～子}淡蛋诞旦但弹{子～}
tʰ[1]贪摊滩[2]谭潭谈痰檀坛弹{～琴}[3]毯坦[5]炭叹
n[2]南男难{～易}[5]难{灾～}
l[2]蓝篮兰拦栏[3]漤览揽榄缆懒[5]滥烂
ts[1]簪[2]咱[3]攒{～钱}[5]暂赞
tsʰ[1]参{～加}餐[2]蚕残惭[3]惨[5]灿
s[1]三[3]散打{～伞}[5]散{解～}
tʂ[1]沾粘瞻占毡[3]斩盏[5]站蘸绽栈战
tʂʰ[1]□{凉鞋上的搭扣}[2]谗馋缠蝉禅{～宗}[3]铲产[5]颤{打～}
ʂ[1]杉衫珊山删膻扇{～风}[3]陕闪[5]疝扇{～子}膳单{～田芳}禅{～让}
ʐ[2]然燃冉
k[1]甘泔柑干{～净}肝竿[3]感敢橄杆秆擀赶[5]干{～活}
kʰ[1]勘堪龛看{～守}刊[3]坎砍[5]看{～见}
ŋ[1]庵安鞍[3]□{按压使固定}[5]暗岸按案
∅[1]憨酣鼾[2]含函韩寒[3]喊罕[5]撼憾旱汗汉焊瀚翰

#ən
p[1]奔[3]本[5]笨
pʰ[1]喷{～泉}[2]盆
m[1]闷[2]门
f[1]分芬纷[2]焚坟[3]粉[5]粪忿奋份
t[5]扽
tʰ[1]吞[5]□{拽住鞋、裤子、袖套等衣物的一端一下子脱掉}
n[5]恁
tsʰ[1]参{～差}[2]岑
tʂ[1]针斟珍臻榛真[3]诊疹[5]枕镇阵振震
tʂʰ[1]深[2]沉陈晨辰臣[3]尘[5]趁衬称{相～}
ʂ[1]森参{人～}身申伸[2]神[3]沈审婶[5]葚甚疹渗肾慎
ʐ[3]忍
k[1]跟根[5]□{技艺高超、让人振奋}
kʰ[2]□{含着}[3]恳垦肯
ŋ[1]恩[3]□{你、你们、你的、你们的}[5]揞摁
x[2]痕[3]很[5]恨

#ɑ̃
p[1]□{用棍子敲、用石块砸}帮邦[3]榜[5]谤傍棒蚌
pʰ[1]胖肿[2]滂旁螃庞[3]□{把未成熟的庄稼从田里移除}[5]胖{～瘦}
m[1]忙芒茫[3]莽蟒
f[1]方肪芳[2]妨房房防[3]纺仿访[5]放
t[1]当{～兵}[3]党挡[5]当{上～}荡
tʰ[1]汤趟{～水}[2]堂棠唐糖塘[3]躺[5]烫趟{一～}
n[2]囊[3]攮
l[2]郎廊狼螂[3]朗[5]浪
ts[1]脏{肮～}赃[5]葬藏{西～}脏{内～}
tsʰ[1]仓苍
s[1]桑丧{～事}[3]嗓搡[5]丧{～气}
tʂ[1]张章璋樟[2]□{添加调料、配料}[3]长{～高了}涨[5]丈仗杖帐账胀障瘴
tʂʰ[1]昌菖[2]长{～短}肠常尝偿[3]场[5]畅唱倡
ʂ[1]商伤裳[3]赏晌[5]上尚
k[1]冈岗刚纲钢缸[3]港[5]杠
kʰ[1]康糠慷[2]扛[5]抗炕
ŋ[1]昂肮
x[1]夯[2]行{银～}航杭
∅[1]□{疑问语气词}

#əŋ
p[1]崩[5]迸
pʰ[1]烹[2]朋彭膨棚篷蓬[3]捧[5]碰
m[1]虻[2]萌盟蒙[3]猛[5]孟梦
f[1]风枫疯丰封峰蜂锋[2]冯逢缝{～纫机}[3]讽[5]风缝{门～}奉俸
t[1]登灯蹬[3]等[5]凳邓澄{～一～}瞪动{走不～}
tʰ[1]□{用蒸汽加热使食物变热，或用火烘烤使衣物变干}[2]腾誊藤疼
n[1]□{踮脚尖}[2]能[5]弄
l[3]冷[5]楞棱{～柱}
ts[1]曾{姓～}增憎[5]赠锃□{用细绳把头发束起或者把口袋系住}
tsʰ[1]噌{象声词，形容速度快}[2]曾{～经}层[5]蹭
s[1]僧
tʂ[1]征蒸争筝睁贞侦正{～月}[3]拯整[5]证症郑正{～式}政
tʂʰ[1]称{～号}撑铛{饼～}[2]澄{~清}橙乘承丞呈程成城诚盛{～满}[3]惩逞[5]秤撑{椅子～儿}
ʂ[1]升生牲笙甥声[2]绳[3]省[5]胜圣盛{兴～}
ʐ[1]扔[2]仍
k[1]更{变～}庚羹[3]梗耿[5]更{～好}
kʰ[1]坑吭
x[1]亨[2]恒衡[5]横{蛮～}

#i
p[1]逼[2]鼻[3]鄙比秕[5]敝弊币毙蓖陛闭箅避篦弼碧璧壁
pʰ[1]批□{柔软的用于编织的窄条状材料}坯披丕匹劈[2]皮疲彼俾琵枇[3]脾[5]譬庇痹屁僻辟
m[1]眯[2]迷谜糜{～烂}弥[3]米[5]秘泌{分～}密蜜墨觅
t[1]低堤滴[2]的嫡笛敌狄籴[3]底抵[5]弟帝递地
tʰ[1]梯题踢剔[2]提蹄啼[3]体[5]替涕剃屉
n[1]妮[2]泥倪尼[3]你[5]腻拟匿逆溺
l[2]犁黎离篱璃梨厘狸[3]礼李里理鲤[5]例厉励丽隶荔利痢吏立笠粒栗力历
ts[1]积脊籍藉绩击激集[2]疾辑[3]挤济{～南}己[5]济{救～}剂继冀纪记忌即迹寂际
tsʰ[1]妻七漆膝戚[2]齐脐[5]砌弃泣
s[1]西悉息惜昔夕锡析[2]习袭媳席[3]洗玺[5]细系{联～}
tɕ[1]鸡稽基几{茶～}□{～菜：夹菜}机讥饥肌级[2]急及吉极[3]几{～个}给{供～}[5]计髻技妓寄既鲫
tɕʰ[1]契栖犀欺期缉{～鞋口}[2]奇骑歧其棋旗祈祁鳍[3]启企岂起杞[5]器气汽
ɕ[1]溪牺熙嬉希稀吸熄[3]禧徙喜[5]系{～统}戏
∅[1]伊医饴衣依揖一[2]移夷姨疑沂遗乙[3]蚁椅已以[5]艺刈缢宜{便～}仪{～器}肄矣意异毅逸忆亿抑翼益译易亦疫役谊义议易

#iɑ
n[3]□{他、别人}
l[3]俩
ts[5]□{自己，一个人}
tɕ[1]加痂嘉家夹甲胛[3]假贾[5]架驾嫁稼价
tɕʰ[1]掐[2]卡{～住}[3]匣[5]恰洽
ɕ[1]瞎[2]霞瑕遐狭峡[5]下夏厦{～门}吓
∅[1]鸦丫鸭押压[2]牙芽衙伢虾[3]雅哑[5]砑轧

#iɛ
p[1]鳖憋[2]别{～针}[5]别{～扭}
pʰ[1]撇{～捺}[3]瞥撇{用勺子轻轻舀去汤表面的浮沫}
m[5]灭
t[1]爹跌[2]叠碟牒蝶谍
tʰ[1]帖贴[3]铁
n[1]捏[2]茶[5]聂蹑镊孽
l[1]咧{～～：胡说八道}[3]□{撕}[5]猎列烈裂
ts[1]接节[2]皆捷截[3]姐[5]借劫
tsʰ[1]切[3]且[5]妾
s[1]些屑{不～}[2]邪斜[3]写[5]卸谢泻
tɕ[1]秸阶街揭结隔[2]杰洁[3]解{～开}[5]介界芥疥届戒
tɕʰ[2]茄
ɕ[1]血蝎歇[2]谐协胁[5]解{姓～}蟹
∅[1]噎[2]爷耶[3]惹也野[5]夜叶靥页业液腋

#iɔ
p[1]膘标[3]表裱[5]□{较劲}
pʰ[1]飘鳔漂{～浮}[2]瓢嫖[5]漂{～亮}票
m[2]苗描[3]藐渺秒[5]庙妙
t[1]刁貂雕钓[5]吊掉调{～子}
tʰ[1]挑{～选}[2]条调{～料}[3]挑{～事}[5]跳粜
n[3]□{纠缠在一起}[5]尿
l[2]燎辽撩寥疗[3]燎了{～解}[5]料尥
ts[1]焦蕉椒樵[2]嚼[5]醮噍
tsʰ[1]□{阉割牲畜}[3]雀[5]俏
s[1]消宵硝销嚣萧削[3]小晓[5]笑
tɕ[1]交郊胶教{～书}骄娇浇缴脚角饺[3]绞狡铰搅矫侥剿[5]教{～育}校{～对}较窖觉{睡～}轿叫
tɕʰ[1]敲悄[2]瞧乔侨桥荞[3]巧[5]鞘窍
ɕ[1]羞[2]淆学[5]酵孝效校{～长}
∅[1]邀妖腰要{～求}幺约[2]肴摇谣窑{～洞}姚尧杳跃[3]咬舀[5]绕要耀药钥乐

#iəu
p[2]□{象声词，多用于模仿枪击的声音}
m[5]谬
t[1]丢{有意或无意地把物品留在某处}
n[1]□{抓}[2]牛[3]纽扭
l[1]溜[2]流留刘榴硫琉馏[3]柳[5]六
ts[1]揪鸠纠[3]酒久[5]就
tsʰ[1]秋{～天}[2]囚
s[1]修休[2]□{媳妇}[5]秀绣宿锈袖嗅
tɕ[1]灸究[3]九韭□{小气}[5]舅救旧柩救
tɕʰ[1]阄丘邱[2]求球仇
ɕ[1]朽
∅[1]忧优悠幽[2]柔揉尤邮由游犹酉[3]有[5]友诱莠又右佑柚鼬釉幼

#iæ
p[1]鞭编边[3]贬蝙扁匾[5]辨辩变便{方～}汴辫遍
pʰ[1]篇偏[2]便{～宜}[3]□{炫耀}[5]骗片
m[2]绵棉眠[3]免勉娩缅渑[5]面
t[1]掂颠[3]点典[5]店电殿奠佃垫
tʰ[1]添天[2]甜田填[3]舔掭腆
n[1]蔫[2]黏鲶年[3]拈碾辇捻撵[5]念
l[2]廉镰帘连联怜莲[3]脸[5]敛殓练炼
ts[1]尖歼煎[3]剪[5]渐剑践箭溅贱饯荐
tsʰ[1]签迁千[2]潜钱前[3]浅遣[5]□{折断}
s[1]仙鲜{新～}先[3]鲜{朝～}藓[5]线
tɕ[1]监兼艰问{单～}奸肩坚[3]检俭茧[5]舰鉴苋件键建健腱见
tɕʰ[1]锨谦牵铅[2]钳[3]简柬拣[5]嵌欠歉
ɕ[1]掀[2]衔嫌闲弦[3]险显[5]陷馅限羡宪献现
∅[1]淹阉炎腌焉烟湮[2]岩盐阎檐严颜延言研沿[3]染掩俨眼演[5]验厌艳焰晏雁谚堰燕砚咽{～下}宴

#iɑ̃
n[1]娘{母亲，面称}[2]娘{母亲，背称}[3]仰[5]□{喝进去的液体又倒流回口腔}
l[2]良凉量{～长短}粮梁粱[3]两[5]亮谅辆量{数～}
ts[1]将{～来}浆疆僵桨[3]蒋奖[5]酱将{大～}匠
tsʰ[1]枪[2]藏{～起来}墙[3]抢
s[1]相{互～}箱厢湘襄镶[2]详祥[3]想[5]象像橡相{～片}
tɕ[1]姜缰姜江豇[3]巷讲[5]降{～落伞}
tɕʰ[1]羌□{欺负}腔[2]强{～大}
ɕ[1]香乡[2]降{投～}飨[3]饷响享[5]向项
∅[1]央秧殃嚷攘[2]瓤穰羊洋杨阳扬疡[3]痒酿[5]让样

#in
p[1]彬宾槟[5]鬓殡
pʰ[1]拼[2]贫频[3]品[5]聘
m[2]民[3]闽悯敏抿
l[2]林淋临邻磷鳞[3]檩[5]赁吝
ts[1]津[3]尽优先考虑[5]浸尽{～力}进晋
tsʰ[1]侵钦亲{～戚}[2]秦[3]寝[5]吣亲{～家}
s[1]心新薪欣[2]□{娶妻}[5]信衅
tɕ[1]今金禁{～不住}襟巾斤筋[3]仅谨[5]禁{～止}妗近劲
tɕʰ[2]勤芹琴禽
ɕ[1]鑫锌
∅[1]吟音阴荫因姻殷[2]壬任{姓～}人仁银寅[3]饮{～料}引隐尹[5]任{责～}饮{～牛}纫窨刃认韧印闰

#iŋ
p[1]冰兵丙[2]□{不用、不要}[3]禀秉柄饼[5]病并
pʰ[1]乒[2]凭平坪评瓶萍屏
m[2]明名铭[5]命
t[1]丁钉酊疔盯[3]顶鼎[5]锭订定
tʰ[1]听厅汀[2]亭停廷庭蜒艇[3]挺{很、非常}[5]挺{坚持}
n[2]凝宁{～静}[3]拧[5]宁{～可}
l[1]拎[2]陵凌菱灵零铃伶[3]领岭翎[5]令另
ts[1]精晶睛[3]井[5]静靖净
tsʰ[1]卿清青蜻倾[2]擎情晴[3]请
s[1]星腥[2]□{糖融化了}[3]省{反～}醒[5]性姓
tɕ[1]耕京荆惊鲸经[3]景警颈[5]茎境镜敬竟竞径
tɕʰ[1]顷[5]磬
ɕ[1]兴{～旺}[2]行{～为、品～}荥[3]形型刑[5]兴{高～}杏幸陉{井～}
∅[1]扔应鹰莺鹦樱英婴缨[2]淫仍蝇迎盈赢营茔[3]影颖[5]硬映

#u
p[1]抱{～孩子}[2]醭[3]补[5]部簿布怖步埠卜{萝～}
pʰ[1]铺{～床}扑[2]菩脯{胸～}瀑[3]蒲脯{果～}谱浦捕甫朴{～素}仆[5]铺{店～}
m[2]模{模子}[3]母[5]暮募慕墓木目穆牧
f[1]夫肤敷孵麸妇福[2]俘符扶芙蓉幅蝠服伏[3]府腑俯斧腐辅否[5]付赋傅赴附负富副复腹覆
t[1]都{～城}督[2]独读牍犊毒[3]堵赌肚{动物的胃，用作食品}[5]肚腹部杜妒度渡镀
tʰ[1]突秃[2]徒屠途涂图奴卢炉芦鸬[3]土[5]兔
n[2]奴[3]努[5]怒路赂露{～水}鹭
l[1]擩[2]庐如[3]鲁橹虏卤汝儒乳辱[5]入鹿禄陆录
ts[1]租足[2]卒族[3]祖组阻
tsʰ[1]粗[2]猝[5]醋促
s[1]苏酥[5]素诉塑嗉速肃宿{～舍}粟
tʂ[1]猪诸朱诛珠株蛛竹烛[2]逐[3]拄主嘱[5]苎著箸助柱驻注住蛀铸筑祝
tʂʰ[1]初殊出[2]除锄雏厨[3]储褚楚础处{～对象}杵[5]处{办事～}畜触
ʂ[1]梳疏蔬书舒枢输{运～}叔淑[2]熟赎[3]鼠暑黍署薯数{～来宝}[5]庶恕数{～字}竖戍树输{～液}漱术束蜀属述
k[1]姑孤箍骨[3]古估股鼓谷[5]故固雇顾
kʰ[1]枯窟哭[3]苦[5]库裤酷
x[1]呼乎忽[2]胡湖狐壶葫核{桃～}斛[3]虎浒[5]户沪互护瓠
∅[1]污坞巫诬屋[2]吴蜈梧[3]吾五伍午武舞侮鹉[5]误悟无务雾杌物勿

#uɑ
tʂ[1]抓{～小偷}[2]□{象声词，小孩哭声}[3]爪{～子}
tʂʰ[1]抓{把东西从别人手里拽走}
ʂ[1]刷{～子}[3]耍[5]刷{～白}
k[1]瓜刮[3]寡[5]挂卦
kʰ[1]夸[3]侉垮胯[5]跨
x[1]花华[2]华{～山}划桦[5]化画话
∅[1]蛙洼[2]娃[3]瓦{～房}[5]瓦{～刀}

#uɤ
t[1]多[2]铎踱[3]朵[5]舵剁惰垛
tʰ[1]拖托[2]驼驮[3]椭妥[5]唾
n[2]挪[5]糯诺
l[1]啰[2]罗{～列}锣箩骡螺裸[5]摞落{降～伞}骆洛络乐{快～}
ts[1]作{～坊、工～}[2]昨琢{～磨}[3]佐[5]坐座
tsʰ[1]搓锉[2]矬[5]错
s[1]蓑梭嗦索[3]锁琐嫂
tʂ[1]拙桌浊[2]卓涿镯酌
tʂʰ[1]戳[5]龊
ʂ[1]说{～话}[3]所[5]朔
k[1]锅郭[3]果裹馃国[5]过
kʰ[1]棵[5]廓扩
x[1]劐[2]和{～气、～面、姓～}[3]火伙[5]祸货霍或惑
∅[1]倭窝[3]我[5]卧

#uɛ
tʂ[1]□{费力地塞进去}[3]拽{神气}[5]拽
tʂʰ[1]揣{～面}[3]揣{～摩}[5]踹
ʂ[1]摔衰[3]甩[5]帅
k[1]乖[3]拐[5]怪
kʰ[3]㧟[5]块快筷
x[2]怀槐淮[5]坏
∅[1]歪[3]崴[5]外

#uei
p[1]背{～着}[5]倍辈背{～书}
t[3]□{两辆车撞到一起}[5]对队兑掇{掂～}
tʰ[1]推[2]颓[3]腿[5]退蜕
n[5]内
l[2]雷[3]儡累{积～}[5]累{拖～}类泪肋
ts[1]堆[3]嘴[5]罪最醉
tsʰ[1]催崔摧□{白炽灯的钨丝断裂，也泛指照明灯的损坏}[3]璀[5]脆翠粹
s[1]虽绥塞{～进去}[2]隋髓遂随隧[5]碎岁穗
tʂ[1]追锥[3]□{以债抵债}[5]缀赘坠
tʂʰ[1]吹炊[2]垂槌锤
ʂ[3]水[5]税睡
ʐ[3]蕊[5]芮锐瑞
k[1]鲑圭闺规龟归[3]诡鬼[5]刽桂柜贵
kʰ[1]盔亏窥[2]魁傀奎逵葵[5]愧溃跪
x[1]恢灰麾挥辉徽[2]回[3]悔毁[5]贿汇晦桧会绘秽惠慧讳汇
∅[1]危微威[2]桅为{～人}维唯违围尾{追～}伟苇[3]萎委伪纬[5]卫为{～什么}位未味魏畏慰胃谓

#uæ
t[1]端{～正}[3]短[5]断锻段缎
tʰ[1]湍[2]团
n[3]暖[5]□{攥着}
l[2]鸾□{耍弄、欺骗}[3]卵[5]乱
ts[1]钻{～进去}[3]□{发髻}[5]钻{金刚～}纂
tsʰ[1]汆窜[2]全泉拳权颧[3]犬[5]篡劝
s[1]酸宣喧[2]旋{～转}[3]选[5]算蒜旋{～吃～做}
tʂ[1]专砖[3]转{～学}[5]赚撰转{～圈}传{～记}
tʂʰ[1]川穿串{～起来}[2]传{～达}椽船[3]喘[5]串{羊肉～}
ʂ[1]闩拴[5]涮{～羊肉}
k[1]官棺观冠{鸡～}关[3]管馆[5]冠{～军}贯灌罐观惯
kʰ[1]宽[3]款
x[1]欢[2]桓还{～原}环[3]缓[5]唤焕换幻患宦
∅[1]豌剜弯湾[2]完丸玩顽[3]皖碗[5]腕

#uɑ̃
tʂ[1]庄装桩[5]壮状
tʂʰ[1]疮窗[2]床[3]闯[5]创撞
ʂ[1]霜孀双{～数}[3]爽[5]双{～生}
k[1]光[3]广[5]逛
kʰ[1]匡筐眶框[2]狂[5]旷况
x[1]荒慌[2]黄簧皇蝗[3]谎晃{～眼}[5]晃{～悠}
∅[1]汪[2]亡王[3]网辋枉往[5]忘妄望旺

#uən
t[1]敦墩蹲[3]□{鸟类啄食的动作}[5]沌盾顿钝遁
tʰ[2]屯豚徒臀囤
n[5]嫩
l[1]抡[2]仑伦沦轮[5]论
ts[1]尊遵[5]俊
tsʰ[1]村皴[2]存[3]忖[5]寸
s[1]孙[2]旬循巡[3]损笋榫[5]逊
tʂ[3]准
tʂʰ[1]椿春[2]唇纯莼醇[3]蠢
ʂ[5]顺舜
k[3]滚[5]棍
kʰ[1]昆[3]啃捆[5]困
x[1]婚[2]魂馄浑{水太～}[5]混{～日子}
∅[1]温瘟[2]蚊[3]稳[5]璺

#uəŋ
t[1]东囱冬[3]懂董[5]动冻栋洞
tʰ[1]通[2]同铜桐童瞳[3]筒桶捅统[5]痛
n[1]□{将就}[2]农脓[5]浓
l[2]笼聋隆龙[3]拢陇垅
ts[1]棕鬃宗综踪[3]总[5]粽纵
tsʰ[1]聪葱[2]从丛
s[1]松嵩[2]怂[3]耸[5]送宋诵颂讼
tʂ[1]中{～间}忠终仲钟盅[3]冢种{～子}肿□{笨}[5]中{～奖}众重{～力}种{～地}
tʂʰ[1]充冲{～走}舂[2]虫崇重{～复}[3]宠[5]冲{～着}
k[1]公蚣工功攻弓躬宫恭供{～给}[3]汞拱巩[5]贡供{上～}共
kʰ[1]空{～气}[3]孔恐[5]空{有～}控
x[1]轰烘[2]弘宏红洪鸿虹[3]哄{～孙孩儿}[5]横{～着}放哄{起～}
∅[1]翁[5]瓮

#y
n[3]女
l[1]捋[2]驴[3]吕旅屡履垒[5]虑滤率{心～}绿
ts[1]足{喝～了}[5]俱聚具{～体}惧剧
tsʰ[1]蛆驱瞿屈[2]渠[3]取娶[5]趣
s[1]虚须需[2]徐[5]序叙绪絮续畜蓄
tɕ[1]居车{～马炮}拘驹[2]橘菊局[3]举矩[5]巨拒距据锯句具{玩～}
tɕʰ[1]趋区曲{弯～}[2]渠[3]曲{～儿}[5]去
ɕ[1]墟[3]许
∅[1]淤迂[2]鱼渔于余愚虞盂榆逾禹芋[3]语与雨宇羽[5]驭御誉预豫娱吁愉愈{痊～}遇寓喻裕域郁育玉狱欲浴

#yɛ
n[5]虐
l[1]掠{～夺}[5]劣
ts[1]掘决□{扯断}[2]绝爵[5]厥
s[1]雪薛
tɕ[1]诀[2]橛镢[5]倔
tɕʰ[1]缺[2]瘸[3]□{折断}[5]鹊却怯
ɕ[1]靴[2]穴
∅[1]曰[3]哕[5]悦阅越粤月岳

#yæ
tɕ[1]捐绢[3]卷{花～}[5]圈{～养}眷卷{试～}倦
tɕʰ[1]圈{圆～}[2]拳颧[3]权[5]劝
ɕ[1]宣{蒸制或者烤制的面食口感松软}[2]弦{余～}玄悬[5]馅眩
∅[1]冤渊[2]圆员缘元袁辕园援[3]软阮远[5]愿怨

#yn
tɕ[1]均钧军菌君[5]郡
tɕʰ[2]群裙
ɕ[1]熏薰[2]勋[5]殉迅训
∅[1]晕{～倒}[2]匀云[3]允[5]润熨韵运晕{舒服}孕

#yŋ
tɕ[3]窘迥
tɕʰ[2]琼穷
ɕ[1]兄[2]熊雄
∅[1]拥[2]荣戎绒融[3]永泳咏[5]用
