	注释：白读-，文读=
∅	[1]侮胡{～tou21：胡须}乌{吹～：吹灭；～ȵiam51：苍蝇}[2]蜈={～蚣。又音yu33}梧[3]武[6]物[7]□{～ɕi21kɛ45：那个；～ɛ0：那里}
#y	
p	[3]补{缝补}[7]腹{人肚子；～tsɿ0：肚脐眼}
pʰ	[2]瓠{～子：可食的瓠；～壳：当勺子用的瓠}扶辅{～导}[3]补{～被}斧{～hou21：斧头}辅-妇
tʰ	[1]蛆[3]取
n	[3]牛{～公：公牛}女={～人}[6]玉[7]肉
l	[2]虑[3]吕旅屡[6]滤{～米}栗绿
tɕ	[1]猪{～屎怪：蛙类，生活在水塘、深水厕所和牛栏中}朱珠[3]主煮[5]注咒{拉长调子狠心地骂}[7]竹祝粥烛嘱足
tɕʰ	[1]鼠吹炊锤=[2]除锄{动词}厨{～sɤ□：厨师}术[3]处触[6]拄住蛀{～hŋ51：蛀虫}树[7]出畜
ɕ	[1]书舒黍薯{fan21～：红薯}需输{yn45～：运输}竖[2]徐随俗续[3]水序暑煮[5]税[6]熟赎[7]叔{～ɛ0：叔叔，爸爸}宿
k	[1]具{家～}车{～马炮}矩[3]举[5]锯据句具继剧[7]□{塞}
kʰ	[1]区熏屈[3]趣臼{～kʰuəi21：臼窟，石臼}舅曲[6]距聚旧局[7]菊
h	[1]墟虚{～səm21：虚心}输{赢～}殊[2]愉[3]苧{～麻}许{～人家：女孩婚配}雨羽后{～ia33：后爷，后爸}[6]箸{～tɕia0：筷子}竖=直值{～tɤ21：值得}
∅	[2]如-豫=余娱[3]雨语[6]芋裕预狱育浴
#a	
p	[1]芭疤[2]把爸[5]霸{～东西}坝{水坝}[3]把{量词}[7]拔百伯擘{用手～开}
pʰ	[2]爬[6]耙怕白[7]拍杷
m	[2]麻{手～}[3]马嫲{原文“母”，牛～：母牛。动物雌性用母，鸡～、猪～、狗～}[6]骂麦
f	[1]花[2]华乏[5]化{kau214～-33tsɿ0：叫化子}
t	[1]打[2]察[3]达打[5]□{都}[7]册
tʰ	[1]杈{～tɕi0：多余的枝}杈差{成绩～}[2]茶{～子：药，包括中西药}查[3]塔[5]岔□{都}[6]达[7]㿭{开裂}
n	[1]拿{～贼：捉贼}[6]搦{～贼：抓贼}纳捺[7]□{给，单字句}
ts	[1]抓[5]榨炸{～鱼}蚱{～蜢：螳螂}
s	[1]沙纱
ȵ	[7]额
k	[1]家={～庭}加傢{～具}佳[2]甲[3]假[5]价贾架驾{～驶员}[7]隔
kʰ	[1]揢[7]客
ŋ	[2]牙芽[3]雅
h	[1]□{逗使痒}[2]蛤{青皮～蟆}霞{人名}邪{阴森怕人}匣辖[3]下{底～；～去；卸}[6]夏{姓；立～}[7]虾{～公}嫁{tɕʰy51～：出嫁}吓
∅	[1]鸦{老～：乌鸦}阿{～娘：女人，妇女，有贬义}[3]哑
#ia	
p	[7]壁
pʰ	[7]劈
t	[7]摘
tʰ	[2]斜{～风雨：斜风斜雨}𥈊{瞥。《集韵》色洽切，目睫动貌}[6]席{～tɕy51：竹席}
l	[6]□{坡}□{筛，名词}
s	[7]削
tɕ	[1]遮[5]借蔗{食～：吃甘蔗}[7]姐{～fu0tsɿ0：姐夫子，即女婿，背称}隻{量词}迹{骹～}□{给，单字句}
tɕʰ	[1]车[3]址[7]□{kaŋ21～：木饭勺}赤
ɕ	[1]赊[3]写舍社卸{～fo214：卸货}涉设[6]谢射
ȵ	[2]惹{容易招来}
kʰ	[2]□{～tau-21tau55：走路不稳}
∅	[2]爷{原文“爹”，爸爸}[3]野[6]夜{～pe55ɕio21：夜不宿，半夜还不回家，骂迟归者}[7]也
#ua	
f	[1]花[6]化[2]华
k	[1]瓜[3]寡{～妇}[5]褂[7]□{～tʰau55～tʰau55：很腊.即脆}
kʰ	[1]夸
h	[2]划[6]画
ŋ	[3]瓦
∅	[6]□{娶}话{说}
#o	
p	[1]波菠{～tʰɤ45：菠菜}玻拨=[7]驳
pʰ	[1]坡=[2]婆=[6]薄迫
m	[1]抹摸[2]魔馍[6]磨{农村用具；～ho45səm21：～豆腐}末莫[7]□{～-21tsɿ0：婴儿}
f	[3]伙[6]货[7]霍
t	[1]多[2]躲[5]剁[6]啄
tʰ	[1]拖搓{～索子：搓绳子}[5]错[6]镯{～ɛ55：镯子}
n	[3]哪[6]糯弱
l	[2]螺{～蛳}脶{与□sau21相对}锣罗箩[3]裸{打露～：赤身裸体}[6]落洛
ts	[3]左{姓}[5]做[7]作{～iam33：作业}
s	[1]蓑[3]锁所{粮管～}[7]索{～子：绳子}缩
k	[1]歌锅=[3]果[5]去[6]哥{～ɛ0：哥哥}[7]□{楼～：楼梯}鸽各阁觉{～得}角国
kʰ	[1]科[2]括[5]课去{～厝：回家}[6]磕阔搉{击}[7]克{瓠～}扩确
ŋ	[2]蛾{飞～}鹅[6]饿
h	[2]和{气}驮何{姓}荷{～花}[6]过祸学读祸[1]哈{打～□iam21：打哈欠}[7]托
∅	[7]恶{～人}[6]罯{～火：用灰藏火使不灭。《广韵》入声合韵乌合切：视盖也。城关读ɔm21}
#io	
p	[5]布[7]剥
m	[6]墓
tʰ	[3]夺
tɕʰ	[5]厝{～底的：家里的，背称妻子；去～：回家}[6]着{睏～：睡着}[7]尺
ɕ	[3]□{～tʰau51：砍柴}[6]石{～luən33：青蛙的一种，活动于山润中，黑褐色，体大善跳，可食}[7]宿拾
ȵ	[7]箬{叶子}
kʰ	[2]茄[7]镢{～hou0：锄头}
h	[5]□{路}
∅	[6]药
#yo	
k	[7]钁{大锄}
kʰ	[2]□{ɕiau21：蜘蛛}
#ie	
p	[7]憋
pʰ	[2]排{木～}牌[5]稗
m	[3]买[6]卖灭篾
f	[7]血
t	[3]底抵[5]□{脆}[7]跌
tʰ	[5]砌[6]绝
l	[2]犁[6]猎列烈裂劣=
tɕ	[1]挤□{娇生惯养不能自立}[3]姐纸[5]晬{原文“岁”}杰=[7]浙节截
tɕʰ	[1]吹{～乌，～黑：吹灭}催[6]撤
ɕ	[1]涎{～hoi214：流口水}□{so51～：发抖}[2]□{孩～：小孩}蛇□{kʰei51～：乞丐}[3]洗{作～：洗澡}[5]细{小}[6]食{吃}舌[7]薛雪
ȵ	[6]聂孽越日虐疟{～ki45：疟疾}热{～毒子：痱子}阅月岳[7]蚁{单说}
k	[1]街[3]解{～开}[5]寄[7]结{动词}决诀
kʰ	[2]骑[3]徛{立}[6]揭{姓}[7]□{i45～，～pɔŋ33，翅膀}缺
ŋ	[6]艾
h	[2]鞋[5]替剃[7]息歇铁
∅	[3]矮-[6]易
#ə	
p	[1]北[7]柏
m	[6]墨脉
t	[7]□{给，动词，用于单字句}得德
tʰ	[5]菜蔡[6]菜{tʰaŋ21～：青菜，蔬菜}字策[7]厕{～sɿ21：厕所}忒{～早}贼□{水澄一澄}
n	[5]腻
l	[6]□{绑，扎}力-
ts	[1]栽{～树}[3]紫子{ˀin55～-214：引子，药引}[7]则泽窄责
tsʰ	[7]侧
s	[1]斯私师狮司思设[2]饲[3]史使{用}[6]事[7]虱{～ma21：虱子}塞色
k	[5]锯[7]格革
kʰ	[7]□{～lɛn33tsɿ0：阶梯}刻{时～}克
ŋ	[2]鱼
h	[1]集{kuoŋ55～：赶集}[6]戴[7]黑{吹～；边：傍晚}特笛
#ai	
p	[5]拜[7]八
pʰ	[2]排{～长}[5]派[6]破{鱼胆弄～了；剖}败
m	[2]埋[6]磨{～刀}迈
f	[6]罚[7]发{～tʰai33：发财}
v	[7]挖
t	[1]呆[5]带代{姓}
tʰ	[1]猜差{出～}[2]才材财裁豺[3]彩睬踩[6]在寨{～里：光泽地名}[7]搓{手：手擦手}擦
n	[6]耐
l	[2]□{～pʰei33：忘记}[3]□{狗之类吐出舌头}[6]赖{～皮蛤蟆：黑褐色，体小，常用来喂鸡鸭}辣□{系，动词}[7]□{割}
ts	[1]灾斋[3]载[5]再债
s	[1]腮沙{～kʰo51tsɿ21：较小的蚌}[5]赛[6]洒{～水}筛{动词}[7]箩
k	[3]解{～放}[5]介界疥戒
kʰ	[7]揩
ŋ	[2]崖□{鹰}挨{拖延时间}[6]外□{门虚闭留缝隙}
h	[1]胎拖{～琴：拉琴}还{副词}[2]台[3]□{挑}[5]态太泰[6]孩{～ɕie33：小孩}大待怠贷[7]□{～水：挑水}
∅	[3]矮
#uai	
tʰ	[3]坐{～上：酒席中坐上座}
k	[1]乖[3]拐{～子：跛，脚有毛病走路不平衡的人}[5]怪
kʰ	[5]会{～计}快[6]刮[7]阔
∅	[3]夥{多}
#au	
p	[1]包胞[3]保宝饱[5]报□{油盐先入锅炸}豹爆
pʰ	[2]袍浮-[3]抱[5]泡{动词}[6]菢{孵}刨[7]泡{名词；鼓～：鱼快要死时的浮水}
m	[1]猫[2]茅{～sɿ：厕所，常用茅草搭成}茅[3]卯[6]貌贸冇{没有}
t	[1]刀叨[3]岛倒{树～了}[5]倒{～水}
tʰ	[1]掏=糙臊抄巢[2]巢{鸟～}陶涛曹槽□{蔫：晒～了}[3]䐬{脆}讨早草操炒[5]套[6]造[7]樵{柴火}
n	[3]脑恼[6]闹
l	[1]捞[2]劳牢饶[3]老扰[6]绕烙
ts	[1]糟[2]□{～tʰiɔŋ55：挠痒}召[3]蚤[5]躁罩[7]枣
s	[1]骚稍[5]扫
tɕ	[1]遭
k	[1]高膏交郊教[3]搞{玩耍}稿[5]告校{～枰}窖酵觉{睏～}
kʰ	[1]骹{脚}[3]考烤=[5]靠[6]轿
ŋ	[1]熬[6]傲
h	[2]盗{kʰiɔŋ33～：强盗}萄豪毫[3]导{领～}好{好坏}[5]孝[6]道号{号数}效校{～长}[7]桃
∅	[1]坳
#iau	
p	[1]标彪猋{牛起～}[3]□{tɕʰy45～：树梢}表[5]俵{分送}
pʰ	[1]飘[2]嫖[3]漂[5]票[7]薸{浮萍}
m	[2]苗描[6]庙
t	[1]刁雕[2]□{扔：～出去}[5]钓吊调{～动}□{酿}[7]鸟
tʰ	[1]挑=[3]斢{交换}[7]鸟{～巢}
n	[2]尧[6]尿
l	[2]疗聊[3]了[6]料廖□{用枝支开：～开死蛇}
tɕ	[1]焦=蕉椒招[5]照
tɕʰ	[1]超[2]朝{～hai45：朝代}[5]赵兆[6]□{邀}
ɕ	[1]□{kʰyo33～：蜘蛛}消宵硝销[3]少{多少}绍晓[5]笑[6]邵{～武：地名}□{挺}
ȵ	[2]饶
k	[1]娇浇[3]铰饺[5]叫{动物发出声音}
kʰ	[1]□{婚娶时女方索要}[2]乔侨桥□{蔫：晒～了}[3]锹[5]□{发～：生气，发怒}
h	[2]条{～件}调{～kuoŋ21：小调羹}跳[3]晓{～得：知道}[5]跳粜
∅	[1]妖腰幺{小}[2]谣窑姚[3]舀[5]要
#oi	
k	[1]该[3]改[5]盖{动词}
kʰ	[1]开
ŋ	[6]碍
h	[1]□{流，动词}[3]海[6]害[7]脱
∅	[5]爱
#ei	
p	[1]杯碑卑=[3]不{夜～宿：夜不归宿}[5]贝辈{一～子}背{部位}倍=[6]辈{～份}[7]钵拨
pʰ	[1]坯[2]培陪赔□{lai33～：忘记}卜{萝～}[5]佩[6]背{书}倍-焙{ɕin55：～笋}被篦配吠[7]泼
m	[2]梅媒煤霉{名词；动词：～豆腐}[3]每尾[5]妹□{tso21ke55～：做什么}[6]没密□{木屑之类}[7]袜
f	[1]灰[2]回辉[3]悔火[6]汇会{会不会}惠活[7]会{误～}
v	[1]煨{～蕃薯}[2]和{～ɕioŋ33：和尚}禾{水稻成热时的名称；lai51～：割稻子}[5]伟[6]滑
t	[1]堆[5]对兑队
tʰ	[1]筛{筛，名词}推=[3]在[5]退褪[6]秩罪[7]□{坍}
n	[3]奶[6]内
l	[2]□{傻，蠢的统称}□{～tsɿ0：肚大口小的竹器}雷[3]垒□{结，名词}[6]类
ts	[3]嘴[5]醉
s	[5]碎[7]刷涮膝{～hou21：膝盖}
tɕʰ	[6]□{钹类打击乐器}
k	[1]鸡{水～：四脚鱼；～目珠：夜盲症}[6]个
kʰ	[1]溪{河。短～：司前地名}[7]乞{～ɕie33：乞丐}
h	[6]解{原文“会”，会不会}[7]腿蜕锤-
∅	[1]□{～mei55：盖子}
#uei	
tʰ	[7]□{～斗：收谷子用的竹器}切{～开}
l	[6]累锐=瑞=
ts	[5]□{块}
s	[1]虽[7]杀{～猪}
k	[1]规龟归{～厝：搬新房}[3]拐鬼诡轨[5]概桂贵[7]郭骨
kʰ	[1]亏[2]逵葵魁奎[3]跪[5]愧[6]柜[7]渴窟{ɕi55～：屎窟，屁股}
∅	[1]威伟[2]危为维违围[3]委[5]□{tso21ke55～：做什么}[6]卫位味魏慰胃滑
#ou	
m	[3]某牡[6]茂
f	[3]否=
t	[1]兜丢[3]斗{量词}抖陡肘{～tsam21：肘子}[5]斗{动词}逗
tʰ	[1]秋[7]袖{san21～：衫袖，袖子}
l	[2]楼{～ko51：楼梯}刘留榴硫柔揉[3]柳[6]漏陋[7]篓
ts	[3]酒[5]奏宙皱
s	[1]修搜馊[2]□{鸟穴；狗宿的地方}[5]秀锈瘦售
k	[1]勾钩沟纠[3]狗九久韭究[5]够构购救
kʰ	[1]抠{使吐}丘[2]囚求球[3]抠{～门}口[5]扣
h	[1]偷休[2]投{～hɛm51：投潭，投水自杀}喉猴睺{把食物示人但又不与人}[3]柱吼=厚[5]透{tɕʰiam51～：湿透}敨嗅[6]豆后{皇后}後{后面}候[7]头{～皮：头发}
∅	[1]欧瓯殴=[3]藕偶呕[5]沤怄幼
#iu	
tɕ	[5]□{用嘴吸}
tɕʰ	[1]抽舟州洲[2]愁绸[3]丑帚[5]臭[6]就{～有：只有}
ɕ	[1]收灸[2]仇酬[3]手守首兽[6]受寿授
∅	[1]优[2]油犹尤邮由游[3]有友西[6]又右佑釉
#im	
tɕʰ	[1]深
k	[7]急
#am	
f	[7]法
m	[3]冥{暗～：夜里}
t	[1]担{名词}[3]胆[7]答{m̩～ˀin214：不答应}搭
tʰ	[1]参[2]□{牛之类腾跳}[3]淡[7]差{～不多}插
n	[2]南男
l	[2]览篮{～球}[6]腊{～ny51：腊肉}□{横扫}
ts	[1]□{tou55～：肘子}鹐{鸟啄物}[3]斩[5]蘸[6]□{用线或绳子定住：～被}
s	[1]三衫{hoŋ33～：长衫}[7]篮{～子}[6]□{素菜稍稍煮，使成半熟状}
k	[1]泔{水～：炊废水}[3]碱减[6]□{眨}夹
kʰ	[2]衔[6]□{跨}□{撑开手指量长度}
ŋ	[2]岩
h	[1]贪滩[2]含痰[3]毯[6]喊陷[7]铁{～ɕio45：铁石，磁铁}塔
∅	[1]腌{～ŋɤ33：腌鱼}[2]□{碾}[3]压押[7]鸭
#iam	
t	[2]滴[3]点典[5]店
l	[7]□{舔：狗～屎窟，狗舔屁股}
tɕ	[1]尖楔[5]占[7]折接
tɕʰ	[7]湿
ȵ	[2]粘[6]验念[5]□{男性长得帅}[7]蝶{蝴～}□{乌～：苍蝇}□{大便失出一点点}
k	[3]检
kʰ	[2]钳{～菜：挟菜}[5]欠[7]□{窗}□{腋下}
h	[1]签添[2]甜嫌[3]险[6]叠垫□{～箱：当地习俗，姑娘出嫁时存入箱子里的钱}[7]□{vi51～：女孩子五官端正漂亮}贴帖
∅	[1]阉□{ta55ho21～：打哈欠}[2]炎严盐[5]厌焰[6]叶{姓}页业
#ɛm	
tʰ	[6]集{～tɕioŋ21：集中}
s	[7]涩
k	[1]金今[5]禁[7]激
kʰ	[2]琴[3]□{碗之类反扣}妗{舅母}[6]及[7]级
ŋ	[2]咸
h	[7]潭
∅	[1]音阴[6]□{沙子等锥脚底}
#iɛm	
tɕ	[3]枕
tɕʰ	[2]沉
ɕ	[1]习{～惯}[5]婶[6]十拾
kʰ	[3]嵌
∅	[2]任-{tɕi51～：责任}
#ɔm	
tʰ	[6]撞{～油：原始榨油法，撞大楔使油出}凿昨□{用刀刻}杂[7]蚕
l	[7]□{疾饮}
k	[3]感
kʰ	[3]□{咳嗽}
ŋ	[7]□{摇晃}
h	[6]盒合
∅	[6]晏{晚}[7]□{～tsɔŋ33：空气闷}□{敷，～药}
#əm	
tʰ	[2]寻
l	[2]林淋临[6]立
ts	[5]浸-[6]□{用嘴吸}
s	[1]心习{ho45～：学习}参{人～}[5]渗
k	[2]芹
#m̩	
∅	[6]唔{～是：不是；～miau214：不要}
#in	
p	[1]宾兵[3]丙[5]拼
pʰ	[1]拼凭[2]贫平评[3]品[6]聘
m	[2]民名=[3]闽鸣[6]面{脸}
f	[5]训
v	[2]云[6]熨运闰-
t	[1]丁
tʰ	[1]清厅青=[2]情{人～}停庭廷[3]挺[5]定[6]静净=[7]前{ta33～：曾经}
n	[2]人仁银[3]耳忍[6]认[7]年
l	[2]邻=鳞灵轮-[3]领=[6]另
tɕ	[1]珍真征蒸争{～kʰy55：争取}精品贞侦[3]准[5]进镇震俊证症[6]正政
tɕʰ	[1]春声[2]陈尘辰晨臣唇纯乘承程成城[3]蠢卿[5]衬[6]肾慎
ɕ	[1]生{～气；～活}辛身申伸=欣升[2]神绳行形[3]笋准省{反～}[5]性信[6]顺{～手：右手}胜
k	[1]津巾斤筋均君京荆经[3]锦紧仅谨警[5]境景见[6]敬竟竞[7]囝{～nɛ0：儿子}
kʰ	[1]群裙[2]禽秦勤[6]尽庆近{～ɕin214：近视}
h	[2]型[5]幸[6]兴[7]□{还，动词}
∅	[1]因姻=鹦=樱英[2]演迎营[3]引隐尹[5]应映=印[6]□{剩余}
#yn	
n	[2]浓-
ɕ	[2]旬循
k	[1]军
∅	[2]匀[3]允
#an	
p	[1]班斑扳般□{～tsɿ33：口吃者}[3]板版[5]扮
pʰ	[5]绊[6]办
m	[2]蛮[6]慢[7]虻{牛～}
f	[1]蕃{～薯}帆欢番翻[2]凡烦繁[3]反{～手：左手}环[5]泛贩[6]范犯[7]横
v	[1]弯湾
t	[1]耽丹单[5]旦但
tʰ	[1]餐[2]谈残[5]探叹=
n	[2]难{难易}[6]难{灾难}
l	[2]蓝兰拦栏{tɕy21～：猪圈}[3]染懒[6]烂
ts	[3]盏展[5]赞[6]□{借惯性甩}
tsʰ	[3]惨[5]灿=
s	[1]衫{～tʰou51：衫袖，袖子}删牲{tɕʰy51：畜牲}[3]陕闪散{松}产{tʰai21～：财产}赏省[5]散{～会}善丧
h	[1]摊[2]檀{～hiɔŋ21：檀香}弹{～琴；子～}[3]□{我}[5]炭[6]限
k	[1]艰奸[3]杆{旗～}简
ŋ	[2]颜[3]眼
#uan	
l	[3]卵{～子：鸡猪阉时取出的两颗雄性物}
k	[1]关[2]□{muŋ55tɔŋ21～：芦苇}[5]贯惯
kʰ	[1]宽
h	[2]环
∅	[5]碗[3]挽[6]万
#ɛn	
p	[1]崩冰分{动词}[3]本{～来}[5][7]本{～子}
pʰ	[2]盆朋彭膨棚瓶[3]□{捧，～水食}[6]饭[5]喷
m	[2]门[3]猛[5]问[6]孟闷梦[7]蚊{～nɛ0：蚊子}
f	[1]婚分芬=纷=丰=冯封=峰=昏-[2]魂浑[3]份[6]混粪=奋
v	[1]温瘟[2]文纹闻[3]稳
t	[1]墩登灯钉蹲=[2]盾[3]等顶[5]凳{椅不说椅，说凳}扽{捣}
tʰ	[1]亲{吻}村[2]存层寻[6]凊{冷}[3]□{煮}[5]寸[7]塍{田}
n	[6]嫩
l	[1]拎{提：～篮子}菱仍=扔=[2]伶{～li21：伶俐，干净}零铃[6]闰
ts	[1]榛曾{姓}增[5]赠
s	[1]孙{孙子；侄子}甥星[3]沈审省[5]圣腥[7]□{～子：油茶，一种长于丘陵的常绿灌木果子，为珍贵油料}
k	[1]跟根庚{年～：同龄人结成的兄弟关系}耕[3]哽[5]更[7]□{谁}
kʰ	[3]恳肯
h	[1]吞厅[2]痕藤行亭[3]很[6]恨
ŋ	[3]□{咬}[6]硬
∅	[1]恩
#iɛn	
p	[1]鞭编边蝙辫[3]扁[5]变辩便{方～}遍[6]别
pʰ	[1]篇偏[2]便{～宜}[5]骗片[6]辨
m	[2]眠[3]免
f	[3]远
v	[2]完丸
t	[1]颠癫{疯}[5]奠=
tʰ	[1]千铅[2]钱全泉[3]浅
n	[2]泥
l	[2]镰帘连联怜莲[6]练恋
tɕ	[1]监针煎专砖捐[3]转{～去：回去；拿～去：拿回去}剪[5]箭溅=
tɕʰ	[1]深{tsuoŋ21ni45～：钻二深，指钻进水里去}川穿{～针}伸-[2]缠传[3]□{次}[5]串[6]旋{头发中心}
ɕ	[1]仙鲜先宣[2]船贤[3]选[5]线献
ȵ	[3]碾捻软[6]愿
k	[1]间肩坚[3]卷[5]剑建眷
kʰ	[1]谦牵圈迁[2]拳权[3]近俭[5]劝[6]歉件健
h	[1]掀天[2]田{～鸡：蛙类，多生活在稻田中，黑褐色，体大，叫声大，可食}闲填悬[3]□{你}显[5]苋[6]电现
∅	[1]掩言=研=烟淹=[2]阎严{姓}延沿[3]演笕[5]艳雁=砚蒸
#uɛn	
t	[5]钝
l	[2]□{ɕio45～：青蛙的一种，活动于山润中，黑褐色，体大善跳，可食}轮[6]论润
ts	[1]尊
s	[3]损
k	[1]睏[3]滚{～水}[5]棍
kʰ	[5]困
h	[1]婚
∅	[1]浑冤[2]元原袁园援[6]怨县{～i21uɛn-214：县医院}[7]县{光泽～}
#yɛn	
ɕ	[2]旋
∅	[2]圆员缘[6]院
#ɔŋ	
p	[1]搬帮[2]膀{kʰie51～：翅膀}[3]绑碰[5]半伴旁
pʰ	[1]藩蜂{～ŋɛ33}[2]盘螃□{桌子}[3]拌[5]判叛[6]胖蚌{～kʰo21：较大的蚌。小的叫“沙壳子”sai21kʰo51tsɿ21}病{胃～}
m	[2]忙芒茫盲=瞒[3]满□{雾}
f	[1]荒慌方芳[2]黄{姓}簧皇蝗妨防[3]纺仿访{～mən45：访问}
t	[1]□{muŋ55～kuan33：芦苇}端当[3]短挡[5]断锻段缎当
tʰ	[1]仓疮[2]团[3]闯铲[5]段[6]状{奖～}撞[7]床
n	[2]瓤浓=[3]暖
l	[1]盪{～tse55koŋ21：漱口}[2]郎廊狼[3]卵[6]乱浪
ts	[1]庄装桩[5]钻壮□{锥，上鞋用}
tsʰ	[2]□{ɔm51～：空气闷}
s	[1]酸闩拴长{动词}霜双山{庐～}新[2]畅{旺～：热闹}卵{蛋}[3]爽磉{柱下石}[5]算蒜
k	[1]官棺刚缸疆光纲扛{抬}甘柑乾{～湿}肝[3]管馆广讲港杆{vei33～-33：禾杆，稻草}敢赶[5]灌罐冠钢降{下～}竿[6]冈虹{天～：彩虹}
kʰ	[1]康糠[2]况[3]款[5]囥{藏}抗旷矿
h	[1]汤{米～}[2]谭长{～衫}寒韩函堂唐塘行{银～}长{形容词}[5]汉[6]行{量词}肠堂{～ŋɛ0：学堂}汗焊[7]糖
∅	[1]安鞍[5]按案
#iɔŋ	
tʰ	[1]枪[2]墙[3]抢匠痒
l	[2]良凉量{动词}粮粱梁[6]两亮谅辆量{名词}
tɕ	[1]张章樟[3]蒋奖长{动词}涨掌[5]酱丈{～夫}仗杖帐账障战[6]丈{hai35～fu0：大丈夫}种{～vei33：种禾，种稻子}[7]□{～tai0：这些}
tɕʰ	[1]昌[2]场常[3]像{动词}厂[5]唱倡[6]丈{一～}状{～态}
ɕ	[1]镶相{互～}箱商伤[2]详祥尝[3]想上{～岭：上山}[5]相{～貌}项藏{宝～}[6]象上{坐～：酒席中坐上座}颂{～fei55：穿火，烤火}
ȵ	[2]娘{阿～：女人，妇女，有贬义}[6]让
k	[1]将姜江
kʰ	[1]腔[2]强
h	[1]湘香乡[2]降{投～}[3]享响[5]向[7]箱
∅	[1]央秧殃扬{～vei33：扬灰，撒灰}[2]祥洋杨烊阳[3]养[6]样[7]影
#uɔŋ	
k	[3]梗赶{～hœ21：赶集}杆{～笔：一杆笔}
∅	[1]汪[2]完顽黄{颜色}亡枉王[3]碗往[6]换晃旺{～sɔŋ33：旺畅，热闹}忘望
#aŋ	
p	[3]榜[5]柄膀{ɕy55～：手膀，胳膊}
pʰ	[6]病
m	[2]明{～tɕiau33：明天}
