#漢字	音標	解釋
丟	tyuu(tiu)	
弡	kotu	
弫	sin	
彵	ta	
彵	i	
徍	ou(wau)	
徖	sou	
徝	ti	
徱	hyou(heu)	
忇	roku	
忋	kai	
忐	tan	
忑	toku	
忪	syou	
忺	ken(kemu)	
您	zin(din)	
您	`nin`	
惢	zui	
慻	ken(kwen)	
戓	ka	
戠	si	
扄	syou(syau)	
扜	u	
抂	ou(wau)	
抬	tai	
挄	kaku(kwaku)	
挄	kou(kwau)	
捸	totu	
掂	ten	
掦	teki	
掭	ten	
掮	ken	
掯	kou	
掽	hou(hau)	
揸	sa	
揹	hai	
搶	syou(syau)	
搾	**sa**	
搿	gou	
摟	rou	
撳	kin	
擤	kou(kau)	
攮	nou(nau)	
斘	syou	
斦	situ	
斳	kin	
斴	rin	
旉	hu	
旲	tai	
旲	`dai`	
昖	en	
昮	syou	
昹	ai	
晀	tyou(teu)	
晆	kei(kwei)	
晑	kyou(kyau)	
晾	ryou(ryau)	
晿	syou(syau)	
暙	syun	
朠	ei	
构	kou	
枱	tai	
柼	you(eu)	
柾	kyuu(kiu)	
栂	bai	
栨	si	
桕	kyuu(kiu)	
棓	hou	
棓	bai	
棵	ka(kwa)	
棽	sin(simu)	
椖	hou(hau)	
椗	tei	
椥	ti	
椦	ken	
椪	pon	
楜	ko	
楦	ken(kwen)	
楦	`kon`	
楻	kou(kwau)	
榀	hin	
榺	syou	
樃	rou(rau)	
樑	ryou(ryau)	
樨	sei	
橱	tyuu	
檰	men	
櫉	tyuu	
欆	sou(sau)	
欟	kan(kwan)	
欫	keki	
歛	ren	
歵	saku	
殾	syun	
毧	zyuu	
毧	`nyuu`	
氉	sou(sau)	
氙	san	
氟	hutu	
氦	kai	
氧	you(yau)	
氨	an	
氬	a	
氮	tan	
汸	hou(hau)	
汻	ko	
沗	ten	
沟	kou	
泏	syou(sehu)	
洀	han	
洀	`ban`	
浗	kyuu(kiu)	
浧	ei	
浧	tyou	
浪	**rou(rau)**	
渀	hon	
渄	hi	
渞	syuu(siu)	
渞	`zyu`	
湶	sen	
溂	ratu	
溴	syuu(siu)	
溿	han	
漛	tou	
潘	han	
潚	syuu(siu)	
澃	kei	
澖	kan	
澖	`ken`	
澵	sin	
濹	boku	
炻	seki	
焏	kyoku	
焏	`ki`	
焏	ki	
焏	zyou	
焸	ei	
煅	tan	
熀	kou(kwau)	
熀	you(ehu)	
熔	you	
熕	kou	
熳	man	
燚	itu	
燜	mon	
燵	tatu	
燸	zyu	
燸	`nyuu`	
燸	dan	
燸	`nan`	
牞	kyuu(kiu)	
牠	ta	
牫	ka	
牱	ka	
犄	ki	
犹	yuu(iu)	
狇	boku	
猄	kei	
猄	`kyou(kyau)`	
猞	sya	
猹	sa	
玵	kan	
珺	kun	
琓	kan(kwan)	
琿	ki	
瑍	kan(kwan)	
瑧	sin	
璮	tan	
瓓	ran	
瓛	etu	
甧	sin	
甩	syutu	
甪	roku	
甾	sai	
畃	syun	
痧	sa	
痧	`sya`	
瘄	so	
瘺	rou	
癁	huku	
癁	`buku`	
癄	syou(seu)	
癄	`zyou(zeu)`	
癋	kaku	
癪	syaku	
眤	zitu(ditu)	
睏	kon	
睬	sai	
瞄	byou(beu)	
瞕	syou(syau)	
瞧	syou(seu)	
瞮	tetu	
瞶	kai(kwai)	
矃	nei	
矃	`tou(tau)`	
砙	ga(gwa)	
砝	hou(hahu)	
砵	hatu	
砷	sin	
硅	kei	
硌	kaku	
硒	sei	
硪	ga	
硺	taku	
碘	ten	
碚	hai	
碬	ka	
碰	hou(hau)	
碱	kan	
碲	tei	
碳	tan	
碻	kou(kau)	
碿	setu	
磓	tui	
磖	rou(rahu)	
礆	ken	
礆	kan	
礭	kaku	
礵	sou	
祄	kai	
祻	ko	
禌	si	
禯	zyou(dyou)	
秚	han	
秚	`ban`	
秡	hatu	
穃	you	
穝	sai	
穪	syou	
窼	ka(kwa)	
竌	syo	
竎	huu	
竧	sin	
竧	sei	
竬	ku	
竻	kin	
竾	ti	
笧	san	
筪	kou(kahu)	
筷	kai(kwai)	
箎	ti	
箥	ha	
箺	syun	
箼	oku(woku)	
篵	sou(sau)	
篶	en	
粏	da	
粷	kiku	
糍	si	
糢	mo	
糢	`bo`	
紦	ha	
綁	hou(hau)	
綋	kou(kwau)	
綗	kei	
綞	tui	
綧	`syun`	
綶	ka(kwa)	
緕	si	
繥	ki	
繧	un	
纃	si	
纐	kou(kau)	
纞	ren	
罡	kou(kau)	
罤	kon	
羏	syou(syau)	
羢	zyuu	
耍	sa	
耍	`sya`	
耟	kyo	
聻	seki	
聻	sen	
肞	sa	
胏	hai	
胒	zi(di)	
胒	`ni`	
胗	syun	
脜	zyuu(ziu)	
脜	`nyuu(niu)`	
腟	titu	
腭	gaku	
腺	**se**	
膛	tou(tau)	
膵	sui	
臫	kyou(keu)	
臰	syuu(siu)	
臱	hen	
臸	sin	
臹	syuu(siu)	
舏	kyuu(kiu)	
舔	ten(temu)	
舔	tan(tamu)	
舙	ka(kwa)	
舙	`wa`	
舢	san	
般	`hatu`	
艉	bi	
艧	waku	
艻	kyoku	
芖	ti	
苐	dai	
苑	utu	
苑	un	
荓	hou(hau)	
荖	rou(rau)	
荖	sa	
荗	`syutu`	
荢	u	
荸	`hotu`	
莀	nou	
莜	yuu(iu)	
萹	hen	
葪	kei	
葪	kai	
蓙	za	
蓚	syuu(siu)	
蓜	hai	
蔂	rui	
蕁	zin	
蕹	you	
蕻	kou	
薾	detu	
藠	kyou(keu)	
藠	`gyou(geu)`	
虠	kou(kau)	
蚝	kou(kau)	
蚝	`gou(gau)`	
蚫	hou(hau)	
蛤	ka	
蛽	bai	
蜔	den	
螅	si	
螅	situ	
蟆	baku	
蟇	baku	
蟎	man	
蟳	zin	
蠘	setu	
衑	rei	
衚	ko	
衠	syun	
袮	ne	
覍	pen	
覥	ten	
覷	syo	
訫	sin	
訯	sa	
誀	ti	
諚	hen	
諿	syo	
譂	tan	
讅	sin	
貇	kon	
賬	tyou(tyau)	
趄	sya	
趐	ketu	
趐	si	
趕	kan	
趟	tou(tau)	
趷	kotu	
跴	sai	
躉	ton	
躺	tou(tau)	
軃	`ta`	
轁	tou(tau)	
轁	kan(kamu)	
迠	syou(sehu)	
迶	yuu(iu)	
逘	gi	
這	sya	
逩	hon	
遛	ryuu(riu)	
遴	rin	
郥	bai	
郥	keki	
鄥	kyou(keu)	
酙	sin(simu)	
酚	hun	
酻	sui	
釓	kyuu(kiu)	
釓	ga	
釔	itu	
釞	tyuu(tihu)	
釷	to	
釹	zyo(dyo)	
鈖	hun	
鈝	in(imu)	
鈣	kai	
鈤	zitu	
鈥	ka(kwa)	
鈦	tai	
鈶	si	
鈶	`zi`	
鈶	tai	
鈾	yuu(iu)	
鉂	si	
鉃	si	
鉃	`zi`	
鉍	situ	
鉘	hutu	
鉙	tai	
鉮	sin	
鉯	i	
鉰	si	
鉵	taku	
鉿	kou(kahu)	
鉿	tou(tahu)	
銈	kei	
銟	sa	
銟	`sya`	
銠	rou(rau)	
銤	bei	
銥	i	
銧	kou(kwau)	
銨	an	
銫	syoku	
銽	katu(kwatu)	
銽	`kati(kwati)`	
鋀	tou	
鋀	`zu(du)`	
鋅	si	
鋅	sin	
鋆	in(win)	
鋆	kin	
鋐	kou(kwau)	
鋨	ga	
鋮	sei	
鋰	ri	
鋷	sai	
鋷	zyou(dehu)	
鋺	wan	
錀	rin	
錂	ryou	
錩	syou(syau)	
錳	mou(mau)	
錴	roku	
錶	hyou(heu)	
錷	ga	
錻	bu	
鍄	ryou(ryau)	
鍐	sou	
鍕	gun	
鍩	ten(temu)	
鍩	daku	
鍶	syou	
鍶	si	
鍺	to	
鍺	sya	
鍽	hen	
鎀	syuu(siu)	
鎂	bi	
鎈	sa	
鎘	kaku	
鎫	kan(kamu)	
鎴	soku	
鎵	ka	
鎶	ka	
鏱	syou(syau)	
鐟	san(samu)	
鐟	tai	
鐱	ken(kemu)	
鐽	tatu	
鐿	i	
鑜	syou(syau)	
鑯	sen(semu)	
閂	san	
閄	kaku(kwaku)	
閄	sen(semu)	
閖	rou(rau)	
閞	kan(kwan)	
闆	han	
闆	`hen`	
闝	hyou(heu)	
闦	gon	
陏	da	
陏	zui	
雟	syun	
靕	sin	
鞕	kou(kau)	
鞕	hen	
韑	i(wi)	
韷	raku	
頓	totu	
頙	saku	
颱	tai	
颷	hyou(heu)	
飡	san	
飧	san	
飱	san	
餇	tou	
餟	setu	
餵	i(wi)	
饂	un	
馟	to	
騳	toku	
髛	kou(kau)	
髺	getu	
鬁	ri	
鬎	ratu	
魣	yo	
魷	yuu(iu)	
鮄	hutu	
鮔	kyo	
鮰	kai(kwai)	
鮼	sin(simu)	
鯰	nen	
鰏	hyoku	
鰙	zyaku	
鱃	syuu(siu)	
鱆	syou(syau)	
鱇	kou	
鱜	kyou(kyau)	
鱞	kan(kwan)	
鱫	ai	
鵢	sin	
鵣	tyoku	
鶆	tyoku	
鶓	byou(beu)	
鶲	ou(wou)	
鷠	gyo	
黆	kou(kwau)	
齣	seki	
龑	en	
