IPA	调值	调类	Hanzi
pi	52	5	币必毕闭避辟碧臂壁
pin	32	1	宾彬斌缤濒
pin	52	5	摈（~除）殡鬓
piŋ	212	3	丙秉饼禀
piŋ	32	1	冰兵
piŋ	52	5	并病摒
piɔ	212	3	表裱
piɔ	32	1	标彪镖
piɔ	52	5	摽（~住）
piɛ	24	2	别（~人）
piɛ	32	1	憋鳖
piɛ	52	5	别（~扭）
piɛn	212	3	贬扁边匾
piɛn	32	1	边编鞭
piɛn	52	5	卞变便遍辨辩辫
pu	212	3	补捕哺
pæ	212	3	百柏摆
pæ	24	2	白拜
pæ	32	1	掰
pæ	52	5	败拜（~别）
pɔ	212	3	饱宝保堡
pɔ	24	2	雹薄
pɔ	32	1	包苞胞剥煲褒
pɔ	52	5	报刨抱豹暴曝爆
pə	212	3	簸（~箩）
pə	24	2	膊薄泊柏搏铂舶脖博
pə	32	1	拨波玻剥菠播
pə	52	5	薄（~荷）簸箕
pən	212	3	本
pən	32	1	奔
pən	52	5	奔（~头儿）笨
pəŋ	212	3	绷（~脸）
pəŋ	24	2	甭（~管）
pəŋ	32	1	崩绷（~带）
pəŋ	52	5	泵迸蹦
pʰan	24	2	胖盘磐槃蹒蟠
pʰan	32	1	扳潘攀
pʰan	52	5	判盼叛畔
pʰei	24	2	陪培赔
pʰei	32	1	胚
pʰei	52	5	沛配
pʰi	212	3	匹否痞劈癖
pʰi	24	2	皮枇毗蚍疲啤琵脾貔
pʰi	32	1	丕批坯披砒辟劈噼霹
pʰi	52	5	屁睥辟媲僻譬
pʰin	212	3	品聘
pʰin	24	2	贫频嫔颦
pʰin	32	1	拼姘
pʰiŋ	24	2	平冯评苹凭屏瓶萍
pʰiŋ	32	1	乒
pʰiɔ	32	1	殍漂
pʰiɔ	24	2	朴嫖瓢
pʰiɔ	52	5	票漂骠
pʰiɛ	212	3	撇（~嘴）
pʰiɛ	32	1	撇瞥
pʰiɛn	24	2	便骈蹁
pʰiɛn	32	1	片扁偏篇翩
pʰiɛn	52	5	片骗
pʰu	212	3	朴圃普浦谱
pʰu	24	2	仆匍蒲菩脯葡璞濮
pʰu	32	1	仆扑铺噗
pʰu	52	5	铺堡暴瀑曝
pʰæ	212	3	迫（~击炮）
pʰæ	24	2	排徘牌
pʰæ	32	1	拍
pʰæ	52	5	派湃
pʰɑŋ	24	2	彷庞旁膀磅
pʰɑŋ	32	1	滂
pʰɑŋ	52	5	胖
pʰɔ	212	3	跑
pʰɔ	24	2	刨咆狍庖炮袍
pʰɔ	52	5	泡炮疱
pʰə	212	3	叵
pʰə	24	2	婆
pʰə	32	1	坡陂泼颇
