汉字	音标	注释
遇	ʯ5	
吁	/	
迂	ʯ1	
于	ʯ1	
雨	ʯ3	
芋	ʯ5	
榆	ʯ1	
愈	ʯ3	
裕	ʯ5	
呆	tɛ1	
戴	ta5	
胎	tʰɛ1	
态	tʰa5	
贷	dɛ5	
台	dɛ2	
待	dɛ3	
代	dɛ5	
乃	lɛ3	
耐	lɛ5	
来	lɛ1	
栽	tsɛ1	
宰	tsɛ3	
再	tsɛ5	
猜	tsʰɛ1	
彩	tsʰɛ3	
菜	tsʰɛ5	
才	hzɛ2	
在	hzɛ3	
鳃	sɛ1	
赛	sɛ5	
该	kɛ1	
改	kɛ3	
概	kɛ5	
开	kʰɛ1	
凯	kʰɛ3	
慨	kʰɛ5	
碍	ŋɛ5	
海	xɛ3	
孩	/	
亥	ɣɛ3	
哀	ŋɛ1	
爱	ŋɛ5	
贝	pe5	
沛	pʰe5	
带	ta5	
太	tʰa5	
奈	la5	
赖	la5	
蔡	tsʰɛ5	
盖	kɛ5	
艾	ŋa5	
害	ɣɛ5	
蔼	ŋɛ5	
拜	pa5	
排	ba2	
埋	ma1	
斋	tsa1	
豺	hza2	
皆	ka1	
戒	ka5	
揩	kʰa1	
楷	kʰa3	
谐	/	
械	ka5	
挨	ŋa1	
摆	pa3	
派	pʰɛ5	
牌	ba2	
罢	bo3	
稗	/	
买	ma3	
卖	ma5	
奶	nɛ3	
债	tsa5	
钗	tsʰa1	
柴	hza2	
筛	sa1	
洒	sa3	
晒	so5	
街	ka1	
解	ka3	
捱	ŋa1	
鞋	ɣa2	
蟹	ɣa3	
矮	ŋa3	
隘	ŋa5	
败	ba5	
蔽	pi5	
币	bi5	
例	ȵi5	
祭	tɕi5	
制	tsɿ5	
世	sɿ5	
誓	sɿ5	
艺	ȵi5	
蓖	pi1	
闭	pi5	
批	pʰi1	
迷	mi1	
米	mi3	
谜	məŋ5	
低	ti1	
底	ti3	
帝	ti5	
梯	tʰɛ1	
体	tʰi3	
替	tʰi5	
题	di2	
弟	di3	
第	di5	
泥	ȵi1	
犁	ȵi1	
礼	ȵi3	
丽	ȵi5	
挤	tsɿ3	
济	tsɿ5	
妻	tsʰɿ1	
砌	tsʰɿ5	
齐	hzɿ2	
荠	hzɿ3	
剂	hzɿ5	
西	sɿ1	
洗	sɿ3	
细	sɿ5	
鸡	tsɿ1	
计	tsɿ5	
溪	tsʰɿ1	
启	tsʰɿ3	
契	tsʰɿ5	
倪	ȵi1	
系	hzɿ5	
杯	pɛ1	
辈	pɛ5	
坯	pʰɛ1	
配	pʰɛ5	
培	bɛ2	
倍	bɛ3	
背	bɛ5	
梅	mɛ1	
每	mɛ3	
妹	mɛ5	
堆	tɛ1	
对	tɛ5	
推	tʰɛ1	
腿	tʰɛ3	
退	tʰɛ5	
队	tɛ5	
内	le5	
雷	le1	
儡	le3	
累	le5	
催	tsʰe1	
罪	hze3	
碎	se5	
魁	kʰui1	
傀	kʰui3	
块	kʰuɛ5	
灰	xuɛ1	
贿	xuɛ3	
晦	xuɛ5	
回	ɣuɛ2	
汇	ɣuɛ3	
煨	/	
兑	tɛ5	
最	tse5	
会	kʰua5	
外	ŋa5	
会	ɣuɛ5	
乖	kua1	
怪	kua5	
蒯	/	
槐	ɣuɛ2	
坏	pʰɛ1	
歪	ua1	
拐	kuɛ3	
卦	/	
画	uo5	
筷	kʰua5	
话	uo5	
脆	tsʰe5	
岁	se5	
税	se5	
芮	/	
鳜	kui5	
卫	ui5	
废	xui5	
肺	xui5	
闺	kui1	
桂	kui5	
惠	ɣui5	
碑	pɛ1	
彼	pi3	
臂	pi5	
披	pʰi1	
譬	pʰi5	
皮	bi2	
避	bi5	
弥	mi1	
靡	mi3	
篱	ȵi1	
离	ȵi5	
紫	tsɿ3	
雌	tsʰɿ1	
此	tsʰɿ3	
刺	tsʰɿ5	
疵	hzɿ2	
撕	sɿ1	
赐	tsʰɿ5	
知	tsɿ1	
智	tsɿ5	
池	hzɿ2	
差	tsʰɿ1	
支	tsɿ1	
纸	tsɿ3	
侈	tsʰɿ3	
舐	hzɿ3	
施	sɿ1	
匙	hzɿ2	
是	hzɿ3	
儿	ər1	
尔	ər3	
寄	tsɿ5	
企	tsʰɿ3	
骑	hzɿ2	
技	hzɿ5	
宜	ȵi1	
蚁	ȵi3	
义	ȵi5	
牺	sɿ1	
戏	sɿ5	
椅	i3	
移	i1	
易	i5	
悲	pe1	
比	pi3	
庇	pi5	
秘	pi5	
丕	pʰi1	
屁	pʰi5	
枇	bi2	
鼻	bi5	
篦	bi5	
备	pe5	
眉	mi1	
霉	me1	
美	me3	
地	di5	
尼	ȵi1	
梨	ȵi1	
履	ȵi3	
利	ȵi5	
资	tsɿ1	
姊	tsɿ3	
次	tsʰɿ5	
瓷	hzɿ2	
自	hzɿ5	
私	sɿ1	
死	sɿ3	
四	sɿ5	
致	tsɿ5	
迟	hzɿ2	
雉	tsɿ3	
稚	tsɿ5	
师	sɿ1	
脂	tsɿ1	
指	tsɿ3	
至	tsɿ5	
示	hzɿ5	
尸	sɿ1	
屎	sɿ3	
视	hzɿ5	
二	ər5	
肌	tsɿ1	
几	tsɿ3	
冀	tsɿ5	
器	tsʰɿ5	
祁	hzɿ2	
伊	i1	
姨	i1	
肄	i5	
你	n̩2	
狸	ȵi1	
李	ȵi3	
吏	ȵi5	
滋	tsɿ1	
子	tsɿ3	
慈	hzɿ2	
字	hzɿ5	
丝	sɿ1	
伺	sɿ5	
词	hzɿ2	
祀	hzɿ3	
寺	hzɿ5	
置	tsɿ5	
痴	tsʰɿ1	
耻	tsʰɿ3	
持	hzɿ2	
痔	hzɿ3	
治	tsɿ5	
辎	tsɿ1	
滓	tsɿ3	
柿	hzɿ3	
事	hzɿ5	
史	sɿ3	
之	tsɿ1	
止	tsɿ3	
志	tsɿ5	
嗤	tsʰɿ1	
齿	tsʰɿ3	
诗	sɿ1	
始	sɿ3	
试	sɿ5	
时	hzɿ2	
市	hzɿ3	
侍	hzɿ5	
而	ər1	
耳	ər3	
饵	ər5	
基	tsɿ1	
纪	tsɿ3	
记	tsɿ5	
欺	tsʰɿ1	
起	tsʰɿ3	
期	hzɿ2	
忌	hzɿ5	
疑	ȵi1	
拟	ȵi3	
嬉	sɿ1	
熙	sɿ1	
喜	sɿ3	
医	i1	
意	i5	
矣	i3	
饴	i1	
以	i3	
异	i5	
机	tsɿ1	
几	tsɿ3	
既	tsɿ5	
岂	tsʰɿ3	
气	tsʰɿ5	
祈	hzɿ2	
毅	ȵi5	
稀	sɿ1	
衣	i1	
累	le3	
累	le5	
嘴	tse3	
髓	se3	
随	hze2	
吹	tsʰe1	
垂	hze2	
睡	hze5	
规	kui1	
诡	kui3	
亏	kʰui1	
跪	kʰui3	
危	ui1	
伪	ui5	
毁	xui3	
委	ui3	
喂	ui5	
为	ui1	
为	ui5	
垒	le3	
类	le5	
泪	le5	
醉	tse5	
翠	tsʰe5	
虽	se1	
粹	se5	
遂	hze5	
追	tse1	
槌	hze2	
坠	hze5	
摔	suɛ1	
帅	suɛ5	
锥	tse1	
水	se3	
龟	kui1	
轨	kui3	
愧	kʰui5	
季	tsɿ5	
葵	ɣui2	
柜	ɣui5	
位	ui5	
维	ui1	
遗	i1	
唯	ui3	
非	xui1	
匪	xui3	
痱	xui5	
妃	xui1	
费	xui5	
肥	ɣui2	
翡	ɣui5	
微	ui1	
尾	ui3	
味	ui5	
归	kui1	
鬼	kui3	
贵	kui5	
魏	ui5	
挥	xui1	
讳	xui5	
威	ui1	
慰	ui5	
围	ui1	
苇	ui3	
胃	ui5	
褒	pɔ1	
保	pɔ3	
报	pɔ5	
袍	bɔ2	
抱	bɔ3	
暴	bɔ5	
毛	mɔ1	
冒	mɔ5	
刀	tɔ1	
岛	tɔ3	
到	tɔ5	
掏	tʰɔ1	
讨	tʰɔ3	
套	tʰɔ5	
桃	dɔ2	
稻	dɔ3	
盗	dɔ5	
脑	lɔ3	
劳	lɔ1	
老	lɔ3	
涝	lɔ5	
遭	tsɔ1	
早	tsɔ3	
灶	tsɔ5	
操	tsʰɔ1	
草	tsʰɔ3	
糙	tsʰɔ5	
曹	hzɔ2	
造	hzɔ3	
臊	sɔ1	
嫂	sɔ3	
扫	sɔ5	
高	kɔ1	
稿	kɔ3	
告	kɔ5	
考	kʰɔ3	
靠	kʰɔ5	
熬	ŋɔ1	
傲	ŋɔ5	
蒿	xɔ1	
好	xɔ3	
豪	ɣɔ2	
浩	ɣɔ3	
号	ɣɔ5	
袄	ŋɔ5	
懊	ŋɔ5	
包	pɔ1	
饱	pɔ3	
爆	pɔ5	
抛	pʰɔ1	
炮	pʰɔ5	
跑	pʰɔ3	
鲍	bɔ3	
炮	pʰɔ5	
茅	mɔ1	
猫	/	
卯	mɔ3	
貌	mɔ5	
挠	lɔ1	
闹	lɔ5	
罩	tsɔ5	
抓	tso1	
爪	/	
找	/	
笊	tsɔ5	
抄	tsʰɔ1	
吵	tsʰɔ3	
巢	hzɔ2	
捎	sɔ1	
稍	sɔ5	
交	kɔ1	
教	kɔ1	
狡	tɕiɔ3	
搞	kɔ3	
教	tɕiɔ5	
酵	kɔ5	
窖	kɔ5	
觉	kɔ5	
敲	kʰɔ1	
巧	tɕʰiɔ3	
咬	ŋɔ3	
孝	ɕiɔ5	
淆	hʑiɔ2	
校	hʑiɔ5	
标	piɔ1	
表	piɔ3	
飘	pʰiɔ1	
漂	pʰiɔ3	
票	pʰiɔ5	
瓢	biɔ2	
苗	miɔ1	
猫	miɔ1	
秒	miɔ3	
庙	miɔ5	
燎	ȵiɔ1	
疗	ȵiɔ5	
焦	tɕiɔ1	
锹	tɕʰiɔ1	
悄	tɕʰiɔ3	
俏	tɕʰiɔ5	
瞧	/	
消	ɕiɔ1	
小	ɕiɔ3	
笑	ɕiɔ5	
朝	tɕiɔ1	
超	tɕʰiɔ1	
潮	hʑiɔ2	
赵	hʑiɔ3	
兆	hʑiɔ3	
召	/	
招	tɕiɔ1	
照	tɕiɔ5	
烧	ɕiɔ1	
少	ɕiɔ3	
少	ɕiɔ5	
绍	hʑiɔ3	
邵	hʑiɔ5	
饶	/	
绕	ȵiɔ5	
娇	tɕiɔ1	
矫	tɕiɔ3	
桥	hʑiɔ2	
轿	hʑiɔ5	
腰	iɔ1	
要	iɔ5	
摇	iɔ1	
舀	iɔ3	
耀	iɔ5	
刁	tiɔ1	
鸟	ȵiɔ3	
钓	tiɔ5	
挑	tʰiɔ1	
跳	tʰiɔ5	
条	diɔ2	
调	diɔ5	
掉	tiɔ5	
尿	ȵiɔ5	
聊	ȵiɔ1	
了	ȵiɔ3	
料	ȵiɔ5	
箫	ɕiɔ1	
浇	tɕiɔ1	
侥	tɕiɔ3	
叫	tɕiɔ5	
窍	tɕʰiɔ5	
尧	iɔ1	
晓	ɕiɔ3	
幺	iɔ1	
某	/	
亩	məu3	
母	məu3	
牡	məu3	
贸	məu5	
兜	tiu1	
抖	tiu3	
斗	tiu5	
偷	tʰiu1	
透	tʰiu5	
头	diu2	
豆	diu5	
楼	ȵiu1	
篓	ȵiu3	
漏	ȵʮ5	
走	/	
奏	tɕiu5	
凑	tɕʰiu5	
嗽	sɔ5	
钩	kiu1	
狗	kiu3	
够	kiu5	
彀	uo5	
抠	kʰiu1	
口	kʰiu3	
扣	kʰiu5	
藕	ŋiu3	
偶	ŋiu5	
吼	xiu3	
猴	ɣiu2	
厚	ɣiu3	
候	ɣiu5	
瓯	ŋiu1	
呕	ŋiu3	
怄	ŋiu5	
富	xu5	
副	xu5	
浮	hvu2	
妇	hvu3	
复	hvu5	
谋	məu1	
矛	mɔ1	
纽	ȵiu3	
流	ȵiu1	
柳	ȵiu3	
溜	ȵiu5	
廖	ȵiɔ5	
揪	tɕiu1	
酒	tɕiu3	
秋	tɕʰiu1	
就	hʑiu5	
修	ɕiu1	
锈	ɕiu5	
囚	hʑiu2	
袖	hʑiu5	
肘	tɕiu3	
昼	tɕiu5	
抽	tɕʰiu1	
丑	tɕʰiu3	
绸	hʑiu2	
皱	tɕiu5	
愁	hʑiu2	
馊	ɕiu1	
瘦	ɕiu5	
漱	siu5	
周	tɕiu1	
帚	tɕiu3	
咒	tɕiu5	
丑	tɕʰiu3	
臭	tɕʰiu5	
收	ɕiu1	
手	ɕiu3	
兽	ɕiu5	
仇	hʑiu2	
受	hʑiu3	
寿	hʑiu5	
柔	ȵiu1	
阄	tɕiu1	
九	tɕiu3	
救	tɕiu5	
丘	tɕʰiu1	
求	hʑiu2	
舅	hʑiu3	
旧	hʑiu5	
牛	ȵiu1	
休	ɕiu1	
朽	ɕiu3	
优	iu1	
邮	iu1	
有	iu3	
又	iu5	
油	iu1	
酉	iu3	
釉	iu5	
彪	piɔ1	
丢	/	
纠	tɕiu3	
幽	iu1	
幼	iu5	
耽	tɛ1	
贪	tʰɛ1	
探	tʰɛ5	
潭	dɛ2	
男	lɛ1	
簪	tsɛ1	
参	tsʰɛ1	
惨	tsʰɛ3	
蚕	hzɛ2	
感	kɛ3	
龛	kʰɛ1	
坎	kʰɛ3	
勘	kʰɛ5	
含	ɣan2	
撼	ɣan3	
憾	ɣan5	
庵	ŋɛ1	
暗	ŋɛ5	
担	tan1	
胆	tan3	
担	tan5	
坍	tʰan1	
毯	tʰan3	
谈	dan2	
淡	dan3	
篮	lan1	
览	lan3	
滥	lan5	
惭	hzan2	
暂	hzan5	
三	san1	
甘	kɛ1	
敢	kɛ3	
憨	xan1	
喊	xan3	
酣	ɣan2	
站	tsɛ5	
赚	hzɛ5	
站	hzɛ5	
斩	tsɛ3	
蘸	tsɛ5	
馋	hzan2	
杉	san1	
尴	kan1	
减	tɕiɛ3	
碱	kan3	
咸	ɣan2	
搀	tsʰan1	
衫	san1	
监	tɕiɛ1	
衔	ɣan2	
舰	tɕiɛ5	
贬	piɛ3	
黏	ȵiɛ1	
帘	ȵiɛ1	
敛	ȵiɛ3	
殓	ȵiɛ5	
尖	tɕiɛ1	
签	tɕʰiɛ1	
渐	hʑiɛ3	
瞻	tsɛ1	
占	tsɛ5	
陕	sɛ3	
闪	/	
染	yɛ3	
检	tɕiɛ3	
脸	/	
钳	hʑiɛ2	
俭	hʑiɛ3	
验	ȵiɛ5	
险	ɕiɛ3	
淹	ŋan1	
掩	iɛ3	
厌	iɛ5	
炎	iɛ1	
盐	iɛ1	
艳	iɛ5	
剑	tɕiɛ5	
严	iɛ1	
酽	ȵiɛ5	
掂	tiɛ1	
点	tiɛ3	
店	tiɛ5	
添	tʰiɛ1	
舔	tʰiɛ3	
甜	diɛ2	
簟	diɛ3	
鲇	ȵiɛ1	
念	ȵiɛ5	
兼	tɕiɛ1	
谦	tɕʰiɛ1	
嫌	hʑiɛ2	
凡	hvan2	
范	hvan3	
禀	pin3	
品	pʰin3	
赁	ȵin5	
林	ȵin1	
檩	ȵin3	
浸	tɕin5	
侵	tɕʰin1	
寝	tɕʰin3	
心	ɕin1	
寻	hʑin2	
沉	hʑin2	
森	səŋ1	
渗	səŋ5	
针	tɕin1	
枕	tɕin3	
深	ɕin1	
沈	hʑin2	
任	/	
任	ȵin5	
今	kəŋ1	
金	tɕin1	
锦	tɕin3	
禁	tɕin5	
钦	tɕʰin1	
琴	hʑin2	
音	in1	
饮	in3	
荫	in5	
淫	in1	
单	tan1	
掸	tan3	
旦	tan5	
滩	tʰan1	
坦	tʰan3	
炭	tʰan5	
坛	dan2	
蛋	dan5	
难	lan1	
难	lan5	
兰	lan1	
懒	lan3	
烂	lan5	
赞	tsan5	
餐	tsʰan1	
灿	tsʰan5	
残	hzan2	
伞	san3	
散	san5	
肝	kɛ1	
赶	kɛ3	
干	kɛ5	
刊	kʰɛ1	
看	kʰɛ5	
岸	ŋɛ5	
汉	xɛ5	
寒	ɣɛ2	
旱	ɣɛ3	
汗	ɣɛ5	
安	ŋɛ1	
按	ŋɛ5	
扮	pan5	
盼	pʰan5	
办	ban5	
盏	tsan3	
铲	tsʰan3	
山	san1	
产	tsʰan3	
间	kan1	
简	tɕiɛ3	
眼	ŋan3	
闲	kan1	
限	ɣan3	
苋	ɣan5	
班	pan1	
板	pan3	
攀	pʰan1	
襻	pʰan5	
蛮	man1	
慢	man5	
删	san1	
奸	tɕiɛ1	
谏	tɕiɛ3	
颜	ŋan1	
雁	ŋan5	
晏	ŋɛ5	
鞭	piɛ1	
变	piɛ5	
偏	pʰiɛ1	
骗	pʰiɛ5	
便	biɛ2	
辨	biɛ3	
便	biɛ5	
棉	miɛ2	
免	miɛ3	
面	miɛ5	
碾	ȵiɛ3	
连	ȵiɛ3	
煎	tɕiɛ1	
剪	tɕiɛ3	
箭	tɕiɛ5	
迁	tɕʰiɛ1	
浅	tɕʰiɛ3	
钱	hʑiɛ2	
贱	hʑiɛ5	
仙	ɕiɛ1	
鲜	ɕiɛ1	
癣	ɕiɛ3	
线	ɕiɛ5	
羡	hʑiɛ5	
展	tsɛ3	
缠	hzan2	
毡	tsɛ1	
战	tsɛ5	
扇	sɛ5	
善	hʑʯɛ3	
然	/	
遣	tɕʰiɛ3	
乾	hʑiɛ2	
件	hʑiɛ3	
延	iɛ1	
演	iɛ3	
犍	tɕiɛ1	
建	tɕiɛ5	
键	tɕiɛ3	
健	tɕiɛ5	
言	ȵiɛ1	
献	ɕiɛ5	
边	piɛ1	
扁	piɛ3	
遍	piɛ5	
片	pʰiɛ5	
辫	biɛ3	
眠	miɛ1	
面	miɛ5	
颠	tiɛ1	
典	tiɛ3	
天	tʰiɛ1	
腆	tʰiɛ3	
田	diɛ2	
电	diɛ5	
年	ȵiɛ1	
撵	ȵiɛ3	
莲	ȵiɛ1	
练	ȵiɛ5	
笺	tɕiɛ1	
千	tɕʰiɛ1	
前	hʑiɛ2	
先	ɕiɛ1	
肩	tɕiɛ1	
茧	tɕiɛ3	
见	tɕiɛ5	
牵	tɕʰiɛ1	
研	ȵiɛ1	
砚	ȵiɛ1	
显	ɕiɛ3	
贤	hʑiɛ2	
烟	iɛ1	
燕	iɛ5	
搬	pɛ1	
半	pɛ5	
绊	pʰan5	
潘	pʰan1	
拼	pʰin1	
判	pʰan5	
盘	bɛ2	
伴	bɛ3	
叛	pʰan5	
瞒	man1	
满	mɛ3	
端	tɛ1	
短	tɛ3	
锻	tɛ5	
团	dɛ2	
断	dɛ3	
段	dɛ5	
暖	lɛ3	
卵	lɛ3	
乱	lɛ5	
钻	tsɛ1	
纂	tsɛ3	
钻	tsɛ5	
汆	tsʰɛ1	
窜	tsʰɛ5	
酸	sɛ1	
算	sɛ5	
官	kuɛ1	
管	kuɛ3	
罐	kuɛ5	
宽	kʰui1	
款	kʰuɛ3	
玩	uɛ5	
欢	xuɛ1	
唤	xuɛ5	
完	uɛ2	
皖	uɛ3	
换	uɛ5	
豌	uɛ1	
碗	uɛ3	
鳏	kuɛ1	
玩	/	
幻	ɣuɛ5	
篡	tɕʰʯɛ5	
闩	ɕʯɛ1	
关	kuan1	
惯	kuan5	
还	uan2	还原
还	ɣa2	还有
患	ɣuan5	
弯	uan1	
全	hʑʯɛ2	
宣	ɕʯɛ1	
选	ɕʯɛ3	
旋	hʑʯɛ2	
转	tɕʯɛ3	
转	tɕʯɛ5	
传	hʑʯɛ2	
篆	hʑʯɛ3	
传	hʑʯɛ5	
砖	tɕʯɛ1	
穿	tɕʰʯɛ1	
喘	tɕʰʯɛ3	
串	tɕʰʯɛ5	
船	hʑʯɛ2	
软	ȵiɛ3	
卷	tɕʯɛ3	
卷	tɕʯɛ5	
圈	tɕʰʯɛ1	
权	hʑʯɛ2	
圆	ʯɛ1	
院	ʯɛ5	
缘	ʯɛ1	
铅	kʰan1	
沿	/	
捐	tɕʯɛ1	
藩	xuan1	
反	xuan3	
贩	xuan5	
翻	xuan1	
烦	hvan2	
矾	hvan2	
饭	hvan5	
晚	man3	
万	uan5	
劝	tɕʰʯɛ5	
元	ʯɛ1	
阮	/	
愿	ʯɛ5	
喧	ɕʯɛ1	
楦	ɕʯɛ5	
冤	ʯɛ1	
怨	ʯɛ5	
园	ʯɛ1	
远	ʯɛ3	
犬	tɕʰʯɛ3	
悬	hʑʯɛ2	
县	hʑʯɛ2	
渊	ʯɛ1	
吞	/	
跟	kəŋ1	
垦	kʰəŋ3	
痕	ɣəŋ2	
很	ɣəŋ3	
恨	ɣəŋ5	
恩	ŋəŋ1	
彬	pin1	
鬓	pin5	
贫	bin2	
民	min1	
敏	min3	
邻	ȵin1	
吝	ȵin5	
津	tɕin1	
尽	tɕin3	
进	tɕin5	
晋	tɕin5	
亲	tɕʰin1	
亲	tɕʰin5	
秦	hʑin2	
尽	hʑin3	
新	ɕin1	
信	ɕin5	
珍	tɕin1	
镇	tɕin5	
趁	tɕʰin5	
陈	hʑin2	
阵	hʑin5	
衬	tsʰəŋ5	
真	tɕin1	
疹	tɕin3	
震	tɕin5	
神	hʑin2	
身	ɕin1	
臣	hʑin2	
人	ȵin1	
忍	ȵin3	
认	ȵin5	
巾	tɕin1	
紧	tɕin3	
银	ȵin1	
因	in1	
印	in5	
寅	in1	
引	in3	
斤	tɕin1	
谨	tɕin3	
劲	tɕin5	
勤	hʑin2	
近	hʑin3	
欣	ɕin1	
殷	in1	
隐	in3	
奔	pəŋ1	
本	pəŋ3	
奔	pəŋ5	
喷	pʰəŋ1	
喷	pʰəŋ5	
盆	bəŋ2	
笨	/	
门	məŋ1	
闷	məŋ5	
墩	təŋ1	
顿	təŋ5	
饨	/	
盾	təŋ5	
嫩	ləŋ5	
论	ləŋ1	
论	ləŋ1	
尊	tsəŋ1	
村	tsʰəŋ1	
寸	tsʰəŋ5	
存	hzəŋ2	
蹲	təŋ1	
孙	səŋ1	
损	səŋ3	
昆	kʰuŋ1	
滚	kuŋ3	
棍	kuŋ5	
坤	kʰuŋ1	
捆	kʰuŋ3	
困	kʰuŋ5	
婚	xuŋ1	
魂	ɣuŋ2	
混	ɣuŋ3	
温	əŋ1	
稳	əŋ3	
伦	ləŋ1	
遵	tsəŋ1	
俊	/	
皴	tsʰəŋ1	
荀	/	
笋	ɕin3	
迅	/	
巡	/	
椿	tsʰəŋ1	
肫	/	
准	tɕʯn3	
春	tɕʰʯn1	
蠢	tɕʰʯn3	
唇	hʑʯn2	
顺	hʑʯn5	
舜	ɕʯn5	
纯	hʑʯn2	
润	ʯn5	
均	tɕʯn1	
菌	tɕʯn5	
匀	ʯn1	
允	ʯn3	
分	xuŋ1	
粉	xuŋ3	
粪	xuŋ5	
芬	xuŋ1	
坟	hvəŋ2	
愤	/	
份	hvəŋ5	
文	uŋ1	
蚊	məŋ1	
问	uŋ5	
军	tɕʯn1	
群	hʑʯn2	
裙	hʑʯn2	
熏	ɕʯn1	
荤	xuŋ1	
训	ɕʯn5	
熨	ʯn5	
云	ʯn1	
运	ʯn5	
帮	pœ1	
榜	pœ3	
谤	pœ5	
滂	pʰœ1	
旁	bœ2	
忙	mœ1	
莽	mœ3	
当	tœ1	
党	tœ3	
当	tœ5	
汤	tʰœ1	
躺	tʰœ3	
趟	tʰœ5	
堂	dœ2	
荡	dœ3	
宕	dœ5	
狼	lœ1	
朗	lœ3	
浪	lœ5	
脏	tsœ1	
葬	tsœ5	
苍	tsʰœ1	
脏	hzœ5	
桑	sœ1	
嗓	sœ3	
丧	sœ5	
缸	kœ1	
杠	kœ5	
康	kʰœ1	
慷	kʰœ3	
抗	kʰœ5	
杭	ɣœ2	
娘	ȵiœ1	
酿	ȵiœ5	
粮	ȵiœ1	
两	ȵiœ3	斤两
两	nɛ3	两个
亮	ȵiœ5	
将	tɕiœ1	
奖	tɕiœ3	
酱	tɕiœ5	
枪	tɕʰiœ1	
抢	tɕʰiœ3	
墙	hʑiœ2	
