繁體	简体	吳拼	備注
篩	筛	sɿ⁵¹	動詞
施	施	sɿ⁵¹	
私	私	sɿ⁵¹	
師	师	sɿ⁵¹	
獅	狮	sɿ⁵¹	
屍	尸	sɿ⁵¹	
尸	尸	sɿ⁵¹	
司	司	sɿ⁵¹	
絲	丝	sɿ⁵¹	
思	思	sɿ⁵¹	
詩	诗	sɿ⁵¹	
篩	筛	sɿ³⁴	名詞
矢	矢	sɿ³⁴	
屎	屎	sɿ³⁴	
使	使	sɿ³⁴	
史	史	sɿ³⁴	
駛	驶	sɿ³⁴	
始	始	sɿ³⁴	
四	四	sɿ⁴⁴	
肆	肆	sɿ⁴⁴	
伺	伺	sɿ⁴⁴	
試	试	sɿ⁴⁴	
鋤	锄	zɿ²²	名詞
匙	匙	zɿ²²	鑰匙
是	是	zɿ²²	
氏	氏	zɿ²²	
豉	豉	zɿ²²	
時	时	zɿ²²	
鰣	鲥	zɿ²²	
誓	誓	zɿ¹³	
逝	逝	zɿ¹³	
自	自	zɿ¹³	文讀
示	示	zɿ¹³	
視	视	zɿ¹³	
嗜	嗜	zɿ¹³	
字	字	zɿ¹³	
似	似	zɿ¹³	
祀	祀	zɿ¹³	
巳	巳	zɿ¹³	
寺	寺	zɿ¹³	
嗣	嗣	zɿ¹³	
飼	饲	zɿ¹³	
士	士	zɿ¹³	
仕	仕	zɿ¹³	
柿	柿	zɿ¹³	
俟	俟	zɿ¹³	
事	事	zɿ¹³	
市	市	zɿ¹³	
恃	恃	zɿ¹³	
侍	侍	zɿ¹³	
諸	诸	tsʮ⁵¹	
誅	诛	tsʮ⁵¹	
蛛	蛛	tsʮ⁵¹	
株	株	tsʮ⁵¹	
朱	朱	tsʮ⁵¹	
硃	硃	tsʮ⁵¹	
珠	珠	tsʮ⁵¹	
知	知	tsʮ⁵¹	
蜘	蜘	tsʮ⁵¹	
支	支	tsʮ⁵¹	
枝	枝	tsʮ⁵¹	量詞
豬	猪	tsʮ³⁴	
拄	拄	tsʮ³⁴	拄柺杖
主	主	tsʮ³⁴	
嘴	嘴	tsʮ³⁴	
著	著	tsʮ⁴⁴	顯著
注	注	tsʮ⁴⁴	
蛀	蛀	tsʮ⁴⁴	
鑄	铸	tsʮ⁴⁴	
制	制	tsʮ⁴⁴	
製	製	tsʮ⁴⁴	
智	智	tsʮ⁴⁴	
置	置	tsʮ⁴⁴	
趨	趋	tsʰʮ⁵¹	
癡	痴	tsʰʮ⁵¹	
吹	吹	tsʰʮ⁵¹	白讀
褚	褚	tsʰʮ³⁴	姓
處	处	tsʰʮ³⁴	相處
杵	杵	tsʰʮ³⁴	
鼠	鼠	tsʰʮ³⁴	
取	取	tsʰʮ³⁴	
娶	娶	tsʰʮ³⁴	
恥	耻	tsʰʮ³⁴	
處	处	tsʰʮ⁴⁴	處所
趣	趣	tsʰʮ⁴⁴	
除	除	dzʮ²²	
鋤	锄	dzʮ²²	動詞
廚	厨	dzʮ²²	
治	治	dzʮ¹³	
柱	柱	dzʮ¹³	
住	住	dzʮ¹³	
書	书	sʮ⁵¹	
舒	舒	sʮ⁵¹	
須	须	sʮ⁵¹	
需	需	sʮ⁵¹	
樞	枢	sʮ⁵¹	
輸	输	sʮ⁵¹	輸贏
暑	暑	sʮ³⁴	
黍	黍	sʮ³⁴	
數	数	sʮ³⁴	動詞
水	水	sʮ³⁴	白讀
庶	庶	sʮ⁴⁴	
恕	恕	sʮ⁴⁴	
戍	戍	sʮ⁴⁴	
輸	输	sʮ⁴⁴	運輸
世	世	sʮ⁴⁴	
勢	势	sʮ⁴⁴	
歲	岁	sʮ⁴⁴	白讀
儲	储	zʮ²²	儲蓄
如	如	zʮ²²	
殊	殊	zʮ²²	
序	序	zʮ¹³	
敘	叙	zʮ¹³	
緒	绪	zʮ¹³	
苧	苎	zʮ¹³	苧麻
署	署	zʮ¹³	
薯	薯	zʮ¹³	
汝	汝	zʮ¹³	
聚	聚	zʮ¹³	
續	续	zʮ¹³	又音
豎	竖	zʮ¹³	
樹	树	zʮ¹³	
儒	儒	zʮ¹³	
乳	乳	zʮ¹³	
蓖	蓖	pi⁵¹	蓖麻
鞭	鞭	pi⁵¹	
編	编	pi⁵¹	
邊	边	pi⁵¹	
蝙	蝙	pi⁵¹	
遍	遍	pi⁵¹	量詞
彼	彼	pi³⁴	
鄙	鄙	pi³⁴	
比	比	pi³⁴	
貶	贬	pi³⁴	
扁	扁	pi³⁴	
匾	匾	pi³⁴	
蔽	蔽	pi⁴⁴	
閉	闭	pi⁴⁴	文讀
箅	箅	pi⁴⁴	
臂	臂	pi⁴⁴	
祕	秘	pi⁴⁴	
秘	秘	pi⁴⁴	
泌	泌	pi⁴⁴	
庇	庇	pi⁴⁴	
痹	痹	pi⁴⁴	
變	变	pi⁴⁴	
遍	遍	pi⁴⁴	
批	批	pʰi⁵¹	
披	披	pʰi⁵¹	
丕	丕	pʰi⁵¹	
篇	篇	pʰi⁵¹	
偏	偏	pʰi⁵¹	
譬	譬	pʰi⁴⁴	譬喻
屁	屁	pʰi⁴⁴	
騙	骗	pʰi⁴⁴	
片	片	pʰi⁴⁴	
皮	皮	bi²²	
疲	疲	bi²²	
脾	脾	bi²²	
琵	琵	bi²²	
枇	枇	bi²²	
肥	肥	bi²²	白讀
便	便	bi²²	便宜
敝	敝	bi¹³	
弊	弊	bi¹³	
幣	币	bi¹³	
斃	毙	bi¹³	
陛	陛	bi¹³	
鐾	鐾	bi¹³	鐾刀布，把刀鐾鐾
被	被	bi¹³	被臥，被子
婢	婢	bi¹³	
避	避	bi¹³	
篦	篦	bi¹³	
辨	辨	bi¹³	
辯	辩	bi¹³	
汴	汴	bi¹³	
便	便	bi¹³	方便
辮	辫	bi¹³	
閉	闭	ʔmi⁴⁴	白讀
迷	迷	mi²²	
謎	谜	mi²²	
彌	弥	mi²²	
綿	绵	mi²²	
棉	棉	mi²²	
眠	眠	mi²²	
米	米	mi¹³	
靡	靡	mi¹³	
眉	眉	mi¹³	白讀
未	未	mi¹³	白讀
味	味	mi¹³	白讀
免	免	mi¹³	
勉	勉	mi¹³	
娩	娩	mi¹³	
緬	缅	mi¹³	
澠	渑	mi¹³	
面	面	mi¹³	
麪	面	mi¹³	
麵	面	mi¹³	
非	非	fi⁵¹	
飛	飞	fi⁵¹	
妃	妃	fi⁵¹	
匪	匪	fi³⁴	
榧	榧	fi³⁴	
廢	废	fi⁴⁴	
肺	肺	fi⁴⁴	
吠	吠	fi⁴⁴	
痱	痱	fi⁴⁴	
費	费	fi⁴⁴	
翡	翡	fi⁴⁴	
維	维	vi²²	
惟	惟	vi²²	
唯	唯	vi²²	
肥	肥	vi²²	文讀
微	微	vi²²	
尾	尾	vi¹³	文讀
未	未	vi¹³	文讀
味	味	vi¹³	文讀
低	低	ti⁵¹	
堤	堤	ti⁵¹	
掂	掂	ti⁵¹	
顛	颠	ti⁵¹	
底	底	ti³⁴	
抵	抵	ti³⁴	
點	点	ti³⁴	
㸃	点	ti³⁴	
典	典	ti³⁴	
帝	帝	ti⁴⁴	
店	店	ti⁴⁴	
梯	梯	tʰi⁵¹	文讀
添	添	tʰi⁵¹	
天	天	tʰi⁵¹	
體	体	tʰi³⁴	
舔	舔	tʰi³⁴	
腆	腆	tʰi³⁴	
替	替	tʰi⁴⁴	
涕	涕	tʰi⁴⁴	
剃	剃	tʰi⁴⁴	
屜	屉	tʰi⁴⁴	
屉	屉	tʰi⁴⁴	
掭	掭	tʰi⁴⁴	
題	题	di²²	
提	提	di²²	
蹄	蹄	di²²	
啼	啼	di²²	
甜	甜	di²²	
田	田	di²²	
填	填	di²²	
塡	填	di²²	
弟	弟	di¹³	
第	第	di¹³	
遞	递	di¹³	
隸	隶	di¹³	奴隸，又音
地	地	di¹³	
電	电	di¹³	
殿	殿	di¹³	
奠	奠	di¹³	
佃	佃	di¹³	
墊	垫	di¹³	
驢	驴	li²²	
犁	犁	li²²	
黎	黎	li²²	
籬	篱	li²²	
璃	璃	li²²	
梨	梨	li²²	
釐	厘	li²²	
狸	狸	li²²	
廉	廉	li²²	
鐮	镰	li²²	
簾	帘	li²²	
連	连	li²²	
聯	联	li²²	
憐	怜	li²²	
蓮	莲	li²²	
呂	吕	li¹³	
旅	旅	li¹³	
慮	虑	li¹³	
濾	滤	li¹³	
縷	缕	li¹³	
屢	屡	li¹³	又音
例	例	li¹³	
厲	厉	li¹³	
勵	励	li¹³	
禮	礼	li¹³	
麗	丽	li¹³	美麗
隸	隶	li¹³	
荔	荔	li¹³	
離	离	li¹³	
履	履	li¹³	
利	利	li¹³	
痢	痢	li¹³	
李	李	li¹³	
里	里	li¹³	
裏	裏	li¹³	
裡	裏	li¹³	
理	理	li¹³	
鯉	鲤	li¹³	
吏	吏	li¹³	
淚	泪	li¹³	
斂	敛	li¹³	
殮	殓	li¹³	
練	练	li¹³	
煉	炼	li¹³	
楝	楝	li¹³	楝樹
戀	恋	li¹³	
稽	稽	tɕi⁵¹	
飢	饥	tɕi⁵¹	
肌	肌	tɕi⁵¹	
基	基	tɕi⁵¹	
幾	几	tɕi⁵¹	幾乎
機	机	tɕi⁵¹	
譏	讥	tɕi⁵¹	
饑	饥	tɕi⁵¹	
尖	尖	tɕi⁵¹	
殲	歼	tɕi⁵¹	
沾	沾	tɕi⁵¹	
瞻	瞻	tɕi⁵¹	
兼	兼	tɕi⁵¹	
搛	搛	tɕi⁵¹	搛菜
艱	艰	tɕi⁵¹	
間	间	tɕi⁵¹	空間，中間，間斷
煎	煎	tɕi⁵¹	
氈	毡	tɕi⁵¹	
箋	笺	tɕi⁵¹	
肩	肩	tɕi⁵¹	
堅	坚	tɕi⁵¹	
擠	挤	tɕi³⁴	
雞	鸡	tɕi³⁴	
鷄	鸡	tɕi¹³	
几	几	tɕi³⁴	茶几
己	己	tɕi³⁴	
幾	几	tɕi³⁴	幾個
檢	检	tɕi³⁴	
簡	简	tɕi³⁴	
柬	柬	tɕi³⁴	
剪	剪	tɕi³⁴	
展	展	tɕi³⁴	
祭	祭	tɕi⁴⁴	
際	际	tɕi⁴⁴	
濟	济	tɕi⁴⁴	
劑	剂	tɕi⁴⁴	
計	计	tɕi⁴⁴	
繼	继	tɕi⁴⁴	
繫	系	tɕi⁴⁴	繫鞋帶
髻	髻	tɕi⁴⁴	
寄	寄	tɕi⁴⁴	
冀	冀	tɕi⁴⁴	
痣	痣	tɕi⁴⁴	白讀
紀	纪	tɕi⁴⁴	
記	记	tɕi⁴⁴	
既	既	tɕi⁴⁴	
季	季	tɕi⁴⁴	
鑑	鉴	tɕi⁴⁴	
鍳	鉴	tɕi⁴⁴	
佔	占	tɕi⁴⁴	
占	占	tɕi⁴⁴	
劍	剑	tɕi⁴⁴	
諫	谏	tɕi⁴⁴	
澗	涧	tɕi⁴⁴	
箭	箭	tɕi⁴⁴	
濺	溅	tɕi⁴⁴	
建	建	tɕi⁴⁴	
薦	荐	tɕi⁴⁴	
繭	茧	tɕi⁴⁴	
趼	趼	tɕi⁴⁴	
見	见	tɕi⁴⁴	
鯽	鲫	tɕi⁴⁴	又音
妻	妻	tɕʰi⁵¹	
棲	栖	tɕʰi⁵¹	
溪	溪	tɕʰi⁵¹	
欺	欺	tɕʰi⁵¹	
籤	签	tɕʰi⁵¹	
簽	签	tɕʰi⁵¹	
謙	谦	tɕʰi⁵¹	
遷	迁	tɕʰi⁵¹	
千	千	tɕʰi⁵¹	
牽	牵	tɕʰi⁵¹	
啓	启	tɕʰi³⁴	
啟	启	tɕʰi³⁴	
企	企	tɕʰi³⁴	
起	起	tɕʰi³⁴	
杞	杞	tɕʰi³⁴	
豈	岂	tɕʰi³⁴	
淺	浅	tɕʰi³⁴	
遣	遣	tɕʰi³⁴	
去	去	tɕʰi⁴⁴	
砌	砌	tɕʰi⁴⁴	
契	契	tɕʰi⁴⁴	
碶	碶	tɕʰi⁴⁴	
器	器	tɕʰi⁴⁴	
棄	弃	tɕʰi⁴⁴	
氣	气	tɕʰi⁴⁴	
汽	汽	tɕʰi⁴⁴	
欠	欠	tɕʰi⁴⁴	
歉	歉	tɕʰi⁴⁴	
其	其	dʑi²²	他
齊	齐	dʑi²²	文讀，如：齊國、姓
臍	脐	dʑi²²	
池	池	dʑi²²	白讀
奇	奇	dʑi²²	
騎	骑	dʑi²²	
歧	歧	dʑi²²	
遲	迟	dʑi²²	
祁	祁	dʑi²²	
鰭	鳍	dʑi²²	
其	其	dʑi²²	
棋	棋	dʑi²²	
期	期	dʑi²²	
旗	旗	dʑi²²	
祈	祈	dʑi²²	
潛	潜	dʑi²²	
鉗	钳	dʑi²²	
錢	钱	dʑi²²	
纏	缠	dʑi²²	
乾	乾	dʑi²²	乾坤
虔	虔	dʑi²²	
犍	犍	dʑi²²	
箸	箸	dʑi¹³	筷箸籠：存放筷子的器具
薺	荠	dʑi¹³	
技	技	dʑi¹³	
妓	妓	dʑi¹³	
忌	忌	dʑi¹³	
漸	渐	dʑi¹³	
儉	俭	dʑi¹³	
踐	践	dʑi¹³	
餞	饯	dʑi¹³	
件	件	dʑi¹³	
鍵	键	dʑi¹³	
健	健	dʑi¹³	
腱	腱	dʑi¹³	
圈	圈	dʑi¹³	豬圈間：豬圈
黏	黏	ʔȵi⁴⁴	
粘	粘	ʔȵi⁴⁴	
拈	拈	ʔȵi⁴⁴	
泥	泥	ȵi²²	
倪	倪	ȵi²²	
宜	宜	ȵi²²	
儀	仪	ȵi²²	
尼	尼	ȵi²²	
疑	疑	ȵi²²	
沂	沂	ȵi²²	
閻	阎	ȵi²²	
嚴	严	ȵi²²	
年	年	ȵi²²	
研	研	ȵi²²	
藝	艺	ȵi¹³	
蟻	蚁	ȵi¹³	
誼	谊	ȵi¹³	
義	义	ȵi¹³	
議	议	ȵi¹³	
二	二	ȵi¹³	
貳	贰	ȵi¹³	
膩	腻	ȵi¹³	
耳	耳	ȵi¹³	白讀，又音
你	你	ȵi¹³	文讀
擬	拟	ȵi¹³	
毅	毅	ȵi¹³	
尾	尾	ȵi¹³	白讀
染	染	ȵi¹³	
驗	验	ȵi¹³	
儼	俨	ȵi¹³	
釅	酽	ȵi¹³	釅茶
念	念	ȵi¹³	又音，舊
碾	碾	ȵi¹³	
輦	辇	ȵi¹³	
撚	撚	ȵi¹³	
攆	撵	ȵi¹³	
硯	砚	ȵi¹³	
西	西	ɕi⁵¹	
犀	犀	ɕi⁵¹	
奚	奚	ɕi⁵¹	
兮	兮	ɕi⁵¹	
犧	牺	ɕi⁵¹	
嬉	嬉	ɕi⁵¹	
熙	熙	ɕi⁵¹	
希	希	ɕi⁵¹	
稀	稀	ɕi⁵¹	
仙	仙	ɕi⁵¹	
鮮	鲜	ɕi⁵¹	
軒	轩	ɕi⁵¹	
掀	掀	ɕi⁵¹	
先	先	ɕi⁵¹	
洗	洗	ɕi³⁴	
璽	玺	ɕi³⁴	
徙	徙	ɕi³⁴	
死	死	ɕi³⁴	
喜	喜	ɕi³⁴	
閃	闪	ɕi³⁴	
險	险	ɕi³⁴	
癬	癣	ɕi³⁴	
顯	显	ɕi³⁴	
細	细	ɕi⁴⁴	
婿	婿	ɕi⁴⁴	
系	系	ɕi⁴⁴	
戲	戏	ɕi⁴⁴	
線	线	ɕi⁴⁴	
綫	线	ɕi⁴⁴	
羶	膻	ɕi⁴⁴	
扇	扇	ɕi⁴⁴	
搧	扇	ɕi⁴⁴	
憲	宪	ɕi⁴⁴	
獻	献	ɕi⁴⁴	
徐	徐	ʑi²²	
齊	齐	ʑi²²	白讀
前	前	ʑi²²	
係	系	ʑi¹³	嘸納關係：不要緊，沒關係
自	自	ʑi¹³	白讀
賤	贱	ʑi¹³	
鋸	锯	ki⁵¹	白讀
甘	甘	ki⁵¹	
柑	柑	ki⁵¹	
泔	泔	ki⁵¹	泔水
干	干	ki⁵¹	
乾	干	ki⁵¹	
幹	干	ki⁵¹	
肝	肝	ki⁵¹	
狗	狗	ki³⁴	黃狗，兒化音
感	感	ki³⁴	
敢	敢	ki³⁴	
竿	竿	ki³⁴	
杆	杆	ki³⁴	
稈	稈	ki³⁴	
趕	赶	ki³⁴	
侅	侅	kʰi⁵¹	很多
看	看	kʰi⁴⁴	
移	移	ɦi²²	
夷	夷	ɦi²²	
姨	姨	ɦi²²	
飴	饴	ɦi²²	
遺	遗	ɦi²²	
炎	炎	ɦi²²	
鹽	盐	ɦi²²	
檐	檐	ɦi²²	
涎	涎	ɦi²²	
焉	焉	ɦi²²	心不在焉
延	延	ɦi²²	
筵	筵	ɦi²²	
言	言	ɦi²²	
賢	贤	ɦi²²	
弦	弦	ɦi²²	
沿	沿	ɦi²²	
鉛	铅	ɦi²²	鉛山，江西地名
易	易	ɦi¹³	
肄	肄	ɦi¹³	肄業
矣	矣	ɦi¹³	
已	已	ɦi¹³	
以	以	ɦi¹³	又音
異	异	ɦi¹³	
豔	艳	ɦi¹³	
艷	艳	ɦi¹³	
焰	焰	ɦi¹³	
鹽	盐	ɦi¹³	醃
諺	谚	ɦi¹³	
演	演	ɦi¹³	
現	现	ɦi¹³	
兗	兖	ɦi¹³	
伊	伊	i⁵¹	
醫	医	i⁵¹	
衣	衣	i⁵¹	
依	依	i⁵¹	
淹	淹	i⁵¹	
閹	阉	i⁵¹	
醃	腌	i⁵¹	
嫌	嫌	i⁵¹	
蔫	蔫	i⁵¹	食物不新鮮
煙	烟	i⁵¹	
菸	烟	i⁵¹	
憶	忆	i⁵¹	
億	亿	i⁵¹	
倚	倚	i³⁴	
以	以	i³⁴	
掩	掩	i³⁴	
意	意	i⁴⁴	
厭	厌	i⁴⁴	
豔	艳	i⁴⁴	又音
艷	艳	i⁴⁴	又音
雁	雁	i⁴⁴	文讀
堰	堰	i⁴⁴	
燕	燕	i⁴⁴	
咽	咽	i⁴⁴	
嚥	咽	i⁴⁴	
宴	宴	i⁴⁴	
補	补	pu³⁴	
布	布	pu⁴⁴	
佈	佈	pu⁴⁴	
怖	怖	pu⁴⁴	
鋪	铺	pʰu⁵¹	鋪設
譜	谱	pʰu³⁴	
普	普	pʰu³⁴	
浦	浦	pʰu³⁴	
鋪	铺	pʰu⁴⁴	店鋪
蒲	蒲	bu²²	
菩	菩	bu²²	
脯	脯	bu²²	胸脯
脯	脯	bu²²	杏脯
孵	孵	bu²²	孵小雞
部	部	bu¹³	
簿	簿	bu¹³	
步	步	bu¹³	
捕	捕	bu¹³	
埠	埠	bu¹³	
呼	呼	fu⁵¹	
夫	夫	fu⁵¹	
膚	肤	fu⁵¹	
敷	敷	fu⁵¹	
俘	俘	fu⁵¹	
麩	麸	fu⁵¹	
虎	虎	fu³⁴	
滸	浒	fu³⁴	水滸
府	府	fu³⁴	
腑	腑	fu³⁴	
甫	甫	fu³⁴	
斧	斧	fu³⁴	
殕	殕	fu³⁴	食上生白毛，如：白殕冬瓜
釜	釜	fu³⁴	
輔	辅	fu³⁴	又音
戽	戽	fu⁴⁴	戽水
付	付	fu⁴⁴	
賦	赋	fu⁴⁴	
傅	傅	fu⁴⁴	
赴	赴	fu⁴⁴	
訃	讣	fu⁴⁴	
富	富	fu⁴⁴	
副	副	fu⁴⁴	
阜	阜	fu⁴⁴	
吳	吴	vu²²	文讀
蜈	蜈	vu²²	蜈蚣，文讀
吾	吾	vu²²	
梧	梧	vu²²	梧桐
胡	胡	vu²²	
湖	湖	vu²²	
狐	狐	vu²²	
壺	壶	vu²²	
乎	乎	vu²²	
葫	葫	vu²²	葫蘆
符	符	vu²²	
扶	扶	vu²²	
芙	芙	vu²²	
浮	浮	vu²²	
伍	伍	vu¹³	文讀
午	午	vu¹³	
悟	悟	vu¹³	文讀
戶	户	vu¹³	
戸	户	vu¹³	
户	户	vu¹³	
滬	沪	vu¹³	
互	互	vu¹³	
護	护	vu¹³	
惡	恶	vu¹³	可惡
撫	抚	vu¹³	
父	父	vu¹³	
腐	腐	vu¹³	
輔	辅	vu¹³	
附	附	vu¹³	
無	无	vu¹³	
武	武	vu¹³	
舞	舞	vu¹³	
侮	侮	vu¹³	
鵡	鹉	vu¹³	鸚鵡
務	务	vu¹³	
霧	雾	vu¹³	
婦	妇	vu¹³	
都	都	tu⁵¹	
堵	堵	tu³⁴	
賭	赌	tu³⁴	
肚	肚	tu³⁴	豬肚
妒	妒	tu⁴⁴	
土	土	tʰu³⁴	
吐	吐	tʰu³⁴	吐痰
吐	吐	tʰu⁴⁴	嘔吐
兔	兔	tʰu⁴⁴	
徒	徒	du²²	
屠	屠	du²²	
途	途	du²²	
塗	涂	du²²	
涂	涂	du²²	
圖	图	du²²	
杜	杜	du¹³	
肚	肚	du¹³	腹肚
度	度	du¹³	
渡	渡	du¹³	
鍍	镀	du¹³	
盧	卢	lu²²	
爐	炉	lu²²	
蘆	芦	lu²²	蘆葦
鸕	鸕	lu²²	鸕鶿
廬	庐	lu²²	茅廬，廬山
魯	鲁	lu¹³	
櫓	橹	lu¹³	
滷	卤	lu¹³	
鹵	卤	lu¹³	
路	路	lu¹³	
露	露	lu¹³	
鷺	鹭	lu¹³	鷺鷥
租	租	tsu⁵¹	
祖	祖	tsu³⁴	
組	组	tsu³⁴	
阻	阻	tsu³⁴	
粗	粗	tsʰu⁵¹	
初	初	tsʰu⁵¹	
楚	楚	tsʰu³⁴	
礎	础	tsʰu³⁴	
醋	醋	tsʰu⁴⁴	
措	措	tsʰu⁴⁴	措置
雛	雏	dzu²²	
助	助	dzu¹³	
奴	奴	nu²²	
娛	娱	nu²²	
努	努	nu¹³	
怒	怒	nu¹³	
誤	误	nu¹³	
悟	悟	nu¹³	白讀
蘇	苏	su⁵¹	
酥	酥	su⁵¹	
梳	梳	su⁵¹	動詞，文讀
疏	疏	su⁵¹	疏遠
蔬	蔬	su⁵¹	
鬚	鬚	su⁵¹	
素	素	su⁴⁴	
訴	诉	su⁴⁴	
塑	塑	su⁴⁴	
疏	疏	su⁴⁴	註疏
數	数	su⁴⁴	名次
姑	姑	ku⁵¹	
孤	孤	ku⁵¹	
箍	箍	ku⁵¹	文讀，又音
古	古	ku³⁴	
估	估	ku³⁴	估計
牯	牯	ku³⁴	
股	股	ku³⁴	
鼓	鼓	ku³⁴	
故	故	ku⁴⁴	
固	固	ku⁴⁴	
錮	锢	ku⁴⁴	
僱	雇	ku⁴⁴	
顧	顾	ku⁴⁴	
箍	箍	kʰu⁵¹	文讀
枯	枯	kʰu⁵¹	
苦	苦	kʰu³⁴	
庫	库	kʰu⁴⁴	
褲	裤	kʰu⁴⁴	
跍	跍	ɡu²²	蹲
咕	咕	ɡu¹³	嘮叨、責備
烏	乌	u⁵¹	
污	污	u⁵¹	
巫	巫	u⁵¹	
誣	诬	u⁵¹	
塢	坞	u⁴⁴	
焐	焐	u⁴⁴	
居	居	tɕy⁵¹	
車	车	tɕy⁵¹	車馬炮
鋸	锯	tɕy⁵¹	文讀
拘	拘	tɕy⁵¹	
駒	驹	tɕy⁵¹	
句	句	tɕy⁵¹	
龜	龟	tɕy⁵¹	白讀
捐	捐	tɕy⁵¹	
矩	矩	tɕy³⁴	規矩
鬼	鬼	tɕy³⁴	白讀
卷	卷	tɕy³⁴	
據	据	tɕy⁴⁴	
貴	贵	tɕy⁴⁴	白讀
眷	眷	tɕy⁴⁴	
絹	绢	tɕy⁴⁴	
蛆	蛆	tɕʰy⁵¹	
區	区	tɕʰy⁵¹	區域
驅	驱	tɕʰy⁵¹	
圈	圈	tɕʰy⁵¹	圓圈
犬	犬	tɕʰy³⁴	
勸	劝	tɕʰy⁴⁴	
券	券	tɕʰy⁴⁴	
渠	渠	dʑy²²	
俱	俱	dʑy²²	
瞿	瞿	dʑy²²	
拳	拳	dʑy²²	
權	权	dʑy²²	
顴	颧	dʑy²²	
巨	巨	dʑy¹³	
拒	拒	dʑy¹³	
距	距	dʑy¹³	
具	具	dʑy¹³	
懼	惧	dʑy¹³	
跪	跪	dʑy¹³	白讀
櫃	柜	dʑy¹³	白讀
倦	倦	dʑy¹³	
愚	愚	ȵy²²	
虞	虞	ȵy²²	
娛	娱	ȵy²²	又音
緣	缘	ȵy²²	又音
元	元	ȵy²²	
原	原	ȵy²²	
源	源	ȵy²²	
女	女	ȵy¹³	
語	语	ȵy¹³	
遇	遇	ȵy¹³	
寓	寓	ȵy¹³	
蕊	蕊	ȵy¹³	白讀
軟	软	ȵy¹³	
阮	阮	ȵy¹³	
願	愿	ȵy¹³	
愿	愿	ȵy¹³	
靴	靴	ɕy⁵¹	
墟	墟	ɕy⁵¹	
虛	虚	ɕy⁵¹	
噓	嘘	ɕy⁵¹	
吁	吁	ɕy⁵¹	
喧	喧	ɕy⁵¹	
諠	喧	ɕy⁵¹	
許	许	ɕy³⁴	文讀
絮	絮	ɕy⁴⁴	
楦	楦	ɕy⁴⁴	鞋楦
漁	渔	ɦy²²	
於	於	ɦy²²	
餘	余	ɦy²²	
餘	馀	ɦy²²	
于	于	ɦy²²	
盂	盂	ɦy²²	
榆	榆	ɦy²²	
逾	逾	ɦy²²	
愉	愉	ɦy²²	
圓	圆	ɦy²²	
員	员	ɦy²²	
緣	缘	ɦy²²	
袁	袁	ɦy²²	
轅	辕	ɦy²²	
園	园	ɦy²²	
援	援	ɦy²²	
御	御	ɦy¹³	
禦	禦	ɦy¹³	
與	与	ɦy¹³	
譽	誉	ɦy¹³	
預	预	ɦy¹³	
豫	豫	ɦy¹³	
雨	雨	ɦy¹³	
宇	宇	ɦy¹³	
禹	禹	ɦy¹³	
羽	羽	ɦy¹³	
芋	芋	ɦy¹³	
愈	愈	ɦy¹³	
喻	喻	ɦy¹³	
裕	裕	ɦy¹³	
院	院	ɦy¹³	
遠	远	ɦy¹³	
