汉字	IPA	注释		
倍	pue4=			
倍	pə4-			
被	pʰə4-	1		
被	pi4	2		
辈	pue4			
焙	pue4=			
焙	pə4-			
奔	pun1			
本	pun3=			
本	pŋ3-			
笨	pun4			
奔	pun1			
崩	paŋ1			
绷	pɔŋ4			
迸	piŋ4			
逼	piet5			
逼	pieʔ5			
逼	piəʔ5			
鼻	pʰi2			
鼻	pʰĩ4			
比	pi3			
笔	pit5			
笔	piet5			
笔	pieʔ5			
俾	pi4			
鄙	pi4			
币	pi4			
币	pe4			
必	pit5			
必	piet5			
必	pieʔ5			
毕	pit5			
毕	piet5			
毕	pieʔ5			
闭	pi4			
庇	pi4			
陛	pi4			
毙	pi4			
敝	pi4			
婢	pi4			
弼	piʔ5-			
蓖	pi4			
痹	pi4			
碧	pik5			
碧	piet5			
碧	pieʔ5			
蔽	pi4			
弊	pi4			
篦	pi4			
篦	pin4			
壁	piet5=			
壁	piaʔ5-			
避	pi4			
臂	pi4			
璧	piet5=			
璧	pieʔ5=			
璧	piaʔ5-			
边	pĩ1-			
编	pien1			
蝙	pien1			
鞭	pien1			
贬	pien3			
扁	pien3=			
扁	pi3-			
扁	pin4-			
匾	pien3			
汴	pien4			
变	pien4			
便	pien4		便	piæ4
遍	pien3			
遍	pʰien3			
辨	pien4			
辩	pien4			
辫	pien4=			
辫	pĩ4-			
标	piau1=			
标	pio1-			
彪	piau1			
彪	pio1			
膘	pio1-			
表	piau3=			
表	pio3-			
鳔	pio1-			
憋	pieʔ5=			
憋	piəʔ5=			
憋	piʔ5-			
整	piet5=			
整	piʔ5-			
别	piet6=	1		
别	pieʔ6=	1		
别	pa6-	1		
别	piet6=	2		
别	pieʔ6=	2		
别	paʔ6-	2		
别	pat5-	2		
蹩	piet6			
蹩	pieʔ5			
瘪	piet5			
瘪	pieʔ5			
PAGE 4				
宾	pin1			
宾	piŋ1			
彬	pin1			
彬	piŋ1			
滨	pin1			
滨	piŋ1			
殡	pin4=			
殡	pin1-			
鬓	pin3			
冰	piŋ1			
不	puəʔ5			
布	po4			
步	po4			
怖	po4			
部	po4			
部	pʰɔ4			
埠	po4			
兵	piŋ1			
簿	pʰo4			
丙	piŋ4=			
丙	piã3-			
秉	piŋ4			
擦	tsʰat5			
猜	tsʰai1			
柄	piŋ4=			
柄	pĩ4-			
饼	piã3-			
禀	piŋ3			
并	piŋ3=			
并	piã3-			
並	piŋ4=			
並	pĩ2-			
病	piŋ4=			
病	pĩ4-			
拨	pueʔ6			
拨	pak5			
波	po1=			
波	pʰo1-			
玻	po1			
钵	puaʔ5-			
饽	pɔʔ5			
剥	pak5			
菠	po1			
播	po1			
伯	peʔ5-			
驳	pɔk5			
驳	pɔʔ5			
帛	peʔ6-			
勃	pɔʔ5			
钹	puaʔ6-			
博	pɔk5			
跛	pai3-			
簸	po3			
卜	pɔk5			
卜	pɔʔ5			
卜	pʰɔʔ5			
补	po3			
捕	po4			
才	tsai2			
材	tsʰai2			
材	tsai2			
材	tsʰa2			
财	tsai2			
裁	tsʰai2			
采	tsʰai3			
彩	tsʰai3			
睬	tsʰai3			
菜	tsʰai4			
蔡	tsʰai4=			
蔡	tsʰua4-			
参	tsʰan1			
餐	tsʰan1			
残	tsan2			
蚕	tsʰan2			
蚕	tsʰãi2			
惭	tsʰan2			
惨	tsʰan3			
灿	tsʰan4			
仓	tsʰŋ1-			
苍	tsʰaŋ1=			
苍	tsʰŋ1-			
藏	tsɔŋ2			
操	tsʰo1			
糙	tsʰo1			
曹	tso2			
槽	tso2			
草	tsʰau3-			
PAGE 5				
册	tsʰaʔ5			
册	tsʰeʔ5			
厕	tsʰɿ4			
侧	tɕiat5			
侧	tsaʔ5			
常	ɕiɔŋ2			
偿	ɕiɔŋ2			
长	tiɔŋ4=			
长	tŋ2-			
长	tŋ4-			
厂	tɕʰiũ3-			
测	tsʰaʔ5			
测	tɕʰiaʔ5			
恻	tsʰaʔ5			
恻	tɕʰat5			
场	tiũ2-			
策	tsʰat5			
策	tsʰaʔ5			
层	tiŋ2			
层	tʰiŋ2			
曾	tɕiŋ2			
叉	tsʰe1-			
权	tsʰe1-			
插	tsʰaʔ5-			
茶	te2-			
查	tsʰa2			
察	tsʰat5			
察	tsʰaʔ5			
岔	tsʰe1-			
差	tsʰa1			
拆	tʰiaʔ5-			
钗	tsʰai1=			
钗	tsʰe1-			
柴	tsʰa2			
豺	tsʰai2=			
豺	ɕia4-			
搀	tsʰan1			
馋	tsʰan2			
禅	ɕien4			
缠	tĩ2-			
蝉	ɕien2			
蟾	tɕien2			
产	tsʰan3			
铲	tsʰan3=			
铲	tɕʰia3-			
忏	tsʰan4			
颤	tɕien4			
昌	tɕʰiɔŋ1			
菖	tɕʰiɔŋ1=			
菖	tsʰaŋ1-			
肠	tŋ2-			
尝	ɕiɔŋ2			
怅	tiɔŋ4			
畅	tʰiɔŋ4			
畅	tɕʰiɔŋ4			
倡	tɕʰiɔŋ4			
唱	tɕʰiũ4-			
抄	tsʰau1=			
抄	tɕʰiau1-			
钞	tsʰau1			
超	tɕʰiau1			
朝	tiau1	1		
朝	tiau2	2		
潮	tiau2			
吵	tsʰau3			
炒	tsʰa3-			
车	tɕʰia1			
扯	tɕʰia1			
彻	tsʰat5			
彻	tsʰaʔ5			
坼	tʰiaʔ5-			
㿭	tʰiaʔ5-			
撤	tsʰat5			
撤	tsʰaʔ5			
澈	tsʰat5			
臣	ɕin2			
尘	tin2			
辰	ɕin2			
沉	tin2			
陈	tin2=			
陈	tan2-			
晨	ɕin2			
称	tɕʰiŋ4=			
称	tɕʰin4-			
衬	tɕʰiŋ4			
趁	tʰan4-			
称	tɕʰiŋ1=			
称	tɕʰin4-			
PAGE 6				
撑	tsʰaŋ1=			
撑	tʰe1-			
成	ɕiŋ2			
丞	ɕiŋ2			
呈	tʰiŋ2			
诚	ɕiŋ2			
承	ɕiŋ2			
城	ɕiã2-			
乘	ɕiŋ2			
程	tʰiŋ2=			
程	ɕiã2-			
惩	tɕiŋ2			
塍	tʰiŋ2=			
塍	tsʰan2-			
澄	tiŋ2			
橙	tiŋ2			
盛	ɕiŋ4			
秤	tɕʰin4-			
牚	tsʰaŋ1			
嗤	tɕʰi1			
嗤	tsʰɿ1			
痴	tsʰɿ1			
池	ti2			
驰	ti2			
驰	tsɿ2			
迟	ti2			
持	ti2			
持	tsʰɿ2			
尺	tɕʰiɔʔ5-			
齿	kʰi3			
耻	tsʰɿ4			
斥	tɕʰieʔ5			
赤	tɕʰik5=			
赤	tɕʰieʔ5=			
赤	tɕʰiaʔ5-			
翅	tɕʰi4-			
冲	tɕʰiɔŋ1			
充	tɕʰiɔŋ1			
舂	tɕiŋ1-			
重	tiɔŋ2			
重	tsɔŋ4			
虫	tʰaŋ2-			
崇	tsɔŋ2			
宠	tʰiɔŋ3			
铳	tɕʰiɔŋ4=			
铳	tɕʰiŋ4-			
抽	tʰiu1			
仇	ɕiu2			
仇	kiu2			
绸	tiu2			
酬	ɕiu2			
稠	tiu2			
筹	tiu2			
丑	tʰiu3			
瞅	tɕʰiu4			
臭	tsʰau4-			
出	tsʰuət5			
初	tsʰɔ1=			
初	tsʰue1-			
除	tɯ2			
厨	tsʰu4			
杵	tsʰu2			
础	tsʰɔ3			
处	tsʰɯ3			
处	tsʰu3			
储	tɯ2			
储	tʰɯ2			
楚	tsʰɔ4			
处	tsʰɯ4			
处	tsʰu4			
畜	tɕʰiɔk5			
触	tsʰɔk4			
川	tsʰuan1			
穿	tsʰuan1=			
穿	tsʰŋ1-			
穿	tɕʰiŋ4-			
传	tuan4			
船	tsun2-			
喘	tsʰuan4			
串	tsʰuan4			
疮	tɕʰɔŋ1=			
疮	tsʰŋ1-			
窗	tɕʰiɔŋ1=			
窗	tʰaŋ1-			
床	tsʰŋ2-			
闯	tɕʰɔŋ3			
PAGE 7				
创	tɕʰiɔŋ4=			
创	tsʰaŋ4-			
吹	tsʰui1=			
吹	tsʰə1-			
炊	tsʰui1=			
炊	tsʰə1-			
垂	tsʰui2			
槌	tui2			
槌	tʰui2			
锤	tui2			
锤	tʰui2			
春	tsʰun1			
椿	tsʰun1			
纯	sun2			
纯	tsun2			
莼	sun2			
莼	tsun2			
唇	tsʰun2			
醇	sun2			
醇	tsʰun2			
蠢	tsʰun3			
戳	tsʰɔk5=			
戳	tsʰɔʔ5-			
绰	tɕʰiɔk5			
绰	tsʰɔʔ5			
龊	tsʰɔk5			
疵	tsʰɿ3			
词	ɕi2			
词	sɿ2			
祠	sɿ2			
瓷	tsʰɿ2			
瓷	sɿ2			
辞	sɿ2=			
辞	tsʰɿ2=			
辞	ɕi2-			
慈	tɕʰi2			
慈	tsʰɿ2			
慈	sɿ2			
磁	tɕʰi2			
磁	sɿ2			
雌	tsʰɿ2=			
雌	tɕʰi2-			
餈	tsʰɿ2			
此	tsʰɿ3			
从	tɕiɔŋ2			
从	tsɔŋ2			
丛	tsɔŋ2=			
丛	tsaŋ2-			
凑	tsʰau4-			
粗	tsʰɔ1			
促	tsʰɔk5			
猝	tsuət5			
醋	tsʰɔ4			
蹿	tsʰuan4			
窜	tsʰuan4			
篡	tsʰuan4			
篡	tsʰan4			
崔	tsʰui1			
催	tsʰui1			
脆	tsʰui4=			
脆	tsʰə4-			
悴	tsʰui4			
粹	tsʰui4			
翠	tsʰui4			
村	tsʰun1			
存	tsun2			
忖	tsʰun4			
寸	tsʰun4			
搓	tsʰo1=			
搓	so1-			
措	tsʰɔ4			
锉	tsʰo4			
错	tsʰɔ4			
搭	taʔ5-			
达	taʔ6			
次	tsʰɿ4			
伺	sɿ4			
沓	taʔ5-			
刺	tsʰɿ4=			
刺	tɕʰi4-			
答	taʔ5-			
赐	sɿ4			
打	ta3			
匆	tsʰɔŋ1			
大	tai4=			
大	tua4-			
囱	tsʰɔŋ1=			
囱	tsʰaŋ1-			
呆	tai1			
呆	tui1			
葱	tsʰaŋ1-			
聪	tsʰɔŋ1=			
聪	tsʰaŋ1-			
獃	ɡai2			
代	tai4			
PAGE 8				
带	tua4-			
殆	tai4			
贷	tai4			
待	tai4			
怠	tai4			
袋	tə4-			
戴	tai4=			
戴	ti4-			
大	tai4=			
大	tɔ4-			
丹	tan1			
担	tã1-			
单	tan1=			
单	tuã1-			
耽	tan1			
胆	tã3-			
疸	tã3-			
掸	tuã3-			
旦	tan4=			
旦	tuã4-			
担	tã4-			
但	tan4			
诞	tan4			
祷	to4			
倒	to3			
盗	to4			
道	to4			
倒	to4			
稻	tau4-			
得	tiet5=			
得	tieʔ5=			
得	tak5=			
得	tit5-			
德	tiet5			
德	taʔ5			
德	tik5			
地	tue4-			
的	tik5			
的	tiet5			
的	tieʔ5			
扽	tun3			
灯	tiŋ1			
登	tiŋ1			
等	tiŋ3=			
等	tan2-			
邓	tiŋ4			
澄	tiŋ2			
瞪	tiŋ4			
镫	tiŋ1			
当	tɔŋ1=			
当	tŋ1-			
低	ti1			
淡	tan4=			
淡	ta4-			
堤	ti1			
弹	tan4=			
弹	tuã4-			
滴	tik5			
滴	tiet5			
滴	tiaʔ5			
蛋	tan4			
狄	tiet6			
狄	tieʔ6			
狄	tiəʔ6			
敌	tiet6			
敌	tieʔ6			
敌	tiəʔ6			
笛	tiaʔ6			
笛	tieʔ6			
笛	tiəʔ6			
嫡	tik5			
嫡	tit5			
嫡	tiaʔ5			
抵	ti3-			
底	ti3-			
底	tue3-			
弟	te4=			
弟	ti4-			
裆	tɔŋ1			
挡	tɔŋ4			
党	tɔŋ3			
党	taŋ3			
当	taŋ3=			
当	tŋ4-			
宕	tɔŋ4			
宕	tŋ4			
荡	tɔŋ4			
荡	taŋ4			
档	tɔŋ3			
档	taŋ3			
刀	to1			
叨	to1			
导	to4			
岛	to4			
帝	te4			
帝	tue4			
递	ti4			
第	te4			
第	tue4			
第	ti4			
蒂	ti4-			
掂	tien1			
颠	tien1			
PAGE 9				
癫	tien1			
典	tien3			
点	tien3			
点	tiam3			
踮	tien3			
电	tien4			
佃	tien4			
店	tãi4-			
垫	tien4			
奠	tien4			
殿	tien4			
簟	tien4			
刁	tiau1			
貂	tiau1			
雕	tiau1			
吊	tiau4			
钓	tio4-			
钓	tiu4-			
调	tiau4			
掉	tiau4			
爹	tia1			
跌	tiet5			
迭	tieʔ6			
谍	tiet6			
谍	tieʔ6			
牒	tiet6			
牒	tieʔ6			
叠	tiet6			
叠	tieʔ6			
碟	tiet6			
碟	tieʔ6			
蝶	tiet6			
蝶	tieʔ6			
丁	tiŋ1			
叮	tiŋ1			
钉	tiŋ1=			
钉	tan1-			
疔	tiŋ1=			
疔	tan1-			
顶	tiŋ3			
鼎	tiŋ3=			
鼎	tiã3-			
钉	tan4-			
订	tiŋ4=			
订	tiã4-			
定	tiã4-			
铤	tʰiŋ3			
锭	tiŋ4=			
锭	tiã4-			
丢	tiu1			
东	tɔŋ1=			
东	taŋ1-			
冬	taŋ1-			
董	tɔŋ3=			
董	taŋ3-			
懂	tɔŋ3=			
懂	taŋ3-			
动	tɔŋ4=			
动	taŋ4-			
冻	taŋ4-			
栋	tɔŋ4=			
栋	taŋ4-			
洞	tɔŋ4			
都	to1			
兜	tau1-			
抖	tau3-			
陡	tau3-			
斗	tɔ3=			
斗	tau3-			
斗	təu4=			
斗	tau4-			
豆	tau4-			
逗	tau4-			
督	tɔk5			
毒	tɔk6=			
毒	tɔʔ6=			
毒	tʰau4-			
独	tɔk6			
独	tɔʔ6			
读	tʰak6-			
犊	tɔk6			
犊	tɔʔ6			
牍	tɔk6			
牍	tɔʔ6			
肚	to4			
笃	tɔk5			
堵	to3			
睹	to3			
杜	to4			
肚	to4			
妬	to4			
度	to4			
PAGE 10				
渡	to4			
镀	to4			
鹅	ɡia2-			
蛾	ŋɔ̃2			
蛾	ɡo2			
额	iaʔ6			
额	hiã2			
端	tuan1			
段	tuan4=			
段	tŋ4-			
段	tuã4-			
厄	aʔ5			
断	tuan4=			
断	tŋ4-			
断	tuã4-			
扼	aʔ5			
缎	tuan4			
恶	ɔk5			
椴	tuan4			
饿	ɡo4			
锻	tuan4			
鄂	ɡɔk6			
堆	tui1			
鳄	ɡɔk6			
队	tʰui4			
队	tʰui2			
恩	ən1			
对	tui4			
儿	ǳi4			
敦	tun1			
敦	tən1			
而	ǳi2			
墩	tun1			
尔	nĩ3			
蹲	tun1			
耳	nĩ3=			
耳	hi4-			
囤	tʰun4			
囤	tun4			
饵	hi4-			
沌	tʰun4			
沌	tun4			
二	ǳi2			
钝	tun4			
贰	ǳi4			
盾	tun4			
顿	tun3=			
顿	tŋ4-			
发	huat5			
遁	tun4			
乏	huat5			
多	to1			
伐	huat6=			
伐	huaʔ6-			
掇	tɔʔ5			
罚	huaʔ6			
夺	tuat6			
夺	tɔʔ6			
筏	huaʔ6			
度	tɔʔ5			
法	huat5			
踱	tɔʔ5			
发	huaʔ5			
朵	tɔ3			
帆	huan1			
躲	tɔ3			
番	huan1=			
番	huã1-			
剁	tɔ4			
翻	huan1=			
翻	pʰuã1-			
舵	to3=			
舵	tua3-			
翻	huan1			
堕	to4			
凡	huan2			
惰	to4			
矾	huan2			
烦	huan2			
讹	ə2-			
繁	huan2			
俄	ŋɔ̃2			
俄	ɡo2			
反	huan3=			
反	pãi3-			
PAGE 11				
犯	huan4			
纷	hun1			
饭	huan4=			
饭	mãi1-			
坟	hun2			
泛	huan4			
焚	hun2			
范	huan4			
粉	hun3			
贩	huan4			
贩	pʰan4			
份	hun4			
畈	pan3			
奋	hun4			
梵	huan2			
忿	hun4			
方	hɔŋ1=			
方	hŋ1-			
粪	hun4=			
粪	pun4-			
坊	hɔŋ1=			
坊	hŋ1-			
愤	hun4			
芳	hɔŋ1=			
芳	pʰaŋ1-			
丰	hɔŋ1			
风	hɔŋ1=			
风	huaŋ1-			
防	pɔŋ2			
防	paŋ2			
枫	hɔŋ1			
妨	hɔŋ2			
肨	pʰaŋ4=			
胖	pʰɔŋ4-			
肪	hɔŋ1			
封	hɔŋ1			
房	paŋ2-			
疯	hɔŋ1			
仿	hɔŋ3			
峰	hɔŋ1			
访	hɔŋ3			
锋	hɔŋ1			
纺	hɔŋ3=			
纺	pʰaŋ3-			
蜂	hɔŋ1=			
蜂	pʰaŋ1-			
放	hɔŋ4=			
放	paŋ4-			
冯	hɔŋ2			
飞	hui1=			
飞	pə1-			
逢	hɔŋ2			
妃	hui1			
缝	hɔŋ2=			
缝	paŋ2-			
讽	hɔŋ3			
非	hui1			
凤	hɔŋ4			
菲	hui1			
奉	hɔŋ4			
肥	hui2=			
肥	pui2-			
俸	hɔŋ4			
匪	hui4			
缝	hɔŋ4=			
缝	pʰaŋ4-			
翡	hui4			
夫	hu1=			
夫	pɔ1-			
吠	pui4-			
肤	hu1			
肺	hui4			
麸	hu1=			
麸	pʰɔ1-			
废	hui4			
孵	hu1			
沸	hui4			
敷	hu4			
费	hui4			
弗	huət6			
弗	huəʔ6			
痱	bui4			
伏	hɔk6			
伏	hɔʔ6			
分	hun1=			
分	pun1-			
扶	hu2			
芬	hun1			
吩	hun1			
PAGE 12				
芙	hu2=			
芙	pʰu2-			
佛	huət5			
佛	puəʔ6			
服	hɔk6			
服	hɔʔ6			
俘	hu2			
浮	hu2=			
浮	pʰu2-			
符	hu2			
幅	hɔk5			
幅	hɔʔ5			
福	hɔk5			
福	hɔʔ5			
蝠	hɔk5			
抚	hu4			
甫	pʰɔ3-			
脯	pʰɔ3-			
斧	hu4=			
斧	pɔ4-			
斧	hɔ4-			
府	hu4			
俯	hu4			
釜	hu3			
辅	hu4			
腑	hu4			
腐	hu4			
父	hu4			
讣	pɔ4-			
付	hu4			
负	hu4			
妇	hu4=			
妇	pu4-			
附	hu4			
阜	hu4			
赴	hu4			
副	hu4			
赋	hu4			
傅	hu4			
复	hɔk5	1		
复	hɔʔ5	1		
复	hɔk5	2		
富	hu4			
腹	hɔk5=			
腹	pak5-			
缚	pɔk5=			
缚	pak5-			
尬	kai4			
该	kai1			
改	kue3-			
改	kai3=			
丐	kai4			
盖	kai4=			
盖	kua4-			
溉	kai4			
概	kai4			
甘	kan1			
干	kan1	1		
乾	kan1=	2		
乾	kuã1-	2		
杆	kuã1-			
肝	kuã1-			
泔	kan1=			
泔	kã1-			
柑	kan1=			
柑	kã1-			
竿	kuã1-			
尴	kan1			
秆	kan3			
赶	kuã3			
敢	kan3=			
敢	kã3-			
感	kan3			
橄	kan4=			
橄	kã4-			
擀	kuã3-			
幹	kan4			
冈	kaŋ1			
刚	kaŋ1			
纲	kaŋ1			
钢	kaŋ1			
缸	kŋ1-			
岗	kaŋ1			
港	kaŋ3=			
港	kɔŋ3-			
杠	kɔŋ4			
杠	kaŋ4			
钢	kaŋ4=			
钢	kŋ1-			
PAGE 13				
高	ko1=			
高	kau1-			
羔	ko1			
膏	ko1			
篙	ko1			
糕	ko1			
告	ko4			
戈	ko1			
哥	ko1			
胳	kɔk5			
鸽	kaʔ5			
搁	kɔk5			
割	kat5=			
割	kuaʔ5-			
歌	ko1=			
歌	kua1-			
蛤	kaʔ5			
革	kaʔ5=			
革	kəʔ5-			
阁	kɔk5			
格	kak5=			
格	kaʔ5=			
格	keʔ5-			
合	kaʔ5-			
葛	kaʔ5=			
葛	kuaʔ5-			
隔	kaʔ5=			
隔	kəʔ5-			
隔	keʔ5-			
个	ko4			
各	kɔk5=			
各	kɔʔ5-			
给	kiet5			
给	kik5			
根	kən1			
跟	kən1			
庚	kĩ1-			
埂	kŋ3			
哽	kŋ4			
梗	kŋ3			
更	kĩ1-			
工	kɔŋ1=			
工	kaŋ1-			
公	kɔŋ1=			
公	kaŋ1-			
弓	kɔŋ1=			
弓	kiŋ1-			
功	kɔŋ1			
攻	kɔŋ1			
供	kɔŋ1			
宫	kɔŋ1=			
宫	kiŋ1-			
恭	kɔŋ1			
蚣	kaŋ1-			
躬	kiɔŋ1			
躬	kɔŋ1			
巩	kɔŋ4			
拱	kɔŋ4			
共	kiɔŋ4			
共	kɔŋ4			
供	kɔŋ4			
贡	kɔŋ4			
勾	kəu1=			
勾	kau1-			
沟	kau1-			
钩	kau1-			
苟	kəu4			
狗	kau3-			
构	kəu4-			
购	kau4			
够	kau4			
估	ko3			
孤	ko1			
姑	ko1			
箍	kʰo1			
古	ko3			
谷	kɔk5			
股	kɔ3			
骨	kuət5			
牯	kɔ3			
鼓	kɔ3			
固	kɔ3			
故	kɔ3			
顾	kɔ4			
雇	kɔ4			
锢	kɔ3			
PAGE 14				
瓜	kue1-			
刮	kuaʔ5-			
剐	kua3			
寡	kua3			
卦	kua4			
挂	kua4			
乖	kuai1			
柺	kuai3			
怪	kuai4			
关	kuan1=			
关	kuĩ1-			
观	kuan1			
观	kuan3			
官	kuan1=			
官	kuã1-			
冠	kuan1=			
冠	kuã1-			
棺	kuan1=			
棺	kuã1-			
馆	kuan3			
管	kuan3			
冠	kuan3			
贯	kuan4			
惯	kuan4			
灌	kuan4			
罐	kuan4			
光	kɔŋ1=			
光	kŋ1-			
桄	kŋ3-			
广	kɔŋ3=			
广	kŋ3-			
归	kui1			
龟	kui1			
规	kui1			
闺	kui1			
瑰	kui4			
轨	kui4			
诡	kui3			
鬼	kui3			
癸	kui4			
柜	kui4			
刽	kui4			
贵	kui4			
桂	kui4			
桧	kui4			
跪	kui4			
鳜	kui4			
滚	kun3			
棍	kun4			
郭	kɔk5			
聒	kuaʔ6-			
锅	ko1			
国	kɔk5			
国	kɔʔ5			
果	ko3			
课	ko3=			
课	kə3-			
裹	ko3			
过	kə4-			
孩	hai2			
海	hai3			
亥	hai4			
骇	hai4			
害	hai4			
酣	han1			
憨	han1			
鼾	han1			
含	han2=			
含	ham2=			
含	kan2-			
函	han2			
韩	han2			
寒	han2=			
寒	kuã2-			
罕	han1			
汉	han4			
汗	kuã4-			
旱	han4=			
旱	huã4-			
PAGE 15				
焊	han4			
撼	han4			
翰	han4			
憾	han4			
杭	haŋ2			
行	haŋ2			
航	haŋ2			
蒿	ho1			
毫	ho2=			
毫	hau2-			
豪	ho2=			
豪	hau2-			
壕	ho2			
壕	hau2			
号	ho4			
好	ho3			
郝	hɔʔ5			
好	ho3			
号	ho4			
耗	ho3=			
耗	hau4-			
浩	ho4=			
浩	hau4-			
喝	haʔ5			
禾	ho2=			
禾	hə2-			
合	haʔ6-			
何	ho2			
和	ho2=			
和	hə2-			
河	ho2			
荷	ho2			
核	huət6	1		
核	haʔ6	2		
盒	aʔ6-			
喝	hat5=			
喝	huaʔ5-			
贺	ho4			
鹤	ɡɔk6			
荷	ho2			
黑	hik5			
黑	hiet5			
痕	hən2			
很	hən3			
恨	hən4			
亨	hən1			
哼	hən1			
恒	hən2			
横	huĩ2-			
衡	hən2			
轰	hɔŋ1			
哄	hɔŋ4=			
哄	haŋ4-			
烘	hɔŋ1=			
烘	haŋ1-			
弘	hɔŋ2			
弘	ɔŋ2			
红	ɔŋ2=			
红	aŋ2-			
宏	hɔŋ2			
宏	ɔŋ2			
虹	ɔŋ2=			
虹	aŋ2-			
洪	ɔŋ2=			
洪	aŋ2-			
鸿	ɔŋ2=			
鸿	aŋ2-			
侯	həu2			
喉	həu2=			
喉	au2-			
猴	həu2=			
猴	kau2-			
瘊	həu2			
吼	həu4			
後	au4-	1		
後	həu4	2		
后	həu4			
厚	həu4=			
厚	kau4-			
候	həu4=			
候	hau1-			
乎	hu1			
呼	hu1			
忽	huʔ5			
忽	hɔk5			
忽	hɔʔ5			
狐	ho2			
胡	o2-	1		
胡	ho2	2		
壶	o2-			
斛	ɔʔ6			
湖	o2-			
烌	hu1			
蝴	o2-			
糊	ho2=			
糊	o2-			
虎	hɔ3			
浒	hɔ3			
互	hɔ4			
户	hɔ4			
沪	hɔ4=			
沪	o2-			
戽	hɔ3			
护	hɔ4			
花	hua1=			
花	hue1-			
划	uaʔ6-			
华	hua2			
铧	hua2			
慌	hɔŋ1			
皇	hɔŋ2			
黄	ɔŋ2=			
黄	hŋ2-			
黄	ŋ2-			
蝗	ɔŋ2			
簧	ɔŋ2=			
簧	hŋ2-			
簧	ŋ2-			
晃	hɔŋ3			
谎	hɔŋ3			
灰	hui1=			
灰	hu1-			
挥	hui1			
恢	hui1			
辉	hui1			
徽	hui1			
回	hue2=			
回	hui2=			
回	hə2-			
茴	hue2			
茴	hui2			
悔	hue3			
悔	hui3			
滑	huaʔ6			
化	hua4			
划	ueʔ6-			
划	uiʔ6-			
划	uat6-			
毁	hui3			
毁	hue3			
画	ue4-			
卉	hui3			
话	ue4-			
话	ua4-			
桦	hua4			
怀	huai2			
淮	huai2			
槐	huai2			
坏	huai4			
欢	huan1=			
欢	huã1-			
还	han2			
环	kʰuan2-			
缓	huan3=			
缓	uan1-			
幻	huan4			
宦	huan4			
换	uã4-			
唤	huan4			
患	huan4			
焕	huan4			
荒	hɔŋ1=			
荒	hŋ1-			
汇	hue4			
汇	hui4			
会	hue4			
讳	ui4			
绘	hue4			
贿	hue3			
贿	hui4			
晦	hue3			
晦	hui3			
秽	hui4			
惠	hue4			
惠	ui4			
喙	tsʰui4-			
汇	hue4			
慧	hue4			
慧	hui4			
慧	ui4			
昏	hun1=			
昏	hŋ1-			
荤	hun1			
婚	hun1			
浑	hun2			
馄	hun2			
魂	hun2			
混	hun4			
劐	huət5			
豁	hɔʔ5			
活	uaʔ6-			
火	hə3-			
和	ho4			
或	uaʔ6			
或	uəʔ6			
或	uat6			
货	hə4-			
获	huəʔ6			
祸	ho4			
惑	uaʔ6			
惑	uəʔ6			
霍	hɔk5			
霍	hɔʔ5			
藿	hɔk5			
藿	hɔʔ5			
PAGE 17				
讥	ki1			
