#作者：中南大学 文学与新闻传播学院 喻程琪， 刘青松， 郇国庆， 许瑛丹				
#转录者：DaiDzao				
#湖南娄底万宝镇方言同音字汇 湖南人文科技学院学报 2021 年 3 月 第 38 卷 第 2 期				
IPA	调值	调类	字	
ʨʰi	13	2	疾秩迄赤=乞尺=	
ʨʰi	31	3	起岂启	
ʨʰi	45	5	汽契缉沏砌气弃器籍寂直际极集藉值辑植殖及去-	
dʑi	13	2	期池持祁其奇祈棋旗骑齐驰	
dʑi	22	6	企忌稚治妓徛	
ɕi	44	1	湿希稀犀熙嘻蟋牺嬉	
ɕi	13	2	失释识兮	
ɕi	31	3	喜玺禧	
ɕi	45	5	十石拾食室饰适实[鼻头～起:鼻塞]戏蚀	
ɕi	22	6	隙	
ɣi	22	6	系	
Øi	44	1	伊衣医依□[～伢:母亲]	
Øi	13	2	怡移饴姨遗夷一壹[(姓)]	
Øi	31	3	已椅以□[～里:这里]	
Øi	45	5	隘亦懿易姓译抑腋益翼忆液日=意亿逸□[爆竹～咖哩:爆竹灭了]	
Øi	22	6	倚异易[交～]	
pu	13	2	不	
pu	31	3	补	
pu	45	5	布怖卜	
pʰu	44	1	铺[床～]捕	
pʰu	31	3	谱浦普□[～痰:吐口水]	
pʰu	45	5	铺[～子]剖破-	
bu	13	2	菩葡蒲仆脯伏[～倒睏:趴着睡]	
bu	22	6	步部簿□[去～他:跟踪他]	
ku	44	1	估孤姑箍辜锅-谷	
ku	13	2	谷骨=	
ku	31	3	股古鼓蛊估[猜测:～对了]	
ku	45	5	固故雇锢顾	
kʰu	44	1	□[(香脆)]□[(熟透)]	
ȵy	13	2	愚	
ȵy	31	3	语女	
ȵy	22	6	遇寓	
ly	44	1	纍[很:～胖]□[(滚动)]	
ly	31	3	吕旅屡履缕	
ly	45	5	律率[效～]□[(身上长条状的痕迹)]	
ly	22	6	泪类滤虑累-	
ʨy	44	1	拘朱珠株诛猪诸蛛居□[(挤)]□[(塞进去)]	
ʨy	13	2	□[(掏出来)]	
ʨy	31	3	嘴举主煮矩	
ʨy	45	5	句注局橘醉剧锯据h	
ʨʰy	44	1	吹-炊区蛆趋驱躯	
ʨʰy	13	2	出屈	
ʨʰy	31	3	取娶杵处[～理]	
ʨʰy	45	5	去处趣脆悴粹翠	
dʑy	13	2	除厨储垂隋徐随锤隧渠瞿	
dʑy	22	6	橱拒巨具住坠穗苎俱柱距聚惧叙序绪	
ɕy	44	1	书虚需须嘘墟须戌虽枢输舒	
ɕy	31	3	鼠=髓水黍暑许□[～老倌:爱打扮的人]	
ɕy	45	5	絮睡岁税恤述术墅恕署	
ʑy	13	2	薯殊	
ʑy	22	6	瑞竖树	
Øy	44	1	迂淤	
Øy	13	2	余俞渔娱鱼盂如于儒愉榆虞	
Øy	31	3	宇羽雨与禹乳	
Øy	45	5	玉誉御驭入喂役疫裕	
Øy	22	6	预愈喻芋逾豫	
pa	44	1	□[～子:瘸子]	
pa	31	3	摆	
pa	45	5	拜	
pa	31	3	啪□[(扛)]	
pa	45	5	派拔□[(用水浸泡)]□[～喇:脏]	
ba	13	2	排牌排[～菜:芥菜，蔬菜名]	
ba	22	6	败	
ma	13	2	埋	
ma	31	3	买卖满-	
ma	45	5		
ma	22	6	迈□[油～:人洗澡时搓下来的角质层]	
ta	13	2	达搭答	
ta	31	3	打	
ta	45	5	带戴	
tʰa	13	2	塔□[(涂抹)]□[～场:失误]	
tʰa	45	5	踏遢太泰态塌沓	
da	22	6	大	
la	44	1	垃挪啦拉□[副词:很]	
la	13	2	捺蜡腊□[～屎病:痢疾;做事拖拉的人]	
la	31	3	哪乃奶	
la	45	5	耐那纳辣□[～蒲:乳房或乳汁]	
la	22	6	赖奈癞	
tsa	13	2	杂=斋眨札扎	
tsa	45	5	债	
tsʰa	44	1	擦猜差[出～]	
tsʰa	13	2	察插	
tsʰa	45	5	炸	
dza	13	2	柴豺□[～菜:腌菜]	
dza	22	6	寨	
sa	44	1	萨筛[～子]	
sa	13	2	煞杀	
sa	31	3	筛[～酒]	
ka	44	1	皆阶佳-街	
ka	13	2	痂-挟夹	
ka	31	3	解[□～白:脸上苍白]	
ka	45	5	介械戒芥届界尬□[～倒:跟着走;赶走]□[～倒他:管着他]	
kʰa	44	1	揩	
kʰa	13	2	掐	
kʰa	31	3	凯楷楷	
xa	44	1	𨉣[点头～腰]	
xa	13	2	瞎孩	
xa	31	3	□[～宝:傻瓜]	
ɣa	13	2	鞋谐	
ɣa	45	5	狭-	
ɣa	22	6	懈蟹□[～倒:放到口袋里]	
ŋa	44	1	挨	
ŋa	13	2	鸭涯岩押-捱崖	
Øa	31	3	矮	
Øa	13	2	还[～有]	
Øa	45	5	啊	
ʨia	13	2	甲胛	
ɕia	45	5	狭=	
Øia	13	2	押=压轧=	
tsua	45	5	□[鸡～米:鸡啄米]□[(敲击)]	
dzua	13	2	杂-砸	
dzua	22	6	□[～湿了:淋湿了]	
sua	13	2	刷失-[(丢失),~呱哩]	
sua	31	3	傻洒	
kua	44	1	乖	
kua	13	2	刮□[(摔)]	
kua	31	3	拐剐	
kua	45	5	怪	
kʰua	31	3	垮傀块[～头:身材]□[(折断)]
kʰua	45	5	刽快块筷会[～计]	
xua	44	1	发=	
xua	13	2	发-法	
xua	45	5	乏伐罚筏	
ɣua	13	2	淮槐怀	
ɣua	22	6	坏	
Øua	44	1	歪□[～擦:下流]	
Øua	13	2	娃袜挖=□[～眼珠:眼窝凹陷]	
Øua	45	5	猾滑	
Øua	22	6	□[老～子:乌鸦]	
pe	44	1	杯卑背[～包]碑悲憋	
pe	13	2	白北百柏迫伯	
pe	31	3	□[(瘪)]	
pe	45	5	背[～痛]辈	
pʰe	44	1	胚坯	
pʰe	13	2	撇泼别[离～]	
pʰe	31	3	呸□[(斜眼瞪)]□[～淡嗰:饭菜淡无味]	
pʰe	45	5	佩魄配沛别[～人]□[(碰)]	
be	13	2	陪培裴赔	
be	22	6	背倍焙	
me	13	2	抹[～杀]瞒玫枚梅媒煤霉莓媚	
me	31	3	满每	
me	45	5	沐脉麦墨默末陌沫没昧	
me	22	6	妹寐	
te	44	1	爹	
te	13	2	得德	
te	31	3	者	
te	22	6	倒	
tʰe	44	1	跌	
tʰe	13	2	特帖贴铁	
tʰe	45	5	碟牒蝶谍	
le	13	2	来	
le	45	5	勒冽列劣烈裂猎肋□[(犟)]	
le	22	6	内-	
tse	44	1	厕疖	
tse	13	2	节则责接侧窄	
tse	31	3	崽宰	
tsʰe	13	2	才切[～开]妾宅=材财裁截册策择测恻	
tsʰe	31	3	采=踩=睬=彩=	
tsʰe	45	5	贼泽切[一～]捷菜蔡	
dze	22	6	在□[～行:听话]	
se	44	1	□[面～～哩:指人感到不好意思]□[生～:惹是生非]	
se	13	2	色瑟泄胁虱塞涩	
se	45	5	啬赛	
ke	13	2	劫揭结哲浙折[骨～]洁革格阁骼嗝隔	
ke	45	5	锯-[~子，~断]	
kʰe	13	2	撤辙克彻怯客刻杰竭	
kʰe	45	5	咳□[(夹在腋窝下)]□[～～:狭窄处]□[(被夹)]	
xe	13	2	黑	
xe	45	5	赫核骇辖	
xe	22	6	□[打～～:窃窃私语]	
ŋe	13	2	额呆-[~痴]	
dʑie	13	2	鲫[～鱼子]	
ɕie	44	1	歇	
ɕie	13	2	蝎协设	
ɕie	45	5	摄折[～本]舌涉舍[宿~]	
Øie	13	2	热凹-乙噎	
Øie	45	5	叶翼页	
tue	44	1	呆=堆	
tue	13	2	夺	
tue	45	5	兑队对	
tʰue	44	1	推=胎苔	
tʰue	13	2	脱	
tʰue	31	3	腿	
tʰue	45	5	褪退蜕	
due	13	2	台抬	
due	22	6	代待怠袋贷殆队[打～:结伴]	
lue	13	2	擂雷[打～]	
lue	31	3	垒儡	
lue	22	6	内累=	
tsue	44	1	灾栽□[～起行:走路不稳]	
tsue	13	2	绝=宅=	
tsue	45	5	载再	
tsʰue	44	1	崔催摧	
tsʰue	13	2	撮[～箕:簸箕]	
tsʰue	45	5	绝-	
dzue	22	6	罪	
sue	44	1	衰腮鳃	
sue	13	2	雪	
sue	31	3	甩摔跤□[(理睬)]	
sue	45	5	屑-碎帅率[～领]	
kue	44	1	该	
kue	13	2	割括各国络[～得:关系好]	
kue	31	3	改葛	
kue	45	5	丐盖概	
kʰue	44	1	开	
kʰue	13	2	阔	
kʰue	45	5	慨	
xue	44	1	灰恢	
xue	13	2	或合霍惑获藿	
xue	31	3	否海□[(呕吐)]	
xue	45	5	盒活	
ɣue	13	2	蛔回茴□[~子:讲傻话的人]	
ɣue	22	6	害亥汇会绘	
Øue	44	1	煨哀埃唉挨捱	
Øue	13	2	越粤阅悦	
Øue	31	3	蔼□[带～式:犯傻]	
Øue	45	5	锐艾曰月爱□[(大叫)]	
Øue	22	6	碍外	
ʨye	13	2	掘倔厥蕨诀决	
ʨʰye	13	2	缺=	
ɕye	13	2	血说	
po	44	1	波剥玻菠	
po	13	2	播拨脖博驳□[～钱:借钱]	
po	45	5	簸波[(亲嘴)]	
pʰo	44	1	坡扑[～火]	
pʰo	13	2	勃朴[～素]	
pʰo	31	3	扑[～克]	
pʰo	45	5	薄破=	
bo	13	2	婆	
bo	22	6	薄[～荷]	
mo	44	1	木-[(人不机灵)]	
mo	13	2	模摩膜摹魔	
mo	31	3	拇母	
mo	45	5	摸目寞木牧穆	
mo	22	6	磨募墓暮幕慕	
to	44	1	多	
to	31	3	岛朵躲捣	
to	45	5	剁	
tʰo	44	1	拖	
tʰo	13	2	托	
tʰo	31	3	妥椭	
tʰo	45	5	□[(压着)]	
do	13	2	驮砣驼	
do	22	6	度舵惰堕軃[(摞)]	
lo	44	1	啰□[(哄)]	
lo	13	2	螺罗骡萝箩锣脶	
lo	31	3	裸□[(哄)]	
lo	45	5	洛乐[～观]落络诺骆酪	
lo	22	6	糯	
tso	13	2	作琢卓捉桌	
tso	31	3	左佐	
tsʰo	44	1	搓	
tsʰo	13	2	错	
tsʰo	31	3	挫	
tsʰo	45	5	戳浊措锉昨□[(煽动)]	
dzo	22	6	坐座	
so	44	1	唆梭蓑缩=蟀□[(快速移动)]	
so	13	2	速朔索塑	
so	31	3	琐锁所	
ko	44	1	歌哥戈鸽郭锅	
ko	13	2	廓各阁搁角	
ko	31	3	果裹□[(这么)]	
ko	45	5	过个	
kʰo	44	1	科	
kʰo	13	2	确渴[～望]扩壳	
kʰo	31	3	棵颗可	
kʰo	45	5	课磕	
xo	44	1	喝	
xo	13	2	郝	
xo	31	3	火伙	
xo	45	5	鹤货豁学-[~舌：学别人的话]	
xo	22	6	祸	
ɣo	13	2	和河荷何[(姓)]	
ɣo	22	6	荷贺	
ŋo	13	2	俄吾蛾鹅	
ŋo	31	3	我	
ŋo	45	5	讹鄂厄扼颚鳄	
ŋo	22	6	卧饿	
Øo	44	1	窝蜗莴屙倭阿噩	
Øo	13	2	恶	
Øo	45	5	□[(喊)]□[烫：滚～:滚烫]	
Øo	22	6		
tio	44	1	丢	
ȵio	13	2	弱牛虐	
ȵio	31	3	扭纽	
ȵio	45	5	肉	
lio	44	1	溜	
lio	13	2	留流浏琉硫刘馏榴	
lio	31	3	柳	
lio	45	5	掠略	
tsio	13	2	爵	
tsio	31	3	酒	
tsio	45	5	揪□[(扭)]□[～筋:蛮横]□[(心里不舒服)]	
sio	44	1	修羞	
sio	13	2	削	
sio	45	5	秀袖绣锈	
ʨio	44	1	纠阄周粥洲州舟咎	
ʨio	13	2	烛嘱酌筑鞠觉[～得]竹祝着脚菊	
ʨio	31	3	肘帚九久韭灸	
ʨio	45	5	昼咒究救	
ʨʰio	44	1	抽邱丘秋鳅	
ʨʰio	13	2	束畜曲逐	
ʨʰio	31	3	丑	
ʨʰio	45	5	鹊臭却雀嚼	
ʨʰio	22	6	触	
dʑio	13	2	酬求球囚稠绸筹	
dʑio	22	6	臼就舅旧售宙纣	
ɕio	44	1	淑休收叔	
ɕio	13	2	硕学芍	
ɕio	31	3	手朽守首	
ɕio	45	5	属术勺孰蓄熟赎蜀鼠-兽□[(哄骗)]	
ʑio	13	2	仇	
ʑio	22	6	受寿授	
Øio	44	1	幽悠忧优攸	
Øio	13	2	尤由约油邮犹游柔揉	
Øio	31	3	有酉诱友	
Øio	45	5	郁岳欲跃褥狱乐[音～]欲浴育若钥药幼柚釉佑辱	
Øio	22	6	又右	
pɔ	44	1	巴芭疤爸□[～老哩:很老]	
pɔ	31	3	把	
pɔ	45	5	霸坝□[肉～～:肉，儿语]	
pʰɔ	45	5	拔怕帕白-	
bɔ	13	2	杷钯扒琶耙拍	
bɔ	22	6	罢吧□[～开:动词，张开两腿]	
mɔ	44	1	妈□[(蒙)]	
mɔ	13	2	麻抹-[～布]蟆	
mɔ	31	3	马码	
mɔ	45	5	□[～李子:一种李子]	
mɔ	22	6	骂	
tɔ	44	1	他	
lɔ	13	2	拿□[(爬,挪动)]	
tsɔ	44	1	抓渣	
tsɔ	13	2	摘	
tsɔ	31	3	□[(捆)]	
tsɔ	45	5	闸炸轧诈榨	
tsʰɔ	44	1	叉杈差[时～]钗	
tsʰɔ	13	2	拆	
tsʰɔ	45	5	岔□[(选)]	
dzɔ	13	2	茶查楂□[(拆开)]	
dzɔ	22	6	□[～扫子:大竹扫把]	
sɔ	44	1	沙纱痧砂	
sɔ	13	2	□[～开:分成几块]	
sɔ	31	3	耍	
sɔ	45	5	晒	
kɔ	44	1	瓜□[～得倒:能够胜任]	
kɔ	13	2	掼[(摔)]	
kɔ	31	3	寡剐	
kɔ	45	5	架-[衣～子]挂嫁-褂卦	
kʰɔ	44	1	□[(掐)]夸	
kʰɔ	45	5	跨胯	
xɔ	44	1	虾花	
xɔ	13	2	吓	
xɔ	31	3	好[～看]	
xɔ	45	5	化	
ɣɔ	13	2	华桦划[～船]	
ɣɔ	22	6	下-画划[计～]□[(副词，全都)]	
ŋɔ	44	1	□[～起:张着嘴巴]	
ŋɔ	13	2	牙伢芽衙	
ŋɔ	31	3	哑瓦	
ŋɔ	45	5	额-	
Øɔ	44	1	蛙挖-	
Øɔ	31	3	□[(语气词，表示答应)]	
Øɔ	22	6	话	
piɔ	13	2	壁=	
tiɔ	44	1	爹-	
tiɔ	13	2	滴-	
diɔ	13	2	提-	
liɔ	44	1	□[～啊～:撒娇]	
liɔ	31	3	□[～胆子:甩包袱]□[～舌子:伸出舌头]	
liɔ	45	5	□[～苦嗰:极苦]	
tsiɔ	13	2	脊-[□～淡嗰:淡而无味]	
tsiɔ	31	3	姐	
tsiɔ	45	5	借	
tsʰiɔ	45	5	席[～子]	
dʑiɔ	13	2	邪斜	
dʑiɔ	22	6	谢	
siɔ	44	1	些	
siɔ	13	2	锡-	
siɔ	31	3	写	
siɔ	45	5	卸泻	
ʨiɔ	44	1	佳=家遮嘉痂=加	
ʨiɔ	13	2	只	
ʨiɔ	31	3	假贾□[(抓)]	
ʨiɔ	45	5	稼价架=驾嫁=借蔗□[～势:开始]	
ʨʰiɔ	44	1	赤-车吃	
ʨʰiɔ	13	2	尺-	
ʨʰiɔ	31	3	扯	
ʨʰiɔ	45	5	恰[～好]□[弹～舞～:举止不规矩]	
dʑiɔ	13	2	瘸茄	
ɕiɔ	44	1	奢靴赊	
ɕiɔ	31	3	舍[～得]	
ɕiɔ	45	5	赦峡射侠射-[只个～:跑得飞快]	
ʑiɔ	13	2	佘遐瑕霞暇蛇	
ʑiɔ	22	6	下=夏厦社射麝	
Øiɔ	44	1	耶椰丫鸦	
Øiɔ	13	2	爷	
Øiɔ	31	3	雅也-野	
Øiɔ	45	5	亚□[(扔)]	
Øiɔ	22	6	夜	
pɤ	44	1	包褒胞	
pɤ	31	3	保堡饱宝	
pɤ	45	5	豹报□[打～工:无偿帮助]□[～脑壳:不踏实的人]	
pʰɤ	44	1	抛浮雹鳔麃[(野莓)]	
pʰɤ	31	3	跑	
pʰɤ	45	5	泡炮爆瀑曝	
bɤ	13	2	刨袍咆鲍浮-	
bɤ	22	6	抱暴	
mɤ	44	1	猫	
mɤ	13	2	毛矛茅锚	
mɤ	31	3	卯	
mɤ	45	5	冒莫[~动：别动]貌	
mɤ	22	6	帽冇	
tɤ	44	1	刀	
tɤ	31	3	祷倒[～下]蹈	
tɤ	45	5	倒[～立]到	
tʰɤ	44	1	滔	
tʰɤ	31	3	讨	
tʰɤ	45	5	导套	
dɤ	13	2	涛逃桃陶淘萄掏	
dɤ	22	6	盗道稻□[～路:事情]	
lɤ	44	1	□[(臊味)]□[～起个脚:跷二郎腿]□[(缠绕)]	
lɤ	13	2	捞牢劳涝唠痨□[(菜脱水，蔫了)]	
lɤ	31	3	老恼脑□[服～:认输]	
lɤ	45	5	□[(乞讨)]	
lɤ	22	6	闹痨[～死:毒死]	
tsɤ	44	1	糟遭□[(松脆)]	
tsɤ	31	3	早澡枣爪找藻蚤	
tsɤ	45	5	罩灶	
tsʰɤ	44	1	操钞=抄	
tsʰɤ	31	3	草炒吵	
tsʰɤ	45	5	躁燥糙	
dzɤ	13	2	嘈曹槽巢	
dzɤ	22	6	造皂□[(错误)]	
sɤ	44	1	搜骚臊	
sɤ	31	3	稍嫂扫[～地]	
sɤ	45	5	潲哨扫[～把]	
kɤ	44	1	糕高膏羔勾[～当]沟=	
kɤ	31	3	搞稿	
kɤ	45	5	够教[～书]构较-窖觉-[睏～，睡觉]购告□[～起哩:凝固了]	
kʰɤ	44	1	敲抠	
kʰɤ	31	3	考口拷□[～子:睾丸]	
kʰɤ	45	5	靠扣铐寇	
xɤ	44	1	蒿薅	
xɤ	13	2	毫豪	
xɤ	31	3	好	
xɤ	45	5	吼耗孝-[~巾]好[爱～]	
ɣɤ	13	2	壕喉嚎猴侯[(姓)]号[～啕大哭]□[(做)]	
ɣɤ	31	3	烤	
ɣɤ	22	6	浩号[～码]厚后候[～车]	
ŋɤ	44	1	欧殴	
ŋɤ	13	2	昂熬	
ŋɤ	31	3	藕袄呕咬偶□[(用盐腌)]	
ŋɤ	45	5	怄傲坳奥澳懊沤[～烂]	
Øɤ	13	2	儿而	
Øɤ	31	3	耳尔饵□[懒～得:不想理睬]	
Øɤ	22	6	二	
piɤ	44	1	标彪膘熛[(溅出来)]飙[(快速跑)]	
piɤ	31	3	表婊	
pʰiɤ	44	1	飘	
pʰiɤ	31	3	漂[～白]	
pʰiɤ	45	5	票漂[～亮]	
biɤ	13	2	嫖瓢□[(肿)]	
miɤ	13	2	苗谋锚描	
miɤ	31	3	亩某牡秒渺蔑	
miɤ	45	5	贸[外～]妙谬	
miɤ	22	6	庙茂贸[～易]	
tiɤ	44	1	刁凋雕貂兜	
tiɤ	31	3	抖陡斗[～笠]□[(踢)]	
tiɤ	45	5	吊掉钓调[～子]斗[～争]	
tʰiɤ	44	1	偷挑	
tʰiɤ	31	3	斢	
tʰiɤ	45	5	透跳	
diɤ	13	2	条投头调[～整]	
diɤ	31	3	屌	
diɤ	22	6	豆逗痘吊[～起:下垂]	
ȵiɤ	44	1	□[～嫩嗰:非常嫩]	
ȵiɤ	31	3	鸟	
ȵiɤ	22	6	尿	
liɤ	44	1	□[～倒:绊倒]	
liɤ	13	2	楼聊娄撩僚辽燎疗□[(蔬菜,肉菜过热水)]	
liɤ	31	3	瞭篓搂了[～结]	
liɤ	22	6	料寥廖漏陋	
tsiɤ	44	1	椒焦邹胶蕉	
tsiɤ	31	3	走	
tsiɤ	45	5	皱绉奏	
tsʰiɤ	45	5	凑骤	
dʑiɤ	13	2	愁樵	
siɤ	44	1	馊肖逍消硝销萧箫霄宵	
siɤ	31	3	小	
siɤ	45	5	笑瘦-	
ʨiɤ	44	1	勾-钩-交浇招昭沼郊胶沟茭娇骄朝[～阳]	
ʨiɤ	31	3	苟狡绞剿侥饺矫搅缴狗□[~子:跳蚤]	
ʨiɤ	45	5	叫诏照教=[信～]	
ʨʰiɤ	44	1	悄超钞-□[(搬)]□[(约)]搊[～尿:抱着婴儿撒尿]	
ʨʰiɤ	31	3	巧	
ʨʰiɤ	45	5	俏翘窍	
dʑiɤ	13	2	乔侨荞桥瞧朝[～代]潮	
dʑiɤ	22	6	召兆轿撬赵	
ɕiɤ	44	1	烧屑-嚣侥-	
ɕiɤ	31	3	晓少[多～]	
ʑiɤ	45	5	孝哮邵酵瘦-少[～年]	
ʑiɤ	13	2	淆肴韶	
Øiɤ	22	6	绍效校	
Øiɤ	44	1	幺夭吆妖腰邀要[～求]	
Øiɤ	13	2	饶姚窑尧摇遥谣挠	
Øiɤ	31	3	舀扰绕	
Øiɤ	45	5	要[重～]	
Øiɤ	22	6	耀	
tʰui	44	1	缺-	
tsui	45	5	最	
kui	44	1	骨-圭规闺归龟	
kui	31	3	诡轨鬼	
kui	45	5	鳜桂贵	
kʰui	44	1	盔亏魁	
kʰui	31	3	跪	
kʰui	45	5	愧溃瑰窥	
xui	44	1	妃挥诙辉徽非飞菲	
xui	31	3	翡匪毁贿	
xui	45	5	汇讳晦卉悔肺废痱费	
ɣui	13	2	谁肥葵	
ɣui	22	6	柜慧惠会[开～]	
Øui	44	1	薇魏威	
Øui	13	2	微唯帷唯惟围为[行～]危违维	
Øui	31	3	尾委萎伟苇纬	
Øui	45	5	伪畏卫谓尉蔚慰猬胃□[(浸没)]	
Øui	22	6	未位味	
tɤu	44	1	都督	
tɤu	13	2	毒=笃	
tɤu	31	3	堵赌睹	
tʰɤu	13	2	秃突	
tʰɤu	31	3	土	
tʰɤu	45	5	兔吐-毒-独-读-	
dɤu	13	2	徒屠图涂途	
dɤu	31	3	肚子	
dɤu	22	6	杜妒度渡镀□[(小声发牢骚)]	
lɤu	44	1	绿□[(生锈)]	
lɤu	13	2	卢芦庐炉奴驴	
lɤu	31	3	橹努卤鲁虏□[～锅:补锅]	
lɤu	45	5	陆鹿禄六录漉[～鱼:捞鱼]	
lɤu	22	6	怒露路赂鹭	
tsɤu	44	1	租	
tsɤu	13	2	足	
tsɤu	31	3	祖组阻	
tsɤu	45	5	做	
tsʰɤu	44	1	初粗	
tsʰɤu	13	2	□[～起哩:想不起]	
tsʰɤu	31	3	楚础	
tsʰɤu	45	5	促簇族猝醋	
dzɤu	13	2	锄	
dzɤu	22	6	助	
sɤu	44	1	梳疏蔬酥苏	
sɤu	13	2	宿续缩-俗肃	
sɤu	31	3	数[～数，动词]	
sɤu	45	5	素数[～学,名词]漱嗽诉	
xɤu	44	1	夫孵敷乎呼肤麸	
xɤu	13	2	忽复福佛幅辐蝠覆	
xɤu	31	3	府抚斧甫腐釜辅琥俯腑虎浒	
xɤu	45	5	袱赋傅[(姓)]负阜赴富咐付副服伏沸	
ɣɤu	13	2	狐葫湖蝴胡鬍[～子]糊壶瓠胡[(姓)]	
ɣɤu	22	6	互户沪护父附妇	
Øɤu	44	1	污巫屋乌诬□[～到眼珠:遮住眼睛]	
Øɤu	13	2	吴梧禾无蜈	
Øɤu	31	3	五午伍武侮舞鹉	
Øɤu	45	5	勿沃握物	
Øɤu	22	6	悟务误雾戊	
pin	44	1	崩彬宾滨槟殡冰兵	
pin	31	3	本丙秉柄禀饼	
pin	45	5	并奔迸[合～]	
pʰin	44	1	拼乒	
pʰin	31	3	品	
pʰin	45	5	喷=聘娉	
bin	13	2	贫频盆平屏瓶萍评凭湓[～咖哩:溢出来了]	
bin	22	6	并[～肩]病	
min	44	1	蚊-	
min	13	2	门民盟闽名明鸣铭泯	
min	31	3	敏悯抿皿闵	
min	45	5	闷	
min	22	6	命=	
tin	44	1	砧=丁=钉=	
tin	31	3	顶鼎	
tin	45	5	圳订[预～]	
tʰin	44	1	厅=汀	
tʰin	31	3	铤挺艇	
tʰin	45	5	听=	
din	13	2	廷亭庭停蜓	
din	22	6	定	
lin	13	2	棱林霖淋宁邻临麟磷伶凌陵零铃龄灵鳞	
lin	31	3	领岭凛另	
lin	45	5	吝	
lin	22	6	令	
ȵin	13	2	银人淫凝	
ȵin	45	5	□[输得～光:输得精光]	
tsin	44	1	津[(吮吸)]京荆茎晶经精	
tsin	31	3	井	
tsin	45	5	浸-进	
tsʰin	44	1	青蜻卿清亲[～生]	
tsʰin	31	3	请-寝揿□[～起:抬头]	
tsʰin	45	5	烬亲[～家]浸侵□[(冰凉)]	
dʑin	13	2	臣情寻辰沉陈情晴晨芹秦琴勤擒禽尘	
dʑin	22	6	尽近净静	
sin	44	1	心辛新星薪腥=	
sin	31	3	醒	
sin	45	5	迅讯信性姓	
ʨin	44	1	征蒸筝筋斤征今珍正[～月]针侦斟臻贞真金巾鲸惊睛	
ʨin	31	3	枕拯整诊疹紧境景警颈锦谨	
ʨin	45	5	镜证竞禁竟振晋震政症正[～好]镇敬径劲	
ʨʰin	44	1	轻	
ʨʰin	31	3	请=	
ʨʰin	45	5	庆称[～职]诚秤[～砣]	
dʑin	22	6	阵郑	
