汉字	ipa	声母	韵母	声调	
躲	ɗœ55	ɗ	œ	陰上55	
披	pi55	p	i	陰上55	
鄙	pʰi55	pʰ	i	陰上55	
彼	pʰi55	pʰ	i	陰上55	
譬	pʰi55	pʰ	i	陰上55	
比	ɓi55	ɓ	i	陰上55	
匪	fi55	f	i	陰上55	
子	ti55	t	i	陰上55	
紫	ti55	t	i	陰上55	
此	tʰi55	tʰ	i	陰上55	
紙	tʃi55	tʃ	i	陰上55	
只	tʃi55	tʃ	i	陰上55	
旨	tʃi55	tʃ	i	陰上55	
指	tʃi55	tʃ	i	陰上55	
止	tʃi55	tʃ	i	陰上55	
址	tʃi55	tʃ	i	陰上55	
脂	tʃi55	tʃ	i	陰上55	
始	tʃʰi55	tʃʰ	i	陰上55	
失	tʃʰi55	tʃʰ	i	陰上55	
恥	tʃʰi55	tʃʰ	i	陰上55	
齒	tʃʰi55	tʃʰ	i	陰上55	
屎	ʃi55	ʃ	i	陰上55	
史	ʃi55	ʃ	i	陰上55	
駛	ʃi55	ʃ	i	陰上55	
紀	ki55	k	i	陰上55	
己	ki55	k	i	陰上55	
幾	ki55	k	i	陰上55	
喜	hi55	h	i	陰上55	
起	hi55	h	i	陰上55	
豈	hi55	h	i	陰上55	
倚	øi55	ø	i	陰上55	
椅	øi55	ø	i	陰上55	
甫	pʰu55	pʰ	u	陰上55	
輔	pʰu55	pʰ	u	陰上55	
譜	pʰu55	pʰ	u	陰上55	
普	pʰu55	pʰ	u	陰上55	
虎	fu55	f	u	陰上55	
苦	fu55	f	u	陰上55	
府	fu55	f	u	陰上55	
腑	fu55	f	u	陰上55	
斧	fu55	f	u	陰上55	
祖	tu55	t	u	陰上55	
組	tu55	t	u	陰上55	
土	tʰu55	tʰ	u	陰上55	
賭	ɗu55	ɗ	u	陰上55	
古	ku55	k	u	陰上55	
股	ku55	k	u	陰上55	
鼔	ku55	k	u	陰上55	
賈	ku55	k	u	陰上55	
取	tʰy55	tʰ	y	陰上55	
主	tʃy55	tʃ	y	陰上55	
煮	tʃy55	tʃ	y	陰上55	
處	tʃʰy55	tʃʰ	y	陰上55	
黍	ʃy55	ʃ	y	陰上55	
暑	ʃy55	ʃ	y	陰上55	
鼠	ʃy55	ʃ	y	陰上55	
數	ʃy55	ʃ	y	陰上55	
擧	ky55	k	y	陰上55	
許	hy55	h	y	陰上55	
派	pʰai55	pʰ	ai	陰上55	
擺	ɓai55	ɓ	ai	陰上55	
歪	mai55	m	ai	陰上55	
歹	ɗai55	ɗ	ai	陰上55	
解	kai55	k	ai	陰上55	
拐	kʋai55	kʋ	ai	陰上55	
矮	øai55	ø	ai	陰上55	
毀	ʋɐi55	ʋ	ɐi	陰上55	
委	ʋɐi55	ʋ	ɐi	陰上55	
體	tʰɐi55	tʰ	ɐi	陰上55	
底	ɗɐi55	ɗ	ɐi	陰上55	
抵	ɗɐi55	ɗ	ɐi	陰上55	
牴	ɗɐi55	ɗ	ɐi	陰上55	
洗	ɬɐi55	ɬ	ɐi	陰上55	
使	ʃɐi55	ʃ	ɐi	陰上55	
啟	kʰɐi55	kʰ	ɐi	陰上55	
鬼	kʋɐi55	kʋ	ɐi	陰上55	
軌	kʋɐi55	kʋ	ɐi	陰上55	
宰	tɔi55	t	ɔi	陰上55	
彩	tʰɔi55	tʰ	ɔi	陰上55	
採	tʰɔi55	tʰ	ɔi	陰上55	
睬	tʰɔi55	tʰ	ɔi	陰上55	
改	kɔi55	k	ɔi	陰上55	
海	hɔi55	h	ɔi	陰上55	
悔	ʋui55	ʋ	ui	陰上55	
嘴	tui55	t	ui	陰上55	
翠	ɬui55	ɬ	ui	陰上55	
喘	tʃʰui55	tʃʰ	ui	陰上55	
水	ʃui55	ʃ	ui	陰上55	
貓	miɛu55	m	iɛu	陰上55	
表	ɓiu55	ɓ	iu	陰上55	
小	ɬiu55	ɬ	iu	陰上55	
少	ʃiu55	ʃ	iu	陰上55	
僑	kiu55	k	iu	陰上55	
曉	hiu55	h	iu	陰上55	
跑	pʰau55	pʰ	au	陰上55	
飽	ɓau55	ɓ	au	陰上55	
抓	tʃau55	tʃ	au	陰上55	
爪	tʃau55	tʃ	au	陰上55	
爪	tʃau55	tʃ	au	陰上55	
牙	tʃau55	tʃ	au	陰上55	
找	tʃau55	tʃ	au	陰上55	
肘	tʃau55	tʃ	au	陰上55	
炒	tʃʰau55	tʃʰ	au	陰上55	
抓	ȵau55	ȵ	au	陰上55	
爪	ȵau55	ȵ	au	陰上55	
稍	ʃau55	ʃ	au	陰上55	
校	kau55	k	au	陰上55	
對	kau55	k	au	陰上55	
較	kau55	k	au	陰上55	
絞	kau55	k	au	陰上55	
狡	kau55	k	au	陰上55	
攪	kau55	k	au	陰上55	
搞	kau55	k	au	陰上55	
巧	hau55	h	au	陰上55	
考	hau55	h	au	陰上55	
保	ɓɐu55	ɓ	ɐu	陰上55	
寶	ɓɐu55	ɓ	ɐu	陰上55	
堡	ɓɐu55	ɓ	ɐu	陰上55	
酒	tɐu55	t	ɐu	陰上55	
走	tɐu55	t	ɐu	陰上55	
早	tɐu55	t	ɐu	陰上55	
棗	tɐu55	t	ɐu	陰上55	
討	tʰɐu55	tʰ	ɐu	陰上55	
草	tʰɐu55	tʰ	ɐu	陰上55	
禱	tʰɐu55	tʰ	ɐu	陰上55	
斗	ɗɐu55	ɗ	ɐu	陰上55	
抖	ɗɐu55	ɗ	ɐu	陰上55	
禱	ɗɐu55	ɗ	ɐu	陰上55	
島	ɗɐu55	ɗ	ɐu	陰上55	
倒	ɗɐu55	ɗ	ɐu	陰上55	
搗	ɗɐu55	ɗ	ɐu	陰上55	
紐	nɐu55	n	ɐu	陰上55	
約	nɐu55	n	ɐu	陰上55	
扭	nɐu55	n	ɐu	陰上55	
摟	lɐu55	l	ɐu	陰上55	
搜	ɬɐu55	ɬ	ɐu	陰上55	
否	ɬɐu55	ɬ	ɐu	陰上55	
嫂	ɬɐu55	ɬ	ɐu	陰上55	
帚	tʃɐu55	tʃ	ɐu	陰上55	
糾	tʃɐu55	tʃ	ɐu	陰上55	
醜	tʃʰɐu55	tʃʰ	ɐu	陰上55	
手	ʃɐu55	ʃ	ɐu	陰上55	
首	ʃɐu55	ʃ	ɐu	陰上55	
守	ʃɐu55	ʃ	ɐu	陰上55	
九	kɐu55	k	ɐu	陰上55	
狗	kɐu55	k	ɐu	陰上55	
茍	kɐu55	k	ɐu	陰上55	
久	kɐu55	k	ɐu	陰上55	
韭	kɐu55	k	ɐu	陰上55	
稿	kɐu55	k	ɐu	陰上55	
口	hɐu55	h	ɐu	陰上55	
好	hɐu55	h	ɐu	陰上55	
賄	jɐu55	j	ɐu	陰上55	
朽	jɐu55	j	ɐu	陰上55	
嘔	øɐu55	ø	ɐu	陰上55	
慘	tʰam55	tʰ	am	陰上55	
膽	ɗam55	ɗ	am	陰上55	
覽	lam55	l	am	陰上55	
攬	lam55	l	am	陰上55	
斬	tʃam55	tʃ	am	陰上55	
減	kam55	k	am	陰上55	
枕	tʃɐm55	tʃ	ɐm	陰上55	
寢	tʃʰɐm55	tʃʰ	ɐm	陰上55	
飲	ȵɐm55	ȵ	ɐm	陰上55	
嬸	ʃɐm55	ʃ	ɐm	陰上55	
審	ʃɐm55	ʃ	ɐm	陰上55	
沈	ʃɐm55	ʃ	ɐm	陰上55	
感	kɐm55	k	ɐm	陰上55	
敢	kɐm55	k	ɐm	陰上55	
點	ɗim55	ɗ	im	陰上55	
陜	ʃim55	ʃ	im	陰上55	
檢	kʰim55	kʰ	im	陰上55	
險	him55	h	im	陰上55	
掩	jim55	j	im	陰上55	
淹	jim55	j	im	陰上55	
板	ɓã55	ɓ	ã	陰上55	
版	ɓã55	ɓ	ã	陰上55	
反	fã55	f	ã	陰上55	
挽	ʋã55	ʋ	ã	陰上55	
毯	tʰã55	tʰ	ã	陰上55	
坦	tʰã55	tʰ	ã	陰上55	
散	ɬã55	ɬ	ã	陰上55	
盞	tʃã55	tʃ	ã	陰上55	
鏟	tʃʰã55	tʃʰ	ã	陰上55	
產	tʃʰã55	tʃʰ	ã	陰上55	
鹼	kã55	k	ã	陰上55	
澗	kã55	k	ã	陰上55	
簡	kã55	k	ã	陰上55	
柬	kã55	k	ã	陰上55	
揀	kã55	k	ã	陰上55	
繭	kã55	k	ã	陰上55	
碱	kã55	k	ã	陰上55	
品	pʰɐn55	pʰ	ɐn	陰上55	
粉	fɐn55	f	ɐn	陰上55	
穩	ʋɐn55	ʋ	ɐn	陰上55	
噸	ɗɐn55	ɗ	ɐn	陰上55	
筍	ɬɐn55	ɬ	ɐn	陰上55	
准	tʃɐn55	tʃ	ɐn	陰上55	
蠢	tʃʰɐn55	tʃʰ	ɐn	陰上55	
診	tʃʰɐn55	tʃʰ	ɐn	陰上55	
疹	tʃʰɐn55	tʃʰ	ɐn	陰上55	
緊	kɐn55	k	ɐn	陰上55	
僅	kɐn55	k	ɐn	陰上55	
很	hɐn55	h	ɐn	陰上55	
墾	hɐn55	h	ɐn	陰上55	
墾	hɐn55	h	ɐn	陰上55	
滾	kʋɐn55	kʋ	ɐn	陰上55	
水	kʋɐn55	kʋ	ɐn	陰上55	
滾	kʰʋɐn55	kʰʋ	ɐn	陰上55	
鐵	kʰʋɐn55	kʰʋ	ɐn	陰上55	
環	kʰʋɐn55	kʰʋ	ɐn	陰上55	
隱	jɐn55	j	ɐn	陰上55	
桿	kɔn55	k	ɔn	陰上55	
稈	kɔn55	k	ɔn	陰上55	
趕	kɔn55	k	ɔn	陰上55	
刊	hɔn55	h	ɔn	陰上55	
匾	ɓin55	ɓ	in	陰上55	
貶	ɓin55	ɓ	in	陰上55	
扁	ɓin55	ɓ	in	陰上55	
剪	tin55	t	in	陰上55	
淺	tʰin55	tʰ	in	陰上55	
典	ɗin55	ɗ	in	陰上55	
輦	lin55	l	in	陰上55	
攆	lin55	l	in	陰上55	
癬	ɬin55	ɬ	in	陰上55	
碾	tʃin55	tʃ	in	陰上55	
展	tʃin55	tʃ	in	陰上55	
顯	jin55	j	in	陰上55	
扁	ɓiɛn55	ɓ	iɛn	陰上55	
白	ɓiɛn55	ɓ	iɛn	陰上55	
本	ɓun55	ɓ	un	陰上55	
款	fun55	f	un	陰上55	
豌	ʋun55	ʋ	un	陰上55	
碗	ʋun55	ʋ	un	陰上55	
短	ɗun55	ɗ	un	陰上55	
選	ɬun55	ɬ	un	陰上55	
損	ɬun55	ɬ	un	陰上55	
轉	tʃun55	tʃ	un	陰上55	
喘	tʃʰun55	tʃʰ	un	陰上55	
管	kun55	k	un	陰上55	
館	kun55	k	un	陰上55	
卷	kun55	k	un	陰上55	
捲	kun55	k	un	陰上55	
犬	jun55	j	un	陰上55	
等	ɗɐŋ55	ɗ	ɐŋ	陰上55	
肯	hɐŋ55	h	ɐŋ	陰上55	
啃	hɐŋ55	h	ɐŋ	陰上55	
捧	ɓoŋ55	ɓ	oŋ	陰上55	
棒	ɓoŋ55	ɓ	oŋ	陰上55	
諷	foŋ55	f	oŋ	陰上55	
總	toŋ55	t	oŋ	陰上55	
桶	tʰoŋ55	tʰ	oŋ	陰上55	
捅	tʰoŋ55	tʰ	oŋ	陰上55	
董	ɗoŋ55	ɗ	oŋ	陰上55	
懂	ɗoŋ55	ɗ	oŋ	陰上55	
攏	loŋ55	l	oŋ	陰上55	
隴	loŋ55	l	oŋ	陰上55	
壠	loŋ55	l	oŋ	陰上55	
種	tʃoŋ55	tʃ	oŋ	陰上55	
腫	tʃoŋ55	tʃ	oŋ	陰上55	
統	tʃʰoŋ55	tʃʰ	oŋ	陰上55	
寵	tʃʰoŋ55	tʃʰ	oŋ	陰上55	
拱	koŋ55	k	oŋ	陰上55	
鞏	koŋ55	k	oŋ	陰上55	
孔	hoŋ55	h	oŋ	陰上55	
恐	hoŋ55	h	oŋ	陰上55	
擁	joŋ55	j	oŋ	陰上55	
勇	joŋ55	j	oŋ	陰上55	
餅	ɓɪŋ55	ɓ	ɪŋ	陰上55	
丙	ɓɪŋ55	ɓ	ɪŋ	陰上55	
秉	ɓɪŋ55	ɓ	ɪŋ	陰上55	
併	ɓɪŋ55	ɓ	ɪŋ	陰上55	
井	tɪŋ55	t	ɪŋ	陰上55	
請	tʰɪŋ55	tʰ	ɪŋ	陰上55	
頂	ɗɪŋ55	ɗ	ɪŋ	陰上55	
鼎	ɗɪŋ55	ɗ	ɪŋ	陰上55	
醒	ɬɪŋ55	ɬ	ɪŋ	陰上55	
省	ɬɪŋ55	ɬ	ɪŋ	陰上55	
整	tʃɪŋ55	tʃ	ɪŋ	陰上55	
省	ʃɪŋ55	ʃ	ɪŋ	陰上55	
景	kɪŋ55	k	ɪŋ	陰上55	
警	kɪŋ55	k	ɪŋ	陰上55	
頸	kɪŋ55	k	ɪŋ	陰上55	
境	kɪŋ55	k	ɪŋ	陰上55	
頃	kʰɪŋ55	kʰ	ɪŋ	陰上55	
影	jɪŋ55	j	ɪŋ	陰上55	
蔣	tiaŋ55	t	iaŋ	陰上55	
獎	tiaŋ55	t	iaŋ	陰上55	
搶	tʰiaŋ55	tʰ	iaŋ	陰上55	
兩	liaŋ55	l	iaŋ	陰上55	
斤	liaŋ55	l	iaŋ	陰上55	
輛	liaŋ55	l	iaŋ	陰上55	
想	ɬiaŋ55	ɬ	iaŋ	陰上55	
長	tʃiaŋ55	tʃ	iaŋ	陰上55	
掌	tʃiaŋ55	tʃ	iaŋ	陰上55	
暢	tʃʰiaŋ55	tʃʰ	iaŋ	陰上55	
賞	ʃiaŋ55	ʃ	iaŋ	陰上55	
享	hiaŋ55	h	iaŋ	陰上55	
響	hiaŋ55	h	iaŋ	陰上55	
餉	hiaŋ55	h	iaŋ	陰上55	
榜	ɓœŋ55	ɓ	œŋ	陰上55	
綁	ɓœŋ55	ɓ	œŋ	陰上55	
訪	fœŋ55	f	œŋ	陰上55	
紡	fœŋ55	f	œŋ	陰上55	
彷	fœŋ55	f	œŋ	陰上55	
仿	fœŋ55	f	œŋ	陰上55	
倣	fœŋ55	f	œŋ	陰上55	
汪	ʋœŋ55	ʋ	œŋ	陰上55	
枉	ʋœŋ55	ʋ	œŋ	陰上55	
倘	tʰœŋ55	tʰ	œŋ	陰上55	
躺	tʰœŋ55	tʰ	œŋ	陰上55	
擋	ɗœŋ55	ɗ	œŋ	陰上55	
黨	ɗœŋ55	ɗ	œŋ	陰上55	
廠	tʃʰœŋ55	tʃʰ	œŋ	陰上55	
創	tʃʰœŋ55	tʃʰ	œŋ	陰上55	
闖	tʃʰœŋ55	tʃʰ	œŋ	陰上55	
爽	ʃœŋ55	ʃ	œŋ	陰上55	
廣	kœŋ55	k	œŋ	陰上55	
港	kœŋ55	k	œŋ	陰上55	
講	kœŋ55	k	œŋ	陰上55	
怕	pʰa51/33	pʰ	a	陰去51...33	
霸	ɓa51/33	ɓ	a	陰去51...33	
欛	ɓa51/33	ɓ	a	陰去51...33	
壩	ɓa51/33	ɓ	a	陰去51...33	
化	fa51/33	f	a	陰去51...33	
乍	tʃa51/33	tʃ	a	陰去51...33	
詐	tʃa51/33	tʃ	a	陰去51...33	
榨	tʃa51/33	tʃ	a	陰去51...33	
炸	tʃa51/33	tʃ	a	陰去51...33	
岔	tʃʰa51/33	tʃʰ	a	陰去51...33	
架	ka51/33	k	a	陰去51...33	
嫁	ka51/33	k	a	陰去51...33	
駕	ka51/33	k	a	陰去51...33	
稼	ka51/33	k	a	陰去51...33	
價	ka51/33	k	a	陰去51...33	
賈	ka51/33	k	a	陰去51...33	
卡	kʰa51/33	kʰ	a	陰去51...33	
片	kʰa51/33	kʰ	a	陰去51...33	
掛	kʋa51/33	kʋ	a	陰去51...33	
卦	kʋa51/33	kʋ	a	陰去51...33	
亞	øa51/33	ø	a	陰去51...33	
破	pʰo51/33	pʰ	o	陰去51...33	
播	ɓo51/33	ɓ	o	陰去51...33	
簸	ɓo51/33	ɓ	o	陰去51...33	
貨	fo51/33	f	o	陰去51...33	
課	fo51/33	f	o	陰去51...33	
錯	ɗo51/33	ɗ	o	陰去51...33	
個	ko51/33	k	o	陰去51...33	
過	ko51/33	k	o	陰去51...33	
借	tɛ51/33	t	ɛ	陰去51...33	
瀉	ɬɛ51/33	ɬ	ɛ	陰去51...33	
卸	ɬɛ51/33	ɬ	ɛ	陰去51...33	
赦	ʃɛ51/33	ʃ	ɛ	陰去51...33	
舍	ʃɛ51/33	ʃ	ɛ	陰去51...33	
屁	pʰi51/33	pʰ	i	陰去51...33	
臂	ɓi51/33	ɓ	i	陰去51...33	
秘	ɓi51/33	ɓ	i	陰去51...33	
費	fi51/33	f	i	陰去51...33	
肺	fi51/33	f	i	陰去51...33	
廢	fi51/33	f	i	陰去51...33	
廁	tʰi51/33	tʰ	i	陰去51...33	
次	tʰi51/33	tʰ	i	陰去51...33	
四	ɬi51/33	ɬ	i	陰去51...33	
肆	ɬi51/33	ɬ	i	陰去51...33	
智	tʃi51/33	tʃ	i	陰去51...33	
致	tʃi51/33	tʃ	i	陰去51...33	
至	tʃi51/33	tʃ	i	陰去51...33	
志	tʃi51/33	tʃ	i	陰去51...33	
誌	tʃi51/33	tʃ	i	陰去51...33	
痣	tʃi51/33	tʃ	i	陰去51...33	
置	tʃi51/33	tʃ	i	陰去51...33	
翅	tʃʰi51/33	tʃʰ	i	陰去51...33	
試	ʃi51/33	ʃ	i	陰去51...33	
寄	ki51/33	k	i	陰去51...33	
記	ki51/33	k	i	陰去51...33	
既	ki51/33	k	i	陰去51...33	
戲	hi51/33	h	i	陰去51...33	
器	hi51/33	h	i	陰去51...33	
氣	hi51/33	h	i	陰去51...33	
汽	hi51/33	h	i	陰去51...33	
棄	hi51/33	h	i	陰去51...33	
意	øi51/33	ø	i	陰去51...33	
鋪	pʰu51/33	pʰ	u	陰去51...33	
店	pʰu51/33	pʰ	u	陰去51...33	
付	fu51/33	f	u	陰去51...33	
庫	fu51/33	f	u	陰去51...33	
褲	fu51/33	f	u	陰去51...33	
富	fu51/33	f	u	陰去51...33	
素	fu51/33	f	u	陰去51...33	
訴	fu51/33	f	u	陰去51...33	
塑	fu51/33	f	u	陰去51...33	
惡	ʋu51/33	ʋ	u	陰去51...33	
做	tu51/33	t	u	陰去51...33	
醋	tʰu51/33	tʰ	u	陰去51...33	
吐	tʰu51/33	tʰ	u	陰去51...33	
兔	tʰu51/33	tʰ	u	陰去51...33	
堵	ɗu51/33	ɗ	u	陰去51...33	
故	ku51/33	k	u	陰去51...33	
固	ku51/33	k	u	陰去51...33	
雇	ku51/33	k	u	陰去51...33	
顧	ku51/33	k	u	陰去51...33	
趣	tʰy51/33	tʰ	y	陰去51...33	
賜	ɬy51/33	ɬ	y	陰去51...33	
絮	ɬy51/33	ɬ	y	陰去51...33	
嗉	ɬy51/33	ɬ	y	陰去51...33	
著	tʃy51/33	tʃ	y	陰去51...33	
駐	tʃy51/33	tʃ	y	陰去51...33	
註	tʃy51/33	tʃ	y	陰去51...33	
注	tʃy51/33	tʃ	y	陰去51...33	
蛀	tʃy51/33	tʃ	y	陰去51...33	
鑄	tʃy51/33	tʃ	y	陰去51...33	
處	tʃʰy51/33	tʃʰ	y	陰去51...33	
數	ʃy51/33	ʃ	y	陰去51...33	
鋸	ky51/33	k	y	陰去51...33	
句	ky51/33	k	y	陰去51...33	
據	ky51/33	k	y	陰去51...33	
去	hy51/33	h	y	陰去51...33	
拜	ɓai51/33	ɓ	ai	陰去51...33	
塊	ʋai51/33	ʋ	ai	陰去51...33	
快	ʋai51/33	ʋ	ai	陰去51...33	
筷	ʋai51/33	ʋ	ai	陰去51...33	
太	tʰai51/33	tʰ	ai	陰去51...33	
泰	tʰai51/33	tʰ	ai	陰去51...33	
貸	tʰai51/33	tʰ	ai	陰去51...33	
態	tʰai51/33	tʰ	ai	陰去51...33	
戴	ɗai51/33	ɗ	ai	陰去51...33	
帶	ɗai51/33	ɗ	ai	陰去51...33	
塞	ɬai51/33	ɬ	ai	陰去51...33	
債	tʃai51/33	tʃ	ai	陰去51...33	
曬	ʃai51/33	ʃ	ai	陰去51...33	
介	kai51/33	k	ai	陰去51...33	
界	kai51/33	k	ai	陰去51...33	
芥	kai51/33	k	ai	陰去51...33	
