漢字	拼音	IPA	注釋	说明									
戴	to5	to˨˩˧	又，姓氏										
戴	tai5	tai˨˩˧	文										
胎	tho1	tʰo˧˧											
臺	thai1	tʰai˧˧											
態	thai5	tʰai˨˩˧											
貸	tai5	tai˨˩˧											
臺	thai2	tʰai˥˥											
苔	ti2	ti˥˥											
抬	thai2	tʰai˥˥											
殆	tai4	tai˨˥											
待	thai4	tʰai˨˥											
怠	tai4	tai˨˥											
代	to6	to˩˩											
代	thoi5	tʰoi˨˩˧	俗										
代	tai5	tai˨˩˧	文										
袋	to6	to˩˩											
乃	nai3	nai˥˨											
乃	nai4	nai˨˥	又										
耐	nai4	nai˨˥											
來	lai2	lai˥˥											
災	tsai1	tsai˧˧											
栽	tsai1	tsai˧˧											
宰	tsai3	tsai˥˨											
載	tsai3	tsai˥˨											
再	tsai5	tsai˨˩˧											
載	tsai5	tsai˨˩˧											
猜	tshai1	tsʰai˧˧											
采	tshai3	tsʰai˥˨											
睬	tshai3	tsʰai˥˨											
彩	tshai3	tsʰai˥˨											
菜	tshai5	tsʰai˨˩˧											
裁	tshai2	tsʰai˥˥											
材	tshai2	tsʰai˥˥											
才	tsai2	tsai˥˥	秀~										
才	tshai2	tsʰai˥˥											
纔	tshai2	tsʰai˥˥											
財	tshai2	tsʰai˥˥											
在	to4	to˨˥	俗										
在	tsai4	tsai˨˥											
腮	sai1	sai˧˧											
賽	sai5	sai˨˩˧											
該	kai1	kai˧˧											
改	koi3	koi˥˨											
溉	khai5	kʰai˨˩˧											
概	khai5	kʰai˨˩˧											
開	khui1	kʰui˧˧											
開	khai1	kʰai˧˧	文										
凱	khai3	kʰai˥˨											
愷	khai3	kʰai˥˨											
慨	khai3	kʰai˥˨											
慨	khai5	kʰai˨˩˧	又										
呆	tai1	tai˧˧											
礙	gai6	ᵑɡai˩˩											
海	hai3	hai˥˨											
孩	hai2	hai˥˥											
亥	hai4	hai˨˥											
哀	ai1	ai˧˧											
埃	ai1	ai˧˧											
唉	ai1	ai˧˧											
唉	ai6	ai˩˩											
愛	ainn5	ai ̃˨˩˧											
貝	pue4	puɛ˨˥											
沛	phai5	pʰai˨˩˧											
帶	tua5	tua˨˩˧											
泰	thai5	tʰai˨˩˧											
太	thai5	tʰai˨˩˧											
大	tua6	tua˩˩											
大	tai4	tai˨˥	文										
奈	nai4	nai˨˥											
賴	lua6	lua˩˩											
賴	nai4	nai˨˥	文，依~										
癩	nai4	nai˨˥											
蔡	tshuann5	tsʰua ̃˨˩˧											
蓋	khoinn5	kʰoi ̃˨˩˧											
蓋	kah7	kaʔ˨											
蓋	kua5	kua˨˩˧											
蓋	kai5	kai˨˩˧	文										
丐	kai5	kai˨˩˧											
艾	hia6	hia˩˩											
艾	ainn5	ai ̃˨˩˧											
艾	ngai5	ŋai˨˩˧	文										
害	hai6	hai˩˩											
藹	ai3	ai˥˨											
靄	ai3	ai˥˨											
拜	pai5	pai˨˩˧											
排	pai2	pai˥˥											
埋	mai2	mai˥˥											
齋	tse1	tsɛ˧˧											
豺	sai2	sai˥˥	白										
豺	tshai2	tsʰai˥˥											
皆	kai1	kai˧˧											
偕	hai2	hai˥˥											
偕	kai1	kai˧˧											
稭	kai1	kai˧˧											
稭	kiak7	kiak˨											
街	koi1	koi˧˧											
階	kai1	kai˧˧											
戒	kai5	kai˨˩˧											
芥	khah7	kʰaʔ˨	白，~藍										
芥	kai5	kai˨˩˧											
尬	kai5	kai˨˩˧											
界	kai5	kai˨˩˧											
介	kai5	kai˨˩˧											
疥	koi5	koi˨˩˧											
屆	kai5	kai˨˩˧											
揩	khoi1	kʰoi˧˧											
揩	kai1	kai˧˧	文										
楷	khai3	kʰai˥˨											
諧	hai2	hai˥˥											
駭	hai4	hai˨˥											
械	hai4	hai˨˥											
挨	oi1	oi˧˧											
挨	ai1	ai˧˧	文										
擺	pai3	pai˥˨											
派	phai5	pʰai˨˩˧											
牌	pai2	pai˥˥											
罷	pa4	pa˨˥											
稗	phoi6	pʰoi˩˩											
稗	pi3	pi˥˨	文										
買	boi3	ᵐboi˥˨											
賣	boi6	ᵐboi˩˩											
奶	ni4	ni˨˥											
奶	nai3	nai˥˨	文										
債	tse5	tsɛ˨˩˧											
釵	toi1	toi˧˧											
釵	tshe1	tsʰɛ˧˧											
差	tshe1	tsʰɛ˧˧											
柴	tsha2	tsʰa˥˥											
篩	thai1	tʰai˧˧	訓										
篩	sai1	sai˧˧											
灑	sa5	sa˨˩˧											
灑	sai5	sai˨˩˧											
曬	sai5	sai˨˩˧											
佳	kia1	kia˧˧											
街	koi1	koi˧˧											
解	koi3	koi˥˨											
解	koi5	koi˨˩˧	~元										
涯	ngai2	ŋai˥˥											
崖	ngai2	ŋai˥˥											
鞋	oi2	oi˥˥											
蟹	hoi4	hoi˨˥											
解	oi4	oi˨˥											
解	hai4	hai˨˥	文，姓氏										
懈	hai4	hai˨˥											
矮	oi3	oi˥˨											
隘	ai3	ai˥˨											
隘	ek7	ɛk˨	又										
敗	pai6	pai˩˩											
邁	mai4	mai˨˥											
寨	tse5	tsɛ˨˩˧											
蔽	pi6	pi˩˩											
斃	pi6	pi˩˩											
敝	pi6	pi˩˩											
幣	pi4	pi˨˥											
弊	pi6	pi˩˩											
厲	li4	li˨˥											
勵	li4	li˨˥											
例	li6	li˩˩											
祭	tsi5	tsi˨˩˧											
際	tsi5	tsi˨˩˧											
穄	tsi5	tsi˨˩˧											
滯	thi5	tʰi˨˩˧											
制	tsi5	tsi˨˩˧											
勢	si5	si˨˩˧											
世	si5	si˨˩˧											
誓	si6	si˩˩											
逝	si6	si˩˩											
藝	goi6	ᵑɡoi˩˩											
囈	goi6	ᵑɡoi˩˩											
囈	ngi5	ŋi˨˩˧	文										
刈	ngai4	ŋai˨˥											
刈	ngi4	ŋi˨˥	文										
閉	pi4	pi˨˥											
箅	pi5	pi˨˩˧											
批	phoi	pʰoi											
陛	pi4	pi˨˥											
迷	mi2	mi˥˥											
米	bi3	ᵐbi˥˨											
謎	mi2	mi˥˥											
堤	toi1	toi˧˧											
低	ti1	ti˧˧											
底	toinn3	toi ̃˥˨											
底	ti3	ti˥˨	文										
底	ti6	ti˩˩	俗，疑問										
抵	ti3	ti˥˨											
渧	ti5	ti˨˩˧											
帝	ti5	ti˨˩˧											
梯	thui1	tʰui˧˧											
體	thi3	tʰi˥˨											
替	thi5	tʰi˨˩˧											
涕	thi5	tʰi˨˩˧											
剃	thi5	tʰi˨˩˧											
提	thi2	tʰi˥˥											
題	toi2	toi˥˥											
蹄	toi2	toi˥˥											
啼	thi2	tʰi˥˥											
弟	ti4	ti˨˥											
第	toi4	toi˨˥											
遞	ti2	ti˥˥											
泥	ni2	ni˥˥											
犁	loi2	loi˥˥											
黎	loi2	loi˥˥											
禮	loi3	loi˥˨											
麗	li4	li˨˥											
麗	li2	li˥˥	高~參										
隸	ti4	ti˨˥											
擠	tsinn5	tsi ̃˨˩˧											
濟	tsi5	tsi˨˩˧											
妻	tshi1	tsʰi˧˧											
淒	tshi1	tsʰi˧˧											
砌	kih7	kiʔ˨											
齊	tsoinn2	tsoi ̃˥˥											
齊	tshi2	tsʰi˥˥											
臍	tsai2	tsai˥˥											
薺	tsinn2	tsi ̃˥˥	白										
薺	tshi2	tsʰi˥˥											
西	sai1	sai˧˧											
西	si1	si˧˧	文										
棲	tshi1	tsʰi˧˧											
棲	si1	si˧˧											
犀	sai1	sai˧˧											
洗	soi3	soi˥˨											
細	soi5	soi˨˩˧											
婿	sai5	sai˨˩˧											
雞	koi1	koi˧˧											
稽	ki1	ki˧˧											
計	koi5	koi˨˩˧											
繼	ki5	ki˨˩˧											
繋	ki5	ki˨˩˧											
