id	ini	fn	pt	單字	ipa调类	ipa调号	注釋						ɔ	184
62	v	ɔ	33	腡	vɔ33	vɔ1	手指纹						iɛ	1
63	l	ɔ	451	囉	lɔ451	lɔ5	喽～，～嗦						ɛm	1
64	k	ɔ	31	裸	kɔ31	kɔ3	～体							
65	tʰ	ɔ	25	銼	tʰɔ25	tʰɔ9	～刀							
66	tsʰ	ɔ	33	坐	tsʰɔ33	tsʰɔ1	～车，～稳							
67	tsʰ	ɔ	31	座	tsʰɔ31	tsʰɔ3	～位，上～							
68	ɬ	ɔ	33	簑	ɬɔ33	ɬɔ1	棕～，～衣							
69	ɬ	ɔ	33	梭	ɬɔ33	ɬɔ1	穿～，～子蟹							
70	s	ɔ	25	唆	sɔ25	sɔ9	～使							
71	ɬ	ɔ	31	鎖	ɬɔ31	ɬɔ3	～匙							
72	ɬ	ɔ	31	瑣	ɬɔ31	ɬɔ3	～碎，烦～							
73	kʰ	ɔ	33	戈	kʰɔ33	kʰɔ1	干～，～壁							
74	k	ɔ	31	果	kɔ31	kɔ3	水～							
75	k	ɔ	31	裹	kɔ31	kɔ3	包～							
76	k	ɔ	451	過	kɔ451	kɔ5	～去，～头							
77	kʰ	ɔ	33	科	kʰɔ33	kʰɔ1	～学，文～							
78	tʰ	ɐi	25	棵	tʰɐi25	tʰɐi9	一～树							
79	n	ɐm	31	顆	nɐm31	nɐm3	一～珍珠，～粒							
80	kʰ	ɔ	451	課	kʰɔ451	kʰɔ5	上～							
81	f	a	451	□	fa451	fa5	讹诈							
82	ɬ	ɔ	31	臥	ɬɔ31	ɬɔ3	训读：～室，～铺							
83	f	ɔ	31	火	fɔ31	fɔ3	着～，～车							
84	f	ɔ	31	夥	fɔ31	fɔ3	合～，～计							
85	f	ɔ	451	貨	fɔ451	fɔ5	～车，百～							
86	f	ɔ	25	和	fɔ25	fɔ9	～平，～气[文]							
87	v	ɔ	25	和	vɔ25	vɔ9	～尚[白]							
88	v	ɔ	25	禾	vɔ25	vɔ9	割～，～苗							
89	v	ɔ	31	禍	vɔ31	vɔ3	大～临头，～害							
90	f	ɔ	25	和	fɔ25	fɔ9	唱～，～诗							
91	v	ɔ	33	倭	vɔ33	vɔ1	～寇							
92	v	ɔ	33	窩	vɔ33	vɔ1	～囊废，～藏							
93	kʰ	iœ	25	瘸	kʰiœ25	kʰiœ9	不灵活，～手，～脚							
94	f	ɔ	451	靴	fɔ451	fɔ5	皮～							
95	p	a	33	巴	pa33	pa1	～掌，～结，～黎							
96	p	a	33	芭	pa33	pa1	～蕉，～蕾							
97	p	a	33	疤	pa33	pa1	伤～							
98	p	a	31	把	pa31	pa3	～握，～脉							
99	p	a	31	霸	pa31	pa3	恶～，～王							
100	p	ɔ	31	壩	pɔ31	pɔ3	堤，溪～							
101	p	a	33	吧	pa33	pa1	酒～							
102	p	ɔk	031	垻	pɔk31	pɔk7	平地，湖洋～							
103	p	a	31	爸	pa31	pa3	爸爸							
104	kʰ	ɔ	25	□	kʰɔ25	kʰɔ9	害怕，惊～							
105	k	ɐŋ	33	巾	kɐn33	kɐn1	手～							
106	ɬ	ɔ	33	□	ɬɔ33	ɬɔ1	～树							
107	pʰ	a	213	琶	pʰa213	pʰa2	琵～							
108	pʰ	a	213	杷	pʰa213	pʰa2	枇～							
109	pʰ	a	213	耙	pʰa213	pʰa2	犁耙							
110	m	a	25	麻	ma25	ma9	天～，～烦							
111	m	a	213	痲	ma213	ma2	出～（得痳疹），～风							
113	n	ɐn	451	□	nɐn451	nɐn5	妈妈							
115	m	a	33	馬	ma33	ma1	骑～，～虎							
116	m	a	33	碼	ma33	ma1	～头，大～							
117	m	a	31	罵	ma31	ma3	～人							
118	n	a	213	拿	na213	na2	～手，推～							
119	tsʰ	a	213	茶	tsʰa213	tsʰa2	～叶							
120	ts	a	33	楂	tsa33	tsa1	山～							
121	ts	a	33	渣	tsa33	tsa1	药～							
122	ts	a	31	詐	tsa31	tsa3	～骗							
123	ts	a	31	榨	tsa31	tsa3	～菜，～油							
124	ts	a	31	炸	tsa31	tsa3	～药							
125	tsʰ	a	33	叉	tsʰa33	tsʰa1	刀～，～腰							
126	ts	a	33	杈	tsa33	tsa1	桠～，树～							
127	tsʰ	a	33	差	tsʰa33	tsʰa1	～别							
128	tsʰ	a	33	岔	tsʰa33	tsʰa1	～路，三～路口							
129	tsʰ	a	25	查	tsʰa25	tsʰa9	调～							
130	ɬ	a	33	沙	ɬa33	ɬa1	泥～，～漠							
131	ɬ	a	33	紗	ɬa33	ɬa1	～布							
132	ɬ	a	31	灑	ɬa31	ɬa3	～水							
133	h	a	31	廈	ha31	ha3	偏廈（厢房）							
134	ɬ	a	33	痧	ɬa33	ɬa1	发～，刮～							
135	k	a	33	家	ka33	ka1	老～，～庭							
136	ɬ	a	33	砂	ɬa33	ɬa1	朱～，～纸							
137	k	a	33	加	ka33	ka1	～工							
138	k	a	33	痂	ka33	ka1	结～							
139	k	a	33	嘉	ka33	ka1	～宾							
140	k	a	31	假	ka31	ka3	真～，～设							
141	k	a	31	賈	ka31	ka3	姓，～宝玉							
142	k	a	31	假	ka31	ka3	放～，～期							
143	k	a	451	架	ka451	ka5	书～							
144	k	a	31	駕	ka31	ka3	～驶证							
145	k	a	31	嫁	ka31	ka3	～人							
146	k	a	31	稼	ka31	ka3	庄～，邓～先							
147	k	a	31	價	ka31	ka3	～钱，～值							
148	ȵ	ian	31	揢	ȵian31	ȵian3	用虎口掐							
149	ŋ	a	213	牙	ŋa213	ŋa2	～齿，刷～							
150	ŋ	a	25	芽	ŋa25	ŋa9	豆～							
151	ŋ	a	213	衙	ŋa213	ŋa2	～门							
152	ŋ	a	31	雅	ŋa31	ŋa3	文～；～典（国名）							
154	h	a	33	蝦	ha33	ha1	鱼～，～公							
155	h	æk	031	嚇	hæk31	hæk7	～人							
156	h	a	213	霞	ha213	ha2	晚～							
157	h	a	213	瑕	ha213	ha2	～疵							
158	h	a	33	蝦	ha33	ha1	～蟆（蟾蜍）							
159	h	a	33	下	ha33	ha1	～背，底～							
160	h	a	33	下	ha33	ha1	取下，～下来							
161	h	a	31	夏	ha31	ha3	姓							
162	h	a	31	廈	ha31	ha3	～门，大～							
163	h	a	31	下	ha31	ha3	～降，～流							
164	h	a	31	夏	ha31	ha3	春～秋冬							
166		a	33	鴉	a33	ʔa1	老～，乌～，～片							
167		a	33	丫	a33	ʔa1	～鬟，～头							
168		a	33	椏	a33	ʔa1	～杈							
169		a	31	啞	a31	ʔa3	哑巴，～佬							
170		a	33	亞	a33	ʔa1	～洲，～军							
171	ts	ia	31	姐	tsia31	tsia3	小～[文]							
172	ts	i	31	姐	tsi31	tsi3	姐姐[白]							
173	ts	ia	451	借	tsia451	tsia5	～钱							
174	tsʰ	a	31	且	tsʰa31	tsʰa3	而～，况～							
176	tsʰ	ɪt	055	藉	tsʰɪt5	tsʰɪt8a	～故，～口							
177	t	ɪt	055	些	tɪt5	tɪt8a	一～							
178	ɬ	ia	31	寫	ɬia31	ɬia3	～字							
179	ɬ	ia	451	瀉	ɬia451	ɬia5	腹～，一～千里							
180	h	a	33	卸	ha33	ha1	～货，推～							
181	tsʰ	ia	213	邪	tsʰia213	tsʰia2	～气，～门歪道							
182	tsʰ	ia	213	斜	tsʰia213	tsʰia2	倾～[文]							
183	t	ɐt	055	□	tɐt5	tɐt8a	不正[白]							
184	tsʰ	ia	31	謝	tsʰia31	tsʰia3	多～；姓							
185	t	ɛ	33	爹	tɛ33	tɛ1	～娘							
186	ts	a	33	遮	tsa33	tsa1	伞[名]							
187	ts	a	31	者	tsa31	tsa3	记～，作～							
188	ts	a	451	蔗	tsa451	tsa5	甘蔗							
189	tsʰ	a	33	車	tsʰa33	tsʰa1	火～							
190	ȵ	ɛt	055	□	ȵiɛt5	ȵiɛt8a	捏开，捏烂							
191	s	a	213	蛇	sa213	sa2	毒～							
192	s	a	31	射	sa31	sa3	发～，～箭							
193	s	a	451	麝	sa451	sa5	～香							
194				奢	sa33	sa33	～侈							
196	s	a	451	捨	sa451	sa5	～唔得（舍不得）							
197	s	a	451	赦	sa451	sa5	～免							
198	s	a	451	舍	sa451	sa5	宿～							
199	s	a	33	社	sa33	sa1	～会，公～							
200	ȵ	a	33	惹	ȵa33	ȵa1	～事							
201	j	ai	213	耶	jai213	jai2	～稣							
202	j	a	213	爺	ja213	ja2	父亲；爷爷[文]							
203	j	a	451	也	ja451	ja5	～知							
204	j	a	33	野	ja33	ja1	～人							
205	j	a	31	夜	ja31	ja3	日～，～班							
206	s	ɔ	31	傻	sɔ31	sɔ3	～瓜，～子							
207	k	ua	33	瓜	kua33	kua1	西～，～分							
208	v	ɔ	33	蝸	vɔ33	vɔ1	～牛							
209	k	ua	31	寡	kua31	kua3	～妇，守～							
210	k	ua	31	剮	kua31	kua3	千刀万～							
211	kʰ	ua	33	誇	kʰua33	kʰua1	～大，～张							
212	kʰ	ua	33	垮	kʰua33	kʰua1	～台							
213	l	am	451	□	lam451	lam5	跨过							
215	ŋ	a	31	瓦	ŋa31	ŋa3	～片							
216	f	a	33	花	fa33	fa1	开～							
217	f	a	451	化	fa451	fa5	变～							
218	f	a	213	華	fa213	fa2	中～							
219	v	ɐt	055	劃	vɐt5	vɐt8a	～船							
220	f	a	25	華	fa25	fa9	～山；姓							
221	v	a	33	蛙	va33	va1	青～，～泳							
222				補	pu31	pu31	～鞋，～充							
223	pʰ	u	33	譜	pʰu33	pʰu1	族～，歌～							
224	p	u	451	布	pu451	pu5	红～，～料							
225	p	u	451	佈	pu451	pu5	公～，～置							
226	pʰ	u	33	鋪	pʰu33	pʰu1	～路，床～							
227	pʰ	u	33	普	pʰu33	pʰu1	～通，～遍							
228	pʰ	u	31	浦	pʰu31	pʰu3	黄～江							
229	pʰ	u	451	鋪	pʰu451	pʰu5	店～，当～							
230	p	u	451	怖	pu451	pu5	恐～							
231	pʰ	u	213	蒲	pʰu213	pʰu2	（石）菖～							
232	pʰ	ɔ	213	菩	pʰɔ213	pʰɔ2	～萨							
233	pʰ	u	213	脯	pʰu213	pʰu2	胸～							
234	pʰ	u	31	部	pʰu31	pʰu3	～队，干～							
235	pʰ	u	31	簿	pʰu31	pʰu3	练习～，帐～							
236	pʰ	u	31	步	pʰu31	pʰu3	跑～							
237	pʰ	u	31	捕	pʰu31	pʰu3	逮～，～快							
238	f	ɐi	31	埠	fɐi31	fɐi3	开～							
239	f	ɐi	31	埠	fɐi31	fɐi3	庵～，蚌～（地名）							
240	m	u	25	模	mu25	mu9	～型，～范							
241	m	u	25	摹	mu25	mu9	～仿，描～							
242	m	u	451	暮	mu451	mu5	日暮							
243	m	u	451	慕	mu451	mu5	羡～，～名而来							
244	m	u	451	墓	mu451	mu5	坟～，～地							
245	m	u	451	募	mu451	mu5	～捐							
246	t	u	33	都	tu33	tu1	首～，～市							
247	t	u	33	都	tu33	tu1	都是							
248	ɬ	ɐt	031	塞	ɬɐt31	ɬɐt7	～车，～塞							
249	t	u	31	賭	tu31	tu3	～博							
250	t	u	31	肚	tu31	tu3	猪～，鱼～							
251	t	u	31	妒	tu31	tu3	～忌							
252	tʰ	u	31	土	tʰu31	tʰu3	～地							
253	pʰ	ɛ	451	吐	pʰɛ451	pʰɛ5	～痰							
254	tʰ	u	451	兔	tʰu451	tʰu5	野～							
255	tʰ	u	25	徒	tʰu25	tʰu9	～弟							
256	tʰ	u	25	屠	tʰu25	tʰu9	～杀							
257	tʰ	u	25	途	tʰu25	tʰu9	前～							
258	tʰ	u	25	塗	tʰu25	tʰu9	糊～，～改							
259	tʰ	u	213	圖	tʰu213	tʰu2	画～，地～							
260	tʰ	u	31	杜	tʰu31	tʰu3	姓；杜仲（中药）							
261	t	u	31	肚	tu31	tu3	肚子							
262	tʰ	u	31	度	tʰu31	tʰu3	～数，长～							
263	tʰ	u	31	渡	tʰu31	tʰu3	偷～，摆～							
264	tʰ	u	31	鍍	tʰu31	tʰu3	电～							
265	n	u	25	奴	nu25	nu9	～隶							
266	n	u	25	努	nu25	nu9	～力							
267	n	u	451	怒	nu451	nu5	愤～，～气							
268	l	u	213	盧	lu213	lu2	姓							
269	l	u	25	爐	lu25	lu9	火～							
270	l	u	213	蘆	lu213	lu2	～苇							
271	l	u	25	鸕	lu25	lu9	～鹚（扁嘴善捕鱼的水鸟）							
272	l	u	33	魯	lu33	lu1	～国，～迅							
273	l	u	33	虜	lu33	lu1	俘～							
274	l	u	25	滷	lu25	lu9	盐～，～水							
275	l	u	31	路	lu31	lu3	大～							
276	l	ɔk	031	賂	lɔk31	lɔk7	贿～							
277	l	u	451	露	lu451	lu5	～水，白～，打～							
278	l	u	451	鷺	lu451	lu5	白～							
279	ts	u	33	租	tsu33	tsu1	～金，出～							
280	ts	u	31	祖	tsu31	tsu3	～宗，～国							
281	ts	u	31	組	tsu31	tsu3	～织，小～							
282	ts	u	451	做	tsu451	tsu5	～好事							
283	tsʰ	u	33	粗	tsʰu33	tsʰu1	～心							
284	tsʰ	u	451	醋	tsʰu451	tsʰu5	陈～							
285	tsʰ	u	451	措	tsʰu451	tsʰu5	～施							
286	tsʰ	ɔ	451	錯	tsʰɔ451	tsʰɔ5	～误							
287	ɬ	u	33	蘇	ɬu33	ɬu1	～州；姓							
288	ɬ	u	33	酥	ɬu33	ɬu1	脆，杏仁～							
289	ɬ	u	451	素	ɬu451	ɬu5	～菜，朴～							
290	ɬ	u	451	訴	ɬu451	ɬu5	上～，倾～							
291	ɬ	ɔ	031	塑	ɬɔ31	ɬɔ7	雕～，～料							
292	k	u	33	姑	ku33	ku1	大～							
293	k	u	33	孤	ku33	ku1	～儿，～单							
294	kʰ	u	33	箍	kʰu33	kʰu1	紧～咒[文]							
295	kʰ	u	33	箍	kʰu33	kʰu1	围束，～桶[白]							
296	k	u	31	古	ku31	ku3	～代							
297	kʰ	u	33	估	kʰu33	kʰu1	～计							
298	k	u	31	牯	ku31	ku3	牛～							
299	k	u	31	股	ku31	ku3	～票							
300	k	u	31	鼓	ku31	ku3	锣～，～励							
301	k	u	451	故	ku451	ku5	～事，～乡							
302	k	u	31	蛊	ku31	ku3	养～，～惑							
303	k	u	451	固	ku451	ku5	～定							
304	k	u	451	錮	ku451	ku5	禁～							
305	k	u	451	雇	ku451	ku5	～人，～主							
306	k	u	451	顧	ku451	ku5	照～							
307	kʰ	u	33	枯	kʰu33	kʰu1	干～，～水							
308	kʰ	u	31	苦	kʰu31	kʰu3	辛～，食～（吃苦）							
309	kʰ	u	31	苦	kʰu31	kʰu3	～味							
310	kʰ	u	451	庫	kʰu451	kʰu5	水～，仓～							
311	kʰ	u	451	褲	kʰu451	kʰu5	裤子							
312		ŋ̍	25	吳	ŋ̍25	ŋ̍9	姓							
313		ŋ̍	451	蜈	ŋ̍451	ŋ̍5	～蚣							
314		ŋ̍	25	梧	ŋ̍25	ŋ̍9	～桐							
315		ŋ̍	31	五	ŋ̍31	ŋ̍3	数字							
316		ŋ̍	31	伍	ŋ̍31	ŋ̍3	姓；队～							
317		ŋ̍	31	午	ŋ̍31	ŋ̍3	中～，端～							
318		ŋ̍	451	誤	ŋ̍451	ŋ̍5	～会，错～							
319		ŋ̍	451	悟	ŋ̍451	ŋ̍5	觉～；孙～空							
320	f	u	33	呼	fu33	fu1	称～，～吸，招～							
321	f	u	31	虎	fu31	fu3	老～							
322	f	u	33	虎	fu33	fu1	马～							
323	f	u	31	滸	fu31	fu3	水～							
324	f	u	451	戽	fu451	fu5	～水（泼水），～斗							
325	f	u	213	胡	fu213	fu2	二～ ；姓							
326	f	u	25	湖	fu25	fu9	西～							
327	f	u	25	狐	fu25	fu9	～狸							
328	f	u	25	壺	fu25	fu9	水～							
329	f	u	33	乎	fu33	fu1	在～							
330	pʰ	iɛu	25	瓠	pʰiau25	pʰiau9	瓠卢，同葫芦							
331	f	u	25	鬍	fu25	fu9	～须							
332	f	u	25	蝴	fu25	fu9	～蝶							
333	f	u	25	糊	fu25	fu9	浆～，～涂							
334	f	u	31	戶	fu31	fu3	～口							
335	l	u	25	滬	lu25	lu9	上海简称							
336	f	u	25	互	fu25	fu9	～相							
337	f	u	451	護	fu451	fu5	保～，～士							
338	pʰ	iɛu	25	瓠	pʰiau25	pʰiau9	瓠瓜（味似葫芦而长）							
339	v	u	33	烏	vu33	vu1	黑							
340	v	u	33	汚	vu33	vu1	～染							
341	v	u	33	塢	vu33	vu1	船～							
342		ɔk	031	惡	ɔk31	ʔɔk7	可～							
343	ȵ	i	31	女	ȵi31	ȵi3	女人							
344	l	u	25	廬	lu25	lu9	～山							
346	l	i	33	呂	li33	li1	姓							
347	l	i	33	旅	li33	li1	～游							
348	l	i	31	慮	li31	li3	考～							
349	l	i	31	濾	li31	li3	过～							
350	ts	u	33	蛆	tsu33	tsu1	蛆虫，生～							
351	k	ə	31	絮	kə31	kə3	棉～							
352	tsʰ	i	25	徐	tsʰi25	tsʰi9	姓							
353	ɬ	i	31	序	ɬi31	ɬi3	顺～							
354	ɬ	i	31	敍	ɬi31	ɬi3	倒～							
355	s	i	31	緖	si31	si3	情～；光～							
356	ts	i	33	豬	tsi33	tsi1	～肉							
357	ts	i	451	著	tsi451	tsi5	～名，显～							
358	tsʰ	i	25	除	tsʰi25	tsʰi9	～法							
359	tsʰ	i	25	儲	tsʰi25	tsʰi9	～蓄							
360	n	eŋ	25	苧	neŋ25	neŋ9	～麻							
361	tsʰ	i	31	箸	tsʰi31	tsʰi3	筷子							
362	ts	ɔ	31	阻	tsɔ31	tsɔ3	～止，～力							
363	tsʰ	ɔ	33	初	tsʰɔ33	tsʰɔ1	当～，～中							
364	tsʰ	ɔ	31	楚	tsʰɔ31	tsʰɔ3	清～							
365	tsʰ	ɔ	31	礎	tsʰɔ31	tsʰɔ3	基～							
366	tsʰ	ɐm	451	鋤	tsʰɐm451	tsʰɐm5	訓讀：～草，～禾日当午							
367	tsʰ	u	31	助	tsʰu31	tsʰu3	帮～							
368	ɬ	ɔ	33	梳	ɬɔ33	ɬɔ1	梳子[名]；梳头[动]							
369	ɬ	ɔ	33	疏	ɬɔ33	ɬɔ1	～远；稀疏							
370	ɬ	ɔ	33	疏	ɬɔ33	ɬɔ1	生～							
371	ɬ	ɔ	33	蔬	ɬɔ33	ɬɔ1	～菜							
372	ɬ	ɔ	31	所	ɬɔ31	ɬɔ3	～以；派出～							
373	ɬ	ɔ	33	疏	ɬɔ33	ɬɔ1	注～							
374	ts	i	33	諸	tsi33	tsi1	姓；～如此类							
375	ts	i	31	煮	tsi31	tsi3	～饭							
376	tsʰ	i	451	處	tsʰi451	tsʰi5	～理							
377	tsʰ	i	451	處	tsʰi451	tsʰi5	～所							
378	s	i	33	書	si33	si1	读～							
379	ɬ	i	33	舒	ɬi33	ɬi1	～服							
380	s	i	31	暑	si31	si3	～假							
381	s	i	31	鼠	si31	si3	老～							
382	s	i	451	庶	si451	si5	～民							
383	ɬ	i	31	恕	ɬi31	ɬi3	宽～							
384	ts	i	451	署	tsi451	tsi5	～名							
385	s	i	25	薯	si25	si9	番～							
386	j	i	25	如	ji25	ji9	～果，假～							
387	k	i	33	居	ki33	ki1	～民							
388	k	i	33	車	ki33	ki1	象棋，～马炮							
389	k	i	31	舉	ki31	ki3	～报，～重							
390	k	i	451	據	ki451	ki5	收～							
391	k	i	451	鋸	ki451	ki5	电～							
392	h	i	33	墟	hi33	hi1	～日							
393	kʰ	i	451	去	kʰi451	kʰi5	来～，过～							
394	k	i	451	渠	ki451	ki5	水～，～道							
395	k	i	25	佢	ki25	ki9	他，第三人称							
396	k	i	451	巨	ki451	ki5	～大							
397	k	i	451	拒	ki451	ki5	～绝							
398	k	i	451	距	ki451	ki5	～离							
399	ȵ	i	25	魚	ȵi25	ȵi9	金～							
400	ȵ	i	25	漁	ȵi25	ȵi9	～业，～夫							
401	ȵ	i	33	語	ȵi33	ȵi1	～文							
404	h	i	33	虛	hi33	hi1	～心							
405	h	i	33	嘘	hi33	hi1	吹～							
406	h	i	31	許	hi31	hi3	允～；姓							
407	j	i	25	於	ji25	ji9	在～							
408	j	i	25	淤	ji25	ji9	～泥							
409	j	i	25	余	ji25	ji9	姓							
410	j	i	25	餘	ji25	ji9	多～							
411	j	i	451	與	ji451	ji5	参～，给～，～众不同							
412	j	i	31	予	ji31	ji3	给～							
413	j	i	31	譽	ji31	ji3	荣～							
414	j	i	31	預	ji31	ji3	～报，～备							
415	j	i	25	豫	ji25	ji9	犹～							
416	f	u	33	夫	fu33	fu1	～妻，车～							
417	f	u	33	膚	fu33	fu1	皮～							
418	f	u	451	跗	fu451	fu5	脚背，～骨							
419	f	u	31	府	fu31	fu3	政～							
420	f	u	31	腑	fu31	fu3	五脏六～							
421	f	u	31	俯	fu31	fu3	～卧撑，～视							
422	pʰ	u	31	甫	pʰu31	pʰu3	杜～							
423	pʰ	u	31	脯	pʰu31	pʰu3	菜～（萝卜干）							
424	p	u	31	斧	pu31	pu3	～头							
425	f	u	451	付	fu451	fu5	应～							
426	f	u	451	咐	fu451	fu5	吩～							
427	f	u	451	賦	fu451	fu5	天～							
428	f	u	31	傅	fu31	fu3	师～[文]							
429	f	u	31	傅	fu31	fu3	姓[白]							
430	pʰ	u	33	敷	pʰu33	pʰu1	～衍，～药							
431	f	u	33	俘	fu33	fu1	～虏							
432	pʰ	u	31	孵	pʰu31	pʰu3	孵小鸡							
433	kʰ	u	33	麩	kʰu33	kʰu1	麦～							
434	m	u	25	撫	mu25	mu9	～养，安～							
436	f	u	451	赴	fu451	fu5	奔～，～汤蹈火							
438	f	u	25	符	fu25	fu9	～合，鬼画～							
439	f	u	25	扶	fu25	fu9	～贫，～手[文]							
440	pʰ	u	25	扶	pʰu25	pʰu9	搀扶，～起来[白]							
441	f	u	25	芙	fu25	fu9	～蓉							
442	f	u	31	父	fu31	fu3	～亲							
443	f	u	31	釜	fu31	fu3	破～沉舟							
444	f	u	31	腐	fu31	fu3	～败							
445	f	u	31	腐	fu31	fu3	豆～							
446	f	u	451	輔	fu451	fu5	～导，～助							
447	f	u	451	附	fu451	fu5	～近，～带							
448	m	u	213	無	mu213	mu2	没有，～中生有[文]							
449	m	u	25	無	mu25	mu9	没有，～事[白]							
450	m	u	33	巫	mu33	mu1	姓；～婆							
451	m	u	33	誣	mu33	mu1	～陷，～告							
452	v	u	31	武	vu31	vu3	～器，～术							
453	m	u	31	舞	mu31	mu3	跳～							
454	m	u	31	舞	mu31	mu3	拨弄，摆弄[白，动]							
455	m	u	31	侮	mu31	mu3	～辱							
456	v	u	31	鵡	vu31	vu3	鹦～							
457	m	u	451	務	mu451	mu5	任～，～农							
458	m	u	451	霧	mu451	mu5	大～							
459	l	ai	31	縷	lai31	lai3	千丝万～							
460	l	ɐi	33	屢	lɐi33	lɐi1	～次，～教不改							
461	tsʰ	i	33	趨	tsʰi33	tsʰi1	～势							
462	tsʰ	i	31	取	tsʰi31	tsʰi3	～钱							
463	tsʰ	i	31	娶	tsʰi31	tsʰi3	嫁～							
464	tsʰ	i	451	趣	tsʰi451	tsʰi5	兴～							
465	ts	i	451	聚	tsi451	tsi5	～会							
467	ɬ	i	33	須	ɬi33	ɬi1	必～							
468	ɬ	u	33	鬚	ɬu33	ɬu1	胡～							
469	ɬ	i	33	需	ɬi33	ɬi1	～要							
470	tsʰ	ok	055	續	tsʰʊk5	tsʰʊk8a	连～，继～							
