#调值	①52	②24	③44	④31	⑤224	⑥213	⑦5	⑧23
#ɿ								
ʂ	⑦适十{用于「三～」「五～」「几～」等}释识{知道，懂，明白；有见识}式饰失室说刷设摄							
ʐ	⑧十食蚀实舌折{弄折了}涉							
k	⑦个{～人，每个人自己（做某事）}个{量词，一～}个{表修饰，美丽～新屋；表领属，我～笔}革鸽箇{指示代词；中远指，这个}合{毛衣，手套等编织品的一个加工过程，把编织物的两部分缝合在一起，或把口子缝好}合{分享，合用一件工具}							
kʰ	⑦刻克☐{物体倒放}							
ɡ	⑧☐{用手臂夹住或抱住某物}							
ŋ	⑧☐{用拇指和食指抓东西}月{白}							
h	⑦黑							
	⑦☐{遮盖}							
ɦ	⑧核合{～并}							
#iəʔ								
p	⑦璧壁碧逼笔毕必憋鳖							
pʰ	⑦劈僻匹撇							
b	⑧别{区～}别{～针}蹩							
m	⑧觅蜜密蔑灭							
t	⑦的{目～}滴嫡跌扚{用手指摘}							
tʰ	⑦踢剔帖贴铁							
d	⑧笛敌狄叠碟蝶牒迪							
l	⑧历力律率{概～}栗劣列烈裂立{站立}笠粒捩{用手拧；～凿，螺丝刀}							
ts	⑦绩积脊节接							
tsʰ	⑦戚七漆膝{～馒头，膝盖}切							
dz	⑧籍藉疾绝截集辑习捷							
s	⑦锡析淅昔惜熄息媳悉雪屑薛泄							
z	⑧席夕拾{原书记录，存疑；捡}☐{原书作「拾」，存疑，捡}截{～树，砍树}							
tɕ	⑦击激结洁揭急级劫吉							
tɕʰ	⑦吃喫锲							
dʑ	⑧杰及极☐{贪心，要强}							
ȵ	⑧逆日{白}热孽业聂入{白；把东西装进袋子}							
ɕ	⑦蝎歇吸							
	⑦噎一乙							
ɦ	⑧亦译易{贸～}液腋逸协叶☐{拉扯衣物或布料使之平展}							
#oʔ								
p	⑦八拨扑{倒}							
pʰ	⑦扑仆{倒}							
b	⑧卜{萝～}☐{一种烹饪方法，清炒蔬菜}							
m	⑧末抹沫							
f	⑦福蝠幅复{～夕}腹覆							
v	⑧服伏复{～原}佛物{文；～理}							
t	⑦督笃☐{用大火把食物煮烂}							
tʰ	⑦秃脱{～衣裳}							
d	⑧毒独犊渎牍夺							
l	⑧绿录六陆录禄							
ts	⑦足							
tsʰ	⑦促撮							
dz	⑧族							
s	⑦粟肃宿{住～}速速{原书记录；散，松散}☐{原书作「速」；散，松散}							
z	⑧俗续							
ʂ	⑦十{仅用在「十～」}							
k	⑦谷割{白}国							
kʰ	⑦哭							
	⑦屋{原书记录；婴儿把吃的奶水吐出来}☐{原书作「屋」；婴儿把吃的奶水吐出来}							
#ioʔ								
tɕ	⑦烛嘱竹筑粥菊鞠掬桔决橘厥撅							
tɕʰ	⑦蛐触掬{原书记录；存疑}曲屈缺							
dʑ	⑧局逐轴掘							
ȵ	⑧辱褥玉狱肉							
ɕ	⑦畜{～牧}叔恤血							
ʑ	⑧赎属蜀熟							
	⑦郁☐{用盐或酱油浸藏肉类}							
ɦ	⑧浴欲育穴悦阅越月{文}							
#uoʔ								
k	⑦骨郭							
kʰ	⑦扩括阔							
h	⑦忽							
	⑦屋握							
ɦ	⑧核{桃～}活瘊或惑							
#m̩								
	②无呒							
#ŋ̍								
h	①烘{白}③哄⑤嗅{白}哄							
	①翁②红{白}鸿{白}虹{白}洪吴④五午							
