tsʰ	①差[參~不齊]妻凄朞溪谿嵠欺梯[西鄉城關丨文讀：電~]睇[西鄉城關]②期疵詞糍蹊瓷祠臍辭慈歧齊磁奇[~怪]騎[~馬]崎琦岐耆祁鰭旗琪麒騏祈題[西鄉城關]提[西鄉城關]堤[西鄉城關]蹄[西鄉城關]啼[西鄉城關]③祈起[西鄉城關]體此豈啓綺杞取[白讀]⑤氣棄飼[白讀]汽[新字]憩企器去[長臨六家畈音]砌次契[~約]賜侍[又音]刺廁屜[西鄉城關]涕[西鄉城關]替[西鄉城關]剃[西鄉城關]						
s	①司絲撕思螄些[白讀]硒獅師斯嬉犧羲曦熙熹奚樨希稀僖晞浠西犀②齊[白讀]③死使[文讀：大~]屣洗喜璽史[文讀]駛[文讀：駕~]徙[文讀：遷~]⑤四駟戲婿侍細伺泗嗣事飼[文讀：~料]兕似祀姒汜士仕寺柿肆廁[又音]侍[~衛]						
z	①衣依伊漪猗旖禕翳醫黟②眙泥[文讀：西鄉城關]霓[西鄉城關]倪[西鄉城關]驪[西鄉城關]梨[西鄉城關]罹[西鄉城關]釐[西鄉城關]璃[西鄉城關]灕[西鄉城關]蠡[西鄉城關]籬[西鄉城關]離[西鄉城關丨距~]黎[西鄉城關]犁[西鄉城關]狸[西鄉城關]迻胰移迤蛇[逶~]宜誼[又音]儀姨彝貽怡疑沂頤③椅鯉[文讀：西鄉城關]裡[西鄉城關]里[西鄉城關]禮[西鄉城關]醴[西鄉城關]澧[西鄉城關]裏[西鄉城關]俚[西鄉城關]娌[西鄉城關]擬[西鄉城關]劙[西鄉城關]旎[西鄉城關]倚蟻以已矣尾[白龍鎮音]⑤義縊勚[損也]意曳毅羿肄懿螠易[容~]億憶[舒化]艾[懲~]异誼藝裔例[西鄉城關]利[西鄉城關]厲[西鄉城關]吏[西鄉城關]隸[西鄉城關]儷[西鄉城關]荔[文讀：西鄉城關]莉[西鄉城關]麗[西鄉城關]離[西鄉城關丨~開]痢[西鄉城關]隷[西鄉城關]蠣[西鄉城關]詈[西鄉城關]犡[西鄉城關]膩[西鄉城關]						
#ʮ							
ȵd	②廬[白讀]驢③女簍吕膂旅捋侣鋁縷褸⑤慮濾屢						
ts	①車[~馬炮]居琚跔駒拘俱具③舉莒矩鬼[老~]蒟櫸苣⑤句巨拒距劇[白讀]據鋸踞懼颶聚俱[~樂部]						
tsʰ	①區蛆驅趨疽軀②渠瞿衢徐[姓]③取[文讀]娶⑤去[文讀音]趣覷						
s	①噓虚胥須蕦需墟靴[白讀]②徐[西鄉城關]③許栩詡⑤煦敘酗緒絮序漱[白讀]						
z	①淤迂瘀②廬[西鄉城關]驢[西鄉城關]臾俞揄輿蜍余娛圩[又音]於魚漁予與[介詞]愚狳虞禺隅于餘盂腴覦瑜萸渝③羽女[西鄉城關]簍[西鄉城關]吕[西鄉城關]旅[西鄉城關]捋[西鄉城關]侣[西鄉城關]鋁[西鄉城關]縷[西鄉城關]褸[西鄉城關]禹雨宇語禦[抵~]圄庾預[又音]⑤與[參~]愈御馭癒愉喻預嫗玉[舒化]芋寓遇裕豫慮[西鄉城關]濾[西鄉城關]屢[西鄉城關]						
#ʅ							
tʃ	①知芝肢之支梔枝脂③指枳咫旨止沚趾址芷⑤治[~理]雉峙痔智至致稚痣翅置制製彘						
tʃʰ	①螭魑黐嗤蚩癡②治[~魚]匙豉池篪遲持③齒侈恥始⑤滞啻						
ʃ	①□[不穩貌]詩屍尸施②時鰣③屎矢⑤是示式氏舐視市恃嗜試逝誓噬世勢弒						
ʒ	①□[離行也]						
#ɪ							
p	①背碑杯卑悲③㗗[~斷]比⑤褙[~褡丨同䋳]䋳避[白讀]閉[白讀]被幣背匕[白讀]弊備貝狽蔽輩倍臂婢靶						
pʰ	①㱟[白讀：~肉]坯②陪賠培裴③㱟[~斷]⑤配佩沛						
mᵇ	②梅眉嵋楣霉[黴俗字]枚黴[俗字霉]煤媒微[白讀：輕~]莓䤂酶③美每⑤妹未[白讀]魅媚昧						
f	①非飛菲蜚啡扉妃霏②肥淝③悱匪翡⑤沸肺費廢吠疿						
t	①堆③抵⑤碓隊對懟兌						
tʰ	②梯[白讀：~子]推②頹③腿⑤退蛻剃[文讀：~頭]						
l	①㔣[又音]②㔣[~撞]纍[~贅]雷羸儡[~同]嫘擂[動詞]捼③累[~計]磊儡[傀~]絫壘誄蕊[又音]耒餒蕾⑤累[疲~]淚擂[~檯]類內						
k	③給[文讀]						
ts	②賊[舒化]③嘴⑤最罪醉蕞						
tsʰ	①催崔摧熣②隨隋③璀⑤脆翠粹淬瘁						
s	①尿雖睢荽綏③徙[~走]簁[俗字篩]篩[白讀：~酒]使[白讀]駛[白讀]史[白讀]髓釃[~酒丨或篩]⑤歲碎遂隧邃穗祟						
tʃ	①蜘⑤雉						
tʃʰ	③逞[有疑]						
#uɪ							
k	①龜規歸圭皈③鬼詭晷宄[內~]癸⑤鱖貴桂櫃[西鄉南鄉城關]						
kʰ	①虧睽盔蝰奎窺②葵魁傀馗夔逵⑤跪䙡愧聵潰[文讀：~瘍]櫃餽						
x	①灰麾揮輝恢豗[豬食貌]徽②回蛔迴廻詯潰[~膿]䛛③虺毀悔虫[俗為「蟲」丨非也]潰[又~膿]⑤賄匯卉繪惠慧喙晦誨穢會[~晤]諱						
tʃ	①追椎錐騅⑤綴贅墜𨒉[不行貌丨犟也]惴						
tʃʰ	①吹炊②錘鎚垂陲棰搥						
ʃ	②誰垂[又音]③水⑤誰稅說[~服]瑞睡						
ʒ	③蕊⑤睿叡芮銳						
	①煨威隈②為危微桅唯惟維薇圩峞嵬巍韋闈違圍帷③委尾緯[~度]苇偉猥偽萎⑤外[除南鄉大部分鄉鎮白讀]餵畏位慰熨尉魏彙[刺~]謂胃緯[象~]味						
#i							
pʰ	②便[~宜丨脫鼻]						
t	①爹[呼祖父]⑦適[都歷切丨此也丨~箇]的[領屬丨我~]						
ȵ	①爾[中指丨~箇]③爾[第二人稱俗字你「儞」]						
k	①旡[氣逆也]						
kʰ	①□[問物]⑤去[白讀]						
tɕ	①皆[又音]階[又音]③姐⑤借[又音]介[又音]						
tɕʰ	③且						
ɕ	①些[又音]②斜邪鞋[又音]諧[又音]③璽閃[~腰丨脫鼻]⑤謝洩瀉卸[文讀：~載]						
j	②椰邪[莫~]爺姨[文讀：阿~]③也野冶⑤夜液[又音]						
ts	⑤借						
s	②錢[白讀：贏~丨或「sĩ」]③寫						
tʃ	①遮③赭⑤柘蔗鷓樜[同「柘」]						
tʃʰ	①車③撦[俗字「扯」]扯[「撦」俗字]						
ʃ	①奢畬賒②蛇佘[姓]③捨⑤射赦社舍						
ʒ	③惹若[文讀：般~]						
#yi							
tɕʰ	②茄瘸						
ɕ	①靴						
#a							
p	①巴粑疤芭③把㞎[俗字丨人穢]比[白讀：~你大]⑤霸壩垻叭罷杷[田具丨俗寫「䎱」]爸[俗字丨今用]						
pʰ	①葩琶[又音]②爬杷[農具丨俗寫耙]琶杷⑤怕						
mᵇ	①媽摸[閉眼~]蟆②麻痲③螞碼馬瑪⑤罵						
t	①爹[父親背稱]③打⑤大						
tʰ	①他它						
l	①拉垃②拏[俗字「拿」]③哪⑤那娜䏧落[灑~]						
s	③灑						
tʃ	①渣查[姓]楂碴奓[一~丨手開之長也]挓[開也]③鲊[~肉]奓[又音]厏[庌~]⑤醡榨咤奓[~開]乍詐灹[爆~丨俗寫「炸」]炸[「灹」俗字]占[又音丨西鄉城關]						
tʃʰ	①差[~錢]叉杈□[行難貌]②茶塗[又音]茬查[檢~]③撦[俗字扯丨~皮]扯[撦俗字丨~皮]⑤䟕[俗字「岔」]岔[「䟕」俗字]衩						
ʃ	①挱[又音]挲[又音]莎[訛文讀：師加切為蟲名丨不為用也]紗沙㸺砂鯊裟痧賒[白讀]③傻[文讀]⑤廈[新音：某大~]舍[雞~]						
k	①家[白讀]□[~人：欺騙]③尕[俗字丨小也]假[白讀]腉[肉也丨《集韻》居佳切丨有疑]⑤架[白讀：~勢]尬[文讀]介[南鄉白讀：~意]界[搭~]						
kʰ	③卡冚[覆也丨俗字丨本字不詳]⑤髂[跨也]跨[訓]						
x	①颬[~氣]𨉣[點頭~腰]②何[白讀丨問人問物問地之所在]蝦[~蟆]還[~有]③下[低劣也]何[又音]⑤下[白讀：地~]						
ŋ	①丫[北鄉]						
ʔ	①阿[~爺]丫[~頭]②兒而③餌邇耳爾乳[白讀]汝[白讀]惹[白讀]⑤二						
#ia							
tɕ	①家葭加痂[文讀]迦佳茄[雪~]嘉枷[~鎖]袈③假賈[姓]⑤稼嫁架駕介[南鄉白讀：~意]價						
tɕʰ	①掐[舒化]②斜③□[陷阱也]⑤髂[西鄉音丨跨也]跨[訓丨西鄉]						
ɕ	①蝦[~子]②俠[舒化]霞遐瑕斜[又音]③下[又音丨~勁]⑤夏下卸廈						
j	①氬椏掗鴉丫②琊揶[~揄]爺[王~]牙孲[俗字「伢」]伢衙耶[~蘇]崖[文讀]蚜涯[文讀]③啞雅⑤砑[碾~]亞訝						
#ua							
tʃ	①摣[俗字「抓」]抯[通「摣」]						
ʃ	③傻[白讀]耍[「傻」分化字丨動詞]						
k	①瓜蝸媧③剮寡⑤掛罣卦褂						
kʰ	①誇③侉[借字丨南人呼北人]垮骻⑤胯跨						
x	①花②華划[~船]樺驊⑤華[姓]畫化話						
	①挖[舒化丨「穵」俗字]蛙穵[舒化丨俗字「挖」]②娃[口語不用]③瓦[~片]搲佤⑤漥瓦[~匠]						
#o							
p	①包胞苞胞③保孢葆褓鴇飽寶褒⑤抱暴爆豹菢鉋[俗刨]鮑曝						
pʰ	①脬拋泡[燈~]②跑齙[~牙]咆袍狍⑤泡[~飯]炮砲皰						
mᵇ	①貓②毛茅楙矛髦錨犛牦③卯茆鉚⑤貌冒帽瑁貿[文讀]茂[文讀]戊[白讀丨有疑]						
t	①刀叨③島搗倒到[望~]⑤禱倒蹈[文讀：舞~]悼稻鑄導[領~]到盜道[文讀：~路]						
tʰ	①導[地名丨響~鄉]道[一~]掏弢韜饕絛滔②濤陶逃桃淘萄③討⑤蹈[白讀：踐也]套導[八斗]道稻[白讀：~籮]						
l	①撈□[俗寫「孬」]玀[喚豬丨俗字]②牢癆勞嶗③老佬惱腦瑙[借字丨淮西人呼父之姊妹]⑤淖澇鬧腝[同「臑」]						
k	①高膏皋睾羔糕交[白讀]茭②嚎[~喪丨調不明]③攪[白讀]稿藳絞[白讀]鎬⑤告覺[白讀：南鄉音丨睡~]郜叫[白讀：南鄉音丨~花]教[白讀]						
kʰ	①敲尻撬[白讀]③考[「攷」俗字]攷[俗字「考」]烤拷⑤靠銬[梏俗字]犒						
x	①蒿薅②毫嗥[~叫]嚎豪③好[~處]⑤好[愛~]號晧暭耗						
ŋ	②熬[北鄉]敖[北鄉]鰲[北鄉]③襖[北鄉]咬[白讀丨北鄉]⑤傲[北鄉]懊[北鄉]						
ʔ	②兒[又音]翱遨③媼⑤澳奧二[又音]						
ts	①糟遭③早棗澡蚤藻⑤造[創~]灶皂躁燥□[踐也]						
tsʰ	①糙[又音]操②漕槽疛[腹不適曰~心]嘈③草⑤造[~事]慥[急言也]糙㿷[同「糙」]						
s	①騷臊搔艘𢔳[~𢔇丨逸遊也丨有貶義]③掃[動詞]嫂⑤瘙掃[名詞]潲𢜶[快也]						
tʃ	①招朝[今~]釗昭抓[動詞丨手~]召[號~]③找[「抓」俗字]抓[同「找」字]爪沼菬⑤笊肇兆趙照詔罩著[舒化丨應答語也]召[~喚]						
tʃʰ	①超鈔抄䜈[~話]②潮巢嘲朝[~向]晁③訬[俗字「吵」]吵[「訬」俗字]炒煼[同「炒」]⑤䜈[又音]抄[又音]						
ʃ	①燒稍梢②紹[介~]韶③少[多~]⑤紹[~興]少[年~]邵哨						
ʒ	①繞②熬敖鰲饒③襖咬[白讀]繞[又音]擾⑤傲繞[又音]懊						
#io							
p	①瀌膘贆飆驃標彪③表婊裱⑤摽䞄[~喫]						
pʰ	①鰾漂[~浮]飄殍螵瞟嘌②嫖螵瓢③縹瞟[又音]醥⑤票漂[~亮]剽						
mᵇ	①貓[北鄉]②描苗瞄③藐淼眇渺秒⑤謬妙廟繆						
t	①叼刁雕貂鵰凋鯛③鳥[詈語丨俗字「屌」]⑤調掉釣弔銚[燒水~]吊						
tʰ	①挑[~選]②調[~頭]條迢苕笤髫③窕挑[~釁]⑤跳眺糶[~米丨售也]粜[「糶」俗字]						
ȵ	②瞭遼燎聊寮寥鷯③鳥䩍[面白曰~]裊了潦⑤鐐溺[俗字「尿」]撂廖料箬[西鄉]						
tɕ	①交澆[~水]膠焦嬌驕鷮椒鮫蕉郊教[~書]跤蛟佼昭[展~]③絞[文讀：~絲旁]剿僥餃繳皎狡攪[~動]矯嬌[又音]⑤叫教[宗~]㹾酵校[學~]窖轎覺[睡~]較噍[咀嚼也]						
tɕʰ	①鍫[俗字「鍬」]蹺[~腿]②瞧橋喬蕎譙轎[~車丨小車也]僑樵③巧悄⑤翹俏鞘峭撬[文讀]						
ɕ	①澆[「枵」本字丨薄也]枵[薄也]消銷逍蕭簫囂瀟硝霄宵肖[姓丨出自「蕭」]③小曉筱⑤肖笑孝校[少~]哮效嘯						
j	①幺吆妖腰要[~求]邀夭②姚堯遙徭瑤繇窯謠陶[皋~]搖肴窑[「窯」俗字]③窈杳咬[文讀]舀⑤要[索~]鷂耀曜						
#u							
p	①波菠玻播[文讀：~放]③跛簸[動詞]⑤簸[~箕]播[~籽]						
pʰ	①坡頗②婆鄱③剖叵⑤破剖[又音]						
mᵇ	①摸[~秋]②無[白讀丨單用]魔磨[~刀]摩膜模摹③畝[文讀]母[文讀]某[又音]⑤磨[石~]墓慕募暮						
t	①多③朵垛[堆~]躲⑤剁舵惰跺墮垛[一~]						
tʰ	①拖②駝馱坨沱庹[姓]③妥橢⑤唾						
l	②羅儸騾哪[~吒]儸鑼螺儺挪蘿邏腡③摞裸⑤懦糯[又音]						
k	①歌哥戈鍋渦③果粿猓裹哿舸⑤個箇過						
kʰ	①顆科窠棵珂蝌稞軻③可坷⑤課嗑[又音丨~瓜子]						
x	①呵②禾何河和荷[~花]龢③火伙夥□[潑灑]⑤荷[負~]和[附~]禍賀貨						
ŋ	③我[文讀]⑤外[長臨河]						
ts	③佐左⑤坐做座柞						
tsʰ	①飵蹉搓初②鋤昨痤③楚础⑤錯措厝銼祚挫						
s	①梳挱[~開丨同挲]挲[~開丨同挱]𥆝[略視也丨又𥇇]梭蓑[~衣]莎娑唆③數[動詞]楚[又音]鎖瑣所⑤數[~字]						
	①屙阿[~膠]妸窩倭②俄鵝訛娥蛾峨③我⑤臥餓外[~頭；~爹]						
#ʉβ							
p	①□[詈語丨童稚語]③補哺捕⑤步布佈怖[文讀]簿埠[訛音]部						
pʰ	①鋪孵[白讀：~小雞]豧[~氣]②浮[~泅]葡蒲匍菩③甫普訃[又音]埔浦譜溥莆脯⑤鋪埠訃[城關西鄉音]						
mᵇ	③姥⑤墓慕募暮						
f	①夫麩孵[文讀：~化]膚[訛音]敷俘②扶芙浮俘[《安徽肥東古城方言同音字彙》載]符③府輔斧撫腐釜阜膚⑤負富副父傅付附赴婦訃[北鄉音]						
#əʉβ							
t	①都[~市]嘟③睹賭堵肚暏⑤杜肚[又音]渡妒度						
tʰ	②圖屠途徒涂荼③吐土杜[~狗]⑤吐兔						
l	②廬[文讀]盧爐蘆奴鱸艫嚧③擼弩滷魯櫓擄虜鹵努⑤怒路露潞璐賂						
k	①沽辜姑菇咕酤孤箍[文讀：看~丨今通語稱劉海]③估牯古鼓賈[商~]蠱股⑤固故雇顧錮棝崮僱						
kʰ	①枯骷箍[白讀：打~]③苦⑤絝庫褲						
x	①呼烀[俗字]②胡鬍蝴湖糊乎[在~]壺瑚猢醐弧葫狐③虎琥滸⑤護滬互瓠戶扈謼[敷衍]						
ʔ	①污烏鎢鄔洿巫塢②吳無[文讀]梧吾蜈③五伍武捂午焐舞鵡仵忤[~逆]⑤戊[文讀]誤焐霧毋務惡[厭~]悟汙晤痦寤						
ts	①租③組俎祖阻⑤助						
tsʰ	①粗③楚[~國]⑤醋悇[憂也]						
s	①疏[「踈」俗字]踈[俗字「疏」]蔬[菜~]蘇甦酥⑤粟[蘆~丨舒化]素訴塑遡[俗字「溯」]溯嗉愫漱[訛讀]						
tʃ	①諸豬株誅朱蛛珠③煮渚主⑤著[~書]柱蛀住注駐註箸						
tʃʰ	①攄[抒也丨予也丨通「捈」]捈[通「攄」]姝②殊儲除蜍廚躕躇③杵薯鼠處[相~]褚黍⑤處[~理]悇[又音]						
ʃ	①書輸舒樞抒③曙署[又音]⑤樹竪庶恕戍墅署						
ʒ	②如濡茹儒蠕孺③乳[文讀]汝[文讀]						
#ᴇ							
p	③擺捭排⑤拜敗別[有疑]稗						
pʰ	②牌排[又音]徘簰⑤派湃						
mᵇ	①□[擬牛呼]②埋霾③買⑤賣邁						
f	⑤□[痛呼]						
t	①懛[俗字「呆」]呆[「懛」俗字]③逮傣歹⑤呔[俗字丨語氣詞丨呼人]帶代大[~王]汏[淘洗]待戴貸袋黛殆岱怠						
tʰ	①台胎邰②臺檯颱抬苔⑤太[「大」早期分化字]態泰汰[淘~丨「汏」分化字]						
l	②來萊崍③乃廼嬭[俗字「奶」]扔[引擢也：~草丨有疑]奶[嬭」俗字]⑤耐癩奈賴籟瀨藾睞						
k	①該街[白讀]賅枷[南鄉東北鄉丨連~]痂[白讀丨~渣]③改解[白讀]⑤蓋丐鈣戒[白讀]界[白讀]疥						
kʰ	①揩開③鎧凱楷⑤愾慨概溉						
x	②孩骸③蟹海亥[辛~]⑤害亥[又音]						
ŋ	①挨[北鄉丨觸也]哀[北鄉]埃[北鄉]②捱[北鄉]癌[北鄉]獃[北鄉]呆[北鄉音丨「獃」俗字]涯[北鄉丨白讀]崖[北鄉丨白讀]岩[北鄉丨白讀]③矮[北鄉]挨[北鄉丨~打]⑤愛[北鄉]艾[北鄉]礙[北鄉]						
ʔ	①唉欸⑤哎嗳						
ts	①哉栽災③載宰⑤在再						
tsʰ	①猜②才纔財裁材③采採彩睬⑤菜蔡						
s	①腮揌[予也]⑤賽塞[~外]						
tʃ	①齋遮[東鄉]③者赭[東鄉]⑤債寨砦側[西鄉城關丨眼~]柘蔗[東鄉]鷓[東鄉]樜[東鄉丨同「柘」]						
tʃʰ	①車[東鄉]差[出~]釵②柴豺③撦扯[東鄉音丨「撦」俗字]跐[俗字「踩」]踩[「跐」俗字]⑤虿						
ʃ	①篩奢[東鄉]賒[東鄉]畬[東鄉]②蛇[東鄉]佘[東鄉丨姓]③捨[東鄉音丨~不得]⑤射[東鄉]曬赦[東鄉]社[東鄉]舍[東鄉]麝[東鄉丨又音]						
ʒ	①挨[觸也]哀埃②捱癌獃[「俗」字呆]呆[「獃」俗字]涯[白讀]崖[白讀]岩[白讀]③矮惹[東鄉]挨[~打]若[東鄉音文讀：般~]⑤愛艾礙						
#uᴇ							
k	①乖③拐詭[性異也丨存疑]踝[骨~]⑤劊怪						
kʰ	②攜③蒯澮⑤膾塊快會[~計]筷						
x	②淮懷徊茴槐⑤壞						
tʃ	①□[手足僵也]③轉[傲也丨有疑]⑤□[拉也]						
tʃʰ	①搋③跐[又音]踩[又音]揣⑤膪[胖而行動不便]踹						
ʃ	①衰③甩[本字不詳]傻[又音丨石塘鎮]⑤率[俗]帥[將~]						
	①竵[俗字歪丨曉蟹合二平訛為烏乖切]偎②□[身壓也]③踝[傾倒不起丨有疑]⑤喂[呼人]外[文讀：國~]						
#iᴇ							
tɕ	①皆稭街枷[西鄉城關丨連~]階③解[~開]⑤介[又音]械戒誡屆界解[押~]						
ɕ	②鞋諧⑤懈						
j	③也[文讀]冶[文讀]						
#ɯ							
mᵇ	①冇[西鄉城關丨或「沒有」合音]②謀[文讀]眸[文讀]③某[文讀]						
f	③否缶						
t	①都兜②團[歡~丨不明本調]③抖斗蚪陡⑤鬥逗豆痘竇鬭[合也]						
tʰ	①偷②頭投骰⑤透						
l	①摟②樓劉[姓氏]婁髅③僂[佝~]⑤漏鏤陋瘻						
k	①溝勾鈎篝③狗枸苟垢詬⑤媾購夠構逅訽[~病]						
kʰ	①摳眍③口扣⑤扣[又音]寇蔻叩						
x	①齁②侯猴喉篌䗔瘊③候[白讀]吼呴[牛鳴呼也]⑤候[文讀：時~]后後厚佝						
ŋ	①區[姓]②牛[北鄉音丨有疑]③藕[北鄉]偶[北鄉]熰[北鄉丨緩焚也]⑤慪[北鄉]漚[北鄉]						
ʔ	①歐甌區[姓]③偶毆						
ts	①鄒謅③走⑤奏驟皺縐						
tsʰ	①搊②愁③瞅⑤湊						
s	①艘[又]捜餿蒐颼③叟擻⑤瘦瘶[欬~]						
tʃ	①周週州洲舟遮[~身]沾[~水]③扭肘帚⑤咒胄宙晝紂						
tʃʰ	①抽②籌酬綢稠仇③丑[地支]醜⑤臭						
ʃ	①收賒[又音]③手首守捨[~得]⑤受壽綬狩獸授售						
ʒ	②揉柔蹂③藕熰[緩焚也]⑤慪漚毆肉[舒化]						
#ʏ							
mᵇ	⑤繆[文讀]謬[文讀]						
t	①丟						
ȵ	②蟟[蜘~]遛劉[又音]牛留流瘤瀏榴餾鎏騮③柳扭[又音]鈕忸紐⑤謬[又音]						
tɕ	①鳩㽱勼糾赳揫[俗字「揪」]鬮[拈~]③久酒玖韭灸九⑤舊臼救就舅疚咎究柩廄蹴樞[又音丨存疑]						
tɕʰ	①秋鞦鳅煪[熏也]㞗[男陰]邱丘坵蚯②求球泅裘仇[姓]捄裘犰						
ɕ	①修羞脩[通「修」]饈[膳也丨「羞」分化字]貅休②□[萬能動詞]③朽⑤秀嗅繡銹宿[星~]						
j	①優憂幽悠②油尤疣郵猶由蚰蝣游遊牛[姓]③有黝友酉莠⑤右又宥佑祐侑柚幼鼬釉						
#iɯ							
mᵇ	⑤繆[西鄉、北鄉、城關丨文讀]謬[西鄉、北鄉、城關丨文讀]						
t	①丟[西鄉、北鄉、城關]						
ȵ	②蟟[西鄉、北鄉、城關]遛[西鄉、北鄉、城關]劉[西鄉、北鄉、城關]牛[西鄉、北鄉、城關]留[西鄉、北鄉、城關]流[西鄉、北鄉、城關]瘤[西鄉、北鄉、城關]瀏[西鄉、北鄉、城關]榴[西鄉、北鄉、城關]餾[西鄉、北鄉、城關]鎏[西鄉、北鄉、城關]騮[西鄉、北鄉、城關]③柳[西鄉、北鄉、城關]扭[西鄉、北鄉、城關]鈕[西鄉、北鄉、城關]忸[西鄉、北鄉、城關]紐[西鄉、北鄉、城關]⑤謬[西鄉、北鄉、城關]						
tɕ	①鳩[西鄉、北鄉、城關]㽱[西鄉、北鄉、城關]糾[西鄉、北鄉、城關]赳[西鄉、北鄉、城關]揫[西鄉、北鄉、城關]鬮[西鄉、北鄉、城關]③久[西鄉、北鄉、城關]酒[西鄉、北鄉、城關]玖[西鄉、北鄉、城關]韭[西鄉、北鄉、城關]灸[西鄉、北鄉、城關]九[西鄉、北鄉、城關]⑤舊[西鄉、北鄉、城關]臼[西鄉、北鄉、城關]救[西鄉、北鄉、城關]就[西鄉、北鄉、城關]舅[西鄉、北鄉、城關]疚[西鄉、北鄉、城關]咎[西鄉、北鄉、城關]究[西鄉、北鄉、城關]柩[西鄉、北鄉、城關]廄[西鄉、北鄉、城關]蹴[西鄉、北鄉、城關]樞[西鄉、北鄉、城關又音丨存疑]						
tɕʰ	①秋[西鄉、北鄉、城關]鞦[西鄉、北鄉、城關]鳅[西鄉、北鄉、城關]煪[西鄉、北鄉、城關]㞗[西鄉、北鄉、城關]邱[西鄉、北鄉、城關]丘[西鄉、北鄉、城關]坵[西鄉、北鄉、城關]蚯[西鄉、北鄉、城關]②求[西鄉、北鄉、城關]球[西鄉、北鄉、城關]泅[西鄉、北鄉、城關]裘[西鄉、北鄉、城關]仇[西鄉、北鄉、城關]捄[西鄉、北鄉、城關]裘[西鄉、北鄉、城關]犰[西鄉、北鄉、城關]③取[白讀丨西鄉、北鄉、城關丨~毫米]						
ɕ	①修[西鄉、北鄉、城關]羞[西鄉、北鄉、城關]脩[西鄉、北鄉、城關]饈[西鄉、北鄉、城關]貅[西鄉、北鄉、城關]休[西鄉、北鄉、城關]②□[西鄉、北鄉、城關]③朽[西鄉、北鄉、城關]⑤秀[西鄉、北鄉、城關]嗅[西鄉、北鄉、城關]繡[西鄉、北鄉、城關]銹[西鄉、北鄉、城關]宿[西鄉、北鄉、城關]						
