#a
p[1]巴芭疤吧笆琶杷[2]爸耙 [3]把 [5]灞壩罷
ts[1]租猪諸誅蛛株朱硃珠[2]拄[3]祖組阻煮主[5]做著芎箸助駐柱住注蛀鑄
tsh[1]粗初 [2]褚除儲鋤厨橱雛 [3]楚礎處杵 [5]醋處
s[1]蘇酥梳疏蔬疏書舒樞輸殊 [2]黍[3]鼠暑墅署薯數[5]素訴塑嗉庶恕數豎樹漱
z[2]如儒孺 [3]汝乳 [7]入肉辱褥 
v[1]烏污塢巫誣 [2]吴蜈吾梧悟無 [3]五伍午武舞侮鵡 [5]誤務霧戊 

#uᵝ
ph [7]勃樸撲瀑僕
m [7]没木沐
f [7]弗彿佛幅福蝠腹複幅伏服袱
t [7]踱獨讀犢督篤
th [7]突凸秃
n [7]律率鹿禄六陸録緑
k [7]骨谷榖
kh [7]窟哭酷
x [7]豁忽惑 
Ø [7]握
ts [7]鐲竹築逐軸粥祝足燭觸
tsh [7]拙猝出促
s [7]述術叔淑熟粟囑贖束蜀屬
z [7]入肉辱褥 
 [7]杌勿物屋

#y
n [3]吕旅縷履捋
Ø[1]淤吁迂[2]魚漁於余餘愚虞娱于榆愉俞[3]嶼語與予雨宇禹羽[5]御禦譽預豫遇寓盂芋逾愈喻裕[7]郁玉  
tɕ [1]居拘駒[3]矩[5]據鋸拒距聚俱句具懼劇
tɕh [1]趨區驅軀[2]茄瘸渠瞿衢[3]取娶[5]趣砌
ɕ [1]靴胥墟虚嘘须鬚需雖[2]徐 [3]許[5]序叙緒隧[7]戌
ȵ[3] 女

#uei
t[1]堆[5]對碓隊兑
th[1]推[2]頹[3]腿[5]退蜕褪
n [2]雷[3]瘰屢餒儡擂累壘[5]慮濾内累類淚
k[1]圭閨規龜歸[3]詭軌鬼[5]瑰鳜桂跪癸櫃貴
kh[1]盔虧窺[2]奎逵葵[5]潰愧 
x [1]恢詼灰麾揮輝徽[2]回迴茴 [3]悔毁[5]賄晦匯會會繪惠慧穗諱卉彙 
Ø[1]煨巍威[2]桅危爲帷維惟唯微薇圍違[3]萎委尾偉葦緯[5]衛僞爲餵位未味魏畏慰胃謂
ts [1]追錐[3]嘴[5]罪最缀贅醉墜 
tsh[1]催崔摧吹炊[2]垂錘槌[3]粹 [5]脆翠悴
s[2]隨誰[3]髓水[5]絮碎崴税穢睡瑞
z[5]鋭蕊

#ua
k[1]瓜[3]寡剮[5]掛卦褂 
kh[1]誇[3]垮
x[1]花[2]華鏵划華樺[5]化畫話 
Ø[1]蛙窪蛙挖[2]娃[3]瓦
ts[1]抓[3]爪 
s[3]厦耍

#ia
Ø[1]鴉丫桠[2]牙芽衙伢蚜涯崖[3]雅啞[5]砾亞壓軋
tɕ[1]家加痂嘉傢稼佳[3]假賈 [5]架駕嫁價
ɕ [1]蝦 [2]霞瑕遐暇斜匣 [5]厦下夏

#ie
p[7]别鼈憋癟
ph[7]撇蹩弼癖僻闢劈霹 
m[7]滅衊
t [7]跌帖叠碟牒蝶諜迭
tʰ[7]貼鐵踢
n [7]獵列烈裂
Ø[3]矣[7]葉頁噎
tɕ [7]接妾劫傑揭竭節結潔吉
tɕh [7]捷怯切截膝戚
ɕ [7]脅協泄歇蜴楔穴隙
ȵ [7]聶業孽捏

#əu
t[1]都兜[3]斗陡[5]鬥豆痘逗 
th[1]偷[2]頭投[3]抖[5]透  
n [2]樓[3]摟篓[5]漏陋
k[1]勾钩溝 [3]狗苟 [5]垢够彀構購
kh[1]摳眶[3]口[5]叩扣寇
x[2]侯喉猴[3]吼[5]后厚後候
ŋ[1]歐區[3]藕偶偶嘔毆漚[5]慪  
ts[1]鄒縐周舟州洲週[3]走肘帚[5]奏晝纣宙咒
tsh[1]抽[2]綢稠籌愁酬仇[3]丑醜 [5]凑驟臭
s[1]搜飕餿蒐收[3]叟手首守[5]嗽瘦獸受夀授售
z[2]柔揉

#yʉ
Ø[7]域役疫育獄浴欲慾
tɕ[7]卒橘局
tɕh[7]掘屈倔掘却菊鞠掬麴曲  
ɕ[5]宿{存疑}畜{存疑}續{存疑}[7]速肅蓄俗 
tsh[7]族{存疑}
s[5]宿{存疑}

#ai
p [3]擺[5]拜稗敗
ph[2]排牌徘[5]派
m [2]埋[3]買[5]賣邁
t[1]獃呆[3]逮[5]戴貸待怠殆代袋带大
th[1]胎[2]臺台苔抬[5]台態太泰
n [2]來痢[3]乃奶[5]耐奈赖癞
k[1]該街[3]改[5]蓋丐
kh[1]開揩[3]凱楷[5]概溉慨
x[2]孩鞋還[3]海[5]亥害駭蟹
ŋ[1]哀埃唉[2]挨捱巖[3]蔼矮[5]礙愛艾隘
ts[1]災栽齋[3]宰載[5]再載在載債寨
tsʰ[1]猜釵差[2]纔才材財裁豺柴[3]彩採踩睬[5]菜蔡
s[1]腮鳃篩[5]賽曬

#ei
p[1]杯碑卑悲 [2]陛{聲調存疑} [5]貝狽輩背倍背臂
ph [1]批胚坯披丕 [2]培陪賠裴焙 [5]沛配佩
m[2]梅枚媒煤玫莓楣黴[3]每美[5]妹昧媚寐
f[1]飛非妃[2]肥[3]匪菲翡[5]廢肺吠痹沸費
ts[7]賊

#iɛn
p[1]鞭編邊[3]貶蝙扁[5]變辯辨便辮
ph[1]篇偏[2]便[3]匾[5]騙遍片
m[2]綿棉眠[3]免勉缅娩[5]面麵  
t[1]添顛癫[3]點舔典[5]掂踮店簟電殿奠佃墊澱
th[1]天[2]甜田填[3]腆
n [2]廉鐮簾連聯憐蓮楝[3]臉[5]練煉鏈錬戀
Ø[1]閹炎腌蔫焉蔫煙胭嚥[2]鹽檐颜延蜒言[3]掩魇眼演衍[5]厭靥豔鹽焰筵堰燕宴燕
tɕ [1]皆監尖兼艱間奸煎肩堅 [3]解减齢艦檢儉簡柬揀澗锏剪繭趼
[5]介界芥疥届戒械鑑漸劍諫箭踐賤犍件建毽鍵健腱薦見
tɕh[1]殲籤簽扦纖謙遷掮箋千牽[2]潜鉗錢乾虔前[3]淺[5]欠歉縴
ɕ [1]仙先[2]諧銜嫌閑憲賢[3]險顯[5]懈蟹餡限 线羡獻現縣
ȵ [1]拈研[2]黏閻嚴鲇年[3]殮儼碾
[5]斂驗釅念廿諺硯

#iai
tɕ[1]階
#ɿ
ts[1]知蜘支枝肢栀資姿咨脂兹滋淄之芝 [2]置{存疑} [3]紫紙姊指旨子梓滓止趾[5]滞制製智翅自致雉緻稚至字巳峙痔治志痣詰蟄
tsh[1]疵差癡[2]雌賜池馳侈瓷遲慈磁辭祠詞持[3]此只耻址齒[5]刺次 
s [1]斯厮撕施匙私師獅蛳尸屍思絲思詩[2]時[3]死屎矢史使駛始
[5]世勢誓逝舐是氏豉四肆示視嗜伺似祀寺飼嗣士仕柿事試市恃侍式飾

#ʅ
tʃ [7]執汁侄質直值織職植殖擲隻
tʃh [7]秩吃
ʃ [7]濕十什拾實失室食蝕識適釋石
ʒ [7]日

#in
p[1]蓖彬賓檳濱殡冰兵 [3]禀丙秉柄餅 [5]鬢病併並
ph[1]拼姘[2]貧頻蘋憑平評坪瓶屏萍[3]品拚[5]聘
m[2]民憫明盟鳴名銘[3]閩敏抿皿 [5]命
t[1]丁釘疔叮[3]頂鼎[5]釘訂錠定 
th[1]廳聽[2]亭停庭廷蜓[3]挺艇 [5]聽
I[2]林淋臨鱗磷鄰凌陵菱寧靈零鈴拎龄[3]檩凛領嶺翎[5]毅賃吝凝令佞另
Ø[1]音陰因姻洇殷鷹蠅鶯樱鸚英婴纓[2]吟淫銀寅迎盈贏[3]飲引隱瘾影穎[5]飲印應應映
tɕ [1]今金襟津巾斤筋京荆驚鯨精晶睛經[3]錦儘緊僅謹境景警井頸 [5]禁進晋盡勁近敬竟鏡競静靖净徑
tɕh[1]欽親卿清輕青蜻[2]琴禽擒秦勤芹擎情晴[3]寢請[5]浸侵親慶 
ɕ[1]心芯辛薪新欣興星腥猩馨[2]行形刑型[3]醒[5]信釁興幸性姓

#uai
k[1]乖[3]拐[5]怪
kh[3]傀塊蒯塊[5]會劊檜快筷 
x[2]徊懷槐淮[5]壊
Ø[1]歪[5]外
tsh[1]揣[3]揣喘
s[1]衰摔[5]帥率蟀

#ɚ
Ø[2]兒而[3]爾耳餌[5]二贰

#aʊ
p[1]褒包胞雹[3]保寶堡飽[5]報抱暴菢豹爆鮑曝
ph[1]抛[2]袍刨[3]跑[5]泡炮鲍
m[1]貓[2]毛茅錨矛[3]卯[5]冒帽貌
t[1]刀叨[3]倒島搗[5]禱倒到稻道導盗蹈
tʰ[1]滔掏[2]桃逃淘陶萄濤[3]討[5]套
I[1]撈嘮[2]勞牢撓[3]腦惱老姥 [5]涝闹
k[1]高膏篙糕羔[3]稿搞[5]告窖
kh[1]敲[3]考烤拷[5]靠犒銬
x[1]蒿薅[2]毫豪壕號[3]好[5]好耗浩號
ŋ[1]爊[2]熬[3]襖[5]傲懊奥澳坳拗
ts[1]糟遭朝昭招[3]早棗蚤澡找沼 [5]竈皂罩趙兆召照詔
tsh[1]操抄钞超[2]曹槽巢潮朝[3]草騲炒吵[5]躁糙造燥
s[1]騷臊梢捎稍繰燒[2]韶勺 [3]嫂掃掃少晌 [5]潲哨少紹邵
z[2] 铙饒[3]擾繞[5]繞

#iaʊ
p[1]瞧標彪[3]表錶婊
ph[1]飄鳔[2]瓢嫖[5]漂票漂 
m[2]苗描[3]秒渺藐杳[5]廟妙 
t[1]刁雕貂凋[5]吊釣調掉調
th[1]挑[2]條調[5]跳
n [2]燎療遼聊寥撩僚鐐[3]了瞭[5]廖料
Ø[1]妖邀腰要夭幺吆[2]肴摇謠姚窑遥堯[3]舀[5]要耀鹞
tɕ [1]交膠郊教焦蕉椒驕嬌澆 [3]絞狡鲛攪剿缴僥饺[5]教較校覺轎叫
tɕh[1]鰍悄矯翹撬[2]樵蕎橋喬[3]巧醮[5]俏竅
ɕ [1]消宵霄硝銷逍肖嚣蕭簫 [2]淆 [3]小曉[5]酵哮孝校效笑
n[3]鳥[5]尿

#iɵ
n [7]略掠
Ø[5]樂[7]虐約藥鑰嶽岳 
tɕ [5]覺[7]脚
tɕh[2]□{瞧}[7]雀鵲確 
ɕ [7]學
ȵ [7]虐

#oŋ
p[1]繃[5]迸
ph[1]噴[2]朋棚篷蓬[3]捧[5]碰
m[2]謀萌蒙蠓[3]某畝牡猛蜢懵[5]茂貿孟
f[1]風瘋楓豐封蜂峰鋒[2]馮逢縫[3]否諷[5]鳳奉縫俸
t[1]東冬[3]董懂[5]凍棟動洞
th[1]通捅[2]同銅桐筒童瞳[3]桶統[5]痛
n [1]聾[2]籠礱嚨農膿儂隆濃龍 [3]攏窿壟[5]弄
k[1]公工功攻蚣弓躬宫恭供[3]汞拱鞏[5]貢供
kh[1]空[3]孔恐[5]控
x[1]轟烘[2]弘宏紅洪鴻[3]哄関 
Ø[1]翁壅[5]瓮齆
ts[1]鬃棕宗綜中忠衷終蹤鐘鍾盅舂[3]總冢種腫[5]皺粽仲衆縱重
tsh [1]葱聰囱充衝[2]叢蟲崇從重[3]銃寵
s[1]鬆嵩松[3]慫[5]送宋誦颂訟 
z[2]絨戎茸冗

#iəu
m[5]謬 
t[1]丢
n [1]溜[2]流留劉榴琉硫镏[3]柳 [5]廖
Ø[1]優憂悠幽[2]尤郵由油游猶莠 [3]有友酉誘[5]又右祐柚釉幼
tɕ [1]鳩鬮糾灸[3]酒九久韭[5]就救究舅咎舊柩
tɕh[1]揪秋鰍瞅丘[2]囚泅求球仇 [3]臼
ɕ [1]修羞休[3]朽[5]秀繡锈袖嗅
ȵ [2]牛[3]紐扭

#an                                                                      uan
p [1]班斑扳頒搬般[3]板版[5]扮辦瓣半伴拌蚌
ph [1]攀襻潘[2]盤[5]盼絆判畔叛 
m[2]蠻馒[3]瞞滿[5]慢鰻漫幔
f [1]翻番[2]凡帆梵煩礬繁藩[3]泛反[5]範范犯販飯
t[1]耽擔丹單[3]膽疸[5]擔淡旦誕但彈蛋
th[1]貪探坍灘攤癱[2]潭谭壜檀壇彈 [3]毯坦 [5]談痰歎炭
n [2]南男婪蓝篮難蘭攔欄[3]覽攬欖纜懒[5]滥難爛
k[1] 甘柑尴干乾肝竿間[3]感敢橄悍稈擀趕[5]幹
kh[1]堪龛勘嵌刊[3]坎砍槛[5]看
x[1]憨酣熯 [2]含函鹹咸寒韓閑莧 [3]喊罕 [5]憾陷鼾漢旱捍汗銲翰
ŋ[1]庵淹安鞍[5]揞暗岸按案雁晏
ts[1]簪沾粘瞻砧簪氈[3]斬盏展[5] 暫鏨站站蘸占佔贊灒綻棧濺戰顫
tsh[1]參餐汆[2]蠶慚饞讒攙蟾殘纏 [3]惨産 [5]懺燦
s[1]三衫山掮[2]蟬禪[3]陝閃撣散傘[5]散扇善膳單
z[2]然燃[3]染冉

#æ̞
p[7]八 
ph[7]拔
f[7]法乏髪發伐筏罰 
t[7]搭答沓達
th [7]踏塌塔榻遢溻塌獭  
n [7]納臘蠟鑞辣 
ts[7]雜劄眨札紮鍘
tsh [7]插擦察
s [7]殺

#uan
t[1]端[3]短[5]鍛斷段緞 
tʰ [2]團糰
n [2]鑾 [3]暖卵[5]亂
k [1]官棺觀冠鳏關[3]管館[5]貫灌罐觀冠慣摜
kh[1]寬[3]款
x[1]歡[2]桓還環[3]緩[5]唤焕换幻患宦
Ø[1]豌彎灣[2]玩完丸紈顽[3]皖碗腕晚挽宛[5]萬蔓
ts[1]專磚[3]轉[5]賺鑽撰轉篆 
tsh[1]川穿[2]傳船[3]鏟[5]纂躥竄篡串
s[1]删酸拴栅[5]疝算蒜涮
z[3]軟阮

#iæ̞
Ø[7]鴨押
tɕ[7]夾袂甲胛挾荚 
tɕh[7]掐恰洽
ɕ[7]狭峡俠瞎轄

#yn
Ø[1]暈[2]匀云雲耘榮營塋螢滎 [3]允尹永 [5]熨韻運泳咏
tɕ [1]鈞均君軍[5]俊浚盹菌郡 
tɕh [1]傾頃[2]群裙瓊
ɕ [1]熏勳薰燻[2]尋荀詢旬循巡殉 [5]訊遜迅馴訓

#yɛn
Ø[1]冤淵[2]椽圆員缘沿鉛元原源袁轅園援猿[3]遠[5]院願怨
tɕ [1]絹捐[3]捲[5]卷眷倦
tɕh[1]圈[2]全泉權拳[3]遣犬
ɕ [1]鮮掀軒宣喧[2]弦旋玄懸眩 [3]癣選[5]旋楦

#ye
Ø [1]噦[7]悦閱月曰越粤 
tɕ [7]絶厥橛訣爵
tɕh [7]厥蕨缺
ɕ [7]薛屑雪血恤削

#ən
p[1]奔崩繃[3]本[5]笨
ph[1]噴烹[2]盆彭膨
m[2]門[5]悶
f[1]分吩芬紛[2]焚墳[3]粉[5]糞奮憤忿份
t[1]墩登燈[2]屯[3]等[5]頓扽盾沌鈍遁盾凳鄧
th[1]吞[2]藤騰謄[3]戥
I[2]侖倫淪輪能棱[3]冷[5]嫩論 
k[1]跟根更庚羹耕[3]粳哽梗耿[5]埂更
kh[1]坑[3]懇墾啃肯
x[1]痕亨哼[2]恒衡莖[3]很[5]恨杏
ŋ[1]恩[5]硬
ts[1]針斟珍榛臻真診疹尊撙遵增曾徵蒸爭箏貞偵征[3]枕振震拯整[5]鎮陣圳憎贈甑證症鄭正政
tsh[1]參伸村稱撑睁[2]沉岑陳塵臣存澄層曾澄橙承丞橙呈程成城誠 [3]忖□{蹭}懲逞[5]趁襯慎寸秤
s[1]森參深身申孫僧升生牲甥笙聲 [2]神娠辰晨乘[3]沈嬸審損筍榫省眚[5]滲葚甚腎剩勝聖盛
z[2]壬任人仁仍[3]紝忍刃韌扔[5]任認

#ue
k[7]郭國
kh[7]括闊廓擴

#uæ̞
k[7]刮
x[7]滑猾 
Ø[7]襪
ts[7]啄
s[7]刷

#uən
k[3]滚[5]棍
kh[1]昆坤[3]綱[5]困睏
x [1]昏婚渾葷[2]魂横横[5]餛混 
Ø[1]温瘟[2]文紋蚊聞[3]穩吻刎[5]問 
ts[3]準
tsh[1]椿春[3]蠢
s[2]脣純醇繩[5]順舜 
z[5]閏潤孕

#ɑŋ
p[1]幫邦浜[3]榜綁[5]謗棒 
ph[2]滂旁螃傍龐[5]胖
m[2]忙芒茫盲虻氓[3]莽蟒
f[1]方肪芳[2]坊妨房防[3]倣紡仿彷訪[5]放
t[1]當襠[3]黨擋檔[5]當盪蕩宕 
th[1]湯[2]堂棠螳唐糖塘[3]倘躺 [5]燙趟
n [2]囊郎廊狼螂[3]朗[5]浪
k[1]剛崗綱鋼岡缸鋼肛[2]扛[3]港 [5]槓虹杠虹
kh[1]康糠慷[5]抗炕
x[1]夯[2]行航杭[5]項巷 
ŋ[1]骯[2]昂
s[1]桑喪商傷 [2]常嘗裳償 [3]嗓搡賞 [5]喪上尚
z [2]瓤 [3]壤攘嚷 [5]讓
ts[1]臟髒張章樟蟑[3]長漲掌[5]葬藏臓帳脹賬丈仗杖障瘴
tsh[1]倉蒼艙昌菖娼倡窗[2]藏長腸場[3]廠[5]暢悵唱

#iɑŋ
ȵ [2] 良凉糧梁粱[3]兩輛[5]量亮諒量
Ø [1]央秧殃[2]羊洋楊陽揚瘍 [3]養癢 [5]様
tɕ [1]将漿疆僵薑疆姜江豇[3]蔣奬槳講[5]醬將匠降
tɕh[1]槍羌腔[2]牆强[3]搶强[5]呛
ɕ [1]相箱厢湘鑲香鄉[2]詳祥翔降 [3]想餉享響[5]相象像向
ȵ [2]娘[5]釀

#uɑŋ
k[1]光[3]廣
kh[1]筐框匡眶[2]狂[5]曠况礦 
x [1]荒慌[2]黄簧皇蝗蟥凰[3]謊 [5]晃
Ø[1]汪[2]亡王[3]網枉往[5]望妄旺
s [1]霜雙 [3]爽
ts[1]莊裝妝樁[5]壯状撞
ts[1]瘡 [2]床 [3]闖 [5]創

#ioŋ
Ø[1]雍癰臃[2]融容溶蓉庸熔[3]擁勇涌踊[5]用
tɕ [1]龔
tɕh [2]窮
ɕ [1]兄胸兇凶[2]熊雄
