#a
p[2]排[3]摆罢拜[5]爸牌稗败[7]八钵拨
ŋ[1]伢[2]吴蜈吾梧涯崖[3]饿蛾俄牙衙瓦五伍误悟遇愚虞雁[5]鹅雅芽午鱼渔语
h[1]哈墟嘘虚靴[2]虾霞瑕遐虾暇[3]荷河何和许厦{偏~}[5]下夏厦{~门}去
∅[1]亚鸦丫桠乌污坞[3]哑

#aŋ
p[1]彬宾槟奔锛崩冰浜兵[2]拔[3]萍贫频凭彭膨丙
pʰ[3]颁
m[3]眠民萌鸣明盟[5]铭
t[1]丁订敦顿[3]虫顶鼎停廷庭蜓定屯豚饨臀墩盾[5]囤沌
tʰ[5]重{轻~}
n[3]嫩
l[2]鸾[3]龙论伦沦轮[5]铃伶拎翎
ts[1]津尊蹲遵征蒸精晶[3]晋准证症整正政[5]俊
tsʰ[1]村春称{~呼}[3]松趁寸存蠢呈程情静靖[5]蚕称{杠~}
s[1]星腥森身申伸逊孙升[2]旬循巡[3]损笋唇纯莼醇顺舜训乘承剩胜省盛圣[5]绳
k[1]弓经根均钧君军京擎鲸[3]供
kʰ[3]共穷矿勤芹群庆
ŋ[3]迎[5]银
h[1]胸凶熏馨薰幸[3]形型刑兴{高~}[5]兴{~旺}
∅[3]赁允尹应

#ia
pʰ[7]劈
kʰ[7]剧屐
∅[7]益亦译易

#iau
p[1]标表彪
pʰ[1]漂{~白}瓢嫖飘鳔[2]票[3]漂{~亮}
m[3]藐渺秒妙杳[5]庙
t[1]刁貂[3]条调鸟[5]钓吊
tʰ[1]雕挑[5]跳
l[2]燎[3]瞭聊辽撩廖[5]料了{~结}寥
s[1]梢稍
tɕ[1]焦蕉椒[3]剿[5]樵醮召昭招照诏
tɕʰ[1]锹朝{今~}超[2]朝{~代}潮[3]瞧赵兆
ȵ[2]铙挠饶桡扰绕浇尧[3]尿
ɕ[1]悄烧萧箫[2]沼韶[3]少{多~}小绍邵晓[5]消宵霄硝销笑鞘少{~年}嚣
k[1]骄娇[3]缴侥饺[5]矫
kʰ[2]乔侨桥荞[5]轿
∅[2]摇谣窑姚[3]耶爷夜野耀舀么{~二三}吆跃[5]鹞妖邀腰

#iaŋ
∅[1]晕英莺鹦樱[3]营茔永泳咏匀运韵云[5]润闰蝇

#ua
p[3]贝胚坯辈背焙培陪赔裴[5]倍吠
m[2]梅枚媒煤[5]妹昧
f[1]盔魁
t[3]贷代袋[5]待怠殆
tʰ[1]胎[2]台
n[1]耐
l[1]来
ts[3]宰载{~重}再[5]载{满~}
tsʰ[1]绝[2]才材财裁在豺[3]彩采[5]赛菜蔡寨[7]刷
s[5]腮鳃[7]雪血勺{~子}
k[1]乖[2]刮[3]改拐盖{~上}[5]该怪盖{~子}[7]骨
kʰ[1]夸开[3]凯刽桧块[5]慨溉概快筷丐[7]括阔
ŋ[3]碍
∅[1]煨滑猾[5]外[7]挖核

#uau
k[1]瓜[3]裸果裹馃寡剐鳏
kʰ[1]侉跨
∅[1]祸蜗蛙洼[5]倭踒窝

#ei
p[1]悲陌[3]柄病平坪评饼[5]弼[7]壁北百柏伯迫璧泊
pʰ[1]批[3]丕鄙[7]逼拍魄
m[1]墨默麦[2]贸[3]米亩茂戊盲[5]美牡命名[7]脉
f[7]或惑
t[1]钉登灯[2]寻等腾藤疼邓誊郑[5]垛亭凳瞪[7]滴嫡得德
tʰ[3]听艇挺锭[7]蹄剔踢特突
n[3]能
l[2]楼搂耧[3]灵零荔蒌冷领岭[5]历漏陋肋勒
ts[1]曾{姓~}增憎僧赠争筝睁睛[3]藉{~故}井[7]则侧窄责迹只炙
tsʰ[1]奢青蜻[2]邪斜[3]且曾{~经}层撑请晴[5]褯谢贼净橙[7]测拆泽择宅策册栅赤斥尺
s[1]参{人~}声珊删[2]锡析[3]写些佘蛇醒摘成城[5]泻卸射麝赦舍塞生牲笙甥姓[7]色啬释适
ɕ[7]杀
k[1]惊[3]既颈[5]镜
kʰ[1]轻[5]咳俭[7]刻克
h[1]兄坑[2]候[3]喉猴疾肯恒行{~为}行{~列}衡[5]侯后厚行{品~}[7]辖黑赫吓{恐~}

#en
p[2]盆[3]笨
pʰ[3]喷
m[3]闷蚊问
n[3]韧
l[3]宁
ts[1]珍真正{~月}[3]枕展振拯贞侦[5]震诊疹
tsʰ[1]深[3]陈衬诚
s[1]心娠[3]沈审甚尘慎神辰晨臣迅[5]婶
j[3]渊
k[1]跟斤筋巾[3]径谨更荆经{~纬}
kʰ[1]卿[2]琼[3]倾顷恳垦
h[3]很恨杏[5]痕亨
∅[1]因姻[3]音阴荫印[5]恩

#ie
p[7]别
m[1]篾[7]灭没
t[3]爹[5]叠碟牒蝶谍[7]跌秩
tʰ[5]铁[7]帖贴
n[7]捏
l[2]劣[7]猪烈裂刊律率略掠
ts[3]遮者[5]蔗[7]即鲫
tsʰ[1]车[3]扯
s[1]赊[3]蟀[7]瑟戌恤虱
tɕ[7]接折哲蜇浙酌绰节爵雀鹊着{~衣}
tɕʰ[7]插妾捷彻撤辙切截
ȵ[1]热[2]严[3]惹软壤攘嚷硬[5]弱[7]聂业孽虐疟额递
ɕ[1]舌[5]协[7]摄涉怯胁设削屑
k[1]渠耕哽埂[2]甲挟[3]卷倦茎更{五~}粳庚羹[7]劫涩执给结洁决诀脚革隔格
kʰ[7]夹杰揭歇蝎缺却客觉{知觉}
∅[1]也页叶[3]赢[7]噎匿液腋

#uei
p[1]杯
pʰ[3]配[5]沛佩
m[3]尾[5]每
f[1]恢非飞妃[2]肥[3]毁匪榧[5]会贿悔汇晦绘废惠慧挥辉徽费翡痱[7]忽
t[1]堆[3]对队兑[5]碓
tʰ[1]推[3]腿蜕退
n[5]内
l[3]累儡雷[5]类
ts[1]追[5]最赘锥
tsʰ[1]趋催崔吹炊[3]罪[5]翠粹
s[1]衰[2]谁[3]穗髓随垂坠水[5]碎遂隧瑞
j[5]锐
k[1]规龟归[3]诡鬼[5]闺桂轨癸贵
kʰ[1]亏窥[2]溃圭奎逵葵[3]傀愧跪[5]畦柜
∅[1]威[2]桅唯维惟为违围[3]横危委畏慰伟苇[5]秽卫伪位魏纬胃谓猬未味[7]物勿

#ye
l[5]亮谅辆量{数~}
tsʰ[2]传椽
ȵ[5]愿
ɕ[2]穴
∅[1]药钥若[3]圆员悦元原源[5]疫役缘沿铅阮[7]阅越曰粤乙约域

#i
p[1]鞭辫[3]贬便{~宜}便{方~}变匾扁[5]辨辩边蝙
pʰ[1]编篇偏遍[3]骗片
m[3]觅绵棉免勉娩面[5]缅
t[1]颠[3]舐蘸点甜缠田填典电殿奠[5]店佃
tʰ[1]添天[5]梯垫
l[3]敛脸怜莲[5]廉镰帘练炼链楝恋
ts[1]脂之芝[3]紫纸稚旨指子梓痔志痣止趾址臻榛[5]智知蜘肢支枝栀只致至似置[7]汁
tsʰ[1]雌痴[3]疵此池侈雉兹滋慈磁辞词祠巳耻持嗤齿始[5]刺赐驰治厕[7]侄
s[1]司丝思祀诗十[3]斯厮撕是氏鼓施示矢屎肆伺使史驶时[5]匙私视嗜尸寺嗣饲羡士仕柿俟事市特待试拾什[7]湿失实
tɕ[1]挤黏尖歼沾瞻占{~卜}剪毡[2]脐栖犀[3]斩渐盏碾箭溅战颤[5]荐占{~领}
tɕʰ[1]签浅千笺[3]潜铲产贱饯前[5]践[7]辑
ȵ[3]汝你验念眼言研砚年娘仍扔抑[5]乳
ɕ[1]衫嫌鲜先[2]贤弦[3]蟾陕闪癣蝉禅线宪献显[5]扇善膳现
k[1]兼奸轩掀肩坚[3]渠几减监鉴检拈简柬拣裥乾犍键建健腱笕[5]剑涧艰间件遣见
kʰ[1]谦牵[3]钳犬[5]欠歉
h[3]嬉
∅[1]淹阉掩腌烟婴缨燕{~京}[2]焰艳[3]移伊夷姨矣遗阎檐盐然燃焉延筵[5]宴以厌殷鹰燕{~子}[7]一逸

#in
p[3]瓶禀殡鬓[5]并
pʰ[3]姘拼品迸聘
m[3]闽悯敏吝
l[3]林淋临陵凌菱[5]邻磷鳞
s[1]辛新薪[3]衅[5]信讯
tɕ[3]岑浸枕进镇
tɕʰ[1]亲[3]寝秦尽阵澄[5]侵
ȵ[3]忍人[5]刃认
k[1]今金[2]禁{~不住}[3]迥揿仅紧劲耿竞警禁{~止}
kʰ[1]妗襟钦[3]擒禽琴吟
∅[1]皖[3]萤荥颖壬任淫饮演仁寅引欣隐孕映影盈[5]缓

#o
p[1]褒包胞鲍薄[2]博[3]布保堡宝暴抱跑豹爆刨瓣办扳版搬[5]报扮班斑板攀般半绊[7]缚剥驳
pʰ[1]抱袍抛跑刨潘[2]盘[3]炮泡伴拌雹[5]盼判叛[7]朴
m[2]毛莫膜幕寞[3]巫诬昌貌茅猫锚蛮满瞒馒漫幔[5]哪无帽卯慢那
f[1]藩[3]唤焕换幻患宦翻番烦繁反[5]贩饭
ts[1]餐[3]曹槽早蚤爪站赞[5]缀遭糟枣罩[7]捉
tsʰ[1]抄参{~差}[2]巢[3]草炒吵惭暂谗馋残灿昨[5]操皂造澡糙躁[7]镯
s[1]蓑骚臊[2]索[3]散伞[5]傻塑扫嫂稍淆三[7]朔
k[1]高膏观羔糕交郊胶教{~书}官棺冠{衣~}关[2]柑郭各阁搁胳[3]惯贯灌罐冠{~军}稿绞狡铰搅教{~育}感敢橄喊杆赶管馆[5]告较觉甘干肝[7]角
kʰ[1]宽[2]敲[3]考堪坎款[5]靠犒勘竿[7]鸽磕廓确壳霍藿
ŋ[2]肴淆颜鄂[3]熬咬岸顽岩[5]傲[7]岳
h[2]坳喝{~采}[3]酷好{~坏}豪壕毫含函咸陷馅衔韩寒汉汗翰焊闲[5]贺好{喜~}耗号浩校酵孝效憾喝{~水}罕旱鼾限苋[7]学

#oi
p[3]朋棚[7]卜扑仆曝
pʰ[3]捧
m[1]木[3]梦蒙懵孟猛[7]目穆牧
f[1]封峰蜂锋风枫疯丰讽[3]奉俸缝逢凤篷蓬[5]复[7]福幅蝠腹复覆服伏袱
t[1]冬东读牍[3]同铜桐童瞳动董懂洞[5]筒独犊[7]毒督笃冻栋啄
tʰ[1]通囱[3]统桶捅[5]痛[7]秃
n[1]肉[3]浓农脓侬
l[1]卵[2]禄[3]陇垅隆聋拢弄[5]笼鹿[7]录陆
ts[1]踪纵{~横}钟盅终宗综鬃桩[3]怂纵{放~}种肿众总中[5]舂忠中{~华}[7]足浊烛嘱筑祝粥
tsʰ[1]冲充聪忽葱[3]从重{~复}崇丛冢宠[5]脆仲[7]促触束畜{~牲}畜{~牧}蓄族速逐轴
s[1]赎熟松[3]宋送[5]续岁税诵颂讼嵩宿{星~}[7]粟俗渎蜀属肃宿{~命}缩叔淑术述秫
j[1]褥[2]辱[3]茸雍容蓉熔拥甬勇涌戎绒融沃[5]用[7]狱欲浴郁育
k[1]恭拱巩躬宫公蚣工功攻[3]贡汞[5]蟹[7]锔谷
kʰ[1]空[3]恐孔控吼
h[1]熊雄[3]红洪鸿虹轰宏哄[7]哭
∅[1]翁雍[3]骂{白}[7]屋

#ou
t[1]耽[3]潭谭
tʰ[1]贪[5]探
n[3]南男
ts[3]组[5]簪
tsʰ[1]参{~加}[2]蚕[3]惨
∅[5]恶

#oŋ
p[1]帮邦[3]榜旁螃傍谤绑[5]薄{~荷}庞
pʰ[3]滂蚌[5]胖
m[3]忙芒茫亡忘妄网辋[5]莽蟒望
f[1]谎荒慌方肪芳妨[3]晃房防仿纺彷访[5]放
t[1]当{~时}[3]堂棠螳唐糖塘党挡[5]当{~作}
tʰ[1]汤[3]荡倘躺[5]烫
n[3]瓤曩
l[3]朗郎廊狼[5]浪
ts[1]脏庄装[3]壮[5]葬
tsʰ[1]仓苍凿疮窗[3]闯床创撞藏{隐~}藏{西~}[5]畅状
s[1]桑丧霜孀双[3]爽
k[1]冈岗刚纲钢缸江扛豇[3]讲[5]降{下~}
kʰ[1]康匡眶筐[3]慷旷扩狂逛[5]抗炕
ŋ[3]昂
h[1]糠鹤[3]项卷{小~}降{投~}[5]行{银~}航杭
∅[3]肮

#iou
l[3]流刘留硫琉溜[5]柳榴
tɕ[1]周舟州洲纠[3]酒酬咒[5]昼帚
tɕʰ[1]秋鞦抽[3]袖宙丑绸稠筹兽臭[5]就骤
ȵ[3]纽扭牛
ɕ[1]修收休[3]羞仇手首守售嗅[5]秀绣锈寿授朽
k[1]鸠阄[3]九久韭[5]灸救究
kʰ[1]丘[3]救球臼舅咎[5]旧
∅[1]柔揉[3]尤邮由油游犹悠柚釉鼬[5]忧优有友酉莠诱幽幼

#uo
ts[2]作{工~，~坊}
∅[1]弯湾[3]完碗腕环宛玩还{~原，~有}[5]万蔓[7]获划握

#uoŋ
k[1]光[3]广港
∅[1]锅[3]汪枉往王[5]黄簧皇蝗旺

#u
p[3]本[5]孵[7]不
pʰ[1]埠
m[5]门
f[1]夫妇[2]壶乎[3]抚火夥胡湖虎浒户沪负符扶芙府腑俯甫脯斧[5]互瓠护肤敷俘付赋傅赴讣附腐侮父釜富副[7]佛
t[1]都{~城}都{~是}端[3]短团锻段锻椴
tʰ[3]断
n[3]暖
l[2]赂[3]乱
ts[3]钻
tsʰ[3]赚
s[1]酸闩栓[3]蒜
k[1]姑孤枯箍[2]古估牯股鼓[3]故固锢雇顾句
kʰ[1]麸[2]苦[3]库裤
∅[2]禾[3]狐倔院园屈掘[5]远芋武舞鹉

#uan
f[1]分芬纷[3]魂昏焚坟粉愤忿粪奋份
k[3]窘菌滚
kʰ[1]昆坤混浑婚荤[3]捆郡裙[5]困
∅[1]温瘟[3]稳文纹闻

#y
t[1]张[3]转长{~短}肠[5]涨胀
tʰ[5]丈仗杖
l[3]良凉量{~长短}粮梁粱[5]两
ts[1]诛蛛株朱珠专砖章樟[3]煮诸主掌障瘴[5]著驻注蛀铸帐
tsʰ[1]川穿喘串昌菖[2]储[3]除芋柱拄篆厂[5]处杵唱倡
s[1]书舒输船商伤[3]绪絮褚署暑鼠殊常尝裳偿赏晌享响[5]薯庶恕上{~山}
tɕ[1]将{~来}浆详祥[3]蒋奖桨长{生~}将{大~}酱
tɕʰ[1]枪[2]全泉[3]场匠篡[5]墙[7]拙
ȵ[3]仰让
ɕ[1]宣喧相{互~}箱厢湘襄香乡镶[3]选悬眩玄想象橡像向饷相{~貌}[5]旋尚上{~面}
k[1]捐疆僵姜礓缰羌
kʰ[1]圈{圆~}圈{猪~}[3]拳权颧劝券强[5]近
∅[1]冤央秧殃[2]余馀御[3]如与预于迂榆逾愉袁辕援县杨阳扬疡样[5]誉豫淤儒喻裕雨宇禹盂怨羊洋烊

#m̩
∅[5]吾
