例字	沙坡头文昌	沙坡头宣和	沙坡头迎水桥	沙坡头永康	沙坡头香山	中宁舟塔	海原海城	海原李旺	
杀	ʂɑ13	ʂɑ13	ʂa13	ʂa13	ʂa13	ʂa13	sa13	sᴀ132	
间	tɕiei52	tɕiai52	tɕiei53	tɕian53	tɕiæ̃53	tɕian53	tɕiæ52	tɕiæn53	
眼	iei52	iai52	iei53	ian53	iæ̃53	ian53	iæ52	iæn53	
闲	ɕiei52	ɕiai52	ɕiei53	ɕian53	ɕiæ̃53	ɕian53	ɕiæ13	ɕiæn53	
板	pai52	pæ̃52	pai53	pan53	pæ̃53	pan53	pæ52	pæn53	
颜	iei52	iai52	iei53	ian53	iæ̃53	ian53	iæ13	iæn13	
瞎(～子)	xɑ13	ɕia13	ɕia13	ɕia13	ɕia13	ɕia13	xa13	xᴀ132	
面(～孔)	miei13	miai13	miei13	mian13	miæ̃13	mian13	miæ13	miæn44	
连	liei52	liai52	liei53	lian53	liæ̃53	lian53	liæ13	liæn13	
线	ɕiei13	ɕiai13	ɕiei13	ɕian13	ɕiæ̃13	ɕian13	ɕiæ13	ɕiæn44	
癣(牛皮～)	ɕyei52	ɕiai52	ɕyei53	ɕyan53	ɕyæ̃53	ɕyan53	ɕiæ13	ɕyæn13	
舌	ʂə52	ʂə52	ʂə53	ʂə53	ʂə13	ʂə53	ʂə13	ʂə13	
搧	ʂai44	ʂæ̃44	ʂai44	ʂan44	ʂæ̃44	ʂan44	ʂæ52	ʂæ132	
扇(名词)	ʂai13	ʂæ̃13	ʂai13	ʂan13	ʂæ̃13	ʂan13	ʂæ13	ʂæ44	
热	ʐə13	ʐə13	ʐə13	ʐə13	ʐə13	ʐə13	ʐə13	ʐə132	
件	tɕiei13	tɕiai13	tɕiei13	tɕian13	tɕiæ̃13	tɕian13	tɕiæ13	tɕiæn44	
建	tɕiei13	tɕiai13	tɕiei13	tɕian13	tɕiæ̃13	tɕian13	tɕiæ13	tɕiæn44	
歇	ɕiə44	ɕiə44	ɕiə44	ɕiə44	ɕiə44	ɕiə13	ɕiə13	ɕiə132	
遍(～地)	piei13	piai13	piei13	pian13	piæ̃13	pian13	piæ13	piæn132	
天	tʰiei44	tʰiai44	tʰiei44	tʰian44	tʰiæ̃44	tʰian44	tʰiæ52	tʰiæn132	
铁	tʰiə13	tʰiə13	tʰiə13	tʰiə13	tʰiə13	tʰiə13	tʰiə13	tʰiə132	
田	tʰiei52	tʰiai52	tʰiei53	tʰian53	tʰiæ̃53	tʰian53	tʰiæ13	tʰiæn13	
嫌	ɕiei52	ɕiæĩ 52	ɕiei53	ɕian53	ɕiæ̃53	ɕian53	ɕiæ13	ɕiæn53	
法	fɑ13	fɑ13	fa13	fa13	fa13	fa13	fɑ13	fᴀ132	
犯	fai13	fæ̃i13	fai13	fan13	fæ̃13	fan13	fæ13	fæn44	
林	liŋ52	liŋ52	liŋ53	liŋ53	liŋ53	liŋ53	liŋ13	liŋ13	
立	li13	li13	li13	li13	li13	li13	li13	li13	
浸(～泡)	tɕiŋ13	tɕiŋ13	tɕiŋ13	tɕiŋ13	tɕiŋ13	tɕʰiŋ13	tɕiŋ13	tɕiŋ132	
缉(～鞋口)	tɕi44	tɕi44	tɕi44	tɕi44	tɕʰi53	tɕʰi44	tɕi52	tɕi132	
心	ɕiei44	ɕiŋ44	ɕiei44	ɕiŋ44	ɕiŋ44	ɕiŋ44	ɕiŋ52	ɕiŋ132	
寻	ɕyei52	ɕyŋ52	ɕyei53	ɕyŋ53	ɕyŋ53	ɕyŋ53	ɕyŋ13	ɕiŋ13	
参(人～)	sei44	səŋ44	səŋ44	səŋ44	səŋ44	səŋ44	səŋ52	səŋ13	
涩	sə13	sə13	səi13	sə13	sə13	sə13	sə13	sə132	
深	ʂei44	ʂəŋ44	ʂei44	ʂəŋ44	ʂəŋ44	ʂəŋ44	ʂəŋ52	ʂəŋ132	
十	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	
急	tɕi13	tɕi13	tɕi13	tɕi13	tɕi13	tɕi13	tɕi13	tɕi13	
给	kei52	kei52	kə53	kə53	kə53	kə53	kə52	kə53	
苇(～子)	vei52	vəŋ52	vei53	vei53	vei53	vei53	vei52	vei53	
音	iei44	iŋ44	iei44	iŋ44	iŋ44	iŋ44	iŋ52	iŋ13	
炭	tʰai13	tʰæ̃13	tʰai13	tʰan13	tʰæ̃13	tʰan13	tʰæ13	tʰæn44	
弹	tʰai52	tʰæ̃52	tʰai53	tʰan53	tʰæ̃13	tʰan53	tʰæ52	tʰæn13	
蛋	tai13	tʰæ̃13	tai13	tan13	tæ̃13	tan13	tæ13	tæn44	
兰	lai52	læ̃52	lai53	lan53	læ̃53	lan53	læ13	læn13	
辣	lɑ13	lɑ13	la13	la13	la13	la13	la13	lᴀ132	
割	kə13	kə13	kə13	kə13	kə13	kə13	kə13	kuə132	
岸	ai13	æĩ 13	ai13	an13	æ̃13	an13	næ13	æn132	
汉	xai13	xæ̃13	xai13	xan13	xæ̃13	xan13	xæ13	xæn44	
安	ai44	æĩ 44	ai44	an44	æ̃44	an44	næ52	næn132	
淡	tai13	tæ̃13	tai13	tan13	tæ̃13	tan13	tæ13	tæn44	
蓝	lai52	læ̃52	lai53	lan53	læ̃53	lan53	læ52	læn13	
三(数词)	sai44	sæ̃44	sai44	san44	sæ̃44	san44	sæ52	sæn132	
敢	kai52	kæ̃52	kai53	kan53	kæ̃53	kan53	kæ52	kæn53	
磕(～头)	kʰə13	kʰə13	kʰə13	kʰə13	kʰə13	kʰə13	kʰə13	kʰə132	
憨	xai44	xæ̃44	xai44	xan44	xæ̃44	xan44	xæ52	xæn132	
插	tʂʰɑ13	tʂʰɑ13	tʂʰa13	tʂʰa13	tʂʰa13	tʂʰa13	tsʰɑ13	tsʰᴀ132	
掐	tɕʰiɑ13	tɕʰia13	tɕʰia13	tɕʰia13	tɕʰia13	tɕʰia13	tɕʰia13	tɕʰiᴀ132	
咸	ɕiei52	ɕiæ5̃ 2	ɕiei53	ɕian53	ɕiæ̃53	ɕian53	xæ13	xæn13	
馅	ɕiei13	ɕiæ1̃ 3	ɕiei13	ɕyan13	ɕiæ̃13	ɕia13	ɕiæ13	ɕyæn132	
衫	ʂai44	ʂæ̃44	ʂai44	ʂan44	ʂæ̃44	ʂan44	ʂæ52	sæn132	
匣(～子)	ɕiɑ52	ɕia52	ɕia53	ɕia53	ɕia53	ɕia53	ɕia52	ɕiᴀ13	
鸭	iɑ13	ia13	ia13	ia13	ia13	ia13	ia13	ia132	
黏(～糊)	ʐai52	ȵiæ̃52	ʐai53	ȵian53	ȵiæ̃53	ȵian53	ȵiæ52	ʐæn13	
尖	tɕiei44	tɕiæĩ 44	tɕiei44	tɕian44	tɕiæ̃44	tɕian44	tɕiæ52	tɕiæn132	
接	tɕiə13	tɕiə13	tɕiə13	tɕiə13	tɕiə13	tɕiə13	tɕiə13	tɕiə132	
盐	iei52	iæ̃i52	iei53	ian53	iæ̃53	ian53	iæ13	iæn13	
叶	iə13	iə13	iə13	iə13	iə13	iə13	iə52	iə132	
欠	tɕʰiei13	tɕʰiæ̃i13	tɕʰiei13	tɕʰian13	tɕʰiæ̃13	tɕʰian13	tɕʰiæ13	tɕʰiæn44	
严	iei52	iæ̃i52	iei53	ian53	iæ̃53	ian53	iæ52	iæn13	
业	iə13	iə13	iə13	iə13	iə13	iə13	ȵiə13	iə132	
店	tiei13	tiæ̃i13	tiei13	tian13	tiæ̃13	tian13	tiæ13	tiæn44	
鲇(～鱼)	miei52	miæ̃i52	miei53	mian53	ȵiæ̃53	mian53	ȵiæ52	ȵiæn13	
跌	tiə13	tiə13	tiə13	tiə13	tiə13	tiə13	tiə13	tiə132	
贴	tʰiə13	tʰiə13	tʰiə13	tʰiə13	tʰiə13	tʰiə13	tʰiə13	tʰiə132	
甜	tʰiei52	tʰiæ̃i52	tʰiei53	tʰian53	tʰiæ̃53	tʰian53	tʰiæ52	tʰiæn13	
抽	tʂʰəu44	tʂʰəu44	tʂʰou44	tʂʰou44	tʂʰou44	tʂʰou44	tʂʰəu52	tʂʰəu132	
皱	tʂəu13	tʂəu13	tsou13	tsou13	tsou13	tsou13	tʂəu13	tsəu44	
愁(～人)	tʂʰəu52	tsʰəu52	tsʰou53	tsʰou53	tsʰou53	tsʰou53	tsʰəu13	tsʰəu13	
瘦	ʂəu13	ʂəu13	sou13	sou13	sou13	sou13	səu13	səu44	
州	tʂəu44	tʂəu44	tʂou44	tʂou44	tʂou44	tʂou44	tʂəu52	tʂəu132	
手	ʂəu52	ʂəu52	ʂou53	ʂou53	ʂou53	ʂou53	ʂəu52	ʂəu53	
柔	ʐəu52	ʐəu52	ʐou53	ʐou53	ʐou53	ʐou53	ʐəu52	ʐəu53	
九	tɕiəu52	tɕiəu52	tɕiou53	tɕiou53	tɕiou53	tɕiou53	tɕiəu52	tɕiəu53	
舅	tɕiəu13	tɕiəu13	tɕiou13	tɕiou13	tɕiou13	tɕiou13	tɕiəu13	tɕiəu44	
旧	tɕiəu13	tɕiəu13	tɕiou13	tɕiou13	tɕiou13	tɕiou13	tɕiəu13	tɕiəu132	
牛	ȵiəu52	ȵiəu52	ȵiou53	ȵiou53	ȵiou53	ȵiou53	ȵiəu52	ȵiəu13	
有	iəu52	iəu52	iou53	iou53	iou53	iou53	iəu52	iəu53	
油	iəu52	iəu52	iou53	iou53	iou53	iou53	iəu13	iəu13	
谬(～误)	ȵiəu13	ȵiəu13	ȵiou13	ȵiou13	ȵiou13	ȵiou13	ȵiəu13	ȵiəu132	
搭	tɑ13	tuə44	ta13	ta13	ta13	ta13	tɑ13	tᴀ132	
贪	tʰai44	tʰæ̃44	tʰai44	tʰan44	tʰæ̃44	tʰan44	tʰæ52	tʰæ132	
踏	tʰɑ13	tʰɑ13	tʰa13	tʰa13	tʰa13	tʰa13	tʰɑ13	tʰᴀ132	
潭(水～)	tʰai52	tʰæ̃52	tʰai53	tʰan53	tʰæ̃53	tʰan53	tʰæ13	tʰæn53	
南	nai52	næ̃52	nai53	nan53	næ̃53	nan53	næ13	næn13	
拉	lɑ44	lɑ44	la44	la44	la44	la44	lɑ52	lᴀ132	
蚕	tsʰai52	tsʰæ̃52	tsʰai53	tsʰan53	tsʰæ̃53	tsʰan53	tsʰæ52	tsʰæn13	
喝	xə13	xə13	xə13	xə13	xə13	xə13	xuə13	xə13	
盒(～子)	xə13	xə13	xə13	xə13	xə13	xə13	xuə13	xə13	
暗	ai13	æ̃13	ai13	an13	æ̃13	an13	æ13	æn44	
胆	tai52	tæ̃52	tai53	tan53	tæ̃53	tan53	tæ52	tæn53	
塔	tʰɑ13	tʰɑ13	tʰa13	tʰa13	tʰa13	tʰa13	tʰɑ13	tʰᴀ132	
赵	tʂau13	tʂɔ13	tʂɔ13	tʂɔ13	tʂɔ13	tʂɔ13	tʂɔ13	tʂɔ44	
照	tʂau13	tʂɔ13	tʂɔ13	tʂɔ13	tʂɔ13	tʂɔ13	tʂɔ13	tʂɔ44	
烧	ʂau44	ʂɔ44	ʂɔ44	ʂɔ44	ʂɔ44	ʂɔ44	ʂɔ52	ʂɔ13	
骄	tɕiau44	tɕiɔ44	tɕiɔ44	tɕiɔ44	tɕiɔ44	tɕiɔ44	tɕiɔ52	tɕiɔ132	
桥	tɕʰiau52	tɕʰiɔ52	tɕʰiɔ53	tɕʰiɔ53	tɕʰiɔ53	tɕʰiɔ53	tɕʰiɔ52	tɕʰiɔ13	
轿(～子)	tɕiau13	tɕiɔ13	tɕiɔ13	tɕiɔ13	tɕiɔ13	tɕiɔ13	tɕiɔ13	tɕiɔ132	
腰	iau44	iɔ44	iɔ44	iɔ44	iɔ44	iɔ44	iɔ52	iɔ132	
钓(～鱼)	tiau13	tiɔ13	tiɔ13	tiɔ13	tiɔ13	tiɔ13	tiɔ13	tiɔ44	
料	liau13	liɔ13	liɔ13	liɔ13	liɔ13	liɔ13	liɔ13	liɔ44	
浇	tɕiau44	tɕiɔ44	tɕiɔ44	tɕiɔ44	tɕiɔ44	tɕiɔ44	tɕiɔ52	tɕiɔ132	
叫	tɕiau13	tɕiɔ13	tɕiɔ13	tɕiɔ13	tɕiɔ13	tɕiɔ13	tɕiɔ13	tɕiɔ44	
某(～人)	mu52	məu52	muə53	muə53	mu53	mu53	məu52	mɔ53	
牡	mu52	mu52	mu53	mu53	mu13	mu53	mu52	mɔ53	
母	mu52	mu52	mu53	mu53	mu53	mu53	mu52	mu53	
豆	təu13	təu13	tou13	tou13	tou13	tou13	təu13	təu44	
楼	ləu52	ləu52	lou53	lou53	lou53	lou53	ləu52	lu13	
漏(～水)	ləu13	ləu13	lou13	lou13	lou13	lou13	ləu13	ləu132	
走	tsəu52	tsəu52	tsou53	tsou53	tsou53	tsou53	tsəu52	tsəu53	
钩(鱼～)	kəu44	kəu44	kou44	kou44	kou44	kou44	kəu52	kəu132	
后	xəu13	xəu13	xou13	xou13	xou13	xou13	xəu13	xəu44	
否	fu52	fu52	fu53	fu53	fu53	fu53	fu52	fəu53	
副	fu13	fu13	fu13	fu13	fu13	fu13	fu13	fu44	
浮	fu52	fu52	fu53	fu53	fu53	fu53	fu52	fu13	
矛(～头)	mau52	mɔ52	mɔ53	mɔ53	mɔ53	mɔ53	mɔ52	mɔ13	
流	liəu44	liəu44	liou44	liou44	liou44	liou53	liəu52	liəu13	
酒	tɕiəu52	tɕiəu52	tɕiou53	tɕiou53	tɕiou53	tɕiou53	tɕiəu52	tɕiəu53	
毛	mau52	mɔ52	mɔ53	mɔ53	mɔ53	mɔ53	mɔ13	mɔ13	
讨	tʰau52	tʰɔ52	tʰɔ53	tʰɔ53	tʰɔ53	tʰɔ53	tʰɔ52	tʰɔ53	
稻(～子)	tau13	tɔ13	tɔ13	tɔ13	tɔ13	tɔ13	tɔ13	tɔ132	
脑	nau52	nɔ52	nɔ53	nɔ53	nɔ53	nɔ53	nɔ52	nɔ53	
老	lau52	lɔ52	lɔ53	lɔ53	lɔ53	lɔ53	lɔ52	lɔ53	
早	tsau52	tsɔ52	tsɔ53	tsɔ53	tsɔ53	tsɔ53	tsɔ52	tsɔ53	
躁(暴～)	tsau13	tsɔ13	tsɔ13	tsɔ13	tsʰɔ13	tsɔ13	tsɔ13	tsɔ132	
草	tsʰau52	tsʰɔ52	tsʰɔ53	tsʰɔ53	tsʰɔ53	tsʰɔ53	tsʰɔ52	tsʰɔ53	
造	tsau13	tsɔ13	tsɔ13	tsɔ13	tsɔ13	tsɔ13	tsɔ13	tsɔ44	
高	kau44	kɔ44	kɔ44	kɔ44	kɔ44	kɔ44	kɔ52	kɔ132	
膏(牙～)	kau52	kɔ52	kɔ53	kɔ53	kɔ53	kɔ44	kɔ52	kɔ13	
糕(蛋～)	kau44	kɔ44	kɔ44	kɔ44	kɔ44	kɔ44	kɔ52	kɔ132	
熬(～药)	au52	ɔ52	ɔ53	ɔ53	ɔ53	ɔ53	ɔ52	nɔ13	
好(形容词)	xau52	xɔ52	xɔ53	xɔ53	xɔ53	xɔ53	xɔ52	xɔ53	
胞	pau44	pɔ44	pɔ44	pɔ44	pɔ44	pɔ44	pɔ52	pɔ132	
饱	pau52	pɔ52	pɔ53	pɔ53	pɔ53	pɔ53	pɔ52	pɔ53	
罩	tʂau13	tʂɔ13	tʂɔ13	tʂɔ13	tʂɔ13	tʂɔ13	tsɔ13	tsɔ44	
爪(～子)	tʂuɑ52	tʂuɑ52	tʂua53	tʂua53	tʂua53	tʂua53	tʂuɑ52	tʂua53	
找(～零钱)	tʂau52	tʂɔ52	tʂɔ53	tʂɔ53	tʂɔ53	tʂɔ53	tsɔ52	tsɔ53	
炒	tʂʰau52	tʂʰɔ52	tʂʰɔ53	tʂʰɔ53	tʂʰɔ53	tʂʰɔ53	tsʰɔ52	tsʰɔ53	
交	tɕiau44	tɕiɔ44	tɕiɔ44	tɕiɔ44	tɕiɔ44	tɕiɔ44	tɕiɔ52	tɕiɔ132	
咬	iau52	iɔ52	iɔ53	iɔ53	iɔ53	iɔ53	ȵiɔ52	ȵiɔ53	
孝	ɕiau13	ɕiɔ13	ɕiɔ13	ɕiɔ13	ɕiɔ13	ɕiɔ13	ɕiɔ13	ɕiɔ44	
表(手～)	piau52	piɔ52	piɔ53	piɔ53	piɔ53	piɔ53	piɔ52	piɔ53	
笑	ɕiau13	ɕiɔ13	ɕiɔ13	ɕiɔ13	ɕiɔ13	iɔ13	ɕiɔ13	ɕiɔ132	
潮(～湿)	tʂʰau52	tʂʰɔ52	tʂʰɔ53	tʂʰɔ53	tʂʰɔ53	tʂʰɔ53	tʂʰɔ13	tʂʰɔ24	
疑(怀～)	i52	i52	i53	i53	i53	i53	ȵi13	i53	
几(～个)	tɕi52	tɕi52	tɕi53	tɕi53	tɕi53	tɕi53	tɕi52	tɕi53	
气	tɕʰi13	tɕʰi13	tɕʰi13	tɕʰi13	tɕʰi13	tɕʰi13	tɕʰi44	tɕʰi44	
衣	i44	i44	i44	i44	i44	i44	i52	i132	
随	suei52	suei52	suei53	suei53	suei53	suei53	suei13	suei13	
吹	tʂʰuei44	tʂʰuei44	tʂʰuei44	tʂʰuei44	tʂʰuei44	tʂʰuei44	tʂʰuei52	tʂʰuei13	
亏	kʰuei44	kʰuei44	kʰuei44	kʰuei44	kʰuei44	kʰuei44	kʰuei52	kʰuei132	
跪	kuei13	kuei13	kuei13	kuei13	kuei13	kuei13	kuei13	kuei44	
危(～难)	vei44	vei44	vei44	vei44	vei44	vei44	vei52	vei132	
为(～什么)	vei44	vei44	vei44	vei44	vei13	vei13	vei52	vei44	
泪	luei13	luei13	luei13	luei13	luei13	luei13	luei13	luei44	
醉	tsuei13	tsuei13	tsuei13	tsuei13	tsuei13	tsuei13	tsuei13	tsuei44	
锤	tʂʰuei52	tʂʰuei52	tʂʰuei53	tʂʰuei53	tʂʰuei53	tʂʰuei53	tʂʰuei13	tʂʰuei13	
摔(～跤)	ʂuai44	ʂuɛ44	ʂuai44	ʂuɛ44	ʂue44	ʂuɛ44	ʂuɛ44	ʂuᴇ53	
水	ʂuei52	ʂuei52	ʂuei53	ʂuei53	ʂuei53	ʂuei53	ʂuei52	ʂuei53	
谁	ʂuei52	ʂuei52	ʂuei53	ʂuei53	ʂuei53	ʂuei53	ʂuei52	ʂuei53	
柜	kuei13	kuei13	kuei13	kuei13	kuei13	kuei13	kuei13	kuei44	
维	vei52	vei52	vei53	vei53	vei53	vei53	vei52	vei13	
飞	fei44	fei44	fei44	fei44	fei44	fei44	fei52	fei132	
肥	fei52	fei52	fei53	fei53	fei53	fei53	fei13	fei13	
微	vei44	vei44	vei44	vei44	vei44	vei44	vei52	vei132	
鬼	kuei52	kuei52	kuei53	kuei53	kuei53	kuei53	kuei52	kuei53	
围	vei52	vei52	vei53	vei53	vei53	vei53	vei52	vei13	
堡	pʰu52	pʰu52	pʰu53	pʰuə53	pʰu53	pʰu53	pʰu52	pʰu53	
宝	pau52	pɔ52	pɔ53	pɔ53	pɔ53	pɔ53	pɔ52	pɔ53	
菢(～小鸡)	pau13	pɔ13	pɔ13	pɔ13	pɔ13	pɔ13	pɔ13	pɔ44	
皮	pʰi52	pʰi52	pʰi53	pʰi53	pʰi53	pʰi53	pʰi52	pʰi13	
被(～子)	pei13	pei13	pei13	pei13	pei13	pei13	pei13	pei44	
刺(名词)	tsʰɿ13	tsʰɿ13	tsʰɿ13	tsʰɿ13	tsʰɿ13	tsʰɿ13	tsʰɿ52	tsʰɿ44	
纸	tʂʅ52	tʂʅ52	tʂʅ53	tʂʅ53	tʂʅ53	tʂʅ53	tsɿ52	tsɿ53	
儿(～子)	ɑ52	ɑ52	a53	a53	a53	a53	ər13	ər13	
寄	tɕi13	tɕi13	tɕi13	tɕi13	tɕi13	tɕi13	tɕi13	tɕi44	
戏	ɕi13	ɕi13	ɕi13	ɕi13	ɕi13	ɕi13	ɕi44	ɕi44	
鼻	pi13	pi13	pi13	pi13	pi13	pi13	pi13	pi13	
眉	mi52	mi52	mi53	mi53	mi53	mi53	mi13	mi13	
地	ti13	ti13	ti13	ti13	ti13	ti13	ti13	ti44	
腻(油～)	ȵi13	ȵi13	ȵi13	ȵi13	ȵi13	i13	ȵi13	ȵi132	
梨	li52	li52	li53	li53	li53	li53	li13	li13	
资	tsɿ44	tsɿ44	tsɿ44	tsɿ44	tsɿ44	tsɿ44	tsɿ52	tsɿ132	
四	sɿ13	sɿ13	sɿ13	sɿ13	sɿ13	sɿ13	sɿ13	sɿ44	
迟	tʂʰʅ52	tʂʰʅ52	tʂʰʅ53	tʂʰʅ53	tʂʰʅ53	tʂʰʅ53	tsʰɿ13	tsʰɿ13	
师	ʂʅ44	ʂʅ44	ʂʅ44	ʂʅ44	ʂʅ44	ʂʅ44	sɿ44	sɿ132	
二(数词)	ɑ13	ɑ13	a13	a13	a13	a13	ər13	ər44	
你	ȵi52	ȵi52	ȵi53	ȵi53	ȵi53	ȵi53	ȵi52	ȵi53	
李	li52	li52	li53	li53	li53	li53	li52	li53	
字	tsɿ13	tsɿ13	tsɿ13	tsɿ13	tsɿ13	tsɿ13	tsɿ13	tsɿ44	
丝	sɿ44	sɿ44	sɿ44	sɿ44	sɿ44	sɿ44	sɿ52	sɿ132	
辞	tsʰɿ52	tsʰɿ52	tsʰɿ53	tsʰɿ53	tsʰɿ53	tsʰɿ53	tsʰɿ52	tsʰɿ13	
柿	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	sɿ44	sɿ44	
试	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	sɿ44	sɿ44	
杞	tɕi52	tɕi52	tɕi53	tɕi53	tɕi53	tɕi53	tɕi52	tɕi13	
棋	tɕʰi52	tɕʰi52	tɕʰi53	tɕʰi53	tɕʰi53	tɕʰi53	tɕʰi52	tɕʰi13	
梯	tʰi44	tʰi44	tʰi44	tʰi44	tʰi44	ti44	tʰi52	ti132	
弟	ti13	ti13	ti13	ti13	ti13	ti13	ti13	ti44	
泥(名词)	mi52	mi52	mi53	mi53	mi53	mi53	ȵi13	mi13	
齐	tɕʰi52	tɕʰi52	tɕʰi53	tɕʰi53	tɕʰi53	tɕʰi53	tɕʰi13	tɕʰi13	
剂	tɕi13	tɕi13	tɕi13	tɕi13	tɕi13	tɕi13	tɕi13	tɕi44	
西	ɕi44	ɕi44	ɕi44	ɕi44	ɕi44	ɕi44	ɕi52	ɕi132	
世	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ13	ʂʅ44	
鸡	tɕi44	tɕi44	tɕi44	tɕi44	tɕi44	tɕi44	tɕi52	tɕi132	
倪(姓～)	ȵi52	ȵi52	ȵi53	ȵi53	mi53	mi53	ȵi52	ȵi53	
杯	pei44	pei44	pei44	pei44	pei44	pei44	pʰei52	pei132	
赔	pʰei52	pʰei52	pʰei53	pʰei53	pʰei53	pʰei53	pʰei52	pʰei13	
倍	pei13	pei13	pei13	pei13	pei13	pei13	pei13	pei44	
妹	mei13	mei13	mei13	mei13	mei13	mei13	mei13	mi44	
对	tuei13	tuei13	tuei13	tuei13	tuei13	tuei13	tuei13	tuei44	
内	nuei13	nuei13	nuei13	nuei13	nuei13	nuei13	luei13	nuei44	
雷	luei52	luei52	luei53	luei53	luei53	luei53	luei13	luei13	
罪	tsuei13	tsuei13	tsuei13	tsuei13	tsuei13	tsuei13	tsuei13	tsuei44	
碎	suei13	suei13	suei13	suei13	suei13	suei13	suei13	suei44	
外(～边)	vai13	vɛ13	vai13	vɛ13	vei13	vɛ13	vei13	vᴇ44	
灰	xuei44	xuei44	xuei44	xuei44	xuei44	xuei44	xuei52	xuei132	
怪	kuai13	kuɛ13	kuai13	kuɛ13	kue13	kuɛ13	kuɛ13	kuᴇ44	
快	kʰuai13	kʰuɛ13	kʰuai13	kʰuɛ13	kʰue13	kʰuɛ13	kʰuɛ44	kʰuᴇ44	
岁	suei13	suei13	suei13	suei13	suei13	suei13	suei13	suei44	
桂	kuei13	kuei13	kuei13	kuei13	kuei13	kuei13	kuei13	kuei44	
臂	pi13	pi13	pi13	pi13	pi13	pi13	pi13	pei44	
披(～衣服)	pʰi44	pʰi44	pʰi44	pʰi44	pʰi44	pʰi44	pʰi52	pʰi132	
榆(～树)	y52	y52	y53	y53	y53	y53	y52	y53	
带(动词)	tai13	tɛ13	tai13	tɛ13	te13	tɛ13	tɛ13	tᴇ44	
袋	tai13	tɛ13	tai13	tɛ13	te13	tɛ13	tɛ13	tᴇ44	
菜	tsʰai13	tsʰɛ13	tsʰai13	tsʰɛ13	tsʰe13	tsʰɛ13	tsʰɛ13	tsʰᴇ44	
在	tsai13	tsɛ13	tsai13	tsɛ13	tse13	tsɛ13	tsɛ13	tsᴇ44	
该	kai44	kɛ44	kai44	kɛ44	ke44	kɛ44	kɛ52	kᴇ132	
盖(名词)	kai13	kɛ13	kai13	kɛ13	ke13	kɛ13	kɛ13	kᴇ44	
开	kʰai44	kʰɛ44	kʰai44	kʰɛ44	kʰe44	kʰɛ44	kʰɛ52	kʰᴇ132	
艾	ai13	ɛ13	ai13	ɛ13	e13	ɛ13	ɛ13	ᴇ132	
爱	ai13	ɛ13	ai13	ɛ13	e13	ɛ13	ɛ13	ᴇ132	
排(～队)	pʰai52	pʰɛ52	pʰai53	pʰɛ53	pʰe53	pʰɛ53	pʰɛ13	pʰᴇ13	
戒	kai13	kɛ13	kai13	kɛ13	tɕiə13	tɕiə13	kɛ13	tɕiə44	
派	pʰai13	pʰɛ13	pʰai13	pʰɛ13	pʰe13	pʰɛ13	pʰɛ13	pʰᴇ13	
稗(～草)	pai13	pɛ13	pai13	pɛ13	pe13	pɛ13	pɛ13	pᴇ132	
败	pai13	pɛ13	pai13	pɛ13	pe13	pɛ13	pɛ13	pᴇ44	
买	mai52	mɛ52	mai53	mɛ53	me53	mɛ53	mɛ52	mᴇ53	
卖	mai13	mɛ13	mai13	mɛ13	me13	mɛ13	mɛ52	mᴇ44	
柴	tʂʰai52	tʂʰɛ52	tʂʰai53	tʂʰɛ53	tʂʰe53	tʂʰɛ53	tsʰɛ13	tsʰᴇ13	
筛	ʂai44	ʂɛ44	ʂai44	ʂɛ44	ʂe44	ʂɛ44	sɛ52	ʂᴇ132	
街	kai44	kɛ44	kai44	kɛ44	ke44	kɛ44	kɛ52	kᴇ132	
解(～开)	kai52	kɛ52	ka53	kɛ53	ke53	kɛ53	kɛ52	kᴇ53	
崖	ai52	ɛ52	ai53	ɛ53	e53	ɛ53	ɛ52	ia53	
鞋	xai52	xɛ52	xai53	xɛ53	xe53	xɛ53	xɛ52	xᴇ53	
矮	ai52	ɛ52	ai53	ɛ53	e53	ɛ53	nɛ52	ᴇ53	
米	mi52	mi52	mi53	mi53	i53	mi53	mi52	mi53	
低(～头)	ti44	ti44	ti44	ti44	ti44	ti44	ti52	ti132	
古	ku52	ku52	ku53	ku53	ku53	ku53	ku52	ku53	
苦	kʰu52	kʰu52	kʰu53	kʰu53	kʰu53	kʰu53	kʰu52	kʰu53	
五(数词)	vu52	vu52	vu53	vu53	vu53	vu53	vu52	vu53	
虎	xu52	xu52	xu53	xu53	xu53	xu53	xu52	xu53	
户	xu13	xu13	xu13	xu13	xu13	xu13	xu13	xu44	
女	mi52	ny52	mi53	mi53	mi53	ny53	ny52	ny53	
驴	ly52	ly52	ly53	ly53	ly53	ly53	ly13	ly53	
吕	ly13	ly13	ly13	ly13	ly53	ly53	ly52	ly53	
猪	tʂu44	tʂu44	tʂu44	tʂu44	tʂɥ44	tʂu44	tʂu52	tʂu132	
