例字	沙坡头文昌	沙坡头宣和	沙坡头迎水桥	沙坡头永康	沙坡头香山	中宁舟塔	海原海城	海原李旺	
拍	pʰiɑ13	pʰia13	pʰia13	pʰia13	pʰia13	pʰia13	pʰei13	pʰei132	
白(黑～)	piɑ13	pia13	pia13	pia13	pia13	pia13	pei13	pei13	
陌	muə13	muə13	muə13	muə13	mə13	muə13	muə13	muə132	
姜	tɕiɑŋ44	tɕiaŋ44	tɕiaŋ44	tɕiaŋ44	tɕiaŋ44	tɕiaŋ44	tɕiaŋ52	tɕiaŋ132	
脚	tɕyə13	tɕiɔ13	tɕyə13	tɕyə13	tɕyə13	tɕyə13	tɕyə13	tɕyə132	
响	ɕiɑŋ52	ɕiaŋ53	ɕiaŋ53	ɕiaŋ53	ɕiaŋ53	ɕiaŋ53	ɕiaŋ52	ɕiaŋ53	
羊	iɑŋ52	iaŋ53	iaŋ53	iaŋ53	iaŋ53	iaŋ53	iaŋ13	iaŋ13	
痒	iɑŋ52	iaŋ53	iaŋ53	iaŋ53	iaŋ53	iaŋ53	ȵiɔ52	iaŋ13	
样	iɑŋ13	iaŋ13	iaŋ13	iaŋ13	iaŋ13	iaŋ13	iaŋ13	iaŋ44	
药	yə13	yə13	yə13	yə13	yə13	yə13	yə13	yə132	
跃	yə13	yə13	yə13	yə13	iɔ13	yə13	yə13	yə132	
光	kuɑŋ44	kuaŋ44	kuaŋ44	kuaŋ44	kuaŋ44	kuaŋ44	kuaŋ52	kuaŋ132	
郭(姓～)	kuə13	kuə13	kuə13	kuə13	kuə13	kuə13	kuə13	kuə132	
黄	xuɑŋ52	xuaŋ53	xuaŋ53	xuaŋ53	xuaŋ53	xuaŋ53	xuaŋ52	xuaŋ13	
放	fɑŋ13	faŋ13	faŋ13	faŋ13	faŋ13	faŋ13	faŋ13	faŋ44	
防	fɑŋ52	faŋ53	faŋ53	faŋ53	faŋ53	faŋ53	faŋ52	faŋ13	
王	vɑŋ52	vaŋ53	vaŋ53	vaŋ53	vaŋ53	vaŋ53	vaŋ13	vaŋ13	
剥	puə13	puə13	puə13	puə13	pə13	puə13	puə13	puə132	
棒	pɑŋ13	paŋ13	paŋ13	paŋ13	paŋ13	paŋ13	paŋ13	paŋ44	
撞	tʂʰuɑŋ13	tʂʰuaŋ13	tʂʰuaŋ13	tʂʰuaŋ13	tʂʰuaŋ13	tʂʰuaŋ13	tʂʰuaŋ13	tʂʰuaŋ44	
镯(手～)	tʂuə13	tʂuə13	tʂuə13	tʂuə13	tʂuə13	tʂuə13	tʂuə13	tʂuə132	
双(量词)	ʂuɑŋ44	ʂuaŋ44	ʂuaŋ44	ʂuaŋ44	ʂuaŋ44	ʂuaŋ44	ʂuaŋ52	ʂuaŋ132	
讲	tɕiɑŋ52	tɕiaŋ53	tɕiaŋ53	tɕiaŋ53	tɕiaŋ53	tɕiaŋ53	tɕiaŋ52	tɕiaŋ53	
虹	kɑŋ13	kaŋ13	kaŋ13	kaŋ13	kaŋ13	kaŋ13	tɕiaŋ52	kaŋ132	
角	kə13	kə13	kə13	kə13	kə13	kə13	kə13	tɕyə132	
腔(～子)	tɕʰiɑŋ44	tɕʰiaŋ44	tɕʰiaŋ44	tɕʰiaŋ44	tɕʰiaŋ44	tɕʰiaŋ44	tɕʰiaŋ52	tɕʰiaŋ132	
壳	kʰə13	kʰə13	kʰə13	kʰə13	kʰə53	kʰə13	kʰə13	kʰə132	
项(脖～)	xɑŋ13	xaŋ13	xaŋ13	xaŋ13	xaŋ13	xaŋ13	xaŋ13	xaŋ132	
学	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə13	
分	fei44	fəŋ44	fei44	fəŋ44	fəŋ44	fəŋ44	fəŋ52	fəŋ132	
问	vei13	vəŋ13	vei13	vəŋ13	vəŋ44	vəŋ13	vəŋ13	vəŋ44	
军	tɕyei44	tɕyn44	tɕyei44	tɕyŋ44	tɕyŋ44	tɕyŋ44	tɕyŋ52	tɕyŋ132	
云	yei52	yn53	yei53	yŋ53	yŋ53	yŋ53	yŋ13	yŋ13	
帮	pɑŋ44	paŋ44	paŋ44	paŋ44	paŋ44	paŋ44	paŋ52	paŋ132	
糖	tʰɑŋ52	tʰaŋ53	tʰaŋ53	tʰaŋ53	tʰaŋ53	tʰaŋ53	tʰaŋ52	tʰaŋ13	
烙	luə13	luə13	luə13	luə13	luə13	luə13	luə13	luə132	
藏	tsʰɑŋ52	tsʰaŋ53	tsʰaŋ53	tsʰaŋ53	tsʰaŋ53	tsʰaŋ53	tsʰaŋ52	tsʰaŋ53	
刚	tɕiɑŋ44	tɕiaŋ44	tɕiaŋ44	tɕiaŋ44	tɕiaŋ44	tɕiaŋ44	tɕiaŋ52	tɕiaŋ132	
搁	kə13	kə13	kə13	kə13	kə13	kə13	kə13	kə132	
糠	kʰɑŋ44	kʰaŋ44	kʰaŋ44	kʰaŋ44	kʰaŋ44	kʰaŋ44	kʰaŋ52	kʰaŋ132	
恶(形容词)	ə52	ə53	ə53	ə53	ə13	ə53	nuə13	nuə132	
两(～个)	liɑŋ52	liaŋ53	liaŋ53	liaŋ53	liaŋ53	liaŋ53	liaŋ52	liaŋ53	
浆(～水)	tɕiɑŋ44	tɕiaŋ44	tɕiaŋ44	tɕiaŋ44	tɕiaŋ44	tɕiaŋ44	tɕiaŋ52	tɕiaŋ132	
想	ɕiɑŋ52	ɕiaŋ53	ɕiaŋ53	ɕiaŋ53	ɕiaŋ53	ɕiaŋ53	ɕiaŋ52	ɕiaŋ53	
嚼	tɕyə52	tɕyə53	tɕyə53	tɕyə53	tɕyə53	tɕyə53	tɕyə52	tɕyə13	
详	tɕʰiɑŋ52	ɕiaŋ53	ɕiaŋ53	ɕiaŋ53	tɕʰiaŋ53	tɕiaŋ53	ɕiaŋ13	ɕiaŋ13	
削	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə13	ɕyə132	
张(量词)	tʂɑŋ44	tʂaŋ44	tʂaŋ44	tʂaŋ44	tʂaŋ44	tʂaŋ44	tʂaŋ52	tʂaŋ132	
长(形容词)	tʂʰɑŋ52	tʂʰaŋ53	tʂʰaŋ53	tʂʰaŋ53	tʂʰaŋ53	tʂʰaŋ53	tʂʰaŋ13	tʂʰaŋ13	
装	tʂuɑŋ44	tʂuaŋ44	tʂuaŋ44	tʂuaŋ44	tʂuaŋ44	tʂuaŋ44	tʂuaŋ52	tʂuaŋ132	
床	tʂʰuɑŋ52	tʂʰuaŋ53	tʂʰuaŋ53	tʂʰuaŋ53	tʂʰuaŋ53	tʂʰuaŋ53	tʂʰuaŋ13	tʂʰuaŋ13	
章	tʂɑŋ44	tʂaŋ44	tʂaŋ44	tʂaŋ44	tʂaŋ44	tʂaŋ44	tʂaŋ52	tʂaŋ132	
唱	tʂʰɑŋ13	tʂaŋ13	tʂʰaŋ13	tʂaŋ13	tʂaŋ13	tʂʰaŋ13	tʂʰaŋ13	tʂʰaŋ44	
偿	ʂɑŋ52	ʂaŋ53	ʂaŋ53	ʂaŋ53	ʂaŋ53	tʂʰaŋ53	ʂaŋ13	ʂaŋ53	
勺(马～子)	ʂuə13	ʂuə13	ʂuə13	ʂuə13	ʂuə13	ʂuə13	ʂuə13	ʂuə13	
秩(～序)	tʂʰʅ13	tʂʰʅ13	tʂʰʅ13	tʂʰʅ13	tʂʅ13	tsʰʅ13	tsʰʅ13	tsʰʅ132	
衬	tʂʰei13	tʂʰəŋ13	tʂʰei13	tʂʰəŋ13	tʂʰəŋ13	tʂʰəŋ13	tʂʰəŋ13	tsʰəŋ44	
身	ʂəŋ44	ʂəŋ44	ʂəŋ44	ʂəŋ44	ʂəŋ44	ʂəŋ44	ʂəŋ52	ʂəŋ132	
伸	ʂei44	ʂəŋ44	ʂei44	ʂəŋ44	ʂəŋ44	ʂəŋ44	ʂəŋ52	ʂəŋ132	
银	iei52	iŋ53	iei53	iŋ53	iŋ53	iŋ53	iŋ52	iŋ13	
一(数词)	i13	i13	i13	i13	i13	i13	i13	i132	
劲	tɕiei13	tɕiŋ13	tɕiei13	tɕiŋ13	tɕiŋ13	tɕiŋ13	tɕiŋ13	tɕiŋ44	
