汉字	音	注释
轉	təŋ55	轉
鎖	so55	鎖
雙	ɕʊŋ33	雙
雞	ki33	雞
鞭	pin35	鞭子
額	ŋä33	～頭[ŋä21tu21]
騎	kəʊ21	騎
橱	tu35	櫃
繫	ki33	繫（鞋带），動詞
羹	käŋ33	勺子/匙子
邊	pin33	邊
癢	ʑu33	癢
辮	pin33	辮子
辮	pin55	辮子
饑	kəʊ33	餓
屬	tɕo33	肖（虎）
蠟	ɣä33	蠟
襪	meɪ33	襪子
鐮	läŋ21	鐮刀
聽	tʰi55	聽
變	pi33	變
蠶	tsäŋ35	蠶
鹽	ɕäŋ33	鹽
鑿	tsv̩33	鑿子
□	meɪ21	～□ni33：蔡家人自稱
□	ni33	□meɪ21～：蔡家人自稱
□	xo55	路
彘	li21	豬
□	ʑi21	鞋
痛	sʊŋ22	病
□	pjä55	問
□	kʰəʊ55	街
□	tsʰä33	糠
□	pä33	左
□	tɕɿ22	右
生	xä33	生，熟的反義
多	ti33	多
□	ɕäŋ55	菇菌
□	tsʰu33	短
粗	mo33	粗，細的反義
□	je33	他
□	tɕʰin55	啃，及物
□	tɕʰin33	啃，咬，不及物
殼	kʰo55	白pjä33～：蛋
□	pəʊ55	量詞，隻，用於形容蛋
要	ȵo33	要，及物
要	ȵo21	要，不及物
顏	jen21	～色，借詞
色	se21	顏～，借詞
肥	feɪ21	～料，借詞
料	ljäʊ35	肥～，借詞
皂	tsäʊ35	肥～，借詞
倉	tsʰän33	借詞
國	kwe21	借詞
板	pän33	借詞
地	ti35	借詞
□	lʊŋ33	城/城市
□	wu22	～□tsʰu22：人
□	tsʰu22	□wu22～：人
□	vu22	瘋
□	vu21	腸子
髀	pje33	
乃	nəʊ33	你
竹	tɕo55	竹
□	mäŋ33	尾
知	tju33	知道，懂得
是	ɕɿ33	是
□	ʑu21	吃
站	täŋ33	站立
□	xəʊ33	梨
□	ɕeɪ55	葉子
□	xu55	（縫衣用的）線
顛	tin33	雲
我	ŋu35	我們
□	wo35	這
□	mäʊ22	那
□	läʊ35	～□ni33：誰
□	ni33	□läʊ35～：誰
□	kv̩33	～□jä33：女人
□	jä33	□kv̩33～：女人
□	tsɿ33	～□tsɿ35：鳥
□	tsɿ35	□tsɿ33～：鳥
□	meɪ21	～樹tɕu22：樹
□	ti55	□ɕeɪ55～：葉子
□	tɕv̩22	根
樹	ɕo55	～皮pəu21
□	tsä21	肉
□	tsʰɿ55	～～：血
□	pi21	～□pəʊ55：嘴
□	pəʊ55	□pi21～：嘴
□	tä21	～□ni33□kʰo55：膝蓋
□	ni33	□tä21～□kʰo55：膝蓋
□	kʰo55	□tä21□ni33～：膝蓋
□	mu21	～□lu21：肚子
□	lu21	□mu21～：肚子
□	mi55	乳房
□	ä33	給
□	xä33	說
□	əŋ33	～□sʊŋ22：太陽
□	sʊŋ22	□əŋ33～：太陽
□	ko55	～□pjä55□jä22：月亮
□	pjä55	□ko55～□jä22：月亮
□	jä22	□ko55□pjä55～：月亮
□	ɕje33	～□tsʰu22：星星
□	tsʰu22	□ɕje33～：星星
□	zɿ33	雨
□	sɿ33	～□kʰä33：灰
□	kʰä33	□sɿ33～：灰
□	sä33	夜
□	kʰwä22	好
□	təŋ21	圓
