#a
p[1]巴疤[3]八拨把{一～刀}[5]把{刀～}坝爸拔雹
s[1]苏[3]速[5]素塑肃俗
tʂ[3]竹烛嘱触{白读}[5]助筑祝逐
tʂʰ[1]初[3]楚触[5]锄畜
ʂ[1]梳蔬[3]数{动词}叔淑[5]数{分～}漱束熟
tʃ[1]猪蛛朱珠[3]煮主帚{扫～}[5]拄柱住
tʃʰ[5]除厨橱殊{特～}
ʃ[1]书输[3]鼠暑薯[5]竖树
k[1]姑孤[3]古股鼓骨谷[5]故固雇顾核{杏～}
kʰ[3]苦窟哭[5]库裤酷
x[1]互呼[3]虎忽□{靠近}[5]胡湖壶葫胡户护
Ø[1]梧巫诬屋[3]五午武舞[5]务雾吴蜈无物
#y
l[1]驴[3]屡捋吕[5]律率绿
ts[5]聚
tsʰ[3]取娶黢[5]趣
s[1]需[3]宿{住一～}[5]徐序续婿术述赎续
tʂʰ[3]出
ʂ[3]属
ȵ[3]女
c[1]居車{象棋术语}[3]举鞠锔菊[5]据锯拘句橘剧局
cʰ[1]区[3]屈曲[5]去渠
ç[1]虚[3]许[5]蓄{～水池}
Ø[1]如鱼渔于榆[3]语雨俞育羽[5]誉预遇芋喻裕余儒愚虞娱盂逾郁入域褥玉狱欲浴
#ə
p[1]波菠玻[3]剥北掰伯百柏[5]簸薄{厚～}博驳饽薄白
pʰ[1]坡[3]泼拍迫[5]破婆魄
m[1]摸磨{～刀}[3]抹{～墙}[5]磨{石～}魔摩馍模{～仿}末沫没摸膜寞墨默陌麦脉
f[5]佛{~教}
t[3]得德
tʰ[5]特
l[5]肋勒
ts[3]测责[5]贼泽
tsʰ[3]则侧策[5]厕
s[3]涩塞{窟窿～住}
tʂ[3]摘窄[5]择宅
tʂʰ[3]拆册
ʂ[3]色
tʃ[3]褶蜇[5]哲折浙蜇辙折
tʃʰ[1]车{火～}[3]扯[5]彻撤
ʃ[1]赊[3]舍{～不得}设[5]舍{宿～}社涉舍射
k[1]鸽歌{文读}哥{文读} [3]割胳阁格革隔
kʰ[3]刻用{刀～}克客[5]刻{时～}
x[1]喝{文读}[3]黑[5]河{文读}鹤核{审～}
Ø[5]额
#iə
p[3]鳖憋[5]别
pʰ[3]撇
m[5]灭
t[1]爹[3]跌[5]叠碟蝶谍
tʰ[3]贴帖铁
l[3]咧[5]猎列烈裂劣
ts[3]姐接节[5]借褯洁
tsʰ[1]妾[3]切且
s[1]些[3]写[5]卸斜谢泄屑
ȵ[5]摄聂镊捏孽
c[3]揭结[5]劫杰截
cʰ[5]茄
ç[3]歇蝎血[5]胁协
Ø[1]爷耶[3]惹也噎[5]夜业叶页业热液腋
uə
t[1]多[3]躲[5]剁夺
tʰ[1]拖[3]脱托[5]驼唾驮
n[1]挪[5]糯诺
l[1]锣箩啰[3]摞[5]罗骡螺落烙骆洛络乐
ts[3]撮[5]左坐座作琢昨凿做{文读}
tsʰ[1]搓[5]错{过～}措
s[3]锁索[5]缩
tʂ[3]桌捉啄卓[5]浊镯
tʂʰ[3]戳
ʂ[3]所说
tʃ[3]酌[5]着{～手}着{睡～}
tʃʰ[5]绰
ʃ[5]勺
k[1]歌{白读}哥{白读}锅[3]果葛括搁郭各国[5]个过
kʰ[1]科棵□{剖开}[3]颗[5]可课阔廓扩
x[1]豁喝[3]火[5]荷河{白读}货荷和{～平}祸劐合盒活或获
Ø[1]蛾鹅窝[3]我恶{～心}[5]饿握
#yə
l[3]掠[5]略
ts[5]绝嚼
s[3]薛雪削{～皮}
ȵ[5]虐
c[3]脚角[5]决诀倔觉{知～}掘崛倔{～强}
cʰ[3]缺却雀鹊确[5]瘸
ç[1]靴[5]穴学
Ø[3]约[5]悦阅月越若弱虐药钥跃岳乐{音～}
#ʅ
tʂ[1]枝淄芝[3]纸只{～有}指止址[5]趾志痣
tʂʰ[5]翅匙
ʂ[1]师狮尸诗[3]屎史使虱[5]是视士柿事始试时市
#ɿ
ts[1]滋[3]紫姊子[5]自字
tsʰ[5]刺赐次瓷慈辞祠词寺雌
s[1]撕私思丝司思饲[3]死[5]四
tʃ[1]知只{两～手}职[3]汁执质织秩值殖植[5]置痔治侄直
tʃʰ[1]痴[3]尺[5]池持赤斥
ʃ[3]湿失识蚀[5]制{～度}世势誓逝室式饰适释十拾实食石
#ɔ
p[1]包[3]保宝堡{碉～}饱[5]报菢豹爆鲍抱
pʰ[1]抛[3]跑[5]泡炮袍
m[1]猫毛茅[5]冒帽矛茂
t[1]刀[3]倒{~过来}岛捣蹈[5]倒{~了}到稻道导
tʰ[1]掏涛[3]讨[5]套桃逃淘陶萄
n[1]孬[3]恼脑[5]闹
l[1]唠捞[3]姥老[5]劳牢
ts[3]早枣澡[5]造皂燥
tsʰ[1]操[3]草[5]曹糙
s[1]骚[3]嫂扫[5]臊
tʂ[3]找[5]笊
tʂʰ[1]抄[3]炒吵焯[5]巢
ʂ[1]梢捎[5]哨潲
tʃ[1]招[3]兆沼召{号～}[5]赵照
tʃʰ[1]超[5]朝{明～}潮
ʃ[1]烧[3]少{多～}[5]少{～年}绍
k[1]膏高糕羔[3]稿搞[5]告
kʰ[3]考拷[5]靠铐
x[1]薅[3]好[5]耗号
Ø[1]熬[3]袄[5]傲澳
#iɔ
p[1]标彪[3]表
pʰ[1]飘[5]票漂瓢
m[1]苗描[3]秒[5]庙
t[1]刁雕[5]吊钓调{～动}掉调
tʰ[1]挑[5]跳条调{～整}
l[3]了{～解}[5]疗辽聊料
ts[1]蕉椒[3]剿
tsʰ[1]锹[5]瞧
s[1]消宵销萧箫[3]小[5]笑肖
ȵ[3]鸟[5]尿
c[1]交胶郊教教浇[5]觉窖轿叫
cʰ[1]敲撬[3]巧[5]桥
ç[3]晓[5]孝校效
Ø[1]妖腰吆{～喝}饶摇[3]咬舀扰[5]要耀谣窑姚尧
#ɛ
p[3]摆[5]拜败
pʰ[5]排派牌
m[1]埋[3]买[5]卖
t[1]呆[3]逮歹[5]戴贷代袋带大{~夫}
tʰ[1]胎台{～州}[3]态[5]臺抬太泰苔
n[3]奶[5]耐
l[1]来[5]赖
ts[1]灾栽[3]宰[5]再在
tsʰ[1]猜[3]彩采[5]菜才材财裁蔡
s[1]腮鰓[5]赛
tʂ[1]斋[5]债寨
tʂʰ[1]钗[3]踩[5]柴
ʂ[1]筛[5]晒
k[1]该[3]改[5]盖概
kʰ[1]开[3]凯[5]咳
x[3]海[5]孩害
Ø[1]唉[5]碍爱艾
#iɛ
c[1]阶街[3]解[5]界芥戒
ç[5]鞋蟹械
Ø[1]挨[3]矮[5]捱
#uɛ
tʂ[5]拽
tʂʰ[3]揣[5]踹
ʂ[1]摔[3]甩[5]帅率
k[1]乖[3]柺拐[5]怪
kʰ[3]㧟{挠：~痒痒}[5]筷块会{～计}快
x[5]怀槐坏
Ø[1]歪[3]崴[5]外
#ə̃
p[1]奔[3]本[5]笨
pʰ[1]喷[5]盆
m[1]眉门[3]莓美[5]每妹霉闷梅媒煤
f[1]分{区～}[3]粉[5]粪坟份奋愤
t[1]墩吨[3]盹[5]顿饨钝
tʰ[1]吞[5]臀
n[5]内
l[5]论伦沦轮
ts[1]尊遵[3]怎
tsʰ[1]村[5]寸存
s[1]孙
tʂʰ[5]衬
ʂ[1]森
tʃ[1]针真[3]枕{～头}诊[5]枕{动词}镇阵震
tʃʰ[5]沉晨趁
ʃ[1]深身伸[3]沈婶审[5]神
k[1]跟根
kʰ[3]啃
x[3]很[5]痕恨
Ø[1]恩
#iə̃
p[1]滨[5]殡
pʰ[1]拼[3]品[5]聘贫
m[3]敏闽民
l[1]淋鳞[3]檩[5]林临邻
ts[5]进
tsʰ[1]侵亲{父～}[3]寝[5]亲{～家}秦
s[1]心芯新[5]信
c[1]今金禁巾斤筋[3]紧仅[5]劲近禁
cʰ[5]琴勤芹
ç[1]欣[5]衅
Ø[1]音阴姻任人[3]忍引隐瘾吟饮[5]纴认银印仁
#uə̃
tʂ[3]准
tʂʰ[1]春[3]蠢[5]唇纯
ʂ[5]順
k[3]滚[5]棍
kʰ[1]昆[3]捆[5]睏困
x[1]昏婚[5]魂馄浑荤
Ø[1]温瘟纹蚊闻[3]稳[5]问文
#yə̃
ts[1]津[5]俊
s[3]损[5]寻旬
c[1]均军[5]菌
cʰ[5]群裙
ç[1]熏[5]训
Ø[1]匀云晕[3]允[5]运孕
#ã
p[1]班斑搬[3]板版[5]扮办瓣半绊伴拌
pʰ[1]潘[5]判盘叛盼
m[3]满馒[5]慢蛮瞒漫
f[1]帆翻[3]反[5]范犯贩烦饭
t[1]耽担单{～独}[3]胆短[5]担淡但弹{子～}蛋断段
tʰ[1]贪滩摊瘫[3]毯疃[5]坛谈痰坦叹炭弹{～琴}团
n[1]南[3]暖[5]男难
l[1]蓝[3]懒[5]篮拦栏烂乱鸾
ts[1]簪钻{～洞}[3]攒{～钱}[5]钻{～子}
tsʰ[1]参餐[3]惨[5]蚕残
s[1]三酸[3]伞[5]散算蒜
tʂ[5]站蘸
tʂʰ[1]搀[5]馋
ʂ[1]衫山删[3]产{生～}
tʃ[1]粘[3]展[5]占战
tʃʰ[5]缠
ʃ[1]搧[3]陕闪[5]扇善膳单{姓}
k[1]泔干肝竿[3]感敢赶[5]干
kʰ[1]看{～守}刊[3]砍[5]看{～见}
x[1]鼾[3]喊[5]含汉寒韩旱汗焊还{～有}
Ø[1]安[3]按[5]暗案
#iã
p[1]鞭边[3]扁匾[5]变便遍辫辩
pʰ[1]篇偏[5]骗便{～宜}片
m[1]棉绵眠[3]免[5]面
t[1]掂[3]点典[5]店电垫
tʰ[1]添天[3]舔[5]甜填田
l[1]镰[3]脸[5]帘练链炼廉连联怜莲恋
ts[1]尖煎[3]剪[5]箭
tsʰ[1]千[3]浅[5]钱前
s[1]先[5]纤线
ȵ[1]鲇黏年[5]念
c[1]监兼间奸肩[3]减碱检剑简[5]柬件建毽健见
cʰ[1]签铅[5]钳欠歉
ç[1]锨掀[3]险[5]咸陷馅闲现县
Ø[1]验淹檐腌烟炎盐延筵[3]眼演掩染[5]厌艳雁研砚燕咽严阎颜然燃言沿腌
#uã
tʂ[1]砖[3]转{～学}[5]传{~记}赚转{～圈}
tʂʰ[1]川穿[3]喘[5]传{～达}船串
ʂ[1]闩拴[5]涮
k[1]官棺冠关[3]管馆[5]罐惯
kʰ[1]宽[3]款
x[1]欢[3]缓[5]换还{～钱}环患
Ø[1]弯剜[3]碗晚挽[5]玩完丸腕万
#yã
tsʰ[5]全泉
s[1]仙鲜[3]癣选
c[1]捐娟[3]卷{动词}[5]卷{考～}
cʰ[1]圈{圆～}[3]权犬[5]拳劝
ç[5]悬
Ø[1]冤[3]软远[5]院愿圆员缘元原源袁园援媛
#ei
p[1]杯碑[5]贝辈背倍被备
pʰ[1]披[5]配培陪赔佩
f[1]飞非[3]匪痱[5]废肺费肥
t[1]堆[3]得{~劲}[5]对队兑
tʰ[1]推[3]腿[5]退褪颓
n[3]馁
l[1]雷[3]累{积～}[5]累{劳～}类泪
ts[3]嘴[5]罪最醉
tsʰ[1]催崔[5]脆
s[1]虽[3]髓[5]碎岁随穗
k[3]给
#uei
tʂ[1]追锥[5]坠缀
tʂʰ[1]吹[5]锤捶
ʂ[3]水[5]税睡谁
k[1]闺规龟[3]轨鬼[5]桂跪柜贵
kʰ[1]盔亏[5]葵奎愧
x[1]灰挥辉[3]毁悔[5]回茴会{开～}汇
Ø[1]卫危[3]尾魏慰违伟[5]喂为位味胃猬桅维惟违围
#ɚ
Ø[1]儿[3]耳饵[5]二而
#əu
m[5]谋
t[1]兜都{～是}[3]陡[5]斗抖豆痘逗
tʰ[1]偷[5]透头投
l[1]耧[3]篓搂[5]漏陋楼
ts[3]走[5]做奏
tsʰ[5]凑
s[5]嗽
tʂ[1]粥[5]骤
tʂʰ[5]愁
ʂ[1]搜飕[5]瘦
tʃ[1]周舟州洲周[3]肘[5]轴
tʃʰ[1]抽[3]丑[5]绸臭仇售
ʃ[1]收[3]手首守[5]受寿授
k[1]钩沟[3]狗[5]够彀构购
kʰ[1]抠[3]口[5]扣
x[3]吼[5]喉猴厚后
Ø[1]欧[3]藕呕{~吐}[5]沤
#iəu
t[1]丢
l[1]留榴[3]柳[5]流刘硫六
ts[1]揪[3]酒[5]就
tsʰ[1]秋[5]囚
s[1]修羞[5]绣锈袖
ȵ[1]牛[3]扭纽
c[1]纠{~正}[3]九久韭灸[5]救舅旧
cʰ[1]阄丘[5]求球
ç[1]休[3]朽[5]嗅
Ø[1]优柔邮油[3]有友[5]又右由幼揉柚尤游犹肉
#ɑŋ
p[1]帮[3]绑榜[5]棒磅傍
pʰ[5]旁螃胖庞
m[1]忙[3]盲[5]氓{流～}茫
f[1]芳方[3]访纺[5]放房妨
t[1]裆档[3]党挡[5]荡当{～铺}
tʰ[1]汤[3]躺[5]烫趟堂唐糖塘
n[3]囊
l[1]狼[5]浪郎廊
ts[1]脏{~东西}[5]葬脏{心~}藏{～族}
tsʰ[1]仓苍[5]藏{隐～}
s[1]桑丧{奔~}[3]嗓[5]丧{~失}
tʂ[3]牚
tʂʰ[1]疮
tʃ[1]张章[3]长{省～}掌涨[5]涨帐胀账丈仗杖
tʃʰ[1]昌[3]场厂[5]长{～短}肠唱常尝
ʃ[1]商伤裳[3]晌偿尚[5]上{~去}
k[1]刚钢缸[3]港[5]杠
kʰ[1]糠康[5]炕扛抗
x[5]行{银～}杭
Ø[5]昂
#iɑŋ
l[1]辆凉[3]两[5]亮量良粮
ts[3]蒋奖[5]酱匠
tsʰ[1]枪[3]抢[5]呛墙
s[1]箱镶[3]想像[5]相象
ȵ[5]娘酿
c[1]疆姜江[3]讲耩{~地}[5]降{下~}
cʰ[1]腔[5]强
ç[1]香乡[3]响享[5]向降巷
Ø[1]秧瓤阳[3]仰养痒疡[5]让样洋杨
uɑŋ
tʂ[1]庄装妆[5]状壮
tʂʰ[1]创窗[3]闯[5]床撞创{~作}
ʂ[1]霜双[3]爽
k[1]光[3]广[5]逛
kʰ[1]筐框夼{大~}[5]旷况
x[1]荒[3]谎晃[5]黄簧皇磺
Ø[1]汪[3]网望往[5]忘枉王亡旺
iŋ
p[1]兵冰[3]丙饼柄[5]病并{~在一起}
pʰ[1]乒[5]苹平瓶凭
m[1]明名[5]命鸣铭
t[1]丁钉{～子}[3]顶[5]钉{～钉子}订定
tʰ[1]听厅[3]挺[5]亭停庭廷
l[1]零铃拎[3]领陵[5]令龄另灵
ts[1]睛[3]井[5]静净
tsʰ[1]清青[3]请[5]情
s[1]星腥猩[3]省{反～}醒[5]性姓
c[1]京经[3]景警[5]镜
cʰ[1]轻[5]庆
ç[5]行{～为}杏幸形型
Ø[1]鹰樱鹦英蝇迎贏[3]影仍[5]硬盈营
uŋ
t[1]东冬[3]懂董[5]动洞冻
tʰ[1]通[3]桶筒統[5]同铜桐童痛
n[1]奴脓[5]努农浓
l[1]窿笼聋[3]咙垅[5]隆龙弄
ts[1]粽宗纵踪[3]总[5]纵
tsʰ[1]葱聪匆囱[5]从
s[1]松[3]怂耸[5]送宋
tʂ[1]中{～间}忠钟[3]种{～类}肿[5]中{射～}重{～量}盅种{～地}
tʂʰ[1]充[3]宠[5]虫重{～复}
k[1]公工功攻弓躬供{～应}[3]拱[5]贡供{上～}共
kʰ[1]空{~气}[3]孔[5]空{~闲}
x[1]烘[3]哄{～骗}[5]红洪
Ø[1]翁[5]瓮
#yŋ
s[1]松
cʰ[5]穷
ç[1]兄胸[5]熊雄
Ø[1]熔荣庸[3]泳拥溶勇[5]用绒融容蓉
#əŋ
p[1]崩[3]绷[5]蹦甭泵
pʰ[1]烹[3]捧[5]朋碰棚篷
m[1]蒙[3]猛[5]梦孟萌盟
f[1]风疯丰蜂锋封[3]讽[5]缝奉缝俸
t[1]灯登{~山}[3]等[5]凳邓澄{~清}瞪{~眼}
tʰ[5]疼藤
n[5]能
l[1]菱扔[3]冷[5]楞愣
ts[1]增[5]赠
tsʰ[5]蹭层
tʂ[1]争筝睁
tʂʰ[1]撑
ʂ[1]生牲甥[3]省{节～}
tʃ[1]蒸正[3]整拯[5]症郑正
tʃʰ[1]称[3]逞[5]橙秤逞程成城诚盛{～饭}
ʃ[1]声升[5]绳剩盛{兴～}
k[1]更{三～}[3]耿梗[5]更{～加}
kʰ[1]坑
x[1]哼[5]横
