注：《通州鄉音字匯》由孫錦標作於1905年，相關資料不多，近年才從孫錦標後人處尋得。由《自怡軒自序》可知，孫錦標69歲時（1924年）開始修訂19年前所著的《通州鄉音字匯》，計劃補入《說文》小篆，標記羅馬音，約計十六冊，但未能全部完成就已離世，未完成的修訂手稿也散佚不存。現存稿本沒有標註聲母，每個同音字為一組，只能歸納出聲母、韻母和聲調的情況。全書分為上中下三冊，對應平上去三聲，沒有列入入聲，依平水韻，沿用傳統韻書編排方式將同音字聚類排列。其中上冊（平聲卷）儘十五韻，所缺甚多。今參照論文擬音，結合如今南通方言予以修改，書中所缺而今南通方言存在的音節以□代替，整理為本同音字表。\n本表應當反映的是19世紀末南通城内方言的文讀音/讀書音，摻雜了零星白讀音。舒聲共有5個聲調，參考今南通/金沙各地方言調值及南通話中陰平殘留升調的情況，分別擬為陰平23、陽平14、上聲44、陰去53、陽去31，音係與今南通話大抵相同，不同在於見二絕大多數讀細、部分韻攝影疑對立、入虞極少等。					
	[1]阴平	[2]阳平	[3]上	[5]阴去	[6]阳去
ue	威崴嵬巍隈煨萎痿逶委(～蛇)	爲(治也)為(同爲)惟唯帷維濰韋圍闈幃違微薇危	尾委(~任)諉洧鮪煒瑋葦偉韙僞亹唯(應辭也)猥	畏喂尉慰蔚(薈~)緯胃	未味渭謂喟蝟遺   (贈送)壝爲(助也)為(同爲)位衛魏
#ɚ					
ɚ		兒而	耳洱珥刵餌爾邇而(汝也)		二弍貳樲
#u					
tsu	諸豬瀦朱邾洙珠銖株茱蛛誅租		主麈俎祖 組阻沮(止也)詛齟咀煮足(成也)	注註駐炷蛀宁貯伫㝉贮著(~明)鑄	
tsʰu	初粗麤	除滁廚厨橱蹰躇儲芻雛鉏鋤	暑楮褚渚翥楚礎杼杵(砧~)處鼠	措錯(舉直~諸枉)厝醋	柱住助筯祚阼胙箸
su	書疎疏(親~)梳蔬舒紓殊姝酥蘇樞殳輸		署曙藷戍數(~錢)黍墅	素(常也)溯塑愬泝訴恕庶數(~目)疏(奏~)	樹澍竖豎
tu	都		肚賭	覩睹堵妒妬斁(敗也)射(厭也)蠹	
tʰu		途塗涂荼徒圖屠菟	土吐	兔	度(法~)  渡鍍土(桑～)杜
ku	姑沽酤辜菇 鴣蛄孤菰觚呱箍		古嘏(福也)估罟盬蠱鼓鼓瞽股羖賈(商~)	故固錮痼雇(賃也)僱顧	
kʰu	枯刳		苦	庫褲袴胯	
xu	乎呼戲(於~)	胡湖衚瑚葫糊餬蝴弧狐梧壺	虎琥滸	呼(號~)嘑謼	戶滬扈鳸雇(桑~) 護濩祜怙詁互冱瓠
lu		如盧艫爐鑪纑蘆臚顱鷛鱸濡儒蠕	汝女(同汝)魯橹鹵滷杵(同橹) 乳茹(食也)		露潞路鷺輅賂茹(茅根相牽引) 孺
pu			補	布怖	
pʰu	鋪(~陳)	蒲葡匍餔酺逋	普譜圃浦哺脯捕溥	鋪(店~)舖	部簿步埠
fu	夫(~婦)麩敷膚	扶夫(語助詞)鈇芙趺孚郛桴(筏也)莩(葭~)孵俘符苻巫誣鳧鳬	府俯腐腑拊甫輔簠黼撫廡父(同甫)斧釜俛(同俯)頫(同俯)	付附駙鮒訃赴仆傅賻賦富負副	父婦
u	烏嗚汚杇污圬洿汗(同污)於(~戲) 惡(~乎)	無蕪吳蜈吾毋无亡(同無)	五伍舞儛憮午忤武鵡侮	塢隝霧鶩(水鳥)惡(好之反也)	悟晤寤誤悞務騖戊禺
#y					
tɕy	居(~住)椐裾琚据沮(水名) 菹苴疽徂雎拘駒俱車		矩榘莒(國名) 筥舉窶屨柜踽	據遽倨踞鋸句(章~)瞿(~然)	
tɕʰy	區嶇軀驅敺祛祛趨蛆	徐渠蕖劬鴝瞿衢蘧	取娶距拒詎	去	巨鉅炬秬苣遂燧隧襚嶼鱮趣(旨~)聚具颶序敘緒虡穗
ɕy	虚墟嘘須鬚吁需胥		許煦喣詡	絮壻婿狙	
ny		□	女(男~)鈕紐狃		謬繆(同謬)糅揉女(動詞)
ly		驢廬閭櫚流旒琉硫畱留榴劉	呂侶旅膂柳		慮濾鑢
y	輿與(疑辭)歟旟竽紆迂淤	魚漁于盂訏雩余畬餘臾腴諛萸舁譽(贊~)俞兪楡瑜窬覦渝愉踰逾嵎隅愚虞娛於予  (我也)	雨(風~)語(言~)圄齬禹宇予(賜~)庾窳與(畀也)圉羽		御(~車)禦遇寓預豫與  (同預)譽(名~)諭喻淤(~塞)芋雨(落也)愈籲嫗飫語(告也)馭裕
#o					
tso	□		者赭	詐炸榨柘蔗	
tsʰo	□	□	□	詫汊	
so	□	□	舍(~棄)捨厦(~門)	舍(屋~)赦	社射(六藝)
zo			惹		
ko	□		□	□	
kʰo	□	□	卡	□	
xo	□		□		□
to			打	□	
tʰo	□				
no		□			
lo	□	□	□	□	
po	□		把	霸灞壩垻耙叭	
pʰo	□	□		怕	罷
mo	□	□	馬瑪		罵駡禡
ŋo	□	□	雅	□	
o	□		啞痙		
#iɒ					
tɕiɒ	加笳咖痂嘉佳家葭		賈(姓)檟假嘏(福也)斚	嫁稼賈(同價)價架駕	
tɕʰiɒ			且		謝榭藉(借也)
ɕiɒ		□	寫	瀉卸下(自上而~)	夏廈厦(同廈)下(上~)暇罅
iɒ		□	也冶野	□	夜亞婭訝迓御(治也)射(僕~)
#uo					
kuo	□		寡	卦掛褂罫挂罣	
kʰuo	□	□	□	踝跨	
xuo	□	□	□	化	畫(圖~)華(~山)樺話擭
uo	蛙鼃窪哇媧騧蝸汙(~下)窊	□	瓦		
#æ					
tsæ	哉栽栽灾災菑(同災)葘(同灾)齊(同齋)齋		宰載(年也)豸(獬~)廌	再債責(同債)載(車~)	
tsʰæ	釵猜儕差(夫~)	才材財豺裁纔柴	采(五~,又同採)彩採揣  嘬	蔡祭(姓)菜采(~邑)螫	在載(~重)儎
sæ	衰(盛～)顋腮鳃篩		灑洒(同灑)	塞(邊~)賽寨曬晒帥(元~)殺	射(光~)麝
tæ	□		□	带戴	
tʰæ	苔胎	臺檯擡台炱駘鮐	大(~小)	太汰大(同太)泰	代岱袋玳黛貸怠紿殆迨逮埭瑇待態
næ			乃迺		奈柰鼐耐
læ		來萊			賴瀨癩賚來(勞之~之)耒
kæ	皆階喈垓陔荄該賅街		改解(判也)	介界芥玠疥漑槪槩屆届戒誡蓋葢丐匄瀣恝(無愁貌)解(~元)劾	
kʰæ	開揩	□	凱愷豈(同愷)塏鎧慨嘅欬咳愾楷	□	
xæ		偕諧鞋鞵孩骸	海蟹醢		亥駭解(同懈)懈邂獬害(利之反)械薤
pæ			擺	拜	
pʰæ		排徘牌		派	敗稗粺憊
mæ		埋霾	買		賣邁
ŋæ	哀	涯(水際)崖厓埃	靄藹餲矮隘	爱	艾(少~)礙
#uæ					
kuæ	乖		□	怪夬	
kʰuæ	□		□	蒯噲	
xuæ		懷淮槐徊肧	□		壞
uæ	□	□	□		外
#ʊ					
tsʊ			左佐	做作	
tsʰʊ	□	□		挫脞莝	坐座
sʊ	□		所瑣鎖嗩		
kʊ	□		果菓裹顆婐蜾	箇個个過(~失)	
kʰʊ	□		可哿	課	
xʊ	□	□	火伙夥	貨	荷(負~)何(通荷)賀和(唱~)禍
ŋʊ		□	我	臥卧	餓
tʊ	□		朶朵垜		
tʰʊ	□	□	柁舵橢妥	惰墮唾	
pʊ	□		播簸		
pʰʊ	□	□	頗跛	破	
mʊ		模糢謨嫫	母姆拇		暮莫(同暮)墓募慕磨(石~)
nʊ		奴孥帑(同孥)駑儺挪	努弩懦		怒
lʊ		□	虜擄裸卵		
#iʊ					
tɕiʊ	□		九久玖酒韭	救捄糾赳灸疚柩究咎廄	
tɕʰiʊ	□	□			就岫柚袖臼舅舊
ɕiʊ	□		朽	秀綉繡臭嗅糗宿(星~)	
iʊ	□	□	有(~無)友酉卣莠		右佑祐幼黝有(又)囿宥侑誘又釉
#ʌ					
tsʌ	□		早澡藻爪蚤棗	照沼詔燥躁罩竃	
tsʰʌ	□	□	草	噪譟操(節~)糙漕(~運)鈔	造慥皁皂趙
sʌ	□	□	少 ( 多 ~ )嫂嫪掃埽	少(老~)稍哨燒(野火也)	召邵卲劭紹兆旐肇
pʌ	□		保褓堡飽寶鴇	報暴(風~)豹	
pʰʌ	□	□		砲炮礮	抱鮑暴(~虐)
ŋʌ		□	咬齩噹媼襖	傲敖(同傲)澆(同奡)奥澳(~門)懊奡拗	
mʌ		□	卯昴		冒媢帽耄旄(同耄)眊貌
nʌ		□	腦惱		閙撓(屈也)
lʌ		□	老潦(水~)		
kʌ	□		槁稿鎬皜縞稟藁杲	告誥酵膏(潤也)	
kʰʌ	□		考攷	靠犒	
xʌ	□	□	好(美也 )	好(恶之對也)	皓浩皞昊顥號  (名~)耗
tʌ	□		島島搗擣禱倒(傾~)	到倒(顛～)	
tʰʌ	□	□	討		道導蹈稻幬悼盗盗
#iʌ					
tɕiʌ	□		皎餃絞姣狡皦繳(還也)僥矯	教(~訓)校(犯而不~)較(比~)叫醮	
tɕʰiʌ	□	□	巧	峭陗悄愀湫竅	轎嶠
ɕiʌ	□	□	小蓧篠曉	笑肖誚嘯孝	效傚効校(學~)恔
miʌ		□	秒杪眇渺藐杳淼		廟妙
niʌ			鳥蔦裊嫋		溺(小便)
liʌ		□	了		燎繚瞭療廖蓼料
piʌ	□		□		
pʰiʌ	□	□	殍莩(同殍)剽漂	票	
tiʌ	□		□	釣弔	
tʰiʌ	□	□	窕	頫(衆～)眺脁	棹掉櫂糶調
iʌ	□	□	繞遶擾窈	要(切~) 夭殀曜耀樂(智者~水)	鷂
#ʌŋ					
tsʌŋ	中(～央)忠衷終螽鍾鐘宗琮棕踪從(同縱)縱(～横)椶		緫種(~類)踵腫	眾衆縱(放~)從(放 也)綜粽糉中(射~)種(~植)	
tsʰʌŋ	聰悤蔥驄囱匆葱沖冲充衝從   (~容)	蟲崇叢重(複也)從(自~)	□	□	仲中(同仲)頌訟誦重(輕~)從
sʌŋ	松崧淞菘鬆嵩春	□	聳慫竦悚	送宋	
tʌŋ	東冬鼕		董棟	凍	
tʰʌŋ	通侗(無知) 恫(痛也)	同衙銅桐筒童潼幢僮瞳筩彤	統桶	痛	動慟洞
kʌŋ	弓躬工功攻公蚣共(同恭)供(~給)龔恭宮		拱栱共(同拱)礦鑛磺(同礦)卝鞏	貢贛(賜也)供(~給)共(同供)	
kʰʌŋ	空(~虚)悭		孔恐	空 (匮乏)控	共(~同)
xʌŋ	□	□	□	鬨	
fʌŋ	風楓封丰豐	逢縫(~衣)峯峰烽鋒蜂蠭馮(姓)	諷風(同諷)賵	俸奉(同俸)	奉(~承)縫(衣~)鳳
lʌŋ		龍籠(鳥~)蘢瓏礲礱聾隆	隴壟龍(同壟)籠	竉	弄
pʰʌŋ	□	蓬篷朋棚鵬彭蟛	捧奉(同捧)	□	棒棓傍(倚~)
xʌŋ	烘轟薨	红宏閎洪鴻弘黌			
mʌŋ		蒙濛矇萌	猛蜢蠓		夢孟
nʌŋ		農濃膿			
ŋʌŋ	翁			□	
#iʌŋ					
tɕiʌŋ			冡塜囵冏烱炯絅迥褧菌敻憬		
tɕʰiʌŋ		窮穹竆邛筇卭煢瓊			
ɕiʌŋ	凶兇匈胸胷	雄熊	洶		
iʌŋ	雍(和也)饔瘫邕雝廱癰庸墉鏞傭	容溶鎔榕蓉戎絨融茸	勇湧踴甬涌慂恿俑踊蛹擁宂氄	壅墶甕雍(州名)	用
#iɛ̃					
tɕiɛ̃	江將(~要)漿疆薑韁僵閒(中~)間(同閒)姦奸(私也)緘(封也)械姜嗟罝菅艱監(~察)		簡澖僴柬揀奬蔣槳講減	諫將(~帥)醬監(~視)鑑鑒間(~斷)間(同間)覵瞯	
tɕʰiɛ̃	槍鏘羌蜣腔	□	強(勉~)襁繈彊(同強)	□	象像匠
ɕiɛ̃	□	咸閒(~暇)嫺閑嫻鷶銜(官~)函(書~)降(~服)	想響饗鯗鮝餉饟享	向嚮鄉(前 日也)  相	限陷
niɛ̃		□	仰		釀
liɛ̃		□	兩魎		亮諒量(度～)
iɛ̃		陽暘颺(~言)楊揚瘍羊洋佯徉顏	養(~育)癢痒	様漾恙養(孝~)煬颺(飄~) 贋	鞅怏
#oŋ					
tsoŋ	□		掌長(尊~)	帳賬悵嶂障瘴漲葬	
tsʰoŋ	□	□	敞廠厰昶	唱倡暢鬯	丈仗杖藏(西~)臓
soŋ	□		賞磉顙上(自下而~)晌	喪	上(～下)尚
zoŋ		□	壤攘(熙熙~~)		讓
koŋ	缸杠扛豇岡崗鋼網剛亢(鳥嚨)吭(同亢)		港	絳洚降(升~)	
kʰoŋ	□	□	慷忼	抗伉沆炕吭(同亢) 亢(星名)	
xoŋ	□	□			巷衖項行(~輩)
toŋ	□		黨	當(適宜)	
tʰoŋ	□	□	帑儻倘		蕩盪鍚簜
ŋoŋ		□		盎	
poŋ	邦梆			謗	
pʰoŋ	□	旁傍(同旁)徬磅滂尨哤厖庬龐逄(姓)		胖(肥～)	蚌
moŋ		□	莽蟒		
noŋ		□	曩		
loŋ		□	朗閬		浪
foŋ	□	□	仿倣放(依也)紡昉舫訪	放(～假)	
#uoŋ					
tsuoŋ	□		□	壯	
tsʰuoŋ	窗惚瘡創(～傷)撞(～鐘)	□	□	創(～造)刱闖愴	撞(~鐘)狀
suoŋ	雙霜孀		爽		
kuoŋ	□		廣	□	
kʰuoŋ	□	□		况況貺曠壙繽	
xuoŋ	□	□	誑晃幌恍怳		
uoŋ	□	□	往枉罔網惘魍		忘妄王(~天下)旺望(名~)
#eŋ					
tseŋ	眞真瞋溱榛蓁臻曽增憎矰罯争爭崢錚筝猙貞楨禎正征鉦 鸡斟砧烝蒸箴針丁(伐木～～)津珍甄徵(證也)		軫畛 袗紾診震脤賑振娠枕(~頭)拯整	正(~反)政甑贈爭(同諍)諍證譖鎮枕(壓也)	
tsʰeŋ	□	辰晨宸成城誠盛(～飯)呈程 裎酲橙澄澂曽(嘗也)層丞承臣陳(~列)塵棖諶仍乘(~除)岑沈(沒也)沉	騁逞	稱(~錘)秤襯櫬螣剩趁疚識	陣陳(同陣)鄭乘(車~)朕
seŋ	申伸紳呻生 笙甥牲狌猩升昇陞孫蓀飧飱參(海~)信(同伸)深聲勝(堪也)森身僧	神繩	審嬸沈鴆酖矧稔省(~市)眚哂	甚甚盛(~衰)晟勝(~敗)聖滲	
keŋ	根跟庚賡耕畊更(~改)羮莖秔		梗埂綆哽鯁亘瓦緪(索也)艮耿	更	
kʰeŋ	□		墾懇肯肻	□	
xeŋ		衡(軛也)蘅恆緪(索也)恒痕珩	很狠	横(專～)	恨
zeŋ		人壬任(勝~)仁	刃仞軔忍訒牣衽飪袵荏		任(責~)賃認韌
neŋ		□			嫩
leŋ		倫侖崙淪輪綸(經~)論(談~)掄棱稜	冷		論(~說)
teŋ	登簦燈鐙(同燈)豋敦暾墩惇		等	頓磴鐙(馬踏~)橈瞪	
tʰeŋ	吞	豚屯飩	□	□	盾楯遁鈍沌鄧遯
peŋ	奔賁(人名)		本畚		
pʰeŋ	喷	盆			笨
feŋ	分氛芬紛	焚汾粉墳	粉	糞	忿分(名~)憤僨奮
meŋ		門捫	悶懣		
ŋeŋ	恩				硬
#ieŋ					
tɕieŋ	今矜(憐也)京勍黥鯨精睛菁擎檠驚禁(不~)襟侵駸經涇金巾旌筋荊斤兢晶		井阱穽槿饉覲謹僅殣靳儆警景璟錦頸緊卺近(~之也)	竟境鏡禁(~令)噤徑逕勁脛浸寖敬競	
tɕʰieŋ	青清蜻親卿欽輕傾	情晴禽檎擒噙黔(姓)衾琴芹餳勤	請頃寢	慶磬罄	盡藎贐燼淨靜靖清近(遠~)
ɕieŋ	星醒(睡覺)腥鯹辛莘騂新薪欣訢心興(起也)歆馨		省(~視)醒(睡~)	性姓信(～實)興(～會)	幸倖行(品~)荇杏釁
tieŋ	□		頂酊鼎	訂町	
tʰieŋ	□	□	挺鋌梃艇脡	聽(~從)	定錠
pieŋ	冰氷賓濱檳繽嬪并(古州名)并(同并)豳邠 彬兵瀕		丙炳邴禀(~告)秉餅	柄擯儐殯臏鬢併进屏(斥也)并(合~) 并(同并)	
pʰieŋ	□	平枰苹萍頻顰蘋瓶缾屏(~蔽)馮(~河)憑凴貧	品	聘	病竝並
mieŋ		民岷 緡(綸也)名銘明盟冥溟瞑蓂螟旻鳴閩	閔憫泯愍湣暋敏黽皿		命(～令)
lieŋ		林霖淋琳鄰隣嶙磷燐轔麟鱗令(使~)零苓图瓴舲鈴玲伶齢聆羚翎鴒蛉陵凌綾菱寕獰甯(同寕)𤢆靈櫺紉凝臨迎	領嶺廪禀(同 廪)凛懍		吝悋甯(姓)令(號~)佞另藺磷(薄也) 迎(親~)臨
ieŋ	因氤絪茵姻 駰嬰纓罌櫻攖嚶鸚應膺鷹英湮音陰殷(~商)婣鶑蠅	寅夤銀垠榮嵥縈瀠營瑩熒瑩罃螢 赢瀛赢盈楹吟閭淫嚚	引蚓隱瘾影景(同影)潁穎憗憖飲(~事)郢殷(~然)媵	印蔭麾映應(～答)飲	
#ueŋ					
tsueŋ	尊樽罇遵肫諄		準準准撙		
tsʰueŋ	春椿杶邨村	存蹲	蠢忖	寸	
sueŋ	□	纯莼忳淳醇鹑湻醕屑唇蓴馴	損	舜瞬順慎腎蜃遜孫(同遜)巽	
kueŋ			袞滾混(同滾)鯀	□	
kʰueŋ	昆崑琨鯤坤髠		捆	困閫梱悃壼	
xueŋ	昏閽婚惛昬	渾(~濁)褌餛魂	混(雜也)焜(~耀)渾(混沌)溷	□	
zueŋ					閏潤
ueŋ	溫瘟	文紋蚊蟁聞	吻脗刎抆穩紊		問聞(令~)文(~飾)汶免(喪服)
#yeŋ					
tɕyeŋ	君均鈞坷扃駒困麝麇軍皸龜(～手)		儘窘蕈	晉縉(~雲氏)浚餕畯峻俊駿雋儁進	
tɕʰyeŋ	皴逡竣踆	旬峋洵荀恂詢尋潯燖鱘羣群裙秦巡循			郡徇狗殉
ɕyeŋ	薰熏纁勳勲醺獯勛葷焄		筍笋隼髓	訓迅訊濬	
yeŋ	□	雲云芸耘紜勻筠氲緼(絪~)煴員(伍子胥名)	允吮狁尹永		詠咏泳暈運惲隕殞醞緼(舊 絮)蘊薀慍韞韻孕
#ĩ					
tɕĩ	□		展輾蹇謇翦剪檢撿繭	見建毽踐濺餞占劔劍縉(~紳)薦荐箭戰僭	
tɕʰĩ	□	□	淺遣譴諂	欠歉芡倩	件賤儉健漸
tĩ	□		典腆點	店玷坫殿(~軍)墊	
tʰĩ	□	□	忝舔餂靦殄餮		電甸佃殿(宮~)簟奠靛
ɕĩ	仙秈籼先鮮僊掀暹	□	險陝閃霰顯燹獮	扇煽獻巘線綫憲先(~之也)羡羡	善繕膳鱔鱓禪(~讓)單(姓)墠闡現峴見(同現)擅贍縣
pĩ	□		扁(圓~)徧遍褊貶窆	變	
pʰĩ	□	□		片騙	辨辯辮卞汴抃忭便(~利)扁(姓)弁(~冕)
nĩ		□	輦碾		硯研(同硯)念掾
lĩ		□	斂臉殮		楝練鍊煉璉
mĩ		□	免勉俛(同勉)冕		面緬眄麫麫瞑(~眩)
ĩ	殷(~紅)	言延筵涎蜒然燃檐簷炎嚴沿閽鹽	冉苒偃堰奄掩焰燄剡豔艷染演衍兗揜1厭(~然)儼唁	燕讌嚥彥諺宴晏鴳厭(~惡)饜咽	驗
#yʊ̃					
tɕyʊ̃	涓捐鵑湍顓遄鑜攢 專甎磚蠲身(~毒,國名)簪		卷(書~)捲綣蜷轉囀	絹狷睊罥纉纂眷  獧	
tɕʰyʊ̃	□	□	犬畎喘舛慘	勸串竄爨篡	倦券劵圈傳(書~)篆
ɕyʊ̃	宣喧喧諠萱護諼煖  (人名)壎塤酸軒藼鐫		鮮(少也) 癬蘚炫泫眩衒選絢	算筭祘蒜	
yʊ̃	淵宛(大~) 鴛冤鳶	元沅鼋原源嫄員( 教 ~ )圆袁園轅猿圜爰援(攀~)猨緣樤垣	遠(~ 近)軟輭	怨	院阮願愿原(同愿)瑗媛援(馬~)苑遠(~之也)
#ɑ̃					
tsɑ̃	□		斬	贊瓚僎撰饌盞蘸湛	
tsʰɑ̃	驂參 ( ~ 考 )孱潺餐	讒饞慙慚殘	產鏟	粲燦懺	棧綻賺暫儳
sɑ̃	三叁杉衫珊刪跚山汕(～頭)潸芟閂		傘繖散(~開)	散(閒~)汕(取魚撩罟)訕三(再~)	
kɑ̃	□		□	赣(～榆)紺	
kʰɑ̃	鉛嵌慳		檻艦		
xɑ̃		□			莧粯
ŋɑ̃	□	巖	眼	雁	
tɑ̃	丹單鄲簞殫眈耽耼擔		膽胆	旦怛擔(負~)	
tʰɑ̃	灘攤歎 (太息)	談痰覃潭壇檀彈(～棉花)澹(～臺)	但坦袒毯菼啖噉嚪亶誕憚萏	歎(~氣)嘆炭	淡澹(同淡)彈(～弓)蛋
pɑ̃	班斑般(人名)頒		板版阪坂瓣		
pʰɑ̃	攀	□		盼	辦
fɑ̃	番旛幡翻繙帆颿反(同翻)	凡墦蕃藩燔樊礬繁蘩煩	反(正~)返	泛汎氾販	範范犯飯
nɑ̃		難喃			難(患～)
