#参考资料 《宣州片吴语音韵研究》
#调值 [1]阴平53 [2]阳平31 [3]上声214 [5]去声35 [7]入声5

#ɿ
ts [1]知支资脂滋 [3]紫姊指子滓 [5]智至
tsʰ [1]操抄 [2]曹 [3]草吵 [5]糙
s [1]臊 [2]巢 [3]嫂 [5]造扫赵兆邵嗽
k [1]高教 [3]稿搞 [5]告窖觉
kʰ [1]敲 [3]考 [5]靠
ŋ [2]熬 [3]袄咬 [5]傲
x [1]蒿 [2]豪 [3]好 [5]耗号

#iɔ
p [1]标彪 [3]表
pʰ [1]飘 [2]瓢 [3]漂 [5]票
m [1]猫 [2]苗矛 [5]秒庙
t [1]刁 [5]钓
tʰ [1]挑 [2]条 [5]跳调
l [2]聊 [5]疗了料廖
tɕ [1]交焦朝{明朝}娇浇 [3]矫侥饺 [5]教照叫
tɕʰ [1]锹超 [2]潮桥 [3]巧 [5]俏轿窍
ȵ [5]绕鸟尿
ɕ [1]消烧箫 [2]淆 [3]小少晓 [5]稍酵孝校笑少绍
Ø [1]腰幺 [2]摇尧 [5]要舀耀

#ei
p [1]蓖杯碑悲 [5]贝辈备
pʰ [1]坯 [2]培 [5]配倍背
m [2]梅霉 [5]每妹美
f [1]非妃 [2]肥 [3]匪 [5]废肺费
ʋ [1]威 [2]危微围 [3]委 [5]喂为魏慰苇胃
t [1]堆 [5]对队兑
tʰ [1]推 [3]腿 [5]退
l [2]雷 [5]内儡累累累垒类泪
ts [1]追 [3]嘴 [5]最醉
tsʰ [1]催吹 [2]槌 [5]罪脆翠
s [1]虽 [2]随 [3]髓水 [5]碎岁

#ui
tsʰ [2]垂
k [1]闺规龟归 [3]诡轨鬼 [5]鳜桂柜贵
kʰ [1]魁亏 [2]葵 [3]傀 [5]跪愧
x [1]挥 [2]回 [5]会惠讳
Ø [1]煨 [2]维 [5]卫位尾味

#əu
m [2]谋 [5]某贸
t [3]抖 [5]斗
ts [3]走 [5]奏皱
tsʰ [2]仇 [5]凑
s [1]馊 [5]瘦
k [1]钩 [3]狗 [5]够
kʰ [1]抠 [3]口 [5]扣
ŋ [3]瓯 [5]藕
x [2]猴 [5]厚候

#iu
tʰ [1]偷 [2]头 [5]透豆
l [2]楼流 [5]篓漏柳溜
tɕ [1]周阄 [3]酒帚九 [5]就昼咒救
tɕʰ [1]秋抽丘 [2]绸愁求 [3]丑丑 [5]臭舅旧
ȵ [2]蜈柔牛 [3]纽
ɕ [1]修收休 [3]手朽 [5]锈袖兽受寿
Ø [1]优幽 [2]邮油 [5]有又酉釉幼

#an
p [1]班 [3]板 [5]扮
pʰ [1]攀 [5]盼襻
m [2]蛮 [5]慢
f [1]藩翻 [2]凡烦矾 [3]反 [5]范贩饭
t [1]耽 [3]胆
ts [3]盏
tsʰ [3]惨铲产
s [1]山
k [1]间奸 [3]感简 [5]干
kʰ [1]龛铅 [3]坎
ŋ [2]颜 [5]眼雁晏
x [2]闲 [3]喊 [5]限苋

#uan
k [1]鳏关 [5]惯
x [2]还{还原}
Ø [1]弯 [3]晚 [5]万

#ɛ̃
p [1]搬 [5]半绊
pʰ [1]潘拼 [2]盘 [5]办判伴叛
m [2]瞒 [5]满
t [1]担单端 [3]掸短 [5]担旦锻
tʰ [1]贪滩 [2]潭谈坛团 [3]毯坦 [5]淡炭蛋断段
l [2]男篮难兰 [5]览滥难懒烂暖卵乱
ts [1]簪毡钻砖 [3]斩展纂转 [5]站站蘸占赞战钻转
tsʰ [1]参搀餐汆穿 [2]缠传 [3]喘 [5]暂赚灿窜篆传串
s [1]三衫酸闩 [2]蚕馋船 [3]陕伞 [5]散扇善算
k [1]甘监肝 [3]敢减碱赶
kʰ [3]舰 [5]看
ŋ [1]庵淹安 [5]暗岸按
x [2]含咸衔寒 [5]汉汗

#iɛ̃
p [1]鞭边 [3]扁 [5]变遍
pʰ [1]偏 [2]便 [5]骗辨便片辫
m [2]棉眠 [5]免面面砚
t [1]掂颠 [3]点典 [5]店
tʰ [1]添天 [2]甜田 [3]舔腆 [5]簟电
l [2]帘连莲 [5]练
tɕ [1]尖兼煎犍笺肩 [3]检剪茧 [5]剑箭建键健举见
tɕʰ [1]签谦迁千牵 [2]惭钳乾前 [3]浅 [5]渐贱件
ȵ [2]黏严鲇言年研 [3]染碾 [5]验念撵软愿
ɕ [1]仙鲜先 [2]嫌钱贤旋 [3]闪险癣显选 [5]线献县
Ø [1]烟冤渊 [2]炎盐然延沿 [3]掩 [5]厌演燕院怨远

#uɛ̃
k [1]官 [3]管 [5]罐
kʰ [1]宽 [3]款
x [1]欢 [5]幻
Ø [1]豌 [2]完 [3]碗 [5]皖换

#yɛ̃
tɕ [1]捐 [3]卷 [5]卷
tɕʰ [1]圈 [2]权 [5]劝
ɕ [1]宣 [5]楦
Ø [2]圆缘元园

#ã
p [1]帮邦 [3]榜绑 [5]谤
pʰ [1]滂 [2]旁 [5]胖
m [2]忙芒 [5]莽
f [1]方芳 [3]仿纺 [5]放访
t [1]当 [3]党 [5]当
tʰ [1]汤 [2]堂 [3]躺 [5]趟宕
l [2]狼 [5]朗浪
ts [1]脏张庄章桩 [3]长掌 [5]葬帐壮状障
tsʰ [1]苍疮昌 [2]长 [3]闯厂 [5]畅丈创唱
s [1]桑霜伤双 [2]床常 [3]嗓爽赏 [5]丧上尚双
k [1]缸江 [3]讲 [5]杠降虹
kʰ [1]康 [3]慷 [5]抗
x [2]杭房降 [5]项巷

#iã
l [2]粮 [5]两{斤两}亮
tɕ [1]将姜 [3]奖 [5]酱
tɕʰ [1]枪羌 [2]详强 [3]抢
ȵ [2]娘 [5]酿壤让仰
ɕ [1]相乡 [2]墙 [3]想响 [5]相象饷向
Ø [1]央 [2]羊 [5]匠养样

#uã
k [1]光 [3]广
kʰ [1]筐 [2]狂 [5]旷况矿
x [1]慌 [3]谎 [5]晃
Ø [1]汪 [2]黄王 [3]枉 [5]网望往旺

#ən
p [1]奔 [3]本 [5]奔笨
pʰ [1]喷 [2]盆彭
m [2]门蚊明 [5]闷
f [1]分芬荤 [2]坟 [3]粉 [5]粪份
ʋ [2]文 [5]问
t [1]墩蹲登灯 [3]等 [5]顿凳邓
tʰ [1]吞 [5]盾
l [2]论伦能楞 [5]嫩论冷
ts [1]针珍真尊遵增征争贞侦 [3]枕疹准整 [5]镇震赠
tsʰ [1]村皴椿春撑 [2]沉陈存曾橙乘承程成 [3]蠢 [5]趁阵衬寸
s [1]森深身孙生甥声 [2]神臣 [3]沈损笋省省 [5]渗顺舜剩
k [1]今跟庚耕 [3]埂耿 [5]更
kʰ [1]坑 [3]垦肯
ŋ [1]恩 [5]硬
x [1]亨 [2]痕恒衡 [5]很恨

#in
p [1]彬冰兵 [3]禀丙饼 [5]鬓柄并
pʰ [1]拼 [2]贫凭平瓶 [3]品 [5]病聘
m [2]民鸣名铭 [5]敏命
t [1]丁 [3]顶 [5]澄钉
tʰ [1]听 [2]停 [5]定
l [2]林邻零 [5]吝领令
tɕ [1]金津巾斤蒸京鲸精正经 [3]尽紧谨景井颈 [5]浸禁进晋劲俊镜竞净政
tɕʰ [1]侵钦亲称卿清轻青 [2]琴秦勤情 [3]寝锦请 [5]亲尽近症秤庆静郑
ȵ [2]人银宁 [5]忍认润
ɕ [1]心新欣升兴星 [2]寻行形 [3]醒 [5]信胜兴杏行性圣
Ø [1]音因鹰鹦樱英婴 [2]淫寅匀云蝇迎赢营萤 [3]饮隐影 [5]荫印引允应映永颖

#un
k [3]滚 [5]棍
kʰ [1]昆坤 [3]捆 [5]困
x [1]婚 [2]魂横 [5]混横
Ø [1]温 [3]稳

#yn
tɕ [1]均军 [5]菌
tɕʰ [2]群裙
ɕ [1]熏 [2]纯 [5]训
Ø [5]熨运

#oŋ
p [1]崩
pʰ [2]朋棚篷 [5]喷
m [2]萌蒙 [3]猛 [5]孟蠓梦
f [1]风丰封蜂 [2]逢 [5]讽凤缝
t [1]东冬 [3]懂 [5]栋
tʰ [1]通 [2]同 [3]桶 [5]痛动洞统
l [2]聋农浓龙 [5]弄
ts [1]鬃宗忠终钟 [3]总肿 [5]粽综中众重种
tsʰ [1]葱充冲 [2]虫崇从重 [3]宠 [5]铳
s [1]松嵩 [2]松 [5]送宋
k [1]公弓恭 [3]巩 [5]贡供共
kʰ [1]空 [3]孔恐 [5]控
x [1]轰烘 [2]宏洪冯 [3]哄
Ø [1]翁

#yŋ
tɕʰ [2]穷
ɕ [1]兄凶 [2]雄
Ø [1]绒雍 [2]荣容 [5]勇用

#iʔ
p [7]笔逼碧璧
pʰ [7]匹僻壁
m [7]蜜
t [7]滴
tʰ [7]踢笛
l [7]栗律力历
tɕ [7]集急吉鲫织积绩击
tɕʰ [7]及七直植籍戚吃极
ȵ [7]日
ɕ [7]习吸膝媳式惜席锡
Ø [7]揖一逸忆益译

#yʔ
tɕ [7]剧
Ø [7]玉

#aʔ
p [7]八
pʰ [7]拔
f [7]法发罚
ʋ [7]挖袜
t [7]答达
tʰ [7]踏塔
l [7]纳拉蜡捺辣
ts [7]扎
tsʰ [7]杂插炸擦察铡
s [7]萨杀刷
k [7]夹甲
kʰ [7]掐
ŋ [7]鸭轧
x [7]瞎

#uaʔ
k [7]括刮
x [7]滑

#əʔ
p [7]不北百
pʰ [7]拍
m [7]木目
f [7]佛物福覆服
ʋ [7]握屋
t [7]得
tʰ [7]脱夺突特秃独
l [7]粒勒
ts [7]折蛰质卒则侧责浙
tsʰ [7]彻出贼测泽册
s [7]湿十设虱实失术色
k [7]葛格
kʰ [7]磕刻客
ŋ [7]额轭
x [7]喝合黑吓

#oʔ
p [7]拨博泊剥
pʰ [7]泼朴卜扑
m [7]末摸
t [7]督
tʰ [7]托毒
l [7]落鹿六绿
ts [7]作桌捉镯族竹粥足烛
tsʰ [7]错戳畜
s [7]索速宿缩叔熟粟俗赎束
k [7]各胳郭角
kʰ [7]扩确壳
ŋ [7]狱
x [7]鹤霍学获
Ø [7]恶

#ioʔ
tɕ [7]脚菊
tɕʰ [7]雀鹊曲曲
ȵ [7]弱肉
ɕ [7]削畜
Ø [7]约药岳育欲

#uoʔ
k [7]骨国谷
kʰ [7]窟哭阔
x [7]豁活或核{审核}核{果子核}
Ø [7]划

#iɛʔ
pʰ [7]鼻别撇白
m [7]灭篾墨默麦
t [7]跌
tʰ [7]帖铁
l [7]猎烈
tɕ [7]接劫杰节结绝摘只
tɕʰ [7]切侄尺
ȵ [7]聂业热孽捏月
ɕ [7]薛舌雪食释石
Ø [7]叶越

#yɛʔ
tɕ [7]决橘
tɕʰ [7]缺
ɕ [7]血穴
Ø [7]役

#m̩
Ø [5]姆

#n̩
Ø [5]你
