汉字	芦浦	筱村	雅阳	注释
数	su5	sɿ5	su5	名
珠	tɕy1	tɕyəu1	tɕyɛ1	
主	tɕy3	tɕyəu3	tɕyɛ3	
输	ɕy1	ɕyəu1	ɕyɛ1	~赢
树	tɕʰieu5	tsʰa5	tsʰa2	
樵	dzɔ2	tsʰa2	tsʰa2	原文记作柴
树	ʑy6	ɕy6	ɕy6	
句	tɕy5	kou5	kyɛ5	
区	tɕʰy1	kʰy1	kʰy1	
雨	vu6	hou6	huɔ6	
雨	fu6		huə6	
雨	y3	y3		
芋	vu6	ou6	y6	
载	tsa5	tsai3	tsai5	动
台	dø2	tuə2	tɔi2	戏~
袋	dø6	tuə6	tɔi6	
猜	tsʰø1	tsʰuə1	tsʰɔi1	
来	li2	li2	li2	
来	la2	lai2	lai2	
来	le2			
灾	tsa1	tsai1	tsai1	
菜	tsʰa5	tsʰai5	tsʰai5	
脐	dza2	sai2	tsai2	
财	dza2	sai2	tsai2	发~
财	dze2			~主
裁	za2			~缝
裁	ze2			~衣
再	tsø5	tsai5	tsai5	
再	tse5			
在	dze6	tsai6	tsai6	
赛	se5	suə5	sɔi5	
改	kø3	kai3	kai3	
开	kʰe1	kʰai1	kʰai1	
开	tɕʰy1	tɕʰy1	kʰy1	
海	hø3	fuə3	hɔi3	
爱	e5	ai5	ai5	
带	to5	tai5	tai5	名
债	tso5	tsa5	tsai5	
蔡	tsʰa5	tsʰai5	tsʰai5	
盖	ka5	kai5	kai5	
盖	ke5			
艾	ŋe6		ŋai6	植物
害	ha6	hai6	hai6	
拜	pai5	pe5	pai5	
排	bai2	pe2	pe2	
肥	bai2	pe2	pue2	
吠		pe6	pue6	
派	pʰe5	pʰai5	pʰai5	
斋	tsa1	tsai1	tsai1	
戒	ka5	kai5	kai5	
芥	ka5	ka1	ka3	~菜
芥			kua3	
摆	pai3	pe3	pe3	
牌	bai2	pe2	pe2	
稗	pʰai5	tʰe5	pʰe5	
买	mai3	me3	me3	
卖	mai6	me6	me3	
奶	nai1	nɛ̃1	ne3	娘~
钗	tsʰa1	tsʰai1	tsʰai1	
晒	so5	sa5	sa5	
佳	ko1	ka1	ka1	
街	kai1	ke1	ke1	
解	kai3	ke3	kai3	~开
蟹	hai6			
鞋	ai2	e2	e2	
矮	ai3	e3	e3	
体	tʰai3	tʰe3	tʰe3	
败	bai6	pai6	pai6	
祭	tsɿ5	tɕie5	tɕiɛ5	
世	sɿ5	ɕie5	ɕiɛ5	
艺	ȵi6	ȵi6	ȵiɛ6	
米	mi3	mi3	mi3	名
低	ti1	te1	te3	
梯	tʰai1	tʰai1	tʰai1	
啼	di2	tʰe2	te2	哭
剃		tʰe5	tʰiɛ5	
弟	di6	te6	tʰiɛ6	
隶		te6	tiɛ6	
递	di6	te6	te6	
地	di6	ti6	ti6	天~
泥	nai2	ne2	ne2	
泥			ȵi2	
犁	lai2	le2	le2	
齐	zai2	se2		
齐	dzɿ2		tse2	
洗	sai3	se3	se3	
细	sai5	se5	se5	小
婿	sa5	sai5	sai5	
计		tɕie5	kiɛ5	
济		tɕie5	tɕiɛ5	
鸡	tsɿ1	tɕie1	kiɛ1	
溪	tsʰɿ1	kʰe1	kʰe1	
杯	pai1	puə1	pɔi1	
配	pʰø5	pʰuə5	pʰɔi5	
赔	bø2	puə2	pɔi2	
煤	mø2	muə2	mɔi2	
每	mai3	muə3	mɔi3	
妹	mø5	muə5	mɔi5	
堆	tø1	tuə1	tɔi1	
对	tø5	tuə5	tɔi5	
退	tʰø5	tʰuə5	tʰɔi5	
队	dai2	təu2	tue2	
雷	la2	lai2	lɔi2	
罪	zø6	suə6	tsɔi6	
碎	sø5	suə3	sɔi6	
块	kʰuai5	kuə5	kɔi5	
灰	hø1	fuə1	hue1	
回	ø2	fuə2	hue2	
外	ȵiɔ̃6	ȵia6	ȵia6	
会	ø6	və6	hue6	开~
怪	kua5	kuai5	kuai5	
怀	guai2	fai2	huai2	
怀	ve2		kue2	
挂	ko5	kua5	kua5	
歪	va1	vai1	uai1	
画	o6	va6	ua6	
快	kʰai5	kʰe5	kʰe5	
话	o6	va6	ua6	
岁	sø5	ɕyəu3	hue5	
稅	sø5	ɕyəu5	ɕyɛ5	
肺	fi5	fe5	hiɛ5	
桂	kuai5	tɕyəu5	kyɛ5	
被	bø6	pʰuə6	pʰɔi6	名
避	bi6	pi6	pi3	
离	li2	li2	liɛ2	
紫	tsɿ3	tse3	tɕiɛ3	
雌	tsʰɿ1	tsʰɿ1	tsʰu1	
刺	tsʰɿ5	tsʰɿ5	tɕʰiɛ5	
池	dzɿ2	tsɿ2	tiɛ2	
驰		tsɿ2		
枝	tsɿ1	tsɿ1	tɕiɛ1	
枝			ki1	
纸	tsɿ3	tɕia3	tɕia3	
是	zɿ6	sɿ6		
是		ɕie6	ɕiɛ6	
氏		sɿ6		
氏		ɕie6	ɕiɛ6	
儿	ȵi2	ȵi2	ȵi2	~婿
儿	l̩2			
寄	tsɿ5	tɕia5	kia5	
骑	dzɿ2	tsɿ2	kʰi2	
徛		tɕʰia6	kʰia6	站
蚁	ȵi3	ȵia5	ȵia3	
椅	i3	i3	iɛ3	
移	i2	i2	iɛ2	
鼻	biəʔ8	pʰi5	pʰi5	
眉	mi1	mi2	mi2	
梨	li2	li2	li2	
姊	tsɿ3	tsɿ3	tɕi3	
糍	zɿ2	sɿ2	ɕi2	
死	sɿ3	sɿ3	ɕi3	
四	sɿ5	sɿ5	ɕi5	
戏	sɿ5	ɕie5	ɕie5	
戏			hiɛ5	
迟	di2	ti2	ti2	
迟	dzɿ2			
置		ti5	ti5	
师	sɿ1	sɿ1	su1	
脂	tsɿ1	tsɿ1	tsu1	
肌	tsɿ1	tsɿ1	tɕi1	
资	tsɿ1		tsu1	
屎	sa3	sai3	sai3	
治	da2	tʰai6	tʰai6	~鱼
刣	da2	tʰai6	tʰai6	~鱼，原文记作治
指	tsai3	tsai3	tsai3	
指	tsɿ3	tsɿ3	tɕi3	
二	ȵi6	ȵi6	ȵi6	
姨	i2	i2	i2	
李	li3	li3	li3	姓
子	tsɿ3	tsɿ3	tsu3	
己	tsɿ3	tsɿ3	ki3	
纪	tsɿ3	tsɿ3	ki3	
止	tsɿ3	tsɿ3	tɕi3	
字	zɿ6	sɿ6	tɕi6	
丝	sɿ1	sɿ1	ɕi1	
诗	sɿ1			
熙	sɿ1			
祠	zɿ2	sɿ2	su2	
词	zɿ2	sɿ2	su2	
事	za6	sai6	su6	物~
使	sɿ3	sɿ3	su3	
痣	tsɿ5	tɕy5	tɕy5	
志	tsɿ5	tsɿ5	tɕi5	
齿	tsʰɿ3	tsʰɿ3	kʰi3	
起	tsʰɿ3	tsʰɿ3		
时	zɿ2	sɿ2	ɕi2	
市	zɿ6	tsʰɿ6	tɕʰi6	
耳	ȵi3	ȵi3	ȵi3	~朵
箕		tsɿ1	ki1	粪~
记	tsɿ5	tsɿ5	ki5	
旗	dzɿ2	tsɿ2	ki2	
嬉	sɿ1	sɿ1	hi1	玩儿
医	i1	i1	i1	
饥	tsɿ1	tsɿ1	ki1	饿
幾	tɕy3	tɕy3	ky3	~个
几			tɕi1	茶~
气	tsʰɿ5	tsʰɿ5	kʰi5	
衣	i1	i1	i1	
夜	i6	ia6	ia6	
髓	ɕi3	sue3		
随	ʑy2	ɕy2		
吹	tsʰø1	tɕʰyəu1	tɕʰyɛ1	
亏	kʰø1	kʰue1	kʰue1	
跪	guai6	kue6	kue6	
醉	tɕy5	tɕy5	tɕy5	
翠	tsʰai5	tsʰe5	tsʰue5	
追	tɕy1	tɕy1	tɕy1	
槌	dʑy2	tʰy2	tʰy2	
锤		tʰy2	tʰy2	
帅	sa5	suə5	sɔi5	
沝	ɕy3	ɕy3	tɕy3	水
水	ɕy3	ɕy3	tɕy3	
龟	kuai1	kue1	kue1	
柜	guai6	kue6	kue6	
位	y6	ve6	ue6	
皮	bø2	pʰuə2	pʰɔi2	
皮	bi2			
飞	pø1	puə1	pɔi1	
飞	fi1	fe1	hue1	
痱	pai5	pe5	pue5	
尾	mø3	muə3	mɔi3	~巴
未	mi6	mi6	mi6	
归	kuai1	kue1	kue1	
鬼	kuai3	kue3	kue3	
贵	kuai5	kue5	kue5	
围	y2	ve2	ue2	
宝	pɑu3	pou3	pɔ3	
报	pɑu5	pou5	pɔ5	
抱		pau1	pɔ1	
毛	mɑu2	mou2	mɔ2	
毛	mɔ̃2	mɛu2		
帽	mɑu6	mou6	mɔ6	
刀	tɑu1	tou1	tɔ1	
到	tɔ5	tau5	tau5	
讨	tʰɑu3	tou3	tɔ3	
讨	tʰɔ3			
桃	dɑu2	tʰou2	tʰɔ2	
道	dɔ6	tau6	tau6	
脑	nɔ3	nau3	nau3	
牢	lɑu2	lou2	lɔ2	
老	lo3	lau6	lau3	
糟	tsɑu1	tsau1	tsau1	
糟	tsɔ1			
早	tsɔ3	tsa3	tsa3	
灶	tsɔ5	tsau5	tsau5	
草	tsʰɔ3	tsʰau3	tsʰau3	
造	zɔ6	tsau6	tsau6	
扫	sɔ5	sau5	sau5	动
高	kɔ1	kɛu1	kau1	
告	kɔ5	kɛu5	kɛu5	
靠	kʰɑu5	kʰou5	kʰɔ3	
糕	kɑu1			
糕	kɔ1			
豪	hɑu2		hɛu2	
豪	hɔ2			
熬	nɑu2		ŋɛu2	
好	hɑu3	hau3	hau3	形
好		hou3		
号	ɑu6	hou6	hɔ6	
号	hɔ2			呼~
袄	ɔ3	ou3	ɔ3	
饱	pɔ3	pau3	pau3	
炮	pʰɔ5	pʰau5	pʰau5	
刨	bɔ6	pau6	pau6	
猫	mɔ̃2	ma2		
貌	mɔ̃6	mau6	mau6	
罩	tsɔ5	tsau5	tsau5	
抓	tsɔ1	tsau1	tsau1	~牌
抓	tsa1	tsa1	tsa1	
炒	tsʰɔ3	tsʰau3	tsʰa3	
交	kɔ1	kau1	kau1	
交			ka1	
教	kɔ5	kau5	kau5	动
教			ka5	动
敲	kʰɔ1	kʰau1	kʰau1	
孝	hɔ5	hau5	hau5	
表	pieu3	piɛu3	piɛu3	
票	pʰieu5	pʰiɛu5	pʰiɛu5	
薸	bieu2	pʰiɛu2	pʰiɛu2	浮萍
苗	mieu2	miɛu2	miɛu2	
庙	mieu6	miɛu6	miɛu6	
焦	tɕieu1	tɕiɛu1	tɕiɛu1	
消	ɕieu1	ɕiɛu1	ɕiɛu1	
笑	tɕʰieu5	tɕʰiɛu5	tɕʰiɛu5	
赵	dʑieu6	tɕiɛu6	tɕiɛu6	
照	tɕieu5	tɕiɛu5	tɕiɛu5	
烧	ɕieu1	ɕiɛu1	ɕiɛu1	
少	tɕieu3	tɕiɛu3	tɕiɛu3	多~
桥	dʑieu2	tɕiɛu2	kiɛu2	
轿	dʑieu6	tɕiɛu6	kiɛu6	
椒	tɕieu1	tɕiɛu1	tɕiɛu1	
骄	tɕieu1	tɕiɛu1	kiɛu1	
妖	ieu1	iou1	iɛu1	
舀	ieu3		iɛu3	
鹞	ieu5	iɛu6	iɛu6	
鸟	tieu3	tɛu3	tɛu3	
钓	tieu5	tiɛu5	tiɛu5	
粜	tʰieu5	tʰiɛu5	tʰiɛu5	
条	dieu2	tɛu2	tɛu2	
料	lieu6	lɛu6	lɛu6	
萧	ɕieu1	ɕiɛu1	ɕiɛu1	
叫	tɕieu5	tɕiɛu5	kiɛu5	
母	mɔ̃3	mou3	mu3	
斗	tɔ3	tau3	tau3	一~
偷	tʰau1	tʰau1	tʰau1	
敨	tʰɔ3	tʰau3	tʰau3	展开
头	dɔ2	tʰau2	tʰau2	脑袋
豆	dɔ6	tau6	tau6	
楼	lɔ2		lau2	
楼			lɛu2	
漏	lɔ6	lau6	lau6	
走	tsɔ3	tsau3	tsau3	
凑	tsʰɑu5	tsʰɛu5	tsʰɛu5	
钩	kɔ1	kau1	kau1	
沟	kɔ1			
狗	kɑu3		kɛu3	
够	kɑu5	kɛu5	kɛu5	
口	kʰɑu3	kʰɛu3	kʰɛu3	
藕	ŋau3	ou6	ŋɛu3	
后	ɔ6	au6	hɛu6	
厚	gɔ6	kau6	kau6	
厚		kɛu6		
富	fu5	fu5	hu5	
浮	bu2	pʰu2	pʰu2	
浮	vu2			
纽	ȵiɑu3	ȵiou3	ȵieu3	
流	lɔ2	lau2	lau2	
流	lieu2	liou2		
留	lieu2	liou2	lieu2	
留		lau2		
酒	tɕieu5	tɕiou5	tɕieu5	
秋	tɕʰieu1	tɕʰiou1	tɕʰieu1	
修	ɕieu1	ɕiou1	ɕieu1	
昼	tɔ5	tau5	tau5	
昼	tɕieu5			
抽	tʰieu1	tʰiou1	tʰieu1	
愁	zɑu2	tsʰɛu5	tsʰɛu2	
馊	sɑu1	tʰɛu1	tʰɛu1	
搜	sɔ1	sɛu1	sau5	
周	tɕieu1	tɕiou1	tɕieu1	
帚	tɕieu3	tɕiou3	tɕieu3	
咒	tɕieu5	tsɛu5	tɕieu5	
臭	tsʰɔ5	tsʰau5	tsʰau5	
手	tɕʰieu3	tɕʰiou3	tɕʰieu3	
受	ʑieu6	ɕiou6	ɕieu6	
阄	tɕiɑu1	tɕiou1	kʰieu1	
九	kɔ3	kau3	kau3	
丘	tɕʰiɑu1	kʰiou1	kʰieu1	
舅	gu6	ku6	ku6	
舅	dʑiɑu6	tɕiou6	kieu6	
旧	dʑiɑu6	ku6	ku6	
牛	ŋ̍2	ŋ̍2	ŋu2	
饵	l̩6			
牛	ŋɑu2			
休	ɕiɑu3	ɕiou1	ɕieu1	
有	vu6	vu6	u6	
有	iɑu3	iou3	ieu3	
油	iɑu2	iou2	ieu2	
酉	iɑu3	iou3	ieu3	
幽	iɑu1	iou1	ieu1	
贪	tʰø1	tʰã1	tʰaŋ1	
潭	de2	tʰã2	tʰaŋ2	
谭	de2	tʰã2	tʰaŋ2	
南	nei2	nã2	naŋ2	
男	nei2		naŋ2	
簪	tsai1	tsã1	tsaŋ1	
蚕	ze2	tɕʰi2	tɕʰiɛŋ2	
㔶	ke3	kã3	kaŋ3	盖子
感	ke3			
磡	kʰø1	kʰã1	kʰaŋ5	
含	ge2	kã2	kaŋ2	
含	e2	hã2	haŋ2	
庵	e1	ã1	aŋ1	
暗	e5	ã5	aŋ5	
踏	dəʔ8	tɛʔ8	taʔ8	
纳	nəʔ8	nɛʔ8	naʔ8	
杂	zəʔ8	sɛʔ8	tsaʔ8	
鸽	kəʔ7	kɛʔ7	kaʔ7	
合	ha6			
盒	ha6	hɛʔ8	haʔ8	
胆	te3	tã3	taŋ3	
担	te5	tã5	taŋ5	名
谈		tã2	taŋ2	
痰		tã2	taŋ2	
淡	de6	tã6	taŋ2	
篮	le2	lã2	laŋ2	
兰	le2	lã2	laŋ2	
栏	le2	lã2	laŋ2	
三	se1	sã1	saŋ1	
甘	ke1	kã1	kaŋ1	
敢	ke3	kã3	kaŋ3	
塔	tʰəʔ7	tʰɛʔ7	tʰaʔ7	
答	təʔ7	tɛʔ7	taʔ7	
搭		tɛʔ7	taʔ7	
蜡	ləʔ8	lɛʔ8	laʔ8	
磕	kʰəʔ7	kʰueʔ7		
斩	tse3	tsã3	tsaŋ3	
蘸	tse5	tsã5		
减	kai3	kɛ̃3	kɛŋ3	
鹹	e2	kɛ̃2	kɛŋ2	~淡
函	e2			
嫌	ai2			
插	tsʰəʔ7	tsʰɛʔ7	tsʰaʔ7	
煠		sɛʔ8	saʔ8	煮
狭	a6	ɛʔ8	ɛʔ8	
衫	se1	sã1	saŋ1	
甲	kəʔ7	kɛʔ7	kaʔ7	
鸭	a3	ɛʔ7	aʔ7	
押	a3			
压	a3			
帘	li2	li2	liɛŋ2	
尖	tɕi1	tɕi1	tɕiɛŋ1	
染	ȵi3	ȵi3	ȵiɛŋ3	
钳	dʑi2	tɕʰi2	kʰiɛŋ2	
验	ȵi6	ȵi6	ȵiɛŋ6	
厌	i5	i5	iɛŋ5	
盐	i2	i2	iɛŋ2	名
盐		ɕi5	ɕiɛŋ5	腌
聂	ȵiəʔ8	ȵiɛʔ7	ȵiɛʔ7	
猎	ləʔ8	liɛʔ8	liɛʔ8	
接	tɕiəʔ7	tɕɛʔ7	tɕiɛʔ7	
涉	ʑiəʔ8	ɕiɛʔ8	ɕiaʔ8	
葉	iəʔ8			叶子
欠	tɕʰi5	tɕʰi5	kʰiɛŋ5	
严	ȵi2	ȵi2	ȵiɛŋ2	
劫	tɕiəʔ7	tɕiɛʔ7	tɕiɛʔ7	
业	ȵiəʔ8	ȵiɛʔ8	ȵiɛʔ8	
店	tai5	tɛ̃5	tɛŋ5	
添	tʰi1	tʰi1	tʰiɛŋ1	
添	tʰai1			
甜	dai2	tɛ̃2	tɛŋ2	
念	nai6	nɛ̃6	nɛŋ6	
念	ȵi6			
兼	tɕi1	tɕi1	kʰiɛŋ1	
跌	tʰiəʔ7			
贴	tʰəʔ7	tʰɛʔ7	tʰɛʔ7	
帖	tʰəʔ7	tʰɛʔ7	tʰɛʔ7	
叠	dəʔ8	tʰɛʔ8	tʰɛʔ8	
挟	kəʔ7		kiaʔ7	~菜
范	ve3	fã6	huaŋ6	姓
法	fəʔ7	fɛʔ7	huaʔ7	
品	pʰieŋ3	pʰeŋ3	pʰieŋ3	
林	lieŋ2	leŋ2	lieŋ2	
浸	tɕʰieŋ5	tɕieŋ5	tɕieŋ5	
簟	dai6	tɛ̃6	tɛŋ6	
心	ɕieŋ1	ɕieŋ1	seŋ1	
寻	ʑieŋ2	ɕyŋ2	ɕyŋ2	
沉	dʑieŋ2	teŋ2	tieŋ2	
参	sai1	sɛ̃1	sɛŋ1	人~
参		seŋ1		人~
针	tsai1	tsɛ̃1	tsɛŋ1	
深	tɕʰieŋ1	tɕʰieŋ1	tɕʰieŋ1	
任	ȵieŋ6		ȵieŋ6	姓
金	tɕieŋ1	tɕieŋ1	kieŋ1	
琴	dʑieŋ2	tɕieŋ2	kʰieŋ2	
音	ieŋ1	ieŋ1	ieŋ1	
粒	ləʔ8	lɛʔ8	laʔ8	
习	zəʔ8	ɕieʔ8	seʔ8	
涩	səʔ7	seʔ7	sɛʔ7	
汁	tɕəʔ7	tsɛʔ7	tsɛʔ7	
十	zəʔ8	sɛʔ8	sɛʔ8	
急	tɕiəʔ7	ɕieʔ7	keʔ7	
吸	ɕiəʔ7	ɕieʔ7	keʔ7	
单	te1	tã1	taŋ1	简~
旦	te5	tã5		
摊	tʰe1	tʰã1	tʰaŋ1	
滩	tʰe1	tʰã1	tʰaŋ1	
炭	tʰe5	tʰã5	tʰaŋ5	
难	ne2	nã2	naŋ2	形
拦	le2	lã2	laŋ2	
烂	le6	lã6	laŋ6	
赞	tse5			
伞	se3	sã3	saŋ3	
肝	ke1	kã1	kaŋ1	
岸	ŋe6	ŋiã6	ŋaŋ6	
汉	he5	hã3	haŋ5	
旱	he6			
寒	e2	hã2	haŋ2	
寒	ge2	kã2	kaŋ2	冷
汗	ge6	kã6	kaŋ6	
安	e1	ã1	aŋ1	
达	dəʔ8	tɛʔ8	taʔ8	
辣	ləʔ8	lɛʔ8	laʔ8	
擦	tsʰəʔ7	tsʰɛʔ7	tsʰaʔ7	
萨	səʔ7	sɛʔ7	saʔ7	
割	kəʔ7	kɛʔ7	kaʔ7	
葛	kəʔ7	kɛʔ7	kaʔ7	
渴	kʰəʔ7	kʰɛʔ7	kʰaʔ7	
办	bai6	pɛ̃6	pɛŋ6	
盏	tse3	tsã3	tsaŋ3	
山	se1	sã1	saŋ1	
产	tsʰe3	sã3	saŋ3	
产	tsʰa3			
间	kai1	kã1	kaŋ1	房~
间		kɛ̃1	kɛŋ1	
眼	ŋai3	ŋɛ̃6	ŋɛŋ3	
限	hai6	hɛ̃6	hɛŋ6	
限	e6			
八	pəʔ7	pɛʔ7	pɛʔ7	
拔	bəʔ8	pɛʔ8	pɛʔ8	
杀	səʔ7	sɛʔ7	saʔ7	
板	pai3	pɛ̃3	pɛŋ3	
版	pai3	pɛ̃3	pɛŋ3	
办	bai6	pɛ̃6	pɛŋ6	
片		pɛ̃2	paŋ2	
慢	mai6	mɛ̃6	mɛŋ6	
栈	dze6	tsã6		
奸	ke1	kã1	kaŋ1	
奸	ka1			
颜	ŋe2	ŋiã2	ŋaŋ2	
颜	ŋa2			
铡	dzəʔ8	tsɛʔ8	tsaʔ8	
铡	zəʔ8			
鞭	pi1	pi1	piɛŋ1	
变	pi5	pi5	piɛŋ5	
篇	pʰi1	pʰi1	pʰiɛŋ1	
便	bi6	pi6	piɛŋ6	方~
面	mieŋ5	meŋ5	mieŋ5	脸
连	li2	li2	liɛŋ2	
剪	tsai3	tsɛ̃3	tsɛŋ3	
箭	tɕi5	tɕi5	tɕiɛŋ5	
浅	tɕʰi3	tɕʰi3	tɕʰiɛŋ3	
癣	ɕi3	tɕʰi3	tɕʰiaŋ3	
线	ɕi5	ɕi5	ɕiɛŋ5	
缠	di2	ti2	tiɛŋ2	~脚
缠	dʑi2			
战	tɕi5	tɕi5	tɕiɛŋ5	
扇	ɕi5	ɕi5	ɕiɛŋ1	名
扇			ɕiaŋ5	动
鳝		ɕi6	ɕiɛŋ6	
件	dʑi6	tɕi6	kyɛŋ6	
延	i2	i2	iɛŋ2	
鳖	piəʔ7	piɛʔ7	piɛʔ7	
别	bəʔ8	piɛʔ8	piɛʔ8	~人
灭	miəʔ8	miɛʔ8	miɛʔ8	
薛	ɕiəʔ7	ɕyɛʔ7	ɕyɛʔ7	
撤		tsʰɛ7		
浙	tɕiəʔ7	tɕiɛʔ7	tɕiɛʔ7	
舌	ʑiəʔ8	ɕiɛʔ8	ɕiɛʔ8	
舌	iəʔ8			
折	ʑiəʔ8	ɕiɛʔ8	ɕiɛʔ8	亏本
热	ȵiəʔ8	ȵiɛʔ8	ȵiɛʔ8	
杰	dʑiəʔ8	tɕiɛʔ8	kiɛʔ8	
建	tɕi5	tɕi5	kyɛŋ5	
言	ȵi2	ȵi2	ȵiɛŋ2	
轩	ɕi1			
献	ɕi5	ɕi5	ɕiɛŋ5	
揭	tɕʰiəʔ7	tɕiɛʔ7	kʰiɛʔ7	
