傳教士拼音			IPA		今音	1890會城話《主禱文》								1890瀧水話《主禱文》					
A					今音	ŋɔk21kɛ23fu32tsɔɪ32tʰin/hin23卬個父在天								ŋɔɪ21/23kɛ23fu32tsɔɪ32hin32卬個父在天					
	Á	吖	ʔ	a	ʔɑ	ŋin32nei23kɛ23mɪɛŋ22hɐɪ32ʃɪŋ23願你個名系聖								ŋun32nei23kɛ23mɪɛŋ22hɐɪ32ʃɪŋ23願你個名系聖					
T	at	枳	t	ɐt	tsɑt	pʰ				怕		婆	批		皮	賠		漂	
Ch	at	枳	tʃ	ɐt	tsɑt	s						鎖	西		*	顋		宵	三
Ch	át	札	tʃ	at	tsɑt	t				打		多	低		地	代		丢	淡
Ch'	át	察	tʃʰ	at	tsʰɑt	tʃ		治		揸		阻	製				追		斬
Ch	áu	籕	tʃ	aʊ	tsɑw	tʃʰ		痴		茶	池	初	差				吹	超	杉
Ch	áu	爪	tʃ	aʊ	tsɑw	tʰ													
Ch'	áu	炒	tʃʰ	aʊ	tsʰɑw	ts						左		劑		宰		椒	簪
Ch'	e	池	tʃʰ	ɛ	tsʰi	tsʰ						錯		妻		才	取	鍫	參
Ch	em	針	tʃ	ɛm	tsɜm	w			惡	話		窩	壞	圍	*		囘		
Ch'	em	沈	tʃʰ	ɛm	tsʰɜm	ʔ		*		吖		阿	屭			愛			唵
Ch'	en	塵	tʃʰ	ɛn	tsʰɜn														
Ch	ep	摺	tʃ	ɛp	tsip														
Ch	et	浙	tʃ	ɛt	tsit														
Ch	eu	朝	tʃ	ɛʊ	tsiw														
Ch'	eu	綢	tʃʰ	ɛʊ	tsʰɜw	韻	at	ɐt	ɔt	it	ut	ak	ɐk	ik	ɔk	ʊk	ɔɐt	ɐɔ	aʊ
Ch'	eu	甎	tʃʰ	ɛʊ	tsʰɜw	ʃ				失	術	𢱢		色	敕	叔			哨
Ch	í	治	tʃ	i	tsi	f	法					拂			矍	福			浮
Ch	í	朱	tʃ	i	tsi	h	核	乞		歇		客	黑		學	哭			口
Ch'	í	痴	tʃʰ	i	tsʰi	hʰ													
Ch	íá	遮	tʃ	ia	tsjɛ	j		*		一				益		欲			
Ch'	íá	車	tʃʰ	ia	tsʰjɛ	k	甴			潔	葛	革		極	各	穀			溝
Ch'	iak	尺	tʃʰ	ɪɐk	tsʰjɐk	kʰ				揭			喀	隙	確	曲			摳
Ch'	iak	赤	tʃʰ	ɪɐk	tsʰjɐk	kw													
Ch	ím	㮳	tʃ	im	tsɜm	kʷ	刮	括		𠵯	骨								
Ch	ím	占	tʃ	im	tsim	kʷʰ													
Ch	ím	浸	tʃ	im	tsɜm	l	辢		捋	列	律	刖		力	樂	六			樓
Ch'	ím	諂	tʃʰ	im	tsʰim	m	*	乜		烕	沒	擘	墨		漠	木			謀
Ch	ín	陣	tʃ	in	tsɜn	mʷ		*			*								
Ch	ín	陣	tʃ	in	tsin	n								溺	諾			*	錨
Ch'	ín	廛	tʃʰ	in	tsʰɜn	ŋ	兀			*	月	額	阨		樂	玉			牛
Ch	ing	正	tʃ	ɪŋ	tsejŋ	p	八			必		伯	北	偪	博	卜	鉢		包
Ch'	ing	秤	tʃʰ	ɪŋ	tsʰejŋ	pʰ				撇		拍		闢	扑	仆			炮
Ch	íp	汁	tʃ	ip	tsɜp	s	撒			洩	恤	塞		息	索	宿			
Ch	ít	質	tʃ	it	tsɜt	t	笪	枳		跌	凸	得	得	敵	度				
Ch'	íú	超	tʃʰ	iu	tsʰiw	tʃ	札	枳		質		窄				竹			籕
Ch	o	阻	tʃ	ɔ	tsuɔ	tʃʰ	察				出	測				畜			炒
Ch'	o	初	tʃʰ	ɔ	tsʰuɔ	tʰ													
Ch	ök	著	tʃ	œk	tsjøk	ts				節	卒		則	卽	作	足			
Ch'	ök	卓	tʃʰ	œk	tsʰjøk	tsʰ	擦			切	捽	賊			錯	促			
Ch	ong	壯	tʃ	ɔŋ	tsɔŋ	w	滑	欝			欝	或			鑊				
Ch'	ong	瘡	tʃʰ	ɔŋ	tsʰɔŋ	ʔ	扼	扼				握			惡	屋			區
Ch	öng	丈	tʃ	œŋ	tsjøŋ														
Ch'	öng	昌	tʃʰ	œŋ	tsʰjøŋ														
Ch	úí	追	tʃ	ui	tsuj														
Ch'	uí	廚	tʃʰ	ʊi	tsʰuj														
Ch'	úí	吹	tʃʰ	ui	tsʰuj	韻	iɐŋ	iʊ	o	œ	œk	œŋ	om	on	ot	ʊi	uk	ʊn	uŋ
Ch	uk	竹	tʃ	ʊk	tsək	ʃ	聲		數		汋	常						順	
Ch'	uk	畜	tʃʰ	ʊk	tsʰək	f													風
Ch	ún	準	tʃ	un	tsɜn	h			好	*		香	含		脫	墟			
Ch'	ún	春	tʃʰ	un	tsʰɜn	hʰ													
Ch'	ún	串	tʃʰ	un	tsʰin	j					約	羊				銳			
Ch	ung	中	tʃ	ʊŋ	tsəŋ	k			高		腳								
Ch'	ung	蟲	tʃʰ	ʊŋ	tsʰəŋ	kʰ					卻	薑							
Ch'	út	出	tʃʰ	ut	tsʰɜt	kw													
F						kʷ													
F	á	花	f	a	fɑ	kʷʰ													
F	áí	塊	f	ai	fɑj	l			路		略	凉				雷			
F	ák	拂	f	ak	fɑk	m	名	棉	母										
F	án	凡	f	an	fɑn	mʷ													
F	áng	捹	f	aŋ	fɑŋ/ʋɑŋ	n			奴			娘							
F	áng	宏	f	aŋ	fɑŋ/ʋɑŋ	ŋ			摮					岸					
F	át	法	f	at	fɑt	p			煲				㯁	*					
F	áu	浮	f	aʊ	fɑw	pʰ			鋪										
F	éí	非	f	ei	fej	s	星		鬚		削	想				歲			
F	et	闊	f	ɛt	fut	t			刀						奪	堆	督	墩	
F	o	火	f	ɔ	fuɔ	tʃ					著	丈							
F	ok	矍	f	ɔk	fɔk	tʃʰ					卓	昌				廚			
F	ong	方	f	ɔŋ	fɔŋ	tʰ										退			
F	ú	父	f	u	fu	ts			租		雀	將				序			
F	úí	費	f	ui	fej	tsʰ			粗			祥							
F	úí	灰	f	ui	fuj	w													
F	uk	福	f	ʊk	fək	ʔ		*	澳										
F	ún	分	f	un	fɜn														
F	ún	寬	f	un	fun														
F	úng	風	f	uŋ	fəŋ														
F	úng	𩗴	f	uŋ	fəŋ														
H																			
H	á	下	h	a	hɑ														
H	á	他	h	a	hɑ														
H	aí	係	h	ɐi	hɑj														
H	áí	鞋	h	ai	hɑj														
H	áí	啼	h	ai	hɑj														
H	áí	太	h	ai	hɑj														
H	ak	黑	h	ɐk	hɑk														
H	ák	客	h	ak	hɑk														
H	ám	咸	h	am	hɑm														
H	ám	氹	h	am	hɑm														
H	ám	貪	h	am	hɑm														
H	an	恨	h	ɐn	hɜn														
H	án	閒	h	an	hɑn														
H	án	莧	h	an	hɑn														
H	án	炭	h	an	hɑn														
H	áng	亨	h	aŋ	hɑŋ														
H	áng	坑	h	aŋ	hɑŋ														
H	áng	藤	h	aŋ	hɑŋ														
H	ap	恰	h	ɐp	hɑp														
H	áp	峽	h	ap	hɑp														
H	áp	合	h	ap	hɑp														
H	áp	搭	h	ap	hɑp														
H	at	乞	h	ɐt	hɜt														
H	át	核	h	at	hɑt														
H	át	撻	h	at	hɑt														
H	áu	口	h	aʊ	hɑw														
H	áu	考	h	aʊ	hɑw														
H	áu	偷	h	aʊ	hɑw														
H	áu	逃	h	aʊ	hɑw														
H	e	靴	h	ɛ	hjɛ														
H	eng	㕔	h	ɛŋ	hjɐŋ														
H	öng	香	h	œŋ	hjøŋ														
H	éí	喜	h	ei	hej														
H	iak	喫	h	ɪɐk	hjɐk														
H	ím	欠	h	im	him														
H	ím	添	h	im	him														
H	ín	顯	h	in	hin														
H	ín	天	h	in	hin														
H	ing	兄	h	ɪŋ	hejŋ														
H	íp	協	h	ip	hip														
H	íp	帖	h	ip	hip														
H'	íp	*	hʰ	ip															
H	ít	歇	h	it	hit														
H	ít	鐵	h	it	hit														
H	íú	曉	h	iu	hiu														
H	íú	條	h	iu	hiu														
H	o	何	h	ɔ	huɔ														
H	o	拕	h	ɔ	huɔ														
H	ò	好	h	o	how														
H	ò	圖	h	o	hɜw														
H	ö	*	h	œ															
H	oí	開	h	ɔi	huj														
H	oí	胎	h	ɔi	huj														
H	ok	學	h	ɔk	hɔk														
H	ok	托	h	ɔk	hɔk														
H	òm	含	h	om	hɑm														
H	on	看	h	ɔn	hun														
H	on	團	h	ɔn	hin														
H	ong	行	h	ɔŋ	hɔŋ														
H	ong	湯	h	ɔŋ	hɔŋ														
H	òt	脫	h	ot	hut														
H	òt	喝	h	ot	hut														
H	uí	墟	h	ʊi	huj														
H	uk	哭	h	ʊk	hək														
H	uk	禿	h	ʊk	hək														
H	ún	犬	h	un	hin														
H	ún	吞	h	un	hɜn														
H	ún	𣎀	h	un	hɜn														
H	ung	兇	h	ʊŋ	həŋ														
H	üt	血	h	yt	hit														
I																			
	Í	*	ʔ	i															
	Íp	*	ʔ	ip															
	Íu	*	ʔ	iʊ															
K																			
K	á	加	k	a	kɑ														
K'	á	誇	kʰ	a	kʰuɑ														
K	aí	個	k	ɐi	kuɔ														
K'	aí	啟	kʰ	ɐi	kʰɑj														
K	áí	鷄	k	ai	kɑh														
K	áí	皆	k	ai	kɑh														
K'	áí	𢬿	kʰ	ai	hɑjʔ														
K'	ak	喀	kʰ	ɐk	kʰɑk?														
K	ák	革	k	ak	kɑk														
K	ák	摑	k	ak	kɑk														
K'	am	𠹸	kʰ	ɐm	kʰɜm														
K	ám	監	k	am	kɑm														
K	an	*	k	ɐn															
K	án	奸	k	an	kɑn														
K	áng	更	k	aŋ	kɑŋ														
K	áng	耕	k	aŋ	kɑŋ														
K'	áng	掯	kʰ	aŋ	kʰɑŋ														
K'	áng	逛	kʰ	aŋ	kuɑŋ														
K	áp	夾	k	ap	kɑp														
K	áp	合	k	ap	hɑp														
K'	áp	*	kʰ	ap															
K	át	甴	k	at	kɑt														
K	áu	溝	k	aʊ	kɑw														
K	áu	溝	k	aʊ	kɑw														
K'	áu	摳	kʰ	aʊ	kʰɑw														
K	éí	基	k	ei	kej														
K'	éí	其	kʰ	ei	kʰej														
K	em	金	k	ɛm	kɜm														
K'	em	琴	kʰ	ɛm	kʰɜm														
K	en	巾	k	ɛn	kɜn														
K'	en	勤	kʰ	ɛn	kʰɜn														
K	eng	薑	k	ɛŋ	kjøŋ														
K	ep	急	k	ɛp	kɜp														
K'	ep	汲	kʰ	ɛp	kʰɜp														
K	et	吉	k	ɛt	kɜt														
K'	et	咳	kʰ	ɛt	kʰɜt														
K	eu	九	k	ɛʊ	kɜw														
K	ia	茄	k	ɪɐ	kʰjɛ														
K	iak	屐	k	ɪɐk	kʰjɐk														
K	ik	極	k	ɪk	kejk														
K'	ik	隙	kʰ	ɪk	kʰuejk														
K	ím	劍	k	im	kim														
K'	ím	箝	kʰ	im	kʰim														
K	ín	見	k	in	kin														
K	ín	君	k	in	kuen														
K'	ín	㨴	kʰ	in	kʰin														
K'	ín	拳	kʰ	in	kʰin														
K	ing	京	k	ɪŋ	kejŋ														
K	íp	及	k	ip	kʰɜp														
K	íp	刦	k	ip	kip														
K	ít	潔	k	it	kit														
K'	ít	揭	kʰ	it	kʰit														
K'	ít	厥	kʰ	it	kʰit														
K	íú	轎	k	iu	kiw														
K'	íú	橋	kʰ	iu	kʰiw														
K	o	哥	k	ɔ	kuɔ														
K	o	過	k	ɔ	kuɔ														
K	ò	高	k	o	kow														
K	oí	該	k	ɔi	kuj														
K	oí	個	k	ɔi	kuɔ														
K'	oí	蓋	kʰ	ɔi	kʰuj														
K	ok	各	k	ɔk	kɔk														
K	ok	割	k	ɔk	kɔk														
K	ok	國	k	ɔk	kɔk														
K	ök	腳	k	œk	kjøk														
K'	ok	確	kʰ	ɔk	kʰɔk														
K'	ök	卻	kʰ	œk	kʰjøk														
K	om	柑	k	ɔm	kɑm														
K	on	乾	k	ɔn	kun														
K	ong	江	k	ɔŋ	kɔŋ														
K	ong	光	k	ɔŋ	kɔŋ														
K'	ong	*	kʰ	ɔŋ															
K'	öng	薑	kʰ	œŋ	kjøŋ														
K	uk	穀	k	ʊk	kək														
K'	uk	曲	kʰ	ʊk	kʰək														
K	ung	工	k	ʊŋ	kəŋ														
K'	ung	窮	kʰ	ʊŋ	kʰəŋ														
K	út	葛	k	ut	kut														
Kw	á	瓜	kʷ	a	kuɑ														
K'w	á	*	kʷʰ	a															
Kw	aí	鬼	kʷ	ɐi	kuej														
Kw	áí	乖	kʷ	ai	kuɑj														
K'w	an	羣	kʷʰ	ɐn	kʰuen														
Kw	án	關	kʷ	an	kuɑn														
Kw	áng	轟	kʷ	aŋ	kuɑŋ														
Kw	at	括	kʷ	ɐt	kʰut														
Kw	át	刮	kʷ	at	kuɑt														
Kw	ing	冂	kʷ	ɪŋ	kejŋ														
Kw	it	𠵯	kʷ	it	kejk														
K'w	ong	狂	kʷʰ	ɔŋ	kʰɔŋ														
Kw	ú	古	kʷ	u	ku														
K'w	ú	軲	kʷʰ	u	kʰu														
Kw	úí	居	kʷ	ui	kuj														
Kw	úí	癐	kʷ	ui	kuj														
Kw	úí	龜	kʷ	ui	kuej														
K'w	úí	區	kʷʰ	ui	kʰuj														
K'w	úí	規	kʷʰ	ui	kʰuej														
Kw	ún	卷	kʷ	un	kin														
Kw	ún	官	kʷ	un	kun														
K'w	ún	*	kʷʰ	un															
Kw	út	骨	kʷ	ut	kuet														
L																			
L	á	罅	l	a	lɑ														
L	áí	犂	l	ai	lɑj														
L	áí	拉	l	ai	lɑj														
L	ák	刖	l	ak	lɑk														
L	ám	藍	l	am	lɑm														
L	án	欄	l	an	lɑn														
L	áng	冷	l	aŋ	lɑŋ														
L	áp	笠	l	ap	lɑp														
L	át	辢	l	at	lɑt														
L	áu	樓	l	aʊ	lɑw														
L	áu	橩	l	aʊ	lɑw														
L	e	哩	l	ɛ	liɛ														
L	éí	梨	l	ei	lej														
L	em	林	l	ɛm	lɜm														
L	en	鄰	l	ɛn	lɜn														
L	ep	*	l	ɛp															
L	et	甪	l	ɛt	lɜt														
L	ik	力	l	ɪk	lejk														
L	ím	廉	l	im	lim														
L	ín	連	l	in	lin														
L	ing	靈	l	ɪŋ	lejŋ														
L	íp	立	l	ip	lɜp														
L	íp	擸	l	ip	lɜp														
L	íp	獵	l	ip	lip														
L	ít	列	l	it	lit														
L	íú	了	l	iu	liw														
L	o	羅	l	ɔ	luɔ														
L	ò	路	l	o	lɜw														
L	ò	𦧲	l	o	liɛ														
L	oí	來	l	ɔi	luj														
L	ok	樂	l	ɔk	lɔk														
L	ök	略	l	œk	ljøk														
L	on	*	l	ɔn															
L	öng	凉	l	œŋ	ljøŋ														
L	ot	捋	l	ɔt	lut														
L	uí	雷	l	ʊi	luj														
L	úí	*	l	ui															
L	uk	六	l	ʊk	lək														
L	ún	論	l	un	lɜn														
L	ún	撚	l	un	lɜn														
L	ün	聯	l	yn	lun														
L	ung	龍	l	ʊŋ	ləŋ														
L	út	律	l	ut	lɜt														
M																			
M		唔	m		m														
M	á	馬	m	a	mɑ														
M	á	咩	m	a	mɑ														
M	áí	米	m	ai	mɑj														
M	áí	賣	m	ai	mɑj														
M	ak	墨	m	ɐk	mɑk														
M	ák	擘	m	ak	mɑk														
M	an	民	m	ɐn	mɜn														
M	án	萬	m	an	mɑn														
M	áng	擝	m	aŋ	mɑŋ														
M	áng	盲	m	aŋ	mɑŋ														
M	at	乜	m	ɐt	mɜt														
M	át	*	m	at															
M	áu	謀	m	aʊ	mɑw														
M	áu	茅	m	aʊ	mɑw														
M	éí	㖇	m	ei															
M	et	覓	m	ɛt	mɜt														
M	í	*	m	i															
M	íang	名	m	iɐŋ	mjɐŋ														
M	íu	棉	m	iʊ	min														
M	ing	明	m	ɪŋ	mejŋ														
M	ít	烕	m	it	mit														
M	íú	苗	m	iu	miw														
M	o	摩	m	ɔ	muɔ														
M	ò	母	m	o	mɜw														
M	oí	妹	m	ɔi	muj														
M	ok	漠	m	ɔk	mɔk														
M	on	門	m	ɔn	mun														
M	ong	亡	m	ɔŋ	mɔŋ														
M	uk	木	m	ʊk	mək														
M	ung	夢	m	ʊŋ	məŋ														
M	út	沒	m	ut	mut														
M	út	抹	m	ut	mut														
Mw	at	*	mʷ	ɐt															
Mw	út	*	mʷ	ut															
N																			
N	á	拏	n	a	nɑ														
N	áí	泥	n	ai	nɑj														
N	áí	奶	n	ai	nɑj														
N	ám	男	n	am	nɑm														
N	án	難	n	an	nɑn														
N	áng	能	n	aŋ	nɑŋ														
N	ao	*	n	ɐɔ															
N	áp	納	n	ap	nɑp														
N	áu	錨	n	aʊ	mɑw														
N	éí	你	n	ei	nej														
N	ek	*	n	ɛk	njɐk														
N	em	腍	n	ɛm	nɜm														
N	eng	𠽒	n	ɛŋ															
N	ep	粒	n	ɛp	nɜp														
N	eu	*	n	ɛʊ															
Ng		五	ŋ		m														
Ng	á	牙	ŋ	a	ŋɑ														
Ng	aí	*	ŋ	ɐi	ŋuɔ														
Ng	áí	蟻	ŋ	ai	ŋɑj														
Ng	áí	崖	ŋ	ai	ŋɑj														
Ng	ak	阨	ŋ	ɐk	ŋɑk														
Ng	ák	額	ŋ	ak	ŋɑk														
Ng	ám	唅	ŋ	am	ŋɑm														
Ng	ám	啱	ŋ	am	ŋɑm														
Ng	ám	硬	ŋ	am	ŋɑŋ														
Ng	án	銀	ŋ	an	ŋɑn														
Ng	án	眼	ŋ	an	ŋɑn														
Ng	áp	𡀞	ŋ	ap	ŋɑp														
Ng	áp	𫫄	ŋ	ap	ŋɑp														
Ng	át	兀	ŋ	at	ŋɑt														
Ng	át	齧	ŋ	at	ŋɑt														
Ng	áu	牛	ŋ	aʊ	ŋɑw														
Ng	áu	咬	ŋ	aʊ	ŋɑw														
Ng	em	飲	ŋ	ɛm	ŋɜm														
Ng	et	*	ŋ	ɛt	ŋɜt														
Ng	í	𠼮	ŋ	i	ŋi														
Ng	íá	𫫃	ŋ	ia															
Ng	ín	元	ŋ	in	jin														
Ng	ín	人	ŋ	in	ŋɜn														
Ng	ín	仁	ŋ	in	ŋɜn														
Ng	ít	*	ŋ	it															
Ng	o	鵝	ŋ	ɔ	ŋuɔ														
Ng	ò	摮	ŋ	o	ŋɜw														
Ng	oí	呆	ŋ	ɔi	ŋuj														
Ng	ok	樂	ŋ	ɔk	ŋɔk														
Ng	òn	岸	ŋ	on	ŋun														
Ng	òn	閏	ŋ	on	ŋun														
Ng	ong	戇	ŋ	ɔŋ	ŋɔŋ														
Ng	úí	愚	ŋ	ui	ŋi														
Ng	úí	魚	ŋ	ui	ŋi														
Ng	uk	玉	ŋ	ʊk	ŋək														
Ng	ún	*	ŋ	un															
Ng	út	月	ŋ	ut	ŋit														
N	ik	溺	n	ɪk	nejk														
N	ím	念	n	im	nim														
N	ín	年	n	in	nin														
N	ing	擰	n	ɪŋ	nejŋ														
N	íp	聶	n	ip	nip														
N	íú	鳥	n	iu	niw														
N	íú	嬲	n	iu	niw														
N	o	糯	n	ɔ	nuɔ														
N	ò	奴	n	o	nɜw														
N	ò	怒	n	o	nɜw														
N	oan	暖	n	ɔɐn	nun														
N	oen	暖	n	ɔɛn	nun														
N	oí	耐	n	ɔi	nuj														
N	ok	諾	n	ɔk	nɔk														
N	ong	浪	n	ɔŋ	nɔŋ														
N	ong	囊	n	ɔŋ	nɔŋ														
N	öng	娘	n	œŋ	njøŋ														
N	úí	女	n	ui	nuj														
N	ung	燶	n	ʊŋ	nəŋ														
O																			
	O	阿	ʔ	ɔ	ʔuɔ														
	Ò	澳	ʔ	o	ʔow														
	Oí	愛	ʔ	ɔi	ʔuj														
	Ok	惡	ʔ	ɔk	ʔɔi														
	On	安	ʔ	ɔn	ʔun														
P																			
P	á	把	p	a	pɑ														
P'	á	怕	pʰ	a	pʰɑ														
P	áí	閉	p	ai	pɑj														
P	áí	拜	p	ai	pɑj														
P'	áí	批	pʰ	ai	pʰɑj														
P'	áí	牌	pʰ	ai	pʰɑj														
P	ak	北	p	ɐk	pɑk														
P	ák	伯	p	ak	pɑk														
P'	ák	拍	pʰ	ak	pʰɑk														
P'	an	貧	pʰ	ɐn	pʰɜn														
P	án	班	p	an	pɑn														
P'	án	攀	pʰ	an	pʰɑn														
P	áng	崩	p	aŋ	pɑŋ														
P	áng	㖓	p	aŋ	pɑŋ														
P'	áng	朋	pʰ	aŋ	pʰɑŋ														
P'	áng	棚	pʰ	aŋ	pʰɑŋ														
P	át	八	p	at	pɑt														
P	áu	包	p	aʊ	pɑw														
P'	áu	炮	pʰ	aʊ	pʰɑw														
P	e	啤	p	ɛ	pjɛ														
P	éí	俾	p	ei	pej														
P'	éí	皮	pʰ	ei	pʰej														
P	en	品	p	ɛn	pɜn														
P'	en	*	pʰ	ɛn	pʰɜn														
P	et	不	p	ɛt	pɜt														
P'	et	疋	pʰ	ɛt	pʰɜt														
p	ik	偪	p	ɪk	pejk														
P'	ik	闢	pʰ	ɪk	pʰejk														
P	ín	編	p	in	pʰin														
P'	ín	偏	pʰ	in	pʰin														
P	ing	兵	p	ɪŋ	pejŋ														
P'	ing	平	pʰ	ɪŋ	pʰejŋ														
P'	íeng	平	pʰ	iɛŋ	pʰjɐŋ														
P	ít	必	p	it	pit														
P'	ít	撇	pʰ	it	pʰit														
P	íú	票	p	iu	pʰiw														
P'	íú	漂	pʰ	iu	pʰiw														
P	o	波	p	ɔ	puɔ														
P'	o	婆	pʰ	ɔ	pʰuɔ														
P	ò	煲	p	o	pow														
P'	ò	鋪	pʰ	o	pʰɜw														
P	oat	鉢	p	ɔɐt	put														
P	oat	潑	p	ɔɐt	put														
P	oen	*	p	ɔɛn															
P	òn	*	p	on															
P	oí	杯	p	ɔi	puj														
P'	oí	賠	pʰ	ɔi	pʰuj														
P	ok	博	p	ɔk	pɔk														
P'	ok	扑	pʰ	ɔk	pʰɔk														
P	òm	㯁	p	om	?														
P	òm	搫	p	om	?														
P	oen	搫	p	ɔɛn	?														
P	ong	幇	p	ɔŋ	pɔŋ														
P'	ong	旁	pʰ	ɔŋ	pʰɔŋ														
P	uk	卜	p	ʊk	pək														
P'	uk	仆	pʰ	ʊk	pək														
P'	ún	盆	pʰ	un	pʰun														
P'	ung	篷	pʰ	ʊŋ	pʰəŋ														
S																			
S	áí	西	s	ai	sɑj														
S	áí	嘥	s	ai	sɑj														
S	ák	塞	s	ak	sɑk														
S	ám	三	s	am	sɑm														
S	án	散	s	an	sɑn														
S	ang	擤	s	ɐŋ	sɑŋ														
S	en	擤	s	ɛn	sɑŋ														
S	áng	*	s	aŋ															
S	áp	卅	s	ap	sɑp														
S	áp	咂	s	ap	sɑp														
S	áp	霎	s	ap	sɑp														
S	át	撒	s	at	sɑy														
S	éí	*	s	ei															
