#ɿ
ʦ[1]资咨姿雉兹滋[3]紫姊子梓滓[5]自字痔
m[1]魔摩摸[2]馍模{（〜子）}模{（〜样）}磨摹末沫莫膜寞陌{（新,〜生）}[5]磨{（名词）}
x[1]喝{（〜水）}喝{（〜采）}[2]何河荷和禾和{（〜面）}合盒豁活霍藿或惑获[3]火伙□{摘（果子）}[5]货祸
t[1]多[2]夺铎踱[3]躲[5]舵剁惰
tʰ[1]拖[2]驼驮{（指拿）}驮{（〜子）}脱托佗[3]妥椭唾
n[1]□{（形容人胖）}[2]挪诺[5]糯
l[1]啰[2]骡螺脶落烙骆洛络乐[3]裸卵[5]摞{（〜起来）}
ŋ[2]蛾鹅鄂讹[3]我[5]饿卧
k[1]哥歌锅戈蜗[2]蛤鸽割葛各阁搁胳郭廓角国[3]果裹[5]个过
kʰ[1]科[2]磕渴扩壳确瞌[3]可棵颗[5]课
ʦ[2]作凿昨祚着{（〜装）}着{（睡〜）}酌绰桌卓琢啄涿捉镯[3]左佐[5]坐座
ʦʰ[1]搓[2]戳撮[5]锉措错
s[1]蓑梭唆[2]勺芍朔[3]锁琐所[5]□{（形容人很傻）}
Ǿ[1]倭窝屙{（指排泄大小便）}[2]恶{（凶〜）}□{（形容人很凶）}

æ
p[3]□{（骂人的词语，指女人的阴部）}摆[5]拜稗
pʰ[2]排牌[3]派{（〜克）}[5]派
m[2]埋[3]买[5]卖
x[2]孩鞋[3]海蟹[5]亥害骇懈
t[1]呆[3]歹[5]待怠殆戴贷袋代带
tʰ[1]胎[2]台苔抬[5]态太泰
n[1]奶{（〜〜父亲的母亲）}[3]乃奶{（牛〜）}[5]耐奈
l[1]□{（〜瓜嘲讽人无能）}[2]来[5]赖癞㸊{~水：热水}[3]□{~kuæ53:差}
ŋ[1]哀[2]埃挨涯崖捱[3]霭矮[5]碍爱艾隘
k[1]该皆街[3]改解{（〜放）}[5]盖丐介界芥疥届戒械
kʰ[1]开[3]凯揩楷□{tsi21 ~:这里；na24~:那里；na53~:哪里}[5]概溉慨
ʦ[1]灾栽斋[3]宰[5]在再载{（〜重）}载{（〜满）}债
ʦʰ[1]猜钗差{（出〜）}[2]才材财裁豺柴[3]彩采[5]菜蔡
s[1]筛[3]腮鳃骰{（〜子）}[5]赛晒

ɔ
p[1]包胞[3]保堡宝饱[5]抱报暴鲍豹爆曝苞
pʰ[1]泡{（一~尿）}抛脬{（卵〜）}[2]袍刨跑[3]跑[5]炮泡{（〜沫）}镖
m[1]猫[2]毛茅矛[3]卯牡[5]冒帽貌
x[1]蒿[2]豪壕毫[3]好{（〜坏）}[5]号浩好{（爱〜）}耗
t[1]刀叨[3]祷岛倒{（打〜）}倒{（〜水）}导[5]道稻到盗
tʰ[1]滔涛[2]掏桃逃淘陶萄綯{绑捆，~鞋带；~人}[3]讨[5]套
n[3]脑恼[5]闹
l[2]捞{（〜钱：赚钱〉}劳唠牢捞{（打〜）}涝[3]老[5]□{（形容人打扮很骚包）}
ŋ[1]□{（打）}[2]熬[3]袄咬[5]傲奥澳懊坳
k[1]高膏篙羔糕[3]稿搞[5]告窖
kʰ[1]敲[3]考烤[5]靠犒
ʦ[1]遭糟朝{（今〜）}召昭招[3]早枣蚤澡爪沼笊[5]皂造灶赵兆照诏炸{（用油来炸食物）}
ʦʰ[1]操抄钞超[2]曹槽巢朝{（〜代）}潮[3]草吵炒[5]躁糙
s[1]骚臊烧[2]韶苕{（〜得,很能吃）}[3]扫{（〜地）}嫂少{（多少）}[5]扫{（扫把）}潲-绍少{（〜年）}邵
Ǿ[1]窝屙{（排泄大小便）}[2]沃

u
p[2]不[3]补[5]部簿怖步布佈
pʰ[1]铺{（〜设）}[2]蒲菩脯朴卜扑仆讣瀑[3]谱普浦甫脯辅[5]铺{（〜面）}
m[1]巫诬木目穆[3]母拇[5]幕牧
f[1]呼乎夫肤敷麸[2]胡湖狐壶俘孵符扶芙复忽佛缚福幅蝠腹覆服伏袱[3]府腑俯斧抚釜腐{（〜败）}[5]户沪屏护父付赋傅赴附妇负富副斛腐{（豆〜）}
t[1]都{（〜城）}都{（〜是）}[2]独读牍犊笃督毒[3]堵赌肚{（鱼〜）}[5]杜肚{（〜皮）}度渡镀
tʰ[2]徒图途涂屠突秃凸[3]土[5]吐兔
n[2]奴[3]努[5]怒
l[1]噜{（圆〜〜）}[2]卢炉芦鸠庐驴鹿禄六陆绿录[3]鲁撸虏滷卤[5]路赂露鹭
k[1]姑孤箍估[2]骨谷酷[3]古牯股鼓[5]故固锢雇顾
kʰ[1]枯[2]哭[3]苦[5]库裤
ʦ[1]租[2]猝浊族竹筑逐轴祝粥足烛触蜀[3]祖组阻[5]助
ʦʰ[1]粗初雏[2]促锄[3]楚础[5]醋
s[1]苏酥梳疏蔬[2]续宿{（星〜）}速肃宿{（住〜）}缩叔熟淑粟俗嘱赎束属[3]数{（动词）}[5]素诉塑漱
Ǿ[1]乌污坞[2]吴娱吾梧无物勿握屋[3]五午伍武舞侮鹉[5]误悟互恶务雾戊

y
x[1]墟虚圩[3]许
n[3]女
l[2]律率[3]旅吕缕屡履[5]虑滤
k[1]居车{（象棋的棋子）}驹拘[2]橘渠瞿[3]举矩[5]巨拒距据锯俱具句惧
kʰ[1]区驱拘[2]掘屈倔曲{（酒〜）}曲{（〜折）}菊鞠局[5]去=
ʦ[1]猪诸褚诛蛛株朱珠[3]煮主[5]聚拄住注驻
ʦʰ[1]蛆趋[2]除储厨出储徐[3]处{（相〜）}取娶[5]处{（到〜）}趣
s[1]书舒须需枢输[2]殊戍术述薯[3]暑鼠黍署[5]序绪叙絮庶恕竖树婿恤嗉
Ǿ[1]淤[2]如鱼渔于余儒愚虞娱迂盂榆逾入浴域[3]汝语与乳雨宇禹羽[5]御誉预豫吁愉愈遇寓芋喻裕疫役郁欲玉

əi
p[1]杯碑卑悲[5]贝倍辈背焙被{（〜子新）}
pʰ[1]胚坯[2]培赔陪裴[3]呸[5]沛配佩
m[1]糜{（形容食物被煮得很烂）}[2]梅枚媒煤[3]每美[5]妹昧寐没{（〜有）}
f[1]非飞妃[2]肥[3]匪翡[5]废肺吠排费
t[1]堆[3]兑{（从商贩手中买货物再转卖）}[5]对队兑
tʰ[1]推[2]颓[3]腿[5]退褪蜕
n[3]□{（形容事物小）}[5]内
l[1]□{（〜子指钱）}□{（指挤的动作）}[2]雷[3]儡累{（积〜）}垒[5]累{（劳〜）}类泪
k[1]□{（好〜指难看或者做事情不近人情）}[3]给
ʦ[3]嘴[5]罪最嘴
ʦʰ[1]催崔炊[2]随[5]脆翠粹
s[1]虽绥[3]髓[5]碎岁隧遂
z[3]蕊[5]锐芮

ou
p[1]褒□{（指蹲）}
pʰ[2]□{（指苍蝇叮食事物或者人围观某事，一般用于贬义）}
m[1]□{（指蹲）}[2]谋[3]亩某[5]贸茂
f[2]浮[3]否[5]阜埠
x[1]□{（指悄悄地、暗地里等待，一般用于贬义）}[2]侯喉[5]后厚候
t[1]兜逗{（指招惹）}抖斗{（筋〜、一〜米）}陡[3]斗{（〜争）}豆
tʰ[1]偷[2]头投[3]敨{（〜气指呼吸）}[5]透
l[1]搂{（〜取）}[2]楼[3]搂{（〜抱）}篓[5]漏陋
ŋ[1]欧瓯殴鸥[3]偶藕呕[5]怄沤
k[1]勾沟钩[2]□{（量词一〜石头）}□{（形容人身材高大但不灵活）}[3]狗苟枸[5]够
kʰ[1]抠[3]口{（开〜说话）}[5]扣叩
ʦ[1]邹周舟州洲[3]走肘[5]做奏纣昼宙皱咒就{（〜是）}
ʦʰ[1]抽[2]绸稠筹愁仇{（〜恨）}仇{（姓）}酬[3]丑[5]凑臭嗅骤
s[1]搜飕馊收[3]叟手守[5]嗽{（咳〜）}受瘦兽寿售

ia
x[1]虾[2]瑕遐霞暇狭峡瞎辖挟[5]厦{（高楼大〜）}厦{（〜门）}下夏
tʰ[3]□{（〜着鞋子,指没系好鞋子）}
n[1]□{（指用胶水粘起来）}
l[3]□{（〜开指衣服敞开）}[5]□{（指液体渗漏）}
ŋ[2]□{（发〜:指生气，发火）}
k[1]家加痂嘉傢佳[2]夹甲胛匣□{（形容水果味涩）}[3]假{（放〜）}假{（真〜）}贾架{（量词，一〜汽车）}[5]架{（书〜）}驾嫁稼价
kʰ[2]恰掐□{（量词，几〜步，指走路前后脚的距离）}
ʦʰ[2]洽{（融〜，〜谈）}
s[2]斜{（倾〜）}
Ǿ[1]鸦[2]芽牙衙砑鸭押压[3]雅哑[5]亚

iɛ
p[2]别鳖憋[3]□{（指粪便）}
pʰ[2]撇[3]□{（指调侃别人）}
m[2]蔑蔑灭
f[2]□{（形容人喜欢打扮，作风招摇）}
x[2]胁协歇蝎穴
t[1]爹[2]跌叠碟蝶谍[3]
tʰ[2]帖贴铁
n[2]聂镊蹑孽捏业
l[2]猎列烈裂劣
ŋ[3]惹
k[2]劫杰结洁
kʰ[2]茄揭
ʦ[1]遮[2]接捷折浙节截摺褶哲[3]姐者[5]这借蔗
ʦʰ[1]车[2]妾怯切彻撤辙笡{斜}[3]且扯[5]翅
s[1]赊畲{旱地}[2]摄涉舌设邪蛇[5]泻泄卸社谢麝赦解{（姓）}
Ǿ[1]耶[2]爷叶页热[3]也野惹[5]夜

iɔ
p[1]膘标彪[3]表
pʰ[1]漂{（〜流）}飘[2]瓢嫖[5]漂{（漂亮、漂白）}票
m[1]猫[2]苗瞄描[3]藐渺秒杳[5]庙妙
x[1]嚣侥[2]淆[3]晓{（〜得）}[5]校较{（比〜）}酵孝效
t[1]刁貂雕[3]屌[5]钓掉调{（〜动）}调{（音〜）}
tʰ[1]挑[2]条调{（〜和）}□{（指淘气地玩耍）}[3]斢{（交指换）}[5]跳调{（〜皮）}
n[1]□{（形容东西很黏）}[3]鸟[5]尿
l[1]撩[2]燎疗聊疗辽僚寥[3]了{（〜结）}[5]料廖
ŋ[2]□{（指为达到目的而纠缠某人）}
k[1]交郊胶教{（〜书）}骄娇浇矫[3]绞狡搅缴饺[5]教{（〜育）}觉{（睡〜）}轿叫
kʰ[2]约乔侨桥荞[3]巧[5]窍翘撬
ʦ[1]焦蕉椒[2]嚼[3]剿
ʦʰ[1]锹缲悄樵[2]瞧[5]俏
s[1]梢捎稍消销宵硝宵萧潇箫[3]小[5]笑鞘{（刀〜）}
Ǿ[1]妖邀腰要{（〜求）}幺{（指排行最小的）}吆[2]肴摇谣窑姚尧饶[3]扰绕尧舀[5]要{（重〜）}耀鹞

io
x[2]学
l[2]掠略
ŋ[2]弱虐疟
k[2]脚
kʰ[2]却觉{（〜得）}
ʦ[2]爵
ʦʰ[2]雀鹊
s[2]屑削
Ǿ[2]若约药钥跃岳{（五〜）}岳{（〜父）}乐{（音〜）}

iu
s[2]畜
Ǿ[2]肉育辱褥欲浴狱

iou
m[5]谬
x[1]休[3]朽
t[1]丢
n[1]扭{（指用手指来夹人的皮肉）}[3]纽扭{（〜动）}[5] □{（新派，形容有褶皱或皱纹）}
l[1]溜[2]流刘留榴硫琉[3]柳[5]馏溜{（形容说话流利）}
ŋ[2]牛[5]□{（形容有褶皱或皱纹）}
k[1]鸠[3]九久韭灸[5]臼舅咎救旧柩
kʰ[1]丘纠[2]求球
ʦ[3]酒[5]就
ʦʰ[1]秋揪[2]囚
s[1]修羞[5]秀锈绣袖
Ǿ[1]优忧悠幽[2]柔揉尤邮由油游犹[3]友有[5]莠又右佑柚釉幼

ua
x[1]花[2]华钟划{（〜船）}华{（〜山）}桦滑猾[5]化画话划{（计〜）}
l[2]□{（指事物滑落下来）}
k[1]瓜[2]刮括{（包〜、〜号）}[3]寡剐[5]挂卦
kʰ[1]夸跨[3]垮颧{（〜骨）}
ʦ[1]抓
s[1]刷涮[3]耍
Ǿ[1]蛙洼挖[2]袜[3]瓦

uæ
x[2]怀槐淮[5]坏
k[1]乖[3]拐[5]怪
kʰ[3]块{（量词，一〜钱）}□{（形容人的身材高大而强壮）}[5]会{（〜计）}刽桧快
ʦʰ[3]揣[5]□{（指牛杂）}
s[1]衰[3]摔{（〜跤）}甩[5]帅率蟀
Ǿ[1]歪[3]崴{（〜着脚）}[5]外

uəi
x[1]盔恢灰麾挥辉徽[2]回茴[3]悔晦毁[5]贿汇会绘秽惠慧穗讳慰
k[1]圭闺规窥龟归[3]诡轨癸鬼[5]鳜桂跪柜柜贵
kʰ[1]亏[2]逵奎葵[3]傀[5]溃愧
ʦ[1]追锥□{（指被蜜蜂蛰）}[5]赘缀坠
ʦʰ[1]吹[2]槌锤
s[1]衰{（形容倒霉）}[2]垂谁[3]水[5]税睡瑞
Ǿ[1]煨威[2]桅危为{（作〜）}维惟唯微违围苇[3]萎委尾伟纬[5]卫伪为{（〜什么）}味未魏畏胃渭
z[3]蕊[5]芮锐睿

yɛ
x[1]靴[2]血
k[2]决诀
kʰ[2]瘸厥缺[3]□{（〜着掰成几段）}
ʦ[2]绝
s[2]雪说
Ǿ[1]曰[2]悦阅月粤越

æ̃
p[1]班斑颁扳般搬[3]板版[5]扮瓣伴拌半绊
pʰ[1]攀潘藩[2]盘[5]盼判叛襻
m[2]蛮瞒馒[3]满[5]慢漫幔蔓
f[1]翻番[2]凡帆烦繁[3]反[5]范犯贩饭泛
x[1]憨{傻}酣鼾[2]含函衔寒韩[3]喊罕[5]撼陷旱汉汗焊瀚限
t[1]耽担{（〜任）}丹单[3]胆[5]淡担{（挑〜）}诞旦但弹{（子〜）}蛋
tʰ[1]贪滩摊[2]潭谭谈痰檀坛弹{（〜性）}[3]坦毯[5]探碳叹
n[2]南男难{（困〜}[5]难{（灾〜）}
l[1]篮{（〜子）}[2]蓝篮{（〜球）}兰拦栏[3]览揽榄缆懒[5]滥烂
ŋ[1]庵安鞍[2]岩[5]按暗岸案雁
k[1]甘柑泔肝干{（〜净）}[3]感敢橄减竿杆竿[5]鉴舰干{（〜部）}[5]
kʰ[1]堪龛勘刊[3]砍坎[5]嵌看
ʦ[1]簪黏沾粘瞻[3]斩蘸盏展攒[5]暂站渐{（〜〜）}占赞灒{溅}绽栈战[5]
ʦʰ[1]参餐搀[2]蚕惭馋蟾残缠[3]惨铲产[5]灿
s[1]衫杉山[2]蝉禅单{（姓）}[3]陕闪伞[5]散疝扇善膻擅
	
iɛ̃
p[1]鞭边[3]贬扁匾蝙[5]辨辫变便{（方〜）}辩
pʰ[1]编篇偏[2]便{（〜宜）}[5]骗汴遍片
m[2]绵棉眠[3]免勉娩缅[5]面
x[2]咸嫌闲贤[3]险显[5]苋宪献现县
t[1]颠[3]点典腆[5]店电殿佃垫臀
tʰ[1]添天[2]甜田填[3]舔
n[1]研[2]年鲇[3]碾辇撵[5]验念
l[1]蔫[2]廉镰帘连联怜莲[3]脸楝[5]练炼链殓恋
ŋ[2]严
k[1]监兼艰间{（中〜）}奸肩坚[3]检简拣涧笕敛[5]剑谏锏件键健建见
kʰ[1]谦牵[2]钳乾{（〜坤）}[3]遣[5]欠歉
ʦ[1]尖煎[3]剪践[5]箭溅贱饯
ʦʰ[1]歼签迁千铅[2]潜钱前[3]浅
s[1]仙先[5]线羡{（〜慕）}
Ǿ[1]淹阉腌烟焉[2]盐炎阎檐颜涎然燃延筵言[3]染冉掩俨眼演[5]雁谚厌艳焰晏犍燕砚嚥宴

uæ̃
x[1]欢[2]还{（归〜）}环桓[3]缓[5]唤焕换幻患宦
t[1]端[3]短[5]断锻段缎椴
tʰ[2]团
n[3]暖
l[1]□{（指弯腰钻进去）}[2]鸾圞{（形容形状圆）}[3]卵[5]乱
k[1]官棺观冠{（鸡〜）}官鳏关[3]管馆[5]贯灌罐冠{（〜军）}惯
kʰ[1]宽[3]款
ʦ[1]专砖[3]转[5]赚钻{（〜石）}撰篆传{（〜记）}
ʦʰ[1]川穿[2]全传{（〜达）}船[3]喘[5]窜篡串
s[1]栅删酸闩栓拴[5]算蒜
Ǿ[1]弯湾豌[2]完丸玩顽[3]碗腕晚挽宛皖[5]万

yɛ̃
x[1]掀轩[2]弦玄悬眩
ŋ[3]软阮
k[1]绢捐[3]卷[5]圈{（猪〜）}眷倦
kʰ[1]圈{（圆〜）}[2]拳权[3]犬[5]劝券
ʦ[2]泉
s[1]鲜宣喧楦[2]薛旋镟[3]癣选[5]□{（~一下，指去逛逛）}
Ǿ[1]冤[2]圆员缘沿元原源袁辕园[3]远[5]院愿怨

ən
p[1]奔崩[3]本[5]笨
pʰ[1]烹[2]盆[5]喷
m[1]闷{（形容人性格内向，少言寡语）}[2]门们{（我〜）}[5]闷{（烦〜）}
f[1]分芬纷[2]焚坟[3]粉[5]愤忿粪奋份
x[1]亨[2]痕恒衡横{（新）}[3]很□{（形容人能干或者某方面才能突出）}狠[5]恨
t[1]敦墩蹲灯登[3]等[5]盾顿钝遁凳瞪
tʰ[1]吞豚[2]囤腾滕藤疼屯[3]□{（楼梯〜指台阶）}□{（台阶的量词）}□{（打〜:指说话磕磕巴巴，不流利）}[5]□{（指迁就别人或者跟别人攀比）}
n[1]□{（令人恶心的）}[2]能[3]惗{（指在心里想某事）}[5]嫩
l[1]□{（指不小心掉进坑或洞，也指脚陷进泥或水中）}[2]仑伦沦轮[3]冷[5]论
ŋ[1]恩[3]□{（指身体压着东西并产生痛感）}[5]硬
k[1]跟根耕[3]梗耿哽埂[5]更
kʰ[1]坑[2]□{（指用手扶着或者肩膀靠着）}[3]肯恳垦
ʦ[1]针斟珍榛臻真尊遵增曾{（姓）}憎僧征蒸争筝睁贞侦正{（〜月）}征[3]枕{（〜头）}	枕{（动词）}诊疹拯整[5]镇阵振震证症郑正{（〜式）}政
ʦʰ[1]村称{（〜呼）}撑逞{（〜能）}[2]沉陈尘臣存曾{（〜经）}层澄橙惩乘{（〜法）}承丞呈程成城诚[5]趁衬忖寸蹭称{（〜托）}秤
s[1]森参深身申伸孙升生牲笙甥声[2]神娠辰晨唇绳[3]沈审婶损笋样省{（广东〜）}省{（反〜）}[5]甚甚肾慎胜圣盛{（茂〜）}

aŋ
p[1]帮邦浜[3]榜绑[5]谤棒蚌
pʰ[2]滂滂庞[5]胖
m[1]芒{（〜果）}[2]忙芒{（锋〜）}茫盲[3]莽蟒
f[1]方芳[2]肪妨房防[3]仿访纺彷[5]放
x[1]夯[2]行{（〜列）}航杭[5]巷项
t[1]当{（〜然）}[3]挡党[5]荡当{（〜作）}
tʰ[1]汤□{（宰杀家禽牲口）}[2]堂棠螳唐糖塘[3]倘躺趟[5]烫
n[1]□{（nɔŋ44~:指做事拖拉，不利落）}[2]囊穰{（指西瓜等瓜类果肉熟过头）}[5]□{（没□ŋia44〜指说话不沾边）}
l[1]㫰{（指晾晒）}□{（指毛线，〜衣即毛衣）}[2]郎廊狼榔[3]朗[5]浪
ŋ[1]肮[2]昂[5]戆{（形容人傻）}
k[1]冈岗刚纲钢缸[3]港[5]杠
kʰ[1]康糠[2]扛[3]慷[5]抗炕
ʦ[1]脏张章樟[3]长{（〜大）}涨掌[5]葬藏{（西〜）}脏{（内〜）}丈仗杖帐账胀障瘴
ʦʰ[1]苍仓昌菖[2]藏{（收〜）}长{（〜度）}肠场{（〜地）}[3]厂[5]畅唱倡
s[1]桑丧商伤[2]常尝裳偿[3]赏晌[5]上尚

in
p[1]彬宾槟殡鬓冰兵[3]禀丙秉柄饼[5]病
pʰ[1]□{（用来隔水蒸食物的）}[2]贫频凭平坪评瓶屏萍[3]品[5]拼迸聘姘并
m[2]民鸣明名盟铭[3]闽悯敏皿[5]命
x[1]欣兴{（〜旺）}馨[2]行赢形型刑[5]衅幸
t[1]丁钉{（〜子）}[3]顶鼎[5]锭钉{（〜住）}订定
tʰ[1]听厅[2]亭停庭廷蜓[3]艇挺
n[1]□{（指拎拿）}[2]吟凝宁
l[2]林淋临鳞邻陵凌菱灵零铃伶翎[3]领岭[5]吝令
ŋ[5]刃韧□{（形容东西质地很硬）}
k[1]今金巾斤筋茎京荆惊鲸经襟[3]锦仅谨景警颈[5]禁近劲境竟镜径
kʰ[1]钦卿轻[2]岑琴禽擒勤芹琼[3]揿{（用手使劲按住别人）}[5]庆杏
ʦ[1]津精晶睛[3]井[5]尽进静净靖
ʦʰ[1]亲{（〜戚）}清青蜻[2]寻秦情晴[3]请[5]寝侵浸亲{（〜家）}磬
s[1]心辛新薪星腥[3]醒□{傻}[5]信迅性姓
Ǿ[1]音阴荫因姻殷鹰蝇莺鹦樱英婴缨[2]壬淫人仁银寅仍扔迎盈萤营莹龈[3]饮忍引隐影映颖[5]任赁妊印应{（〜当）}认

iaŋ
x[1]香乡[2]降{（投〜）}[3]享响饷[5]向
f[1]□{（〜〜金属制成的盘子类的较扁的东西）}
n[1]孃[2]娘[5]酿
l[2]良凉量{（测〜）}粮梁粱[3]两辆{（一〜车）}[5]亮谅量{（重〜）}
ŋ[3]仰[5]□{（形容人的性格倔强）}
k[1]姜{（姓）}姜{（植物）}江[2]□{瘦~~：身材不肥不胖}[3]讲[5]降{（下〜）}强{（倔〜）}
kʰ[1]疆僵缰腔[2]强{（坚〜）}[3]强{（勉〜）}
ʦ[1]将浆[3]蒋奖桨[5]酱将{（〜领）}匠
ʦʰ[1]枪[2]墙详祥[3]抢[5]呛
s[1]相{（互〜）}箱厢湘襄镶[3]想[5]象像橡相{（〜片）}
Ǿ[1]央秧殃[2]羊洋烊杨阳扬疡[3]养痒氧[5]壤嚷让样

uən
x[1]昏婚荤[2]魂浑馄横[5]混
k[3]滚[5]棍
kʰ[1]昆坤[3]捆[5]困
ʦʰ[1]椿春[3]蠢
s[2]纯莼醇荀旬循巡殉
Ǿ[1]温瘟[2]文纹蚊闻[3]稳吻刎[5]问
uaŋ
x[1]荒慌[2]黄簧皇蝗[5]谎晃
k[1]光胱桄[3]广[5]逛
kʰ[1]筐框眶匡[2]狂[5]矿旷
ʦ[1]装庄桩[5]壮状
ʦʰ[1]疮窗[2]床[3]闯撞[5]创{（〜造）}
s[1]霜孀双[3]爽
Ǿ[1]汪[2]王亡[3]枉往网[5]忘妄望旺

ɔŋ
p[1]泵[3]□{（点〜揭穿）}[5]□{（量词，一□葡萄）}蹦
pʰ[1]□{（形容蓬松）}[2]朋彭膨棚篷蓬[3]捧
m[1]□{（掩埋）}[2]萌盟蒙□{（形容杂长得很茂密）}檬[3]蠓猛懵□{~tɔŋ53:糊涂}[5]孟
f[1]风枫疯丰封峰蜂锋[2]冯逢缝{（〜补）}[3]讽[5]凤奉俸缝{（门〜）}
x[1]轰烘哄{（闹〜〜）}[2]虹宏弘红洪鸿[3]哄{（〜骗）}[5]烘{（形容生意红火或者被烤得很热）}
t[1]东冬[3]董懂[5]动冻栋洞
tʰ[1]通囱[2]同铜桐筒童瞳[3]桶捅统[5]痛
n[1]□{（埋怨，责备）}□{（形容东西背煮焦或者烧焦了，产生了焦味）}[2]农脓侬浓[3]□{（形容孩子长得胖）}[5]弄齈
l[1]聋[2]隆龙陇城笼[3]拢[5]□{（形容地方十分偏僻）}
ŋ[5]甕蕹
k[1]豇{（〜豆）}公蚣工功攻弓躬宫[2]□{（〜背指弯腰）}[3]汞拱巩[5]贡拱供共
kʰ[1]空{（天〜）}[3]孔[5]控空{有〜}
ʦ[1]棕鬃宗综中忠终钟踪[3]总冢肿种{（〜子）}[5]众纵重{（轻〜）}种{（〜树）}粽仲
ʦʰ[1]聪匆葱充冲{（〜锋）}舂[2]虫崇从重{（〜新）}[3]宠[5]□{（指撞）}
s[1]松嵩[3]怂耸[5]送宋诵颂讼
Ǿ[1]瓮翁

yn
x[1]熏勋熏[5]训
k[1]均钧君军[5]菌郡
kʰ[2]群裙[3]顷倾
ʦ[3]准{（旧）}[5]俊
ʦʰ[1]春{（旧）}[3]蠢{（旧）}
s[2]纯{（旧）}莼{（旧）}醇{（旧）}[5]顺{~风}舜
Ǿ[1]晕[2]匀云[3]允尹勇[5]润闰熨韵运永泳孕

iɔŋ
x[1]兄胸凶[2]雄熊
kʰ[2]琼穷
Ǿ[1]雍庸[2]荣戎绒融茸容蓉熔[3]永{（旧）}咏{（旧）}拥甬勇涌[5]用
