pan平	斑班頒扳般搬
tsʰa平	插擦察茶搽查岔叉茬差(~价)
tsʰa去	差(~别)杈
sa平	殺沙紗灑薩
sa上	撒廈
ʂa上	傻
ka平	旮
ka上	尕
kʰa上	卡
xa平	瞎哈
xa上	蛤
a平	阿
a上	啊
pei平	杯卑碑悲貝狽臂背北百白柏佰掰
pei去	輩背
pʰei平	披培陪賠佩胚裴坯拍
pʰei去	配倍沛
mei平	梅黴莓酶枚玫媒眉麥
mei上	美每
mei去	昧媚妹
fei平	非匪誹翡飛肥
fei去	廢痱稅費肺
tei平	得德
tʰei平	特
lei平	勒肋
tsei平	摘窄賊擇澤責則
tsʰei平	拆冊策廁測
sei平	澀嗇虱色塞誰
kei上	給
kʰei平	客
xei平	黑
pəŋ平	繃
pəŋ上	本苯崩
pəŋ去	笨泵進蹦
pʰəŋ平	噴盆彭澎膨朋棚硼蓬篷
pʰəŋ上	碰捧
məŋ平	門們萌盟蒙檬朦
məŋ上	悶猛錳
məŋ去	孟夢
fəŋ平	芬紛墳風瘋封峰鋒蜂縫
fəŋ上	分份粉諷馮豐奉
fəŋ去	憤糞奮鳳俸縫(一条~)
təŋ平	燈登澄
təŋ上	等
təŋ去	凳鄧瞪
tʰəŋ平	騰謄藤疼吞
nəŋ平	能
ləŋ平	棱
ləŋ上	冷
ləŋ去	楞
tsəŋ平	曾增憎爭掙
tsəŋ去	贈箏
tsʰəŋ平	層曾撐
tsʰəŋ去	襯
səŋ平	森參(人~)僧生牲甥
səŋ上	省
səŋ去	滲
tʂəŋ平	針斟珍診疹貞偵真蒸
tʂəŋ上	整枕拯
tʂəŋ去	鎮陣振震正征證癥政鄭
tʂʰəŋ平	陳塵辰晨臣稱(~呼)承丞成誠城盛沈忱橙懲
tʂʰəŋ去	趁稱(~心)乘呈程逞秤
ʂəŋ平	身申伸神呻紳聲深升繩
ʂəŋ上	嬸審沈
ʂəŋ去	甚慎勝剩聖腎盛(兴~)
ʐəŋ平	仁人韌
ʐəŋ上	忍扔仍
ʐəŋ去	任刃認
kəŋ平	跟根庚更(~改，打~)耕哽梗
kəŋ上	埂耿
kəŋ去	更(~加)
kʰəŋ平	坑吭
kʰəŋ上	懇墾肯啃
xəŋ平	痕哼
xəŋ上	很狠
xəŋ去	恨杏衡恒
əŋ平	恩
ər平	而兒
ər上	耳爾邇
ər去	二
pɛ上	擺
pɛ去	拜敗稗
pʰɛ平	排徘牌
pʰɛ去	派
mɛ平	埋
mɛ上	買
mɛ去	賣邁脈
tɛ平	呆
tɛ上	歹□(好。如：这个电影~得很。)
tɛ去	帶貸代袋黛待怠戴逮傣
tʰɛ平	臺擡胎態
tʰɛ去	太泰
nɛ平	奶
nɛ去	乃奈耐
lɛ平	來
lɛ去	賴癲
tsɛ平	災栽載齋
tsɛ上	宰崽載(~重)
tsɛ去	再在債宅寨
tsʰɛ平	才財材柴裁蔡采差(出~)
tsʰɛ上	猜彩採睬踩
tsʰɛ去	菜
sɛ平	腮鰓
sɛ去	賽篩曬
kɛ平	該
kɛ上	改
kɛ去	概蓋丐鈣
kʰɛ平	開凱
kʰɛ上	楷慨
ŋɛ上	矮
ŋɛ去	愛
xɛ平	孩咳鞋
xɛ上	海
xɛ去	害
ɛ平	哀挨礙癌噯藹艾
pɤ平	駁播拔剝博搏勃脖渤
pɤ上	簸
pʰɤ平	坡波破潑迫魄婆
mɤ平	摸模莫膜摩魔磨墨末沒
mɤ上	抹默陌
mɤ去	沫漠磨
fɤ平	否佛
lɤ平	勒
tʂɤ平	哲折(~断)蟄者遮轍
tʂɤ上	這浙
tʂʰɤ平	徹轍澈車
tʂʰɤ上	扯
ʂɤ平	蛇舌折(弄~)舌奢賒
ʂɤ上	舍赦
ʂɤ去	社設涉攝懾射
ʐɤ平	熱
ʐɤ上	惹
kɤ平	鴿閣各格革割隔哥歌疙
kɤ去	個
kʰɤ平	殼克刻咳苛柯坷蝌磕瞌科
kʰɤ上	可渴課
ŋɤ平	蛾俄鵝餓訛額顆惡
xɤ平	何荷河盒合或喝禾核
xɤ上	鶴
xɤ去	賀赫
pian平	鞭編蝙邊
pian去	貶扁匾遍辨辯辮便變
pʰian平	便(~宜)偏
pʰian上	片篇
pʰian去	騙遍
mian平	棉綿眠
mian上	免勉
mian去	面緬
tian平	巔癲
tian上	顛典碘點
tian去	店掂踞惦電殿佃甸墊澱奠
tʰian平	添甜恬田填天
tʰian上	舔
lian平	廉鐮簾聯憐連蓮鏈褳戀斂
lian上	臉
lian去	練煉
tɕian平	尖殲監兼艱好肩堅煎
tɕian上	剪堿減儉檢簡繭揀
tɕian去	箭濺賤踐薦間件建健腱毽劍鑒諫見
tɕʰian平	千遷懺纖簽錢前鉗乾虔牽黔潛遣
tɕʰian上	淺
tɕʰian去	謙歉鉛欠
ȵian平	年蔫粘撚
ȵian上	碾攆
ȵian去	念驗
ɕian平	仙鮮嫌閑賢先鍁鹹銜
ɕian上	掀險顯
ɕian去	陷餡莧現憲獻縣線限羨
ian平	淹腌嚴研咽言鹽沿巖炎焉
ian上	掩演眼
ian去	顏厭雁燕宴現延艷焰
liaŋ平	良糧梁梁涼量
liaŋ上	兩
liaŋ去	亮晾輛
tɕiaŋ平	將漿槳疆僵細姜江
tɕiaŋ上	蔣獎講
tɕiaŋ去	醬將降匠
tɕʰiaŋ平	腔強槍墻
tɕʰiaŋ上	搶羌
tɕʰiaŋ去	嗆
ȵiaŋ平	娘
ȵiaŋ上	釀
ɕiaŋ平	相(互~)箱廂湘香鄉詳祥翔
ɕiaŋ上	想享響
ɕiaŋ去	降象像橡相(~貌)項向
iaŋ平	央秧殃洋羊楊揚陽仰
iaŋ上	養癢氧
iaŋ去	樣
pia平	□(张贴)
tɕia平	加嘉痂袈佳夾莢家胛鉀
tɕia上	假(真~)賈甲
tɕia去	假(放~)嫁駕稼價架
tɕʰia平	掐洽
tɕʰia上	恰
ɕia平	蝦霞匣轄峽
ɕia去	下嚇夏
ia平	押鴨鴉牙芽啞壓崖涯衙
ia上	雅
ia去	亞
piɛ平	鰲別憋蹩癟
pʰiɛ平	撇瞥
miɛ平	滅
tiɛ平	爹跌疊蝶碟諜叠
tʰiɛ平	貼帖鐵
liɛ平	獵烈裂列例
tɕiɛ平	皆街階界芥疥截潔結戒械傑節接捷睫揭竭
tɕiɛ上	姐介解
tɕiɛ去	借誡屆
tɕʰiɛ平	且茄切
tɕʰiɛ去	怯竊
ȵiɛ平	捏業聶鑷孽
ɕiɛ平	些協蟹歇蠍邪諧攜斜
ɕiɛ上	寫
ɕiɛ去	瀉卸謝泄
iɛ平	葉爺
iɛ上	也野
iɛ去	噎頁夜液掖
piŋ平	冰兵繽檳殯彬斌屏
piŋ上	賓丙柄秉餅並
piŋ去	病鬢
pʰiŋ平	頻平評萍坪抨瓶拼貧憑乒
pʰiŋ上	品聘
miŋ平	民抿敏鳴明名銘酩冥皿閩憫
miŋ去	命
tiŋ平	丁釘仃叮疔
tiŋ上	頂鼎
tiŋ去	訂釘定錠
tʰiŋ平	廳亭停廷庭蜓聽
tʰiŋ上	挺艇
liŋ平	臨林淋凜鱗磷靈綾陵淩鈴伶零嶺鄰
liŋ上	領檁
liŋ去	令另
tɕiŋ平	津今金襟巾斤筋晶睛精京驚鯨荊莖徑兢錦
tɕiŋ上	僅勁頸井景警緊
tɕiŋ去	禁盡進境敬經近凈靜晉浸腚
tɕʰiŋ平	侵寢親秦琴禽擒芹青清情晴蜻輕傾勤
tɕʰiŋ上	請
tɕʰiŋ去	慶沁
ȵiŋ平	寧嚀獰檸凝
ȵiŋ上	擰
ȵiŋ去	硬
ɕiŋ平	辛星腥惺猩形刑型心新欣行釁
ɕiŋ上	醒省
ɕiŋ去	信興姓性幸
iŋ平	因姻殷銀嬰鸚櫻纓英蠅盈贏螢音
iŋ上	飲隱鷹營迎尹引蚓影映
iŋ去	應印
tiou平	丟
liou平	留溜榴瘤劉硫琉流綠六
liou上	柳
liou去	餾遛
tɕiou平	揪疚赳糾閹
tɕiou上	久炙九究韭酒
tɕiou去	就舅舊救
tɕʰiou平	求球秋丘邱蚯酋
ȵiou平	牛妞
ȵiou上	紐扭
ɕiou平	羞朽修休
ɕiou去	秀繡銹袖
iou平	優尤憂猶悠幽由油郵遊遊
iou上	有友柚釉
iou去	又幼右祐佑誘
piɔ平	標彪鰾膘鏢
piɔ上	表裱
pʰiɔ平	瓢飄剽縹
pʰiɔ去	漂票
miɔ平	苗描秒渺
miɔ上	藐
miɔ去	妙廟
tiɔ平	刁叼碉雕
tiɔ去	掉釣調
tʰiɔ平	調(~味)挑條眺
tʰiɔ上	挑(~拨)
tʰiɔ去	跳
liɔ平	撩僚潦嘹繚寥
liɔ上	聊遼療了
liɔ去	料鐐廖
tɕiɔ平	調(~动)蕉椒交郊膠驕嬌澆繳
tɕiɔ上	絞狡攪
tɕiɔ去	釣教較窖轎覺叫
tɕʰiɔ平	挑鍬敲樵瞧喬僑橋悄
tɕʰiɔ上	巧
tɕʰiɔ去	跳鵲竅俏撬翹
ȵiɔ平	咬鳥
ȵiɔ去	尿
ɕiɔ平	肖消宵逍銷哮蕭簫
ɕiɔ上	小曉
ɕiɔ去	笑孝效校肴
iɔ平	妖腰搖遙謠窯邀姚
iɔ上	舀
iɔ去	要耀
pi平	逼碑鼻敝弊斃畢庇蓖必壁璧筆幣
pi上	比
pi去	蔽篦備匕被算碧
pʰi平	彼疲皮鄙辟霹匹脾屁批琵痞
pʰi上	避譬
pʰi去	劈僻
mi平	迷謎瞇秘密蜜覓彌糜
mi上	米
mi去	泌
ti平	低的敵笛滴嘀嫡
ti上	底抵抵邸
ti去	帝諦蒂遞弟娣第地狄
tʰi平	堤題提梯啼蹄踢
tʰi上	體
tʰi去	剔惕替涕剃
li平	黎犁離籬梨裏理貍李粒栗力立
li上	禮厘吏利
li去	歷厲勵隸麗
tɕi平	饑機譏肌積即激急擊疾脊籍及級極吉基雞耆
tɕi上	幾已劑擠
tɕi去	跡績集祭際濟計繼紀記忌既季寄寂
tɕʰi平	七妻淒漆臍齊奇騎崎其期棋旗箕欺戚歧岐緝
tɕʰi上	啟起豈契
tɕʰi去	器棄氣汽乞泣企
ni平	尼泥妮呢逆疑
ni上	妳
ni去	膩溺
ɕi平	西犀溪奚析晰息媳惜昔吸錫席夕隙悉嬉襲
ɕi上	喜洗惜
ɕi去	希稀習細系戲
i平	壹醫衣依宜移夷姨遺已以揖
i上	倚椅尾(~巴)蟻抑翼
i去	乙億藝憶義議儀易益溢亦譯疫役意逸異誼
tou平	都兜
tou上	抖蚌
tou去	陡鬥豆痘
tʰou平	偷頭投
tʰou上	桃(核~)
tʰou去	透
nou平	怒奴
lou平	婁樓樓簍
lou上	摟
lou去	露漏陋
tsou平	走
tsou去	鄒皺縐奏揍驟
tsʰou平	愁
tsʰou上	瞅
tsʰou去	湊
sou平	搜饅艘
sou去	瘦嗽擻
tʂou平	周舟州洲粥晝咒
tʂou去	紛宙肘帚
tʂʰou平	綢稠惆籌疇酬仇抽
tʂʰou上	醜
tʂʰou去	臭
ʂou平	收
ʂou上	手首守
ʂou去	獸壽受授售
ʐou平	柔揉蹂
ʐou去	肉
kou平	勾溝鉤簿
kou上	茍狗構
kou去	夠構購
kʰou平	摳
kʰou上	口
kʰou去	叩扣寇
xou平	侯候喉猴
xou上	吼
xou去	後厚
ou平	歐鷗嘔偶藕
pɔ平	包苞
pɔ上	寶堡飽保
pɔ去	雹抱鮑暴爆豹報
pʰɔ平	拋袍
pʰɔ上	跑
pʰɔ去	刨泡炮砲皰
mɔ平	貓錨矛茅卯鉚貿貌毛牦
mɔ去	冒帽茂
tɔ平	刀
tɔ上	禱島搗倒導蹈
tɔ去	倒到稻道盜悼叨
tʰɔ平	滔掏陶萄淘逃桃濤
tʰɔ上	討
tʰɔ去	套
nɔ平	腦撓
nɔ去	鬧
lɔ平	勞撈癆牢佬
lɔ上	老姥
tsɔ平	遭糟躁
tsɔ上	棗早澡找
tsɔ去	竈皂造糙罩
tsʰɔ平	操抄鈔曹槽巢
tsʰɔ上	吵炒草
sɔ平	騷搔燥捎稍梢
sɔ上	掃嫂
sɔ去	臊哨
tʂɔ平	召招昭朝
tʂɔ上	沼
tʂɔ去	趙兆照
tʂʰɔ平	朝潮嘲超
ʂɔ平	紹燒
ʂɔ上	少
ʐɔ平	嬈
ʐɔ上	撓饒
ʐɔ去	繞
kɔ平	高篙膏羔糕
kɔ上	搞稿
kɔ去	告
kʰɔ平	考烤拷
kʰɔ去	靠銬
ŋɔ上	襖
xɔ平	豪壕嚎毫
xɔ上	好耗
xɔ去	號浩皓
ɔ平	熬敖凹
ɔ去	傲奧懊澳翺
tsɿ平	姿資恣咨支枝肢之芝只(~有)孜
tsɿ上	滋紫姊子紙幟旨指止址至誌痔
tsɿ去	自字
tsʰɿ平	辭詞祠齒遲茲
tsʰɿ上	雌此瓷糍慈磁賜
tsʰɿ去	刺次
sɿ平	斯撕私司絲匙獅師屍時思施詩
sɿ上	死使史駛矢屎
sɿ去	四肆似祀恃寺飼是示視士市柿事試
tʂʅ平	知蜘汁執值植置直職織姬致質吱
tʂʅ上	智治制滯
tʂʰʅ平	吃池馳恥翅赤尺持斥熾
ʂʅ平	拾實食識石矢世勢誓室適釋濕失十蝕
ʂʅ上	始
ʂʅ去	式
ʐʅ平	日
tuan平	端
tuan上	短
tuan去	段緞鍛斷
tʰuan平	團
nuan平	暖卵
luan平	巒
luan去	亂
tsuan去	鉆
tsʰuan平	余算
tsʰuan去	竄
suan平	酸
suan去	算蒜
tʂuan平	專磚
tʂuan上	轉(~运)
tʂuan去	賺轉(~圈)
tʂʰuan平	傳川穿船
tʂʰuan上	喘
tʂʰuan去	串
ʂuan平	拴涮
ʐuan上	軟
kuan平	觀官棺關
kuan上	管館
kuan去	貫灌罐觀冠
kʰuan平	寬
kʰuan上	款
xuan平	歡還環
xuan上	緩渙喚煥
xuan去	患宦換瘓幻
uan平	剜豌宛惋彎灣丸完玩頑
uan上	挽晚碗腕
uan去	萬蔓
tʂuaŋ平	莊裝妝椿
tʂuaŋ去	狀壯撞
tʂʰuaŋ平	瘡窗床
tʂʰuaŋ上	闖創
ʂuaŋ平	雙霜
ʂuaŋ上	爽
kuaŋ平	光胱獷
kuaŋ上	廣
kuaŋ去	逛
kʰuaŋ平	筐框
kʰuaŋ去	況礦狂眶
xuaŋ平	荒慌黃磺簧皇蝗徨煌凰恍
xuaŋ上	謊
xuaŋ去	晃幌
uaŋ平	亡王汪枉
uaŋ上	往網
uaŋ去	望旺忘妄
tʂua平	抓
tʂua上	爪
ʂua平	尿
ʂua上	要
kua平	瓜呱
kua上	寡刮剛
kua去	掛卦褂
kʰua平	誇侉垮
kʰua去	跨挎
xua平	華嘩鏵樺花滑
xua去	劃化畫話
ua平	挖襪窪娃
ua上	瓦
tuei平	堆
tuei去	對兌隊
tʰuei平	推頹
tʰuei上	腿
tʰuei去	退褪蛻
nuei平	類
luei平	雷擂蕾壘磊儡
luei上	累
luei去	內淚
tsuei平	嘴
tsuei去	最醉罪
tsʰuei平	崔催摧脆
tsʰuei去	翠粹瘁
suei平	雖隨髓隋綏遂隧
suei去	歲穗碎祟
tʂuei平	追錐
tʂuei去	墜綴
tʂʰuei平	吹炊槌垂錘陲
ʂuei平	水
ʂuei去	睡稅
ʐuei平	蕊銳瑞
kuei平	規龜歸軌閨
kuei上	鬼詭
kuei去	貴櫃桂跪
kʰuei平	虧潰盔窺奎魁傀葵
kʰuei去	愧
xuei平	回徊蛔茴灰恢悔暉揮徽
xuei上	毀誨
xuei去	揮輝賄會繪燴匯惠慧諱
uei平	威危桅維惟圍違緯偽萎娓微
uei上	委偉葦尾
uei去	為衛餵畏魏胃謂猬位未味尉慰
uəŋ平	文紋蚊聞溫瘟翁
uəŋ上	穩甕
uəŋ去	問
tʂuɛ去	拽
tʂʰuɛ平	揣
ʂuɛ平	衰摔
ʂuɛ上	甩
ʂuɛ去	率帥
kuɛ平	乖
kuɛ上	拐
kuɛ去	怪
kʰuɛ平	會(~计)塊
kʰuɛ去	快筷儈
xuɛ平	懷槐淮徊
xuɛ去	壞
uɛ平	歪
uɛ去	外
tuŋ平	敦墩礅東冬蹲噸飩
tuŋ上	董懂
tuŋ去	盾遁鈍頓噸燉囤洞動凍棟
tʰuŋ平	銅桐同通童瞳
tʰuŋ上	筒桶捅統
tʰuŋ去	痛(~快)飩屯
nuŋ平	農膿濃
nuŋ去	嫩弄
luŋ平	龍聾攏(拉~)籠隴侖淪隆
luŋ上	攏(~到一块儿)壟
luŋ去	論
tsuŋ平	尊遵諄宗蹤綜棕
tsuŋ上	總
tsuŋ去	粽縱
tsʰuŋ平	村皺存縱聰蔥匆叢從
tsʰuŋ去	寸
suŋ平	荀松聳
suŋ上	損
suŋ去	宋誦頌訟孫送
tʂuŋ平	中忠衷盅鐘鍾
tʂuŋ上	腫種準中(射~)
tʂuŋ去	重眾終種(~树)
tʂʰuŋ平	唇純醇春蠢春充沖崇重蟲
tʂʰuŋ上	寵
ʂuŋ去	順瞬
ʐuŋ平	絨戎茸融容熔蓉
ʐuŋ去	潤閏
kuŋ平	公工功攻弓躬宮供拱恭
kuŋ上	鞏滾汞
kuŋ去	共棍貢
kʰuŋ平	坤空昆
kʰuŋ上	綑恐控孔
kʰuŋ去	困
xuŋ平	昏婚葷渾轟烘洪紅虹魂宏鴻餛
xuŋ上	哄
xuŋ去	混橫
tuo平	多哆
tuo上	朵躲奪惰
tuo去	剁跺舵墮
tʰuo平	讬托駝砣馱拖脫橢
tʰuo上	妥
tʰuo去	唾
nuo平	挪諾咯懦
luo平	羅鑼蘿樂烙酪洛絡駱騾螺摞裸落
luo去	糯
tsuo平	鑿嘬昨
tsuo上	左撮
tsuo去	做作坐座
tsʰuo平	搓磋蹉矬挫
tsʰuo去	錯措
suo平	縮唆
suo上	鎖瑣所索
suo去	梭
tʂuo平	拙茁卓桌著鐲捉酌灼濁琢琢
tʂʰuo平	戳綽
ʂuo平	勺說朔碩爍
ʐuo平	弱若
kuo平	鍋郭國幗
kuo上	果裹
kuo去	過
kʰuo平	闊擴括
kʰuo上	顆棵
kʰuo去	廓
xuo平	豁和獲活
xuo上	火夥惑
xuo去	貨禍
uo平	窩渦蝸臥物
uo上	我
uo去	沃
pu平	不
pu上	佈簿補哺
pu去	部步布怖
pʰu平	撲捕葡蒲脯
pʰu上	圃譜
pʰu去	鋪普
mu平	木
mu上	模(~子)母拇畝某
mu去	暮慕墓募幕目牧睦穆
fu平	夫膚扶敷孵浮服伏茯府腑俯附復福蝠
fu上	輔撫腐
fu去	傅父富副婦負符付附駙赴袱賦
vu平	吳梧無伍勿烏屋汙誣巫侮
vu上	舞午武五捂
vu去	握(掌~)務霧誤悟
tu平	獨讀毒妒
tu上	堵賭
tu去	肚杜度渡鍍
tʰu平	禿突徒途塗圖屠凸
tʰu上	土吐
tʰu去	兔
nu平	弩
nu上	努
lu平	魯櫓錄祿陸盧鸕蘆爐賂鹿轆麓
lu上	虜鹵
lu去	路露
tsu平	卒足租詛
tsu上	組阻祖
tsʰu平	粗猝促簇
tsʰu上	族
tsʰu去	醋
su平	酥蘇宿
su去	俗肅塑溯素訴束速
tʂu平	軸蛛株朱珠竹燭豬逐
tʂu上	煮主
tʂu去	諸著築囑駐註柱住蛀拄助祝鑄
tʂʰu平	帚廚礎觸初鋤除出
tʂʰu上	處鼠楚
ʐu平	如乳入儒孺蠕汝
ʐu去	褥
ku平	骨谷姑沽軲辜孤箍
ku上	估古故鼓股
ku去	固雇顧
kʰu平	哭窟
kʰu上	苦枯酷
kʰu去	庫褲
xu平	互呼胡湖糊糊蝴葫狐弧核(枣~)唬琥滬滸壺
xu上	忽虎
xu去	戶護
tɕyan平	捐
tɕyan上	卷
tɕyan去	眷圈倦卷涓娟絹
tɕʰyan平	泉踡拳犬顴全權圈
tɕʰyan去	勸
ɕyan平	懸玄弦炫眩喧
ɕyan上	宣癬旋選
yan平	冤員圓原源袁轅元園援淵鴛緣
yan上	遠
yan去	願院怨
lyɛ平	虐略劣
tɕyɛ平	腳嚼決訣抉覺(感~)絕角倔蹶
tɕyɛ去	掘
tɕʰyɛ平	瘸卻缺確雀
tɕʰyɛ上	鵲
ɕyɛ平	削靴學血雪薛穴
yɛ平	悅閱越嶽樂(音~)約月鑰躍
yɛ上	粵
lyŋ平	輪掄倫崙
tɕyŋ平	均鈞君軍菌
tɕyŋ上	峻竣
tɕyŋ去	俊
tɕʰyŋ平	裙傾群窮瓊
ɕyŋ平	熏尋旬詢殉循巡兄雄勛焦匈胸讻兇訊訊
ɕyŋ上	遜
ɕyŋ去	迅訓馴
yŋ平	勻韻雲永榮傭蛹
yŋ上	允擁勇詠泳
yŋ去	熨孕運用庸暈
ly平	驢鋁屢縷
ly上	旅呂履
ly去	律慮濾
tɕy平	拘駒局菊據具桔鞠
tɕy上	舉
tɕy去	聚巨拒矩炬距劇踞居鋸句懼
tɕʰy平	蛆區驅曲渠屈趨
tɕʰy上	取娶
tɕʰy去	去
ȵy平	女
ɕy平	畜(牲~)虛徐絮序敘緒
ɕy上	須需旭許
ɕy去	畜(~牧)蓄續婿
y平	禹愚虞娛獄魚漁迂宇余俞羽郁
y上	雨語
y去	於盂榆愉喻與育欲域予預豫寓遇譽玉
