// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	p	pʰ	m	f	v	t	tʰ	n	l	ts	tsʰ	s	z	k	kʰ	ŋ	x
@FIN	a
@TON	平聲	22
@TON	上聲	312
@TON	去聲	45

// Initial	Final	Tone	CharList (Space separated)
l	ie	平聲	廉 鐮 簾 連 聯 伶 蓮 漣 帘 戀 □{耕地時吆喝牛的聲音}
l	ie	上聲	斂 臉
l	ie	去聲	殮 練 煉
ts	ie	去聲	這3{“這一個”的合音}
tɕ	ie	平聲	監{~考} 尖 兼 搛 艱 間{中~} 在 奸 澗 煎 犍{~牛} 肩 堅 殲 緘
tɕ	ie	上聲	檢 儉 簡 柬 揀 繭 趼 減 鹼
tɕ	ie	去聲	監{國子~} 艦 漸 間{~或} 諫 件 箭 賤 濺 餞 建 鍵 健 腱 見 薦 劍 鑑 □{~起：用工具撬起}
tɕʰ	ie	平聲	釺 遷 簽 潛 鉗 謙 錢 乾 虔 籛 千 前 牽 鉛 黔
tɕʰ	ie	上聲	淺 遣 譴 □{圪~：不認真對待} 錢{二~銀子}
tɕʰ	ie	去聲	嵌 歉 欠 前{跟~} 倩 塹
ɕ	ie	平聲	仙 鮮 先 掀 弦 舷 咸 銜 嫌 閒 賢 癇 纖 □{早息~：早上}
ɕ	ie	上聲	險 鮮{~少} 癬 顯
ɕ	ie	去聲	陷 餡 限 線 羨 憲 獻 現{~在、~前} 縣 腺 □{~成：有孔的銅錢}
Ø	ie	平聲	淹 醃 鹽 閻 焉 嫣 延 蜓 煙 沿 芫 衍 檐 妍 胭 脂 咽{~喉} 緣 □{句首語氣詞}
Ø	ie	上聲	掩 魘 演 眼 □{容器裏的水撒出}
Ø	ie	去聲	厭 艷 焰 筵 堰 燕{~子} 宴 雁 諺 炎 唁 咽{~下} □{~火：燒火}
// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	p	pʰ	m	n	tɕ	tɕʰ	ɕ	Ø
@FIN	ieɪ
@TON	平聲	22
@TON	上聲	312
@TON	去聲	45

// Initial	Final	Tone	CharList (Space separated)
p	ieɪ	平聲	兵 冰 瀕 彬 賓 斌 濱 繽 檳
p	ieɪ	上聲	丙 秉 柄 餅 稟
p	ieɪ	去聲	病 並 合{~殯} 殯 鬢 炳
pʰ	ieɪ	平聲	平 坪 評 萍 蘋 貧 拼 瓶 頻 顰 憑 屏 乒
pʰ	ieɪ	上聲	品
pʰ	ieɪ	去聲	聘 牝 餅
m	ieɪ	平聲	鳴 明 名 民 銘 茗 酩 冥 暝 □{~肋骨：額頭}
m	ieɪ	上聲	皿 抿 岷 泯 敏 閩 憫 □{圪~：食物含在嘴裡}
m	ieɪ	去聲	命
n	ieɪ	平聲	凝 迎 擰 寧 獰 嚀 銀
n	ieɪ	上聲	擰
n	ieɪ	去聲	硬
tɕ	ieɪ	平聲	今 晶 經 金 斤 巾 矜 莖 京 驚 鯨 荊 睛 精 耕{~地} 筋 津 襟
tɕ	ieɪ	上聲	景 警 井 僅 緊 錦 謹 瑾
tɕ	ieɪ	去聲	境 敬 竟 鏡 靜 靖 淨 頸 勁{~敵} 徑 進 盡 禁 浸 晉 靳 燼 妗 □{瓦~子：用瓦的材料製成，圓形有孔，餾糕用，形狀似籠床，比籠床深} 近
tɕʰ	ieɪ	平聲	卿 清 情 晴 輕 親{年~} 琴 侵 勤 秦 芹 禽 噙 擒 欽 青 蜻 氫 擎 頃
tɕʰ	ieɪ	上聲	請 寢 傾
tɕʰ	ieɪ	去聲	慶 罄 沁
ɕ	ieɪ	平聲	興{~旺} 行{~為} 馨 形 型 刑 陘{井~} 邢 新 薪 心 芯 欣 鋅 辛 忻 星 腥 猩 惺 □{初腰不~：伸腰}
ɕ	ieɪ	上聲	省 醒
ɕ	ieɪ	去聲	興{高~} 辛 性 姓 幸{~少：舒服} 信 釁 囟 □{面和好後放一放，使之變軟}
Ø	ieɪ	平聲	鷹 蠅 鶯 英 嬰 纓 鸚{~鵡} 櫻{~桃} 盈 贏 營 螢 因 姻 洇 音 陰 蔭 吟 茵 淫 殷 垠
Ø	ieɪ	上聲	影 穎 引 寅 尹 隱 飲{~水} 癮 蚓
Ø	ieɪ	去聲	應{~當} 孕 映 印 胤 飲{~馬}
// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	p	pʰ	m	t	tʰ	n	l	tɕ	tɕʰ	ɕ	Ø
@FIN	iou
@TON	平聲	22
@TON	上聲	312
@TON	去聲	45

// Initial	Final	Tone	CharList (Space separated)
p	iou	平聲	膘 標 彪 鏢 飆
p	iou	上聲	表{~達} 裱 婊
pʰ	iou	平聲	飄 瓢 嫖 漂 鰾 螵 剽
pʰ	iou	去聲	票{車~} 漂{~亮}
m	iou	平聲	苗 描 瞄
m	iou	上聲	藐 渺 秒 邈 緲 淼
m	iou	去聲	廟 妙
t	iou	平聲	刁 貂 雕 叼 凋 碉
t	iou	去聲	釣 吊 掉 調{~子}
tʰ	iou	平聲	挑 條 調
tʰ	iou	上聲	挑{~撥}
tʰ	iou	去聲	跳 糶
n	iou	上聲	鳥 咬
n	iou	去聲	尿
l	iou	平聲	撩 療 聊 遼 撩{~起來} 廖 潦 繚 僚
l	iou	上聲	瞭 了{~解}
l	iou	去聲	料 鐐 瞭
tɕ	iou	平聲	焦 蕉 椒 驕 嬌 澆 繳{上~} 郊 交 茭 跤 膠 教{~書} 椒 嚼
tɕ	iou	上聲	僥{~倖} 餃 鉸 絞 饒 剿
tɕ	iou	去聲	瞧 轎 叫 窖 較{比~} 酵 □{~筆：膏筆}
tɕʰ	iou	平聲	樵 瞧 悄 喬 僑 橋 蕎 敲 鍬 憔 □{藏}
tɕʰ	iou	上聲	巧
tɕʰ	iou	去聲	俏 竅 撬 翹
ɕ	iou	平聲	消 宵 霄 硝 銷 囂 蕭 簫
ɕ	iou	上聲	小 曉
ɕ	iou	去聲	笑 校 孝 哮 嘯
Ø	iou	平聲	嬌 邀 腰 要 搖 謠 窯 姚 麼 吆 妖 夭 幺 瑤 遙
Ø	iou	上聲	舀 杳
Ø	iou	去聲	要 耀 鷂
// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	p	pʰ	m	n	tɕ	tɕʰ	ɕ	Ø
@FIN	iɒ
@TON	平聲	22
@TON	上聲	312
@TON	去聲	45

// Initial	Final	Tone	CharList (Space separated)
p	iɒ	平聲	□{象聲詞，打槍的聲音}
pʰ	iɒ	平聲	□{象聲詞，用手拍打東西的聲音}
m	iɒ	平聲	咩{羊叫的聲音}
n	iɒ	平聲	牙 芽 衙 伢 □{“人家”的合音} 娘{母親的面稱} 蚜
n	iɒ	上聲	啞
n	iɒ	去聲	亞 押 壓 軋 業
tɕ	iɒ	平聲	家1 加 嘉 稼 枷 痂 佳
tɕ	iɒ	上聲	假{真~} 賈
tɕ	iɒ	去聲	假{放~} 架 駕 價 嫁
tɕʰ	iɒ	平聲	□{兩手抱小孩} □{一~豆子}
tɕʰ	iɒ	上聲	卡{~子}
tɕʰ	iɒ	去聲	卡{大~車}
ɕ	iɒ	平聲	蝦 霞 暇 遐 瑕 嚇{~住了} □{~開：打開} □{圪~~：彎腰}
ɕ	iɒ	去聲	下 夏 廈{~門} 嚇 夏
Ø	iɒ	平聲	鴉 丫 椏{~杈} 涯{天涯} 家2{趙~莊，地名}
Ø	iɒ	上聲	雅
Ø	iɒ	去聲	亞 呀 訝
// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	n	l	tɕ	tɕʰ	ɕ	Ø
@FIN	iɔu
@TON	平聲	22
@TON	上聲	312
@TON	去聲	45

// Initial	Final	Tone	CharList (Space separated)
n	iɔu	平聲	娘{背稱}
n	iɔu	上聲	仰
n	iɔu	去聲	釀
l	iɔu	平聲	良 涼 量{~長短} 糧 梁 粱 □{圪~：困倦}
l	iɔu	上聲	兩{兩個、幾兩}
l	iɔu	去聲	亮 諒 輛 量{數~} 晾 靚 梁{脊~} □{圪~皮：米湯上的膜}
tɕ	iɔu	平聲	將{~軍} 疆 僵 礓 韁 姜 江 豇 □{~水：用來發菜的稀米湯} □{小孩子在十二歲前佩帶的一種飾物}
tɕ	iɔu	上聲	蔣 獎 槳 講
tɕ	iɔu	去聲	醬 將{~領} 匠 降{~落} 虹 犟
tɕʰ	iɔu	平聲	槍 牆 羌 強{~大} 腔 薔 鏘 藏{~明明：捉迷藏}
tɕʰ	iɔu	上聲	搶 強{勉~}
tɕʰ	iɔu	去聲	嗆
ɕ	iɔu	平聲	香 鄉 相{~互} 箱 湘 襄 鑲 祥 詳 降{投~}
ɕ	iɔu	上聲	享 響 想 餉
ɕ	iɔu	去聲	向 象 像 橡 相{將~} 項 巷
Ø	iɔu	平聲	央 秧 殃 羊 洋 揚 楊 陽 瘍 鴦 佯 快 泱 鞅
Ø	iɔu	上聲	養 癢 氧
Ø	iɔu	去聲	樣 羔 漾
// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	t	n	l	tɕ	tɕʰ	ɕ	Ø
@FIN	iəu
@TON	平聲	22
@TON	上聲	312
@TON	去聲	45

// Initial	Final	Tone	CharList (Space separated)
t	iəu	平聲	丟
n	iəu	平聲	牛 妞
n	iəu	上聲	扭 紐 羞{圪~：腼腆；害羞}
n	iəu	去聲	拗
l	iəu	平聲	劉 流 留 瘤 溜 六 瀏 琉
l	iəu	上聲	柳
l	iəu	去聲	遛 餾
tɕ	iəu	平聲	揪 究 蹴 糾 赳
tɕ	iəu	上聲	灸 九 臼 酒 韭
tɕ	iəu	去聲	就 救 舊 舅 疚
tɕʰ	iəu	平聲	丘 秋 邱 球 裘 囚 求 □{後~：馬屁股上捆的寬布條帶} □{男陰}
ɕ	iəu	平聲	修 休 羞
ɕ	iəu	上聲	朽
ɕ	iəu	去聲	秀 鏽 繡 袖 嗅 宿{星~}
Ø	iəu	平聲	由 油 游 悠 尤 幽 莜 優 郵 憂 猶 鈾
Ø	iəu	上聲	有 友 酉
Ø	iəu	去聲	又 右 幼 佑 誘 釉
// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	p	pʰ	m	t	tʰ	n	l	tɕ	tɕʰ	ɕ	Ø
@FIN	iəʔ
@TON	陰入	22
@TON	陽入	312

// Initial	Final	Tone	CharList (Space separated)
p	iəʔ	陰入	筆 畢 必 泊{梁山~} 北 逼 碧 壁 璧 陛{~下} □{烤} □{女陰}
pʰ	iəʔ	陰入	匹{一~馬、一~布} 僻 辟 劈
m	iəʔ	陰入	密 蜜 墨 默 覓
t	iəʔ	陰入	得 德 的{目~} 嫡 笛 敵 狄
t	iəʔ	陽入	□ □{kʰəʔ312-53~：非常}
tʰ	iəʔ	陰入	踢 剔
tʰ	iəʔ	陽入	特
n	iəʔ	陰入	逆 溺
l	iəʔ	陰入	立 笠 粒 栗 肋 勒 力 歷 □{左} □{pʰəʔ312~：左撇子}
tɕ	iəʔ	陰入	輯 及 級 疾 即 鯽 極 戟 積 跡 脊 籍 績 寂 吉 激
tɕ	iəʔ	陽入	集
tɕʰ	iəʔ	陰入	緝{~鞋} □ 泣 七 漆 乞 迄 雀{麻~} 鵲{喜~} 戚 □{~塔：可愛}
tɕʰ	iəʔ	陽入	膝
ɕ	iəʔ	陰入	襲 吸 悉 塞{~住} 惜 昔 錫 析 □{藏起來} □{叨~：說話}
ɕ	iəʔ	陽入	習 息 熄 媳 席
Ø	iəʔ	陰入	乙 一 逸 益 亦 譯 疫 役
// HSD Syllabary Data Partition
// 地区：山西省-晉中市-榆社縣-城關
// 来源：李建校、崔容、郭鴻燕…《榆社方言研究》
// 规范：HSD v1.0 (Strict-Typed)

@LOC	山西省-晉中市-榆社縣-城關
@SRC	李建校、崔容、郭鴻燕…《榆社方言研究》

@INI	p	pʰ	m	t	tʰ	n	l	ts	tsʰ	s	z	k	kʰ	ŋ	x	Ø
@FIN	ou
@TON	平聲	22
@TON	上聲	312
@TON	去聲	45

// Initial	Final	Tone	CharList (Space separated)
p	ou	平聲	包 胞 刨{~地} 雹 苞
p	ou	上聲	褒{~獎} 保 堡 寶 飽
p	ou	去聲	抱 報 暴 鮑 豹 爆 刨
pʰ	ou	平聲	袍 泡{燎~} 拋
pʰ	ou	上聲	跑
pʰ	ou	去聲	炮 槍{~泡~在水裏}
m	ou	平聲	毛 茅 貓 矛 錨 耗 髦
m	ou	上聲	卯 鉚
m	ou	去聲	貌 帽 貿 茂 冒
