	注释：-白读，=文读
∅	[1]衣𭥾伊医依矣[2]姨夷{化险为～}怡贻漪饴[3]以已倚=[5]意懿亿忆[6]异肄
#u	
p	[2]瓠{葫芦瓜}炮{在炭火中烧熟}[6]妇-{新～}腐-伏{孵，～鸡}
pʰ	[2]浮-烰{油炸}[3]殕{发霉}
m	[3]母
t	[1]都[2]途图涂{糊～，～料}屠塗{～料}[3]堵赌肚{猪～}[6]妒蠹肚{～量}度渡镀杜
tʰ	[2]塗{干泥土}[3]土{～气}[5]吐兔
n	[2]奴努[6]怒拏
l	[1]噜[2]卢庐芦炉[3]鲁橹虏□{打}[5]露[6]路赂
ts	[1]租资姿咨滋蛆辎[2]徂瓷慈磁兹[3]祖阻紫{～云英}子梓咀俎[6]助自
tsʰ	[1]粗初{～中，～一}[3]楚础此[5]次醋刺=
s	[1]苏疏={～远}酥斯私思{～想}司={～令}师={老～}[2]辞词祠饲={～料}伺嗣[3]死=使=史驶=[5]素诉塑嗉赐肆{放～}思{意～}四=[6]似祀巳士仕寺{三峰～}俟事
k	[1]姑菇辜枯[2]糊-{洋～}[3]古鼓估钴{茶～}贾{商～}股牯{雄性}[5]故固顾雇灸{火烫}[6]旧-{新～}舅-{阿～}
kʰ	[1]坵丘[3]苦库裤[6]臼-{舂～}
ŋ	[2]吴梧吾牛[3]午五={～星}伍[6]五-
x	[1]呼{招～}夫=肤敷麸=[2]胡糊={～涂}湖壶狐鬍乎符[3]虎府俯甫斧{刀～手}武{～曲，乡名}釜附[5]戽赴讣付赋傅副富=[6]户沪怙父负附扶妇={～女}腐={～化}
∅	[1]乌污[2]无毋巫诬[3]武舞侮鹉[5]恶{可～}[6]有-
#y	
t	[1]猪追诛[2]除捶[5]著[6]箸{筷子}坠
tʰ	[2]锄锤躇槌[3]杵贮{～藏}
n	[5]女汝
l	[3]吕旅缕屡履{～行}蕊[6]虑滤类
ts	[1]书-{读～}诸楮{～柴}[3]煮水[6]柱={～石}驻住{居～}聚注
tsʰ	[1]趋雏{～鸡}[3]鼠取[5]处喙
s	[1]书={文～}舒胥梳须鬚={胡～}输={运～}[2]薯徐殊随垂陲隋[3]暑署绪墅[5]恕絮[6]序叙树={建～}瑞
k	[1]车={～马炮}居[2]衢瞿瞿巨[3]举矩炬[5]锯据句={～号}拒距[6]具惧俱
kʰ	[1]区驱躯拘驹[2]□{笨拙}[5]去=
ŋ	[2]鱼渔愚虞娱隅[3]语[6]遇御寓
x	[1]虚嘘墟[3]许浒栩[5]酗煦
∅	[1]淤孟迁吁[2]余馀俞舆榆[3]雨与宇禹羽于[5]妪[6]誉愈喻裕峪逾愉
#ai	
p	[2]排=[3]摆{摇～}跛[5]拜湃[6]败
pʰ	[3]痞{～囝}[5]派
m	[2]埋霾[3]□{坏}[6]迈
t	[1]呆[2]台苔{～藓}埋{埋葬}[3]歹□{渣，滓}[5]戴带碓[6]待怠殆大={伟～}
tʰ	[1]胎𥭘{筛，米～}筛{筛，米～}[2]治{杀，宰}[3]腿[5]太态泰
n	[1]乃[5]奶{阿～，伯母}[6]耐奈萘
l	[2]来={～回}[3]□{小篓}[5]粝[6]赖獭
ts	[1]栽哉斋灾[2]财才裁豺材[3]载{年}指-{手～}[5]再债载{～重}[6]在寨
tsʰ	[1]猜钗差{出～}[3]采睬采彩[5]菜蔡
s	[1]狮师{～父}[3]屎驶-{～船}使-[5]晒婿-
k	[1]该皆阶偕胲{鸡～，鸡嗉子}[3]解={～放军}改={～正}[5]界盖丐芥尬届戒
kʰ	[1]开={～始}[3]楷凯恺[5]慨概溉
ŋ	[2]呆{～板}涯崖[5]艾介[6]碍
x	[2]孩骸□{陶瓷}[3]海[6]械亥害骇
∅	[1]唉亥挨=埃[3]霭蔼[5]爱={热～}隘
#au	
p	[1]包[2]胞[3]饱={～满}[5]豹龅{～牙}[6]刨
pʰ	[1]抛[2]跑[5]炮砲泡{～茶}□{老～，柚子}皰{起～}
m	[2]矛茅蝥[3]卯铆□{闭拢}[6]貌□{打的动作}
t	[1]兜[2]投-[3]斗{米～}[5]昼-{日～，中午}[6]豆荳
tʰ	[1]偷[2]头[3]敨{展开}[5]透
n	[3]恼{～起}[6]闹
l	[2]楼流留刘扰[6]漏-老-{～人}
ts	[1]糟[2]巢[3]走蚤爪={鸡～}[5]灶罩
tsʰ	[1]抄操[3]吵草-[5]臭-
s	[3]稍[5]扫嗽
k	[1]交郊[2]猴-[3]狡九-垢-[5]遘{到}□{到}校{～对}教={文～}[6]厚-
kʰ	[1]阄箍[2]□{刮，～猪毛}
ŋ	[2]拗{怪脾气}
x	[1]薅{～草}熇哮{病～}[3]吼{唤，～叫}[5]孝={～顺}鲎{海鱼}[6]效校{学～}
∅	[1]坳[2]号{哭}[6]後-
#ɔi	
t	[1]堆[3]短[5]对□{三～钱}[6]代贷袋兑
tʰ	[1]推[5]退
n	[6]内
l	[1]□{木节}□{丝线结}[2]雷={～锋}螺{～丝}脶{指纹}[3]儡[6]□{～钻}擂
ts	[3]□{搬，移动}[5]晬{周岁}[6]罪
tsʰ	[1]催摧推=崔[5]碎莝{砍，～柴}
s	[1]衰□{瘦}[6]坐
kʰ	[1]盔魁奎
∅	[3]喂[5]爱{要}
#ɛu	
pʰ	[2]浮={～动}[3]否[6]阜
m	[2]谋眸牟[3]亩牡{～蛎}某[6]茂贸懋
t	[1]雕凋[2]投=条愁[3]抖蚪[5]鬥{～争}
tʰ	[1]馊{臭～}[2]头={带～}
n	[1]袅□{绉起}[3]鸟=
l	[2]瞭楼=[6]料廖漏=
ts	[1]邹[3]走鸟-[5]皱绉奏[6]骤
tsʰ	[1]缲[2]愁=[5]凑
s	[1]搜飕[2]□{常常}□{均匀}[3]叟
k	[1]勾钩沟胶[3]狗苟垢=□{丑}[5]构购媾够诟
kʰ	[3]口[5]蔻扣叩寇
ŋ	[3]偶[6]藕
x	[2]侯喉{白～}□{～婆，不正派的女人}姣{～婆，不正派的女人}[6]后=候厚={忠～}
∅	[3]呕
#ia	
p	[3]□{枪声}[5]壁
pʰ	[2]陂
t	[1]爹
n	[3]惹{～事}
ts	[1]遮[3]者纸[5]蔗柘这漈{岩～}[6]借{～口}
tsʰ	[1]车{汽～}奢[2]斜[3]且
s	[1]赊[2]蛇邪斜佘[3]写[5]泻舍赦削-卸[6]谢社射
k	[2]枷岐{赛～}[5]寄
kʰ	[5]徛{山陡；竖靠}[6]徛{站立}
ŋ	[2]鹅-[5]艾-[6]外-蚁
x	[2]□{腻烦}
∅	[2]耶爷椰[3]野冶[6]夜也
#ie	
p	[6]避
pʰ	[1]批
t	[2]池[3]底{～面}弟-{阿～}
tʰ	[2]啼-
l	[2]离{～别}篱[6]离{距～}
ts	[1]支肢枝
tsʰ	[3]侈扯[5]刺翅
s	[1]施些[5]世势
k	[1]鸡圭规[5]计继桂季
kʰ	[1]窥稽[3]启[5]契
ŋ	[6]义议
x	[5]戏肺[6]系係惠慧
∅	[2]移[3]椅[6]易
#iu	
m	[6]缪
t	[1]丢[3]肘拄{支撑}[5]昼={～夜}[6]宙
tʰ	[1]抽[2]筹绸{～缎}稠[3]丑[6]柱-
n	[3]妞扭
l	[1]溜[2]留={保～}流={～动}榴琉硫[3]柳
ts	[1]周州洲[3]酒[5]咒[6]就
tsʰ	[1]秋[2]酬[3]手醜[5]臭=树-
s	[1]修收羞[2]泅{游水}售囚仇[3]守首[5]秀绣宿{星～}兽锈[6]寿受授
k	[2]球求裘虬□{蹲伏}□{在}[3]久韭纠[5]救究灸=[6]旧=舅=
kʰ	[1]丘坵=邱蚯鸠[5]□{饭干硬}䊆{饭干硬}[6]臼=咎柩
x	[1]休{原文阳平，应为错印}[3]朽[5]嗅
∅	[1]优忧幽悠[2]油由邮尤游犹柔蹂猷[3]友酉有=诱[5]幼[6]右又宥祐佑柚釉
#ua	
p	[5]簸{～箕}
pʰ	[5]破-{～柴}
m	[2]磨{～刀}蔴{～油}麻{～油；种麻}痳{种～}
t	[6]大-
tʰ	[1]拖{拉～}
l	[2]箩-{米～}
s	[1]沙-[3]所耍
k	[1]瓜□{顺路走}[2]桦-{～柴}[3]寡剐[5]挂卦芥[6]□{大}
kʰ	[1]夸垮誇跨
ŋ	[6]瓦话
x	[1]花[2]华-桦=铧哗[5]化
∅	[1]娃蛙哇[2]划{～水}[3]我[6]画划
#uo	
p	[1]哺晡{夜晚}[2]□{两～花，量词}蒲{菖～}[3]补捕[5]布[6]步埠部簿
pʰ	[1]铺{床～}[2]□{托起，捧场}[3]浦普谱[5]铺{十里}
m	[1]摸[2]模[3]母{诸～，女人}[5]墓[6]慕暮募务雾
t	[3]朵躲
l	[3]裸裹
k	[3]果裹[5]过句-
kʰ	[1]科窠蝌靴戈[2]瘸{～骹}[3]颗[5]课曲-
ŋ	[6]误
x	[2]和[3]伙=[5]货祸
∅	[1]窝[5]沃-{～雨}[6]芋
#ui	
p	[1]悲[2]肥[5]痱沸-[6]吠
pʰ	[2]□{吐痰}
n	[3]馁
l	[2]垒=累={～计}[6]泪=累{连～}
ts	[1]锥[5]醉最
tsʰ	[1]摧=催=崔[5]脆{干～}
s	[2]谁[3]睡
k	[1]饥-龟归鳜{～鱼}[2]葵{～花}[3]几-{十～}诡轨鬼[5]贵会{～计}[6]柜溃跪
kʰ	[1]亏[5]愧
ŋ	[2]危巍[6]伪魏
x	[1]辉挥徽麾[3]毁燬[5]讳纬
∅	[1]威□{～鱼}[2]围韦为苇[3]伟委购[5]慰畏[6]谓位
#yø	
t	[2]厨[3]贮-{～饭}[6]□{路}
tʰ	[3]□{鼎～，锅铲}
n	[2]挼{揉}
ts	[1]珠朱蛛硃株诛[3]主[5]铸注借-蛀烛
tsʰ	[1]吹炊-[5]厝{住房}戍{住房}粟{谷子}尺脆{不坚韧}
s	[1]输-[3]黍-髓
kʰ	[5]去-
∅	[6]锐阅
#ieu	
p	[1]标膘彪镖[3]表
pʰ	[1]飘漂{～亮}[2]瓢薸{浮萍}嫖[5]票漂{～白}
m	[2]苗猫=缪{绸～}[3]渺秒藐杳[6]庙妙缪{姓～}
t	[1]朝{今～}刁{狡猾}[2]朝{～鲜}调{～查}[5]钓[6]兆赵调{～动}肇召
tʰ	[1]挑[5]跳粜挑{～选}
n	[3]鸟=绕
l	[2]嘹镣[6]糅{～糊}
ts	[1]招昭焦椒樵[3]少-{～量}[5]照诏[6]沼
tsʰ	[1]超锹[5]笑
s	[1]烧消霄硝销梢宵[2]韶[5]少{年～}[6]绍
k	[1]骄娇[2]乔桥荞[3]矫缴铰[5]叫[6]轿挢{撬起}
kʰ	[1]敲[3]巧撬[5]窍劓跷{～起}
ŋ	[2]尧饶
x	[1]嚣[3]晓
∅	[1]妖邀腰夭幺[2]窑摇遥姚[3]舀[5]要=[6]耀燿鹞
#uai	
k	[1]乖[3]拐[5]怪
kʰ	[5]快{痛～}蒯筷块
ŋ	[6]外=
x	[2]淮怀槐[6]坏=
∅	[1]歪
#uoi	
p	[1]杯飞[2]培陪赔[5]背{～部}辈[6]背{～书}倍焙{～茶}
pʰ	[1]坯胚[2]皮-{猪～}[5]配[6]被-{棉～}
m	[2]梅玫枚媒莓糜{～粥}煤[3]每尾[5]妹[6]未-{～去}寐
s	[5]税岁帅
k	[5]瑰
kʰ	[1]恢
ŋ	[2]桅
x	[1]灰诙[2]回迴[3]火伙[5]悔[6]会{开～}
∅	[1]□{掩盖}[2]禾[6]胃卫
#aŋ	
p	[1]班颁斑{～鸠}[2]平-{～直}[5]柄-{刀～}[6]病-
pʰ	[1]甏{～囝，容器}[2]评-庞彭膨
m	[1]輓{～鼓}[2]蛮盲馒冥{～晡}明{～旦}[5]□{饭}[6]慢={怠～}漫谩
t	[1]丹担{扁～}单㬹{后～，脚后跟}□{现在}[2]谈澹{湿}痰[3]胆[5]担{五～}旦蛋{坏～}□{晕湿}[6]淡弹{子～}惮郑但
tʰ	[1]摊滩贪撑牚[2]潭坛𥐯[3]坦毯袒[5]炭探叹坍
n	[2]南男难{困～}□{顶住}[5]□{用手撑起}[6]难{灾～}
l	[2]蓝篮兰拦栏林-{柴～}[3]览榄揽懒□{口水}灡{口水}婪[6]滥烂两-{～斤}
ts	[1]脏簪争{相～}[2]残潺惭馋[3]斩盏井-{水～}[5]赞[6]錾暂站栈
tsʰ	[1]参搀青-生{不熟}[3]醒-铲惨[5]灿
s	[1]三叁衫杉珊删疝汕生-{～囝}牲-{头～}甥-{外～}[2]晴-[3]产伞省{节～}[5]散
k	[1]干乾甘泔尴监{～牢}肝竿艰奸间{中～}更{三～}[2]含-寒-{天～}衔-[3]感敢橄稈赶简柬㔶{盖}[5]鉴监{太～}凎间{～接}谏幹{～部}[6]汗-{流～}
kʰ	[1]堪龛看刊坑勘[3]砍坎侃舰[5]看墈{田～}
ŋ	[2]颜癌[3]眼[6]岸雁
x	[1]酣蚶鼾夯邯[2]函咸{～阳}衔={～头}翰{～林}闲={安～}含={包～}韩寒={严～}[3]罕喊[5]汉[6]撼憾陷
∅	[1]安庵鞍[2]□{匀分}[3]饮-{米汤}揞{掩门}[5]暗案按晏{天晚}[6]旱焊馅銲
#oŋ	
p	[1]帮邦{刘～}[2]旁傍滂磅[3]绑榜[5]谤
pʰ	[6]蚌碰
m	[2]忙茫忘{～记}亡{死～}芒{光～}[3]莽罔{～讲～去}网=
t	[1]当{～初}中-{台～}[2]唐塘堂棠螳长-[3]党墩{桥～}挡涨{海水～潮}[5]当{上～}档{～案}[6]撞宕荡墩{后～，地名}断段丈{两～}锻缎
tʰ	[1]汤吞[2]糖搪[3]倘[5]褪{～衣裳}[6]煅{重热}
n	[2]囊[3]暖-{天～}
l	[2]郎狼廊螂[3]烺朗[6]乱卵-{鸡～}论晾{～衣裳}
ts	[1]赃庄装妆桩[2]藏存[3]钻{金刚～}[5]钻{电～}壮[6]状臟{心～}藏{西～}
tsʰ	[1]仓苍疮窗创{～伤}[2]床[3]忖[5]创{～造}
s	[1]丧{～事}霜孀桑孙酸[3]嗓爽损磉[5]算蒜涮丧{～失}
k	[1]缸扛岗冈肛江根=[3]讲[5]降{～落}岗{山～}□{大门上闩}
kʰ	[1]康糠慷坤堃[3]垦[5]抗炕囥{藏物}
ŋ	[2]昂[6]戆{傻}
x	[1]熏{～火}薰{食～，抽烟}[2]行{银～}航杭降{投～}痕[6]项限
∅	[1]恩秧{～苗}影-{阴～}[5]眏{望，～牛}[6]笐{竹～}
#eŋ	
p	[1]崩斑-{～面}[2]朋爿硼鹏[3]板-版反-{～起}[6]办瓣
pʰ	[1]烹
m	[2]萌盟眠扪[3]猛{～烈}[6]慢-{～～来}孟{孔～之道}
t	[1]登灯东-冬-[2]腾滕謄澄筒{油～鱼}[3]点等={平～}[5]冻{结～}邓店[6]洞{山～}动{～棋}垫簟{谷～}佃重-
tʰ	[2]虫[3]桶[5]踗{～起}
n	[2]能侬{人}[5]奶{食～}[6]念-{～经}
l	[3]冷[6]弄-{～伊笑；～囝}檩{厝～}
ts	[1]争={～取}增曾{姓}针棕鬃[2]层曾{～经}榛{～籽}[3]剪[5]荐{草～，用稻草编起来的床垫，原文作“苫”}粽[6] 赠僧{唐～}
tsʰ	[1]千葱撑[2]塍{田}[3]筅{竹帚}
s	[1]生={～产}牲笙森参{人～}先{～去}[2]前-{～后}[3]㾪{瘦，指食用肉}𢱤{推}[5]送
k	[1]工-{做～}更={～改}[2]悬-{高}鹹-{～味}[3]减耿骾茧亘[5]更{～好}[6]县
kʰ	[1]牵铿空[3]犬肯肯={～定}
ŋ	[6]硬
x	[1]享哼䱋{～鱼}[2]行={～动}恒衡宏弘雄-{鸭～}还-□{晃动}[3]狠很[5]苋杏□{茁壮}巷[6]幸行{品～}虹
∅	[1]翁-{老～}阴-{～天}[2]红-{～色}[5]瓮
#iŋ	
p	[1]宾彬槟兵冰殡[2]凭平=贫频瓶屏萍[5]柄=并併=[6]病=
pʰ	[3]品[5]聘拼
m	[2]闽民明=鸣铭冥=螟名=泯[3]敏皿悯[5]面-{～桶}[6]命={寿～}
t	[1]贞珍钉{铁～}疔丁={人～}[2]停亭婷陈尘藤廷庭={家～}蜓[3]等顶鼎={福～}[5]镇凳[6]阵朕
tʰ	[1]琛[2]沉=[3]逞艇挺[5]听=趁{赚}
n	[2]宁仁{花生～}狞[6]认佞
l	[2]林=淋临邻鳞燐陵凌菱灵铃玲零拎[3]凛廪懔[6]令另
ts	[1]真蒸精=晶旌征[2]情晴=秦[3]枕诊疹轸震拯振娠整[5]进证浸症静
tsʰ	[1]清深亲称{～呼}青=蜻[2]侵{～略}[3]请={申～}寝[5]称{对～}
s	[1]心辛新薪身申伸升星腥[2]寻神辰晨臣乘承诚成={～功}[3]婶审省{反～}醒[5]信讯胜性=姓=圣=[6]甚肾慎剩盛
k	[1]金京今禁{～得起}襟兢荆惊=鲸经[3]锦紧境[5]禁敬竟劲径[6]禁{～喙}
kʰ	[1]钦卿轻[2]琴禽琼[3]肯-顷[5]庆磬
ŋ	[2]迎=吟
x	[1]兴{～起}[2]形型刑邢[5]兴{高～}
∅	[1]音因英茵鹰樱婴阴[2]淫人仁={～义}寅盈嬴莹萤[3]引影=饮={～食}颖颍[5]印应{答～}荫[6]孕刃
#uŋ	
p	[1]枋[2]房㖹{吹}[5]粪放-[6]笨□{株}
pʰ	[1]潘{～水}峰[2]蓬篷冯缝帆[3]纺-[5]缝{门～}
m	[2]蒙濛{雨～}[3]蠓{～囝}[5]梦问-[6]闷焖
t	[1]中=忠东=敦[2]同=桐=童瞳重{～新}[3]董懂盾[5]冻={～结}中{～意}顿栋[6]动=洞={～察}重{～要}
tʰ	[1]通[3]统宠[5]痛=
n	[2]农=脓浓侬={人}
l	[2]笼{～络}龙陇垄=[6]弄={玩～}
ts	[1]宗鬃踪终钟盅[2]从丛[3]总种{留～}肿[5]种{～植}纵{～使}
tsʰ	[1]充冲[5]铳{鸟～}□{推入、套、装}
s	[1]鬆嵩[2]松{～柴}崇丛[5]宋[6]颂诵讼
k	[1]公攻功君军工=[2]群裙[3]巩滚[5]贡棍汞[6]郡
kʰ	[1]空={～气}昆[3]孔捆[5]控困睏
x	[1]风封峰分=纷[2]洪鸿逢=坟焚魂云-烘红=[3]粉愤忿[5]讽训奋[6]凤奉俸份混
∅	[1]温翁=瘟煴{以文火煮}[2]文纹闻[3]吻刎稳[5]蕹{～菜}揾{蘸}[6]问={学～}
#yŋ	
n	[2]忍
l	[2]伦轮沦[6]吝蔺
ts	[3]准[5]俊峻骏峻
tsʰ	[1]春[3]蠢
s	[2]荀绚唇纯询旬淳恂驯[3]笋
k	[1]弓躬宫恭供{～应}筋根-{树～}[2]穷[3]龚巩拱[5]供{祭品}[6]共近
kʰ	[2]勤芹[3]菌
ŋ	[2]银
x	[1]勳熏=胸凶欣[2]雄=[5]衅
∅	[1]殷晕[2]匀云=[3]允隐尹[6]韵运晕闰润
#iaŋ	
p	[3]饼[5]併{合～}摒{弃}
pʰ	[1]𩩍{背部}[3]□{片状}
m	[2]名-{～声}命{好～}
t	[2]埕程[3]鼎-{锅}[6]定-锭
tʰ	[1]听-[3]铲{铲除}[5]□{疼痛}
n	[1]□{烧焦}
l	[3]领-岭
ts	[1]正{～月}煎{～药}[3]䭕{味淡}[5]正{～确}[6]净-{纯～}
tsʰ	[2]成-{做～，做完}[3]请-[5]倩
s	[1]声{名～}[2]成-城□{引诱，～鸡}[5]圣-{显～}
k	[1]惊-[2]行-[3]囝{儿子}[5]镜
kʰ	[1]轻{～手，原文作阳平，应为错印}
ŋ	[2]迎-{～神}吟岩
x	[1]兄{原文作阳平，应为错印}[3]掀{揭起}
∅	[2]营-嬴-赢[3]影-{有～，有疗效}
#ieŋ	
p	[1]边鞭[3]贬扁匾蝙[5]变[6]辨辩便{方～}卞辫
pʰ	[2]骈[5]骗片
m	[2]棉绵[3]免勉娩
t	[1]颠[2]恬缠田[3]展典[6]电奠玷滇{满，水～}
tʰ	[1]天添[5]䋎{缝}
n	[1]粘[2]年[3]染辗
l	[2]廉连联鲢莲联[3]脸辇[6]敛殓练炼
ts	[1]尖櫼{柴～}占毡[2]前=钱潜蝉[3]践饯[5]占箭战颤荐搢{插入}[6]贱溅
tsʰ	[1]签佥迁鲜-笺歼[2]寻{两～长}[3]浅
s	[1]仙羶先=[2]盐檐蝉婵禅[5]盐{～菜}扇[6]善羡
k	[1]肩坚间{几～}[2]乾{～隆}舷{墘，边沿}[3]检[5]见剑[6]俭
kʰ	[1]谦骞[2]擒钳[3]遣谴[5]欠歉
ŋ	[1]妍[2]严俨[3]研[5]砚瘾
x	[2]嫌贤[3]险显[6]现
∅	[1]淹掩焉{疑问词}烟燕{幽～}咽醃[2]延然筵焉{语气词}燃[3]演衍[5]厌燕{海～宴}[6]艳焰谚炎
#uaŋ	
p	[1]搬[2]盘盆槃[5]半[6]绊拌
pʰ	[1]潘{姓}[5]判
m	[2]鳗瞒[3]满
t	[1]端[3]短[6]断
tʰ	[2]团湍
l	[2]鸾銮
ts	[5]钻{～研}[6]撰馔譔
tsʰ	[1]铨栓佺荃[3]喘[5]篡窜
k	[1]官观冠{皇～}鳏关[3]管馆梗{茎}[5]贯灌罐冠{～军}惯观{寺～}[6]□{提}
kʰ	[1]宽[2]环{～城路}[3]款[6]□{畚箕～}
ŋ	[2]顽玩{～具}[7]玩{～耍}
x	[1]欢[2]还=梵桓帆=烦矾繁[3]反={～对}[5]唤焕贩饭=泛[6]缓幻患宦范犯
∅	[1]弯湾[3]碗宛𤾂挽晚阮[6]换万
#uoŋ	
p	[1]分-[3]本[6]范{姓}饭-
m	[2]门
k	[1]光关-{～门}[2]狂[3]广□{米～，量筒}捲
kʰ	[3]圹{穴}[5]劝
x	[1]荒谎婚肪芳方[2]黄楻蝗皇惶癀䐵[3]恍晃纺=倣访彷仿[5]况放=[6]远-
∅	[1]汪[2]王妄[3]往枉[6]旺
#yoŋ	
t	[1]张{姓}[2]传长=场[3]转长{～辈}[5]账账胀涨[6]丈{姑～}传{～记}长{剩余}
tʰ	[1]张{三～纸}[2]椽[5]怅畅[6]篆杖
n	[2]娘[3]软[6]壤让
l	[2]良凉量{商～}粮梁粱[3]两俩[6]恋亮谅量{数～}
ts	[1]将{～来}专砖浆章樟漳[2]泉全[3]奖桨掌[5]将{大～}[6]匠
tsʰ	[1]昌川枪娼[2]墙嫱[3]厂抢[5]倡唱串钏[6]象像
s	[1]相{互～}箱伤宣厢襄镶商湘[2]旋详祥常尝裳偿漩镟[3]选想鲞[5]相{～貌}[6]尚上痒-吮
k	[1]涓娟捐疆僵羌姜[2]权[3]捲{～起}[5]卷{考～}绢眷建毽券[6]倦
