1890會城			IPA	
K'	ím	箝	kʰ	im
K	ín	見	k	in
K	ín	君	k	in
K'	ín	㨴	kʰ	in
K'	ín	拳	kʰ	in
K	ing	京	k	ɪŋ
K	íp	及	k	ip
K	íp	刦	k	ip
K	ít	潔	k	it
K'	ít	揭	kʰ	it
K'	ít	厥	kʰ	it
K	íú	轎	k	iu
K'	íú	橋	kʰ	iu
K	o	哥	k	ɔ
K	o	過	k	ɔ
K	ò	高	k	oʊ
K	oí	該	k	ɔi
K	oí	個	k	ɔi
K'	oí	蓋	kʰ	ɔi
K	ok	各	k	ɔk
K	ok	割	k	ɔk
K	ok	國	k	ɔk
K	ök	腳	k	œk
K'	ok	確	kʰ	ɔk
K'	ök	卻	kʰ	œk
K	om	柑	k	ɔm
K	on	乾	k	ɔn
K	ong	江	k	ɔŋ
K	ong	光	k	ɔŋ
K'	ong	*	kʰ	ɔŋ
K'	öng	薑	kʰ	œŋ
K	uk	穀	k	ʊk
K'	uk	曲	kʰ	ʊk
K	ung	工	k	ʊŋ
K'	ung	窮	kʰ	ʊŋ
K	út	葛	k	ut
Kw	á	瓜	kʷ	a
K'w	á	*	kʷʰ	a
Kw	aí	鬼	kʷ	ɐi
Kw	áí	乖	kʷ	ai
K'w	an	羣	kʷʰ	ɐn
Kw	án	關	kʷ	an
Kw	áng	轟	kʷ	aŋ
Kw	at	括	kʷ	ɐt
Kw	át	刮	kʷ	at
Kw	ing	冂	kʷ	ɪŋ
Kw	it	𠵯	kʷ	it
K'w	ong	狂	kʷʰ	ɔŋ
Kw	ú	古	kʷ	u
K'w	ú	軲	kʷʰ	u
Kw	úí	居	kʷ	ui
Kw	úí	癐	kʷ	ui
Kw	úí	龜	kʷ	ui
K'w	úí	區	kʷʰ	ui
K'w	úí	規	kʷʰ	ui
Kw	ún	卷	kʷ	un
Kw	ún	官	kʷ	un
K'w	ún	*	kʷʰ	un
Kw	út	骨	kʷ	ut
L				
L	á	罅	l	a
L	áí	犂	l	ai
L	áí	拉	l	ai
L	ák	刖	l	ak
L	ám	藍	l	am
L	án	欄	l	an
L	áng	冷	l	aŋ
L	áp	笠	l	ap
L	át	辢	l	at
L	áu	樓	l	aʊ
L	áu	橩	l	aʊ
L	e	哩	l	ɛ
L	éí	梨	l	ei
L	em	林	l	ɛm
L	en	鄰	l	ɛn
L	ep	*	l	ɛp
L	et	甪	l	ɛt
L	ik	力	l	ɪk
L	ím	廉	l	im
L	ín	連	l	in
L	ing	靈	l	ɪŋ
L	íp	立	l	ip
L	íp	擸	l	ip
L	íp	獵	l	ip
L	ít	列	l	it
L	íú	了	l	iu
L	o	羅	l	ɔ
L	ò	路	l	oʊ
L	ò	𦧲	l	oʊ
L	oí	來	l	ɔi
L	ok	樂	l	ɔk
L	ök	略	l	œk
L	on	*	l	ɔn
L	öng	凉	l	œŋ
L	ot	捋	l	ɔt
L	uí	雷	l	ʊi
L	úí	*	l	ui
L	uk	六	l	ʊk
L	ún	論	l	un
L	ún	撚	l	un
L	ün	聯	l	yn
L	ung	龍	l	ʊŋ
L	út	律	l	ut
M				
M		唔	m	
M	á	馬	m	a
M	á	咩	m	a
M	áí	米	m	ai
M	áí	賣	m	ai
M	ak	墨	m	ɐk
M	ák	擘	m	ak
M	an	民	m	ɐn
M	án	萬	m	an
M	áng	擝	m	aŋ
M	áng	盲	m	aŋ
M	at	乜	m	ɐt
M	át	*	m	at
M	áu	謀	m	aʊ
M	áu	茅	m	aʊ
M	éí	㖇	m	ei
M	et	覓	m	ɛt
M	í	*	m	i
M	íang	名	m	iɐŋ
M	íu	棉	m	iʊ
M	ing	明	m	ɪŋ
M	ít	烕	m	it
M	íú	苗	m	iu
M	o	摩	m	ɔ
M	ò	母	m	oʊ
M	oí	妹	m	ɔi
M	ok	漠	m	ɔk
M	on	門	m	ɔn
M	ong	亡	m	ɔŋ
M	uk	木	m	ʊk
M	ung	夢	m	ʊŋ
M	út	沒	m	ut
M	út	抹	m	ut
Mw	at	*	mʷ	ɐt
Mw	út	*	mʷ	ut
N				
N	á	拏	n	a
N	áí	泥	n	ai
N	áí	奶	n	ai
N	ám	男	n	am
N	án	難	n	an
N	áng	能	n	aŋ
N	ao	*	n	ɐɔ
N	áp	納	n	ap
N	áu	錨	n	aʊ
N	éí	你	n	ei
N	ek	*	n	ɛk
N	em	腍	n	ɛm
N	eng	𠽒	n	ɛŋ
N	ep	粒	n	ɛp
N	eu	*	n	ɛʊ
Ng		五	ŋ	
Ng	á	牙	ŋ	a
Ng	aí	*	ŋ	ɐi
Ng	áí	蟻	ŋ	ai
Ng	áí	崖	ŋ	ai
Ng	ak	阨	ŋ	ɐk
Ng	ák	額	ŋ	ak
Ng	ám	唅	ŋ	am
Ng	ám	啱	ŋ	am
Ng	ám	硬	ŋ	am
Ng	án	銀	ŋ	an
Ng	án	眼	ŋ	an
Ng	áp	𡀞	ŋ	ap
Ng	áp	𫫄	ŋ	ap
Ng	át	兀	ŋ	at
Ng	át	齧	ŋ	at
Ng	áu	牛	ŋ	aʊ
Ng	áu	咬	ŋ	aʊ
Ng	em	飲	ŋ	ɛm
Ng	et	*	ŋ	ɛt
Ng	í	𠼮	ŋ	i
Ng	íá	𫫃	ŋ	ia
Ng	ín	元	ŋ	in
Ng	ín	人	ŋ	in
Ng	ín	仁	ŋ	in
Ng	ít	*	ŋ	it
Ng	o	鵝	ŋ	ɔ
Ng	ò	摮	ŋ	oʊ
Ng	oí	呆	ŋ	ɔi
Ng	ok	樂	ŋ	ɔk
Ng	òn	岸	ŋ	on
Ng	òn	閏	ŋ	on
Ng	ong	戇	ŋ	ɔŋ
Ng	úí	愚	ŋ	ui
Ng	úí	魚	ŋ	ui
Ng	uk	玉	ŋ	ʊk
Ng	ún	*	ŋ	un
Ng	út	月	ŋ	ut
N	ik	溺	n	ɪk
N	ím	念	n	im
N	ín	年	n	in
N	ing	擰	n	ɪŋ
N	íp	聶	n	ip
N	íú	鳥	n	iu
N	íú	嬲	n	iu
N	o	糯	n	ɔ
N	ò	奴	n	oʊ
N	ò	怒	n	oʊ
N	oan	暖	n	ɔɐn
N	oen	暖	n	ɔɛn
N	oí	耐	n	ɔi
N	ok	諾	n	ɔk
N	ong	浪	n	ɔŋ
N	ong	囊	n	ɔŋ
N	öng	娘	n	œŋ
N	úí	女	n	ui
N	ung	燶	n	ʊŋ
O				
	O	阿	ʔ	ɔ
	Ò	澳	ʔ	oʊ
	Oí	愛	ʔ	ɔi
	Ok	惡	ʔ	ɔk
	On	安	ʔ	ɔn
P				
P	á	把	p	a
P'	á	怕	pʰ	a
P	áí	閉	p	ai
P	áí	拜	p	ai
P'	áí	批	pʰ	ai
P'	áí	牌	pʰ	ai
P	ak	北	p	ɐk
P	ák	伯	p	ak
P'	ák	拍	pʰ	ak
P'	an	貧	pʰ	ɐn
P	án	班	p	an
P'	án	攀	pʰ	an
P	áng	崩	p	aŋ
P	áng	㖓	p	aŋ
P'	áng	朋	pʰ	aŋ
P'	áng	棚	pʰ	aŋ
P	át	八	p	at
P	áu	包	p	aʊ
P'	áu	炮	pʰ	aʊ
P	e	啤	p	ɛ
P	éí	俾	p	ei
P'	éí	皮	pʰ	ei
P	en	品	p	ɛn
P'	en	*	pʰ	ɛn
P	et	不	p	ɛt
P'	et	疋	pʰ	ɛt
p	ik	偪	p	ɪk
P'	ik	闢	pʰ	ɪk
P	ín	編	p	in
P'	ín	偏	pʰ	in
P	ing	兵	p	ɪŋ
P'	ing	平	pʰ	ɪŋ
P'	íeng	平	pʰ	iɛŋ
P	ít	必	p	it
P'	ít	撇	pʰ	it
P	íú	票	p	iu
P'	íú	漂	pʰ	iu
P	o	波	p	ɔ
P'	o	婆	pʰ	ɔ
P	ò	煲	p	oʊ
P'	ò	鋪	pʰ	oʊ
P	oat	鉢	p	ɔɐt
P	oat	潑	p	ɔɐt
P	oen	*	p	ɔɛn
P	òn	*	p	on
P	oí	杯	p	ɔi
P'	oí	賠	pʰ	ɔi
P	ok	博	p	ɔk
P'	ok	扑	pʰ	ɔk
P	òm	㯁	p	om
P	òm	搫	p	om
P	oen	搫	p	ɔɛn
P	ong	幇	p	ɔŋ
P'	ong	旁	pʰ	ɔŋ
P	uk	卜	p	ʊk
P'	uk	仆	pʰ	ʊk
P'	ún	盆	pʰ	un
P'	ung	篷	pʰ	ʊŋ
S				
S	áí	西	s	ai
S	áí	嘥	s	ai
S	ák	塞	s	ak
S	ám	三	s	am
S	án	散	s	an
S	ang	擤	s	ɐŋ
S	en	擤	s	ɛn
S	áng	*	s	aŋ
S	áp	卅	s	ap
S	áp	咂	s	ap
S	áp	霎	s	ap
S	át	撒	s	at
S	éí	*	s	ei
S	em	心	s	ɛm
S	en	新	s	ɛn
S	ep	膝	s	ɛp
S	eu	秀	s	ɛʊ
Sh	á	沙	ʃ	a
Sh	áí	世	ʃ	ai
Sh	áí	哂	ʃ	ai
Sh	ák	𢱢	ʃ	ak
Sh	ám	衫	ʃ	am
Sh	án	山	ʃ	an
Sh	áng	生	ʃ	aŋ
Sh	áng	省	ʃ	aŋ
Sh	áp	煠	ʃ	ap
Sh	au	*	ʃ	ɐʊ
Sh	áu	哨	ʃ	aʊ
Sh	em	閃	ʃ	ɛm
Sh	en	伸	ʃ	ɛn
Sh	en	扇	ʃ	ɛn
Sh	en	唇	ʃ	ɛn
Sh	ep	溼	ʃ	ɛp
Sh	et	舌	ʃ	ɛt
Sh	et	舌	ʃ	ɛt
Sh	í	尸	ʃ	i
Sh	íá	賒	ʃ	ia
Sh	íang	聲	ʃ	iɐŋ
Sh	ik	色	ʃ	ɪk
Sh	ím	森	ʃ	im
Sh	ín	身	ʃ	in
Sh	ín	船	ʃ	in
Sh	ing	升	ʃ	ɪŋ
Sh	íp	十	ʃ	ip
Sh	íp	攝	ʃ	ip
Sh	ít	失	ʃ	it
Sh	íú	收	ʃ	iu
Sh	íú	燒	ʃ	iu
Sh	o	疏	ʃ	ɔ
Sh	ò	數	ʃ	oʊ
Sh	oì	使	ʃ	ɔi
Sh	ok	敕	ʃ	ɔk
Sh	ök	汋	ʃ	œk
Sh	ong	爽	ʃ	ɔŋ
Sh	öng	常	ʃ	œŋ
Sh	ü	書	ʃ	y
Sh	úí	衰	ʃ	uɪ
Sh	uk	叔	ʃ	ʊk
Sh	un	順	ʃ	ʊn
Sh	ung	崇	ʃ	ʊŋ
Sh	út	術	ʃ	ut
S	ik	息	s	ɪk
S	ín	仙	s	in
S	ing	星	s	ɪŋ
S	íang	星	s	iɐŋ
S	íp	𠓼	s	ip
S	ít	洩	s	it
S	íú	宵	s	iu
S	o	鎖	s	ɔ
S	ò	鬚	s	oʊ
S	oí	顋	s	ɔi
S	ok	索	s	ɔk
S	ök	削	s	œk
S	ong	桑	s	ɔŋ
S	öng	想	s	œŋ
S	uí	歲	s	ʊi
S	uk	宿	s	ʊk
S	ún	榫	s	un
S	ún	孫	s	un
S	ung	鬆	s	ʊŋ
S	út	恤	s	ut
S	út	雪	s	ut
S	z	思	s	z̩
T				
T	á	打	t	a
T	áí	低	t	ai
T	áí	帶	t	ai
T	ak	得	t	ɐk
T	ák	得	t	ak
T	ám	淡	t	am
T	án	單	t	an
T	áng	燈	t	aŋ
T	áp	搭	t	ap
T	át	笪	t	at
T	at	*	t	ɐt
T	au	痘	t	ɐʊ
T	éí	地	t	ei
T'	ék	踢	tʰ	ek
T	em	泵	t	ɛm
T	ep	嗒	t	ɛp
T	íá	爹	t	ia
T	ik	敵	t	ɪk
T	ím	點	t	im
T	ín	典	t	in
T	ing	丁	t	ɪŋ
T	íp	蝶	t	ip
T	ít	跌	t	it
T	íú	丢	t	iu
T	o	多	t	ɔ
T	ò	刀	t	oʊ
T	oí	代	t	ɔi
T	ok	度	t	ɔk
T	on	㡭	t	ɔn
T	ong	當	t	ɔŋ
T	òt	奪	t	ot
Ts	aí	劑	ts	ɐi
Ts'	aí	妻	tsʰ	ɐi
Ts	ak	則	ts	ɐk
Ts'	ák	賊	tsʰ	ak
Ts	ám	簪	ts	am
Ts'	ám	參	tsʰ	am
Ts	án	贊	ts	an
Ts'	án	餐	tsʰ	an
Ts	ang	增	ts	ɐŋ
Ts'	ang	層	tsʰ	ɐŋ
Ts	áp	習	ts	ap
Ts'	át	擦	tsʰ	at
Ts'	em	侵	tsʰ	ɛm
Ts'	en	親	tsʰ	ɛn
Ts	ep	蓺	ts	ɛp
Ts'	ep	緝	tsʰ	ɛp
Ts	et	疾	ts	ɛt
Ts'	et	七	tsʰ	ɛt
Ts	eu	酒	ts	ɛu
Ts'	eu	秋	tsʰ	ɛu
Ts	íá	借	ts	ia
Ts'	íá	邪	tsʰ	ia
Ts	íak	瘌	ts	iɐk
Ts	ik	卽	ts	ɪk
Ts	ím	尖	ts	im
Ts'	ím	簽	tsʰ	im
Ts	ín	前	ts	in
Ts'	ín	千	tsʰ	in
Ts	ing	晶	ts	ɪŋ
Ts'	ing	淸	tsʰ	ɪŋ
Ts	íp	接	ts	ip
Ts	ít	節	ts	it
Ts'	ít	切	tsʰ	it
Ts	íú	椒	ts	iu
Ts'	íú	鍫	tsʰ	iu
Ts	o	左	ts	ɔ
Ts'	o	錯	tsʰ	ɔ
Ts	ò	租	ts	oʊ
Ts'	ò	粗	tsʰ	oʊ
Ts	oí	宰	ts	ɔi
Ts'	oí	才	tsʰ	ɔi
Ts	ok	作	ts	ɔk
Ts'	ok	錯	tsʰ	ɔk
Ts	ök	雀	ts	œk
Ts	ong	葬	ts	ɔŋ
Ts	öng	將	ts	œŋ
Ts'	ong	艙	tsʰ	ɔŋ
Ts'	öng	祥	tsʰ	œŋ
Ts	uí	序	ts	ʊi
Ts'	úí	取	tsʰ	ui
Ts	uk	足	ts	ʊk
Ts'	uk	促	tsʰ	ʊk
Ts	ún	津	ts	un
Ts	ún	尊	ts	un
Ts'	ún	巡	tsʰ	un
Ts'	ün	全	tsʰ	yn
Ts	ung	宗	ts	ʊŋ
Ts'	ung	從	tsʰ	ʊŋ
Ts	út	卒	ts	ut
Ts	út	絶	ts	ut
Ts'	út	捽	tsʰ	ut
Ts	z	子	ts	z̩
Ts'	z	慈	tsʰ	z̩
T	uí	堆	t	ʊi
T'	úí	退	tʰ	ʊi
T	úk	督	t	uk
T	un	墩	t	ʊn
T	ún	不	t	un
T	ung	冬	t	ʊŋ
T'	ung	通	tʰ	ʊŋ
T	út	凸	t	ut
U				
	Uk	屋	ʔ	ʊk
W				
W	á	話	w	a
W	aí	圍	w	ɐi
W	aí	煨	w	ɐi
W	áí	壞	w	ai
W	ák	或	w	ak
W	ák	域	w	ak
W	an	雲	w	ɐn
W	án	灣	w	an
W	áng	橫	w	aŋ
W	at	欝	w	ɐt
W	út	欝	w	ut
W	át	滑	w	at
W	éí	*	w	ei
W	en	*	w	ɛn
W	et	*	w	ɛt
W	ing	栐	w	ɪŋ
W	o	窩	w	ɔ
W	ok	鑊	w	ɔk
W	ong	王	w	ɔŋ
W	ú	惡	w	u
W	úí	囘	w	ui
W	éí	囘	w	ei
W	ún	盌	w	un
W	ún	勻	w	un
W	út	活	w	ut
Y				
Y	aí	𠯋	j	ɐi
Y	am	音	j	ɐm
Y	an	因	j	ɐn
Y	an	印	j	ɐn
Y	at	*	j	ɐt
Y	et	穴	j	ɛt
Y	íp	穴	j	ip
Y	í	雨	j	i
Y	í	於	j	i
Y	iá	也	j	ɪa
Y	iá	耶	j	ɪa
Y	ik	益	j	ɪk
Y	ín	員	j	in
Y	ing	應	j	ɪŋ
Y	íp	邑	j	ip
Y	ít	一	j	it
Y	íú	有	j	iu
Y	ök	約	j	œk
Y	öng	羊	j	œŋ
Y	uí	銳	j	ʊi
Y	uk	欲	j	ʊk
Y	ung	甕	j	ʊŋ
H	íp	甕	h	ip
Y	ung	用	j	ʊŋ
H	íp	用	h	ip
