	序号	字		合浦党江	灵山陆屋
	861	碑		pi45	pei11
	862	卑		pi45	pei11
	863	彼		pʰi13	pʰei55
	864	俾		pʰi13	pʰei55
	865	臂		pi33	pei35
	866	披		pʰi45	pʰei11
	867	譬		pʰi13	pʰei55
	868	皮		pʰi33	pʰei21
	869	疲		pʰi33	pʰei21
	870	脾		pʰi33	pʰei21
	871	被		pʰi13	pʰei55
	872	婢		pʰi21	pʰei33
	873	被			pʰei33
	874	避		pʰi21	pʰi33
	875	𪎭			
	876	糜			
	877	彌		mi13	mei21
	878	䉲			
	879	靡		mi21	mei21
	880	離		li33	lei21
	881	籬		li33	lei21
	882	璃		li45	lei11
	883	荔		lɐi21	lai33
	884	離		li33	lei21
	885	紫		tsi13	tsei55
	886	雌		tsʰi45	tsʰei11
	887	此		tsʰi13	tsʰi55
	888	刺		tsʰi33	tsʰi35
	889	疵		tsʰi45	tsʰei11
	890	斯		ɬi45	ɬei11
	891	廝		ɬi45	ɬei11
	892	撕		ɬi45	ɬei11
	893	璽		ɬɐi13	ɬei55
	894	徙		ɬɐi13	ɬei55
	895	賜		tsʰi33	ɬɛ35
	896	知		tsi45	tsi11
	897	蜘		tsi45	tsi11
	898	智		tsi33	tsi35
	899	池		tsʰi33	tsʰi21
	900	馳		tsʰi33	tsʰi21
	901	差	参差	tsʰi45	tsʰi11
	902	篩		sɐi45	sɐi11
	903	支		tsi45	tsi11
	904	枝		tsi45	tsi11
	905	肢		tsi45	tsi11
	906	梔		tsi45	tsi11
	907	紙		tsi13	tsi55
	908	只		tsi13	tsi55
	909	眵			
	910	侈		tsʰi13	tsi55
	911	舐			
	912	施		si45	si11
	913	豕			
	914	翅		tsʰi33	tsʰi35
	915	匙		si33	si21
	916	是		si21	si21
	917	氏		si21	si33
	918	豉		si21	si33
	919	兒		ȵi33	ȵi21
	920	爾		ȵi21	ȵi33
	921	寄		ki33	kei35
	922	企		kʰi13	kʰei55
	923	奇		kʰi33	kʰei21
	924	騎		kʰi33	kʰei21
	925	岐		kʰi33	kʰei21
	926	徛		kʰi21	kʰei33
	927	技		kʰi21	kʰei33
	928	妓		kʰi21	kʰei33
	929	宜		ji33	ȵi21
	930	儀		ȵi21	ȵi21
	931	蟻		ȵi45	ȵi55
	932	誼		ji33	ȵi35
	933	義		ȵi21	ȵi35
	934	議		ȵi13	ȵi35
	935	犧		hi45	hei11
	936	戲		hi33	hei35
	937	倚		ji13	ji55
	938	椅		ji13	ji55
	939	移		ji33	ji21
	940	易	难易	ji21	ji33
	941	悲		pui45	pei11
	942	鄙		pi13	pei55
	943	比		pi13	pei55
	944	秕		pi13	pei55
	945	祕		pi33	pei35
	946	泌		pi33	pei35
	947	辔			
	948	庇		pi13	pei35
	949	痹		pi33	pei35
	950	丕		pʰui45	pʰei11
	951	屁		pʰi33	pʰei35
	952	琵		pʰi33	pʰei21
	953	枇		pʰi33	pʰei21
	954	備		pʰi21	pʰei33
	955	鼻		pʰɐt21	pʰei33
	956	篦		pʰi33	pʰei33
	957	眉		mi33	mei21
	958	楣		mi33	mei21
	959	黴		mui45	mei21
	960	美		mui13	mei33
	961	媚		mi33	mei33
	962	寐		mi33	mei33
	963	地		tʰi21	tʰei33
	964	尼		nɐi33	nɐi21
	965	膩		nɐi33	nɐi33
	966	梨		li33	lei21
	967	履		lu13	lei55
	968	利		li21	lei33
	969	痢		li21	lei33
	970	資		tsi45	tsi11
	971	姿		tsi45	tsi11
	972	咨		tsi45	tsi11
	973	姊		tsi13	tsi55
	974	次		tsʰi33	tsi55
	975	瓷		tsʰi33	tsʰi21
	976	餈		tsʰi33	tsʰi21
	977	自		tsʰi21	tsʰi33
	978	私		ɬi45	ɬei11
	979	死		ɬi13	ɬei55
	980	四		ɬi33	ɬei35
	981	肆		ɬi33	ɬei35
	982	致		tsi33	tsi35
	983	遲		tsʰi33	tsʰi21
	984	雉		tsʰi21	
	985	稚		tsʰi21	tsʰi33
	986	師		ɬi45	si11
	987	獅		ɬi45	si11
	988	脂		tsi45	tsi11
	989	旨		tsi13	tsi55
	990	指		tsi13	tsi55
	991	至		tsi33	tsi35
	992	示		si21	si33
	993	尸		si45	si11
	994	屍		si45	si11
	995	矢		si13	si55
	996	屎		si13	si55
	997	視		si21	si33
	998	嗜		si21	si33
	999	二		ȵi21	ȵi33
	1000	貳		ȵi21	ȵi33
	1001	饑		ki45	kei11
	1002	肌		ki45	kei11
	1003	几		ki45	kei11
	1004	冀		ki33	kei35
	1005	器		hi33	hei35
	1006	棄		hi33	hei35
	1007	祁		kʰi33	kʰei21
	1008	鰭		kʰi33	kʰei21
	1009	伊		ji45	ʔei11
	1010	夷		ji33	hei21
	1011	姨		ji33	hei21
	1012	肄			
	1013	你		ni13	nei55
	1014	釐		li33	lei21
	1015	狸		li33	lei21
	1016	李		li13	lei55
	1017	里		li13	lei55
	1018	裏		li13	lei55
	1019	理		li13	lei55
	1020	鯉		li13	lei55
	1021	吏		li21	lei33
	1022	兹		tsi45	tsi11
	1023	滋		tsi45	tsi11
	1024	子		tsi13	tsei55
	1025	梓		tsi13	tsei55
	1026	慈		tsʰi33	tsʰi21
	1027	磁		tsʰi33	tsʰi21
	1028	字		tsʰi21	tsʰi33
	1029	牸		tsʰi21	tsʰi33
	1030	司		ɬi45	ɬei11
	1031	絲		ɬi45	ɬei11
	1032	思		ɬi45	ɬei11
	1033	伺		tsʰi33	tsʰei35
	1034	思		ɬi45	ɬei11
	1035	辭		tsʰi33	tsʰi21
	1036	詞		tsʰi33	tsʰi21
	1037	祠		tsʰi33	tsʰi21
	1038	似		tsʰi33	tsʰi33
	1039	祀		tsʰi21	tsʰi33
	1040	巳		tsʰi21	tsʰi33
	1041	寺		tsʰi21	tsʰi33
	1042	嗣		tsʰi21	tsʰi33
	1043	飼		tsʰi21	tsʰi33
	1044	置		tsi33	tsi35
	1045	癡		tsʰi45	tsʰi11
	1046	耻		tsʰi13	tsʰi55
	1047	持		tsʰi21	tsʰi33
	1048	痔		tsʰi21	tsʰi33
	1049	治		tsʰi21	tsʰi33
	1050	輜		tsi45	tsi11
	1051	滓		tsi13	tsi55
	1052	厠		tsi33	tsʰi35
	1053	士		si33	si33
	1054	仕		si33	si33
	1055	柿		si21	si33
	1056	俟			
	1057	事		si21	sɐi33
	1058	使		sɐi13	sɐi55
	1059	史		sɐi13	sɐi55
	1060	駛		sɐi13	sɐi55
	1061	之		tsi45	tsi11
	1062	芝		tsi45	tsi11
	1063	止		tsi13	tsi55
	1064	趾		tsi13	tsi55
	1065	址		tsi13	tsi55
	1066	志		tsi33	tsi35
	1067	誌		tsi33	tsi35
	1068	痣		tsi33	tsi35
	1069	嗤		tsʰi45	tsʰi11
	1070	齒		tsʰi13	tsʰi55
	1071	詩		si45	si11
	1072	始		tsʰi13	tsʰi55
	1073	試		si33	si35
	1074	時		si33	si21
	1075	鰣			
	1076	市		si13	si33
	1077	恃		tsʰi21	si33
	1078	侍		tsʰi21	si33
	1079	而		ȵi33	ȵi21
	1080	耳		ȵi13	ȵi33
	1081	餌		ȵi13	ȵi33
	1082	基		ki45	kei11
	1083	己		ki13	kei55
	1084	紀		ki13	kei55
	1085	記		ki33	kei35
	1086	欺		hi45	hei11
	1087	起		hi13	hei55
	1088	杞		kʰi13	kʰei55
	1089	其		kʰi33	kʰei21
	1090	棋		kʰi33	kʰei21
	1091	期		kʰi33	kʰei21
	1092	旗		kʰi33	kʰei21
	1093	忌		kʰi21	kʰei33
	1094	疑		ji33	ȵi21
	1095	擬		ji13	ȵi33
	1096	嬉		hi45	hei11
	1097	熙		hi45	hei11
	1098	喜		hi13	hei55
	1099	蟢			
	1100	醫		ji45	ʔei11
	1101	意		ji33	ʔei35
	1102	矣		ji13	ji33
	1103	飴		ji33	ji21
	1104	已		ji13	ji33
	1105	以		ji13	ji33
	1106	異		ji21	ji33
	1107	幾		ki45	kei11
	1108	機		ki45	kei11
	1109	譏		ki45	kei11
	1110	饑		ki45	kei11
	1111	幾		ki13	kei55
	1112	既		ki33	kei35
	1113	豈		hi13	hei55
	1114	氣		hi13	hei55
	1115	汽		hi13	hei55
	1116	祈		kʰi33	kʰei21
	1117	沂		ji33	ji21
	1118	毅		ŋɐi21	ŋɐi33
	1119	希		hi45	hei11
	1120	稀		hi45	hei11
	1121	衣		ji45	ʔei11
	1122	依		ji45	ʔei11
	1123	累	累积	lui13	lui33
	1124	累	连累	lui21	lui33
	1125	嘴		tsui13	tsui55
	1126	髓		ɬui21	ɬui55
	1127	隨		tsʰui33	tsʰui21
	1128	揣			
	1129	吹		tsʰui45	tsʰui11
	1130	炊		tsʰui45	tsʰui11
	1131	垂		tsʰui33	sui21
	1132	睡		sui21	sui33
	1133	瑞		ɬui21	sui33
	1134	蕊		ȵui13	ȵui33
	1135	規		kʰuɐi45	kʰɐi11
	1136	詭		kuɐi13	kɐi55
	1137	虧		kʰuɐi45	kʰɐi11
	1138	窺		kʰuɐi45	kʰɐi11
	1139	跪		kʰuɐi21	kʰɐi33
	1140	危		ŋɐi33	ŋɐi21
	1141	僞		ŋɐi21	ŋɐi33
	1142	麾		fui45	fui11
	1143	毁		fui13	vui55
	1144	萎		vɐi13	vɐi55
	1145	委		vɐi13	vɐi55
	1146	餵			
	1147	爲		vɐi21	vɐi33
	1148	爲		vɐi21	vɐi33
	1149	壘		lui13	lui33
	1150	類		lui21	lui33
	1151	淚		lui21	lui33
	1152	醉		tsui33	tsui35
	1153	翠		tsʰui33	tsʰui35
	1154	雖		ɬui45	ɬui11
	1155	綏		ɬu45	ɬui11
	1156	粹		tsʰui33	tsʰui35
	1157	遂		ɬui21	ɬui33
	1158	隧		ɬui21	ɬui33
	1159	穗		ɬui21	ɬui33
	1160	追		tsui45	tsui11
	1161	槌		tsʰui33	tsʰui21
	1162	錘		tsʰui33	tsʰui21
	1163	墜		tsʰui21	tsui33
	1164	衰		sui45	sui11
	1165	摔		sui45	sui11
	1166	帥		sui33	sui35
	1167	錐		tsui45	tsui11
	1168	水		sui13	sui55
	1169	誰		sui33	sui21
	1170	龜		kuɐi45	kɐi11
	1171	軌		kuɐi13	kɐi55
	1172	癸		kʰuɐi33	kʰɐi21
	1173	愧		kʰuɐi33	kʰɐi35
	1174	季		kuɐi33	kʰɐi35
	1175	逵		kʰuɐi33	kʰɐi21
	1176	葵		kʰuɐi33	kʰɐi21
	1177	櫃		kʰuɐi21	kʰɐi33
	1178	位		vɐi21	vɐi33
	1179	維		vɐi33	vɐi21
	1180	惟		vɐi33	vɐi21
	1181	遺		vɐi33	vɐi21
	1182	唯		vɐi33	vɐi21
	1183	非		fi45	fei11
	1184	飛		fi45	fei11
	1185	匪		fui13	fei55
	1186	榧		fui13	fei55
	1187	疿		pʰui21	fei35
	1188	妃		fi45	fei11
	1189	費		fɐi33	fei35
	1190	肥		fi33	fei21
	1191	翡		fi33	fei21
	1192	微		mi33	mei21
	1193	尾		mi13	mei33
	1194	未		mi21	mi33
	1195	味		mi21	mi33
	1196	歸		kuɐi45	kɐi11
	1197	鬼		kuɐi13	kɐi55
	1198	貴		kuɐi33	kɐi35
	1199	魏		ŋɐi21	ŋɐi33
	1200	揮		fi45	fei11
	1201	輝		fi45	fei11
	1202	徽		fi45	fei11
	1203	諱		vɐi33	vɐi33
	1204	威		vɐi45	vɐi11
	1205	畏		vɐi33	vɐi35
	1206	慰		vɐi33	vɐi35
	1207	違		vɐi33	vɐi21
	1208	圍		vɐi33	vɐi21
	1209	偉		vɐi13	vɐi33
	1210	葦		vɐi13	vɐi33
	1211	緯		vɐi13	vɐi33
	1212	胃		vɐi21	vɐi33
	1213	謂		vɐi21	vɐi33
	1214	蝟		vɐi21	vɐi33
	1215	彙		vɐi21	vɐi33
	1216	褒		pau45	pau11
	1217	保		pɐu45	pau11
	1218	堡		pɐu13	pau55
	1219	寶		pɐu13	pau55
	1220	報		pɐu33	pau35
	1221	袍		pʰɐu33	pʰau21
	1222	抱		pʰɐu13	pʰau33
	1223	暴		pʰɐu21	pʰau33
	1224	菢		pʰɐu21	pʰau33
	1225	毛		mau33	mau21
	1226	冒		mau21	mau33
	1227	帽		mɐu21	mau33
	1228	刀		tɐu45	tau11
	1229	叨		tɐu45	tau11
	1230	禱		tɐu21	tau55
	1231	島		tɐu13	tau55
	1232	倒	打倒	tɐu13	tau55
	1233	到		tɐu33	tau35
	1234	倒	倒水	tɐu13	tau35
	1235	滔		tʰɐu45	tʰau11
	1236	掏		tʰɐu45	tʰau11
	1237	討		tʰɐu13	tʰau55
	1238	套		tʰɐu21	tʰau35
	1239	桃		tʰɐu33	tʰau21
	1240	逃		tʰɐu33	tʰau21
	1241	淘		tʰɐu33	tʰau21
	1242	陶		tʰɐu33	tʰau21
	1243	萄		tʰɐu33	tʰau21
	1244	濤		tʰɐu45	tʰau11
	1245	道		tʰɐu21	tʰau33
	1246	稻		tʰɐu21	tʰau33
	1247	盗		tʰɐu21	tʰau33
	1248	導		tʰɐu21	tʰau33
	1249	腦		nɐu13	nau33
	1250	惱		nɐu13	nau33
	1251	勞		lɐu33	lau21
	1252	撈		lau45	lau21
	1253	牢		lɐu33	lau21
	1254	嘮		lɐu33	lau21
	1255	老		lɐu13	lau33
	1256	澇		lau45	lau33
	1257	遭		tsɐu45	tsau11
	1258	糟		tsɐu45	tsau11
	1259	早		tsɐu13	tsau55
	1260	棗		tsɐu13	tsau55
	1261	蚤		tsɐu13	tsau55
	1262	澡		tsɐu13	tsau55
	1263	躁		tsʰɐu33	tsʰau35
	1264	竈		tsɐu33	tsau35
	1265	操		tsʰɐu45	tsʰau11
	1266	草		tsʰɐu13	tsʰau55
	1267	騲			
	1268	糙		tsʰɐu33	tsʰau35
	1269	曹		tsʰɐu33	tsʰau21
	1270	槽		tsʰɐu33	tsʰau21
	1271	皂		tsʰɐu21	tsʰau33
	1272	造		tsʰɐu21	tsʰau33
	1273	騷		ɬɐu45	ɬau11
	1274	臊		ɬɐu45	ɬau11
	1275	掃		ɬɐu33	ɬau55
	1276	嫂		ɬɐu13	ɬau55
	1277	掃		ɬɐu33	ɬau55
	1278	高		kɐu45	kau11
	1279	膏		kɐu45	kau11
	1280	篙		kɐu45	kau11
	1281	羔		kɐu45	kau11
	1282	糕		kɐu45	kau11
	1283	稿		kɐu13	kau55
	1284	告		kɐu33	kau35
	1285	膏		kɐu45	kau11
	1286	考		hau13	hau55
	1287	烤		hau13	hau55
	1288	靠		kʰɐu33	kʰau35
	1289	犒		kʰɐu33	kʰau35
	1290	熬		ŋɐu33	ŋau21
	1291	傲		ŋɐu21	ŋau21
	1292	鏊			
	1293	蒿		hɐu45	hau11
	1294	薅			
	1295	好	好坏	hɐu13	hau55
	1296	好	喜好	hɐu33	hau35
	1297	耗		hɐu33	hau35
	1298	豪		hɐu33	hau21
	1299	壕		hɐu33	hau21
	1300	毫		hɐu33	hau21
	1301	號		hɐu21	hau33
	1302	浩		hɐu21	hau33
	1303	號		hɐu21	hau33
	1304	爊			
	1305	襖		ɐu13	au55
	1306	懊		ɐu33	au55
	1307	奥		ɐu33	au55
	1308	懊		ɐu33	au55
	1309	包		pau45	pau11
	1310	胞		pau45	pau11
	1311	飽		pau13	pau55
	1312	豹		pau33	pau35
	1313	爆		pɐu21	pau35
	1314	泡		pʰau45	pʰau11
	1315	抛		pʰau45	pʰau11
	1316	炮		pʰau33	pʰau35
	1317	泡	泡水里	pʰau33	pʰau35
	1318	跑		pʰau13	pʰau55
	1319	刨		pʰau21	pʰau21
	1320	麅			
	1321	鮑		pau45	pau11
	1322	鉋		pʰau21	pʰau35
	1323	茅		mau33	mau21
	1324	貓		mau45	mau11
	1325	錨		mau33	mau21
	1326	卯		mau13	mau55
	1327	貌		mau21	mau33
	1328	鐃		nau33	nau21
	1329	撓		nau33	nau21
	1330	鬧		nau21	nau33
	1331	罩		tsau33	tsau35
	1332	櫂		tsʰau21	tsʰau33
	1333	抓		tsɒ45	ȵau11
	1334	爪		tsau13	ȵau55
	1335	找		tsau13	tsau55
	1336	笊		tsau33	tsau35
	1337	抄		tsʰau45	tsʰau11
	1338	鈔		tsʰau45	tsʰau11
	1339	炒		tsʰau13	tsʰau55
	1340	吵		tsʰau13	tsʰau55
	1341	巢		tsʰau33	tsʰau21
	1342	梢		sau45	sau11
	1343	捎		sau45	sau11
	1344	稍		sau45	sau11
	1345	潲		sau33	sau35
	1346	潲		sau33	sau35
	1347	交		kau45	kau11
	1348	郊		kau45	kau11
	1349	膠		kau45	kau11
	1350	教	教书	kau33	kau35
	1351	絞		kau13	kau55
	1352	狡		kau13	kau55
	1353	鉸		kau13	kau55
	1354	攪		kau13	kau55
	1355	搞		kau13	kau55
	1356	教	教育	kau33	kau35
	1357	校	校对	kau33	kau35
	1358	較		kau33	kau35
	1359	酵		hau45	hau11
	1360	窖		kau33	kau35
	1361	覺	睡觉	kau33	kau35
	1362	敲		hau45	hau11
	1363	巧		kʰɛu13	kʰɛu55
	1364	咬		ŋau13	ŋau33
	1365	孝		hau33	hau35
	1366	肴		jau33	ŋau21
	1367	淆		jau33	ŋau21
	1368	效		hau21	hau33
	1369	校	学校	kau33	hau33
	1370	校	上校	kau33	hau33
	1371	坳		au33	ɛu11
	1372	靿			
	1373	臕		pɛu45	piu11
	1374	標		pɛu45	piu11
	1375	表		pɛu13	piu55
	1376	錶		pɛu13	piu55
	1377	飄		pʰɛu45	pʰiu11
	1378	漂		pʰɛu45	pʰiu55
	1379	票		pʰɛu33	pʰiu35
	1380	漂		pʰɛu45	pʰiu55
	1381	瓢		pʰɛu33	pʰiu21
	1382	嫖		pʰɛu33	pʰiu21
	1383	鰾		pʰɛu21	pʰiu33
	1384	苗		mɛu33	miu21
	1385	描		mɛu33	miu21
	1386	貓		mɛu45	miu11
	1387	藐		mɛu13	miu55
	1388	渺		mɛu13	miu55
	1389	秒		mɛu13	miu55
	1390	廟		mɛu21	miu33
	1391	妙		mɛu21	miu33
	1392	燎		lɛu33	liu21
	1393	燎		lɛu21	liu21
	1394	療		tsɛu45	tsiu11
	1395	焦		tsɛu45	tsiu11
	1396	蕉		tsɛu45	tsiu11
	1397	椒		tsɛu45	tsiu11
	1398	剿		tsɛu13	tsiu55
	1399	醮			
	1400	鍬			
	1401	繰			
	1402	悄		tsʰɛu45	tsʰiu11
	1403	俏		tsʰɛu33	tsʰiu35
	1404	偢			
	1405	樵		tsʰɛu33	tsʰiu21
	1406	瞧		tsʰɛu33	tsʰiu21
	1407	噍			
	1408	消		ɬɛu45	ɬiu11
	1409	宵		ɬɛu45	ɬiu11
	1410	霄		ɬɛu45	ɬiu11
	1411	硝		ɬɛu45	ɬiu11
	1412	銷		ɬɛu45	ɬiu11
	1413	小		ɬɛu13	ɬiu55
	1414	笑		ɬɛu33	ɬiu35
	1415	鞘		ɬɛu45	ɬiu11
	1416	朝	今朝	tsɛu45	tsiu11
	1417	超		tsʰɛu45	tsʰiu11
	1418	朝	朝代	tsʰɛu33	tsʰiu21
	1419	潮		tsʰɛu33	tsʰiu21
	1420	趙		tsʰɛu21	tsʰiu33
	1421	兆		tsʰɛu21	tsʰiu33
	1422	召		tsʰɛu21	tsʰiu33
	1423	昭		tsɛu45	tsiu11
	1424	招		tsɛu45	tsiu11
	1425	沼		sɛu21	siu33
	1426	照		tsɛu33	tsiu35
	1427	詔		tsɛu33	tsiu35
	1428	燒		sɛu45	siu11
	1429	少	多少	sɛu13	siu55
	1430	少	少年	sɛu33	siu35
	1431	韶		sɛu33	siu21
	1432	紹		sɛu21	siu33
	1433	邵		sɛu21	siu33
	1434	饒		jɛu13	jiu33
	1435	橈			
	1436	擾		jɛu13	jiu33
	1437	繞		jɛu13	jiu33
	1438	繞		jɛu13	jiu33
	1439	驕		kɛu45	kiu11
	1440	嬌		kɛu45	kiu11
	1441	矯		kɛu13	kiu55
	1442	喬		kʰɛu33	kʰiu21
	1443	僑		kʰɛu33	kʰiu21
	1444	橋		kʰɛu33	kʰiu21
	1445	蕎		kʰɛu33	kʰiu21
	1446	轎		kʰɛu33	kʰiu21
	1447	枵		hɛu45	hiu11
	1448	囂		hɛu45	hiu11
	1449	妖		jɛu45	jiu11
	1450	邀		jɛu45	jiu11
	1451	腰		jɛu45	jiu11
	1452	要	要求	jɛu45	jiu11
	1453	要	重要	jɛu33	jiu21
	1454	摇		jɛu33	jiu21
	1455	謡		jɛu33	jiu21
	1456	窯		jɛu33	jiu21
	1457	姚		jɛu33	jiu21
	1458	舀		jɛu13	ʔiu33
	1459	耀		jɛu21	jiu21
	1460	鷂		jɛu21	jiu21
	1461	刁		tɛu45	tiu11
	1462	貂		tɛu45	tiu11
	1463	雕		tɛu45	tiu11
	1464	鳥		nɛu13	niu55
	1465	釣		tɛu33	tiu35
	1466	弔		tɛu33	tiu35
	1467	挑		tʰɛu45	tʰiu11
	1468	跳		tʰɛu33	tʰiu35
	1469	糶		tʰɛu33	tʰiu35
	1470	條		tʰɛu33	tʰiu21
	1471	調	调和	tʰɛu33	tʰiu21
	1472	跳		tʰɛu33	tʰiu35
	1473	掉		tʰɛu21	tʰiu33
	1474	調	音调	tʰɛu21	tʰiu33
	1475	調	调动	tʰɛu21	tʰiu33
	1476	藋			
	1477	尿		nɛu21	niu33
	1478	聊		lɛu33	liu21
	1479	遼		lɛu33	liu21
	1480	撩		lɛu33	liu21
	1481	寥		lɛu33	liu21
	1482	了		lɛu13	liu33
	1483	瞭		lɛu13	liu33
	1484	料		lɛu21	liu33
	1485	尥			
	1486	蕭		ɬɛu45	ɬiu11
	1487	簫		ɬɛu45	ɬiu11
	1488	澆		kɛu45	kiu11
	1489	繳		kɛu13	kiu55
	1490	僥		hɛu45	hiu11
	1491	叫		kɛu33	kiu35
	1492	竅		kʰɛu33	kʰiu35
	1493	堯		jɛu33	jiu21
	1494	曉		hɛu13	hiu55
	1495	幺		jɛu45	jiu11
	1496	吆		jɛu45	jiu11
	1497	杳		mɛu13	miu55
	1498	剖		pʰɐu13	pʰɐu33
	1499	某		mɐu13	mɐu33
	1500	畝		mɐu13	mɐu33
	1501	牡		mau13	mau33
	1502	母		mu13	mɐu33
	1503	拇		mu13	mɐu33
	1504	戊		mɐu21	mɐu33
	1505	茂		mɐu21	mɐu33
	1506	貿		mɐu21	mɐu33
	1507	兜		tɐu45	tɐu11
	1508	斗		tɐu13	tɐu55
	1509	抖		tɐu13	tɐu55
	1510	陡		tɐu13	tɐu55
	1511	鬥		tɐu33	tɐu35
	1512	偷		tʰɐu45	tʰɐu11
	1513	㪗			
	1514	透		tʰɐu33	tʰɐu35
	1515	頭		tʰɐu33	tʰɐu21
	1516	投		tʰɐu33	tʰɐu21
	1517	豆		tʰɐu21	tʰɐu33
	1518	逗		tʰɐu21	tʰɐu33
	1519	樓		lɐu33	lɐu21
	1520	摟		lɐu13	lɐu33
	1521	耬			
	1522	簍		lɐu13	lɐu33
	1523	摟		lɐu13	lɐu33
	1524	漏		lɐu21	lɐu33
	1525	陋		lɐu21	lɐu33
	1526	走		tsɐu13	tsɐu55
	1527	奏		tsʰɐu33	tsʰɐu35
	1528	凑		tsʰɐu33	tsʰɐu35
	1529	叟		ɬɐu45	ɬɐu11
	1530	嗽		ɬɐu33	ɬɐu35
	1531	勾		kɐu45	ŋɐu11
	1532	鈎		kɐu45	ŋɐu11
	1533	溝		kɐu45	kɐu11
	1534	狗		kɐu13	kɐu55
	1535	苟		kɐu13	kɐu55
	1536	彀		kɐu33	kɐu35
	1537	够		kɐu33	kɐu35
	1538	構		kɐu33	kɐu35
	1539	購		kɐu33	kɐu35
	1540	勾		kɐu45	ŋɐu11
	1541	摳		kʰɐu45	kʰɐu11
	1542	瞘			
	1543	口		hɐu13	hɐu55
	1544	叩		kʰɐu33	kʰɐu35
	1545	扣		kʰɐu33	kʰɐu35
	1546	寇		kʰɐu33	kʰɐu35
	1547	藕		ŋɐu13	ŋɐu33
	1548	偶		ŋɐu13	ŋɐu33
	1549	偶		ŋɐu13	ŋɐu33
	1550	吼		hɐu13	hɐu55
	1551	侯		hɐu33	hɐu21
	1552	喉		hɐu33	hɐu21
	1553	猴		hɐu33	hɐu21
	1554	瘊		hɐu33	hɐu21
	1555	後		hɐu21	hɐu33
	1556	厚		hɐu21	hɐu33
	1557	后		hɐu21	hɐu33
	1558	候		hɐu21	hɐu33
	1559	歐		ɐu45	ɐu11
	1560	甌		ɐu45	ɐu11
	1561	嘔		ɐu13	ɐu55
	1562	毆		ɐu45	ɐu11
	1563	漚		ɐu33	ɐu35
	1564	慪		ɐu33	ɐu35
	1565	否		fɐu13	fɐu55
	1566	富		fu33	fɐu55
	1567	副		fu33	fɐu55
	1568	浮		fɐu33	fou21
	1569	婦		fu21	fɐu33
	1570	負		fu21	fɐu33
	1571	阜		fɐu21	fɐu33
	1572	復		fuk21	fuk33
	1573	謀		mɐu33	mɐu21
	1574	矛		mɐu33	mɐu21
	1575	紐		nɐu33	nɐu33
	1576	扭		nɐu33	nɐu33
	1577	流		lɐu33	lɐu21
	1578	劉		lɐu33	lɐu21
	1579	留		lɐu33	lɐu21
	1580	榴		lɐu33	lɐu21
	1581	硫		lɐu33	lɐu21
	1582	琉		lɐu33	lɐu21
	1583	柳		lɐu13	lɐu33
	1584	溜		lɐu21	lɐu33
	1585	餾		lɐu21	lɐu33
	1586	廖		lɛu21	liu33
	1587	揫			
	1588	𩭓			
	1589	酒		tsɐu13	tsɐu55
	1590	秋		tsʰɐu45	tsʰɐu11
	1591	秋		tsʰɐu45	tsʰɐu11
	1592	鞦		tsʰɐu45	tsʰɐu11
	1593	就		tsʰɐu21	tsʰɐu33
	1594	修		ɬɐu45	ɬɐu11
	1595	羞		ɬɐu45	ɬɐu11
	1596	秀		ɬɐu33	ɬɐu35
	1597	繡		ɬɐu33	ɬɐu35
	1598	宿	星宿	ɬuk33	ɬuk33
	1599	鏽		ɬɐu33	ɬɐu35
	1600	囚		tsʰɐu33	tsʰɐu21
	1601	泅		tsʰɐu33	tsʰɐu21
	1602	袖		tsʰɐu21	tsʰɐu33
	1603	肘			
	1604	晝		tsɐu33	tsɐu35
	1605	抽		tsʰɐu45	tsʰɐu11
	1606	丑		tsʰɐu13	tsʰɐu55
	1607	綢		tsʰɐu33	tsʰɐu21
	1608	稠		tsʰɐu33	tsʰɐu21
	1609	籌		tsʰɐu33	tsʰɐu21
	1610	紂		tsʰɐu21	tsʰɐu33
	1611	宙		tsʰɐu21	tsʰɐu33
	1612	鄒		tsɐu45	tsɐu11
	1613	掫			
	1614	皺		tsɐu33	tsɐu35
	1615	縐			
	1616	搊			
	1617	矁			
	1618	愁		tsʰɐu33	tsʰɐu21
	1619	驟		tsʰɐu21	tsʰɐu33
	1620	搜		ɬɐu45	ɬɐu11
	1621	颼		ɬɐu45	ɬɐu11
	1622	餿		ɬɐu45	ɬɐu11
	1623	蓃		ɬɐu45	ɬɐu11
	1624	瘦		sɐu33	sɐu35
	1625	漱		ɬu33	ɬɐu35
	1626	周		tsɐu45	tsɐu11
	1627	舟		tsɐu45	tsɐu11
	1628	州		tsɐu45	tsɐu11
	1629	洲		tsɐu45	tsɐu11
	1630	帚		tsɐu13	tsɐu55
	1631	咒		tsɐu33	tsɐu35
	1632	醜		tsʰɐu13	tsʰɐu55
	1633	臭		tsʰɐu33	tsʰɐu35
	1634	收		sɐu45	sɐu11
	1635	手		sɐu13	sɐu55
	1636	首		sɐu13	sɐu55
	1637	守		sɐu13	sɐu55
	1638	獸		sɐu33	sɐu35
	1639	仇		tsʰɐu33	tsʰɐu21
	1640	酬		tsʰɐu33	tsʰɐu21
	1641	受		sɐu21	sɐu33
	1642	壽		sɐu21	sɐu33
	1643	授		sɐu21	sɐu33
	1644	售		sɐu21	sɐu33
	1645	柔		jɐu33	jɐu21
	1646	揉		jɐu33	jɐu21
