	注释：-白读，=文读
l	[7]□{用手抱着衣服或秸秆}邋[8]猎蜡腊□{闲逛，逛街}
ts	[7]□{携带}扱{撸起衣袖}[8]闸{名词，闸门；动词，阻挡}
tsʰ	[7]插□{～着：占到便宜}策{搀扶}
s	[7]□{贪心}□{～冇：傻}[8]煠
k	[7]□{刚好}甲钾胛岬[8]□{和}
kʰ	[7]□{过于}□{翻滚使之沾上糖浆或芝麻等}
h	[7]□{过于}□{叶子}[8]合-
∅	[7]鸭押
#ia	
m	[2]名-[6]命-{命运}
t	[1]爹
ts	[1]遮[3]者姐{小～}[4]籍藉[5]蔗[6]谢{姓}借={～口}
tsʰ	[1]车赊奢□{倾倒}
s	[1]斜{俗}[2]斜{倾～}邪□{炫耀}佘畲[3]写[4]社[5]泻舍卸[6]射麝赦
z	[3]惹
k	[1]家={潮剧中用于自称，如哀～}加={增～}佳嘉伽[3]假={～期}贾[4]徛{陡}[5]寄
kʰ	[1]奇-{～数}[2]骑持{俗}[4]徛{站立}企-{～鹅}[5]□{竖起耳朵}[6]□{笔挺貌}
ŋ	[3]雅{美丽}
h	[1]靴桸{瓢}[2]霞遐[3]许{连词}[4]下={～毒}
∅	[1]呀□{瞎逛；无人管的动物或植物}[2]爷椰揶[3]野冶[5]□{厌烦，提不起兴趣}[6]也{亦}□{撒}
#iaʔ	
p	[7]壁璧
pʰ	[7]僻[8]癖
t	[7]摘[8]籴
tʰ	[7]拆[8]□{～～：果真}
l	[8]掠-{抓}
ts	[7]雀-迹只{量词}柘{～林}[8]食
tsʰ	[7]赤倩{请人做事}□{用刀刺入}[8]杓{～囝：粪勺。“杓”是农村常用工具}勺{～囝：粪勺}
s	[7]锡削[8]席{筵～，主～}
k	[7]撅{拨开}揭={～发}[8]屐剧□{用眼角瞄}
kʰ	[7]隙
ɡ	[8]额-{无～：没份}
h	[7]歇{休息；放置}[8]额=役
∅	[7]益驿[8]□{口语中对“蝶”和“蛾”的称呼}
#ua	
p	[5]播簸
pʰ	[2]婆{老～：妻子}[5]破
b	[2]磨{～墨}□{距离近}
m	[2]麻
t	[4]舵□{带领}[5]带{～鱼}[6]大{～侬：大人}
tʰ	[1]拖
n	[3]□{洗搓衣服}[4]□{口水}[5]乸□{躺着}
l	[2]箩[5]□{一字排开}[6]赖-{图赖}
ts	[1]抓[2]蛇[3]纸[6]誓{咒～：诅咒，原文作“诅”}□{量词，一～：一次}
tsʰ	[3]□{歪}[5]蔡[6]攃𡥘𤆬{带领，字见于《荔镜记》，今口语仍用}□{娶}娶{训读}
s	[1]沙-{～石}砂-鲨[3]徙[5]□{连续；继续}
k	[1]歌-{～囝}柯-{姓}[2]□{摇晃使沾上粉或者糖；走路摇晃}[3]剐[5]芥-{～菜}盖-{瓶～}□{晌}[6]□{静啊暝～：很安静}
kʰ	[1]夸跨垮胯[5]挂□{靠在椅子上睡觉}
ɡ	[6]外
h	[1]哗[2]华和桦骅=铧=[4]祸
∅	[1]瓦={千～}娃洼蛙哇□{挂靠}[3]我-倚-
#uaʔ	
p	[7]钵[8]跋{摔倒}□{赌}
pʰ	[7]泼拨[8]□{搭起毛巾或衣服}
b	[7]抹[8]末-{粉～}沫-
t	[7]咄{呵斥}
tʰ	[7]獭□{擦丝}汰{～米}
l	[7]烙[8]辣□{揉捻开}擸{梳理头发}
ts	[7]□{泼水}[8]绌{差一些}□{姿势不对而受伤}
tsʰ	[7]□{用力往外拽}
s	[7]煞宿杀撒{加调味品，～芳：调味}
z	[8]热-{～天时：夏天}悦-{爱慕}
k	[7]割渴葛
kʰ	[7]阔
h	[7]□{磨刀}喝{～呬：打哈欠}[8]□{跨过}
∅	[8]活{生～}
#o	
p	[1]波菠[2]婆{老～：老婆婆}[3]宝保跛[5]报
pʰ	[1]坡颇[3]颇叵[4]抱-[5]□{长势好}
b	[2]无-毋[3]母拇[6]帽磨{石～}
m	[1]摸厶{副词，起强调作用}□{蕨}□{～刺：鱼的小刺}□{哥～，未详}[2]毛-{头～}模={～型}魔摩摹[3]孬{坏，指品行或天气}[4]墓幕暮慕募[5]□{侬～：生病}[6]望-
t	[1]刀多哆□{副词，表强调}[2]桃{杨～}逃朵躲[3]短-{长～}倒{摔～}[4]在-[5]倒{～退，倾～；反～}[6]袋代埭
tʰ	[1]胎拖□{推脱}[2]桃陀跎佗沱鮀萄[3]讨妥椭[5]退[6]□{肿大貌}
n	[2]娜[4]两{二}[5]努驽弩懦怒{～气}[6]怒{愤～}□{句末语气词，表请求}
l	[1]脶{手指螺纹}□{用水化开；用手指把粉末抹到小孩的嘴里}[2]螺骡逻罗萝锣-牢-{坐～}醪{浑浊}[3]颗{俗，年长者用此音}裸恼-脑-{头脑：领导}[4]□{在}[5]□{句末语气词，表示不仅}
ts	[1]糟-{鏖～}[2]槽-[3]阻枣左佐[4]坐助[5]做{～戏}[6]座
tsʰ	[1]臊{腥味}初{～始}[2]挫锄=[3]楚础草-{～稿}□{把袋子口扎起来}[5]错{～误}锉□{指瘦肉的口感}糙[6]□{装起来}
s	[1]疏蔬梭嗦娑[2]傻{傻}[3]所锁琐嫂-[4]□{摇摆}[5]□{将加糖的豆沙炒干}
k	[1]哥歌-高-{姓}糕膏羔竿篙滒{泥泞，涂～糜：稀泥}[2]□{风～：通风口}□{晃悠}□{绊住}[3]稿[4]个={～人}[5]块告-{～状}
kʰ	[1]颗{年轻人多用此音}戈炣{～菜：煮菜}轲柯={南～梦}[3]可洘{干涸}[5]靠-{倚靠}
ɡ	[2]鹅[6]饿
ŋ	[2]俄娥蛾峨虞愚禺[4]悟遇晤寤[3]我=
h	[1]熇呵={～护}[2]何河[3]好-{～孬}[4]和{附～}[5]荷{薄～}耗□{摄影}[6]贺号-{口～}
∅	[1]蒿{茼～}娲蜗涡窝呵-{叫卖}□{将药贴于患处}□{掴}[2]蚝□{脸有肉貌}[3]袄=[5]荷{薄～}奥澳卧
#oʔ	
p	[7]驳舶[8]泊薄箔
pʰ	[7]朴{～刀}粕
b	[7]□{愿意，要。□boʔ2愿意、要，这个词在明刊《荔镜记》《荔枝记》中有大量用例，写作“卜”，少数写作“莫”。□boʔ2是新圩方言常用词。李如龙先生(2012)和陈曼君先生(2017，2023)等文章对这个词做了深入讨论，可参。}
m	[7]么□{搬起}[8]膜瘼漠
t	[7]桌啄卓琢=[8]□{着火}择{掇}夺
tʰ	[7]托[8]驼鸵
n	[8]□{手或脚崴伤}
l	[8]落骆-
ts	[7]作-{种～}[8]绝
tsʰ	[7]□{呛到}[8]□{□tsʰiʔ～：毛手毛脚}
s	[7]雪索-
k	[7]阁隔□{扦插}□{烟呛喉咙}
kʰ	[8]□{煮粘稠的东西}
ŋ	[8]愕-{指老人神志不清，或入神}
h	[7]□{副词，很}[8]鹤
∅	[7]恶-{难，不容易；天时作～：变天}呃{嗝}[8]学-{～喙～舌}
#io	
p	[1]标-{投～}镖-錶{手～}[3]表{～哥}[5]裱
pʰ	[2]薸{萍}[4]鳔□{帽子，毡～}[5]票漂-{～白}
b	[2]瞄-描-苗-[6]庙
t	[2]潮[6]赵□{颠簸}
tʰ	[1]挑-{单～；～刺}[5]粜
l	[2]□{捞最上层，或剪去边缘}
ts	[1]招-{～工}蕉椒[3]少{多～}[5]照
tsʰ	[1]□{气势汹汹地冲过来}[5]笑
s	[1]烧相-{～辅：帮助}[3]小-{～人(自称)}
z	[2]桡饶-{求～；用于地名}[6]尿
k	[2]茄桥[5]叫[6]轿
kʰ	[6]□{猪尾～：猪尾}
h	[4]□{那儿}
∅	[1]腰[2]鹞-{～婆：鹞子}姚-{姓}窑摇-[3]舀
#ioʔ	
t	[7]着{附～}□{摆出姿势}[8]着{对；得}
l	[7]□{物色}
ts	[7]借=灼-{～日}质[8]石
tsʰ	[7]尺淖{饭稀}[8]蓆{草～}
s	[7]惜[8]席{主～}液{手脚出的汗}
z	[8]若-{疑问词，～多支：多少}
k	[7]角{～色，训读“脚”}脚{～色：角色}
kʰ	[7]挈{捡拾}□{给母猪配种}[8]挈
h	[8]页箬{树叶}
∅	[7]约{公～}[8]药
#e	
p	[1]扒[2]爬{爬行；挠抓}耙[3]把-{把守；量词}[4]父
pʰ	[2]琶杷[3]□{～～：美丽}[4]□{在水上漂}[5]帕□{兜住}
b	[3]马-{牛～}码
m	[1]□{抓粉状物}□{山～：蜻蜓}[6]骂
t	[2]茶[5]□{过滤}
tʰ	[1]□{～□le55：胃口不好，挑食}[6]䖳□{软软的状态}
n	[1]□{母亲(背称)}[2]□{晾}[5]□{用力使音量提高}[6]□{奶，小孩用语}
l	[1]□{被玻璃割伤}□{指女孩口齿伶俐(贬义)}[4]□{高～：包菜}[5]□{把玻璃、瓷器砸坏}
ts	[1]斋[3]姐{～弟}这[5]债[6]寨
tsʰ	[1]差-{出～}叉杈[2]查[4]□{乐器，铙}[5]厕
s	[1]纱些[4]□{颔～：脖子}[5]□{把东西往远处扔}
z	[2]□{痞气，不正经}
k	[1]家-{～庭}加-{～减：多少}[2]枷[3]假-{真～}[4]下-{矮}[5]嫁价
ɡ	[2]牙芽蚜蜈-衙[6]砑□{大～，一种蝉}□{用工具把膏体弄进小缝隙}
h	[2]虾[4]下-{动词，放置}[5]□{米糕没蒸熟}[6]夏厦
∅	[3]哑[4]下-{方位词，上～}[6]下-{量词，一～}
#eʔ	
p	[7]百柏伯掰擘□{攀爬}[8]白帛
pʰ	[8]□{走路不稳}
b	[8]麦
m	[8]脉
t	[7]压{俗}□{笼屉}
tʰ	[7]□{～□ne53：胃口不好，挑食}[8]宅
l	[7]叻{厉害}[8]历□{割}
ts	[7]责积-职绩仄
tsʰ	[7]策册[8]□{来来去去(贬义)}
s	[7]□{量词，}一{～肉}
k	[7]格膈隔[8]□{撬}
kʰ	[7]客
h	[7]嚇{恐吓}□{被水汽呛到}
∅	[7]厄扼轭
#ue	
p	[1]杯飞-[2]赔陪[4]倍贝狈佩悖[5]背={～书}[6]焙
pʰ	[1]胚坯[2]皮裴[4]被{棉～}[5]配
b	[2]梅媒煤霉酶莓枚脢{～肉：里脊肉}[3]尾[4]未[6]未
m	[2]糜-{粥，白～}[3]每[4]妹昧寐魅[6]妹
t	[5]缀{缝；跟从}
tʰ	[2]颓□{头疮}
ts	[4]罪[5]最[6]□{小划痕}
tsʰ	[1]吹炊{蒸}[2]棰槯{小木棍}[3]髓[6]觅{训，寻找}□{寻找}
s	[1]衰-[2]垂-{垂头丧气}[3]□{一排}[5]税帅岁={万～}
z	[2]挼捼{用手搓开}[4]锐睿芮
k	[1]瓜[3]果馃粿[5]过卦
kʰ	[1]魁科盔[2]瘸魁[5]课快-
h	[1]花灰诙[2]铧-回茴蛔[3]火伙[4]会烩荟汇秽[5]化货悔诲岁-{～声}
∅	[1]锅挖□{柴～：树枝}[2]□{一半}[4]卫[5]尉蔚慰秽{传染}[6]话画
#ueʔ	
pʰ	[8]𠱀{交谈。又写作“诐”，二者均为方言字}□{交谈}坺{用犁翻起的土块}□{用犁翻起的土块}□{沫}
m	[8]物
s	[7]说刷
k	[7]刮郭[8]橛{半截}
kʰ	[7]缺={欠～}
ɡ	[8]月袜
h	[7]血
∅	[7]哕{呕}抉{挖出容器中的东西}[8]划
#ɯ	
t	[1]猪[2]除锄-{名词，～头}[6]箸
tʰ	[2]锄-{动词，～草}[3]□{用于除草、制作豆沙的工具}[4]□{傻瓜}[5]□{用脚扯开}
l	[2]驴□{辛勤劳作}[3]你[4]吕铝侣滤虑[5]□{擦伤；滑倒；剃头；用力擦除}
ts	[1]书之芝咨孜姿资兹滋辎淄[2]薯[3]煮子梓仔[4]自[5]恣渍{晕开}
tsʰ	[1]蛆疵舒{铺开，原文作“摅”}[2]徐磁慈瓷雌[3]鼠此[5]次□{拖行}
s	[1]师思斯厮私={自～}[2]词祠辞-[3]史[4]士仕似祀屿[5]赐舒{铺，原文作“摅”}肆{放～}[6]事
z	[2]而侕{乱。明本戏文《荔镜记》以“如”“茹”记录这个词}□{乱}[3]尔汝耳=饵□{搅和}□{擦除}[4]腻[5]□{特指头发杂乱}
k	[1]居裾{衣襟}车{象棋用语；学富五～}[2]□{用拳头打}[3]举矩洰{让衣服吃透水}[4]巨炬距拒据踞倨□{喉结}□{噎着}[5]锯
kʰ	[2]渠瞿衢[5]去
ɡ	[3]语[4]驭御禦[6]驭御□{形容非常白}
h	[1]虚墟圩[2]鱼渔[3]许浒
∅	[2]余舆[3]与予[4]豫预{预先，料想}誉[5]淤饫
#ɯʔ	
tʰ	[8]□{愚笨}
tsʰ	[8]□{吃}
s	[7]□{深吸一口}
k	[8]□{打□kok2～：打嗝}
kʰ	[7]乞{动词、介词，给}
#ai	
p	[2]牌排[3]摆[5]拜[6]败
pʰ	[3]啡{出唾声}[5]派沛湃
b	[1]□{□tsi33～：女阴}[2]眉楣[3]□{丑陋}[6]□{仔细看}
m	[2]埋[3]□{最小的}[4]迈[5]勿{训}嫑{不要}□{不要}
t	[1]呆□{一种谷物}[2]□{细菌}[3]歹傣[4]大={为～}殆怠逮[5]贷岱黛戴={爱～}
tʰ	[1]筛-{竹～}颱{台风}[2]台抬刣[3]□{倳～：耍小性子}[4]待[5]太态汰={淘～}钛泰
n	[2]□{俗，母亲}[3]乃奶={～粉}[4]赖={姓}奈耐[5]□{脸皮厚}
l	[2]来莱梨狸-[4]内[5]□{去}[6]利-{锋利}
ts	[1]知-灾栽{动词；又名词，植物的小苗}□{～纽：缝纽扣}[2]脐[3]宰滓载[4]在={自～}[5]载再
tsʰ	[1]猜[2]才材财豺裁[3]采睬踩彩[5]菜
s	[1]师-犀私-{走私}腮□{小伤痕}狮西酾筛={～选}[2]□{贪吃}[3]使{～用}屎驶[4]柿[5]婿晒赛塞{边塞}使{出～}[6]倳{放置，或人稳坐在某处}
k	[1]阶=皆该垓赅揩[2]个[5]介芥={～辣}盖={覆～}界届戒钙丐诫
kʰ	[1]开={～心}[3]楷凯铠锴[5]概慨溉忾
ɡ	[6]碍
ŋ	[2]崖涯捱呆{呆，傻}[3]□{犟；诙谐}[4]艾=岸
h	[1]咍[2]孩骸颏{牙～下巴}[3]海[4]亥械邂懈[6]害
∅	[1]哀挨={～打}埃哎唉[2]姨-{字俗作“嫒”“𡟓”}[3]暧隘蔼霭
#aiʔ	
ŋ	[8]□{土质黏重}
#uai	
k	[1]乖[3]拐[5]怪会{～计}绘
kʰ	[3]蒯[5]快={～乐}筷
h	[2]淮怀槐[4]坏
∅	[1]歪=
#oi	
p	[1]□{小竹片}□{揩油，从一丛中拔出几棵}
pʰ	[1]批𠜱{削}[3]䫌{尻仓～：屁股}[5]杮{柴～：劈开的木头}
b	[3]买[4]𣍐{不会}[6]卖
t	[1]堤[2]题蹄[3]抵-底-
tʰ	[1]钗[5]代{～替}
n	[2]莲荔-{～果：荔枝}
l	[2]犁[3]礼-[4]鳢-[5]□{劈开，亦指劈开后的部分}[6]篱-{笊篱}
ts	[2]齐-{形容词，整齐}[6]㩼
tsʰ	[2]齐-{动词，修饰整齐}[5]□{糯米粉}
s	[1]□{竹枝，也指采摘竹枝的动作}□{喉咙沙哑}[3]洗[5]细
k	[1]阶-街鸡□{碰到}[2]鲑{盐渍食物，如虾苗～}[3]改解{～决}[5]计疥
kʰ	[1]溪□{剃}[5]契喫{啃}
ɡ	[6]倪艺易-
ŋ	[3]研{研磨}
h	[2]□{触碰}[4]蟹
∅	[1]挨-{～磨}[2]鞋[3]矮□{答语}[4]解{会，能够，原文作“会”}
#oiʔ	
p	[7]八捌[8]拔-
tʰ	[7]□{垫东西}[8]□{啜泣}
l	[8]笠□{土气}
ts	[7]节[8]截
tsʰ	[8]切-{啜泣}
s	[7]塞-{塞进去}
k	[7]荚夹{～菜}[8]夹{夹住}
kʰ	[7]□{用轮或可滚动的物体碾压}
∅	[8]狭-
#iu	
p	[1]彪
pʰ	[5]□{失算，脱线；挣脱}
m	[4]谬
t	[1]丢[2]绸[4]稻纣昼={～夜}宙贮粙{稻}[5]□{用木条打}
tʰ	[1]抽□{发火，破口大骂}[2]涛-踌畴筹[3]丑[5]抽{抽出}
n	[1]□{痒}妞[2]缪{绸缪}[3]纽钮扭
l	[1]溜{溜走}[2]留流=瘤=琉硫[3]柳[5]溜{麻利}遛[6]摎{掐住脖子}□{用绳子把东西从低往高提}
ts	[1]周稠舟州洲[3]酒[4]就鹫[5]咒
tsʰ	[1]鬚{胡须}秋鳅初{～一}[2]仇酬囚售揂{用手拉引绳索}[3]手□{通过交钱或担保解救出来}[5]□{刷}[6]树-{～木}
s	[1]羞梳收修[2]泅[3]首帚守[4]受授绶[5]秀绣锈袖兽[6]寿
z	[2]柔揉蹂
k	[1]纠□{收缩，偷藏}[2]球[3]九=赳□{蛤～：小蛤蟆}[4]柩咎疚[5]救究
kʰ	[1]丘蚯鸠[2]求裘=□{卷曲，或受热卷曲}[5]□{卷曲，或受热卷曲}
ŋ	[3]□{用力抓住}
h	[3]□{捉迷藏的用语，表示藏好了}
∅	[1]忧优[2]由油邮游尤犹鱿酋遒□{用手指在脸上比划以揶揄别人}[3]友莠酉有=[4]又右祐佑[6]柚
#iuʔ	
p	[7]□{冒出来}
n	[7]孧
ts	[7]□{喷水}
tsʰ	[7]□{喷水}[8]□{喷水}
s	[7]□{喷水}[8]□{喷水}
k	[7]□{往外挤牙膏}
#ui	
p	[1]悲卑阫{墙，亦用为量词，一阫墙}[2]肥[5]痱[6]吠
pʰ	[5]屁□{吐口水，吐掉}
m	[2]微薇溦{小雨}[3]美镁[5]□{不畏的合音，不怕}
t	[1]追[2]锤{捶打}[3]□{扯}[4]坠[5]对碓[6]队
tʰ	[1]梯推{推动}[2]锤{锤子}槌[3]腿[6]缒{下垂、坠}
l	[1]镭□{山丘}[2]雷擂蕾□{皮肤较大的隆起}[3]磊蕊耒垒[4]累{劳～}泪[6]类累{连～}
ts	[1]锥椎[3]水-[4]赘[5]醉
tsʰ	[1]推{推荐}催崔摧[3]脆璀[5]碎翠喙{嘴}
s	[1]虽绥蓑荽□{往锅边加入水}[2]谁隋随垂陲[3]水={漂亮}[4]睡瑞隧遂[6]穗
z	[2]遗帷维唯惟□{用刀子，以环切的方式割断}
k	[1]归圭规皈闺[3]癸鬼诡幾-{几个}[5]贵桂瑰鳜
kʰ	[1]开-{～关}亏窥岿[2]葵逵睽夔馗魁[3]轨[4]愧馈匮溃[5]季悸气-{透～}
ŋ	[2]危[4]伪[6]魏巍嵬
h	[1]飞=非蜚斐霏扉徽挥晖辉妃婓灰□{兜圈}[2]缶{训，陶瓷}□{陶瓷}[3]翡卉[4]惠慧彗[5]废费肺
∅	[1]威医衣-{胎衣}[2]为围韦违帷桅[3]伟炜纬萎委猥苇[4]胃谓[5]畏谓□{不舒服}[6]位
#au	
p	[1]包苞胞孢[3]堡葆褓保=[4]暴爆鲍
pʰ	[1]抛=褒[2]袍[3]跑[4]抱=[5]炮
b	[3]卯铆昴
m	[2]毛={毛重}[4]冒貌
t	[1]□{拗断}兜叨[2]投骰[3]斗蚪捣岛找{寻找；～钱：指把大额纸币换成等额的小额纸币，不是指找回零钱}[4]导道祷盗稻[5]鬭{安装；比赛}□{～墟：赶集}昼-{日～：中午}窦-{窝}[6]豆痘
tʰ	[1]偷涛={波～}滔韬掏[2]头陶淘[3]㪗{解开}[5]套透黈{在一种液体中加另一种液体}[6]毒{毒杀}
n	[3]瑙恼=脑=[4]闹桡
l	[1]捞=□{搅拌均匀}[2]楼刘痨流-留-劳[3]老佬潦□{骗人}[4]老[5]□{排泄}[6]漏
ts	[1]遭糟={～糕}[2]□{匀称}[3]走蚤[4]造罩皂悼棹找{～钱：找零}[5]灶奏
tsʰ	[1]抄操{做～}□{追赶}[2]巢曹槽=□{移动}[3]草=[5]臭燥躁藻澡操{曹～}
s	[1]骚瘙搔捎梢[3]嫂=[5]啸哨嗽扫□{掴，打耳光}
k	[1]高={～兴}篝交郊蛟跤鲛茭勾={～选}沟垢{～圿：污垢}[2]猴[3]狗九搞枸狡镐[4]厚[5]告={～诉}到够-诰
kʰ	[1]阄抠薅=[3]口考拷烤□{外边}[5]靠={依～}哭扣=铐叩
