汉字	音	注释
铁	ɕi55	刀
桌	tu21	桌子
榻	tʰa55	床
□	pɔ33	箩筐
针	tsã33	针
索	su55	绳子
蜡	ʁa33	蜡烛
蜡	ɣa33	蜡烛，又音
□	ɣoŋ33	犁
□	oŋ33	犁，又音
锄	tu21	锄头
□	ɣoŋ33	磨，根据原文词项排列位置应为名词
□	oŋ33	磨，又音，根据原文词项排列位置应为名词
碓	tiɪ21	碓子
锤	ʈʅ21	杵；锤子
斧	pu55	斧子
凿	dzu33	凿子
赶	ka21	～墟kʰɯ55：赶集
墟	kʰɯ55	赶ka21～：赶集
钱	tɕin21	钱
歌	kɔ33	歌
□	li35	唢呐
□	sɿ33	～地le21：地方
地	le21	□sɿ33～：地方
□	mi21	～□ni33：蔡家话自称
□	ni33	□mi21～：蔡家话自称
□	le22	～□le22：汉族
□	le22	□le22～：汉族
□	ku21	～□le35：穿青族
□	le35	□ku21～：穿青族
□	ʝɔ35	苗族
□	mia21	彝族
□	sɿ33	神
魄	pʰia55	魂魄
□	kã21	坟
痛	soŋ21	病；疼
□	tsu55	药
□	ʒu33	饭
□	ʒu33	～～：吃饭
饭	pɪi33	早饭
□	tsʰa33	午饭
餔	pu33	晚饭
□	tsa21	肉
脂	tsɿ33	油
盐	sã33	盐
酒	tsu55	酒
□	ɡu33	茶
饮	ã22	～□mɪi21□si33：喝（茶叶）
□	mɪi21	～□si33：茶叶，“茶叶”=“叶子”
□	si33	□mɪi21～：茶叶，“茶叶”=“叶子”
彘	li21	～□ma33：猪食，和“彘”ɮi21不存在对立
□	ma33	彘li21～：猪食
□	tsʰa33	糠
语	oŋ33	话
□	xa33	～语oŋ33：说话
□	tsʰɿ33	～□pu55：声音
□	pu55	□tsʰɿ33～：声音
姓	sa21	姓
名	min21	名
□	ȵa21	～～：东西
□	ka55	晒；～□in33□soŋ21：晒太阳，“太阳”in33也会鼻化元音ĩ33
□	pia33	却
开	kʰɯ33	裂开
□	lin33	滚
□	kui55	断（软的）
□	tsɿ55	断（硬的）
下	ʁa33	掉
下	ɣa33	掉，又音
□	ti33	倒塌
□	ma33	溢（水〜）
漏	u33	漏；屋ɔ55～33-21水sɿ33：屋子漏水
□	biɔ33	沸腾，水sɿ33～：水沸腾
□	tɕʰĩ33	咬
飞	pu33	飞
□	ʝɔ21	迟li21迟li21-33～：慢慢地动；□dʒu21□dʒu33～：快快地动
□	dʒu21	～□dʒu33□ʝɔ21：快快地动
□	dʒu33	□dʒu21～□ʝɔ21：快快地动
伏	bu33	孵
变	bʑi33	变
长	tu33	成长
乾	ka33	～□kʰɯ55：干枯
□	kʰɯ55	乾ka33～：干枯
□	tsʰɿ21	腐烂
□	sɔ33	是
含	ɣan21	有
来	ʁɯ21	来
来	ɣɯ21	来，又音
□	kue33	去
□	pɪi55	回
出	tsʰei55	出
□	ɮi33	进
□	dza21	上，～21-22□kue33：上去
□	dʑie21	下；～21-22来ɣɯ21：下来
□	ʒu33	到
过	kua33	过
知	tʑi33	会
知	tiu33	懂
认	nin21	～得tɯ33：记得
得	tɯ33	认nin21～：记得
□	min21	～□pu0得tɯ33：记不得
□	pu0	□min21～得tɯ33：记不得
□	tɔ21	爱
□	dɯ21	想
□	noŋ33	生气
□	tsʰɿ33	怕
□	din33	害羞
□	ɬɔ33	呕吐
臃	oŋ33	肿
□	ȵa33	死
□	tu33	分娩
□	ta33	～□tɔ33□tɔ55：抬头
□	koŋ21	～□tɔ33□tɔ55：低头
转	tin55	转身；～□pɪi55来ɣɯ21：转回来；～身sin33-22□tʰoŋ55：转身体
□	xa33	说
笑	sɔ21	笑
□	ʁɯ33	哭
□	xɯ33	哭，又音
□	pia55	问
□	ã55	答
□	ʁɯ33	骗
□	xɯ33	骗，又音
□	kɔ33	读
□	ʒu33	吃
□	ʃu33	吃，又音
□	tsu21	嚼
含	ɡã33	含一口水
□	pʑi21	舔
瞻	tsã33	看
瞻	tsãn33	～□kin33：看见
见	kin33	瞻tsãn33～：看见
听	tʰi55	听
□	kʰu55	闻
踞	ku21	坐
□	kʰui21	跪
睡	dzɿ33	睡
□	kɔ33	醒
醉	tsɿ21	醉
□	tɯ21	住
□	ȵdu21	等
教	kɔ33	教
□	kɔ33	学
□	pi55	丢失
□	ku33	寻找
□	lui55	追
□	ka55	捉
衣	ɯ33	穿
戴	tɯ21	戴
□	ti33	搬
□	ŋɯ22	～灯tã33：点（灯）
灯	tã33	□ŋɯ22～：点（灯）；□mi33～：熄（灯）
□	mi33	～□tã33：熄（灯）
选	ɕuĩn55	挑选
□	a33	给
得	tu33	得到
□	ja33	洗；～衣ɯ33：洗（衣服）
□	ʝe21	喂；～鸡ki33：喂（鸡）
□	a33	拿
□	pi55	仍
□	tɕi55	做
□	lu21	推
牵	kʰin55	拉
拖	le21	拖
□	ɮi21	摘
□	na21	打
□	ma33	打
□	tu33	～□na21：被打
放	pu33	放（放开）
拥	oŋ33	包，动词
藏	dzu21	藏
□	tɔ55	砍
杀	ɕi55	杀
站	dã33	站
□	pɔ21	蹲
□	tɕiɔ21	跳
行	xa21	走
行	ɣa21	走，又音
猋	piɔ33	跑
□	bɪi33	烧；～彘li21：烧猪
□	mɪi55	挖
□	dʑi22	～地le21：犁（～地）
□	lã21	～水sɿ33：浇水
□	si33	割（庄稼）
煮	tsu33	煮
蒸	dzu33	蒸；～□ʒu33：蒸饭
熬	ŋɡɔ33	炒
□	sɔ33	切（～菜）
□	tɔ33	剁
烫	tʰfu33	烫
□	mã33	买
□	mã21	卖
代	lɯ21	换
借	tsa33	借
偿	tsu33	还；～钱tɕin21：还钱
偿	tsu21	赔偿
□	a55	完
□	dɔ21	偷
□	tʑi21	抢
赤	tsʰɿ55	红
黄	oŋ21	黄
青	tsʰɿ33	蓝
白	bia33	白
黑	kʰɯ55	黑
绿	lɔ33	绿
明	mia21	亮；天kʰin33～：天亮了
天	kʰin33	～明mia21：天亮了
□	mi21	天kʰin33～：天黑了
□	da33	晴
苦	kʰfu55	苦
□	pɪi55	辣
咸	tsin21	咸
□	mã33	香
大	la21	大
细	ɕiɪ21	小，有ɕie21～ɕiɪ21～ɕi21等变体
□	kɔ33	长
□	tsʰu33	短
厚	ɡu33	厚
薄	bu33	薄
薄	bv̩33	又音
宽	kʰua33	宽；广
窄	ta55	窄
高	kɔ33	高
庳	bʑi33	低；矮
滑	ɡui33	滑
□	ȵã33	尖
硬	ŋa33	硬
柔	ȵdu21	软
柔	ȵu31	软，又音
深	sã33	深
浅	tɕʰĩ55	浅
□	nu21	松
紧	tɕĩ55	紧
□	i21	心sã33紧tɕĩ55～：心里紧张
粗	tsʰu33	粗
□	mɔ33	细
□	ka33	稠
□	nã21	稀
轻	tsʰɿ33	轻
重	doŋ33	重
多	tiɪ33	多，有tiɪ33～tie33等变体
少	sɔ33	少
□	ti55	远
近	tɕĩ33	近
□	tɕu33	快
迟	li21	～迟li35：慢
迟	li35	迟li21～：慢
晨	tɕin21	早
□	na21	晚
燔	pɪi21	热
寒	ka21	冷
凉	nã21	凉（天气）
□	ku33	凉（～水）；～33-21水sɿ33：凉水
饱	pu55	饱
饥	kɯ55	饿
□	kʰui33	累
□	tʰa33	瞎
□	tã33	聋
痛	soŋ33	痛
痒	ʒu33	痒
□	kʰua21	好
□	tʰa21	坏
新	ɕĩ33	新
旧	ku33	旧
□	la21	～□tɔ55□u33□tsʰu21：老人
□	tɔ55	□la21～□u33□tsʰu21：老人
生	xa33	生的
熟	dzu33	熟
真	tse33	真
□	mbu33	耐用
□	mu33	耐用，又音
假	tɕia55	～□sɿ33：假的
□	sɿ33	□tɕia55～：假的
□	lɔ33	够
肥	pu21	肥
□	u55	瘦
□	ka21	勤快
慵	tsoŋ21	懒
□	tɕã21	甜
酸	sa33	酸
一	ji33	一
□	ta55	二
三	sa33	三
四	sɿ21	四
五	oŋ33	五
五	uoŋ33	五，又音
六	fv̩55	六
七	tɕʰi55	七
八	pɪi55	八
九	ku55	九
十	dzã33	十
十	tsɿ22	～□ji55：十一；～二ȵi22：十二；～三sa33：十三
一	ji55	□tsɿ22～：十一
二	ȵi22	十tsɿ22～：十二
二	ȵin22	～十tɕi33：二十
十	tɕi33	□ȵin22～：二十
十	tsɿ33	□oŋ33～：五十
百	pia55	百
千	tɕʰin55	千
万	wã35	万
我	ŋu33	我
乃	nɯ33	你
伊	je33	他；～□ɯ55：他们
我	ŋu35	我们
乃	nɯ35	你们
□	ɯ55	□je33～：他们
□	ɯ55	我ŋu33～：我的；乃nɯ33～：你的；伊je33～：他的
□	ɔ21	这
□	mɔ21	那
□	lɔ35	哪
□	la35	哪里
□	ɔ22	～□a33：这里
□	a33	□ɔ22～：这里
□	mɔ22	～□ma33：那里
□	ma33	□mɔ22～：那里
□	dza33	先
後	u33	后
走	tɕin21	乃nɯ33□dza33～：你先走
赶	ta55	我ŋu33-35～後u33：我赶后
前	tɕĩ21	前
也	la33	也
非	pu33	不
□	piɔ35	别
□	oŋ55	的
