漢字	iPA	注釋
補	pɔu3	
譜	pʰɔu3	
布	pɔu5	
布	pu5	文
鋪	pʰɔu5	
普	pʰɔu3	
浦	pʰɔu3	
怖	pu5	
菩	pʰu2	
蒲	pʰu2	
脯	pɔu3	
部	pɔu4	
簿	pʰɔu4	
步	pɔu6	
捕	pu4	
埠	pɔu1	
模	bɔu2	白
模	mɔ2	
暮	mɔ4	
墓	mɔ4	
募	mɔ4	
慕	mɔ4	
都	tɔu1	
堵	tu3	
賭	tu3	
妒	kɔu5	
妒	tɔu5	
蠹	tsu5	俗
蠹	tu5	
土	tʰɔu3	
吐	tʰɔu5	
兔	tʰɔu5	
途	tʰu2	
屠	tɔu2	
圖	tɔu2	
圖	tʰu2	文
徒	tʰu2	
肚	tɔu3	
肚	tɔu4	牛~
杜	tɔu4	
度	tɔu6	
渡	tɔu6	
鍍	tɔu6	
奴	nɔu2	
奴	nɔu1	又
努	nɔ5	
怒	nɔ5	
盧	lɔu2	白，姓氏
盧	lu2	
爐	lɔu2	
鹵	lɔu3	
魯	lu3	
櫓	lɔu3	
櫓	lɔu4	
櫓	lu3	文
虜	lu3	
露	lɔu5	又
露	lɔu6	
路	lɔu6	
賂	lu4	
租	tsɔu1	
祖	tsɔu3	
組	tsu1	
做	tsɔ5	
粗	tsʰɔu1	
醋	tsʰɔu5	
錯	tsʰɔ5	
措	tsʰu5	
蘇	sɔu1	
酥	sɔu1	
素	sɔu5	白，味~
素	su5	
塑	sɔk7	
訴	su5	
嗉	su5	
辜	kɔu1	白，姓氏
辜	ku1	
孤	kɔu1	
箍	kʰɔu1	
姑	kɔu1	
估	kɔu3	
古	kɔu3	
賈	kɔu3	
股	kɔu3	
鼓	kɔu3	
蠱	ku3	
故	ku5	
顧	kɔu5	白，姓氏
顧	ku5	
固	ku5	
雇	kɔu5	
枯	kɔu1	
苦	kʰɔu3	
庫	kʰɔu5	
褲	kʰɔu5	
梧	ŋɔ2	
吾	u2	
吳	gɔu2	
五	ŋɔu4	
五	ŋɔu3	文
午	ŋɔu3	
伍	ŋɔu3	
悟	ŋɔ4	
誤	gɔu6	
呼	kʰɔu1	
呼	hu1	文
虎	hɔ ̃u ̃3	
滸	hu3	
戽	hɔu4	
乎	hu1	
壺	hu2	
瓠	pu2	俗
瓠	hu4	
胡	ɔu2	
胡	hu2	文
狐	hɔu2	
狐	hu2	文
湖	ɔu2	
鈑	pɔ ̃i ̃3	
鈑	paŋ3	文
戶	hɔu4	
滬	hu4	
互	hu4	
護	hu4	
烏	ɔu1	
汙	u1	
塢	u1	
惡	ɔʔ7	難
惡	ak7	
女	nəŋ3	
女	ni3	文，釣～
廬	lɔu2	
廬	lu2	文
驢	lə2	
呂	lə4	
侶	lə4	
旅	li3	
慮	lə4	
濾	lə4	
蛆	tsʰə1	
蛆	tsu1	文
疽	tsu1	
胥	su1	
絮	su4	
徐	tsʰə2	
序	su4	
緒	su4	
敘	su4	
豬	tə1	
著	tu5	
著	tiɔʔ8	又
著	tiɔʔ7	又，沉~
著	tɔʔ8	～火
褚	su3	姓氏
褚	tu3	
除	tə2	
儲	tʰu2	
苧	tiu4	
箸	tə6	
阻	tsɔ3	
初	tsʰiu1	
初	tsʰɔ1	文
楚	tsʰɔ3	
鋤	tə2	
鋤	tʰə2	又
鋤	tsʰɔ2	文
疏	sɔ1	
蔬	sɔ1	
梳	siu1	
所	sɔ3	
諸	ta1	~夫（男性）
諸	tsu	
煮	tsə2	
處	tsʰu3	
書	tsə1	
舒	tsʰə1	~開
舒	su1	文
鼠	tsʰə3	
暑	su3	
黍	siu3	白
黍	su3	
庶	su7	
恕	su7	
墅	su3	
薯	tsə2	
署	su3	
如	dzu2	
汝	lə3	
汝	dzə3	文
居	kə1	
居	kə1	
車	kə1	
舉	kə3	
鋸	kə5	
據	kə4	
墟	hə1	
去	kʰə5	
渠	kʰə2	
巨	kə4	
距	kə4	
拒	kə4	
遽	kə4	
魚	hə2	
漁	hə2	
語	gə3	
禦	ə4	
禦	gə4	又
虛	hə1	
噓	hə1	
許	kʰɔu3	白，姓氏
許	hə3	
淤	ə5	
於	i1	
餘	ə2	
與	ə3	
譽	ə4	
預	ə4	
豫	ə4	
夫	pɔu1	諸~
夫	hu1	文
膚	hu1	
甫	pʰɔu3	
斧	pɔu3	
府	hu3	
腑	hu3	
俯	hu3	
賦	hu5	
傅	pɔu5	
傅	hu5	文
付	hu5	
敷	pɔu1	
敷	hu1	文
俘	hu1	
撫	bu3	
赴	hu5	
訃	hu5	
符	hu2	
扶	hu2	
釜	hu3	
腐	hu1	
腐	hu6	又
輔	hu4	
父	pɛ4	
父	hu4	文
父	hu3	又
附	hu5	
毋	bɔ2	
毋	m4	又
巫	bu2	
誣	bu2	
無	bɔ2	
無	bu2	
舞	bu3	
侮	bu3	
武	bu3	
鵡	bu3	
霧	bu6	
務	bu4	
縷	lu3	
屢	lu3	
趨	tsʰu1	
取	tsʰu3	
娶	tsʰua6	俗
娶	tsʰu3	
趣	tsʰu5	
聚	tsu4	
需	su1	
須	tsʰiu1	
須	su1	文
鎢	ɔu1	
續	sɔk8	
蛛	tu1	
株	tu1	
株	tsu1	文
誅	tu1	
誅	tsu1	文
駐	tsu5	
注	tsu5	
廚	tɔu2	
柱	tʰiɔu4	
住	tiu6	
住	tsu4	文
芻	tsʰu1	
雛	tsʰu1	
數	siɔu5	
數	su5	文
珠	tsiu1	白
珠	tsu1	
朱	tsu1	
主	tsu3	
注	tsu5	
鑄	tsu5	
樞	kʰu1	
輸	su1	
戍	suɛ5	
殊	su2	
豎	su4	
樹	tsʰiu1	
樹	su4	文
儒	dzu2	
乳	dzu3	
拘	kʰu1	
駒	kʰu1	
俱	ku4	
矩	kə3	
句	ku5	
區	kʰu1	
驅	kʰu1	
瞿	kʰə2	姓氏
瞿	kə4	
具	ku4	
懼	ku4	
虞	ŋɔ2	
愚	ŋɔ2	
娛	gu2	
娛	hu2	又，～乐
遇	ŋɔ4	
寓	ŋɔ4	
籲	u1	
迂	u1	
於	u1	
盂	hu2	
雨	hɔu4	
雨	u3	文
禹	u3	
宇	u3	
羽	u3	
芋	ɔu6	
逾	dzu2	
榆	dzu2	
愉	dzu2	
愈	dzu3	
喻	dzu4	
裕	dzu4	
獃	tai1	
獃	ŋai2	又
戴	ti5	
戴	tɔ5	又，姓氏
戴	tai5	文
胎	tʰɔ1	
臺	tʰai2	
臺	tai2	
態	tʰai5	
貸	tai5	
臺	tʰai2	
苔	ti2	
抬	tʰai2	
殆	tai4	
待	tʰai4	
怠	tai4	
代	tɔ6	
代	tʰɔi5	俗
代	tai5	文
袋	tɔ6	
乃	nai3	
乃	nai4	又
耐	nai4	
來	lai2	
災	tsai1	
栽	tsai1	
宰	tsai3	
載	tsai3	
再	tsai5	
載	tsai5	
猜	tsʰai1	
采	tsʰai3	
睬	tsʰai3	
彩	tsʰai3	
菜	tsʰai5	
裁	tsʰai2	
材	tsʰai2	
才	tsai2	秀~
才	tsʰai2	
纔	tsʰai2	
財	tsʰai2	
在	tɔ4	俗
在	tsai4	
腮	sai1	
賽	sai5	
該	kai1	
改	kɔi3	
溉	kʰai5	
概	kʰai5	
開	kʰui1	
開	kʰai1	文
凱	kʰai3	
愷	kʰai3	
慨	kʰai3	
慨	kʰai5	又
呆	tai1	
礙	gai6	
海	hai3	
孩	hai2	
亥	hai4	
哀	ai1	
埃	ai1	
唉	ai1	
唉	ai6	
愛	ai ̃5	
貝	puɛ4	
沛	pʰai5	
帶	tua5	
泰	tʰai5	
太	tʰai5	
大	tua6	
大	tai4	文
奈	nai4	
賴	lua6	
賴	nai4	文，依~
癩	nai4	
蔡	tsʰua ̃5	
蔡	tsʰua5	
蓋	kʰɔi ̃5	
蓋	kaʔ7	
蓋	kua5	
蓋	kai5	文
丐	kai5	
艾	hia6	
艾	ai ̃5	
艾	ŋai5	文
害	hai6	
藹	ai3	
靄	ai3	
拜	pai5	
排	pai2	
埋	mai2	
齋	tsɛ1	
豺	sai2	白
豺	tsʰai2	
皆	kai1	
偕	hai2	
偕	kai1	
稭	kai1	
稭	kiak7	
街	kɔi1	
階	kai1	
戒	kai5	
芥	kʰaʔ7	白，~藍
芥	kai5	
尬	kai5	
界	kai5	
介	kai5	
疥	kɔi5	
屆	kai5	
揩	kʰɔi1	
揩	kai1	文
楷	kʰai3	
諧	hai2	
駭	hai4	
械	hai4	
挨	ɔi1	
挨	ai1	文
擺	pai3	
派	pʰai5	
牌	pai2	
罷	pa4	
稗	pʰɔi ̃6	
稗	pi3	文
買	bɔi3	
賣	bɔi6	
奶	ni4	
奶	nai3	文
債	tsɛ5	
釵	tʰɔi1	
釵	tsʰɛ1	
差	tsʰɛ1	
柴	tsʰa2	
篩	tʰai1	訓
篩	sai1	
灑	sa5	
灑	sai5	
曬	sai5	
佳	kia1	
街	kɔi1	
解	kɔi3	
解	kɔi5	~元
涯	ŋai2	
崖	ŋai2	
鞋	ɔi2	
蟹	hɔi4	
解	ɔi4	
解	hai4	文，姓氏
懈	hai4	
矮	ɔi3	
隘	ai3	
隘	ɛk7	又
敗	pai6	
邁	mai4	
寨	tsɛ5	
蔽	pi6	
斃	pi6	
敝	pi6	
幣	pi4	
弊	pi6	
厲	li4	
勵	li4	
例	li6	
祭	tsi5	
際	tsi5	
穄	tsi5	
滯	tʰi5	
制	tsi5	
勢	si5	
世	si5	
誓	si6	
逝	si6	
藝	gɔi6	
囈	gɔi6	
囈	ŋi5	文
刈	ŋai4	
刈	ŋi4	文
閉	pi4	
箅	pi5	
批	pʰɔi	
陛	pi4	
迷	mi2	
米	bi3	
謎	mi2	
堤	tɔi1	
低	ti1	
底	tɔi ̃3	
底	ti3	文
底	ti6	俗，疑問
抵	ti3	
渧	ti5	
帝	ti5	
梯	tʰui1	
體	tʰi3	
替	tʰi5	
涕	tʰi5	
剃	tʰi5	
提	tʰi2	
題	tɔi2	
蹄	tɔi2	
啼	tʰi2	
弟	ti4	
第	tɔi4	
遞	ti2	
泥	ni2	
犁	lɔi2	
黎	lɔi2	
禮	lɔi3	
麗	li4	
麗	lɛ4	白，高～：捲心菜
麗	li2	高~參
隸	ti4	
擠	tsi ̃5	
濟	tsi5	
妻	tsʰi1	
淒	tsʰi1	
砌	kiʔ7	
齊	tsɔi ̃2	
齊	tsʰi2	
臍	tsai2	
薺	tsi ̃2	白
薺	tsʰi2	
西	sai1	
西	si1	文
棲	tsʰi1	
棲	si1	
犀	sai1	
洗	sɔi3	
細	sɔi5	
婿	sai5	
雞	kɔi1	
稽	ki1	
計	kɔi5	
繼	ki5	
繋	ki5	
溪	kʰɔi1	
啟	kʰi3	
契	kʰɔi5	
倪	gɔi6	白，姓氏
倪	ŋi2	
詣	tsi3	
兮	hi1	
奚	hi2	
係	hi4	
繋	ki5	
縊	i5	
縊	ɛk7	又
杯	puɛ1	
背	puɛ5	
輩	puɛ5	
背	pi5	
坯	pʰuɛ1	
胚	pʰuɛ1	
配	pʰuɛ5	
培	puɛ2	
陪	puɛ2	
賠	puɛ2	
倍	puɛ4	
佩	puɛ4	
媒	buɛ2	
枚	buɛ2	
玫	buŋ2	
娒	buɛ2	
梅	buɛ2	
每	muɛ3	
昧	muɛ4	
妹	muɛ4	
妹	muɛ6	又
堆	tu1	
堆	tui1	文
對	tui5	
推	tʰui1	
腿	tʰui3	
退	tʰɔ5	
頽	tʰuɛ2	
隊	tui6	
餒	nuɛ3	
餒	nui3	文
內	lai4	訓“裏”
雷	lui2	
儡	lui3	
催	tsʰui1	
崔	tsʰui1	
罪	tsuɛ4	
罪	tsɔ4	得罪
碎	tsʰui5	
瑰	kui5	
盔	kʰuɛ1	
魁	kʰuɛ1	
魁	kʰui2	又
詼	kʰuɛ1	
詼	hui1	又
恢	kʰuɛ1	
傀	kʰui2	
塊	kɔ5	
桅	ui2	
桅	ŋui2	又
灰	hu1	俗
灰	huɛ1	
灰	hui1	文
悔	huɛ5	
賄	huɛ4	
晦	huɛ5	
回	huɛ2	
匯	huɛ4	
潰	kʰui4	
煨	ui1	
兌	tuɛ4	
最	tsuɛ5	
劊	kuai5	
會	ɔi4	俗
會	huɛ4	
外	gua6	
會	kuai5	
繪	kuai5	
乖	kuai1	
怪	kuai5	
怪	kuɛ5	
蒯	kuai5	
淮	huai2	
懷	huai2	
槐	huai2	
壞	huai4	
拐	kuai3	
掛	kua5	
掛	kuɛ5	又
掛	kʰua5	又
卦	kuɛ5	
卦	kua5	文
歪	uai1	
畫	uɛ2	
畫	uɛ6	
蛙	ua1	
快	kʰuai5	
筷	kʰuai5	
話	uɛ6	
脆	tsʰui3	
脆	tsʰui5	又
歲	huɛ5	
歲	suɛ5	文
彗	hui4	
綴	tuɛ5	
綴	tsʰuak7	
贅	tsui4	
稅	suɛ5	
說	suɛ5	
鱖	kui5	
衛	uɛ4	
鋭	dzuɛ4	
廢	hui5	
肺	hui5	
吠	pui6	
穢	uɛ5	
圭	kui1	
閨	kui1	
桂	kui5	
奎	kui1	
攜	hi4	
慧	hui4	
惠	hui4	
卑	pui1	
碑	pi1	
裨	pi1	
裨	pi2	又
彼	hi3	俗
彼	pi3	
俾	pi3	
臂	pi5	
披	pʰi1	
譬	pʰi5	
皮	pʰuɛ2	
疲	pʰi2	
脾	pi2	
脾	pʰi2	又
被	pʰuɛ4	
被	pi4	文
婢	pi4	
避	pi6	
糜	muɛ2	
糜	mi2	
彌	mi3	
彌	ni2	又，阿~陀佛
彌	ni3	又，~補
靡	mi3	
籬	li2	
離	li2	
璃	li2	
荔	nɔi2	
荔	li4	文
紫	tsi3	
雌	tsʰə2	
此	tsʰə3	
刺	tsʰi5	白
刺	tsʰəŋ5	文
刺	tsʰiaʔ7	又白
疵	tsʰə2	
斯	sə1	
撕	tʰi5	俗
撕	li5	俗
撕	sə1	
廝	sə1	
璽	dzə3	
徙	sua3	
賜	sə5	
知	tsai1	
知	ti1	文
智	ti5	
池	ti2	
馳	tsʰi2	
篩	tʰai1	俗
篩	sai1	文
支	ki3	量詞
支	tsi1	文
枝	ki1	
肢	tsi ̃1	
只	tsi3	
只	tsiaʔ7	又
紙	tsua3	
侈	tsʰi3	
施	si1	
豕	si3	
啻	tʰi5	
翅	tsʰi5	
翅	tʰi5	
匙	si2	
是	si4	
氏	si4	
豉	si6	
兒	dzi2	
爾	dzə3	
羈	ki4	
寄	kia5	
企	kʰia4	俗
企	ki4	文
奇	kʰia1	白
奇	ki1	又
奇	kʰi2	文
騎	kʰia2	
岐	kia4	~山（汕頭地名）
岐	ki2	文
技	ki4	
妓	ki4	
宜	ŋi2	
儀	ŋi2	
蟻	ŋi4	文
義	ŋi4	
議	ŋi3	
誼	ŋi5	
犧	hi1	
戲	hi5	
戲	hi1	又
椅	i ̃3	
移	i2	
易	kɔi6	白
易	i4	文
悲	pui1	
鄙	pʰi3	
比	pi3	
庇	pi5	
痹	pi5	
泌	pi5	
秘	pi5	
秘	pi2	又，便~
轡	pi5	
丕	pʰi1	
丕	pʰi3	俗
屁	pʰui5	
琵	pi2	
牝	pʰɛŋ3	
備	pi4	
鼻	pʰi ̃6	
篦	pi5	
眉	bai2	
楣	bai2	
黴	buɛ2	
美	mui3	
媚	mi4	
寐	muɛ4	
地	ti6	
尼	ni2	
呢	ni2	
呢	ni1	又
呢	nɛ1	又
呢	ni6	又
膩	dzə4	
梨	lai2	
履	li3	
利	lai6	
利	li4	文
痢	li4	
咨	tsə1	
資	tsə1	
姿	tsə1	
姊	tsi3	
次	tsʰə5	
瓷	tsʰə2	
糍	tsi ̃2	
糍	tsʰə2	文
自	tsə6	
私	sai1	白，走~
私	si1	又白，家~
私	sə1	
死	si3	
四	si5	
肆	sə5	
致	ti5	
遲	tsʰi2	
雉	ti4	
稚	tsi ̃3	
師	sai1	
師	sə1	文
獅	sai1	
脂	tsi ̃1	
指	ki3	
指	tsɔi ̃3	又
指	tsəŋ3	又
指	tsi3	文
旨	tsi3	
至	tsi5	
鴟	tsʰi1	
示	si6	
屍	si1	
鈰	tsʰi4	
矢	si3	
屎	sai3	
嗜	tsʰi1	俗
嗜	si6	
視	si4	
二	nɔ4	訓“兩”
二	dzi4	
貳	nɔ4	
貳	dzə4	
肌	ki1	
飢	ki1	
幾	ki1	
幾	kui3	
幾	kua3	又
幾	ki3	文
冀	ki4	
器	kʰi5	
棄	kʰi5	
祈	kʰi2	
鰭	tsʰi1	白
鰭	kʰi2	
耆	kʰi2	
伊	i1	
懿	i5	
夷	i2	
姨	ai2	俗
姨	i2	
肄	i5	
你	lə3	訓“汝”
你	ni3	
厘	li2	
狸	lai2	白，狐~
狸	li2	
李	li3	
理	li3	
裏	lai4	
裏	li3	
鯉	li3	
吏	li6	
茲	tsə1	
茲	tsʰə2	龜兹
滋	tsə1	
子	tsi3	
子	tsə3	文
梓	tsə3	
磁	tsʰə2	
慈	tsʰə2	
字	dzi6	
字	dzə4	文
司	si1	
絲	si1	
思	sə1	
伺	sə4	
辭	sə2	
詞	sə2	
祠	sə2	
巳	tsi4	
祀	sə4	
似	sə4	
寺	dzi6	
嗣	sə4	
嗣	sə2	又
飼	tsʰi6	
置	ti5	
癡	tsʰi1	
恥	tsʰi5	
持	tʰi2	
峙	si4	
峙	sə4	文
痔	tʰi4	
治	ti6	
輜	tsə1	
廁	tsʰɛ5	
俟	sə4	
士	sə4	
事	sə6	
史	sai3	
史	sə3	
使	sai3	
使	sai5	
駛	sai3	
芝	tsə1	
之	tsə1	
址	tsi3	
止	tsi3	
趾	tsɔi ̃3	白
趾	tsi3	
志	tsi5	
痣	ki5	
嗤	tsʰi1	
齒	kʰi3	
齒	tsʰi3	文
詩	si1	
始	si3	
試	tsʰi5	
時	si2	
鰣	si2	
市	tsʰi4	
恃	si4	
侍	si4	
而	dzə2	
耳	hi ̃4	
耳	dzə3	
餌	dzi6	
餌	dzə3	文
基	ki1	
姬	ki1	
己	ki3	
紀	ki3	
記	ki5	
欺	kʰi1	
起	kʰi3	
杞	kʰi3	
棋	ki2	
其	kʰi2	
旗	ki2	
期	kʰi2	
忌	ki4	
疑	gi2	
擬	ŋi3	
擬	ni3	新
嘻	hi1	
嬉	hi1	
禧	hi1	
熙	hi1	
喜	hi3	
醫	ui1	
意	i5	
矣	i6	
怡	i2	
貽	i2	
已	i ̃3	
以	i ̃3	
異	i4	
機	kui1	白
機	ki1	
鉿	haʔ7	
譏	ki1	
饑	ki1	
幾	ki1	
幾	ki3	又
幾	kui3	
既	ki5	
豈	kʰa3	
豈	kʰi3	文
氣	kʰui5	
氣	kʰi5	
汽	kʰi5	
祈	kʰi2	
沂	kʰi2	
毅	ŋi2	
希	hi1	
稀	hi1	
依	i1	
衣	ui1	白
衣	i1	
累	lui4	
嘴	tsʰui6	
髓	tsʰuɛ3	
隨	sui2	
揣	tsʰuɛ6	
揣	tsʰui3	
吹	tsʰuɛ1	
炊	tsʰuɛ1	
垂	sui2	
睡	sui4	
瑞	sui4	
蕊	lui3	
規	kui1	
詭	kui3	
虧	kʰui1	
窺	kʰui1	
跪	kui4	
危	ŋui2	
偽	ŋui3	
麾	hui1	
毀	hui ̃3	
委	ui3	
喂	ui3	
為	ui2	
為	ui6	又
壘	lui3	
類	lui6	
淚	lui4	
醉	tsui5	
翠	tsʰui5	
悴	tsʰui5	
雖	sui1	
粹	tsuɛ4	
粹	tsʰui5	文
遂	sui2	
隧	sui2	
穗	sui6	
追	tui1	
槌	tʰui2	
錘	tʰui2	
墜	tui4	
衰	suɛ1	
摔	suk7	
帥	suɛ5	
率	suk7	
率	luk8	
錐	tsui1	
水	tsui3	
水	sui3	文
誰	sui2	
龜	ku1	
龜	kiu1	俗
龜	kuŋ1	又
龜	kʰiu1	又，~兹
軌	kʰui3	
癸	kui5	
晷	kʰui3	
愧	kʰui4	
季	kʰui5	
葵	kuɛ2	白
葵	kʰui2	
逵	kʰui2	
夔	kʰui2	
揆	kʰui2	
櫃	kui ̃6	
櫃	kə3	又
帷	dzui2	
位	ui6	
維	dzui2	
遺	dzui2	
唯	dzui2	
飛	puɛ1	
飛	hui1	文
非	hui1	
匪	hui3	
沸	hui5	
痱	pui5	
妃	hui1	
菲	hui1	
費	hui5	
肥	pui2	
薇	mui2	
微	mui2	
尾	buɛ3	
尾	mai3	又
未	buɛ6	
未	bi6	文
味	bi6	
歸	kui1	
鬼	kui3	
貴	kui5	
巍	ŋui2	
魏	gui6	
揮	hui1	
輝	hui1	
徽	hui1	
諱	hui3	
諱	hui5	又
卉	hui3	
威	ui1	
畏	ui ̃5	
慰	uɛ4	
違	ui2	
圍	ui2	
葦	ui3	
偉	ui3	
緯	hui6	白
緯	ui3	
胃	ui6	
謂	ui4	
蝟	ui3	
蝟	ui5	又
匯	hui4	
褒	pau1	
保	pɔ3	
保	pau3	文
堡	pau3	
寶	pɔ3	
報	pɔ5	
袍	pʰau2	
抱	pʰɔ4	
暴	pau4	
毛	mɔ2	
冒	mau4	
帽	bɔ6	
帽	pʰiɔ4	又，训读
刀	tɔ1	
叨	tau1	
倒	tɔ3	
倒	tau3	文
島	tau3	
禱	tau3	
到	kau5	俗
到	tau5	
倒	tɔ5	
掏	tʰau1	
掏	tʰau2	又
滔	tʰau1	
討	tʰɔ3	
套	tʰau5	
桃	tɔ2	楊~
桃	tʰɔ2	又
逃	tɔ2	
陶	tʰau2	
萄	tʰɔ2	
濤	tʰiu2	
稻	tiu4	
稻	tau4	
道	tau4	
導	tau4	
盜	tau4	
腦	lɔ3	白，頭~
腦	nau3	
惱	lɔ3	白，煩~
惱	nau3	
勞	lau2	
撈	liɔ2	白
撈	liɔu2	又白
撈	lau2	文
撈	lau1	又
嘮	lau2	
牢	lɔ2	
老	lau4	
老	lau3	文
遭	tsau1	
糟	tsau1	
早	tsa3	
棗	tsɔ3	
蚤	tsau3	
澡	tsʰau5	
躁	tsʰau5	
灶	tsau5	
操	tsʰau1	
操	tsʰau5	又，曹~
造	tsau4	
草	tsʰɔ3	
草	tsʰau3	文
曹	tsʰau2	
皂	tsau4	
騷	sau1	
臊	tsʰɔ1	
臊	tsʰau5	又
掃	sau5	
嫂	sɔ3	
掃	sau5	
高	kɔ1	白，姓氏
高	kau1	
膏	kɔ1	
羔	kɔ1	
糕	kɔ1	
稿	kɔ3	
告	kɔ5	
告	kau5	文
考	kʰau3	
烤	kʰau3	
靠	kɔu4	俗
靠	kʰau5	
犒	kɔ3	
犒	kʰau5	文
熬	ŋau2	
傲	ŋau4	
蒿	ɔ1	
蒿	hau1	文
薅	kʰau1	
