#ɿ
ts[13]资姿兹滋咨孜淄孳滓[55]籽子紫姊仔{～细}[312]字恣自
f[13]福幅复敷夫符{～合}覆肤蝠孵[42]符{音～}辅缚服浮伏芙扶拂[55]府腐斧甫釜[312]付副富
t[13]都{首～}突{旧}嘟督[42]毒读独犊[55]赌堵睹笃[312]肚杜渡镀妒
tʰ[13]突{新}秃凸[42]图涂途屠徒荼唾{～沫白}[55]吐土[312]吐兔
n[42]奴弩驽努[312]怒
l[13]撸[42]卢炉芦庐泸颅如{白}儒{白}汝{白}茹{白}蠕{白}[55]鲁橹卤输{白}乳{白}辱{白}孺{白}[312]路录陆露{～水}鹿禄璐碌麓鹭戮入{白}褥{白}
ts[13]组租[42]族足卒[55]祖阻俎
tsʰ[13]粗[312]醋促簇猝
s[13]苏酥速稣[42]俗[312]素诉宿塑粟肃溯夙
tʂ[13]珠猪竹朱株诸诛蛛茱筑烛逐竺[42]轴{白}妯{白}[55]嘱煮主拄瞩帚[312]住注祝驻铸助著贮蛀炷
tʂʰ[13]出初[42]除厨锄橱[55]楚础雏处{～理}[312]怵矗黜处{～所}[0]帚{扫～}
ʂ[13]书叔舒淑梳疏殊抒蔬枢[42]熟{文}赎孰[55]属署薯鼠蜀墅曙术{算～}述数{～一～}黍[312]数{～学}树竖恕束漱
k[13]姑箍孤辜咕骨菇[55]鼓古股谷估蛊□{～搐：收缩}[312]顾雇故固崮
kʰ[13]哭枯窟□{～擦：刮削}[55]苦[312]裤酷库
x[13]忽呼乎互糊{～一层泥}□{～脸}[42]胡壶糊{～窗户}湖弧蝴葫核{枣～}[55]虎唬浒狐[312]户护扈瓠[0]和{暖～}
∅[13]屋乌呜巫污侮诬钨[42]无吴芜[55]伍五舞武捂梧妩蜈午忤[312]物误雾务悟勿恶{可～}杌晤

#y
l[42]驴[55]吕旅铝侣屡缕履褛[312]绿率{效～}虑律滤捋
tɕ[13]居鞠狙拘驹橘菊车{棋子}掬[42]局[55]举矩莒[312]巨具剧聚句惧据飓锯
tɕʰ[13]区曲屈驱躯蛐蛆趋岖[42]渠衢瞿[55]娶取龋[312]去祛趣觑
ȵ[55]女
ɕ[13]需须虚嘘墟[42]徐俗{～套白}[55]许[312]续旭恤序绪蓄胥叙煦婿絮
∅[13]愚淤迂郁{～结}[42]于鱼余渔竽榆舆[55]与语雨宇羽予禹[312]玉欲喻誉遇预育郁{姓}寓域钰裕御浴愈豫狱

#a
p[13]八扒{～皮}巴疤芭叭捌笆[42]拔跋[55]把{～握}靶[312]把{瓢～}爸罢霸坝耙{～地}
pʰ[13]趴扒{～下}趴啪葩[42]爬耙{～子}[312]怕帕[0]琶{琵～}吧{语气词}[42]麻蚂{～蚱}[55]码马玛蚂{～蚁}[312]骂[0]吗{语气词}
f[13]发{～财}[42]罚伐阀乏筏[55]法[312]发{毛发}
t[13]耷答搭[42]达沓{一～钱}[55]打[312]大[0]瘩{疙～}
tʰ[13]塌塔榻踏{～实}褟他{其～}趿獭[55]他她它[312]踏{～平}
n[13]纳{～鞋底}捺娜[42]拿[55]哪[312]那
l[13]拉邋剌{～一刀}垃[42]拉{～呱}旯[312]落{～下白}腊蜡辣[0]啦{语气词}
ts[42]杂砸
tsʰ[13]擦嚓
s[13]仨撒{～气}[55]撒{～花}洒[312]飒萨卅
tʂ[13]渣扎喳楂札吒[42]炸{～鱼}铡[55]榨眨闸[312]炸{爆～}乍
tʂʰ[13]差{～别}插叉{～子}察[42]查茶茬猹[55]衩{裤～}
31杈差{错的意思}岔刹诧
ʂ[13]杀沙莎砂鲨痧裟[42]啥[55]傻[312]厦{大～}□{挑出来}煞霎
k[13]旮嘎{象声词}[42]割{白}
kʰ[13]咖喀[42]卡{～片}[312]咔{食物变质}
ŋ[13]阿[42]啊{象声词}[0]啊{语气词}
x[13]哈

#ia
p[13]□{象声词，多形容鞭子的抽打声}
pʰ[13]□{象声词}
l[55]俩
tɕ[13]家加夹佳嘉钾荚枷胛袈[55]甲假贾稼[312]价架嫁驾
tɕʰ[13]掐[42]恰{～馅白}[55]卡{～住}
ȵ[55]□{对母亲的称呼}
ɕ[13]虾瞎哈{～腰白}[42]霞峡侠辖匣狭暇瑕遐[312]下夏吓厦{门}
∅[13]压丫鸭押鸦[42]牙芽崖涯伢衙蚜[55]哑娅雅氩讶[312]亚轧

#ua
tʂ[13]抓[55]爪
tʂʰ[55]□{强取，如：～过来}
ʂ[13]刷[55]耍
k[13]瓜刮{～风}[55]寡剐呱{拉～}刮{～脸}[312]挂卦褂
kʰ[13]夸[55]垮[312]跨胯挎
x[13]花[42]华滑哗划{～船}猾[312]划话化{计～}画
∅[13]挖洼娲凹[42]娃蛙[55]瓦{名词}□{～面}[312]瓦{动词}[0]哇{语气词}

#ə
p[13]波拨播剥{～削}玻钵菠舶泊渤[42]薄薄搏伯博勃驳脖箔饽[55]跛簸{动词}[312]簸{～箕}[0]膊{胳～}
pʰ[13]坡泼[42]婆[55]颇[312]破迫魄珀粕
m[13]摸[42]磨{～刀}魔膜模{～型}摩馍蘑摹嬷[55]抹{涂～}[312]磨{石～}墨{新}末莫默沫没{～收}陌茉蓦
f[42]佛缚{～笤帚}
tʰ[312]特{文}
ts[42]则{文}责{文}泽{文}择{文}
tsʰ[312]厕{文}册{文}测{文}侧{文}策{文}恻{文}
s[312]色{文}涩{文}
tʂ[13]遮浙哲蛰褶[42]蛰{惊～}辄辙蔗[55]者[312]这
tʂʰ[13]车[55]扯[312]撤彻澈掣
ʂ[13]佘奢赊[42]舌蛇折{～本}[55]舍{～弃}[312]舍{宿～}设社射摄涉赦麝慑
ʐ[55]惹[312]热
k[13]哥歌割革阁搁{～置}戈鸽胳疙格{新}隔{新}[42]骼嗝硌[312]个过{～去}
kʰ[13]渴苛磕蝌柯科{新}克{新}刻{新}颗{新}棵{新}[42]壳咳{～嗽}[55]可[312]客刻{时～}嗑
ŋ[13]恶{凶的意思}阿{～胶}[42]额俄鹅俄娥讹峨[55]恶{～心}[312]恶{凶～}饿鄂鳄愕
x[13]喝呵[42]和{～谐}合盒核{～桃}何河荷禾阖[312]贺赫鹤褐壑吓{恐～}喝{～彩}

#iə
p[13]憋瘪鳖[42]别{分～}蹩[312]别{～扭}
pʰ[13]撇{～开}[55]撇{～嘴}
m[312]灭蔑篾
t[13]爹跌[42]碟叠蝶谍迭喋牒耋
tʰ[13]铁贴帖
l[13]裂{～开了}[55]咧[312]裂列烈猎劣
tɕ[13]接节结洁阶揭嗟[42]杰捷截睫[55]姐[312]借褯
tɕʰ[13]且切[42]茄[312]妾窃惬挈怯{文}
ȵ[13]捏涅[312]聂孽镍乜镊蹑
ɕ[13]些血歇蝎楔[42]邪斜协携[55]写[312]卸谢泄屑泻榭屑亵
∅[13]噎耶掖冶[42]爷[55]也野[312]业页夜叶液烨曳腋

#uə
t[13]多哆咄[42]夺铎踱[55]朵躲[312]剁舵堕垛惰
tʰ[13]拖脱托[42]陀驼驮沱砣[55]妥椭[312]唾{文}拓
n[42]挪[312]糯懦诺
l[13]烙{～饼}啰{～嗦}[42]罗裸螺萝摞锣骡箩逻[55]略掠[312]骆乐若{白}弱{白}
ts[13]作[42]昨琢[55]佐左撮{一～头发}[312]做{文}坐座
tsʰ[13]撮{一～米}搓蹉[42]矬[312]错挫措痤
s[13]梭蓑娑[55]所锁缩索
tʂ[13]桌捉拙茁[42]浊卓啄灼镯酌
tʂʰ[13]戳{名词}淖{～菜}[42]戳{动词}
ʂ[13]说[312]硕朔烁
ʐ[312]若{文}弱{文}
k[13]郭锅蝈聒[55]国果裹[312]过{文}
kʰ[13]廓扩阔{宽～}科{旧}棵{旧}颗{旧}[312]阔{～气}课{旧}
x[13]豁霍[42]活和{～面}[55]火伙[312]获祸惑
∅[13]窝蜗涡倭握沃龌[55]我[312]卧

#yə
tɕ[13]撅噘抉决决觉{～醒}[42]绝掘崛獗[55]角蹶{尥～子}[312]倔
tɕʰ[13]缺却确阙[42]瘸[55]□{折断}
ȵ[312]虐疟
ɕ[13]靴削{剥～}血{文}薛雪[42]学{文}穴
∅[13]约{文}曰[55]哕[312]月越乐{音～}悦阅粤岳

#ɚ
∅[42]而儿[55]尔耳饵□{理睬}[312]二贰

#ɛ
p[13]掰[42]白别{白}[55]摆百柏[312]拜败
pʰ[13]拍[42]牌排徘[312]派湃
m[13]埋霾[55]买[312]卖麦迈脉
t[13]呆[55]逮歹[312]带待代戴袋贷黛岱怠
tʰ[13]胎苔{舌～}[42]台抬苔{～藓}[312]太泰肽态钛汰
n[55]奶乃[312]耐奈
l[42]来莱[312]赖籁睐癞
ts[13]栽灾哉[42]宰崽[312]在再载
tsʰ[13]猜[42]才财材裁[55]踩彩采睬[312]菜
s[13]塞{～住}腮鳃[312]赛塞{边～}
tʂ[13]摘斋侧{～歪白}责{白}则{白}[42]宅择{～菜}泽{白}[312]债寨
tʂʰ[13]策{文}册{文}拆差{出～}钗[42]柴豺
ʂ[13]色{文}筛[312]晒
ʐ[55]□{扔的意思}
k[13]该垓赅[55]改[312]盖钙概丐溉
kʰ[13]开[55]凯楷恺铠慨[312]忾
ŋ[13]哀[42]癌[55]蔼[312]爱碍暧隘
x[13]咳{～声叹气}[42]还{～有}孩核{～心}骸[55]海[312]害骇亥

#iɛ
tɕ[13]街皆阶秸[42]解[312]届界介芥诫戒
ɕ[42]鞋[312]谐械蟹邂懈
∅[13]挨{～号}[42]埃崖涯挨{～打}[55]矮

#uɛ
tʂ[13]拽{扔}[55]跩[312]拽
tʂʰ[13]揣{～到怀里}[55]揣{～摩}[312]踹
ʂ[13]衰摔[55]甩[312]帅率{～领}蟀
k[13]乖掴{～打}[55]拐柺[312]怪
kʰ[55]□{～痒痒}[312]快块会{～计}筷脍
x[42]怀淮槐徊[312]坏
∅[13]歪[55]崴[312]外

#ei
p[13]杯悲碑卑北[312]被贝背倍备辈蓓狈惫
pʰ[13]胚披{白}坯[42]陪赔培[312]配佩沛珮
m[42]没{～有}霉梅眉煤枚媒玫莓门{白}们{白}[55]美每[312]媚妹魅昧墨{白}
f[13]非飞[42]肥[55]匪诽菲妃翡[312]费废肺沸
t[13]得德[55]特{～意儿}[312]对(白)队(白)兑(白)
tʰ[13]推{白}忒[55]腿(白)[312]退(白)褪(白)蜕(白)
n[55]馁您{白}[312]内
l[13]勒{～紧}[42]雷[55]磊蕾垒累{～积}[312]累{劳～}类泪肋
ts[42]贼
s[13]塞{～满白}
ʂ[42]谁{白}
k[13]格{白}隔{白}革{旧}[42]给
x[13]黑

#uei
t[312]对{文}队{文}兑{文}
tʰ[13]推{文}[55]腿{文}[312]蜕{文}褪{文}退{文}
l[55]蕊{白}[312]瑞{白}
ts[13]堆{白}[55]嘴[312]最罪醉
tsʰ[13]催崔摧[312]脆翠萃粹瘁
s[13]虽[42]随隋髓绥[312]岁碎遂穗隧邃[0]荽{芫～}
tʂ[13]追锥椎[312]缀坠赘
tʂʰ[13]吹炊[42]垂锤捶
ʂ[42]谁{文}[55]水[312]睡税
ʐ[55]蕊{文}[312]瑞{文}
k[13]归龟规硅闺[55]鬼轨诡[312]桂贵跪柜
kʰ[13]亏窥盔[42]奎葵魁逵傀睽[312]愧溃馈匮
x[13]辉灰挥晖徽恢[42]回茴蛔[55]毁悔[312]会汇慧惠绘卉蕙荟烩讳秽贿
∅[13]威微薇危煨偎[42]为维围唯惟潍帷[55]韦委伟伪违纬萎苇尾{文}猥娓[312]位卫味未喂胃蔚魏谓慰畏尉渭

#ɔ
p[13]包胞苞煲苞[55]宝保饱葆堡褒[312]报抱爆暴豹曝刨{～子}
pʰ[13]抛剖泡{气～}[42]刨{～地}袍咆狍[55]跑[312]泡{～茶}炮
m[13]牦{～牛}[42]毛猫矛茅髦锚[55]铆卯[312]冒帽贸茂貌
f[55]否
t[13]刀叨[55]导倒{打～}捣祷岛蹈[312]到道倒{～水}盗稻悼
tʰ[13]涛掏韬滔焘滔[42]桃逃淘陶[55]讨[312]套
n[13]孬[42]挠[55]脑恼[312]闹
l[13]捞唠[42]劳牢[55]老佬姥[312]烙涝落{～枕}酪痨
ts[13]遭糟[42]凿[55]早枣澡藻[312]造燥灶皂噪
tsʰ[13]操糙嘈[42]曹槽[55]草
s[13]骚搔[55]扫嫂[312]臊
tʂ[13]招召昭钊沼诏[55]找爪{鹰～}[312]照赵兆罩肇
tʂʰ[13]超抄钞焯[42]朝潮巢嘲晁[55]吵炒
ʂ[13]稍捎烧梢[42]勺芍[55]少{多～}[312]少{～年}潲哨
ʐ[42]饶{～恕}[55]扰饶{富～}[312]绕
k[13]高糕膏{～药}羔[55]搞稿[312]告膏{～油}
kʰ[55]考拷烤铐[312]靠犒
ŋ[13]熬{～菜}[42]熬{难～}鳌獒[55]袄[312]澳奥傲懊拗
x[13]薅蒿[42]毫豪嚎蚝壕[55]好[312]号浩昊皓灏好{爱～}

#iɔ
p[13]标彪镖飙膘[55]表裱婊
pʰ[13]飘漂{～浮}[42]剽嫖瓢[55]瞟漂{～白}[312]漂{～亮}票
m[42]描苗瞄喵[55]秒渺藐[312]庙妙
t[13]叼刁雕貂凋碉[312]掉调{～查}钓吊
tʰ[13]挑{～选}[42]条迢笤调{～和}[55]挑{～眉毛}[312]跳眺
l[42]聊辽疗撩燎{～原}嘹寥[55]了{～解}燎{烟熏火～}[312]料撂
tɕ[13]交教{～书}娇胶焦浇椒郊蕉跤蛟礁鲛缴[42]嚼[55]侥角脚饺搅骄狡矫绞剿[312]叫教{～育}觉{睡～}较{～真}窖轿校{～对}
tɕʰ[13]敲悄[42]桥瞧乔侨荞[55]巧雀{家～儿}[312]翘俏撬窍鞘峭
ȵ[55]鸟袅[312]尿
ɕ[13]消霄肖销萧削{～皮}宵潇嚣箫硝逍[55]小晓[312]校{学～}笑孝效啸哮
∅[13]腰妖邀幺吆夭要{～求}约{用称～}[42]摇姚瑶尧遥窑谣肴窈[55]咬舀[312]要{～钱}药钥耀岳{白}跃{白}乐{白}

#əu
t[13]都{全部}兜[55]斗{升～}抖陡蚪[312]豆逗痘窦斗{～争}
tʰ[13]偷[42]头投[312]透
l[42]楼搂{～柴火}喽{～啰}柔{白}揉{白}蹂{白}[55]搂{～抱}篓偻[312]漏陋露{裸～}镂
ts[55]走[312]揍奏做{白}
tsʰ[312]凑
s[13]搜嗖艘馊[55]叟嗽
tʂ[13]周州粥洲舟诌[42]轴[55]肘{～子}[312]咒皱宙昼骤纣[0]帚
tʂʰ[13]抽[42]愁仇{～恨}筹稠酬绸丑踌[55]丑瞅[312]臭
ʂ[13]收[42]熟{白}[55]手首守[312]受瘦授兽售狩寿绶
ʐ[13]□{甩动鞭子}[42]柔{文}揉{文}蹂{文}[312]肉
k[13]沟勾钩佝[55]狗苟枸[312]够购垢构媾诟
kʰ[13]抠[55]口[312]扣寇蔻叩
ŋ[13]欧鸥讴[55]偶藕呕殴[312]怄怄
x[13]齁吼[42]侯猴喉[312]后候厚逅

#iəu
t[13]丢
l[13]溜{～走}[42]刘留流{～水}瘤硫榴浏琉鎏馏{蒸～水}[55]柳绺[312]遛馏{～馒头}流{水～}
tɕ[13]究揪纠灸鸠阄啾赳咎[55]酒九久韭[312]就旧救疚舅厩鹫臼
tɕʰ[13]邱丘秋坵[42]球求裘囚酋仇{姓}泅[55]糗
ȵ[13]妞[42]牛[55]扭钮纽[312]拗{倔}
ɕ[13]修休羞[55]朽宿{白}[312]秀绣锈袖嗅
∅[13]优邮忧幽悠[42]由油游尤犹鱿[55]有友[312]又右幼佑诱鼬柚囿祐

#ã
p[13]班搬般斑扳颁扳[55]版板[312]办半扮扮伴拌瓣绊跘
pʰ[13]潘攀蟠[42]盘磐槃[312]盼判畔叛
m[42]蛮瞒馒[55]满螨[312]慢曼漫蔓幔鳗
f[13]翻帆番藩[42]烦凡樊繁梵矾范[55]返反[312]饭犯泛贩
t[13]单丹担{～当}耽郸[55]胆疸掸[312]但蛋旦淡弹{子～}氮诞
tʰ[13]贪摊滩瘫坍[42]弹{～琴}谈谭坛痰潭檀昙[55]坦毯忐袒[312]叹探碳
n[42]难{困～}男南楠腩[55]暖{旧}喃[312]难{患～}
l[42]蓝兰栏拦岚篮澜阑斓婪[55]懒揽览缆榄[312]烂烂滥
ts[13]簪[55]攒咱[312]赞暂
tsʰ[13]参{～加}餐[42]残蚕[55]惨[312]灿璨
s[13]三叁[55]馓伞散{～架了}[312]散{分～}
tʂ[13]粘詹毡瞻[55]展斩盏崭辗[312]站占战蘸沾湛栈绽
tʂʰ[13]掺搀[42]馋缠缠禅蝉婵蟾潺[55]谄产铲阐[312]颤忏
ʂ[13]杉山删扇{动词}衫珊姗煽[55]闪陕[312]单{姓}膳善汕擅疝鳝膻禅{～让}
ʐ[42]然[55]燃冉髯染
k[13]干{～湿}肝甘杆竿柑泔尴秆[55]敢感赶擀橄[312]干{～活}赣
kʰ[13]看{～守}刊堪勘[55]砍坎侃槛[312]看{～见}瞰
ŋ[13]安氨庵胺鞍桉谙鹌[55]俺[312]按暗案岸
x[13]憨酣鼾[42]函含韩涵寒邯[55]喊罕[312]汉汗焊旱瀚悍憾撼捍

#iã
p[13]边编鞭蝙[55]扁贬煸匾砭[312]变便{方～}遍辩辨辫汴
pʰ[13]篇偏翩[55]便{～宜}谝[312]片骗
m[42]棉眠绵[55]免勉冕缅娩腼[312]面
t[13]颠癫滇巅[55]点典掂碘踮[312]电店垫殿甸淀奠佃惦
tʰ[13]天添[42]填田甜恬[55]舔忝
l[42]连联莲怜帘廉镰涟鲢[55]脸敛[312]练炼恋链
tɕ[13]监间{房～}兼尖奸肩坚煎歼艰菅[55]减捡剪检简拣茧俭碱谏[312]见件间{～接}建贱键剑健箭溅渐鉴荐舰涧践腱
tɕʰ[13]签牵迁谦铅阡芊千骞[42]钱前潜乾钳黔[55]浅遣谴[312]欠倩歉茜嵌堑芡
ȵ[13]蔫拈[42]鲶年黏[55]撵碾捻[312]念
ɕ[13]先仙鲜掀[42]嫌咸弦贤衔娴[55]显险藓[312]现线县宪馅限献腺羡苋
∅[13]淹烟焉腌嫣湮阉胭奄[42]颜言沿炎研延闫严盐岩彦妍阎檐蜒[55]演眼掩衍[312]燕艳验厌晏雁咽宴焰堰砚谚

#uã
t[13]端[55]短[312]段断锻段缎煅
tʰ[42]团
n[55]暖{文}
l[42]栾鸾峦銮挛孪[55]卵{白}[312]乱
ts[13]钻{～研}[55]纂[312]攥钻{～石}
tsʰ[13]撺窜蹿汆[312]篡
s[13]酸[312]算蒜
tʂ[13]专砖[55]转{～学}[312]转{～动}赚撰传{～记}篆
tʂʰ[13]穿川[42]传{～说}船椽[55]喘舛[312]串
ʂ[13]栓拴闩[312]涮
ʐ[55]软{文}阮{文}
k[13]官关观棺倌鳏冠{鸡～子}[55]管馆莞[312]惯灌冠{～军}罐贯鹳盥
kʰ[13]宽[55]款
x[13]欢獾[42]还{～原}环桓寰嬛[55]缓[312]换幻患焕唤浣宦涣
∅[13]弯湾剜[42]玩丸顽纨[55]晚碗婉皖挽宛[312]万腕

#yã
tɕ[13]娟捐鹃[55]卷{动词}[312]眷倦圈{～养}绢卷{名词}
tɕʰ[13]圈{圆～}[42]全泉拳荃醛诠颧痊蜷[55]犬权[312]劝券
ɕ[13]轩宣喧萱暄[42]玄悬玄旋璇[55]选[312]炫渲眩陷{白}
∅[13]渊冤鸢鸳[42]元原圆员源袁园缘媛猿辕援言{～语}[55]远[312]院愿苑怨

#ẽ
p[13]奔{～跑}[55]本[312]笨苯奔{～头}
pʰ[13]喷[42]盆
m[13]闷{动词}[42]门{文}扪[312]闷{形容词}
f[13]分[42]坟焚[55]粉芬氛汾[312]份粪奋愤忿
ts[55]怎{文}
s[13]森
tʂ[13]真针贞珍帧甄臻斟榛侦箴[55]枕诊疹胗[312]镇震振阵朕圳赈
tʂʰ[13]深{白}伸{白}琛[42]陈晨沉尘辰臣忱[55]碜[312]趁称{～职}衬
ʂ[13]身申参{人～}绅珅呻娠[42]神什[55]沈审婶[312]甚肾慎渗蜃葚瘆
ʐ[42]人仁壬任{姓}[55]忍韧[312]认刃纫饪任{～务}妊
k[13]跟根[55]艮{不脆}[312]哏{打～}
kʰ[55]肯啃恳垦
ŋ[13]恩[312]摁嗯
x[55]很狠[312]痕恨

#iẽ
p[13]斌彬滨宾槟缤濒[312]鬓殡膑
pʰ[13]拼[42]贫[55]品[312]频聘
m[42]民[55]敏闵闽皿抿泯悯
l[13]拎[42]林琳临淋霖麟邻磷鳞粼遴[55]凛檩[312]蔺赁吝
tɕ[13]今金筋禁{～不住}津巾襟矜[55]紧谨仅锦瑾谨槿[312]进近禁{～止}劲尽晋浸烬妗觐
tɕʰ[13]亲钦[42]勤芹琴秦擒禽噙[55]侵寝[312]沁
ɕ[13]新心鑫薪欣辛芯馨昕锌歆[42]寻{白}[312]信衅
∅[13]音因阴茵荫姻[42]银淫寅龈[55]尹引瘾饮{～酒}殷蚓隐[312]饮{～牛}胤窨印

#uẽ
t[13]吨蹲墩敦[55]盹{打～}[312]顿炖盾钝囤{粮食～}[0]饨{馄～}
tʰ[13]吞[42]囤臀豚屯[312]褪{～裤子白}
l[42]轮伦仑纶沦论{～语}囵[55]抡{用棍子～}[312]论{讨～}
ts[13]尊遵樽鳟
tsʰ[13]村皴[42]存[312]寸
s[13]孙
tʂ[13]谆[55]准
tʂʰ[13]春椿[42]唇纯醇淳
ʂ[42]□{害羞}[55]吮损损笋隼[312]顺瞬舜
k[55]滚磙[312]棍
kʰ[13]昆琨坤锟鲲[55]捆[312]困
x[13]婚昏荤[42]魂浑馄[312]混
∅[13]温瘟[42]文闻雯蚊纹玟[55]吻稳刎[312]问

#yẽ
tɕ[13]军君均钧[55]菌[312]俊郡骏峻竣浚
tɕʰ[42]群裙
ɕ[13]勋熏薰[42]旬寻{文}询巡循荀[312]训讯迅逊驯汛
∅[13]晕[42]芸云匀耘纭[55]允陨[312]韵运孕蕴熨酝

#aŋ
p[13]帮邦浜[55]绑膀{肩～}梆[312]棒磅棒傍蚌谤
pʰ[13]乓[42]旁庞膀{～胱}螃彷[55]耪{～地}[312]胖
m[42]忙盲芒茫氓[55]莽蟒
f[13]方芳[42]房[55]防仿坊访纺妨[312]放
t[13]当{应～}裆螳{～螂}[55]党档挡[312]当{～铺}荡宕
tʰ[13]汤趟{～水}[42]糖唐堂塘膛搪棠[55]躺淌倘[312]趟{走一～}烫
n[13]囔{议论}[42]囊馕[55]攮暖{白}
l[42]郎狼廊琅榔螂[312]浪朗
ts[13]脏{肮～}赃[312]藏{宝～}葬奘脏{五～}
tsʰ[13]仓苍舱沧[42]藏{躲～}
s[13]桑丧{～事}[55]嗓搡[312]丧{～失}
tʂ[13]张章樟璋彰蟑[42]□{添加}[55]长{～大}涨{～潮}掌[312]涨{～大}丈帐账仗杖胀障
tʂʰ[13]昌娼猖鲳[42]长{形容词}常尝肠偿嫦[55]敞厂场[312]唱畅倡怅
ʂ[13]伤商殇[55]晌赏裳[312]上尚
ʐ[42]瓤[55]嚷壤攘[312]让
k[13]刚{文}钢缸纲肛[42]□{很}[55]港岗冈讲{白}[312]杠
kʰ[13]康糠慷[42]扛[312]抗炕亢伉
ŋ[13]肮[55]昂x[13]夯[42]行{～业}航杭[312]上{在桌子～白}

#iaŋ
l[42]凉良梁粮粱量{～杯}[55]两[312]辆亮量{重～}亮谅晾靓
tɕ[13]姜江僵疆缰浆[55]将{～来}讲{文}奖蒋桨[312]降{～落}犟匠酱将{大～}
tɕʰ[13]枪腔羌锵[42]强墙蔷[55]抢[312]呛炝跄
ȵ[42]娘□{～花}[312]酿
ɕ[13]乡相{～中}箱香湘镶厢襄[42]祥翔详[55]想响享饷[312]向相{～貌}项象巷橡
∅[13]央秧殃泱[42]杨洋扬羊阳烊[55]养痒仰氧疡[312]样漾恙

#uaŋ
tʂ[13]装庄妆桩[312]撞{文}壮状
tʂʰ[13]疮窗[42]床[55]闯[312]创怆撞{白}
ʂ[13]双霜孀[55]爽□{使整齐}
k[13]胱光[55]广[312]逛
kʰ[13]匡筐诓[42]狂诳[312]框矿况旷眶
x[13]慌荒[42]黄簧皇煌璜磺惶蝗徨[55]谎晃{～眼}幌恍[312]晃{摇～}
∅[13]汪[42]王亡[55]网往枉惘[312]忘忘望旺

#əŋ
p[13]崩绷[42]甭[312]蹦泵迸
pʰ[13]烹抨怦[42]彭鹏朋棚蓬澎硼篷膨[55]捧[312]碰
m[13]懵[42]蒙萌盟朦檬濛[55]猛[312]梦孟
f[13]疯封峰丰锋枫蜂烽[42]逢冯缝{～衣服}逢[55]讽[312]缝{裂～}凤奉
t[13]登灯蹬[55]等[312]邓瞪凳
tʰ[13]熥[42]疼腾藤滕
n[42]能[312]弄{白}
l[13]□{很}[55]冷[312]楞愣棱
ts[13]增曾{姓}[312]赠憎
tsʰ[13]噌[42]曾{～经}层[312]蹭
s[13]僧
