#a
p[33]巴芭疤[21]把[55]罢坝把{（柄）}霸爸[324]拔八
v[33]窝蜗{（〜牛）}[42]鹅禾蛾[55]饿
m[33]摸么{（〜子，怎么）}[42]模{（〜糊，〜样）}蘑磨魔摩馍[55]磨{（〜房）}[324]末沫抹莫膜
t[33]多[21]跺朵躲[55]剁舵椭惰[324]啄夺铎琢涿
tʰ[33]拖[42]砣{（秤〜）}驼驮[21]妥[324]托脱
n[42]挪[55]糯懦[324]诺
l[33]啰[42]螺萝罗脶箩骡锣[21]裸[324]落骆赂烙酪洛络乐胳
ʦ[21]左佐[55]做坐座[324]凿桌着昨作龊酌卓
s[33]疏梳蔬蓑梭嗦[21]所锁琐[324]索塑勺芍朔
z[324]药狱若钥岳
k[33]哥歌戈[55]个过[324]鸽割郭角各阁搁廓
kʰ[21]可[324]渴葛扩霍藿确摧壳
x[324]鹤喝合盒活豁
ŋ[42]鹅俄[21]我[55]卧[324]恶
ʔ[33]荷

#uo
v[33]窝[42]禾[55]龌
k[33]锅[21]果裹[55]过
kʰ[33]蝌{（〜蚪）}科棵颗[55]课
x[42]和河何[21]火伙[55]贺祸货

#oŋ
p[324]甭
pʰ[42]蓬{（帆船）}棚朋彭膨[21]捧[55]碰
v[33]风疯蜂枫丰封峰锋[42]缝蓬篷冯逢[21]讽[55]凤奉俸
m[33]芒{（〜果）}懵[42]虻萌盟蒙[21]猛[55]孟梦
t[33]东冬[21]董懂[55]动冻洞栋
tʰ[33]通[42]同铜瞳桐童[21]桶筒捅统铳[55]痛
n[42]农浓脓侬
l[42]龙聋笼拢[21]城陇隆[55]弄
ʦ[33]中钟棕鬃宗综忠终踪盅[21]种{（〜子）}总肿[55]种{（〜花）}重粽仲众纵
ʦʰ[33]冲舂葱聪匆葱囱充[42]丛虫[21]宠冢崇
s[33]松嵩[55]宋送诵颂讼
z[33]雍痈庸拥壅[42]容熔荣戎绒融茸蓉[21]泳永咏甬勇涌[55]用
k[33]工弓肛公蚣功攻躬宫恭供[21]拱[55]贡汞共
kʰ[33]空[21]孔巩恐[55]控
x[42]红洪虹弘轰哄宏鸿[21]烘轰吼
ʔ[33]翁[42]瓮

#ɯ
kʰ[55]去
ʔ[42]儿而[21]耳尔[55]二

#ɿ
ʦ[33]资姿咨兹滋[21]子紫姊梓[55]自字
ʦʰ[42]祠雌疵池瓷慈磁辞词痴嗤[21]紫此岂[55]刺次赐
s[33]师狮狮丝私师斯厮撕司思诗[21]死[55]事四士肆似祀巳寺嗣饲仕侍

#ia
j[324]匣鸭押压
ʨ[324]洽
k[33]家加嘉佳[21]假{（不真）}[55]架嫁假{（放〜）}价驾[324]狭夹甲胛
kʰ[55]跨[324]掐
x[33]虾[42]霞瑕遐[55]下夏厦[324]瞎峡

#iaŋ 
n[42]娘
l[42]梁粮凉良量粱[21]两[55]亮谅辆量
ʨ[33]将浆[21]蒋奖桨[55]酱匠
ʨʰ[33]枪[42]墙[21]抢[55]呛
ɕ[33]相{（〜信）}箱厢湘襄镶霜[42]详祥[21]想[55]象像相{（〜貌）}橡
k[33]江姜[21]讲[55]降{（〜落）}
kʰ[42]强
x[33]乡香[55]向

#iau
p[33]标彪[21]表姨
pʰ[33]膘飘漂[42]瓢嫖[55]鳔票
m[33]猫[42]描苗[21]渺秒[55]庙妙藐
t[33]刁貂雕[55]掉调钓吊
tʰ[33]挑[42]条调[55]跳
n[21]鸟[55]尿
l[33]寥[42]疗燎聊辽[21]了瞭[55]料
j[33]吆[42]肴{（祭祀用）}检[33]椒{（胡〜）}蕉焦樵剿
ʨ[33]锹
ʨʰ[33]消捎树梢宵霄硝销悄俏鞘萧箫
ɕ[33]消捎树梢宵霄硝销悄俏鞘萧箫[21]小晓[55]笑 
k[33]浇胶交教郊骄娇[21]狡饺绞狡铰搅矫缴[55]叫觉{（睡〜）}教校较轿
kʰ[42]荞{（〜麦）}桥乔侨[21]巧[55]撬窖窍
x[33]淆嚣[21]晓{(常用)}侥[55]酵孝效

#ioŋ
kʰ[42]穷
x[33]兄胸[42]熊

#iu
m[55]□{（不，没）}谬
t[33]丢
n[42]牛[21]纽扭
l[42]流刘留榴硫琉馏[21]柳[55]溜
j[33]忧优悠幽[42]尤邮由油游犹[21]有友酉[55]诱又右佑柚幼
ʨ[33]揪[21]酒[55]就
ʨʰ[33]秋[42]囚泅
ɕ[33]修羞[21]莠[55]绣袖秀宿锈
k[33]阉纠臼柩纠[21]韭九久[55]舅旧灸咎救究
kʰ[33]蚯{（〜蚓）}口{（翘起来）}丘[42]球求
x[33]休[21]朽

#io
n[324]疟弱虐
l[324]略掠
ʨ[324]嚼爵
ʨʰ[324]鹊雀
ɕ[324]削
k[324]脚
kʰ[324]觉{（〜得）}却
x[324]学

#u
p[21]补甫脯[55]步孵菢部簿布怖[324]不
pʰ[33]铺{（〜床）}敷[42]蒲菩浮脯俘[21]谱普浦捕[55]铺{（店〜）}辅阜[324]卜{（〜卦）}讣朴扑仆瀑
v[33]乌夫[42]无娱{（〜蚣）}符吴浮吾梧肤扶芙[21]斧五腐伍午府俯腑抚釜武舞侮鹉[55]附父副戊傅埠误悟付赋傅赴附务妇负富[324]物佛屋龌{（〜龊）}握复吻刎勿福幅蝠复腹覆服伏核
m[42]诬巫模摹[21]母[55]雾慕暮慕墓募[324]木目穆牧
t[33]都[21]堵赌[55]肚杜妒度渡镀[324]读毒独读牍犊笃督
tʰ[42]徒屠途涂图[21]土凸[55]吐兔[324]秃
n[42]奴[21]努[55]怒
l[42]炉驴卢芦鸬庐驴[21]橹鲁虏卤[55]路露鹭[324]绿六鹿禄陆录
ʦ[33]租[21]祖组阻[55]助[324]足竹烛捉镯浊族蜀祝粥促嘱触筑逐轴 
ʦʰ[33]粗[21]楚础[55]醋[324]出畜
s[33]苏酥[21]暑署[55]漱数竖素诉枢输戍[324]叔熟赎缩塾速属束赎淑粟俗续肃宿
z[324]肉浴辱褥育郁固锢雇[324]谷国骨
kʰ[33]箍[21]苦[55]裤库酷[324]哭
x[33]呼乎[42]葫狐胡蝴湖壶[21]虎戽[55]护户沪获互[324]核忽
ʔ[33]乌污坞

#ua
ʦ[21]爪
s[21]耍[324]刷涮
k[33]瓜[21]寡剐[55]卦挂[324]刮括聒
kʰ[33]垮夸
x[33]花[42]猾{（狡〜）}滑华铧划桦[55]话化画[324]阔

#uai
k[33]乖[21]拐[55]怪
kʰ[55]快筷块刽桧蒯
x[42]怀环鬟槐淮[55]坏
ʔ[33]歪

#ui
v[33]威[42]桅危诡为维惟唯讳违围[21]萎委伟苇纬[55]胃喂卫秽伪为位魏畏慰谓
ʦ[33]锥追[55]缀赘锐
ʦʰ[33]吹炊[42]槌捶锤
s[33]虽[55]睡税瑞{（白读）}[42]随垂谁髓[21]水
z[21]乳[55]瑞{（文读）}
k[33]龟圭闺奎规归[21]鬼傀诡轨[55]桂柜贵跪
kʰ[33]亏盔魁窥[42]癸逵葵[55]溃愧癸
x[33]灰恢挥徽[42]回蛔茴[21]悔毁

#uaŋ
ʦ[55]状[33]装庄桩
ʦʰ[42]床[21]闯[33]窗疮
s[21]爽[33]桑霜双
k[21]广[55]逛[33]光
kʰ[42]狂[55]旷况矿[33]筐匡眶
x[42]黄蝗蟥{（蚂〜）}簧皇横[33]荒慌[21]谎[55]晃
