字	发音	声调	注释												
胜	ɕieŋ	5													
姓	ɕieŋ	5													
收	ɕiəu	1													
叔	ɕiəu	1													
蔬	ɕiəu	1													
手	ɕiəu	3													
守	ɕiəu	3													
首	ɕiəu	3													
狩	ɕiəu	5													
兽	ɕiəu	5													
夙	ɕiəu	7													
旭	ɕiəu	7													
汤	ɕiɛ	1	浩~												
相	ɕiɛ	1													
香	ɕiɛ	1													
厢	ɕiɛ	1													
湘	ɕiɛ	1													
箱	ɕiɛ	1													
襄	ɕiɛ	1													
镶	ɕiɛ	1													
享	ɕiɛ	3													
响	ɕiɛ	3													
饷	ɕiɛ	3													
飨	ɕiɛ	3													
想	ɕiɛ	3													
鲞	ɕiɛ	3	一种从鱼腹卯开的大鱼干												
疝	ɕiɛ	5													
相	ɕiɛ	5													
向	ɕiɛ	5													
兄	ɕioŋ	1													
勋	ɕioŋ	1													
熏	ɕioŋ	1													
薰	ɕioŋ	1													
询	ɕioŋ	1													
荀	ɕioŋ	1													
笋	ɕioŋ	3													
浚	ɕioŋ	5													
竣	ɕioŋ	5													
舜	ɕioŋ	5													
训	ɕioŋ	5													
尿	ɕy	1	白读 拉~												
书	ɕy	1													
梳	ɕy	1													
疏	ɕy	1													
输	ɕy	1													
虽	ɕy	1													
戌	ɕy	1													
吁	ɕy	1	长~												
虚	ɕy	1													
需	ɕy	1													
嘘	ɕy	1													
靴	ɕy	1													
暑	ɕy	3													
黍	ɕy	3	苞萝~：玉米												
水	ɕy	3													
许	ɕy	3													
诩	ɕy	3													
栩	ɕy	3													
戍	ɕy	5													
恕	ɕy	5													
庶	ɕy	5													
数	ɕy	5	白读 有~												
税	ɕy	5													
岁	ɕy	5													
穗	ɕy	5													
絮	ɕy	5													
婿	ɕy	5	文读 女~												
煦	ɕy	5													
双	ɕyɔ	1													
霜	ɕyɔ	1													
孀	ɕyɔ	1													
凶	ɕyɔ	1													
匈	ɕyɔ	1													
汹	ɕyɔ	1													
胸	ɕyɔ	1													
㞞	ɕyɔ	3													
怂	ɕyɔ	3													
耸	ɕyɔ	3													
悚	ɕyɔ	3													
竦	ɕyɔ	3													
况	ɕyɔ	5													
拴	ɕye	1													
说	ɕye	1													
轩	ɕye	1	用于人名												
宣	ɕye	1													
喧	ɕye	1													
媗	ɕye	1													
䘆	ɕye	3	康~：蚯蚓												
选	ɕye	3													
血	ɕye	3													
恤	ɕye	5													
酗	ɕye	5													
绚	ɕye	5													
巽	ɕye	5	风行~												
说	ɕye	7													
萱	ɕye	7													
雪	ɕye	7													
谑	ɕye	7													
商	ɕyə	1													
觞	ɕyə	1													
捎	ɕyə	1													
烧	ɕyə	1													
梢	ɕyə	1													
稍	ɕyə	1													
艄	ɕyə	1													
潲	ɕyə	1													
奢	ɕyə	1													
骁	ɕyə	1													
逍	ɕyə	1													
虓	ɕyə	1													
萧	ɕyə	1													
硝	ɕyə	1													
销	ɕyə	1													
箫	ɕyə	1													
箫	ɕyə	1													
潇	ɕyə	1													
霄	ɕyə	1													
嚣	ɕyə	1													
肖	ɕyə	1													
赏	ɕyə	3													
少	ɕyə	3													
舍	ɕyə	3													
小	ɕyə	3													
晓	ɕyə	3													
筱	ɕyə	3													
少	ɕyə	5													
哨	ɕyə	5													
赦	ɕyə	5													
肖	ɕyə	5	生~												
笑	ɕyə	5													
啸	ɕyə	5													
削	ɕyə	7													
数	ɕyo	5	白读 屡次												
畜	ɕyo	7	~牧												
束	ɕyo	7	~起												
朔	ɕyo	7													
宿	ɕyo	7													
粟	ɕyo	7													
蓄	ɕyo	7													
弹	da	2													
坛	da	2													
谈	da	2													
痰	da	2													
谭	da	2													
潭	da	2													
檀	da	2													
掸	da	4													
淡	da	4													
坦	da	4	白读 惯用音												
大	da	6	白读												
逮	da	6													
殆	da	6													
怠	da	6													
埭	da	6	~拉：排、行												
但	da	6													
弹	da	6													
石	da	6	一种质量单位												
哒	da	8													
达	da	8													
踏	da	8													
颓	dai	2	男阴												
怼	dai	4													
队	dai	6													
兑	dai	6													
籴	dai	8	买粮食												
沌	daŋ	2													
疼	daŋ	2													
腾	daŋ	2													
誊	daŋ	2													
滕	daŋ	2													
藤	daŋ	2													
饨	daŋ	2	可												
断	daŋ	4	白读 ~命												
邓	daŋ	6													
掉	daŋ	6	白读 ~落，本字疑“遁”												
遁	daŋ	6													
投	dau	2	~票												
骰	dau	2													
读	dau	5	句~												
窦	dau	6													
毒	dau	6	白读 ~杀												
唐	dɔ	2													
堂	dɔ	2													
棠	dɔ	2													
塘	dɔ	2													
搪	dɔ	2													
溏	dɔ	2													
糖	dɔ	2													
赯	dɔ	2													
螳	dɔ	2													
宕	dɔ	4	地方												
荡	dɔ	4	闲逛												
菪	dɔ	4													
□	dɔ	6	摘取												
砀	dɔ	6													
瞊	dɔ	6	瞙~：失明者												
台	de	2													
抬	de	2													
苔	de	2													
待	de	4													
代	de	6													
岱	de	6													
贷	de	6													
袋	de	6													
□	de	8	拎着												
特	de	8													
匋	də	2													
逃	də	2													
桃	də	2													
陶	də	2													
萄	də	2													
淘	də	2													
导	də	4	~数												
道	də	4													
稻	də	4													
导	də	6													
蹈	də	6													
盗	də	6													
悼	də	6													
大	dəu	6													
铎	dəu	7													
毒	dəu	8	~药												
夺	dəu	8													
踱	dəu	8													
□	dɛ	2	推倒												
钱	di	2	白读												
提	di	2													
弟	di	4													
地	di	6													
第	di	6													
狄	di	8													
敌	di	8													
涤	di	8													
笛	di	8													
翟	di	8													
钿	die	2													
田	die	2													
恬	die	2													
鿬	die	2													
甜	die	2													
填	die	2													
殄	die	4													
电	die	6													
佃	die	6													
钿	die	6													
淀	die	6													
奠	die	6													
殿	die	6													
谍	die	8													
喋	die	8													
叠	die	8													
碟	die	8													
蝶	die	8													
廷	dieŋ	2													
亭	dieŋ	2													
庭	dieŋ	2													
停	dieŋ	2													
蜓	dieŋ	2	蜻~公公：小蜻蜓												
婷	dieŋ	2													
霆	dieŋ	2													
定	dieŋ	6													
锭	dieŋ	6													
头	diəu	2													
投	diəu	2	~蓝												
豆	diəu	6													
逗	diəu	6													
读	diəu	8													
渎	diəu	8													
驮	do	2													
舵	do	4													
堕	do	4													
惰	do	4													
□	do	7	~开：把手丢开												
图	dø	2													
徒	dø	2	~弟												
团	dø	2													
屯	dø	2													
豚	dø	2													
臀	dø	2	一邋~：最后												
跎	dø	2													
断	dø	4	~绝												
囤	dø	4													
段	dø	6													
度	dø	8	猜~												
凸	dø	8													
突	dø	8													
峒	doŋ	2													
仝	doŋ	2													
同	doŋ	2													
彤	doŋ	2													
桐	doŋ	2													
砼	doŋ	2													
铜	doŋ	2													
童	doŋ	2													
潼	doŋ	2													
犝	doŋ	2													
瞳	doŋ	2													
动	doŋ	4													
桶	doŋ	4													
侗	doŋ	6													
洞	doŋ	6													
恫	doŋ	6													
恸	doŋ	6													
佗	du	2													
陀	du	2													
沱	du	2													
独	du	8													
犊	du	8													
杜	dy	4													
肚	dy	4	文读 ~儿												
妒	dy	5													
度	dy	6	~量												
调	dyə	2	空~												
条	dyə	2													
迢	dyə	2													
窕	dyə	4													
调	dyə	6	~离												
掉	dyə	6													
跳	dyə	6	白读 闲逛												
残	dza	2													
炸	dza	5													
淬	dza	6	白读												
错	dza	6	白读 本字为“赚”												
暂	dza	6													
寨	dza	6	文读 柬埔~												
栈	dza	6													
站	dza	6	火车~												
绽	dza	6													
赚	dza	6	白读 错误												
翟	dza	8													
择	dza	8	~菜												
泽	dza	8													
宅	dza	8													
帙	dzai	7													
秩	dzai	7													
臣	dzaŋ	2													
忱	dzaŋ	2													
陈	dzaŋ	2													
鸩	dzaŋ	2													
湛	dzaŋ	4													
朕	dzaŋ	4													
阵	dzaŋ	6													
骤	dzau	6													
巢	dzɔ	2													
□	dzɔ	6	以物易物												
造	dzə	6	白读 ~物												
荠	dʑi	2													
期	dʑi	2													
岐	dʑi	2													
其	dʑi	2													
奇	dʑi	2													
祈	dʑi	2													
耆	dʑi	2													
颀	dʑi	2													
跂	dʑi	2													
崎	dʑi	2													
淇	dʑi	2													
骑	dʑi	2													
琪	dʑi	2													
棋	dʑi	2													
旗	dʑi	2													
麒	dʑi	2													
黔	dʑi	2													
茄	dʑi	2	~儿：茄子												
伎	dʑi	6													
技	dʑi	6													
妓	dʑi	6													
寄	dʑi	6													
骑	dʑi	6	量词												
企	dʑi	6													
箸	dʑi	6													
揭	dʑi	7	按~												
侄	dʑi	7													
噱	dʑia	8													
着	dʑia	8	用~：可以；好的												
圾	dʑiai	8													
屐	dʑiai	8													
及	dʑiai	8													
极	dʑiai	8													
竭	dʑiai	8													
芹	dʑiaŋ	2													
琴	dʑiaŋ	2													
禽	dʑiaŋ	2													
勤	dʑiaŋ	2													
擒	dʑiaŋ	2													
擎	dʑiaŋ	2													
近	dʑiaŋ	4													
舌	dʑiaŋ	4	白读 鸭~，常作“赚”，应作“近”												
赚	dʑiaŋ	4													
仅	dʑiaŋ	6													
馑	dʑiaŋ	6													
觐	dʑiaŋ	6													
噤	dʑiaŋ	6													
竞	dʑiaŋ	6													
仇	dʑiau	2	姓氏												
犰	dʑiau	2													
求	dʑiau	2													
虬	dʑiau	2													
俅	dʑiau	2													
逑	dʑiau	2													
球	dʑiau	2													
巯	dʑiau	2													
裘	dʑiau	2													
銶	dʑiau	2													
咎	dʑiau	4													
柩	dʑiau	4													
舅	dʑiau	4													
旧	dʑiau	6													
缠	dʑie	2													
虔	dʑie	2													
钱	dʑie	2	文读												
钳	dʑie	2													
乾	dʑie	2													
俭	dʑie	4													
件	dʑie	4													
健	dʑie	6													
腱	dʑie	6													
彻	dʑie	8													
撤	dʑie	8													
澈	dʑie	8													
杰	dʑie	8													
□	dʑieŋ	2	堵塞												
惩	dʑieŋ	2													
澄	dʑieŋ	2													
橙	dʑieŋ	2													
静	dʑieŋ	4													
净	dʑieŋ	6													
剩	dʑieŋ	6													
郑	dʑieŋ	6													
仇	dʑiəu	2													
惆	dʑiəu	2													
绸	dʑiəu	2													
畴	dʑiəu	2													
酬	dʑiəu	2													
稠	dʑiəu	2													
筹	dʑiəu	2													
囚	dʑiəu	2													
泅	dʑiəu	2													
纣	dʑiəu	4													
售	dʑiəu	6													
柚	dʑiəu	6													
宙	dʑiəu	6													
胄	dʑiəu	6													
胄	dʑiəu	6													
骤	dʑiəu	6													
籀	dʑiəu	6	地名：~园												
轴	dʑiəu	8													
逐	dʑiəu	8													
肠	dʑiɛ	1													
场	dʑiɛ	1													
长	dʑiɛ	1	~度												
□	dʑiɛ	2	用嘴尝味												
尝	dʑiɛ	2	用嘴尝味												
强	dʑiɛ	2	~大												
争	dʑiɛ	2	白读 ~吵												
强	dʑiɛ	4	勉~												
丈	dʑiɛ	4													
仗	dʑiɛ	4													
杖	dʑiɛ	4													
虫	dʑioŋ	2													
邛	dʑioŋ	2													
穷	dʑioŋ	2													
