#調值	[1] 陰平223 [2] 陽平445 [3]上声31 [5] 陰去35 [6] 陽去324
	
#ɿ
ts[1]知資[3]紫紙指子[5]制汁織
ɕ[2]斜[3]寫[5]歇雪[6]謝協
Ø[2]爺[6]葉業

#uɛ
k[5]國
x[6]活或
Ø[5]物

#ye
tɕ[5]決
tɕʰ[5]缺
ɕ[1]靴[5]血
Ø[5]月越

#ai
p[3]擺[5]拜
pʰ[2]排牌[5]派[6]敗
m[2]埋[3]買[6]賣
t[5]帶
tʰ[1]胎[2]台[6]大袋
tsʰ[2]財柴[5]菜
s[5]曬
k[1]該街[3]改解[5]蓋戒
kʰ[1]開
x[2]鞋[3]海蟹[6]害
Ø[3]矮[5]愛

#iai
ŋ[2]岩
Ø[2]岩

#uai
k[3]拐[5]怪
kʰ[5]塊快
x[2]懷[6]壞
Ø[1]歪[6]外

#ei
p[1]杯碑[5]貝背
pʰ[2]賠[5]配
m[2]煤[6]妹
f[1]飛[2]肥[5]肺費
t[5]對
tsʰ[6]罪
s[2]隨[5]碎歲
l[2]來雷[6]類

#uei
k[1]規龜[3]鬼[5]桂跪貴
kʰ[1]虧[6]櫃
x[1]灰[2]回[6]會
Ø[2]危圍[3]尾[6]衛位味胃

#yei
tɕ[1]追
tɕʰ[1]吹[2]垂錘
ɕ[3]水

#ɑu
p[1]包[3]寶飽
pʰ[5]炮[6]抱
m[1]貓[2]毛[6]帽
t[1]刀
tʰ[2]桃[3]討[6]道
n[3]腦[6]鬧
l[3]老繞
ts[3]早找[5]灶罩照
tsʰ[1]抄朝[3]草[5]糙造
s[1]燒[3]嫂
k[1]高
kʰ[1]敲[5]靠
ŋ[2]熬
x[3]好[6]號

#iɑu
p[3]表
pʰ[5]票
m[6]廟
t[5]釣
tʰ[2]條
l[6]料
tɕ[1]交焦[5]叫
tɕʰ[1]敲[2]橋[6]轎
ȵ[3]鳥
ɕ[1]簫[3]小[5]孝笑[6]校
Ø[1]腰[2]搖[5]要

#eu
t[1]丟[3]抖
tʰ[1]偷[2]頭[6]豆
l[2]流
ts[1]州[3]走
tsʰ[1]抽[2]綢愁[5]湊臭
s[3]手[5]瘦[6]壽
x[6]後厚

#ieu
tɕ[3]酒九[5]橘菊
tɕʰ[2]袖球[5]曲[6]舅舊
ȵ[2]牛[3]藕
ɕ[1]修休
k[1]鉤[3]狗[5]夠
kʰ[3]口
l[2]樓
Ø[1]優[2]油[3]有[5]幼育浴[6]右

#an
p[1]班[3]板
pʰ[6]辦
m[6]慢
f[1]翻[3]反[6]犯飯
t[1]單[3]膽
tʰ[2]彈[3]毯[5]炭[6]淡
n[2]難
l[2]藍蘭[3]染懶[6]爛
ts[5]占戰
tsʰ[2]纏[3]鏟產
s[1]三衫山[3]傘[5]扇[6]善
k[3]敢
kʰ[1]間鉛
ŋ[3]眼
x[2]鹹[3]喊
Ø[2]安[5]暗

#ien
p[3]扁[5]變
pʰ[5]騙片[6]便
m[2]棉[6]面
t[3]點典[5]店
tʰ[1]添天[2]甜田[6]墊
l[2]連蓮
tɕ[1]監尖奸肩[3]減剪[5]劍建見
tɕʰ[1]簽牽[2]鉗錢前[3]淺[5]欠[6]件健
ȵ[1]黏[2]嚴年[6]驗念
ɕ[1]鮮先[2]嫌[3]險顯[5]線[6]限現縣
Ø[1]煙[2]炎鹽顏延言[5]厭

#uan
Ø[3]晚[5]萬

#yen
tɕ[1]磚[3]轉卷
tɕʰ[1]圈[2]全傳船權[5]勸[6]賺傳
ȵ[3]軟
ɕ[1]閂[3]選
Ø[1]冤[2]圓原園[3]遠[6]院

#on
p[1]搬[5]半
pʰ[2]盤[5]扮判
m[3]滿
t[1]端[3]短
tʰ[1]貪[2]潭[6]斷
n[2]南[3]暖
l[6]亂
tsʰ[2]蠶
s[1]酸[5]算
k[1]甘肝官關[3]感[5]慣
kʰ[1]寬[5]看
x[1]歡[2]含[5]漢[6]汗換
Ø[1]彎[2]完頑還[3]碗[6]岸

#ən
p[3]本
pʰ[2]盆
m[2]門蚊[6]問
f[1]分[2]墳[3]粉[5]糞
t[1]墩蹲燈[3]等[5]凳
tʰ[1]吞[2]藤
n[2]能[6]嫩
l[2]任人輪[3]冷[6]認
ts[1]針僧爭貞[3]整[5]鎮震證正
tsʰ[1]村[2]沉陳辰層程城[5]寸秤
s[1]參深身孫升生聲[2]神繩[3]筍省[6]剩
k[1]根更耕[3]梗
kʰ[1]坑[3]肯
ŋ[6]硬
x[6]恨
Ø[1]恩

#in
p[1]冰兵[3]餅[5]柄
pʰ[2]貧平瓶[3]品[6]病
m[2]民明名[6]命
t[1]釘[3]頂
tʰ[1]廳[2]停[3]挺[5]聽[6]定
l[2]林鄰零[3]領
tɕ[1]金筋經[3]緊井[5]浸進勁俊鏡
tɕʰ[1]親清輕青[2]尋琴勤[5]慶[6]近靜
ȵ[2]人
ɕ[1]心新星[2]行形[5]興姓
Ø[1]音蠅[2]銀迎贏營[3]引隱影[5]印

#uən
k[3]滾
kʰ[5]困
x[1]婚[2]魂橫
Ø[1]溫

#yn
tɕ[1]均軍[3]准
tɕʰ[1]春[2]裙
ɕ[1]熏[2]唇純[6]順
Ø[2]勻雲[3]永[6]閏運

#ɑŋ
p[1]幫[3]綁[5]棒
pʰ[5]胖
m[2]忙[3]網
f[1]方[2]房防[3]紡[5]放
t[3]黨
tʰ[1]湯[2]糖
l[6]浪讓
ts[1]張章
tsʰ[1]倉[2]長嘗[3]廠[5]唱
s[1]傷[6]上
k[1]鋼江[3]講
kʰ[1]糠
x[6]項

#iɑŋ
tɕ[1]漿薑江
tɕʰ[2]降[3]搶[6]匠像
ȵ[2]娘
ɕ[3]想響[5]像向
l[3]兩[6]亮
Ø[1]秧[3]癢[6]樣

#uɑŋ
k[1]光
kʰ[1]筐[2]狂
x[1]慌[2]黃
Ø[2]黃王[3]網[6]旺

#yɑŋ
tɕ[1]裝樁[5]壯
tɕʰ[1]瘡窗[2]床[6]撞
ɕ[1]霜雙

#oŋ
pʰ[2]朋棚蓬
m[3]猛[6]夢
f[1]風豐封蜂[6]鳳縫
t[1]東冬[3]懂[5]凍
t[1]通[2]銅[3]桶統[5]痛[6]動洞
n[2]膿濃
l[2]聾弄龍
ts[1]中終[3]腫[5]粽種
tsʰ[1]蔥充沖[2]蟲松[6]重
s[1]松[5]送宋
k[1]公宮恭
kʰ[3]孔[6]共
x[1]烘[2]紅
Ø[1]翁
#ioŋ
tɕʰ[2]窮
ȵ[2]濃
ɕ[1]兄兇[2]熊雄
Ø[2]榮容[3]擁[6]用
#uoŋ
#ɭ̩
Ø[2]兒[5]日

