字	IPA	调值
瓜	kua	55
哥	ko	55
宏	xoŋ	53
刻	kʰæ	31
那	na	313
盼	pʰã	313
鮮	ɕyẽ	55
剖	pʰo	42
管	kuã	42
驗	iẽ	313
何	xo	53
極	tɕie	31
假	tɕia	313
假	tɕia	42
牢	lau	53
掘	tɕʰiu	31
戒	kæ	313
宋	soŋ	313
技	tɕie	313
花	xua	55
歌	ko	55
化	xua	313
門	mə̃	53
苦	kʰu	42
和	xo	53
雲	yĩ	53
雲	yĩ	53
粉	fə̃	42
蕊	ʐue	42
肥	fe	53
謀	məu	53
奪	to	31
踏	tʰa	53
糾	tɕiəu	55
堯	iau	53
素	su	313
圍	ue	53
造	tsʰau	313
叫	tɕiau	313
碧	pie	31
存	tsʰuə̃	53
送	soŋ	313
歸	kue	55
産	tʂʰã	42
增	tsə̃	55
些	ɕiɪ	55
炸	tʂa	31
炸	tʂa	313
糟	tsau	55
聶	ne	31
匡	kʰuã	55
行	ɕĩ	53
行	xã	53
謊	xuã	42
杠	kã	313
菊	tɕiu	31
審	ʂə̃	42
薄	po	53
削	ɕio	31
毁	xue	42
如	ʐu	53
拔	pa	31
往	uã	42
暫	tʂã	313
噎	iɪ	31
坡	pʰo	55
徹	tʂʰæ	31
獲	xuæ	31
昂	ã	53
瑟	sæ	31
故	ku	313
旬	ɕyĩ	53
老	lau	42
梯	tʰie	55
旋	ɕyẽ	53
忘	vã	53
律	lie	31
兄	ɕioŋ	55
貓	miau	53
貓	mau	55
引	ɕĩ	42
散	sã	313
撒	sa	42
歪	uæ	55
刷	ʂua	31
角	ko	31
角	tɕio	31
漢	xã	313
欣	ɕyẽ	55
欣	ɕĩ	55
亥	xæ	313
細	ɕie	313
吉	tɕie	31
愁	tsʰəu	53
貧	pʰĩ	53
孫	suə̃	55
上	ʂã	313
鏟	tʂʰã	42
絨	ʐoŋ	53
篤	tu	31
數	su	313
盈	ɕĩ	53
星	ɕĩ	55
祥	tɕʰiã	53
榮	ioŋ	53
跌	te	31
憲	ɕiẽ	313
娘	niã	53
冬	toŋ	55
明	mĩ	53
繭	tɕiẽ	42
披	pʰie	55
薛	ɕyɪ	31
佳	tɕia	55
洛	lo	31
挨	æ	55
夾	tɕia	31
剥	po	53
接	tɕiɪ	31
附	fu	313
李	lie	42
宗	tsoŋ	55
秘	mie	31
惠	xue	313
飄	pʰiau	55
脚	tɕio	31
查	tʂʰa	53
認	ʐə̃	313
開	kʰæ	55
安	ã	55
翁	xoŋ	55
園	yẽ	53
爾	e	42
飽	pau	42
孟	moŋ	313
黄	xuã	53
限	ɕiẽ	313
唱	tʂʰã	313
丢	tiəu	55
恭	koŋ	55
米	mie	42
罩	tʂau	313
負	fu	313
壽	ʂəu	313
習	ɕie	31
禍	xo	313
來	læ	53
却	tɕʰio	31
單	tã	55
藥	io	31
帽	mau	313
險	ɕiẽ	42
舌	ʂæ	31
虐	lio	31
泰	tʰæ	313
晨	ʂə̃	53
也	iɪ	42
桅	ue	53
丘	tɕʰiəu	55
捲	tɕyẽ	42
去	kʰɯ	31
去	tɕʰye	313
垂	tʂʰue	53
營	ɕĩ	53
立	lie	31
幼	iəu	313
及	tɕie	31
生	sə̃	55
釣	tiau	313
阮	uã	53
矣	ie	42
堤	tʰie	53
塔	tʰa	53
吸	ɕie	31
季	tɕie	313
酌	tʂo	31
重	tʂoŋ	313
清	tɕʰĩ	55
鼠	tʂʰu	42
膠	tɕiau	55
汪	uã	55
雷	lue	53
道	tau	313
測	tsʰæ	31
恐	kʰoŋ	42
外	uæ	313
消	ɕiau	55
專	tʂuã	55
仙	ɕiẽ	55
古	ku	42
羅	lo	53
孤	ku	55
斤	tɕĩ	55
飯	fã	313
著	tʂo	31
把	pa	42
危	ue	53
粗	tsʰu	55
進	tɕĩ	313
更	kə̃	313
覺	tɕio	31
桑	sã	55
庵	ã	55
若	ʐo	31
朝	tʂau	55
矮	æ	42
枉	uã	42
繩	ʂuə̃	53
竹	tʂu	31
文	və̃	53
八	pa	31
媽	ma	55
爐	lu	53
斜	ɕia	53
周	tʂəu	55
肉	ʐu	31
曲	tɕʰiu	31
鵝	o	53
畝	mu	42
貌	mau	313
連	liẽ	53
甚	ʂə̃	313
件	tɕiẽ	313
變	piẽ	313
森	sə̃	55
人	ʐə̃	53
英	ɕĩ	55
一	ie	31
郎	lã	53
柔	ʐəu	53
侵	tɕĩ	55
梅	me	53
選	ɕyẽ	42
綢	tʂʰəu	53
信	ɕĩ	313
岸	ã	313
閑	ɕiẽ	53
醜	tʂʰəu	42
我	o	42
路	lu	313
全	tɕʰyẽ	53
軟	ʐuã	42
跑	pʰau	42
社	ɕiɪ	313
氣	tɕʰie	313
臘	la	31
局	tɕiu	31
句	tɕye	313
吕	lue	42
犬	tɕʰyẽ	42
委	ue	42
右	iəu	313
晋	tɕĩ	313
縮	so	31
貴	kue	313
野	iɪ	42
位	ue	313
惹	iɪ	42
斛	xu	31
術	ʂu	31
兩	liã	42
德	tæ	31
荆	tɕĩ	55
皆	kæ	55
緣	yẽ	53
山	ʂã	55
逸	ie	31
回	xue	53
轎	tɕiau	313
船	tʂʰuã	53
里	lie	42
救	tɕiəu	313
譯	ie	31
末	mo	31
肯	kʰə̃	42
良	liã	53
虧	kʰue	55
懷	xuæ	53
設	ʂæ	31
杏	ɕĩ	313
聽	tʰĩ	55
七	tɕʰie	31
鳥	niau	42
兒	e	53
虚	ɕye	55
尾	ve	42
官	kuã	55
鋭	ʐue	313
鬆	soŋ	55
孝	ɕiau	313
弘	xoŋ	53
多	to	55
馬	ma	42
草	tsʰau	42
配	pʰe	313
名	mĩ	53
恤	ɕyɪ	31
恤	ɕiu	31
襖	au	42
崩	poŋ	55
僧	sə̃	55
怯	tɕʰyɪ	31
害	xæ	313
扇	ʂã	313
轟	xoŋ	55
戌	ɕiu	31
戌	ɕyɪ	31
楚	tsʰu	42
招	tʂau	55
巷	xã	313
鋤	tsʰu	53
顯	ɕiẽ	42
仍	ʐə̃	53
才	tsʰæ	53
家	tɕia	55
陣	tʂə̃	313
陣	tʂʰə̃	53
勒	læ	31
舊	tɕiəu	313
寄	tɕie	313
捨	ɕiɪ	42
僕	pʰu	31
友	iəu	42
出	tʂʰu	31
觀	kuã	55
丁	tĩ	55
愛	æ	313
聲	ʂə̃	55
拘	tɕye	55
涯	ia	53
誦	soŋ	313
朗	lã	42
色	sæ	31
移	ie	53
銜	xã	53
歇	ɕiɪ	31
環	xuã	53
泥	nie	53
舀	iau	42
驢	lu	53
津	tɕĩ	55
白	pæ	31
烏	u	55
慘	tsʰã	42
萌	mĩ	53
菠	po	55
襯	tsʰə̃	313
水	ʂue	42
話	xua	313
倫	luə̃	53
黑	xæ	31
元	yẽ	53
匣	ɕia	31
狂	kʰuã	53
純	ʂuə̃	53
哀	æ	55
鹹	ɕiẽ	53
卧	o	313
統	tʰoŋ	42
瑞	ʂue	313
柴	tʂʰæ	53
亂	luã	313
醋	tsʰu	313
履	lie	42
宣	ɕyẽ	55
晏	iẽ	313
吾	u	53
偷	tʰəu	55
例	lie	313
玉	ye	313
含	xã	53
邊	piẽ	313
邊	piẽ	55
過	ko	313
密	mie	31
撤	tʂʰæ	31
告	kau	313
弟	tie	313
碗	uã	42
賴	læ	313
齊	tɕʰie	53
詳	tɕʰiã	53
嚼	tɕio	31
笛	tie	31
長	tʂʰã	53
長	tʂã	42
住	tʂu	313
解	kæ	42
絞	tɕiau	42
甲	tɕia	31
屬	ʂu	31
無	u	53
呼	xu	55
刀	tau	55
秦	tɕʰĩ	53
激	tɕie	31
奉	foŋ	313
爲	ue	53
農	noŋ	53
軋	tʂa	31
念	niẽ	313
惟	ve	53
彭	pʰoŋ	53
肅	su	31
共	koŋ	313
染	ʐã	42
某	məu	42
力	lie	31
架	tɕia	313
所	so	42
興	ɕĩ	55
爺	iɪ	53
河	xo	53
木	mu	31
太	tʰæ	313
展	tʂã	42
遺	ie	53
妥	tʰo	42
中	tʂoŋ	55
監	tɕiẽ	55
揣	tʂʰuæ	42
器	tɕʰie	313
麗	lie	313
鴨	ia	31
伴	pã	313
金	tɕĩ	55
孽	ne	31
憶	ie	313
淆	ɕiau	53
搭	ta	31
弓	koŋ	55
旗	tɕʰie	53
國	kuæ	31
庚	kə̃	55
棚	pʰoŋ	53
妻	tɕʰie	55
完	uã	53
窮	tɕʰioŋ	53
己	tɕie	42
插	tʂʰa	31
桌	tʂo	31
求	tɕʰiəu	53
初	tsʰu	55
謙	tɕʰiẽ	55
悴	tsʰue	313
巢	tʂʰau	53
運	ɕĩ	313
運	yĩ	313
同	tʰoŋ	53
鴉	ia	55
擇	tsʰæ	31
税	ʂue	313
倦	tɕyẽ	313
鐵	tʰe	31
歲	sue	313
衛	ue	313
前	tɕʰiẽ	53
六	lu	31
熟	ʂu	31
真	tʂə̃	55
曰	yɪ	55
鄰	lĩ	53
販	fã	313
店	tiẽ	313
朱	tʂu	55
廉	liẽ	53
二	e	313
撑	tsʰə̃	55
頂	tĩ	42
篆	tʂuã	313
硬	ə̃	313
凡	fã	53
公	koŋ	55
小	ɕiau	42
摇	iau	53
煙	iẽ	55
旁	pʰã	53
賢	ɕiẽ	53
味	ve	313
械	kæ	313
醃	iẽ	55
仰	niã	42
奴	nu	53
誠	tʂʰə̃	53
伐	fa	53
婆	pʰo	53
總	tsoŋ	42
北	pæ	31
波	po	55
作	tso	31
介	kæ	313
敢	kã	42
尋	ɕyĩ	53
費	fe	313
君	tɕyĩ	55
莊	tʂuã	55
壁	pie	31
拿	na	53
羽	ye	42
效	ɕiau	313
壬	ʐə̃	53
三	sã	55
撇	pʰe	31
江	tɕiã	55
弦	ɕyẽ	53
課	kʰo	313
嘴	tsue	42
香	ɕiã	55
突	tʰu	31
姑	ku	55
殺	ʂa	53
結	tɕiɪ	31
鉛	iẽ	53
爬	pʰa	53
鶴	xo	31
滚	kuə̃	42
協	ɕyɪ	31
犯	fã	313
跟	kə̃	55
被	pie	313
睡	ʂue	313
吊	tiau	313
底	tie	42
賭	tu	42
後	xəu	313
鷄	tɕie	55
横	xuə̃	53
奚	ɕie	55
坐	tso	313
玄	ɕyẽ	53
欲	iu	31
熊	ɕioŋ	53
畫	xua	313
天	tʰiẽ	55
挖	ua	55
地	tie	313
閘	tʂa	31
瀑	pau	313
乘	tʂʰə̃	53
齋	tʂæ	55
敗	pæ	313
妖	iau	55
紐	niəu	42
切	tɕʰiɪ	31
左	tso	42
漏	ləu	313
好	xau	42
昌	tʂʰã	55
幸	ɕĩ	313
晌	ʂã	42
屋	u	31
分	fə̃	55
冷	lə̃	42
懸	ɕyẽ	53
餓	o	313
射	ɕiɪ	313
暑	tʂʰu	42
頗	pʰo	42
耳	e	42
恒	xə̃	53
書	ʂu	55
綴	tʂuæ	31
悲	pe	55
彼	pie	42
帶	tæ	313
鴿	ko	31
籠	loŋ	42
櫃	kue	313
辦	pã	313
忒	tʰæ	31
餘	ye	53
駕	tɕia	313
牀	tʂʰuã	53
蚊	və̃	53
快	kʰuæ	313
債	tʂæ	313
計	tɕie	313
减	tɕiẽ	42
觸	tʂu	31
短	tuã	42
項	xã	313
鞋	xæ	53
皖	uã	313
勃	pʰu	31
域	iu	31
夜	iɪ	313
輕	tɕʰĩ	55
潭	tʰã	53
怒	nu	313
亮	liã	313
幻	xuã	313
衫	ʂã	55
健	tɕiẽ	313
冰	pĩ	55
脱	tʰo	31
聯	liẽ	53
尊	tsuə̃	55
盟	mĩ	53
豬	tʂu	55
提	tʰie	53
説	ʂo	31
灰	xue	55
宅	tsʰæ	31
紹	ʂau	313
旱	xã	313
做	tso	313
硯	iẽ	313
孩	xæ	53
鍘	tʂa	31
像	ɕiã	313
陽	iã	53
戳	tʂʰo	31
斬	tʂã	42
從	tsʰoŋ	53
厭	iẽ	313
孕	yĩ	313
臂	pe	313
偕	kæ	55
慣	kuã	313
剛	kã	55
隱	ɕĩ	42
膽	tã	42
芳	fã	55
泌	mie	31
充	tʂʰoŋ	55
察	tʂʰa	31
蒙	moŋ	53
寨	tʂæ	313
欽	tɕʰĩ	55
闢	pʰie	31
崇	tsʰoŋ	53
屢	lue	42
意	ie	313
對	tue	313
南	nã	53
鄭	tʂə̃	313
蘇	su	55
將	tɕiã	55
汗	xã	313
俗	su	31
姜	tɕiã	55
弱	ʐo	31
窩	o	55
福	fu	31
侯	xəu	53
追	tʂue	55
低	tie	55
頭	tʰəu	53
聊	liau	53
茄	tɕʰyɪ	53
當	tã	55
舍	ɕiɪ	313
彪	piəu	55
帥	ʂuæ	313
厄	æ	31
迫	pʰæ	31
獸	ʂəu	313
昭	tʂau	55
足	tsu	31
託	tʰo	31
彎	uã	55
感	kã	42
房	fã	53
承	tʂʰə̃	53
飛	fe	55
巾	tɕĩ	55
肚	tu	313
肚	tu	42
坑	kʰə̃	55
坑	kʰã	313
爹	te	55
掛	kua	313
厚	xəu	313
喜	ɕie	42
聞	və̃	53
退	tʰue	313
戚	tɕʰie	31
恨	xə̃	313
骨	ku	31
王	uã	53
演	iẽ	42
禀	pĩ	42
腔	tɕʰiã	55
學	ɕio	31
張	tʂã	55
握	u	31
豆	təu	313
婦	fu	313
奏	tsəu	313
達	ta	31
扯	tʂʰæ	42
譜	pʰu	42
乎	xu	55
鍋	ko	55
暖	nuã	42
院	uã	313
姐	tɕiɪ	42
頃	tɕʰĩ	42
魚	ye	53
光	kuã	55
亨	xə̃	55
遠	yẽ	42
燭	tʂu	31
起	tɕʰie	42
靴	ɕyɪ	55
捉	tʂo	31
竭	tɕiɪ	31
穴	ɕyɪ	31
校	ɕiau	313
物	u	31
緑	lu	31
抓	tʂua	55
商	ʂã	55
椿	tʂʰuə̃	55
椿	tʂuã	55
僻	pʰie	31
帖	tʰe	31
曠	kʰuã	313
少	ʂau	42
恩	ə̃	55
走	tsəu	42
片	pʰiẽ	313
征	tʂə̃	55
匹	pʰie	55
捏	ne	31
樣	iã	313
藕	əu	42
貝	pe	313
拉	la	55
囚	tɕʰiəu	53
先	ɕiẽ	55
先	tɕʰiẽ	55
點	tiẽ	42
普	pʰu	42
條	tʰiau	53
息	ɕie	31
問	və̃	313
寧	lĩ	53
嚴	iẽ	53
雨	ye	42
都	tu	55
深	ʂə̃	55
歐	əu	55
撲	pʰu	31
拜	pæ	313
兵	pĩ	55
春	tʂʰuə̃	55
收	ʂəu	55
偏	pʰiẽ	55
談	tʰã	53
入	ʐu	31
論	luə̃	313
巴	pa	55
會	xue	313
血	ɕyɪ	31
醫	ie	55
防	fã	53
下	xa	313
下	ɕia	313
騾	lo	53
翻	fã	55
團	tʰuã	53
畜	ɕiu	31
袖	ɕiəu	313
包	pau	55
徵	tʂə̃	55
最	tsue	313
通	tʰoŋ	55
賊	tsæ	31
瓦	ua	42
否	fəu	42
傑	tɕiɪ	31
半	pã	313
腐	fu	42
其	tɕʰie	53
約	io	31
九	tɕiəu	42
圖	tʰu	53
馮	foŋ	53
酸	suã	55
微	ve	53
攪	tɕiau	42
攪	kau	42
策	tsʰæ	31
碑	pe	55
撞	tʂuã	313
活	xo	31
圈	tɕʰyẽ	55
麻	ma	53
象	ɕiã	313
袍	pʰau	53
許	ɕye	42
摘	tsæ	31
謝	ɕiɪ	313
略	nio	31
稻	tau	313
的	tie	55
换	xuã	313
可	kʰo	42
頓	tuə̃	313
帝	tie	313
暮	mo	313
寫	ɕiɪ	42
倉	tsʰã	55
寵	tʂʰoŋ	42
形	ɕĩ	53
然	ʐã	53
喝	xo	55
缺	tɕʰyɪ	31
寒	xã	53
沙	ʂa	55
扶	fu	53
方	fã	55
軒	ɕyẽ	55
翠	tsʰue	313
偵	tʂə̃	55
螢	ɕĩ	53
敝	pie	313
沃	o	31
典	tiẽ	42
腦	nau	42
尹	ɕĩ	42
滅	me	31
橋	tɕʰiau	53
服	fu	31
題	tʰie	53
果	ko	42
趣	tɕʰye	313
逼	pie	31
促	tsʰu	31
累	lue	42
讓	ʐã	313
幾	tɕie	42
舅	tɕiəu	313
個	ko	313
娶	tɕye	313
傾	tɕʰĩ	42
丑	tʂʰəu	42
桓	uã	53
泊	pʰæ	31
鄙	pʰie	53
夷	ie	53
辣	la	31
爵	tɕio	31
永	ioŋ	42
肺	fe	313
蛙	ua	55
林	lĩ	53
悠	iəu	55
放	fã	313
望	vã	313
側	tsʰæ	31
澤	tsʰæ	31
靈	lĩ	53
封	foŋ	55
嫩	nuə̃	313
滑	xua	31
澈	tʂʰæ	31
類	lue	313
栗	lie	31
怪	kuæ	313
戀	liẽ	313
丸	uã	53
融	ioŋ	53
允	yĩ	42
曉	ɕiau	42
成	tʂʰə̃	53
列	le	31
菜	tsʰæ	313
序	ɕye	313
桶	tʰoŋ	42
近	tɕĩ	313
娃	ua	53
流	liəu	53
雀	tɕʰio	31
疫	ie	31
鉗	tɕʰiẽ	53
昏	xuə̃	55
端	tuã	55
劣	le	31
遂	sue	313
主	tʂu	42
饒	ʐau	53
茸	ʐoŋ	53
雜	tsa	31
蟲	tʂʰoŋ	53
紅	xoŋ	53
府	fu	42
恰	tɕʰia	31
贖	ʂu	31
郁	iu	31
刮	kua	31
比	pie	42
伯	pæ	31
黨	tã	42
吞	tʰuə̃	55
剪	tɕiẽ	42
育	iu	31
熱	ʐæ	31
艾	æ	313
休	ɕiəu	55
洗	ɕie	42
杜	tu	313
判	pʰã	313
盤	pʰã	53
第	tie	313
霞	ɕia	53
唐	tʰã	53
年	niẽ	53
鑷	ne	31
柱	tʂu	313
革	kæ	31
樹	ʂu	313
割	ko	31
鰥	kuã	55
陸	lu	31
蠶	tsʰã	53
臻	tsə̃	55
乞	tɕʰie	31
忽	xu	31
温	uə̃	55
臣	tʂʰə̃	53
能	nə̃	53
代	tæ	313
則	tsæ	31
霍	xo	31
瓶	pʰĩ	53
今	tɕĩ	55
涉	ʂæ	31
大	ta	313
本	pə̃	42
桂	kue	313
速	su	31
除	tʂʰu	53
剩	ʂə̃	313
瘸	tɕʰyɪ	53
晚	vã	42
在	tsæ	313
胡	xu	53
嫌	ɕiẽ	53
打	ta	42
千	tɕʰiẽ	55
秃	tʰu	31
不	pu	31
板	pã	42
因	ɕĩ	55
忍	ʐə̃	42
洞	toŋ	313
緝	tɕie	31
法	fa	53
貳	e	313
劄	tʂa	31
挪	no	313
延	iẽ	53
縛	po	53
錢	tɕʰiẽ	53
買	mæ	42
繞	ʐau	42
囂	ɕiau	55
卜	pʰu	31
踢	tʰie	31
貶	piẽ	42
勳	ɕyĩ	55
節	tɕiɪ	31
神	ʂə̃	53
歎	tʰã	313
心	ɕĩ	55
岳	io	31
畏	ue	313
根	kə̃	55
内	nue	313
松	soŋ	55
愚	ye	53
隆	loŋ	53
檢	tɕiẽ	42
没	mu	31
奥	au	313
忌	tɕie	313
蛇	ʂæ	53
寬	kʰuã	55
鞠	tɕiu	31
壞	xuæ	313
酷	ku	31
緩	xuã	42
葵	kʰue	53
干	kã	55
盛	ʂə̃	313
曝	pau	313
窗	tʂʰuã	55
功	koŋ	55
餐	tsʰã	55
越	yɪ	31
處	tʂʰu	313
乃	næ	42
還	xuã	53
還	xæ	53
敏	mĩ	42
哪	na	42
眼	iẽ	42
以	ie	42
注	tʂu	313
族	tsʰu	31
雙	ʂuã	55
藍	lã	53
沉	tʂʰə̃	53
徐	ɕye	53
口	kʰəu	42
藝	ie	313
戲	ɕie	313
維	ve	53
見	tɕiẽ	313
璽	ɕie	42
了	liau	42
襪	va	31
亦	ie	31
橘	tɕiu	31
驕	tɕiau	55
猶	iəu	53
狐	xu	53
面	miẽ	313
糙	tsʰau	313
閏	ʐuə̃	313
徽	xue	55
够	kəu	313
沾	tʂã	55
調	tiau	313
調	tʰiau	53
遵	tsuə̃	55
逆	nie	31
挾	tɕia	31
辱	ʐu	31
絶	tɕyɪ	31
渴	kʰo	31
漸	tɕiẽ	313
葉	iɪ	31
罪	tsue	313
澀	sæ	31
掃	sau	42
役	ie	31
責	tsæ	31
暴	pau	313
身	ʂə̃	55
兑	tue	313
肴	ɕiau	53
東	toŋ	55
講	tɕiã	42
椅	ie	42
歷	lie	31
居	tɕye	55
務	u	313
燎	liau	53
縣	ɕiẽ	313
邦	pã	55
耕	kə̃	55
炒	tʂʰau	42
範	fã	313
品	pʰĩ	42
隨	sue	53
拈	niẽ	55
助	tsu	313
鬥	təu	42
瓊	tɕʰyĩ	53
况	kʰuã	313
命	mĩ	313
業	ne	31
卒	tsu	31
疑	nie	53
聚	tɕye	313
静	tɕĩ	313
關	kuã	55
盗	tau	313
言	iẽ	53
徙	ɕie	42
囊	lã	53
客	kʰæ	31
印	ɕĩ	313
戊	u	313
廢	fe	313
敲	kʰau	55
敲	tɕʰiau	55
丕	pʰe	42
女	nye	42
佩	pʰe	313
秋	tɕʰiəu	55
與	ye	42
嵩	soŋ	55
希	ɕie	55
派	pʰæ	313
辨	piẽ	313
瘦	səu	313
各	ko	31
淵	yẽ	55
閲	yɪ	31
或	xuæ	31
脅	ɕyɪ	31
很	xə̃	42
五	u	42
怕	pʰa	313
病	pĩ	313
攏	loŋ	42
再	tsæ	313
鄧	tə̃	313
威	ue	55
旺	uã	313
政	tʂə̃	313
狀	tʂuã	313
瞎	ɕia	31
赫	xæ	31
兮	ɕie	55
概	kʰæ	313
貞	tʂə̃	55
莫	mo	31
拍	pʰæ	31
閉	pie	313
户	xu	313
殼	kʰo	31
舉	tɕye	42
武	u	42
供	koŋ	55
蓋	kæ	313
手	ʂəu	42
癬	ɕyẽ	42
月	yɪ	31
惡	o	31
改	kæ	42
讀	tu	31
誰	ʂue	53
塊	kʰuæ	42
急	tɕie	31
諸	tʂu	55
蕭	ɕiau	55
答	ta	31
倍	pe	313
粹	tsʰue	313
替	tʰie	313
均	tɕyĩ	55
西	ɕie	55
站	tʂã	313
他	tʰa	55
他	tʰe	55
圓	yẽ	53
奇	tɕʰie	53
鹿	lu	31
災	tsæ	55
難	nã	53
特	tʰæ	31
集	tɕie	31
鐘	tʂoŋ	55
