字	音	注释
水	sui33	露~；涨大~；~田；~塘；~□；清~；浊~；大~；发大~；□~；泉~；热~；温~；滚~；雨~；淋~；排~；担~；~桶；~车；~柳；~果；~瓮；洗面~；~架；泥~匠；口~；溅口~；流口~；~蛇腰；~鞋；胭脂~粉；~粉；口~□；鸡下~；开~；投~；过~；墨~；游~
雾	u53	~
鹅	ŋo24	~毛雪
毛	mo24	鹅~雪
天	tin35	~色；三伏~；~旱；春~；夏~；秋~；冬~；响~光；谈~；~上
色	se53	天~
夹	ka24	雨~雪
阴	iɛn35	~
雾	u24	下~
凉	liaŋ24	~；发~
晴	tsʰən24	
三	san35	~伏天；~十夜
伏	fo24	
热	niɛ53	~
旱	xuan53	天~
分	fən35	
垄	lioŋ33	
涨	tsaŋ33	
米	mei24	~雪
融	iuŋ24	
平	pʰən24	~地
地	tei53	平~；荒~
望	uaŋ53	~天田
天	tin24	望~田
田	tin24	
园	iuan24	
肚	tu33	园~；脚~子；小~；牛~；~里；手~；心~；野岭~头
荒	fəŋ35	
沙	sa35	
子	tsʰei33	沙~□
□	pʰei35	sa35tsʰei33~：沙土地
山	san35	~；~脚；~坡；~沟；~羊；~门前
山	san53	~腰；~头
腰	io35	山~
脚	tɕiɛ33	山~
岭	ləŋ33	~谷；~涧
谷	tsʰu33	岭~
涧	ʨiɛn53	
坡	po35	
头	tʰo24	山~
山	san33	~窿
窿	loŋ24	山~
江	kaŋ33	~（肚）
肚	tu53	江（~）；~里；城~；巷巷~
小	ni31	~□；~大暑；~ 大雪；~ 大寒；月~；~白菜；~满；~婶
□	tsen53	ni31~：小水沟；~ia53：毛虫
潭	tʰan24	
塘	tʰuan24	
□	ɕiaŋ35	sui33~：水坑；fən53~：粪坑；~tsei33：檩
海	xei33	
江	kaŋ35	~边
边	kʰən35	江~
港	kəŋ53	
湾	nuan33	
□	pei35	~：堤；tŋ33~：柿子；~：臭虫
滩	tʰan35	
洲	tso35	
清	tsʰən53	~水
浊	tsʰuo24	
发	fa35	~大水；头~；~羊癫；~气
□	kən53	~sui33：凉水
泉	tɕuan24	
热	ni31	~水
温	uən31	
滚	kun24	~水
石	sɛ24	~头
头	tou35	石~；蒜~；丫~；~晕；~痛；裤~；笠~；蒸馒~；梳~；摇~；点~；抬~；翻转~；野岭肚~；车后~；后~
石	sə24	~板
板	pan33	石~；楼~；砧~；案~；搓衣~；老~；老~娘；手~心；脚~；脚~心；脚~尾；背~；~板鞋；板~鞋；~油；~、□屁股；刮~；跳~；黑~；三个~
毛	mao24	~卵牯
卵	luan33	
牯	ku35	毛卵~
土	tu33	
火	fo31	~砖
砖	tsuan35	
泥	nei35	~砖
瓦	ŋua33	
碎	sui53	
粉	fʰən33	~尘
尘	tsʰən24	
泥	nei24	~；~磨
洋	iaŋ31	~灰；出~相
灰	fei35	洋~
金	kiɛ35	~子
银	nian24	
玉	y53	~
炭	tan31	
里	lei33	肚~；~
城	tsʰəŋ24	~市；~墙；~门口；~门
市	sɿ53	城~
墙	tɕiaŋ24	城~
壕	xu24	
沟	kou35	壕~
城	tsʰəŋ35	~肚
门	men24	城~口；城~
口	xou33	城门~；溅~水；流~水；心~；胸前~；心~痛；~水□；没得~味；漱~；渡~；门~；大门~；窗子门~；车门~；行去门~；向门~
巷	xəŋ53	
乡	ɕiaŋ35	~寨
寨	tsai53	
沟	ko35	山~
窝	o35	~头
头	tʰəu35	窝~
赶	kuan33	
圩	ɕu35	
街	kai35	
上	saŋ53	街~；~午；~半夜；~枷；~任；~桌子；天~；山~；路~；墙~；门~；□□~；椅子~；边边~；马~
路	lu53	~；做活~
春	tsʰuan35	
夏	xa31	~天
秋	tɕʰiu35	~天
冬	toŋ35	~天；~瓜
立	lə31	~春；~夏；~秋；~冬
惊	kən53	
蛰	tsɛ53	
清	tsʰən35	~明；~早
明	miŋ24	清~
谷	ku33	~雨
夏	xa53	立~；~至；~收
小	ɕiao33	~满；~生
满	mən33	小~；~月；~分
芒	məŋ35	
种	tsoŋ53	芒~；~坨
至	tsi31	夏~
暑	ɕy33	小大~；处~
秋	ʨʰiao35	立~；~分
处	ʨʰy53	
寒	xuan33	~露
露	lu33	寒~
冬	tʰoŋ35	立~；~至
至	ʨɛ31	冬~
寒	xuan35	小 大~
十	sei24	三~夜
夜	iɛ53	三十~
年	nian24	大~初一；拜~
初	tsʰu35	
一	iɛ35	大年初~
拜	pai53	~年
正	tsəŋ33	~月十五
月	ny33	正~十五
十	sə4	正月~五；八月~五
五	ŋ33	正月十~；八月十~
八	pai4	~月十五
月	ny53	八~十五；~大；~小
端	tuəŋ35	
午	ŋu33	
九	kiu33	~月九；九月~
月	iuɛ33	九~九
半	puan53	~日
日	niɛ53	半~；每~夜后；~子；□□~
响	ɕiaŋ33	~天光
早	tui33	清~
□	iou33	~ia31：黄昏
夜	ia31	□~；~后；半~；整~；每日~后；开~车
后	xou53	夜~；每日夜~；车~头；~头；以~
半	pan53	~夜
半	pan33	上~夜；下~夜
夜	ia33	上半~；下半~；~夜老；夜~老
整	tsəŋ33	
每	mei33	
年	ŋin35	~份
份	fən53	
哪	na33	
个	ko53	哪~时候；整~
时	sɛ24	哪个~候
候	xo53	
先	ɕian53	~先；先~
后	xo33	~来；~门
来	lei24	后~
□	kə33	~tsʰən33niɛ53：现在；uo35~：椽子；~：眼角儿；~pəi33：罗锅儿；pai33~：下摆；~nəŋ33：这么
□	tsʰən33	kə33~niɛ53：现在；~nan33lui35：流眼泪
耕	kəŋ35	
收	sou35	夏~；~割
割	ko35	收~
下	xa31	~种；以~
种	tsoŋ33	下~
插	tsʰa35	~田
□	uen35	~tin24：蓐草
禾	uo24	~□；割~；打~；□~；~；早~；早~米；晚~米
□	ɕiŋ35	uo24~：稻穗
割	kuo33	~禾
打	pʰe33	~禾
除	tsʰu31	~草
草	tsʰu31	除~
放	faŋ53	~肥料；~鞭炮；~心
肥	fei24	放~料；积~
料	liao53	放肥~
粪	fən53	
积	tɕi35	~肥
捡	tɕian33	~粪
淋	len24	~水
□	sou53	~sui33：灌水
排	pʰai24	
担	tan53	~水
□	tsən35	sui33~：水井
桶	tʰoŋ33	水~
车	ʨʰiɛ35	水~；大~；风~；衣裳~；~门口
大	tai53	~车；~头菜；~□；~鹰；~鏛；~蒲□；满姑老~嫂
牛	niu24	~轭
轭	ei33	
牛	niu33	~嘴□；~牯；~娘；~□；水~；~屎狗；~蚊子；~栏
嘴	tsui33	牛~□；顶~
□	po35	niu33tsui33~：牛笼嘴
犁	lei24	
耙	pʰa24	~
风	fəŋ33	~车
碾	nian33	
磨	mo53	泥~
石	se33	~磨
磨	mo33	石~；~盘；□~手；~心
盘	pʰən35	磨~
□	xan33	~mo33sou33：磨把儿
手	sou33	□磨~；解~纸；~艺人；~膀；~弯；~曲；左~；右~；~节；~指缝；~指公；~掌；~板心；~背面；拐~；~镯；~绢；~套；~表；看~相；洗~；~铐；□~；拍~；~肚
心	sən35	磨~；花~；灯~；手板~；~；背~；挂~；放~；偏~
米	mei53	~筛
筛	sai35	
糠	xan53	
四	sə4	
齿	ʨʰi33	四~耙；牙~
耙	pʰa35	四齿~
洋	iŋ31	~镐；~葱
镐	kao33	
铡	tsʰa53	
刀	tu35	
镰	lin35	
柴	kou53	
锹	ʨʰiu35	
簸	pʰo31	
箕	ʨi35	
□	sao53	~ʨi35：撮箕；~tyŋ33：泔水缸；~sui33：泔水
垃	le53	
色	sə33	垃~
蓝	lan35	
担	tan24	~担；担~
粮	liaŋ33	
食	sɛ24	粮~
五	ŋ31	~谷
谷	ko33	五~；秕~
大	tai35	~麦
麦	mei33	大~；三角~
三	san33	~角麦；~个板
角	ko33	三~麦
玉	iou53	~米
米	mei33	玉~；~；早禾~；晚禾~；粗~；白~；落生~；~粉菌；~□
□	mən35	~uo24：高粱
早	tsʰu33	~禾；~禾米
晚	tei35	~禾
禾	uo35	晚~
稗	tsʰu33	
秕	pʰi33	
糯	no53	~
晚	tei33	~禾米
粗	tsʰu33	
白	pʰei33	~米；~果
棉	min31	
花	fa35	棉~；棉~包；朝阳~；朝阳~子；菜~；莲~；喇叭~；清明~；鱼~；绣~；涂~
包	pao35	棉花~；钱~
麻	ma31	~茎
茎	ʨiaŋ33	麻~
苎	tsən35	
麻	ma24	苎~；油~；~子
油	iou35	~麻；桐~；灯~；~饼
朝	tsʰao35	
阳	iaŋ33	
马	ma33	~铃薯；~栏；~褂；~；跑□~；~上
铃	liŋ24	
薯	ɕy33	马铃~；木~粉
芋	y53	
头	tou24	芋~；窝檐~；~；光~；热~门；粑粑~；眼窝~；小骨~；脚趾~；~圈；骨~；后~
莲	liŋ35	~藕；~子
藕	ŋo33	
黄	uoŋ24	~豆
豆	tou33	黄~；绿~；黑~；小红~；豇~；面~；红~树；~腐；~腐皮；~腐干；油~腐；~腐脑；~浆；~腐□；绿~粉；~豉
绿	liŋ33	~豆
黑	xə33	~豆；~眼□；~板擦；~子；~
红	xoŋ24	小~豆
豇	kaŋ53	
面	min33	~豆；~；洗~水；脚背~；麻子~
茄	tɕiɛ24	
黄	uoŋ33	~瓜
瓜	kua35	
八	pa33	~棱瓜；~个
棱	ləŋ53	
老	lu33	夜夜~；~萝卜；~虎；~虎娘；~鼠；~鸦；~鬼；~同；~女；~板娘；~师；□公~；~弟；~弟嫂；堂~弟；~太；~旦；~姐家
金	ʨin53	~瓜；押~
葫	fu33	
芦	lu35	葫~瓜
瓠	pʰiu24	
葱	tsʰoŋ35	
叶	iɛ35	葱~；树~；桑~；竹~；莲~；~
白	pʰei53	葱~
蒜	suan53	
薹	tei35	
叶	i35	蒜~；烟~；茶~
韭	kiu33	
菜	tsʰai53	韭~；苋~；木薯~；~椒；芥~；菠~；白~；大头~；小白~；生~；芹~；~花；~刀；夹~
苋	xan53	
木	mə33	~薯菜；~薯粉
薯	ɕy35	木~菜
姜	ʨiaŋ35	
椒	ʨiu35	菜~；辣~；干辣~；胡~
辣	lə33	~椒；干~椒
干	kuan35	~辣椒；豆腐~；晾~衣裳
芥	kai33	
胡	fu33	~椒；长~须；刮~须
菠	po33	
白	pei53	~菜；小~菜
头	to33	大~菜；大~鱼；枕~套
茭	kao53	
白	po35	茭~笋
笋	sən33	
生	saŋ35	~菜；先~学生
芹	tɕʰiɛn35	
萝	lo31	
卜	pʰə35	
黄	xoŋ33	~萝卜；篾~
树	ɕy53	~林；~苗；~根；~枝；种~；砍~；松~；杉~；蚕~；桐□~；□□~；红豆~
林	len35	
苗	miu24	
根	ken35	树~
树	ɕ53	~叶
枝	tsə35	
种	tsoŋ35	~树
砍	kan33	~树
松	soŋ33	
果	kuo33	松~；干~；白~
香	ɕiaŋ35	松~；~炉□；~
杉	sa53	
蚕	tsʰan33	~树；~屎
桑	tsʰan33	
柳	liao33	
桐	toŋ31	~□树；~子；~油
□	lao33	toŋ31~ɕy53：桐油树
子	ʦei33	桐~
□	fu33	~liŋ33ɕy53：苦棟树；~lei33：李子
□	liŋ33	fu33~ɕy53：苦棟树
红	xoŋ33	~豆树
竹	tiɛ24	~
甜	tin35	~子笋；~
壳	xə33	
竹	tiɛ33	~竿；~叶；~床
竿	kuan53	竹~；钓鱼~
篾	mi33	
片	pʰiŋ53	篾~
青	tsʰən35	篾~
果	ko33	水~
干	kuan31	~果
桃	tu33	
李	lei33	
枣	tsu33	
梨	lei33	
枇	pʰei35	
杷	pʰa35	
冬	tŋ33	~□
□	sən31	~fa35：柿饼
□	fa35	sən31~：柿饼
石	sə35	~榴；火~
榴	liu35	
柚	iou31	
□	pə4	iou31~：柚子；~tsi33tsa33：蝉
柑	kuan33	
寿	sao35	~星橘
星	ɕiŋ35	寿~橘
橘	kuan35	
厚	xo53	~皮柑
皮	pʰɛ33	厚~柑
木	mə31	~瓜；~耳；白~耳
龙	loŋ31	~眼
眼	iɛn35	龙~
□	tʰei31	~lə33：栗子
□	lə33	tʰei31~：栗子
小	mei33	~□
□	ʨy35	mei33~：小栗子；pʰə24~：鼻子尖儿
甜	tian31	~瓜
甘	kuan31	
蔗	ʨiɛ33	
落	lo31	~生；~生米；~生衣
生	saŋ24	落~；落~米；落~衣
衣	i35	落生~；~裳车；洗~粉；搓~板；~裳棒；~裳；棉~；皮~；短~；衬~；汗~；片~；蓑~；水~；□~裳；脱~裳；洗~裳；过~裳；晒~裳；晾干~裳；青~
□	kai33	~tsi33fa53：凤仙花
□	tsi33	kai33~fa53：凤仙花
花	fa53	□□~；~苞；~片；~心；~轿
莲	liŋ33	~花；~叶；~蓬
蓬	pʰəŋ35	
喇	la33	
叭	pa31	
清	ʦʰəŋ33	~明花
明	miŋ33	清~花
仙	cin33	
人	nian31	仙~掌
掌	tsaŋ33	仙人~；手~
苞	pao35	
片	pin33	花~
芦	lu31	~条
条	tiu35	芦~；路~
香	ɕiaŋ53	~菌；~柜
菌	kʰun31	香~；米粉~
粉	fən33	米~菌；药~；米~；绿豆~；木薯~；凉~；藕~；芡~；胡椒~；~笔
耳	ni54	木~
青	ʦʰən35	~苔
苔	tei33	
马	ma31	~牯；~娘
牯	ku33	马~；牛~；骡~；狗~；猪~；猫~
娘	niaŋ35	马~；牛~；骡~；狗~；猪~；猫~；鸡~；鸭~；奶~；~；~娘；娘~；姨~
□	tsʰei31	niu33~：母牛；miao33~：母猫；kei35~：母鸡
水	sui35	~牛；~衣
□	ni35	niu33~：牛犊；iaŋ35~：羊羔；ko33~：小狗；tui35~：猪崽；kei35~：小鸡儿；a35~：小鸭子；ŋu35~：小鹅儿；nuan53~：男孩儿；nuəi33~：女孩儿；pai4ka35~：败家子；~：儿子；tai33~：大儿子；man53~：小儿子；sou33iaŋ35~：养子；sən35~：孙子；tsʰə35~：侄子；təi53ioŋ33~：带犊儿；məŋ31~：傻子
骡	lo35	
子	tsei35	骡~；叫花~；粽~
骆	lo31	
驼	to31	
羊	iaŋ31	山~
羊	iaŋ35	~□；~栏
狗	ko33	~；~牯；~娘；~□；哈巴~；野~；牛屎~；~鼻子
哈	xa33	
巴	pa31	哈~狗
猫	miao33	
猪	tui35	~牯；~娘；~□；阉~；杀~佬；~舌子；~肺；~肠；~肋骨；~腰子；~血；杀~
阉	in31	
兔	tʰu53	
鸡	kei35	~；~公；~娘；~□；□孵~；~蛋；~冠；~爪；野~；□~；~眼睛；起~痱子；斗~眼
□	lai31	~pʰu31kei35：抱窝鸡
孵	pʰu31	
蛋	tan31	鸡~；生~；孵~；鸭~
生	səŋ31	~蛋
冠	kuan35	
爪	tsan33	
鸭	a35	~；~公；~娘；~□；~蛋
鹅	ŋu35	~；~□
野	ia33	~东西；~狗；~鸡；~崽；~岭肚头
东	uən35	野~西
西	tɕʰin33	野东~
狮	sei31	~子
虎	fu33	
娘	niaŋ24	老虎~；老板~
猴	xo24	
熊	ɕioŋ35	
豹	pau53	
黄	xuaŋ31	~鼠狼
鼠	ɕy35	黄~狼
狼	laŋ31	
鼠	ɕy33	老~；飞~
蛇	ɕiɛ33	~；鱼~；□□~
鱼	y35	~蛇
□	tuei31	~liaŋ35ɕiɛ33：蜥蜴
□	liaŋ35	tuei31~ɕiɛ33：蜥蜴
鸟	tiu35	~
鸦	ᴀ53	
丫	ᴀ33	~鹊
鹊	ʨʰye53	
谷	kuo31	~子
子	tsə35	谷~
燕	in33	
□	ŋən53	tai53~：雁
老	liao35	~□
□	ko33	liao35~：八哥儿
鸬	ʨiɛ53	
鹚	ku33	
鸽	ko33	
白	pʰei31	~鸽
□	tyə33	~kei35：鹌鹑
鹰	ŋən31	大~
鱼	lu31	~鹰
鹰	ʨiɛ35	鱼~
白	pʰei54	~鹭
鹭	lu33	
飞	fei33	~鼠
翅	ʨɛ33	
嘴	tsui53	~
鸟	tiɛ53	~窝
窝	uo35	鸟~；黄蜂~；起~；茅~；~脊；~檐头；~□；后颈~窝；后颈窝~；酒~；眼~头
蚕	tsʰan35	~
落	lo33	~生米
生	saŋ31	落~米
屎	si33	蚕~
蚊	mən33	~子□
□	niao53	mən33tsei33~：蜘蛛
蚂	ma33	~蚁
蚁	i31	
狗	ko53	土~；~栏
小	ᴀ33	~鸭食
鸭	ni35	小~食
食	ɕiɛ35	小鸭~
鼻	pʰə54	~涕虫
涕	ti33	鼻~虫
虫	toŋ35	鼻涕~
屎	si31	牛~狗；~蚊子
蜈	u41	
蚣	koŋ35	
壁	pi33	
□	ia53	tsen53~：毛虫
□	tsʰuei35	mei33~：肉虫
小	a35	~鸭食
蚊	mən31	屎~子；~子；牛~子
虱	sə4	
□	tsʰu33	~kei35：蟋蟀
虫	tʰoŋ35	~
□	su31	~ka33：蟑螂
□	ka33	su31~：蟑螂；fə33~：火钳、火筷子；~təi35：另外
大	tʰai31	~虫□
虫	tʰoŋ31	大~□
□	kuaŋ33	tʰai31tʰoŋ31~：螳螂
吱	tsi33	
喳	tsa33	
蜂	fəŋ35	
糖	tʰuan35	蜂~
黄	uaŋ31	~蜂；~蜂窝
针	tsen35	~人
人	nian35	针~；男~；女~；老大~；城市~；中间~；犯~；下~；女下~；生小~；证~；说~
蜜	mə35	
糖	tuan35	蜜~；黄~；白~；冰~；纸包~；落生~；麦芽~
野	ia31	~飞虫
飞	fə33	野~虫
虫	tinŋ31	野飞~
扑	pʰə35	
灯	tʰəŋ35	扑~虫
虫	tioŋ31	扑灯~
蝴	fu31	
蝶	ti35	
蜻	tsʰoŋ31	
蜓	tsʰaŋ31	
鲤	lei33	
鱼	ny33	鲤~；鲢~；鲫~；大头~；草~；金~；~花；钓~；钓~竿；钓~钩
鲢	lian33	
鲫	tsə33	
草	tsʰu33	~鱼；灯~；~帽
□	tsuan53	~koŋ35：鲶鱼
□	koŋ35	tsuan53~：鲶鱼
金	kiən35	~鱼
泥	nei33	~鳅；~鳝
鳅	tɕʰu35	
鳝	san35	
鳖	pi35	
鱼	ny24	~鳞；~刺；~鳍；~鳃；~蛋
鳞	lən24	
刺	tsʰei53	
鳍	ʨʰi33	
鳃	sau35	
蛋	tʰan31	鱼~；虾~
钓	tiu53	
钩	ko35	钓鱼~
渔	ny33	~网
网	məŋ33	
虾	xa35	
龟	kui35	
□	ma31	~lo33：蝌蚪
□	lo33	ma31~：蝌蚪
蟾	san35	
蜍	ɕy35	
婆	pʰo35	蟾蜍~；外~
蚂	ma53	~蝗
蝗	xuaŋ35	
螺	lo24	
蛳	sei35	
蚌	tai33	
对	tui31	~着
着	ʨiɛ35	对~
起	xi33	~窝
窝	uo33	~；一堂~；堂~；~后
围	uei35	~墙；~布
墙	ʨʰiaŋ24	围~
一	iɛ33	~堂窝；~分钱；~□□；~块钱；~百块钱；~张票；~个粒；~定
堂	tuan35	一~窝；灵~；佛~；坐~；退~；过~
前	men33	~面房
面	ʨin35	前~房
房	faŋ35	前面~
正	tsəŋ53	~房
房	tuan35	正~
房	fəŋ35	~；楼~；洋~；新~；跳~
堂	tuan33	~窝
矮	ai33	
房	uo33	矮~
楼	lo24	~房；~上；~底；门~；~梯；晒~；~板
洋	iaŋ33	~房；~皂；光~
上	saŋ35	楼~；~诉；以~；马~
底	tei33	楼~
门	mən33	~楼；回~；向~口
梯	tei35	
晒	sei53	~楼
茅	mo35	~窝
脊	ʨiɛ33	
窝	uo53	~顶
顶	təŋ33	窝~；~针
檐	ian24	窝~头
梁	liaŋ24	~
□	tsei33	ɕiaŋ35~：檩
柱	tʰui33	
□	sə35	~pən35：柱下石；pə33xoŋ33~：齉鼻儿
□	pən35	sə35~：柱下石
蹬	təŋ33	
天	tin33	~棚
棚	pan33	
门	mən24	大~；后~；~缝；~槛；~背；热头~；囟~；~牙；大~口；车~口；~前
缝	fən53	门~
槛	xan33	
背	pei35	门~
栓	suan35	
锁	so33	~；~□
□	ɕi35	so33~：钥匙；ʦi35~：温书
窗	tsʰaŋ53	~子；~台
台	tei35	窗~
□	luan35	~i35to35：走廊
□	i35	luan35~to35：走廊；tsʰaŋ53~mə31：锅烟子
□	to35	luan35i35~：走廊
行	xəŋ31	~□
□	tsei35	xəŋ31~：过道
厨	tsy53	
房	fman35	厨~
□	xo33	~li33：厨房
里	li33	□~
栏	lan35	
猪	tʰui35	~栏；~□
□	tsʰu35	tʰui35~：猪食槽
灶	tsu53	~
茅	mao53	~厕
厕	tsiɛ35	
鸡	kei53	~笼；~罩；~毛刷
笼	loŋ35	鸡~
罩	tsao53	
草	tsau53	~□
□	tyu35	tsau53~：柴草垛
柜	kui33	~
□	tʰyŋ33	~pʰən35：桌子
□	pʰən35	tʰyŋ33~：桌子；tsə35~：茶托
圆	iuan24	~桌
桌	pʰən35	圆~
台	tei33	~布
布	pu53	台~；围~；抹~；鐾刀~；药膏~；~鞋；裹脚~；围身~；尿~
屉	tʰi54	
箱	ɕiaŋ35	
椅	iɛ33	~子；睡~
背	kao35	~靠
靠	pei53	背~
睡	sui31	~椅
□	tʰiaŋ33	~təŋ53：板凳
凳	təŋ53	
方	pʰan33	~凳
圆	luan33	~凳
高	ku33	~凳；~脚板
床	tsʰuan35	~；~底下
床	tsʰuan33	~板
板	pan54	床~
棕	tsyŋ35	
绷	tin35	
床	tsʰyaŋ35	竹~
帐	tsaŋ53	
钩	kou35	帐~；秤~
檐	iɛn35	帐~
毯	tan33	
被	pʰei33	~
厚	ho33	~棉被
被	pʰei35	厚棉~
床	tsʰaŋ53	~单
单	tan35	床~；开药~
垫	tin31	
被	pei33	垫~
□	tʰiɛ33	~：草席
枕	tsən33	
头	tʰəu33	枕~
套	tu33	枕头~
梳	ʂu33	~妆台
妆	tsuaŋ33	
台	tʰei35	梳妆~
镜	kən53	~
衣	i33	~架；长~；~襟
架	ka33	衣~；摆~子
竹	tiu31	~竿
尿	niu33	~桶；~布；拉~
桶	tyŋ33	尿~；水~；□~
尿	ny35	~桶
火	fə33	~炉；~盆；~□；消~
炉	lu35	火~；风~
盆	pʰən35	火~；面~
汤	tsʰuan35	~壶
壶	fu35	
暖	nan35	
水	sui53	暖~壶；摊~蛋；~烟筒
□	kuan35	fəŋ35~：通条
灰	fə35	~铲
铲	tsʰan33	灰~
管	kuan33	
茎	tɕjaŋ33	扫管~
豆	tu33	~秸
秸	kao53	
末	mə33	
刨	po33	~子
子	tsəi35	刨~；骗~；拐~
鏛	tsʰaŋ53	~□□
□	mə31	tsʰaŋ53i35~：锅烟子
烟	in53	~筒
筒	tyŋ35	烟~
鏛	tsʰaŋ35	~；大~；小~；~盖；~铲
盖	kəi53	
铲	tɕʰin33	鏛~
水	tsʰa35	~壶
碗	uən35	~；大~
茶	tsʰə53	~杯
杯	pəi35	茶~；酒~
碟	ti4	
瓢	pʰiu35	
调	pʰiu35	
羹	ʨiaŋ35	
箸	tiu31	~
箸	tiu35	~笼
笼	tyŋ53	箸~
茶	tsə35	~□
酒	tɕiu33	~杯
盘	pən31	~子；算~；秤~
酒	ʨiu33	~壶；~瓮；□~；办~席
瓮	yŋ53	酒~；~
盐	in53	~缸
缸	iaŋ35	
漏	lou33	
筲	tsao33	
瓶	pʰən35	
砧	tən53	
案	an53	~板
水	sui31	~桶
饭	fan53	~□；吃~；舀~
□	tsəŋ35	fan53~：饭桶
瓮	yŋ33	水~
抹	ma53	~布
拖	tuo33	~把
把	pa53	拖~
刨	pao31	~
头	tou31	~斧；膝~骨；梳把把~
斧	fu33	
锯	ʨy53	
凿	tsʰao31	
尺	tsʰɛ4	
墨	mə33	~斗；~斗心
斗	tou33	墨~；墨~心；熨~；翻筋~
心	ɕin53	墨斗~
钉	tən53	~子；~被
钳	ʨʰin4	~卡
卡	ka33	
老	lu35	~虎钳
钳	ʨʰin35	老虎~
钉	tən35	~锤
锤	tsʰui35	钉~
绳	sən35	~
合	xuo33	~叶
叶	iɛ4	合~
泥	nəi4	~刀
蹚	tuan53	
平	tsəi33	蹚~
斗	tou53	~子
□	tʰi53	~təŋ35：砧子
□	təŋ35	tʰi53~：砧子
剃	tʰəi33	~刀
理	li33	
发	fa31	理~
□	fei33	~ʨin35：推子
□	ʨin35	fei33~：推子；iɛ33xu33~：一角钱
□	fu35	tai53~：梳子
鐾	pʰəi31	
剃	tʰəi53	~头椅
头	tou33	剃~椅；剃~匠；□~门；~颈；~发；落~发；□~裤；馒~；~胎；晒日~火；砍~；对~鬼；剃~铺
椅	i33	剃头~；~子上
裳	ʂaŋ53	衣~车
剪	ʨin35	~刀
熨	uən33	
烙	luo4	
铁	tiɛ33	烙~
弓	kʰyŋ35	
织	tsɛ4	
布	pu33	织~机；~店
机	kəi35	
梭	suo35	
东	uən33	~西
西	ʨʰin33	东~
洗	ɕiɛ4	~面水
面	min31	~盆；~；~骨子；~骨；发~；和~；揣~；擀~；洗~；铺~；刮~；花~；翻~；~转过去；当~
架	ka53	水~；闹~；打~
脚	ʨiɛ33	~盆；抹~布；~；~骨；~肚子；拐~；除~裤；裹~布；~镣；高~板
盆	pən35	脚~
皂	kəi35	
洗	ɕi53	~衣粉
粉	fən53	洗衣~；胭脂水~；水~
面	mian4	~布
布	pu31	面~
抹	ma33	~脚布
布	pu35	抹脚~
气	ɕi31	~灯
