IPA	调类	调值	字
tɕʰy	3	42	取曲[文]
tɕʰy	6	21	柱住
səu	3	42	数手
səu	5	24	数瘦
ɕy	6	21	竖树
tɕʰy	1	33	区
Ǿy	6	21	遇芋
Ǿy	3	42	雨
Ǿy	7	45	裕入浴
tʰai	1	33	胎
tʰai	2	13	台
tʰai	6	21	袋
lai	2	13	来
tsʰai	5	24	菜
tsʰai	2	13	财柴
kai	1	33	该街
kai	3	42	改解
kʰai	1	33	开
xai	3	42	海
ŋai	5	24	爱
pei	5	24	贝
tai	5	24	带
kai	5	24	盖戒
xai	6	21	害蟹
pai	5	24	拜
pʰai	2	13	排牌
mai	2	13	埋
pai	3	42	摆
pʰai	5	24	派
mai	3	42	买卖
sai	5	24	晒
xai	2	13	鞋还
ŋai	3	42	矮
pʰai	6	21	败
pʰei	6	21	币背被
tsɿ	5	24	制
sɿ	5	24	世四试式
Ǿi	6	21	艺蚁
mi	3	42	米
ti	1	33	低
tʰi	1	33	梯
tʰi	5	24	剃
tʰi	6	21	弟地
ti	6	21	递
ȵi	2	13	泥
li	2	13	犁梨
ɕi	1	33	西溪希
ɕi	3	42	洗喜
tɕi	1	33	鸡饥
tɕʰi	5	24	契器气
ɕi	6	21	系
pei	1	33	杯碑
pʰei	5	24	配
pʰei	2	13	赔
mei	2	13	煤眉
mei	6	21	妹
tei	5	24	对
lei	2	13	雷
tsei	5	24	罪醉
sei	5	24	碎
fei	1	33	灰飞
fei	2	13	回肥
Ǿuai	6	21	外
fei	6	21	会
kuai	5	24	怪
kʰuai	3	42	块
fai	2	13	怀
fai	6	21	坏
kuai	3	42	拐
kua	5	24	挂
Ǿuai	1	33	歪
fa	6	21	画话划
kʰuai	5	24	快
suei	5	24	岁
Ǿuei	6	21	卫位味胃
fei	5	24	肺费
kuei	5	24	桂贵
pʰi	2	13	皮
tsɿ	3	42	紫纸指子
tsʰɿ	5	24	刺
tsɿ	1	33	知资
tsʰɿ	2	13	池迟祠
Ǿə	2	13	儿
tɕi	5	24	寄记季
tɕʰi	2	13	骑棋
Ǿi	3	42	义
ɕi	5	24	戏
Ǿi	2	13	移姨
pi	3	42	比
pʰi	5	24	屁
pʰi	7	45	鼻劈
sɿ	3	42	死使
sɿ	1	33	师丝市
Ǿə	6	21	二
li	3	42	李
tsʰɿ	6	21	字寺治
sɿ	6	21	柿事
sɿ	2	13	时
Ǿə	3	42	耳
Ǿi	5	24	意
tɕi	3	42	几
Ǿi	1	33	衣
tsei	3	42	嘴
sei	2	13	随
tsʰei	1	33	吹
tsʰei	2	13	垂
kuei	1	33	规龟
kʰuei	1	33	亏
kʰuei	3	42	跪
Ǿuei	2	13	危围
lei	6	21	类
tsei	1	33	追
tsʰuei	2	13	锤
ɕuei	3	42	水
kuei	6	21	柜
Ǿuei	3	42	尾
kuei	3	42	鬼
pau	3	42	宝饱
pʰau	6	21	抱
mau	2	13	毛
mau	6	21	帽
tau	1	33	刀
tʰau	3	42	讨
tʰau	2	13	桃
tʰau	6	21	道
lau	3	42	脑老
tsau	3	42	早找
tsau	5	24	灶罩照
tsʰau	3	42	草
tsʰau	6	21	糙造
sau	3	42	嫂
kau	1	33	高
kʰau	5	24	靠
ŋau	2	13	熬
xau	3	42	好
xau	6	21	号
pau	1	33	包
pʰau	5	24	炮
mau	1	33	猫
lau	6	21	闹
tsa	1	33	抓
tsʰau	1	33	抄
tɕiau	1	33	交焦
kʰau	1	33	敲[白]
ɕiau	5	24	孝笑
ɕiau	6	21	校
piau	3	42	表
pʰiau	5	24	票
miau	6	21	庙
ɕiau	3	42	小
tsʰau	2	13	朝
sau	1	33	烧
zau	3	42	绕
tɕʰiau	2	13	桥
tɕʰiau	6	21	轿
Ǿiau	1	33	腰
Ǿiau	5	24	要
Ǿiau	2	13	摇
ȵiau	3	42	鸟
tiau	5	24	钓
tiau	2	13	条
liau	6	21	料
ɕiau	1	33	箫
tɕiau	5	24	叫
mo	3	42	母
tʰəu	1	33	偷
tsəu	3	42	走
tsʰəu	5	24	凑臭
kəu	1	33	钩
kəu	3	42	狗
kəu	5	24	够
kʰəu	3	42	口
ŋəu	3	42	藕
xəu	6	21	后厚
pʰau	2	13	浮[白]
liəu	2	13	流
tɕiəu	3	42	酒九
ɕiəu	1	33	修休
ɕiəu	6	21	袖
səu	6	21	寿
tɕʰiəu	2	13	球
tɕʰiəu	6	21	舅旧
ȵiəu	2	13	牛
Ǿiəu	1	33	优
Ǿiəu	3	42	有
Ǿiəu	6	21	右
Ǿiəu	2	13	油
tiəu	1	33	丢
Ǿiəu	5	24	幼
tʰan	1	33	贪
tʰan	2	13	潭弹
lan	2	13	南蓝难兰
tsʰan	2	13	蚕缠
kan	3	42	感敢减[白]
xan	2	13	含咸[白]
ŋan	5	24	暗
ta	7	45	搭跌[白]
tʰa	7	45	踏塔
la	1	33	拉
tsʰa	7	45	杂插擦
ko	7	45	鸽各郭角国
xo	7	45	盒活鹤霍或
tan	3	42	胆短
tʰan	3	42	毯
tʰan	6	21	淡断
san	1	33	三衫山酸闩
kan	1	33	甘监肝间[白]
xan	3	42	喊
la	7	45	蜡辣
tsʰan	6	21	赚
tsa	7	45	闸扎
ka	7	45	夹[白]剪[白]
Ǿian	2	13	岩炎盐严颜延言
tɕia	7	45	甲
ŋa	7	45	鸭[白]
ȵian	2	13	黏年莲
tɕian	1	33	尖奸肩间[文]
tɕʰian	1	33	签牵
tsan	5	24	占战
zan	3	42	染
tɕʰian	2	13	钳钱前铅
ȵian	6	21	验念
ɕian	3	42	险显选
Ǿian	5	24	厌
tɕie	7	45	接节截结绝
tse	7	45	折窄摘
Ǿie	7	45	叶业
tɕian	5	24	剑建见
tɕʰian	5	24	欠
tian	3	42	点典
tian	5	24	店
tʰian	1	33	添天
tʰian	2	13	甜田
ɕian	2	13	嫌咸[文]
tʰie	7	45	贴铁
tie	7	45	碟跌[文]
ɕie	7	45	协歇雪血
fan	6	21	犯换
fa	7	45	法滑[又]发罚
pʰin	3	42	品
lin	2	13	林邻零
tɕin	5	24	浸进劲镜
ɕin	1	33	心新星
tɕʰin	2	13	寻[白]琴勤
tsʰən	2	13	沉陈辰唇纯层程城
sən	1	33	参深身孙僧升生声
tsən	1	33	针争贞
zən	6	21	任认
tɕin	1	33	金筋经
Ǿin	1	33	音
li	7	45	立栗律力历
tɕi	7	45	集急及吉极积击
ɕi	7	45	习吸息惜席锡
tsɿ	7	45	汁织
sɿ	7	45	十实失食石
tan	1	33	单端
tʰan	5	24	炭
lan	3	42	懒
lan	6	21	烂
san	3	42	伞
kʰan	5	24	看
ŋan	6	21	岸
xan	5	24	汉
xan	6	21	汗
ŋan	1	33	安
ta	1	33	达
kei	7	45	割
pʰan	6	21	扮办
tsʰan	3	42	铲产
ŋan	3	42	眼[白]
ɕian	6	21	限现县
pa	7	45	八
sa	7	45	杀刷
pan	1	33	班搬
pan	3	42	板
man	6	21	慢
tɕian	1	33	尖奸肩间[文]
xa	7	45	瞎
pian	5	24	变
pʰian	7	45	骗
pʰian	6	21	便
mian	2	13	棉
mian	6	21	面面
lian	2	13	连
tɕʰian	3	42	浅
ɕian	1	33	鲜先
ɕian	5	24	线
san	5	24	扇算
san	6	21	善
tɕʰian	6	21	件健
pʰie	7	45	别
mie	7	45	灭篾
lie	7	45	列
tsʰe	7	45	撤贼侧测拆择策
se	7	45	舌设虱塞色
ze	7	45	热
tɕʰie	7	45	杰切
ȵie	7	45	孽捏
pian	3	42	扁
pʰian	5	24	片
tʰian	6	21	垫
tɕian	1	33	尖奸肩间[文]
Ǿian	1	33	烟
pie	6	21	憋
pan	5	24	半
pʰan	5	24	判
pʰan	2	13	盘
man	3	42	满
luan	3	42	暖
luan	6	21	乱
kuan	1	33	官关
kʰuan	1	33	宽
fan	1	33	欢翻饭
Ǿuan	2	13	完顽
Ǿuan	3	42	碗晚
po	7	45	拨剥
pʰo	7	45	泼薄
mo	7	45	末木目
tʰo	7	45	脱夺托
kʰo	7	45	阔壳
Ǿua	1	33	挖
kuan	5	24	惯
xuan	2	13	还
Ǿuan	1	33	弯
kua	7	45	刮
tɕʰyan	2	13	全传船权
tɕyan	3	42	转卷
tɕʰyan	6	21	传
tɕyan	1	33	砖
Ǿyan	3	42	软远
tɕʰyan	1	33	圈
Ǿyan	2	13	圆原园
Ǿyan	6	21	院
fan	3	42	反
Ǿuan	6	21	万
tɕʰyan	5	24	劝
Ǿyan	1	33	冤
Ǿua	7	45	袜滑
Ǿye	7	45	月越
tɕye	7	45	决
tɕʰye	7	45	缺
tʰən	1	33	吞
kən	1	33	根更耕
xən	6	21	恨
ŋən	1	33	恩
pʰin	2	13	贫平瓶
min	2	13	民明名
tɕʰin	1	33	亲清轻青
tsən	5	24	镇震证正
sən	2	13	神绳
zən	2	13	人
tɕin	3	42	紧井
Ǿin	2	13	银蝇迎赢营
Ǿin	5	24	印
Ǿin	3	42	引隐影
pi	7	45	笔逼壁
pʰi	1	33	匹
mi	7	45	密
tɕʰi	7	45	七
tsʰɿ	7	45	侄直尺吃[文]
zɿ	7	45	日
Ǿi	7	45	一益
tɕʰin	6	21	近静
pən	3	42	本
pən	2	13	盆
mən	2	13	门
tən	1	33	墩蹲灯
lən	6	21	嫩
tsʰən	1	33	村
tsʰən	5	24	寸秤
kuən	3	42	滚
kʰuən	5	24	困
fən	1	33	婚分
fən	2	13	魂坟
Ǿuən	1	33	温
tsəu	7	45	卒竹粥足烛
ku	7	45	骨谷
lən	2	13	轮能
tsyn	5	24	俊
sən	3	42	笋省
tɕyn	3	42	准
tɕʰyn	1	33	春
ɕyn	6	21	顺
Ǿyn	6	21	闰运
tɕyn	1	33	均军
Ǿyn	2	13	匀云
tɕʰy	7	45	出
tɕy	7	45	橘菊局
fən	3	42	粉
fən	5	24	粪
Ǿuən	6	21	蚊问
tɕʰyn	2	13	裙
ɕyn	1	33	熏
fu	7	45	佛缚福服
Ǿu	7	45	物屋
paŋ	1	33	帮
maŋ	2	13	忙
taŋ	3	42	党
tʰaŋ	1	33	汤
taŋ	2	13	糖
laŋ	6	21	浪
tsʰaŋ	1	33	仓疮窗
kaŋ	1	33	钢
kʰaŋ	1	33	糠
mo	1	33	摸
lo	7	45	落
tso	7	45	作着桌镯
so	7	45	索
ŋo	7	45	恶握额
ȵiaŋ	2	13	娘
liaŋ	3	42	两
liaŋ	6	21	亮
tɕiaŋ	1	33	浆姜江
tɕʰiaŋ	3	42	抢
tɕiaŋ	6	21	匠像
ɕiaŋ	3	42	想响
tsaŋ	1	33	张装章桩
tsʰaŋ	2	13	长床尝
tsaŋ	5	24	壮
saŋ	1	33	霜伤双
tsʰaŋ	3	42	厂
tsʰaŋ	5	24	唱
saŋ	6	21	上
zaŋ	6	21	让
ɕiaŋ	5	24	向
Ǿiaŋ	1	33	秧
Ǿiaŋ	3	42	痒
Ǿiaŋ	6	21	样
tɕʰio	7	45	雀
ɕio	7	45	削学
sau	2	13	勺
zo	7	45	弱
tɕio	7	45	脚
Ǿio	7	45	约药
kuaŋ	1	33	光
faŋ	1	33	慌方
faŋ	2	13	黄房防
faŋ	5	24	放
faŋ	3	42	纺
Ǿuaŋ	3	42	网
kʰuaŋ	1	33	筐
kʰuaŋ	2	13	狂
Ǿuaŋ	2	13	王
Ǿuaŋ	6	21	旺
paŋ	3	42	绑
pʰaŋ	5	24	胖
paŋ	5	24	棒
tsʰaŋ	6	21	撞
tɕiaŋ	3	42	讲
ɕiaŋ	2	13	降
ɕiaŋ	6	21	项
pʰuŋ	2	13	朋棚蓬
tən	3	42	等
tən	5	24	凳
tʰən	2	13	藤
kʰən	3	42	肯
pe	7	45	北百
me	7	45	墨麦
te	7	45	得
tʰe	7	45	特
kʰe	7	45	刻客
xe	7	45	黑
pin	7	45	冰
sən	6	21	剩
ɕin	5	24	兴姓
tsʰɿ	7	45	侄直尺吃[文]
mən	3	42	猛
ta	3	42	打
lən	3	42	冷
kən	3	42	梗
kʰən	1	33	坑
ŋən	6	21	硬
ɕin	2	13	行形
pʰe	7	45	拍白
ke	7	45	格隔
pin	1	33	兵
pin	3	42	柄饼
pʰin	6	21	病
min	6	21	命
tɕʰin	5	24	庆
lin	3	42	领
tsən	3	42	整
tsʰɿ	7	45	侄直尺吃[文]
tin	1	33	钉
tʰin	6	21	定
tʰia	7	45	踢[白]
ti	7	45	笛
tɕʰia	7	45	吃[白]
xən	2	13	横
ɕyŋ	1	33	兄凶
zuŋ	2	13	荣
Ǿyŋ	3	42	永拥
tuŋ	1	33	东冬
tuŋ	3	42	懂
tuŋ	5	24	冻
tʰuŋ	1	33	通
tʰuŋ	3	42	桶统
tʰuŋ	5	24	痛
tʰuŋ	2	13	铜
tʰuŋ	6	21	动洞
luŋ	2	13	聋脓浓龙
luŋ	6	21	弄
tsuŋ	5	24	粽种
tsʰuŋ	1	33	葱充冲
suŋ	5	24	送宋
kuŋ	6	21	公
kʰuŋ	3	42	孔
xuŋ	1	33	烘风丰封蜂
xuŋ	2	13	红
ŋuŋ	1	33	翁
tʰəu	7	45	读毒
ləu	7	45	鹿六绿
tsʰəu	7	45	族畜
kʰu	7	45	哭
suŋ	1	33	松松
xuŋ	6	21	凤缝
muŋ	6	21	梦
tsuŋ	1	33	中终
tsʰuŋ	2	13	虫
kuŋ	1	33	宫恭
tɕʰyŋ	2	13	穷
ɕyŋ	2	13	熊雄
səu	7	45	宿缩叔熟赎属
zəu	7	45	肉褥
Ǿiəu	7	45	育
tsʰuŋ	6	21	重
tsuŋ	3	42	肿
kʰuŋ	6	21	共
Ǿyŋ	2	13	容
Ǿyŋ	6	21	用
tɕʰiəu	7	45	曲[白]
Ǿy	5	24	玉
tin	3	42	顶
tʰin	1	33	厅
tʰin	5	24	听
tʰin	2	13	停
tʰin	3	42	挺
