#ɿ
ts[1]知资姿咨滋之芝[3]紫姊子[5]治殖植
tʃʰ[1]蛆趋区驱吹黢[2]徐除储渠厨橱雏屈[3]取曲[5]处趣脆翠粹[6]处[7]出麯曲
ʃ[1]书舒墟虚嘘须鬚需枢输戍荽蟋[3]絮暑鼠薯许水[4]竖[5]嗉叙绪婿岁税髓穗术续蜀[6]树垂睡隧束[7]序殊膝戌述畜蓄{畜牧}旭
k[5]锯{又音}据{又音}句局
kʰ[1]拘
∅[1]淤擩迂[2]如鱼渔於余馀儒愚虞娱于盂禹榆入{收入}域[4]语与乳雨宇羽耳[6]御誉预豫遇寓芋愉喻裕鬱疫役郁玉

#a
p[2]排牌簰[3]摆[5]拜[6]白[7]百柏
pʰ[5]帕{文读}派[7]泊{泊船}迫拍魄
m[2]埋[4]买[6]卖迈[7]麦脉
f[1]花[2]划桦[5]化华华猾伐筏罚阀劃[6]画话盒滑[7]喝法乏髮发
v[4]瓦瓦[7]挖
t[2]投[3]斗抖陡头[5]鬥[6]大豆逗痘[7]得德
tʰ[3]偷[5]透
n[2]哪
l[2]楼[6]赖癞漏陋捺
ts[1]遮灾栽斋[2]蔗[3]走{文读}[5]鹧肉[7]侧择{择菜}窄摘
tsʰ[1]差{差别}车{车辆}差[2]茄柴[3]扯彩采睬[5]厕凑[6]寨[7]撤测策册
s[1]奢赊筛搜飕馊[2]蛇撒{撒种}[3]洒捨撒{撒手}[4]赦舍[5]赛晒嗽瘦[6]射麝社[7]塞
ʃ[3]萨{拉萨}
k[1]街勾钩沟[3]狗苟[5]介界芥尬届戒械垢够构购[7]格革隔
kʰ[1]卡抠[3]口[5]拷叩扣寇[7]恰刻克客核
ŋ[2]捱[3]挨藕偶[5]坳[7]额
h[2]鞋侯喉猴候还{还是}[3]吼[4]厚[5]吓[6]後后[7]嚇
∅[1]欧鸥[3]矮[5]沤怄

#ia
n[3]惹
tʃ[3]姐[5]借藉
tʃʰ[2]邪{白读}[5]斜
ʃ[3]写[5]泻卸谢
∅[2]爷[4]也野[5]亚[6]夜

#ua
l[7]捋
ts[1]抓
tsʰ[6]刷{又音}
s[3]耍[5]涮刷{又音}
k[1]瓜蛙[3]寡[5]挂卦[7]剐割括刮
kʰ[1]夸[2]胯[3]垮[5]跨块刽桧快筷[7]阔

#iɛ
p[7]别鳖
pʰ[7]撇
m[7]灭篾
t[6]碟蝶谍[7]跌叠
tʰ[5]帖贴[7]铁
n[6]热[7]孽
l[5]猎[7]聂镊业列烈裂
tʃ[7]秸疥接摺劫挟杰揭竭节疖截结洁桔
tʃʰ[5]吃[7]妾彻切窃
ʃ[1]些[5]谐[6]舌折[7]邪{文读}胁协泄设歇蝎穴
∅[1]椰[6]越[7]叶页

#yɛ
tʃ[5]绝[7]蕨掘诀倔爵却觉
tʃʰ[7]鹊
ʃ[1]靴[5]说{游说}屑[6]熟赎

#ə
p[2]培陪赔裴掰[4]焙[5]贝辈背{背脊}倍[6]背{背诵}
pʰ[1]胚坯[5]沛配佩
m[2]梅枚玫媒煤莓霉[5]揹[6]模妹外寐木梦目牧
f[1]灰[2]回茴[5]晦费伏[6]贿汇会会绘彗惠慧彙服[7]復福幅蝠辐覆复
v[1]煨[6]外
t[1]台堆[2]臺苔抬[5]戴带贷待怠代对碓队兑[6]袋兜砸独读毒
tʰ[1]胎推[3]腿[5]态太泰退[7]特
n[6]耐奈碍内
l[2]来雷[6]擂肋[7]勒
ts[2]才[3]者宰载{一年半载}崽[5]瞿再载{载重}债[7]哲浙则泽择{选择}宅责
tsʰ[1]猜催崔[2]材财裁豺[5]菜蔡[6]罪
s[1]腮鳃[5]碎[7]佘摄涉薛屑雪虱色
k[5]盖[7]穀
kʰ[1]开[3]凯[7]决缺哭
ŋ[5]悦阅越粤[6]艾月
h[7]血
∅[7]屋

#ɐi
p[4]败[7]北伯壁{隔壁}
pʰ[7]劈
m[7]墨默
f[2]怀槐淮[6]坏
v[1]歪
t[2]逮[6]直{白读}
tʰ[7]踢
n[3]奶
l[6]力
ts[7]鲫{白读}隻
tsʰ[6]贼[7]赤尺
s[6]食惜石
k[1]该阶[3]改解[5]溉
kʰ[3]楷[5]概慨
ŋ[2]涯癌[5]爱隘
h[2]蟹[3]海[6]亥害[7]黑
∅[1]哀埃

#uɐi
s[1]衰[5]帅率蟀
k[1]乖[3]拐[5]怪

#ei
p[1]杯碑卑悲
m[4]每美媚
f[1]恢非飞妃挥辉徽[2]肥翡[3]悔毁匪[5]废肺吠秽痱
v[1]微威[2]桅危为{作为}维惟唯围违苇[4]委尾{白读}伟纬[5]餵[6]卫伪为{为了}位未味魏慰胃谓猬
l[6]垒类泪

#uei
l[2]儡[6]儽累
ts[1]追[5]最
tsʰ[1]绥[2]随
s[1]虽[5]瑞
k[1]闺规龟归[5]桂
kʰ[1]盔魁奎亏窥[2]逵葵[3]傀[5]溃殨愧

#ao
p[1]包胞苞[2]袍[3]保堡宝饱[4]抱[5]报暴豹爆鲍曝[6]菢刨雹
pʰ[1]泡抛[2]跑[5]炮泡
m[1]猫[2]毛茅矛[6]帽貌茂贸
t[1]刀叨掏[2]桃逃淘陶萄[3]祷岛倒{倒塌}捣导[5]到倒{倒茶}道稻[6]盗
tʰ[1]滔涛[3]讨[5]套
n[2]锚[4]脑恼[6]闹
l[2]劳捞牢唠痨[4]老[5]涝
ts[1]遭糟焯[3]早{文读}枣蚤澡爪[5]灶罩煠[7]造{又音}赵
tsʰ[1]操嘲抄钞超[2]曹槽[3]草炒吵[5]躁糙燥[6]造{又音}
s[1]骚臊搔筲[3]嫂[5]扫潲
tʃ[5]召
k[1]高膏篙羔糕[3]稿搞[5]告窖觉
kʰ[1]敲[3]考烤[5]靠
ŋ[2]熬{熬药}[4]咬
h[1]蒿薅[2]豪壕毫嚎[4]好{好坏}[5]好{喜好}[6]耗浩号[7]郝
∅[1]熬{熬菜}[3]袄[5]傲奥懊

#əu
m[2]谋[4]卯某亩牡
f[2]浮[3]否
ts[1]邹周州洲
tsʰ[1]抽[2]绸稠筹愁仇酬[3]丑醜[5]臭
s[1]收[3]手首守[5]兽[6]受寿授售

#iəu
t[1]丢[7]竹
n[2]牛[3]纽扭[5]谬
l[1]溜馏[2]流刘留榴硫琉柳[6]卢芦六陆陸[7]绿
tsʰ[2]求球仇
tʃ[1]揪绉鸠纠[3]酒肘[5]皱究
tʃʰ[1]秋鞦鳅丘蚯[2]囚泅[3]臼[6]就袖
ʃ[1]修羞休削[3]朽[5]秀绣锈
∅[1]优忧悠幽[2]柔揉尤邮由油游犹[4]有友酉[5]釉[6]又右祐幼

#io
p[1]标彪[2]瓢嫖[3]表錶
pʰ[1]飘漂鳔[5]漂票漂
m[2]苗描渺秒[6]庙妙
t[1]朝刁貂雕[2]条调[3]鸟[5]钓吊跳掉调
n[6]尿
l[1]撩[2]燎疗聊辽僚嘹瞭镣[3]了[6]料廖
tʃ[1]交郊胶教茭焦蕉椒浇[2]饺[3]绞狡铰搅剿缴侥[5]教叫
tʃʰ[1]锹悄樵[3]巧[4]嚼[5]鞘窍
ʃ[1]消宵霄硝销逍嚣萧箫杉[3]小晓[5]较酵孝效校笑[6]学[7]杀
ŋ[7]弱
∅[1]妖邀腰要{要求}幺[2]饶摇谣窑姚遥尧钥[3]吆[4]扰舀[5]要{重要}诺若虐跃嶽乐{音乐}岳[6]耀柚[7]约药

#uo
p[1]波菠玻巴芭疤笆饽[2]婆爬琶杷耙菩[3]跛把{量词}[5]簸簸播
薄霸欛壩坝帛[6]罢拔薄[7]八钵拨勃博剥驳
pʰ[1]坡[5]破怕剖[7]泼
m[1]魔摸[2]摩麻痲蟆模膜[4]马码[6]磨磨沫[7]抹末袜莫寞漠陌
t[1]多[2]驼[3]朵躲打[4]舵[5]剁踱[6]沓夺[7]答搭达托
tʰ[1]拖他[2]驮[3]妥椭[4]坐{又音}在{白读}[5]唾[7]踏塔塌遢脱託
n[2]挪[6]那糯懦
l[1]囉篓[2]罗锣箩萝骡螺脶萝骆洛络[3]裸[4]找[5]略[6]烙乐{快乐}[7]腊蜡邋辣落
ts[1]楂渣昭招骄娇[3]左[5]诈榨炸照[7]扎眨闸铡作着着绰脚卓桌琢啄捉镯
tsʰ[1]搓叉杈钗[2]茶搽查朝潮乔侨桥荞[3]察[4]坐{又音}座在{文读}[5]挫锉岔汊措错[6]轿杂凿浊[7]翘插擦撮戳
s[1]蓑梭唆莎沙纱烧萨{菩萨}[2]朔[3]锁琐所少{多少}[5]傻少{少年}韶绍邵[6]硕[7]煞煞索索
k[1]歌哥戈家加嘉傢佳[3]果裹假贾[5]个架驾嫁稼价[7]鸽夹裌甲挟葛各阁搁郭藿角国
kʰ[1]科蝌[3]可棵颗[5]课[7]磕瞌掐匣渴廓扩确壳
ŋ[2]蛾鹅俄牙芽衙[4]我[6]饿
h[1]虾哈[2]荷河何荷和禾和和下合洽或惑[3]伙合蛤活穫[5]货[6]贺祸霞夏厦峡鹤霍[7]瞎辖
∅[1]阿倭窝涡莴丫蜗[3]哑[7]恶鸭押压轧恶恶

#iu
tʃ[3]九久韭灸[5]救
tʃʰ[4]舅[6]旧
∅[2]育狱[6]浴欲

#in
p[1]槟殡鬓冰[3]禀丙柄
pʰ[3]品[5]拚喷并聘拼並
m[2]门
t[5]阵{白读}顿{白读}
l[2]林淋临邻鳞陵凌菱绫
tsʰ[2]陈尘
s[5]衅
tʃ[1]砧针今金禁钦津真巾斤筋京{文读}荆正征经{文读}[2]茎鲸[3]枕锦紧仅谨警[5]禁进劲境敬竟竞劲径
tʃʰ[2]琴禽擒秦臣勤芹成城诚[7]近
ʃ[1]心深欣[2]神晨刑[3]婶[5]兴幸
kʰ[5]庆
∅[1]音阴荫因姻殷应{应该}鹰莺鹦樱英婴缨[2]壬迎盈莹[3]饮淫寅仍[4]忍引蚓隐[5]任任印映[6]应{相应}[7]刃

#yn
tʃ[1]均钧君军[3]准準[7]菌
tʃʰ[1]椿春[2]鹑群[3]蠢
ʃ[1]熏勋薰[2]旬循巡唇纯醇[6]讯迅驯殉顺训
kʰ[2]裙
∅[1]晕[2]匀允云耘营[4]尹永[6]润闰熨韵运孕泳

#ã
p[1]班斑颁般搬[2]盘庞[3]扳板版[5]半绊伴[6]扮瓣办拌
pʰ[1]攀襻潘[5]盼判叛
m[2]馍蛮瞒馒[3]满[6]慢漫幔蔓曼
f[1]欢翻番[2]凡帆还{还原}环烦繁矾[3]缓反返[6]泛范範犯旱汗唤焕换幻患宦贩饭
v[1]豌弯湾[2]玩完顽还{还原}[3]碗惋腕婉[4]挽[6]万
t[1]耽担丹单[2]潭谭谈痰檀坛弹[3]胆掸疸[4]淡[5]担[6]旦诞弹蛋
tʰ[1]贪滩摊瘫[3]毯坦叹[5]探炭
n[2]男南难{难易}[6]难{灾难}
l[1]篮[2]蓝兰拦栏[3]览揽榄[4]懒[6]滥缆烂
ts[1]簪蘸沾粘占毡{又音}赃脏{肮脏}张章樟桩[3]斩盏展攒掌[5]佔赞战颤藏脏{内脏}帐账仗杖障瘴[6]绽
tsʰ[1]参{参加}搀餐昌菖倡[2]蚕惭谗馋残缠蝉禅场[3]惨铲产厂敞[5]忏灿唱[6]暂栈
s[1]三衫山羶丧商伤香乡[2]常尝裳偿[3]陕闪赏饷享响[4]上尚[5]散伞散扇善鳝膳禅向[7]单
k[1]甘尴干{又音}间{白读}[3]感敢橄减杆秆桿擀赶[5]幹
kʰ[1]堪刊[3]坎砍勘[5]看{又音}
ŋ[2]岩[4]眼[6]岸
h[1]憨酣[2]含函咸鹹寒韩[3]罕[4]喊[5]汉[6]撼憾汗焊翰限苋
∅[1]庵鹌淹安鞍[5]暗按案案晏

#iã
t[2]长[3]长涨[5]胀涨[6]丈
n[1]捏娘[2]怜仰[5]看{又音}[6]酿让
l[2]良凉粮梁粱[3]两辆[4]俩[6]量亮谅量
tʃ[1]将浆薑姜[3]蒋奖桨[5]酱将降
tʃʰ[1]枪疆僵缰腔[2]墙详祥翔强勥[3]抢羌[5]匠[6]象像橡
ʃ[1]相箱厢湘镶[2]降[3]癣选想[5]相
∅[1]央秧殃[2]鸯羊洋烊杨阳扬疡[4]养痒[5]雁[6]恙样

#uã
t[1]端[2]团[3]短[5]断[6]锻段缎
n[4]暖
l[2]鸾銮[4]卵[6]乱
ts[1]专{专家、专科}[3]转[5]赚钻钻[7]撰
tsʰ[3]喘[5]窜篡串[6]纂
s[1]珊删酸闩拴栓[5]算蒜
k[1]柑干{又音}肝竿官棺观冠[3]管馆[5]贯灌罐观冠惯
kʰ[3]款

#yã
ʃ[1]喧
∅[2]丸皖

#ɐn
p[2]朋鹏凭平坪评苹
m[2]萌[6]孟
f[1]风枫疯丰封峰蜂锋[2]横冯逢缝[3]讽[6]凤奉俸缝
v[2]横
t[1]东冬[2]同铜桐筒童瞳[3]董懂[4]动[5]冻[6]栋洞
tʰ[1]通[3]熥桶捅统[5]痛
n[2]宁农脓浓[3]齈
l[2]灵零铃龄笼聋胧窿[3]垄[6]弄
ts[1]棕鬃[3]总[5]粽
tsʰ[1]青蜻聪匆葱[3]揰
s[1]星腥猩松[3]醒[5]送宋诵颂讼
k[1]经{白读}公蚣工功攻弓躬宫恭[3]拱巩[5]贡供龚共
kʰ[1]空[3]孔恐[5]控空
h[1]轰兄[2]很形型宏红洪鸿[3]哄
∅[1]翁[3]影

#ən
p[1]宾奔崩兵[2]贫频盆棚蓬篷[3]本彭膨[6]笨
pʰ[3]捧[5]碰
m[1]懵[2]蚊{白读}蒙[4]尾{白读}[6]闷问
f[1]昏婚浑分{分开}吩芬纷荤[2]魂馄焚坟[3]粉[5]粪奋[6]份分{本分}[7]混愤
v[1]温瘟[2]文纹蚊{文读}[3]稳
t[1]墩蹲[2]沉豚囤[5]顿{文读}遁[6]淀{又音}盾钝
tʰ[1]吞
n[4]凝
l[2]磷论伦轮伶翎[6]论另
ts[1]珍尊遵争筝睁晶精贞侦[3]诊睛井[5]浸尽镇阵{文读}振震俊骏
tsʰ[1]参亲倾[2]存呈程[3]寝逞[5]侵渗趁衬
s[1]森参{人参}辛新薪身申伸馨[2]辰[3]沈审疹损笋榫[5]甚信[7]肾慎
k[1]跟根耕[3]耿
kʰ[3]恳垦啃[5]劝
h[1]兴[2]弘行行虹{又音}[3]痕

#uən
k[3]滚[5]棍
kʰ[1]昆坤[3]捆[5]困睏

#iɛn
p[1]鞭编边蝙[2]便[3]贬扁匾[4]辫[5]变辨辩[6]便
pʰ[1]篇偏[5]骗徧遍片
m[2]绵棉眠[4]免勉娩缅[6]面麺
t[1]颠癫[2]甜田填[3]点典[6]掂店电殿奠垫淀{又音}
tʰ[1]添天[3]舔
n[2]鲇年撵研[3]碾碾[6]验念恋
l[1]蔫[2]廉镰帘连联鲢莲[6]练鍊炼劣
tʃ[1]监尖兼艰间{文读}奸姦煎毡{又音}肩坚[2]践[3]碱检俭简拣剪茧[5]鉴舰剑箭建键健腱荐见[6]捷
tʃʰ[1]歼籤签纤谦迁韆笺千牵铅{文读}[2]潜钳钱虔前[3]浅遣乾[5]芡欠歉[6]渐贱件旋
ʃ[1]仙掀先[2]嫌闲贤弦眩[3]险搧显[5]馅线羡献[6]陷宪现县
k[3]捲卷[5]鳜
kʰ[1]圈[2]拳权
∅[1]阄阉腌掩焰烟燕胭[2]炎盐檐严颜然燃谚延演言[3]蔫[4]染[5]厌艳堰砚燕嚥宴

#yɛn
tʃ[1]专{专门}砖绢鹃[5]传眷券
tʃʰ[1]川穿[2]全泉传[3]犬
ʃ[1]鲜轩宣[2]舷船玄悬
ŋ[4]软
∅[1]冤鸳曰渊[2]阎圆员缘沿铅{白读}元原源袁辕园援猿[4]阮远[6]院愿怨

#aŋ
p[1]帮邦绷[2]旁螃膀傍[3]榜滂绑[4]蚌[5]谤棒
pʰ[5]胖
m[2]忙芒茫亡盲虻氓[4]莽蟒网[6]忘妄望
f[1]方肪坊芳妨[3]倣仿访
v[1]汪
t[1]当铛裆[2]堂棠螳唐糖塘[3]党挡档[5]当荡
tʰ[1]汤[3]躺[5]烫趟
n[2]囊瓤
l[2]郎廊狼螂榔[3]朗[6]浪
ts[1]庄装妆[5]葬
tsʰ[1]仓苍舱疮窗[2]藏床[3]闯[5]畅创创[6]肠状撞
s[1]霜孀双双[3]嗓
k[1]冈岗刚纲钢缸钢光胱江豇扛肛[3]广讲港[5]杠虹{又音}
kʰ[1]康糠慷匡筐眶框[2]狂[5]抗炕旷况矿
h[1]荒慌[2]行航杭房防恒[3]谎恍晃幌纺[5]放[6]项巷
∅[2]黄簧皇蝗凰隍蟥王[3]枉[5]往[6]旺

#uaŋ
ts[5]壮
s[3]爽
k[5]逛

#eŋ
p[2]瓶屏萍[3]饼[6]病
pʰ[1]烹
m[2]民鸣明盟名铭冥[4]闽悯敏抿[6]命
t[1]登灯瞪丁钉{铁钉}[2]腾誊藤亭停廷庭蜓[3]等顶鼎挺[5]凳钉{钉住}订[6]邓澄锭定
tʰ[1]厅[3]艇[5]听
n[2]能宁
l[2]棱[4]冷岭领[6]令
ts[1]曾增憎罾僧徵蒸[2]盛[3]拯整[5]赠证症静靖郑正政
tsʰ[1]称{称呼}撑清[2]曾层澄惩橙乘承丞情晴[3]请净[5]蹭称{称职}秤
s[1]升生牲甥声[2]绳[3]省省[5]胜性姓圣盛[6]剩
k[1]更{更改}粳庚羹惊[3]哽埂梗京{白读}景颈[5]更{更加}镜
kʰ[1]坑卿轻[3]肯
ŋ[6]硬
h[1]亨哼[2]衡
∅[2]赢

#oŋ
m[4]猛
n[6]嫩
l[2]隆
ts[1]宗中忠衷终踪[3]种肿[5]中众纵种[6]仲
tsʰ[1]村衝舂[2]丛冲崇从重{重阳}[3]充宠松[5]寸铳
s[1]孙[3]怂

#ioŋ
t[2]虫[4]重{重量}
l[2]龙
tʃ[1]钟锺盅[2]穷
ʃ[1]胸匈凶兇[2]琼熊雄
∅[1]臃拥庸[2]荣戎绒融茸容蓉镕溶榕熔[4]勇涌踊[6]痈用

#ŋ̍
∅[2]五伍午武舞人仁银[4]蚁[5]入{进入}[6]认[7]日
