字	声母	韵母	调值	调类	备注
居	k	i	55	阳平	
屍	s	i	33	阴平	
屎	s	ai	13	上声	
屐	k	iaʔ	53	阳入	
展	ts	in	33	阴平	
屡	l	ou	11	阳去	
屢	l	ou	11	阳去	
層	ts	ɐŋ	55	阳平	
山	s	ua	33	阴平	
岁	h	uoi	213	阴去	
岂	h	i	13	上声	
岗	k	ɔŋ	55	阳平	
岸	ŋ	ɔn	33	阴平	
峕	s	i	55	阳平	
崇	s	oŋ	11	阳去	
崈	s	oŋ	11	阳去	
崗	k	ɔŋ	55	阳平	
崩	p	ɐŋ	55	阳平	
嵠	kʰ	ɐi	33	阴平	
嵾	s	am	55	阳平	人参
巡	tsʰ	un	55	阳平	
巧	kʰ	au	13	上声	
已	k	i	11	阳去	
巴	p	a	55	阳平	
巷	h	ou	11	阳去	
巾	k	in	33	阴平	
市	s	i	13	上声	
帆	f	an	55	阳平	
师	s	u	33	阴平	
帋	ts	ua	13	上声	
希	h	i	55	阳平	
帒	t	ɐi	11	阳去	
帖	tʰ	iap	21	阴入	
帚	ts	iu	13	上声	
帝	t	e	213	阴去	
带	t	ua	213	阴去	
師	s	u	33	阴平	
帬	k	un	55	阳平	
席	ts	iek	53	阳入	
帮	p	ɔŋ	55	阳平	
帳	ts	iɔŋ	213	阴去	
帶	t	ua	213	阴去	
帽	b	ɔ	11	阳去	
幫	p	ɔŋ	55	阳平	
年	h	i	55	阳平	
幸	h	ɐŋ	33	阴平	
幻	f	an	33	阴平	
庆	b	eŋ	33	阴平	
床	tsʰ	ou	55	阳平	
庐	l	u	55	阳平	
底	t	e	13	上声	
店	t	iam	213	阴去	
庙	b	ieu	213	阴去	
庚	k	eŋ	33	阴平	
府	f	u	13	上声	
庞	pʰ	ɔŋ	11	阳去	
座	ts	ɔ	11	阳去	
庿	b	ieu	213	阴去	
廈	h	a	11	阳去	厦门
廉	l	iam	55	阳平	
廊	l	ɔŋ	55	阳平	
廚	t	u	55	阳平	
廟	b	ieu	213	阴去	
廢	f	ɐi	33	阴平	
廣	k	ɔŋ	13	上声	
廬	l	u	55	阳平	
廳	tʰ	ia	33	阴平	
建	k	in	33	阴平	
弎	s	a	33	阴平	
式	s	ek	53	阳入	
弓	k	ioŋ	33	阴平	
弟	t	e	11	阳去	
张	t	iu	33	阴平	
張	t	iu	33	阴平	
強	kʰ	iɔŋ	55	阳平	
强	kʰ	iɔŋ	55	阳平	
归	k	uɐi	55	阳平	
彩	tsʰ	ɐi	13	上声	
彪	p	iu	55	阳平	
彭	pʰ	aŋ	55	阳平	
彿	f	ɐt	53	阳入	
征	ts	eŋ	55	阳平	
徐	tsʰ	u	55	阳平	
得	t	it	21	阴入	
徛	kʰ	ia	13	上声	站立
御	ŋ	i	11	阳去	
徧	p	in	213	阴去	
微	b	i	55	阳平	
徵	ts	ɐŋ	55	阳平	征求
心	s	im	33	阴平	
志	ts	i	33	阴平	
快	kʰ	oi	213	阴去	
念	m	iam	11	阳去	
忿	f	ɐn	13	上声	
态	tʰ	ai	33	阴平	
怖	p	u	33	阴平	
急	k	ip	21	阴入	
性	s	eŋ	33	阴平	
恕	s	i	33	阴平	
恨	h	ɐn	33	阴平	
息	s	ek	53	阳入	
恰	h	ap	53	阳入	
悊	ts	it	21	阴入	
悔	h	ui	33	阴平	
悲	p	i	55	阳平	
惜	s	ek	21	阴入	
惨	tsʰ	am	13	上声	
惯	k	an	213	阴去	
惰	t	ua	11	阳去	
想	s	iu	13	上声	
愁	s	au	55	阳平	
愚	ŋ	i	11	阳去	
感	k	am	13	上声	
慈	tsʰ	i	11	阳去	
態	tʰ	ai	33	阴平	
慌	f	ɔŋ	55	阳平	
慘	tsʰ	am	13	上声	
慢	m	an	11	阳去	
慣	k	an	213	阴去	
慮	l	ui	33	阴平	
慶	b	eŋ	33	阴平	
憐	l	in	55	阳平	
憑	pʰ	ɐŋ	11	阳去	
懽	h	ua	33	阴平	
戀	l	in	13	上声	
戈	k	ɔ	55	阳平	
戌	s	ɐt	53	阳入	
戏	kʰ	ui	213	阴去	
战	ts	in	33	阴平	
戚	tsʰ	iek	21	阴入	
戰	ts	in	33	阴平	
戲	kʰ	ui	213	阴去	
戴	t	i	213	阴去	
戶	f	u	33	阴平	
戸	f	u	33	阴平	
所	s	ɔ	13	上声	
扇	s	i	213	阴去	
手	tsʰ	iu	13	上声	
扛	k	ou	33	阴平	
扫	s	au	213	阴去	扫地
扯	tsʰ	ia	11	阳去	
扶	pʰ	ɔ	55	阳平	
批	pʰ	e	55	阳平	
技	k	i	33	阴平	
抄	tsʰ	au	33	阴平	
投	t	au	55	阳平	
报	p	ɔ	213	阴去	
抹	m	uaʔ	53	阳入	
抽	tsʰ	iau	33	阴平	
拍	pʰ	ɐʔ	21	阴入	
拐	k	uai	13	上声	
拖	tʰ	ua	33	阴平	
拘	kʰ	i	55	阳平	
招	ts	iu	33	阴平	
拜	p	ai	213	阴去	
拢	l	oŋ	13	上声	
拣	k	ai	13	上声	
拨	pʰ	uaʔ	21	阴入	
括	kʰ	ut	21	阴入	
持	tsʰ	i	55	阳平	
挂	kʰ	ua	213	阴去	
指	ts	i	13	上声	
挑	tʰ	iu	55	阳平	
挥	f	ɐi	55	阳平	
振	ts	ɐn	33	阴平	
捏	n	it	53	阳入	
捧	pʰ	oŋ	13	上声	
捭	p	ai	13	上声	
捺	n	at	53	阳入	
掃	s	au	213	阴去	扫地
掌	ts	iu	13	上声	
排	p	ɐi	55	阳平	
掘	k	ut	53	阳入	
掛	kʰ	ua	213	阴去	
探	tʰ	am	213	阴去	
接	ts	iʔ	21	阴入	
揀	k	ai	13	上声	
插	tsʰ	aʔ	21	阴入	
揔	ts	oŋ	13	上声	
揭	k	iaʔ	21	阴入	
揮	f	ɐi	55	阳平	
損	s	in	13	上声	
搭	t	aʔ	21	阴入	
摊	tʰ	an	33	阴平	
摠	ts	oŋ	13	上声	
摸	m	ou	55	阳平	
摺	ts	iʔ	21	阴入	
撆	pʰ	it	21	阴入	
撇	pʰ	it	21	阴入	
撥	pʰ	uaʔ	21	阴入	
撰	ts	an	33	阴平	
撲	pʰ	ok	21	阴入	
擇	t	iaʔ	53	阳入	
操	tsʰ	ɔ	55	阳平	操作
擔	t	am	33	阴平	担任
擘	p	ɐiʔ	21	阴入	
擡	t	e	55	阳平	
擺	p	ai	13	上声	
擾	ŋ	iu	13	上声	
攏	l	oŋ	13	上声	
攤	tʰ	an	33	阴平	
收	s	iu	33	阴平	
攷	h	au	13	上声	
改	k	ai	13	上声	
放	p	aŋ	213	阴去	
敀	p	aiʔ	21	阴入	
敏	m	ɐn	13	上声	
敓	t	it	21	阴入	
敗	p	ai	33	阴平	
敛	l	im	13	上声	
敢	k	a	13	上声	
敦	t	ɐn	55	阳平	
敬	k	eŋ	33	阴平	
整	ts	ieŋ	13	上声	
敵	t	ek	21	阴入	
敶	t	an	55	阳平	姓
斂	l	im	13	上声	
文	m	un	55	阳平	
斑	p	ai	33	阴平	
斗	t	au	13	上声	
斛	f	ok	21	阴入	
斧	pʰ	ɔ	13	上声	
斩	ts	am	13	上声	
斬	ts	am	13	上声	
斯	s	i	55	阳平	
方	f	ɔŋ	33	阴平	
旁	pʰ	ɔŋ	11	阳去	
旅	l	i	13	上声	
族	ts	ok	21	阴入	
旗	k	i	55	阳平	
日	ts	it	53	阳入	
旦	t	an	33	阴平	
旧	k	u	11	阳去	
早	ts	a	13	上声	
时	s	i	55	阳平	
旷	kʰ	ɔŋ	33	阴平	
旹	s	i	55	阳平	
昂	ŋ	ɔŋ	55	阳平	
昇	s	eŋ	55	阳平	
昋	k	uɐi	33	阴平	
明	m	eŋ	55	阳平	
星	tsʰ	ai	33	阴平	
春	tsʰ	un	33	阴平	
昭	tsʰ	iu	55	阳平	
是	s	i	11	阳去	
显	h	in	13	上声	
時	s	i	55	阳平	
晓	h	iau	213	阴去	
晚	m	an	13	上声	
景	k	eŋ	13	上声	
智	ts	i	213	阴去	
暂	ts	am	11	阳去	
暑	s	i	13	上声	
暜	tʰ	e	213	阴去	
暢	tʰ	iɔŋ	213	阴去	
暫	ts	am	11	阳去	
暴	pʰ	ak	53	阳入	
曉	h	iau	213	阴去	
曐	tsʰ	ai	33	阴平	
曠	kʰ	ɔŋ	33	阴平	
更	k	ai	33	阴平	五更
書	ts	u	33	阴平	
曾	ts	ieŋ	55	阳平	姓
替	tʰ	e	213	阴去	
月	ŋ	uoiʔ	53	阳入	
朋	p	aŋ	11	阳去	
服	h	ok	21	阴入	
朔	s	ɔk	21	阴入	
朖	l	ɔŋ	11	阳去	
朗	l	ɔŋ	11	阳去	
朝	ts	iu	55	阳平	今朝
木	m	ok	53	阳入	
未	m	oi	11	阳去	
本	p	un	13	上声	
杀	s	uaʔ	21	阴入	
杂	ts	ap	53	阳入	
权	kʰ	in	55	阳平	
杉	tsʰ	am	33	阴平	
李	l	i	13	上声	
村	tsʰ	ui	33	阴平	
杖	ts	iɔŋ	11	阳去	
杜	t	ɔ	11	阳去	
束	tsʰ	ok	53	阳入	
条	t	iau	55	阳平	
来	l	ɐi	55	阳平	
杯	p	uoi	33	阴平	
東	t	aŋ	33	阴平	
杷	p	ai	55	阳平	
松	tsʰ	oŋ	11	阳去	松树
板	p	ai	13	上声	
析	s	ek	53	阳入	
枕	ts	im	13	上声	
果	k	uoi	13	上声	
枝	t	i	55	阳平	
枣	ts	ɔ	13	上声	
枪	tsʰ	iɔŋ	33	阴平	
柄	p	ai	213	阴去	
某	m	au	13	上声	
柑	k	am	33	阴平	
柒	tsʰ	at	21	阴入	
染	l	i	13	上声	
柱	tsʰ	i	13	上声	
柴	tsʰ	a	55	阳平	
柺	k	uai	13	上声	
标	p	iu	55	阳平	
栋	t	aŋ	213	阴去	
校	k	au	33	阴平	校对
根	k	in	33	阴平	
桂	k	uɐi	33	阴平	
桃	tʰ	ou	55	阳平	
桌	tsʰ	iok	21	阴入	
桐	tʰ	oŋ	11	阳去	
桒	s	ɔŋ	55	阳平	
桥	k	iu	55	阳平	
桮	p	uoi	33	阴平	
梁	n	iu	55	阳平	
條	t	iau	55	阳平	
梨	l	i	55	阳平	
梭	s	ɔ	55	阳平	
梯	tʰ	ui	33	阴平	
梳	s	e	33	阴平	
检	l	im	13	上声	
棃	l	i	55	阳平	
棄	h	i	33	阴平	
棅	p	ai	213	阴去	
棉	m	in	55	阳平	
棊	k	i	55	阳平	
棋	k	i	55	阳平	
棍	k	un	213	阴去	
棒	pʰ	ɐŋ	13	上声	
棗	ts	ɔ	13	上声	
棟	t	aŋ	213	阴去	
棬	h	in	33	阴平	
楚	tsʰ	ɔ	13	上声	
業	ŋ	ip	53	阳入	
楼	l	au	55	阳平	
榘	k	i	13	上声	
榴	l	iu	55	阳平	
構	k	ou	33	阴平	
槍	tsʰ	iɔŋ	33	阴平	
槽	ts	au	55	阳平	
樂	ŋ	ok	21	阴入	音乐
樓	l	au	55	阳平	
標	p	iu	55	阳平	
模	m	ou	55	阳平	模子
橅	m	ou	55	阳平	模子
橋	k	iu	55	阳平	
橘	k	it	21	阴入	
機	k	i	55	阳平	
橫	h	ua	55	阳平	横直
檆	tsʰ	am	33	阴平	
檢	l	im	13	上声	
櫀	k	i	55	阳平	
櫃	k	ui	11	阳去	
櫼	tsʰ	am	33	阴平	
權	kʰ	in	55	阳平	
欠	kʰ	iam	213	阴去	
次	ts	ɐi	33	阴平	
欢	h	ua	33	阴平	
欵	kʰ	un	13	上声	
欺	h	i	55	阳平	
欽	kʰ	am	55	阳平	
款	kʰ	un	13	上声	
歀	kʰ	un	13	上声	
歇	h	it	11	阳去	
歡	h	ua	33	阴平	
止	ts	i	13	上声	
正	ts	ieŋ	213	阴去	正中
步	p	ɔ	11	阳去	
武	m	u	13	上声	
歬	ts	ai	55	阳平	
歲	h	uoi	213	阴去	
歷	l	ek	21	阴入	
歸	k	uɐi	55	阳平	
死	s	i	13	上声	
殘	tsʰ	an	55	阳平	
段	t	in	33	阴平	
殺	s	uaʔ	21	阴入	
殿	t	in	11	阳去	
毅	ŋ	ai	11	阳去	
母	m	ɔ	13	上声	
每	m	ui	13	上声	
毒	t	ak	53	阳入	
毛	m	ou	55	阳平	
毫	h	ɔ	55	阳平	
毯	tʰ	am	13	上声	
民	m	ɐn	55	阳平	
求	k	iu	55	阳平	
汉	h	ɔn	213	阴去	
汓	s	iu	55	阳平	
汗	k	ua	11	阳去	
汝	n	i	13	上声	
池	tsʰ	i	55	阳平	
汤	tʰ	ou	33	阴平	
決	kʰ	it	21	阴入	
沈	tʰ	im	55	阳平	
沒	m	ɐt	21	阴入	
沓	tʰ	aʔ	53	阳入	
沙	s	ua	33	阴平	
沟	k	au	33	阴平	
没	m	ɐt	21	阴入	
泅	s	iu	55	阳平	
泉	tsʰ	in	55	阳平	
法	f	at	21	阴入	
注	ts	i	33	阴平	
洒	s	e	13	上声	
洛	l	ɔk	21	阴入	
津	ts	ɐn	55	阳平	
洽	ts	ap	21	阴入	
派	pʰ	ɐi	213	阴去	
流	l	au	55	阳平	
浊	ts	ok	53	阳入	
浩	h	ɔ	33	阴平	
浮	p	ɐu	55	阳平	
海	h	ai	13	上声	
浸	ts	im	213	阴去	
消	s	iu	55	阳平	
涉	s	ip	21	阴入	
涛	tʰ	ou	11	阳去	
淋	l	am	55	阳平	
深	tsʰ	im	33	阴平	
淺	tsʰ	in	13	上声	
添	tʰ	i	33	阴平	
清	tsʰ	ieŋ	33	阴平	
渠	kʰ	i	11	阳去	
渡	t	ɔ	11	阳去	
渣	ts	a	55	阳平	
湊	tsʰ	au	213	阴去	
湭	ts	ɐu	55	阳平	
湯	tʰ	ou	33	阴平	
溉	kʰ	oi	33	阴平	
溝	k	au	33	阴平	
溪	kʰ	ɐi	33	阴平	
滅	m	it	53	阳入	
滋	ts	i	55	阳平	
滑	k	ut	53	阳入	
滴	t	iek	21	阴入	
漆	tsʰ	at	21	阴入	
漏	l	au	11	阳去	
漢	h	ɔn	213	阴去	
漧	k	ɔn	55	阳平	干湿
漫	m	an	11	阳去	
潘	pʰ	un	55	阳平	
潛	tsʰ	im	11	阳去	
澂	tsʰ	eŋ	11	阳去	
激	k	ek	53	阳入	
濁	ts	ok	53	阳入	
濅	ts	im	213	阴去	
濤	tʰ	ou	11	阳去	
灋	f	at	21	阴入	
灌	k	ua	213	阴去	
火	h	uoi	13	上声	
灭	m	it	53	阳入	
灮	k	ui	33	阴平	
災	ts	oi	55	阳平	
炁	kʰ	ui	213	阴去	
炉	l	ɔ	55	阳平	
炒	tsʰ	a	13	上声	
炔	k	uɐi	33	阴平	
炤	ts	iu	213	阴去	
炭	tʰ	ua	213	阴去	
点	tʰ	iam	13	上声	
烦	f	an	55	阳平	
热	ts	uaʔ	53	阳入	
烹	pʰ	eŋ	55	阳平	
烾	tsʰ	iek	21	阴入	
