#ʅ
tʂ[1]知蜘支肢枝之芝知脂[3]纸旨指止址趾[5]制置智至致稚痔峙治志痣挚滞
kʰ[1]枯[2]苦[5]库
x[1]呼[2]胡湖糊蝴葫壶狐[3]虎琥浒[5]户互扈沪护瓠
ts[1]猪诸朱诛蛛株硃珠租[3]煮渚主祖组阻[5]著助铸驻柱住注蛀
tsʰ[1]粗[3]除躇储厨橱殊锄[3]褚堵鼠楚[5]处醋
s[1]疏蔬书舒枢输苏酥[3]黍数{动词}[5]恕墅竖署树薯素膆诉塑数{名词}漱
∅[1]乌呜污[2]吴蜈梧无毋[3]五伍捂午舞武[5]悟晤焐戊误务雾

#y
l[1]驴[3]女缕褛履吕侣旅[5]虑滤
tɕ[1]居拘驹车{~马炮}矩疽[3]举[5]据锯剧巨拒距炬句具聚俱惧
tɕʰ[1]区躯驱蛆趋[2]渠瞿茄瘸徐[3]取娶[5]趋
ɕ[1]虚墟嘘盱胥须需[2]许诩栩[5]酗絮序叙绪婿
∅[1]宇迂淤[2]于鱼渔娱盂俞榆逾愈禺愚[3]语雨禹[5]玉喻裕寓遇豫御

#o
p[1]巴芭杷粑琶扒[3]把[5]霸坝爸罢
pʰ[1]趴[2]爬耙扒{~手}[5]怕
m[1]妈蟆[2]麻[3]马码玛蚂[5]骂
t[3]打[5]大
tʰ[1]他她它
l[1]拉[2]拿[3]那哪
kʰ[3]卡{~车}
x[1]哈
ts[1]楂{山~}渣抓[3]爪[5]榨诈
tsʰ[1]叉钗杈差{~错}[2]茶搽查[5]诧岔衩杈汊
s[1]沙砂纱鲨[2]霞瑕遐[3]傻耍洒撒{~种}[5]下夏厦
∅[1]阿

#io
tɕ[1]家加枷嘉袈佳[3]假贾[5]假{放~}稼嫁驾架价
tɕʰ[3]卡{~住}
∅[1]丫鸦椰[2]牙芽衙[3]雅哑[5]讶亚

#uo
k[1]瓜[3]寡剐[5]卦挂褂
kʰ[1]夸誇[3]垮[5]跨胯
x[1]花[2]华譁划{~船}[5]化画话
∅[1]蛙[2]娃[3]瓦

#ʊ
p[1]波菠玻播卜{萝~}簸[3]跛
pʰ[1]坡[2]婆鄱[3]颇叵[5]破剖
m[1]摸[2]磨{~刀}魔摩摹模[3]拇[5]磨{石~}墓暮慕募幕
t[1]多[3]朵躲[5]舵剁堕惰
tʰ[1]拖[2]陀驼鸵驮[3]妥椭
l[1]啰{~唆}[2]挪脶罗锣箩逻骡螺[3]裸虏[5]懦
k[1]歌锅哥戈[2]果[3]裹[5]个过
kʰ[1]珂苛科蝌棵颗[3]可[5]课
x[1]呵[2]何河荷禾和[3]火伙[5]货贺祸
ts[3]左[5]坐座做
tsʰ[1]初搓[2]锄[5]挫锉错措
s[1]梭唆梳[3]锁琐所
∅[1]窝[2]蛾鹅俄峨哦讹[3]我[5]卧饿

#ie
t[1]爹
ts[3]姐[5]借
tsʰ[3]且
s[2]邪斜[3]写些[5]泻卸谢泄
∅[2]爷[5]夜噎

#ɛ
p[3]摆[5]败拜稗
pʰ[2]排徘牌[5]派
m[2]埋[3]买[5]卖迈
t[1]呆[3]歹逮□{多}[5]代贷袋黛戴待怠带
tʰ[1]胎苔[2]台抬[5]太汰态泰
l[2]来[3]乃奶[5]耐奈赖癞
k[1]该[3]改[5]概溉盖丐
kʰ[1]开揩[3]凯铠楷慨
x[2]孩鞋[3]海[5]害
ts[1]灾栽哉[3]宰崽载[5]债再在
tsʰ[1]猜差{出~}[2]才财材豺裁柴[3]采彩踩睬[5]菜蔡
s[1]腮鳃筛[5]赛塞{要~}寨晒
∅[1]哀挨[2]捱[3]矮[5]爱暧艾碍

#iɛ
tɕ[1]斋皆阶秸[3]解[5]戒诫械介界届
ɕ[3]蟹
∅[2]涯崖癌岩[3]也

#uɛ
k[1]乖[3]拐[5]怪
kʰ[5]快块会{~计}
x[1]淮怀槐[5]坏
∅[1]歪[5]外

#ei
p[1]卑碑悲杯[3]彼[5]贝辈背倍臂被备
pʰ[1]胚[2]培陪赔裴[5]沛配佩
m[2]梅晦霉煤媒眉嵋枚玫[3]每美[5]妹昧媚寐
f[1]非菲榧飞妃[2]肥[3]匪诽翡吠[5]痱费废肺
t[1]堆[2]对队兑
tʰ[1]推[3]腿[5]退煺
l[2]雷擂[3]蕾磊垒屡累{积~}[5]内类泪累{劳~}

#uei
ts[1]追锥椎[3]嘴[5]罪最醉赘
tsʰ[1]吹崔摧催炊[2]垂锤捶槌[5]脆翠萃悴瘁粹
s[1]虽尿[2]随隋髓谁[3]水[5]税睡碎岁隧穗
ʐ[3]蕊[5]锐瑞
∅[1]威煨萎[2]危桅微帷唯维韦围违为{作~}[3]委萎{~缩}伪尾伟[5]卫畏胃谓渭慰魏未味位尉

#ɔ
p[1]包胞[3]宝饱保堡褓[5]报抱饱雹暴爆豹
pʰ[1]抛泡{水~}[2]袍[3]跑[5]炮泡
m[2]毛猫矛茅[3]卯铆[5]冒帽貌
t[1]刀[3]导岛捣倒[5]道稻蹈盗悼到倒{~挂}
tʰ[1]涛掏滔[2]桃陶淘[3]讨[5]套滔
l[2]劳捞涝牢[3]老姥脑恼[5]闹
k[1]高篙膏羔糕[3]稿搞[5]告窖
kʰ[3]考烤拷[5]铐靠
x[2]毫豪嚎壕[3]好[5]好{爱~}号耗浩
ts[1]召诏昭招朝{~夕}遭糟[3]找早枣澡藻[5]灶皂造躁{脾气~}罩兆赵照
tsʰ[1]抄钞超操剿[2]曹槽嘈漕朝{~代}[3]草吵炒[5]糙燥
s[1]捎稍梢烧骚臊[2]韶[3]少嫂扫[5]臊
∅[2]熬敖[3]袄[5]凹傲奥懊

#iɔ
p[1]标镖膘彪[3]表婊裱
pʰ[1]飘漂{~流}[2]嫖瓢[5]票漂{~白}
m[2]苗描瞄[3]秒渺藐[5]庙妙缪
t[1]刁貂凋碉雕[3]屌[5]吊钓掉调{音~}
tʰ[1]挑[2]条调迢[3]挑[5]跳
l[2]疗僚撩燎聊[3]了瞭鸟[5]料
tɕ[1]焦蕉椒[5]醮
tɕʰ[1]缲[2]樵憔瞧谯[5]俏峭鞘撬
ɕ[1]肖宵霄消硝逍萧箫[3]小[5]笑啸
∅[1]夭妖邀要{~求}腰[2]摇谣遥窑瑶肴姚尧窈[3]咬舀[5]要跃

#əɯ
m[2]谋[3]某
f[3]否
t[1]兜[3]斗抖陡[5]斗{~争}豆逗痘
tʰ[1]偷[2]头投[5]透
l[2]娄楼喽[3]篓搂[5]漏陋痿
k[1]勾沟钩[3]狗苟[5]够构购垢
kʰ[1]抠眶[5]叩扣寇
x[2]侯喉猴瘊[3]吼[5]厚后候
ts[1]周舟州洲遮[3]肘帚者走[5]纣宙咒奏揍绉皱骤
tsʰ[1]抽车[2]愁绸稠筹踌仇酬[3]丑扯[5]臭凑
s[1]搜馊飕收奢赊[2]蛇佘[3]手首守捨艘[5]兽寿受授售社射麝舍瘦嗽
ʐ[2]柔揉蹂[5]肉
∅[1]欧沤殴鸥[3]偶藕[5]怄呕

#iəɯ
t[1]丢
l[1]溜[2]牛流硫琉刘浏留榴瘤[3]纽扭柳[5]遛
tɕ[1]鸠纠赳阄灸揪[3]九久玖韭酒[5]究疚救臼舅桕柩旧咎就鹫
tɕʰ[1]丘邱蚯秋湫鳅[2]求球裘仇{姓}酋囚泅
ɕ[1]休修羞[3]朽[5]嗅秀绣锈袖宿{星~}
∅[1]幽忧优悠[2]尤犹由油蚰邮游[3]友有酉[5]又右祐诱幼

#ɚ
∅[2]儿[3]耳惹[5]二贰

#ẽ
ts[1]毡粘詹瞻[3]展辗[5]占
s[1]煽[5]扇善鳝擅单{姓}
ʐ[2]然燃髯[3]染冉

#iẽ
p[1]边鞭编鳊[3]贬扁匾[5]变辨辩辫遍卞汴蝙便
pʰ[1]篇翩偏[2]便{~宜}[5]骗片
m[2]棉绵眠[3]免勉娩缅[5]面
t[1]惦颠巅癫[3]点典碘[5]电奠垫惦踮佃甸殿店
tʰ[1]天添[2]甜田填[3]舔[5]掭
l[1]粘[2]年连鲢莲联怜黏帘廉镰[3]碾辇敛脸捻[5]念殓练炼链
ts[1]尖煎[3]剪翦[5]渐箭践贱溅荐饯
tsʰ[1]千迁歼扦纤笺[2]钱前[3]浅潜[5]倩
s[1]先仙鲜[3]癣[5]线羡
tɕ[1]监兼缄肩坚艰间涧奸菅[3]减碱检捡俭茧简[5]见谏建健毽剑件监艦
tɕʰ[1]谦铅牵[2]钳黔乾{~坤}虔掮[3]遣谴[5]欠芡嵌歉
ɕ[1]掀[2]咸闲贤衔嫌[3]险显[5]陷馅献限现苋宪县
∅[1]烟洇蔫淹[2]炎盐严颜延蜓沿言研檐阎[3]眼掩演衍兖[5]验厌艳焰雁燕咽宴谚

#yẽ
tɕ[1]娟捐鹃[3]卷[5]眷卷倦券圈{猪~}
tɕʰ[1]圈[2]全痊泉权拳颧[3]犬[5]劝
ɕ[1]宣喧轩[2]玄弦舷眩炫旋[3]选[5]楦渲旋{~风}
∅[1]鸳冤渊[2]员圆元园缘原源袁猿援[3]远[5]院愿

#õ
p[5]半伴绊拌畔
pʰ[2]盘蟠磐[5]判叛
m[2]瞒馒谩鳗[3]满
t[1]端[3]短[5]断段锻煅缎
tʰ[2]团
l[1]峦栾滦孪[3]暖卵[5]乱
k[1]官棺观冠[3]管馆
kʰ[1]宽[3]款
x[1]欢[2]桓[3]缓[5]唤换幻患宦焕
ts[1]专砖钻[3]转{~移}[5]转钻{电~}
tsʰ[1]汆川穿[2]传{~达}椽船[3]喘[5]串窜篡
s[1]酸[5]算
ʐ[3]软阮
∅[2]完丸[3]皖宛婉腕碗惋

#ã
p[1]班斑颁扳般搬邦帮梆浜[3]板版坂榜绑[5]扮瓣办棒谤泵
pʰ[1]潘攀乓膀{蹄~}[2]旁傍螃螃滂庞彷[5]盼胖襻
m[2]蛮芒忙茫氓盲[3]莽蟒[5]慢漫蔓
f[1]帆番藩幡翻方芳坊[2]凡矾烦樊繁防妨房[3]反返访纺舫[5]泛范犯饭贩放
t[1]耽眈单箪丹当裆铛[3]胆疸党挡掸[5]旦担{~子}淡啖氮但诞蛋澹惮弹{子~}当{上~}荡
tʰ[1]贪滩瘫摊汤坍[2]覃潭谭弹谈痰坛昙唐糖塘搪堂螳膛棠[3]毯袒坦淌倘[5]探炭叹烫趟
1[2]男南楠难蓝篮褴兰栏拦澜婪岚囊郎廊榔狼螂[3]懒朗览揽缆[5]烂滥滥浪难{患~}
k[1]干肝杆甘柑冈刚纲钢缸肛罡间{房~}[3]感赶秆港岗敢橄[5]干{~活}赣扛虹
kʰ[1]看{~守}堪康糠慷[2]扛[3]砍坎槛刊[5]看{~望}勘抗炕
x[1]夯鼾酣[2]含函涵邯寒韩邗杭行{~列}[3]喊[5]汗罕会焊捍旱汉撼憾
ts[1]张章漳樟彰蟑獐毡粘赃脏[3]展辗斩长{生~}涨掌攒[5]站战丈杖仗胀暂障瘴赞葬藏沾蘸脏{内~}
tsʰ[1]昌猖娼搀参餐仓苍舱沧[2]谗馋缠婵长肠常尝偿嫦蚕惭残藏{收~}[3]产铲阐场敞灿惨[5]忏颤唱唱倡畅
s[1]山衫杉珊删姗膻舢商伤三桑丧{治~}[3]陕闪赏形伞嗓馓[5]上尚丧{~失}散{分~}
ʐ[1]嚷[2]瓤[3]嚷壤[5]让
∅[1]肮安鞍氨庵鹌[2]昂[5]暗岸按案

#iã
l[2]良娘粮梁粱凉量{衡~}[3]两仰辆[5]亮谅晾量{容~}酿
tɕ[1]姜江豇僵疆缰将浆[3]讲奖蒋桨[5]降{下~}犟将{~军}酱
tɕʰ[1]腔羌枪[2]强墙蔷祥详翔[3]强{勉~}抢[5]呛
ɕ[1]香乡相箱厢湘襄镶[3]享响饷想[5]相{~貌}象像橡
∅[1]央秧殃鸯[2]羊洋佯阳杨扬[3]养痒[5]样烊漾恙

#uã
k[1]关光胱鳏冠[3]广[5]贯惯掼灌罐逛
kʰ[1]匡筐框[2]狂[5]旷况矿
x[1]荒慌肓[2]还{~原}环黄簧磺皇惶蝗煌凰[3]谎恍[5]晃
ts[1]庄桩妆装[5]壮状撞赚
tsʰ[1]窗疮[2]床[3]闯[5]创
s[1]闩霜孀双[3]爽
∅[1]弯湾汪豌[2]亡王玩顽[3]晚挽网往枉[5]万妄忘望旺

#ən
p[1]奔崩绷蹦[3]本[5]笨
pʰ[2]喷烹[2]盆彭澎膨蓬篷朋棚鹏[3]捧[5]碰
m[2]门萌扪蒙檬朦[3]蠓猛[5]闷焖孟梦
f[1]纷吩芬丰封峰锋蜂烽风枫疯[2]坟焚冯逢缝[3]粉讽[5]粪愤奋忿份奉俸凤缝{门~}
t[1]登瞪墩蹲敦吨[3]等盹[5]凳邓钝饨盾遁
tʰ[1]吞[2]疼誊滕藤腾屯豚囤
l[2]能仑轮囵伦纶[3]冷[5]愣论{讨~}
k[1]根跟庚耕[3]耿埂梗鲠[5]更{~加}
kʰ[1]坑吭[3]肯啃恳垦
x[1]亨哼[3]痕恒衡[3]很狠[5]恨
ts[1]砧针斟珍臻榛真贞侦征争蒸挣曾{~祖}增筝睁憎[3]枕诊疹整拯怎[5]震振镇阵郑正证政症
tsʰ[1]称{~呼}撑[2]沉辰晨臣尘陈成诚盛{~饭}呈程橙澄丞乘{~除}曾{~经}层岑[3]惩逞[5]乘{~车}秤称{相~}趁
s[1]深身申伸呻绅升声森僧参人{~生}甥牲[2]绳神[3]沈审婶[5]甚盛剩胜圣慎肾
ʐ[1]扔[2]壬任{姓}仁人[3]忍刃仍[5]认任{责~}妊饪轫纫

#in
p[1]冰兵宾缤槟彬[3]丙饼秉禀[5]病殡鬓并柄
pʰ[1]拼姘乒[2]贫瓶屏平苹坪萍凭频评[3]品
m[2]民岷明鸣名铭茗[3]闵悯闽皿敏冥瞑螟[5]命
t[1]丁疗叮钉{~子}盯[3]顶鼎[5]定订钉{~书}
tʰ[1]厅听[2]亭停廷庭[3]挺艇[5]听{~任}
l[1]拎[2]林淋琳霖麒鳞磷邻零玲聆龄铃伶灵棂棱宁柠凝[3]凛檩领岭拧[5]令另吝蔺赁
tɕ[1]今矜金禁{~不起}襟斤筋茎经泾京惊津精睛侵晶菁旌荆巾[3]景颈警谨锦紧仅井[5]禁近竞迳竟镜劲痉径浸进晋尽烬净静靖
tɕʰ[1]卿轻氢倾亲清青钦[2]晴情秦琴禽擒勤芹[3]顷请寝[5]庆亲{~家}
ɕ[1]欣馨心辛新薪星腥猩蜻[2]行形邢刑型[3]醒省{反~}[5]兴幸衅信性姓
∅[1]音因姻阴荫殷应{~当}鹰莺英婴樱鹦缨[2]淫寅吟龈银垠迎嬴赢茔萤营盈[3]影颖饮引隐瘾映[5]印应{答~}

#uən
k[3]滚[5]棍
kʰ[1]昆髡琨坤[3]捆[5]困
x[1]昏婚荤[2]浑魂馄横混[5]混{~日子}
ts[1]尊遵肫[3]准
tsʰ[1]春椿村皴[2]唇存[3]蠢[5]寸衬
s[1]孙狲[2]纯淳醇[3]损笋榫省[5]顺舜瞬
ʐ[5]闰润
∅[1]温瘟[2]文蚊纹雯闻[2]稳吻刎[5]问紊

#yn
tɕ[1]均钧军[5]郡菌峻竣骏浚
tɕʰ[2]裙群
ɕ[1]熏醺薰勋[2]寻旬洵荀循巡[5]训驯讯汛迅殉逊
∅[2]云[3]陨允[5]运晕孕蕴愠韵泳

#oŋ
t[1]东冬[3]董懂[5]动冻栋洞
tʰ[1]通[2]童潼瞳同铜仝彤[3]桶统捅筒[5]痛
l[2]龙陇茏聋笼咙隆窿农脓浓[3]垄陇拢[5]弄
k[1]宫工攻功公蚣弓躬恭龚[3]拱巩汞[5]共供贡
kʰ[1]空[2]恐孔[5]控空{~间}
x[1]轰烘[2]红洪鸿宏弘泓[3]哄
ts[1]中钟忠盅衷终宗踪棕鬃[3]肿冢窘种{~类}总[5]中{~暑}仲种众重粽综纵
tsʰ[1]充冲忡憧舂聪匆葱囱[2]虫崇重{~复}穷琼从丛[3]宠
s[1]松淞嵩凶匈兄[2]雄熊[3]悚[5]送宋诵颂讼
ʐ[1]雍拥[2]戎绒茸庸[3]冗永泳[5]用佣
∅[1]翁嗡[5]瓮

#ʅʔ
tʂ[7]执汁只窒织职直植殖掷秩质侄
tʂʰ[7]吃尺赤斥叱
ʂ[7]十什拾实室食蚀石适释湿失
ʐ[7]日

#iʔ
p[7]逼鼻必弼碧壁璧滗
pʰ[7]劈霹癖僻辟
m[7]密蜜觅
t[7]滴嫡笛迪敌狄涤的跌
tʰ[7]踢剔惕
l[7]立粒笠溺沥力律栗慄溧
tɕ[7]急激及级极棘吉击
tɕʰ[7]泣乞
ɕ[7]吸隙
ts[7]积脊迹绩寂集疾即鲫籍辑
tsʰ[7]七漆膝戚辑
s[7]袭息熄媳悉昔夕惜锡席析
∅[7]一益溢邑揖逸亦奕译驿易{交~}液腋

#uʔ
p[7]不
pʰ[7]卜扑仆濮
m[7]木沐目穆睦
f[7]福幅蝠弗拂佛复腹馥覆服伏
t[7]督毒啄{~米}笃跺{~脚}
tʰ[7]秃突凸
l[7]禄碌绿鹿麓陆戮
k[7]谷骨
kʰ[7]哭酷窟
x[7]忽惑获或
ts[7]竹筑烛浊镯嘱祝啄逐粥轴妯卒足撮簇触
tsʰ[7]畜{~牲}促族猝
s[7]叔孰熟塾赎属术述俗束速肃宿粟续缩
ʐ[7]入褥浴欲育
∅[7]屋

#yʔ
l[7]率{效~}
tɕ[7]桔局菊掬鞠
tɕʰ[7]曲蛐屈
ɕ[7]蓄畜旭戌恤
∅[7]玉

#oʔ
p[7]八拔跋
m[7]抹
f[7]发伐筏阀罚乏法
t[7]搭答瘩达
tʰ[7]蹋榻沓踏塔獭
l[7]纳捺腊蜡辣
ts[7]闸炸{油~}眨铡扎札匝咂砸杂
tsʰ[7]插察擦

#ioʔ
tɕ[7]夹颊甲
tɕʰ[7]掐恰洽
ɕ[7]狭峡辖瞎匣
∅[7]鸭押压

#uoʔ
k[7]括刮
x[7]滑猾划
∅[7]挖袜

#ʊʔ
p[7]钵拨剥驳脖博搏箔薄帛
pʰ[7]泼瀑勃渤
m[7]末沫茉莫漠寞
t[7]夺铎
tʰ[7]脱托拓
l[7]诺洛落络烙虐疟略乐{快~}
k[7]割各阁搁鸽郭廓括
kʰ[7]瞌磕壳
x[7]豁霍鹤喝活合盒
tʂ[7]卓桌拙捉着酌爵嚼作凿觉昨脚角
tʂʰ[7]绰戳雀却鹊确
ʂ[7]说烁朔硕勺削学
ʐ[7]药约若钥弱岳乐{音~}
s[7]缩索
∅[7]恶噩鄂厄扼

#ieʔ
p[7]鳖憋蹩别瘪
pʰ[7]撇瞥
m[7]蔑篾灭
t[7]跌迭叠碟
tʰ[7]贴铁牒蝶谍
l[7]捏涅聂镊蹑列裂烈劣孽猎逆
tɕ[7]揭洁结劫杰竭给{供~}
ɕ[7]歇蝎胁协穴
ts[7]接节截睫捷
tsʰ[7]切窃妾 
∅[7]叶业页

#yeʔ
tɕ[7]决诀倔绝
tɕʰ[7]怯缺
ɕ[7]血雪蓄薛
∅[7]月曰越粤悦阅

#ɛʔ
p[7]北白柏伯百
pʰ[7]拍迫舶迫魄
m[7]麦脉陌墨默
t[7]得德
tʰ[7]特
k[7]格骼革隔
kʰ[7]克刻客
x[7]骇黑核吓
ts[7]折哲浙摘择泽责窄则仄贼
tsʰ[7]侧恻厕策册彻撤拆
s[7]舌设涩瑟塞啬穑色虱
∅[7]额

#uɛʔ
k[7]国
kʰ[7]阔
