汉字	音标	注释	
梳	sɔu¹²	动词	
梳	sɔu³⁰³⁵	名词	
蔬	sɔu¹²		
所	sɔu²⁴		
诸	tsʮ¹²		
煮	tsʮ²⁴		
处	tsʰʮ⁴⁴	~所	
书	sʮ¹²		
舒	sʮ¹²		
鼠	sʮ²⁴		
薯	sʮ²¹	红~，不符合古今语音演变的对应规律	
如	jʮ²¹		
居	kʮ¹²		
车	ki¹²	~马炮	
举	kʮ²⁴		
锯	ki⁴⁴	动词	
锯	ki³⁰³⁵	名词	
去	hɔe²¹	不符合古今语音演变的对应规律	
渠	kʰʮ²¹		
巨	kʰʮ²²		
距	kʰʮ⁴⁴		
鱼	ɡi²¹	~眼雪	
鱼	ɡi³⁰³⁵	鲤~	
语	jʮ⁴⁴		
虚	hi¹²		
许	hi²⁴		
余	jʮ²¹		
预	jʮ²²		
肤	fu¹²		
府	fu²⁴		
斧	fu²⁴		
傅	fu¹²	不符合古今语音演变的对应规律	
符	fu²¹		
扶	pʰu²¹	话音	
扶	fu²¹	字音	
腐	fu²²		
辅	fu²²		
附	fu²²		
无	bu²¹		
舞	bu²⁴	~龙	
舞	bu⁴⁴	跳~	
武	bu⁴⁴		
务	bu²²		
雾	bu²²		
屡	lɔe⁴⁴	不符合古今语音演变的对应规律	
取	tsʰɔe²⁴		
娶	tsʰɔe²⁴		
趣	tsʰɔe⁴⁴		
聚	tsʰɔe²²		
须	sɔe¹²	胡~	
需	sɔe¹²		
株	tsʮ¹²		
驻	tsʮ⁴⁴		
厨	tsʰʮ²¹		
柱	tsʰʮ⁴⁴		
住	tsʰʮ²²		
数	su³⁰³⁵	名词	
朱	tsʮ¹²		
珠	tsʮ¹²		
主	tsʮ²⁴		
注	tsʮ⁴⁴		
输	sʮ¹²		
殊	sʮ²¹		
竖	sʮ²²		
树	sʮ³⁰³⁵		
儒	jʮ²¹		
拘	kʰʮ¹²	不符合古今语音演变的对应规律	
句	kʮ⁴⁴		
区	kʰʮ¹²		
具	kʰʮ²²		
愚	jʮ²¹		
娱	jʮ²¹		
遇	jʮ²²		
雨	jʮ⁴⁴		
羽	jʮ²²		
芋	jʮ²²		
愉	jʮ²²	不符合古今语音演变的对应规律	
裕	jʮ²²		
戴	tuə⁴⁴		
胎	tʰui¹²		
态	tʰuə⁴⁴		
贷	tʰui⁴⁴		
台	tʰui²¹		
待	tʰui²²		
代	tʰui²²		
袋	tʰui²²		
耐	lui²²		
来	lɛ²¹	不符合古今语音演变的对应规律	
灾	tsui¹²		
栽	tsui¹²		
宰	tsui²⁴		
再	tsui⁴⁴		
彩	tsʰui²⁴		
菜	tsʰui⁴⁴	青~	
菜	tsʰui³⁰³⁵	韭~	
财	tsʰui²¹		
裁	tsʰui²¹		
在	tsʰui²²		
鳃	sɔe¹²	不符合古今语音演变的对应规律	
赛	tsʰɔe⁴⁴	不符合古今语音演变的对应规律	
该	kui¹²		
改	kui²⁴		
概	kʰui⁴⁴	不符合古今语音演变的对应规律	
开	hui¹²		
碍	ɡui²²		
海	hui²⁴		
亥	hui²²		
哀	ui¹²		
爱	ui⁴⁴		
贝	pui⁴⁴		
带	tuə⁴⁴	动词	
带	tuə³⁰³⁵	名词	
太	tʰuə⁴⁴		
泰	tʰuə⁴⁴		
大	tʰuə²²	~夫	
赖	luə²²		
蔡	tsʰui⁴⁴		
盖	kui⁴⁴	动词	
盖	kui³⁰³⁵	名词	
艾	ɡui²²	不符合古今语音演变的对应规律	
害	hui²²		
拜	puə⁴⁴		
排	pʰuə²¹		
埋	buə²¹		
斋	tsuə¹²		
豺	tsʰuə²¹		
阶	kuə¹²		
介	kuə⁴⁴		
界	kuə⁴⁴		
戒	kuə⁴⁴		
楷	kuə²⁴	不符合古今语音演变的对应规律	
械	huə²²		
挨	ɛ¹²	~着	
摆	puə²⁴		
派	pʰuə⁴⁴		
牌	pʰuə³⁰³⁵		
稗	pʰɛ²²		
买	buə⁴⁴		
卖	buə²²		
奶	liɛ³⁰³⁵	不符合古今语音演变的对应规律	
债	tsuə⁴⁴		
差	tsʰuə¹²	出~	
柴	tsʰuə²¹		
筛	sɔe¹²	动词，不符合古今语音演变的对应规律	
筛	sɔe³⁰³⁵	名词，不符合古今语音演变的对应规律	
洒	sa²⁴		
晒	suə⁴⁴		
佳	kuə¹²		
街	kuə¹²		
解	kuə²⁴		
鞋	huə²¹	~垫	
鞋	huə³⁰³⁵		
蟹	huə²⁴	不符合古今语音演变的对应规律	
矮	uə²⁴		
败	pʰuə²²		
寨	tsʰuə²²		
币	pʰai²²		
毙	pai²²	不符合古今语音演变的对应规律	
例	lai²²		
际	tsai⁴⁴		
祭	tsai⁴⁴		
制	tsai⁴⁴		
世	sɿ⁴⁴		
势	sɛ⁴⁴		
誓	sɿ²²		
艺	ɡɛi²²		
闭	pai⁴⁴		
批	pʰɛ¹²		
迷	bai²¹		
米	bɛ⁴⁴		
低	tɛ¹²		
堤	tʰɛ²¹	不符合古今语音演变的对应规律	
底	tɛ²⁴	~下	
底	tɛ³⁰³⁵	背~	
帝	tai⁴⁴		
梯	tʰɛ¹²		
体	tʰɛ²⁴		
替	tʰɛ⁴⁴		
剃	tʰɛ⁴⁴		
题	tʰɛ²¹		
提	tʰɛ²¹		
弟	tʰai²²	兄~	
弟	tʰai³⁰³⁵	徒~	
第	tʰai²²		
泥	lɛ²¹		
犁	lɛ²¹		
礼	lai⁴⁴		
丽	lai²²		
挤	tsai¹²	不符合古今语音演变的对应规律	
济	tsai⁴⁴		
妻	tsʰai¹²		
齐	tsʰɛ²¹		
脐	tsʰai³⁰³⁵		
西	sɛ¹²	~瓜	
西	sɛ³⁰³⁵	东~	
洗	sɛ²⁴		
细	sɛ⁴⁴		
鸡	kɛi¹²		
鸡	kɛi³⁰³⁵	灶~	
计	kɛi⁴⁴		
继	kɛi⁴⁴		
启	kʰɛi²⁴		
系	hɛ²²	~统	
杯	pui¹²		
背	pai⁴⁴	~底	
背	pui⁴⁴	岭~	
背	pui³⁰³⁵	瓦~	
配	pʰui⁴⁴		
陪	pʰui²¹		
赔	pʰui²¹		
倍	pʰui³⁰³⁵		
背	pʰui²²	~诵	
佩	pʰui⁴⁴	不符合古今语音演变的对应规律	
梅	bui²¹		
煤	bui²¹		
妹	bui²²	~夫	
妹	bui³⁰³⁵	~妹	
堆	tɔe¹²		
对	tɔe⁴⁴	形容词	
对	tɔe³⁰³⁵	名词	
推	tʰɔe¹²		
腿	tʰɔe²⁴		
退	tʰɔe⁴⁴		
队	tɔe³⁰³⁵		
内	lɔe²²		
雷	lɔe²¹		
累	lɔe²²	劳~	
催	tsʰɔe¹²		
罪	tsʰɔe²²		
碎	sɔe⁴⁴		
碎	sɔe³⁰³⁵	饼~	
恢	fui¹²		
灰	fui¹²		
悔	fai⁴⁴	不符合古今语音演变的对应规律	
回	fai²¹		
汇	fai²²		
兑	tɔe⁴⁴	不符合古今语音演变的对应规律	
最	tsui⁴⁴		
会	fai²²	~计，不符合古今语音演变的对应规律	
外	ɡui²²		
会	fai²²	~议	
会	vui²²	不~	
乖	kuə¹²		
怪	kuə⁴⁴		
块	kʰuə²⁴	不符合古今语音演变的对应规律	
怀	və²¹		
坏	fuə²²		
拐	kuə²⁴		
挂	kua⁴⁴		
歪	və¹²		
画	və²¹	动词，不符合古今语音演变的对应规律	
画	va³⁰³⁵	名词	
快	kʰuə⁴⁴		
筷	kʰuə⁴⁴		
话	va²²	动词	
话	va³⁰³⁵	名词	
脆	tsʰɔe⁴⁴		
岁	sɔe⁴⁴		
岁	sɔe³⁰³⁵		
税	sɔe⁴⁴		
卫	vai²²		
废	fai⁴⁴		
肺	fai⁴⁴		
桂	kuai⁴⁴		
惠	vai²²		
慧	vai²²		
碑	pai¹²		
彼	pai²⁴		
披	pʰai¹²		
皮	pʰai²¹		
皮	pʰai³⁰³⁵	谷~	
脾	pʰai²¹		
被	pʰai⁴⁴	~子	
避	pʰai²²		
弥	bai²¹	~补	
离	lai²¹		
篱	lai²¹		
篱	lai³⁰³⁵	笊~	
荔	lai²²		
紫	tsɿ²⁴		
此	tsʰɿ²⁴		
刺	tsʰɿ⁴⁴		
斯	sɿ¹²		
赐	tsʰɿ⁴⁴	不符合古今语音演变的对应规律	
知	tai¹²		
智	tsɿ⁴⁴		
池	tsʰɿ²¹		
支	tsɿ¹²		
枝	tsɿ¹²		
纸	tsɿ²⁴		
只	tsɿ²⁴	~有	
舐	sɛ⁴⁴	舔	
施	sɿ¹²		
是	sɿ²²		
氏	sɿ²²		
儿	jɿ²¹		
寄	ki⁴⁴		
企	kʰi⁴⁴	~业，不符合古今语音演变的对应规律	
奇	kʰi²¹		
骑	kʰi²¹		
技	kʰi²²		
徛	kʰi⁴⁴	站立	
宜	ɡi²¹		
蚁	ɡi²⁴		
义	ɡi²²		
议	ɡi⁴⁴	不符合古今语音演变的对应规律	
牺	hi¹²		
戏	hi⁴⁴		
椅	jɿ²⁴		
移	jɿ²¹		
易	jɿ²²	难~	
悲	pai¹²		
比	pai²⁴		
秘	pai⁴⁴	~书	
屁	pʰai⁴⁴		
备	pʰai²²		
鼻	pʰai²²		
眉	bai²¹		
美	bai⁴⁴		
地	tʰai²²		
尼	lɛ²¹	不符合古今语音演变的对应规律	
梨	lai²⁴	字音	
梨	lai³⁰³⁵	话音	
利	lai²²		
资	tsɿ¹²		
次	tsʰɿ⁴⁴		
瓷	tsʰɿ²¹		
餈	tsʰai³⁰³⁵	~巴	
自	sɿ²²	不符合古今语音演变的对应规律	
私	sɿ¹²		
死	sai²⁴		
四	sɿ⁴⁴		
致	tsɿ⁴⁴		
迟	tsʰɿ²¹		
师	sɿ¹²		
脂	tsɿ¹²		
指	tsɿ²⁴		
指	tsɿ³⁰³⁵	手~	
至	tsɿ⁴⁴		
示	sɿ²²		
尸	sɿ¹²		
屎	sɿ²⁴		
视	sɿ²²		
二	ɡi²²		
饥	ki¹²		
器	hi⁴⁴		
夷	jɿ²¹		
姨	jɿ²¹	~丈	
姨	jɿ³⁰³⁵	大~	
你	lai⁴⁴		
李	lai⁴⁴	姓氏	
李	lai²⁴	水果	
里	lai⁴⁴		
里	lai³⁰³⁵	~子	
理	lai⁴⁴		
子	tsɿ²⁴		
子	tsɿ³⁰³⁵	葡萄~	
慈	tsʰɿ²¹		
字	sɿ³⁰³⁵	不符合古今语音演变的对应规律	
司	sɿ¹²		
思	sɿ¹²		
辞	tsʰɿ²¹		
祠	tsʰɿ²¹		
寺	sɿ²²		
饲	tsʰɿ²¹	不符合古今语音演变的对应规律	
置	tsɿ⁴⁴		
耻	tsʰɿ²⁴		
持	tsʰɿ²¹		
痔	tsɿ⁴⁴	不符合古今语音演变的对应规律	
治	tsʰɿ²²		
士	sɿ²²		
柿	sɿ²²		
事	sɿ²²		
使	sɿ²⁴		
史	sɿ²⁴		
之	tsɿ¹²		
止	tsɿ²⁴		
志	tsɿ⁴⁴		
痣	tsɿ⁴⁴		
齿	tsʰɿ²⁴		
诗	sɿ¹²		
始	tsʰɿ²⁴	不符合古今语音演变的对应规律	
试	sɿ⁴⁴		
时	sɿ²¹		
市	sɿ²²		
耳	ɡi⁴⁴		
基	ki¹²		
己	ki²⁴		
记	ki⁴⁴		
欺	hi¹²		
起	hi²⁴		
其	kʰi²¹		
棋	kʰi³⁰³⁵		
旗	kʰi²¹		
疑	jɿ²¹		
喜	hi²⁴		
医	jɿ¹²		
意	jɿ⁴⁴		
以	jɿ²⁴		
异	jɿ²²		
机	ki¹²		
几	ki²⁴	~个	
气	hi⁴⁴		
汽	hi⁴⁴		
毅	ɡɛi²²	不符合古今语音演变的对应规律	
希	hi¹²		
衣	jɿ¹²		
依	jɿ¹²		
累	lɔe²²	积~，不符合古今语音演变的对应规律	
嘴	tsɔe²⁴		
随	tsʰɔe²¹		
吹	tsʰɔe¹²		
炊	tsʰɔe¹²		
垂	sɔe²¹		
瑞	sɔe²²	祥~	
规	kʰuai¹²	不符合古今语音演变的对应规律	
亏	kʰuai¹²		
跪	kʰuai²²		
危	ɡuai²¹		
毁	vai²⁴		
委	vai²⁴		
为	vai²¹	作~	
为	vai²²	~了	
类	lɔe²²		
泪	lɔe³⁰³⁵		
醉	tsɔe⁴⁴		
虽	sɔe¹²		
隧	sɔe²²		
追	tsɔe¹²		
锤	tsʰɔe²¹	动词	
锤	tsʰɔe³⁰³⁵	名词	
衰	sɔe¹²		
帅	sɔe⁴⁴		
水	sɔe²⁴		
水	sɔe⁴⁴	下~，不符合古今语音演变的对应规律	
龟	kuai¹²		
轨	kuai²⁴		
季	kuai⁴⁴		
葵	kʰuai²¹		
柜	kʰuai²²		
位	vai³⁰³⁵		
唯	vai²¹	不符合古今语音演变的对应规律	
遗	vai²¹	不符合古今语音演变的对应规律	
非	fai¹²		
飞	fai¹²		
匪	fai²⁴		
费	fai⁴⁴		
肥	fai²¹		
微	bai²¹		
尾	bai²¹	狗~粟	
尾	bai³⁰³⁵		
未	bai²²		
味	bai²²		
归	kuai¹²		
鬼	kuai²⁴		
贵	kuai⁴⁴		
魏	ɡɛi²²	不符合古今语音演变的对应规律	
挥	fai¹²		
威	vai¹²		
慰	vai²⁴	不符合古今语音演变的对应规律	
违	vai²¹		
围	vai²¹		
伟	vai²⁴		
胃	vai²²		
谓	vai²²		
保	pau²⁴		
宝	pau²⁴		
报	pau⁴⁴		
袍	pʰau²¹		
抱	pʰau⁴⁴		
暴	pau⁴⁴	不符合古今语音演变的对应规律	
菢	pʰau²²	孵	
毛	bau²¹		
毛	bau³⁰³⁵	松~	
冒	bau²²		
帽	bau³⁰³⁵		
刀	tau³⁰³⁵		
岛	tau²⁴		
到	tau⁴⁴		
倒	tau²⁴	~水，不符合古今语音演变的对应规律	
讨	tʰau²⁴		
套	tʰau⁴⁴		
桃	tʰau²¹	~花	
桃	tʰau³⁰³⁵		
逃	tʰu²¹	不符合古今语音演变的对应规律	
陶	tʰau²¹		
道	tʰau²²		
稻	tʰau²²		
导	tʰau²²		
脑	lau⁴⁴	~门	
脑	lau³⁰³⁵		
劳	lau²¹		
牢	lu²¹	不符合古今语音演变的对应规律	
老	lau⁴⁴		
老	lau²⁴		
捞	lau²¹		
糟	tsau¹²		
早	tsau²⁴		
枣	tsau³⁰³⁵		
灶	tsau⁴⁴		
操	tsʰau¹²	体~	
草	tsʰau²⁴		
曹	tsʰau²¹		
皂	tsʰau⁴⁴		
造	tsʰau²²		
臊	sau¹²	~气	
扫	sau⁴⁴	~地，不符合古今语音演变的对应规律	
嫂	sau²⁴		
扫	sau⁴⁴	~帚	
扫	sau³⁰³⁵	芒杆~	
高	kau¹²		
高	kau³⁰³⁵	面~	
糕	kau¹²		
稿	kau²⁴		
告	kau⁴⁴		
考	kʰau²⁴		
靠	kʰau⁴⁴		
熬	ɡau²¹		
蒿	hau¹²		
好	hau²⁴	~坏	
好	hau⁴⁴	喜~	
毫	hau²¹		
号	hau²²	~码	
袄	au²⁴		
奥	au⁴⁴		
包	pau¹²		
饱	pau²⁴		
豹	pʰau⁴⁴	不符合古今语音演变的对应规律	
爆	pau⁴⁴		
泡	pʰau³⁰³⁵		
炮	pʰau⁴⁴		
跑	pʰau²⁴	不符合古今语音演变的对应规律	
猫	bau²¹		
猫	bau³⁰³⁵	~头鹰	
貌	bau²²		
闹	lau²²		
罩	tsau⁴⁴	动词	
罩	tsau³⁰³⁵	名词	
爪	tsau²⁴	~子	
抄	tsʰau¹²		
炒	tsʰau²⁴		
吵	tsʰau²¹	不符合古今语音演变的对应规律	
巢	tsʰau²¹		
稍	sau¹²	不符合古今语音演变的对应规律	
交	kau¹²		
胶	kau¹²	~布	
搅	kau²⁴		
搞	kau²⁴		
教	kau⁴⁴	~育	
觉	kau⁴⁴	睡~	
巧	kʰau²⁴		
咬	ɡau⁴⁴		
孝	hau⁴⁴		
效	hau²²		
校	hau²²	学~	
标	piu¹²		
表	piu¹²	手~，不符合古今语音演变的对应规律	
表	piu²⁴	~格	
飘	pʰiu¹²		
票	pʰiu³⁰³⁵	车~	
薸	pʰiu³⁰³⁵	浮萍	
苗	biu²¹		
秒	biu²⁴		
庙	biu³⁰³⁵		
妙	biu²²		
疗	liu²¹	不符合古今语音演变的对应规律	
焦	tsiu¹²		
椒	tsiu³⁰³⁵		
噍	tsʰiu²²	嚼	
消	siu¹²		
小	siu²⁴		
笑	siu⁴⁴		
朝	tsiu¹²	今~	
超	tsʰiu¹²		
朝	tsʰiu²¹	~代	
潮	tsʰiu²¹		
赵	tsʰiu²²		
召	tsʰiu²²		
昭	tsiu¹²		
招	tsiu¹²		
照	tsiu⁴⁴		
烧	siu¹²		
少	siu²⁴	多~	
少	siu⁴⁴	~年	
绍	siu²²		
饶	jiu²¹		
骄	kiu¹²		
桥	kʰiu²¹		
轿	kʰiu³⁰³⁵		
嚣	hiu¹²		
妖	jiu¹²		
要	jiu¹²	~求	
要	jiu⁴⁴	重~	
摇	jiu²¹		
窑	jiu²¹		
舀	jiu²⁴		
耀	jiu²²		
鹞	jiu³⁰³⁵		
刁	tiu¹²		
鸟	tɔ²⁴	交合，不符合古今语音演变的对应规律	
鸟	tiu³⁰³⁵	动物	
钓	tiu⁴⁴		
挑	tʰiu¹²		
跳	tʰiu⁴⁴		
粜	tʰiu⁴⁴	卖出	
条	tʰiu²¹		
条	tʰiu²⁴	雪~，不符合古今语音演变的对应规律	
调	tʰiu²²	~动	
尿	liu²²		
聊	liu²¹		
了	liu⁴⁴	~解	
料	liu²²		
料	liu³⁰³⁵	肥~	
萧	siu¹²		
缴	kiu²⁴		
叫	kiu⁴⁴		
尧	jiu²¹		
晓	hiu²⁴		
某	bɔ⁴⁴		
亩	bɔ⁴⁴		
牡	bɔ⁴⁴		
母	bu⁴⁴		
贸	bɔ²²		
兜	tɔ¹²		
斗	tɔ²⁴		
斗	tɔ³⁰³⁵	跟~	
陡	tɔ²⁴		
斗	tɔ⁴⁴	~争	
偷	tʰɔ¹²		
敨	tʰɔ²⁴		
透	tʰɔ⁴⁴		
头	tʰɔ²¹		
头	tʰɔ³⁰³⁵	热~	
豆	tʰɔ²²	~角	
豆	tʰɔ³⁰³⁵	黄~	
逗	tʰɔ²²		
楼	lɔ²¹		
漏	lɔ²²		
走	tsɔ²⁴		
奏	tsɔ⁴⁴		
凑	tsʰɔ⁴⁴		
勾	kɔ¹²		
钩	ɡɔ¹²	动词，不符合古今语音演变的对应规律	
钩	ɡɔ³⁰³⁵	名词，不符合古今语音演变的对应规律	
沟	kɔ¹²		
狗	kɔ²⁴		
够	kɔ⁴⁴		
构	kʰɔ⁴⁴	不符合古今语音演变的对应规律	
口	hɔ²⁴		
扣	kʰɔ⁴⁴		
藕	ɡɔ⁴⁴		
偶	ɡɔ⁴⁴	配~	
侯	hɔ²¹		
喉	hɔ²¹		
猴	hɔ³⁰³⁵		
后	hɔ⁴⁴	~年	
后	hɔ²²	~世	
厚	hɔ⁴⁴		
候	hɔ³⁰³⁵		
欧	ɡɔ¹²	不符合古今语音演变的对应规律	
呕	ɔ²⁴		
沤	ɔ⁴⁴	~肥	
否	fɔ²⁴		
富	fu⁴⁴		
副	fu⁴⁴		
浮	fɔ²¹		
妇	fu⁴⁴	~女	
妇	pu³⁰³⁵	新~，不符合古今语音演变的对应规律	
负	fu²²		
谋	bɔ²¹		
矛	bau²¹		
纽	liu²⁴		
流	liu²¹		
刘	liu²¹		
留	liu²¹		
柳	liu³⁰³⁵		
酒	tsiu²⁴		
秋	tsʰiu¹²		
就	tsʰiu²²		
修	siu¹²		
秀	siu⁴⁴		
绣	siu⁴⁴		
袖	tsʰiu²²		
昼	tsɔ⁴⁴	~夜	
昼	tiu³⁰³⁵	上~	
抽	tsʰiu¹²		
丑	tsʰiu²⁴		
绸	tsʰiu²¹		
宙	tsʰiu²²		
邹	tsɔ¹²		
皱	tsɔ⁴⁴		
愁	tsʰɔ²¹		
搜	sɔ¹²		
馊	sɔ¹²		
瘦	sɔ⁴⁴		
周	tsiu¹²		
州	tsiu¹²		
咒	tsiu⁴⁴		
臭	tsʰiu⁴⁴		
收	siu¹²		
手	siu²⁴		
守	siu²⁴		
兽	tsʰiu⁴⁴	不符合古今语音演变的对应规律	
仇	siu²¹	报~	
受	siu²²		
寿	siu²²		
售	tsʰiu²¹	不符合古今语音演变的对应规律	
柔	jiu²¹		
阄	kiu³⁰³⁵	掂~	
九	kiu²⁴		
久	kiu²⁴		
救	kiu⁴⁴		
丘	kʰiu¹²		
求	kʰiu²¹		
球	kʰiu²¹		
舅	kʰiu⁴⁴	~娘	
舅	kʰiu³⁰³⁵	~仔	
旧	kʰiu²²		
牛	ɡiu²¹		
休	jiu¹²	不符合古今语音演变的对应规律	
优	jiu¹²		
尤	jiu²¹		
邮	jiu²¹		
有	jiu⁴⁴		
友	jiu³⁰³⁵		
又	jiu²²		
右	jiu²²		
由	jiu²¹		
油	jiu²¹		
酉	jiu⁴⁴		
柚	jiu³⁰³⁵		
彪	piu¹²		
谬	biu²²		
幼	jiu⁴⁴		
耽	tuə¹²		
答	tuə⁵		
搭	tuə⁵		
贪	tʰuə¹²		
探	tʰuə⁴⁴	~亲	
踏	tʰuə³	不符合古今语音演变的对应规律	
潭	tʰuə²¹		
南	luə²¹		
男	luə²¹		
纳	luə³		
参	tsʰuə¹²	~加	
惨	tsʰuə²⁴		
蚕	tsʰuə²¹		
杂	tsʰuə³		
感	kuə²⁴		
