				#调值	[1]24 [2]434 [3]44 [4]223 [5]52 [6]231 [7]5 [8]23
階	阶	ka24			
介	介	ka52			
界	界	ka52			
芥	芥	ka52			
屆	届	ka52			
戒	戒	ka52			
械	械	a231			
擺	摆	pa44			
派	派	pʰa52			
牌	牌	ba231			
買	买	ma223			
賣	卖	ma231			
奶	奶	ma223			
齋	斋	tsa24			
債	债	tsa52			
釵	钗	ʦʰa24			
差	差	ʦʰa24	出差		
柴	柴	sa434			
灑	洒	sa44			
曬	晒	sa52			
銜	衔	ka24			
解	解	ka44			
鞋	鞋	a434			
蟹	蟹	xa44			
矮	矮	a44			
敗	败	ba231			
寨	寨	za231			
蔽	蔽	pi52			
弊	弊	bi231			
幣	币	bi231			
斃	毙	bi231			
例	例	li231			
厲	厉	li231			
祭	祭	tsɿ52			
際	际	tsɿ52			
制	制	tsɿ52			
世	世	sɿ52			
勢	势	sɿ52			
誓	誓	zɿ231			
藝	艺	ȵi231			
閉	闭	pi52			
批	批	pʰi24			
米	米	mi223			
謎	谜	mi434			
低	低	ti24			
堤	堤	ti434			
底	底	ti44			
抵	抵	ti44			
帝	帝	ti52			
梯	梯	tʰe24			
體	体	tʰi44			
替	替	tʰi52			
涕	涕	tʰi52			
剃	剃	tʰi52			
屜	屉	tʰi52			
題	题	ti434			
提	提	ti434			
蹄	蹄	ti434			
弟	弟	di223			
第	第	di231			
遞	递	di231			
泥	泥	ȵi434			
犁	犁	li434			
禮	礼	li223			
麗	丽	li231			
隸	隶	di231			
砌	砌	ʦʰɿ52			
齊	齐	sɿ434			
臍	脐	sɿ434			
薺	荠	sɿ434			
西	西	sɿ24			
洗	洗	sɿ44			
細	细	sɿ52			
婿	婿	sɿ52			
雞	鸡	tsɿ24			
稽	稽	tsɿ24			
計	计	tsɿ52	會計		
溪	溪	ʦʰɿ24			
啟	启	ʦʰɿ44			
系	系	i52			
杯	杯	pe24			
輩	辈	pe52			
背	背	pe24	動詞		
配	配	pʰe52			
培	培	pe434			
陪	陪	pe434			
賠	赔	pe434			
倍	倍	be223			
背	背	pe52	名詞		
梅	梅	me434			
枚	枚	me434			
媒	媒	me434			
煤	煤	me434			
每	每	me223			
妹	妹	me231			
堆	堆	te24			
對	对	te52			
碓	碓	te52			
推	推	tʰe24			
腿	腿	tʰe44			
退	退	tʰe52			
隊	队	de231			
內	内	ne231			
雷	雷	le434			
㔣	㔣	le231			
催	催	ʦʰe24			
崔	崔	ʦʰe24			
罪	罪	ze223			
碎	碎	se52			
盔	盔	kʰue24			
恢	恢	xue24			
塊	块	kʰue52			
灰	灰	xue24			
悔	悔	xue44			
回	回	ue434			
茴	茴	ue434			
匯	汇	ue231			
彙	汇	ue231			
煨	煨	ue24			
最	最	tse52			
會	会	kue52	會計		
外	外	a231	外公		
外	外	ua231	外面		
會	会	ue231	開會		
會	会	ue231	不會		
繪	绘	ue231			
怪	怪	kua52			
懷	怀	kua434	懷裡		
懷	怀	ua434	懷錶		
壞	坏	ua231			
拐	拐	kua44			
掛	挂	ɡo231			
卦	卦	ko52			
歪	歪	ua24			
畫	画	o231			
蛙	蛙	o24			
快	快	kʰua52			
話	话	o231			
脆	脆	tsxe52			
歲	岁	ɕy52			
稅	税	ɕy52			
衛	卫	ue231			
廢	废	fi52			
肺	肺	fi52			
吠	吠	bi231			
桂	桂	kue52			
惠	惠	ue231			
慧	慧	ue231			
碑	碑	pe24			
臂	臂	piəʔ5			
披	披	pʰi24			
皮	皮	pi434			
脾	脾	pi434			
被	被	bi223			
避	避	bi231			
離	离	li434			
籬	篱	li434			
璃	璃	li434			
荔	荔	li231			
紫	紫	tsɿ44			
雌	雌	ʦʰɿ24			
此	此	ʦʰɿ44			
刺	刺	ʦʰɿ52			
斯	斯	sɿ24			
知	知	tsɿ24			
蜘	蜘	ti24			
篩	筛	sɿ23			
支	支	tsɿ24			
枝	枝	tsɿ24			
梔	栀	tsɿ24			
紙	纸	tsɿ44			
施	施	sɿ23			
匙	匙	sɿ434			
是	是	dzɿ223			
兒	儿	ŋ434			
寄	寄	tsɿ52			
企	企	ʦʰɿ44			
奇	奇	tsɿ434			
騎	骑	ɡe223			
徛	徛	dzɿ231			
技	技	i231			
宜	宜	i231			
蟻	蚁	ȵi223			
義	义	ȵi231			
議	议	ȵi231			
犧	牺	sɿ24			
戲	戏	sɿ52			
椅	椅	y44			
移	移	i434			
易	易	i231			
悲	悲	pe24			
比	比	pi44			
庇	庇	pʰi52			
痹	痹	pi52			
屁	屁	pʰi52			
枇	枇	pi434			
備	备	bi231			
鼻	鼻	biəʔ23			
篦	篦	bi231			
眉	眉	mi434			
美	美	me223			
地	地	di231			
尼	尼	ȵi434			
膩	腻	ȵi231			
梨	梨	li434			
利	利	li231			
資	资	tsɿ24			
姊	姊	tsɿ44			
次	次	ʦʰɿ52			
瓷	瓷	sɿ434			
自	自	zɿ231			
私	私	sɿ24			
死	死	sɿ44			
四	四	sɿ52			
遲	迟	tsɿ434			
師	师	sɿ24			
獅	狮	sɿ24			
脂	脂	tsɿ24			
旨	旨	tsɿ44			
指	指	tsɿ44			
至	至	tsɿ52			
示	示	zɿ231			
尸	尸	sɿ24			
視	视	zɿ231			
二	二	ȵi231			
飢	饥	tsɿ24			
肌	肌	tsɿ24			
几	几	tsɿ24	茶几		
器	器	ʦʰɿ52			
姨	姨	i223			
肄	肄	i434			
你	你	ŋ223			
李	李	li223			
里	里	li223	一~		
裏	里	li223	裏外		
理	理	li223			
鯉	鲤	li223			
子	子	tsɿ44			
磁	磁	sɿ434			
字	字	zɿ231			
司	司	sɿ24			
絲	丝	sɿ24			
思	思	sɿ24			
詞	词	sɿ434			
祠	祠	sɿ434			
寺	寺	zɿ231			
癡	痴	ʦʰɿ24			
持	持	tsɿ434			
痔	痔	dzɿ223			
治	治	dzɿ231			
廁	厕	ʦʰəʔ5			
士	士	zɿ223			
仕	仕	zɿ223			
柿	柿	zɿ223			
事	事	zɿ231			
使	使	sɿ44			
史	史	sɿ44			
駛	驶	sɿ44			
之	之	tsɿ24			
芝	芝	tsɿ24			
止	止	tsɿ44			
址	址	tsɿ44			
志	志	tsɿ52			
痣	痣	tsɿ52			
齒	齿	ʦʰɿ44			
詩	诗	sɿ24			
始	始	sɿ44			
試	试	sɿ52			
時	时	sɿ434			
市	市	zɿ223			
耳	耳	ŋ223			
基	基	tsɿ24			
萁	萁	i24			
箕	箕	i24			
己	己	tsɿ44			
紀	纪	tsɿ52			
記	记	tsɿ52			
欺	欺	ʦʰɿ24			
起	起	ʦʰɿ44			
其	其	tsɿ434			
棋	棋	tsɿ434			
期	期	tsɿ434			
旗	旗	tsɿ434			
疑	疑	ȵi434			
嬉	嬉	sɿ24			
熙	熙	sɿ24			
喜	喜	sɿ44			
蟢	蟢	sɿ44			
醫	医	i24			
意	意	i52			
已	已	i223			
以	以	i223			
機	机	tsɿ24			
饑	饥	tsɿ24	饑荒		
幾	几	ke44	幾個		
氣	气	ʦʰɿ52			
汽	汽	ʦʰɿ52			
毅	毅	ȵi231			
希	希	sɿ24			
稀	稀	sɿ24			
衣	衣	i24			
衣	衣	i24			
依	依	i24			
纍	累	le223	積累		
纍	累	le231	連累		
嘴	嘴	ʨy44			
髓	髓	sɿ44			
隨	随	ɕy434			
吹	吹	ʨʰy24			
炊	炊	ʨʰy24			
垂	垂	sue434			
規	规	kue24			
虧	亏	kʰue24			
跪	跪	ʥy223			
危	危	ue434			
委	委	ue44			
為	为	ue231	為啥		
類	类	le231			
淚	泪	li231			
醉	醉	ʨy52			
翠	翠	ʦʰe52			
雖	虽	se24			
遂	遂	ʑy231			
追	追	tse24			
槌	槌	ʨy434			
錘	锤	ʨy434			
帥	帅	sa52			
水	水	ɕy44	文		
龜	龟	kue24			
軌	轨	kue44			
季	季	tsɿ52			
葵	葵	kue434			
櫃	柜	ʥy231			
位	位	ue231			
維	维	ue434			
唯	唯	ue434			
非	非	fi24			
飛	飞	fi24			
匪	匪	fi44			
榧	榧	fi44			
疿	疿	fi52			
沸	沸	fi52			
費	费	fi52			
肥	肥	pi434	肥肉		
肥	肥	fi434	肥料		
微	微	mi434			
尾	尾	mi223			
未	未	mi231			
味	味	mi231			
歸	归	kue24			
鬼	鬼	kue44			
貴	贵	ʨy52	東西貴		
貴	贵	kue52	貴姓		
魏	魏	ue231			
揮	挥	xue24			
輝	辉	xue24	人名		
輝	辉	xue24	讀字音		
徽	徽	xue24			
威	威	ue24			
慰	慰	ue52			
違	违	ue434			
圍	围	ue434			
偉	伟	ue223			
胃	胃	ue231			
謂	谓	ue231			
保	保	pɔ44			
堡	堡	pɔ44			
寶	宝	pɔ44			
報	报	pɔ52			
袍	袍	pɔ434			
抱	抱	bɔ223			
暴	暴	bɔ231			
毛	毛	mɔ434			
冒	冒	mɔ231			
帽	帽	mɔ231			
刀	刀	tɤɯ24			
島	岛	tɤɯ44			
倒	倒	tɤɯ44	打倒		
到	到	tɤɯ52			
倒	倒	tɤɯ52	倒車		
討	讨	tʰɔ44			
套	套	tʰɔ52			
桃	桃	tɔ434			
逃	逃	tɔ434			
陶	陶	tɔ434			
萄	萄	tɔ434			
道	道	dɔ223			
稻	稻	dɔ223			
盜	盗	dɔ231			
導	导	dɔ231			
腦	脑	nɔ223			
勞	劳	lɔ434			
撈	捞	lɔ24			
牢	牢	lɔ434			
老	老	lɔ223			
糟	糟	tsɔ24			
早	早	tsɔ44			
棗	枣	tsɔ44			
蚤	蚤	tsɔ44			
竈	灶	tsɔ52			
操	操	ʦʰɔ24			
草	草	ʦʰɔ44			
糙	糙	ʦʰɔ52			
曹	曹	sɔ434			
槽	槽	sɔ434			
皂	皂	zɔ223			
造	造	zɔ223			
騷	骚	sɔ24			
臊	臊	sɔ24			
掃	扫	sɔ44			
嫂	嫂	sɔ44			
燥	燥	sɔ52			
高	高	kɤɯ24			
膏	膏	kɔ24			
糕	糕	kɤɯ24			
稿	稿	kɔ44			
告	告	kɔ52			
考	考	kʰɔ44			
烤	烤	kʰɔ44			
靠	靠	kʰɤɯ52			
熬	熬	ŋɔ434			
傲	傲	ŋɔ231			
好	好	xɤɯ44			
毫	毫	ɔ434			
號	号	ɔ231			
襖	袄	ɤɯ44	棉襖		
奧	奥	ɔ52			
包	包	pɔ24			
胞	胞	pɔ24			
飽	饱	pɔ44			
豹	豹	pɔ52			
爆	爆	pɔ52			
枹	枹	pʰɔ24			
拋	抛	pʰɔ24			
炮	炮	pʰɔ52			
泡	泡	pʰɔ52			
跑	跑	pʰɔ44			
鉋	刨	bɔ231			
匏	匏	pu434			
茅	茅	mɔ434			
貓	猫	mɔ434	虎		
貌	貌	mɔ231			
鬧	闹	nɔ231			
罩	罩	tsɔ52			
抓	抓	tsɔ24			
爪	爪	tsɔ44			
找	找	tsɔ44			
笊	笊	tsɔ52			
抄	抄	ʦʰɔ24			
鈔	钞	ʦʰɔ24			
炒	炒	ʦʰɔ44			
吵	吵	ʦʰɔ44			
巢	巢	sɔ434			
稍	稍	sɔ24			
交	交	kɔ24			
郊	郊	kɔ24			
膠	胶	kɔ24			
絞	绞	kɔ44			
鉸	铰	kɔ44			
搞	搞	kɔ44			
教	教	kɔ52			
校	校	kɔ52	校對		
較	较	kɔ52			
敲	敲	kʰɔ24			
巧	巧	kʰɔ44			
樂	乐	ŋɔ231	要		
孝	孝	xɔ52			
效	效	ɔ231			
標	标	piɔ24			
表	表	piɔ44			
飄	飘	pʰiɔ24			
票	票	pʰiɔ52			
漂	漂	pʰiɔ52			
瓢	瓢	piɔ434			
嫖	嫖	piɔ434			
薸	薸	piɔ434			
苗	苗	miɔ434			
描	描	miɔ434			
貓	猫	mɔ24			
秒	秒	miɔ223			
廟	庙	miɔ231			
妙	妙	miɔ231			
燎	燎	liɔ434			
療	疗	liɔ434			
焦	焦	ʨiɔ24			
蕉	蕉	ʨiɔ24			
椒	椒	ʨiɔ24			
𢄺	𢄺	ʨiɔ44			
鍬	锹	ʨʰiɔ24			
樵	樵	ʨiɔ434			
消	消	ɕiɔ24			
宵	宵	ɕiɔ24			
銷	销	ɕiɔ24			
小	小	ɕiɔ44			
笑	笑	ʨʰiɔ52			
鞘	鞘	ʨʰiɔ52			
朝	朝	ʨiɔ24	朝氣		
超	超	ʨʰiɔ24			
朝	朝	ʨiɔ434	朝代		
趙	赵	ʥiɔ223			
兆	兆	ʥiɔ223			
召	召	ʥiɔ231			
招	招	ʨiɔ24			
照	照	ʨiɔ52			
燒	烧	ɕiɔ24			
少	少	ɕiɔ44	多少		
少	少	ɕiɔ52	少年		
韶	韶	ɕiɔ434			
紹	绍	ʑiɔ223			
邵	邵	ʑiɔ231			
繞	绕	ȵiɔ231			
驕	骄	ʨiɔ24			
嬌	娇	ʨiɔ24			
僑	侨	ʨiɔ434			
橋	桥	ʨiɔ434			
轎	轿	ʥiɔ231			
妖	妖	iɔ24			
邀	邀	iɔ24			
腰	腰	iɔ24			
要	要	iɔ24	要求		
要	要	iɔ52	需要		
搖	摇	iɔ434			
謠	谣	iɔ434			
窯	窑	iɔ434			
姚	姚	iɔ434			
舀	舀	iɔ223			
鷂	鹞	iɔ231			
刁	刁	tiɔ24			
雕	雕	tiɔ24			
鳥	鸟	tiɔ44			
釣	钓	tiɔ52			
吊	吊	tiɔ52			
挑	挑	tʰiɔ52			
跳	跳	tʰiɔ24			
條	条	tiɔ434			
調	调	tiɔ434	調查		
調	调	diɔ231	音調		
尿	尿	sɿ24			
聊	聊	liɔ434			
遼	辽	liɔ434			
了	了	liɔ223			
瞭	瞭	liɔ434			
料	料	liɔ231			
蕭	萧	ɕiɔ24			
簫	箫	ɕiɔ24			
澆	浇	ʨiɔ24			
叫	叫	iɔ52			
曉	晓	ɕiɔ44			
某	某	mɤɯ223			
畝	亩	mɤɯ223			
牡	牡	mɤɯ223			
母	母	ŋ223			
拇	拇	mu223			
貿	贸	mɔ231			
兜	兜	tɤɯ24			
斗	斗	tɤɯ44	一斗		
抖	抖	tɤɯ44			
鬥	斗	tɤɯ52	鬥爭		
偷	偷	tʰɤɯ24			
敨	敨	tʰɤɯ44			
透	透	tʰɤɯ52			
頭	头	tʰɤɯ434			
投	投	tʰɤɯ434			
豆	豆	dɤɯ231			
樓	楼	lɤɯ434			
漏	漏	lɤɯ231			
走	走	tsɤɯ44			
湊	凑	ʦʰɤɯ52			
嗽	嗽	sɤɯ52			
勾	勾	kɤɯ24			
鉤	钩	kɤɯ24			
溝	沟	kɤɯ24			
狗	狗	kɤɯ44			
夠	够	kɤɯ52			
口	口	kʰɤɯ44			
口	口	kʰɤɯ44	戶口		
扣	扣	kʰɤɯ52			
藕	藕	ŋɤɯ223			
鱟	鲎	xɤɯ52			
喉	喉	ɤɯ434			
猴	猴	ɤɯ434			
後	后	ɤɯ223			
厚	厚	ɡɤɯ223			
后	后	ɤɯ223			
候	候	ɤɯ231			
歐	欧	ɤɯ24			
甌	瓯	ɤɯ24			
謳	讴	ɔ24	叫		
富	富	fu52			
副	副	fu52			
浮	浮	fu434			
婦	妇	vu223			
負	负	vu223			
伏	伏	bu231	孵		
矛	矛	mɔ434			
紐	纽	ȵiɯ223			
流	流	liɯ434			
劉	刘	liɯ434			
留	留	liɯ434			
榴	榴	liɯ434			
硫	硫	liɯ434			
柳	柳	liɯ223			
溜	溜	liɯ231			
廖	廖	liɔ231			
酒	酒	ʨiɯ44			
秋	秋	ʨʰiɯ24			
就	就	ʑiɯ231			
修	修	ɕiɯ24			
秀	秀	ɕiɯ52			
繡	绣	ɕiɯ52			
銹	锈	ɕiɯ52			
袖	袖	ʑiɯ231			
晝	昼	ʨiɯ52			
抽	抽	ʨʰiɯ24			
丑	丑	ʨʰiɯ44	時辰		
綢	绸	ʨiɯ434			
宙	宙	ʥiɯ231			
鄒	邹	tsɤɯ24			
皺	皱	tsɤɯ52			
縐	绉	tsɤɯ52			
愁	愁	sɤɯ434			
搜	搜	sɤɯ24			
餿	馊	sɤɯ24			
瘦	瘦	ɕiɯ52			
周	周	ʨiɯ24			
舟	舟	ʨiɯ24			
州	州	ʨiɯ24			
洲	洲	ʨiɯ24			
帚	帚	ʨiɯ44			
醜	丑	ʨʰiɯ44			
臭	臭	ʨʰiɯ52			
收	收	ɕiɯ24			
手	手	ɕiɯ44			
首	首	ɕiɯ44			
守	守	ɕiɯ44			
獸	兽	ɕiɯ52			
仇	仇	ʨiɯ434			
受	受	ʑiɯ223			
壽	寿	ʑiɯ231			
授	授	ʑiɯ231			
售	售	ʥiɯ231			
揉	揉	ȵyəʔ23			
鬮	阄	ʨiɯ24			
糾	纠	ʨiɯ24			
九	九	ʨiɯ44			
久	久	ʨiɯ44			
韭	韭	ʨiɯ44			
救	救	ʨiɯ53			
究	究	ʨiɯ52			
丘	丘	ʨʰiɯ24			
求	求	ʨiɯ434			
球	球	ʨiɯ434			
臼	臼	ʥiɯ223			
舅	舅	ʥiɯ223			
舊	旧	ʥiɯ231			
牛	牛	ȵiɯ434			
休	休	ɕiɯ24			
優	优	iɯ24			
郵	邮	iɯ223			
有	有	iɯ223			
友	友	iɯ223			
又	又	iɯ231			
右	右	iɯ231			
佑	佑	iɯ231			
祐	佑	iɯ231			
由	由	iɯ434			
油	油	iɯ434			
遊	游	iɯ434			
游	游	iɯ434			
柚	柚	iɯ231			
彪	彪	piɔ24			
丟	丢	tiɯ24			
幼	幼	iɯ52			
耽	耽	tɑ̃24			
答	答	təʔ5			
搭	搭	tɑʔ5			
貪	贪	tʰɤ24			
探	探	tʰɤ52			
踏	踏	dɑʔ23			
搨	搨	tʰəʔ5			
潭	潭	tɤ434			
譚	谭	tɤ434			
南	南	nɤ434			
男	男	tɤ434	男子人：男人		
男	男	nɤ434			
納	纳	nəʔ23			
拉	拉	la24			
簪	簪	tsɤ24			
參	参	ʦʰɤ24	參加		
蠶	蚕	sɤ434			
雜	杂	zəʔ23			
感	感	kɤ44			
鴿	鸽	kəʔ5			
坎	坎	kʰɤ52			
喝	喝	xɑʔ5			
含	含	kɑ̃434	動詞，含在嘴裡的動作		
含	含	ɤ434	含片		
合	合	əʔ23			
盒	盒	əʔ23			
庵	庵	ɤ24			
暗	暗	uɤ52			
擔	担	tɑ̃24	動詞		
膽	胆	tɑ̃44			
擔	担	tɑ̃52	名詞		
毯	毯	tʰɑ̃44			
塔	塔	tʰɑʔ5			
塌	塌	tʰɑʔ5			
遢	遢	tʰɑʔ5			
談	谈	tɑ̃434			
痰	痰	tɑ̃434			
淡	淡	dɑ̃223			
籃	篮	lɑ̃434			
藍	蓝	lɑ̃434			
臘	腊	lɑʔ23			
蠟	蜡	lɑʔ23			
鑞	镴	lɑʔ23			
邋	邋	lɑʔ23			
暫	暂	dzɑ̃231			
三	三	sɑ̃24			
甘	甘	kɤ24			
柑	柑	kɤ24			
敢	敢	kɤ44			
磕	磕	kʰəʔ5			
喊	喊	xɑ̃52			
札	札	tsɑʔ5			
賺	赚	dzɑ̃223			
站	站	dzɑ̃231			
斬	斩	tsɑ̃44			
