汉字	读音	注释			
陛	pɐi6	~下			
迷	mɐi2				
謎	mɐi2				
米	mɐi4				
揮	fɐi1				
輝	fɐi1				
廢	fɐi5				
肺	fɐi5				
費	fɐi5	~用			
吠	fɐi6				
低	tɐi1				
底	tɐi3				
帝	tɐi5				
弟	tɐi6				
第	tɐi6				
泥	lɐi2				
黎	lɐi2				
禮	lɐi4				
例	lɐi6				
勵	lɐi6				
麗	lɐi6				
荔	lɐi6				
雞	kɐi1				
計	kɐi5				
繼	kɐi5				
櫃	kɐi6				
溪	kʰɐi1				
規	kʰɐi1	斜體，~距			
葵	kʰɐi2	斜體			
啓	kʰɐi3				
契	kʰɐi5	~約			
危	ŋɐi2				
矮	ŋɐi3				
蟻	ŋɐi4				
芸	ŋɐi6				
僞	ŋɐi6				
魏	ŋɐi6				
梯	hɐi1	斜體			
堤	hɐi2	斜體			
題	hɐi2	斜體			
提	hɐi2	斜體			
踶	hɐi2	斜體			
啼	hɐi2	斜體			
奚	hɐi2	斜體			
體	hɐi3	斜體			
替	hɐi5	斜體			
涕	hɐi5	斜體			
剃	hɐi5	斜體			
系	hɐi6				
劑	tsɐi1				
仔	tsɐi3				
祭	tsɐi5				
際	tsɐi5				
制	tsɐi5				
製	tsɐi5				
濟	tsɐi5				
滯	tsɐi6	停~			
西	sɐi1				
洗	sɐi3				
駛	sɐi3				
使	sɐi3-				
駛	sɐi4-				
世	sɐi5				
勢	sɐi5				
細	sɐi5				
婿	sɐi5				
誓	sɐi6				
龜	kwɐi1				
歸	kwɐi1				
閨	kwɐi1				
鬼	kwɐi3				
詭	kwɐi3				
桂	kwɐi5				
貴	kwɐi5				
季	kwɐi5				
跪	kwɐi6				
威	wɐi1				
桅	wɐi2	~杆			
維	wɐi2				
違	wɐi2				
委	wɐi2				
違	wɐi2				
圍	wɐi3				
爲	wɐi3	作~			
毀	wɐi3				
位	wɐi3	座~			
偉	wɐi4				
緯	wɐi4				
慰	wɐi5				
爲	wɐi6	~什麼			
位	wɐi6				
胃	wɐi6				
衛	wɐi6				
惠	wɐi6				
慧	wɐi6				
碑	pei1				
彼	pei3				
比	pei3				
翡	pei3	斜體，~翠			
翠	pei3				
臂	pei5				
秘	pei5				
痺	pei5	~麻			
被	pei6	~打			
避	pei6				
鼻	pei6				
備	pei6				
披	pʰei1				
皮	pʰei2				
琵	pʰei2				
枇	pʰei2				
被	pʰei4	~子			
譬	pʰei5	~喻			
屁	pʰei5				
眉	mei2				
微	mei2				
彌	mei2				
美	mei4				
尾	mei4				
未	mei6				
味	mei6				
非	fei1				
飛	fei1				
妃	fei1				
痺	fei1	~子			
肥	fei2				
地	tei6				
璃	lei1	玻~			
離	lei2	~別			
尼	lei2				
梨	lei2				
狸	lei2				
你	lei4				
李	lei4				
鯉	lei4				
利	lei6				
餌	lei6				
飢	kei1				
肌	kei1				
几	kei1				
基	kei1				
幾	kei1	~乎			
機	kei1				
饑	kei1				
己	kei3				
杞	kei3				
幾	kei3	~個			
寄	kei5				
記	kei5				
既	kei5				
技	kei6				
妓	kei6				
忌	kei6				
奇	kʰei2				
鰭	kʰei2				
其	kʰei2				
棋	kʰei2				
期	kʰei2				
旗	kʰei2				
企	kʰei4				
犧	hei1				
熙	hei1				
起	hei3				
喜	hei3				
豈	hei3				
戲	hei5				
器	hei5				
棄	hei5				
氣	hei5				
汽	hei5				
死	sei3				
四	sei5				
肆	sei5				
代	tɔi6				
袋	tɔi6				
來	lɔi2				
耐	lɔi6				
內	lɔi6				
該	kɔi1				
改	kɔi3				
呆	ŋɔi2				
愛	ŋɔi5				
礙	ŋɔi6				
外	ŋɔi6				
胎	hɔi1				
開	hɔi1				
抬	hɔi2	斜體			
臺	hɔi2	斜體			
海	hɔi3				
台	hɔi3	斜體，天~			
怠	hɔi4				
亥	hɔi6				
害	hɔi6				
災	tsɔi1				
裁	tsɔi1				
再	tsɔi5				
載	tsɔi5	滿~			
在	tsɔi6				
才	tsʰɔi2				
材	tsʰɔi2				
財	tsʰɔi2				
彩	tsʰɔi3				
採	tsʰɔi3				
菜	tsʰɔi5				
賽	tsʰɔi5				
蔡	tsʰɔi5				
腮	sɔi1				
鰓	sɔi1				
煲	pou1				
保	pou3				
寶	pou3				
補	pou3				
報	pou5				
布	pou5				
佈	pou5				
暴	pou6				
部	pou6				
簿	pou6				
步	pou6				
捕	pou6				
鋪	pʰou1	~設			
袍	pʰou2				
浦	pʰou2				
普	pʰou3				
抱	pʰou4				
鋪	pʰou5	店~			
蟆	mou1	蝦~			
毛	mou2				
模	mou2	~子			
摹	mou2	~仿			
母	mou4				
武	mou4				
舞	mou4				
鴣	mou4				
無	mou4				
牡	mou4	斜體			
冒	mou6				
帽	mou6				
暮	mou6				
墓	mou6				
務	mou6				
霧	mou6				
刀	tou1				
都	tou1				
島	tou3				
倒	tou3				
賭	tou3				
到	tou5				
盜	tou6				
道	tou6				
稻	tou6				
度	tou6				
渡	tou6				
鍍	tou6				
勞	lou2				
奴	lou2				
盧	lou2				
蘆	lou2	芳~			
驢	lou2				
腦	lou4				
老	lou4				
努	lou4				
魯	lou4				
路	lou6				
駱	lou6				
露	lou6				
鷺	lou6				
高	kou1				
膏	kou1				
篙	kou1				
羔	kou1				
告	kou5				
桃	hou2	斜體			
逃	hou2	斜體			
徒	hou2	斜體			
途	hou2	斜體			
圖	hou2	斜體			
毫	hou2				
蠔	hou2				
討	hou3				
土	hou3				
好	hou3	~壞			
肚	hou3	魚~			
套	hou5				
吐	hou5	~痰，嘔~			
兔	hou5				
號	hou6	~數			
租	tsou1				
早	tsou3				
棗	tsou3				
祖	tsou3				
造	tsou6				
做	tsou6				
操	tsʰou1				
粗	tsʰou1				
曹	tsʰou2				
草	tsʰou3				
糙	tsʰou5				
醋	tsʰou5				
躁	tsʰou5				
蘇	sou1				
酥	sou1				
嫂	sou3				
數	sou3	動詞			
掃	sou5				
訴	sou5				
數	sou5	名詞			
錶	piu1				
鰾	piu1				
標	piu1				
表	piu3				
飄	pʰiu1				
嫖	pʰiu2				
漂	pʰiu5				
票	pʰiu5				
苗	miu2				
藐	miu4				
秒	miu4				
廟	miu6				
妙	miu6				
刁	tiu1				
雕	tiu1				
丟	tiu1				
釣	tiu5				
掉	tiu6				
聊	liu2				
鳥	liu4				
尿	liu6				
驕	kiu1				
嬌	kiu1				
矯	kiu3	~詐			
繳	kiu3	上~			
叫	kiu5				
僑	kʰiu2				
橋	kʰiu2				
轎	kʰiu4				
挑	hiu1	斜體			
僥	hiu1	~倖			
條	hiu2				
跳	hiu5				
蕉	tsiu1				
椒	tsiu1				
朝	tsiu1	今~			
招	tsiu1				
趙	tsiu6				
照	tsiu5				
超	tsʰiu1				
朝	tsʰiu2				
潮	tsʰiu2				
俏	tsʰiu5				
消	siu1				
宵	siu1				
燒	siu1				
蕭	siu1				
簫	siu1				
小	siu3				
少	siu3				
笑	siu5				
少	siu5	~年			
邀	jiu1				
腰	jiu1				
要	jiu1	~求			
饒	jiu2				
搖	jiu2				
姚	jiu2				
妖	jiu3				
要	jiu5	重~			
耀	jiu6				
杯	pui1				
貝	pui5				
輩	pui5				
背	pui5				
陪	pʰui2				
賠	pʰui2				
倍	pʰui2				
配	pʰui5				
梅	mui2				
媒	mui2				
煤	mui2				
妹	mui6				
灰	fui1				
悔	fui5				
回	wui2				
會	wui4	不~			
會	wui6	~計			
匯	wui6				
包	pau1				
胞	pau1				
鮑	pau1				
飽	pau3				
爆	pau5				
拋	pʰau1				
刨	pʰau2				
跑	pʰau3				
豹	pʰau5				
炮	pʰau5				
貓	mau1				
茅	mau2				
錨	mau2				
矛	mau2				
茂	mau6	斜體			
貿	mau6	斜體			
謬	mau6				
鬧	lau6				
交	kau1				
膠	kau1				
絞	kau3				
攪	kau3				
搞	kau3				
餃	kau3	~子			
巧	hau3				
孝	hau5				
效	hau6				
校	hau6	學~			
抓	tsau3				
爪	tsau3	~牙			
找	tsau3				
罩	tsau5				
驟	tsau6				
抄	tsʰau1	~寫			
炒	tsʰau3				
潲	sau5	豬食			
歐	ɐu1				
毆	ɐu1				
嘔	ɐu3				
漚	ɐu5	久浸水中			
畝	mɐu4				
浮	fɐu2				
否	fɐu3				
埠	fɐu6	商~			
斗	tɐu3				
鬥	tɐu5				
逗	tɐu5				
豆	tɐu6				
樓	lɐu2				
摟	lɐu2				
流	lɐu2				
劉	lɐu2				
留	lɐu2				
榴	lɐu2				
硫	lɐu2				
紐	lɐu3				
扭	lɐu3				
柳	lɐu4				
漏	lɐu6				
溜	lɐu6				
狗	kɐu3				
九	kɐu3				
久	kɐu3				
韭	kɐu3				
夠	kɐu5				
灸	kɐu5				
教	kɐu5				
究	kɐu5				
舊	kɐu6				
溝	kʰɐu1				
求	kʰɐu2				
球	kʰɐu2				
仇	kʰɐu2				
舅	kʰɐu3				
叩	kʰɐu5				
扣	kʰɐu5				
勾	ŋɐu1				
鉤	ŋɐu1				
牛	ŋɐu2				
藕	ŋɐu4				
偷	hɐu1	斜體			
頭	hɐu2	斜體			
投	hɐu2	斜體			
侯	hɐu2				
喉	hɐu2				
猴	hɐu2				
口	hɐu3				
厚	hɐu4				
透	hɐu5	斜體			
後	hɐu6				
后	hɐu6				
候	hɐu6				
周	tsɐu1				
舟	tsɐu1				
州	tsɐu1				
洲	tsɐu1				
走	tsɐu3				
酒	tsɐu3				
皺	tsɐu5				
咒	tsɐu5				
晝	tsɐu5				
就	tsɐu6				
袖	tsɐu6				
秋	tsʰɐu1				
鞦	tsʰɐu1	~韆			
抽	tsʰɐu1				
囚	tsʰɐu2				
綢	tsʰɐu2				
籌	tsʰɐu2				
丑	tsʰɐu3				
醜	tsʰɐu3				
湊	tsʰɐu5				
臭	tsʰɐu5				
嗅	tsʰɐu5				
修	sɐu1				
羞	sɐu1				
收	sɐu1				
愁	sɐu2				
仇	sɐu2				
搜	sɐu3				
手	sɐu3				
首	sɐu3				
守	sɐu3				
嗽	sɐu5	咳~			
秀	sɐu5				
繡	sɐu5				
瘦	sɐu5				
獸	sɐu5				
鏽	sɐu5	鐵~			
受	sɐu6				
壽	sɐu6				
授	sɐu6				
售	sɐu6				
丘	jɐu1				
休	jɐu1				
憂	jɐu1				
優	jɐu1				
幽	jɐu1				
柔	jɐu2				
揉	jɐu2				
郵	jɐu2				
由	jɐu2				
油	jɐu2				
游	jɐu2				
猶	jɐu2				
有	jɐu3				
友	jɐu3				
柚	jɐu3				
酉	jɐu4				
誘	jɐu4				
有	jɐu4				
幼	jɐu5				
又	jɐu6				
右	jɐu6				
祐	jɐu6				
堆	tœy1				
對	tœy5				
隊	tœy6				
騾	lœy2				
雷	lœy2				
女	lœy4				
呂	lœy4				
旅	lœy4				
裏	lœy4				
類	lœy6				
淚	lœy6				
居	kœy1				
舉	kœy3				
鋸	kœy5	~子			
句	kœy5				
具	kœy6				
拘	kʰœy1				
駒	kʰœy1				
區	kʰœy1	~域			
渠	kʰœy2				
賄	kʰœy3	斜體			
潰	kʰœy3	斜體，~爛			
拒	kʰœy4				
距	kʰœy4				
墟	hœy1	~市			
推	hœy1	斜體			
腿	hœy3	斜體			
許	hœy4				
去	hœy5				
退	hœy5	斜體			
追	tsœy1				
錐	tsœy1				
嘴	tsœy3				
最	tsœy5				
醉	tsœy5				
序	tsœy6				
聚	tsœy6				
罪	tsœy6				
摧	tsʰœy1				
崔	tsʰœy1				
吹	tsʰœy1				
炊	tsʰœy1				
徐	tsʰœy2				
除	tsʰœy2				
隨	tsʰœy2				
錘	tsʰœy2				
娶	tsʰœy3				
取	tsʰœy3				
趣	tsʰœy5				
脆	tsʰœy5				
翠	tsʰœy5				
需	sœy1				
雖	sœy1				
衰	sœy1				
誰	sœy2				
水	sœy3				
碎	sœy5				
歲	sœy5				
稅	sœy5				
粹	sœy5				
帥	sœy5				
睡	sœy6				
隧	sœy6	~道			
擔	tam1	~任			
膽	tam3				
擔	tam5	~挑			
南	lam2				
男	lam2				
藍	lam2				
籃	lam2				
覽	lam3				
攬	lam3				
濫	lam3				
纜	lam6				
艦	lam6				
監	kam1				
減	kam3				
鑑	kam5				
貪	ham1	斜體			
咸	ham2				
鹹	ham2				
談	ham2	斜體			
痰	ham2	斜體			
潭	ham2	斜體			
譚	ham2	斜體			
淡	ham3	斜體			
喊	ham5				
探	ham5	斜體，試~			
簪	tsam1				
斬	tsam3				
眨	tsam3				
站	tsam6				
參	tsʰam1				
蠶	tsʰam2				
慘	tsʰam3				
杉	tsʰam5				
三	sam1				
衫	sam1				
庵	ɐm1				
暗	ɐm5				
林	lɐm2				
臨	lɐm2				
甘	kɐm1				
柑	kɐm1				
今	kɐm1				
金	kɐm1				
感	kɐm3				
敢	kɐm3				
錦	kɐm3				
禁	kɐm5				
襟	kʰɐm1				
琴	kʰɐm2				
擒	kʰɐm2				
妗	kʰɐm4	舅母			
含	hɐm2				
陷	ham6				
針	tsɐm1				
枕	tsɐm3				
浸	tsɐm5				
枕	tsɐm5	動詞			
侵	tsʰɐm1				
尋	tsʰɐm2				
沉	tsʰɐm2				
心	sɐm1				
森	sɐm1				
深	sɐm1				
參	sɐm1	人~			
岑	sɐm2				
沈	sɐm3				
嬸	sɐm3				
滲	sɐm5				
甚	sɐm6				
音	jɐm1				
陰	jɐm1				
蔭	jɐm1				
欽	jɐm1				
吟	jɐm2				
淫	jɐm2				
飲	jɐm3				
任	jɐm6				
點	tim3				
店	tim5				
拈	lim1				
粘	lim1	~貼			
念	lim6				
簾	lim2				
殮	lim4				
兼	kim1				
檢	kim3				
劍	kim5				
儉	kim6				
鉗	kʰim2				
謙	him1				
添	him1	斜體			
甜	him2	斜體			
險	him3				
欠	him5				
尖	tsim1				
沾	tsim1				
粘	tsim1				
占	tsim1	~卜			
佔	tsim5				
漸	tsim6				
籤	tsʰim1				
簽	tsʰim1				
潛	tsʰim2				
閃	sim3				
閹	jim1				
醃	jim1				
炎	jim2				
鹽	jim2				
閻	jim2				
淹	jim3				
染	jim4				
驗	jim6				
晏	an5				
班	pan1				
斑	pan1				
板	pan3				
扮	pan6				
辦	pan6				
盼	pʰan5				
蠻	man2				
晚	man4				
慢	man6				
饅	man6	~頭			
萬	man6				
翻	fan1				
番	fan1	幾~			
凡	fan2				
帆	fan2				
煩	fan2				
繁	fan2				
反	fan3				
販	fan3				
范	fan6				
範	fan6				
瓣	fan6				
犯	fan6				
反	fan6				
飯	fan6				
丹	tan1				
單	tan1				
蛋	tan3				
彈	tan3	子~			
誕	tan5				
旦	tan6				
但	tan6				
難	lan2	~易			
蘭	lan2				
攔	lan2				
欄	lan2				
懶	lan4				
難	lan6	患~			
爛	lan6				
艱	kan1	~辛			
間	kan1	中~			
奸	kan1				
關	kan1	斜體			
簡	kan3				
柬	kan3				
揀	kan3				
間	kan5	~斷			
諫	kan5				
澗	kan5				
慣	kan5	斜體			
顏	ŋan2				
眼	ŋan4				
灘	han1	斜體			
攤	han1	斜體			
檀	han2	斜體			
壇	han2	斜體			
彈	han2	斜體			
閑	han2				
坦	han3	斜體			
歎	han5	斜體			
炭	han5	斜體			
限	han6				
盞	tsan3				
贊	tsan5				
賺	tsan6				
棧	tsan6				
餐	tsʰan1				
殘	tsʰan2				
鏟	tsʰan3				
產	tsʰan3				
燦	tsʰan5				
珊	san1				
山	san1				
刪	san1				
閂	san1				
散	san3	~了			
散	san5	分~			
傘	san5				
彎	wan1				
灣	wan1				
還	wan2	~原，~有			
環	wan2				
頑	wan2				
挽	wan4				
患	wan6				
檳	pɐn1				
賓	pɐn1				
品	pɐn3				
殯	pɐn5				
鬢	pɐn5				
笨	pɐn6				
貧	pʰɐn2				
頻	pʰɐn2				
噴	pʰɐn5				
蚊	mɐn1				
民	mɐn2				
文	mɐn2				
紋	mɐn2				
聞	mɐn2				
敏	mɐn3				
吻	mɐn3				
問	mɐn6				
昏	fɐn1				
婚	fɐn1				
分	fɐn1				
芬	fɐn1				
焚	fɐn2				
墳	fɐn2				
粉	fɐn3				
奮	fɐn4				
糞	fɐn5				
訓	fɐn5				
份	fɐn6				
跟	kɐn1				
根	kɐn1				
巾	kɐn1				
斤	kɐn1				
緊	kɐn3				
謹	kɐn3				
滾	kɐn3	斜體			
近	kɐn6				
郡	kɐn6	斜體			
勤	kʰɐn2				
芹	kʰɐn2				
裙	kʰɐn2	斜體			
近	kʰɐn3-				
困	kʰɐn5	斜體			
銀	ŋɐn2				
吞	hɐn1	斜體			
懇	hɐn3				
很	hɐn3				
恨	hɐn6				
珍	tsɐn1				
真	tsɐn1				
鎮	tsɐn5				
震	tsɐn5				
陣	tsɐn6				
親	tsʰɐn1				
陳	tsʰɐn2				
塵	tsʰɐn2				
疹	tsʰɐn3				
親	tsʰɐn5	~家			
趁	tsʰɐn5				
襯	tsʰɐn5				
新	sɐn1				
薪	sɐn1				
身	sɐn1				
申	sɐn1				
伸	sɐn1				
辛	sɐn1				
神	sɐn2				
辰	sɐn2				
晨	sɐn2				
臣	sɐn2				
腎	sɐn6				
君	kwɐn1				
軍	kwɐn1				
棍	kwɐn5				
溫	wɐn1				
瘟	wɐn1				
魂	wɐn2				
勻	wɐn2				
雲	wɐn2				
量	wɐn2				
穩	wɐn3				
韻	wɐn4				
渾	wɐn6	~濁			
混	wɐn6				
運	wɐn6				
恩	jɐn1				
因	jɐn1				
姻	jɐn1				
欣	jɐn1				
人	jɐn2				
仁	jɐn2				
忍	jɐn3				
引	jɐn3				
隱	jɐn3				
印	jɐn5				
刃	jɐn6				
安	ɔn1				
鞍	ɔn1				
按	ɔn5				
案	ɔn5				
干	kɔn1				
肝	kɔn1				
乾	kɔn1				
稈	kɔn3	~稻			
趕	kɔn3				
幹	kɔn5				
岸	ŋɔn6				
看	hɔn1	~守			
鼾	hɔn2	~聲			
寒	hɔn2				
韓	hɔn2				
罕	hɔn3				
旱	hɔn3				
看	hɔn5	~見			
漢	hɔn5				
汗	hɔn6				
鞭	pin1				
邊	pin1				
辮	pin1				
扁	pin3				
匾	pin3				
變	pin5				
便	pin6				
偏	pʰin1				
蝙	pʰin1				
遍	pʰin5				
片	pʰin5				
綿	min2				
眠	min2				
免	min3				
勉	min3				
緬	min3				
面	min6				
麵	min6				
顛	tin1				
典	tin3				
電	tin6				
連	lin2				
聯	lin2	斜體			
年	lin2				
憐	lin2				
蓮	lin2				
練	lin6				
鍊	lin6				
堅	kin1				
建	kin5				
見	kin5				
健	kin6				
乾	kʰin2	~坤			
件	kʰin6				
掀	hin1				
天	hin1	斜體			
牽	hin1				
田	hin2	斜體			
填	hin2	斜體			
顯	hin3				
氈	tsin1				
剪	tsin3				
箭	tsin5				
餞	tsin5	~行			
戰	tsin5				
賤	tsin6				
遷	tsʰin1				
千	tsʰin1				
錢	tsʰin2				
纏	tsʰin2				
前	tsʰin2				
全	tsʰin2	斜體			
泉	tsʰin2	斜體			
淺	tsʰin3				
濺	tsʰin3				
仙	sin1				
鮮	sin1	新~			
先	sin1				
癬	sin3				
線	sin5				
扇	sin5				
羨	sin6				
善	sin6				
煙	jin1				
然	jin2				
言	jin2				
研	jin2				
賢	jin2				
玄	jin2	斜體			
演	jin3				
軟	jin3	斜體			
燕	jin5				
宴	jin5				
現	jin6				
般	pun1				
搬	pun1				
本	pun3				
半	pun5				
冠	pun5	斜體，~軍			
伴	pun6				
胖	pun6				
潘	pʰun1				
盤	pʰun2				
盆	pʰun2				
判	pʰun5				
門	mun2				
滿	mun4				
悶	mun6				
寬	fun1				
歡	fun1				
款	fun3				
官	kun1				
棺	kun1				
冠	kun1				
管	kun3				
館	kun3				
灌	kun5				
罐	kun5				
碗	wun3				
換	wun6				
端	tyn1				
短	tyn3				
斷	tyn6				
段	tyn6				
緞	tyn6				
鸞	lyn2				
暖	lyn3				
戀	lyn3				
亂	lyn6				
嫩	lyn6				
捐	kyn1				
捲	kyn3	~起			
卷	kyn3				
券	kyn5				
拳	kʰyn2				
權	kʰyn2				
顴	kʰyn2				
圈	hyn1				
團	hyn2	斜體			
豚	hyn2	斜體			
斷	hyn3	斜體，~絕			
勸	hyn5				
煎	tsyn1	斜體			
專	tsyn1				
磚	tsyn1				
尊	tsyn1				
轉	tsyn3	~送			
鑽	tsyn5	動詞，工具			
轉	tsyn5	螺絲			
穿	tsʰyn1				
村	tsʰyn1				
傳	tsʰyn2				
存	tsʰyn2				
屯	tsʰyn2	斜體			
喘	tsʰyn3				
串	tsʰyn5				
寸	tsʰyn5				
酸	syn1				
宣	syn1				
孫	syn1				
旋	syn2				
船	syn2				
選	syn3				
損	syn3				
算	syn5				
蒜	syn5				
冤	jyn1				
完	jyn2				
圓	jyn2				
員	jyn2				
緣	jyn2				
沿	jyn2				
鉛	jyn2				
原	jyn2				
園	jyn2				
丸	jyn3				
院	jyn3				
阮	jyn3				
遠	jyn4				
怨	jyn5				
願	jyn6				
敦	tœn1				
噸	tœn1				
鈍	tœn6				
