ɕia	5	下夏厦																																															
ia	1	丫鸦垭																																															
ia	2	牙压押芽鸭																																															
ia	3	哑{文}雅傻{□}																																															
ia	5	亚压轧																																															
po	1	波菠玻																																															
po	2	拨博搏剥钵薄																																															
po	3	簸跛																																															
po	5	播																																															
pʰo	1	坡																																															
pʰo	2	婆泼																																															
pʰo	3	颇叵																																															
pʰo	5	破																																															
mo	1	摸摩么																																															
mo	2	磨{~石}莫末模沫茉																																															
mo	3	抹																																															
mo	5	磨{~子}																																															
to	1	多																																															
to	2	夺戳{白}																																															
to	3	朵躲																																															
to	5	垛剁堕㤢																																															
tʰo	1	拖																																															
tʰo	2	托脱拓砣																																															
tʰo	3	妥椭																																															
tʰo	5	垛{白，一沓}																																															
no	1	啰{∽唆}																																															
no	2	罗烙喏落萝																																															
no	3	裸																																															
no	5	糯懦摞{一沓}																																															
tso	2	作昨凿桌捉啄{∽木鸟}撮																																															
tso	3	左佐□{交换}																																															
tso	5	坐座做																																															
tsʰo	1	搓																																															
tsʰo	2	撮绰																																															
tsʰo	5	错措挫锉																																															
so	1	梭蓑嗦																																															
so	2	索缩说硕																																															
so	3	所琐锁唢																																															
zo	2	弱若																																															
ŋo	3	我																																															
ko	1	哥歌戈锅																																															
ko	2	各阁角郭葛割																																															
ko	3	果裹																																															
ko	5	个过																																															
kʰo	1	科																																															
kʰo	2	壳磕瞌渴																																															
kʰo	3	可颗																																															
kʰo	5	课搁																																															
xo	1	喝□{哄，∽人}蠚{扎人}																																															
xo	2	和何合河禾盒阖霍{姓}活																																															
xo	3	火伙																																															
xo	5	货贺祸																																															
o	1	窝蜗涡莴																																															
o	2	俄握沃恶																																															
o	5	卧饿□{打∽，弄脏}																																															
io	2	约药岳钥乐																																															
tɕio	2	脚																																															
tɕʰio	1	□{末尾}																																															
tɕʰio	2	确鹊雀却榷																																															
ɕio	2	学削																																															
nio	2	略掠虐疟																																															
pæ	1	班般搬扳																																															
pæ	2	北白百伯柏泊粕																																															
pæ	3	板版□{∽命}																																															
pæ	5	办半扮绊{文}畔																																															
pʰæ	1	潘攀																																															
pʰæ	2	迫魄拍盘蟠																																															
pʰæ	5	盼判叛绊																																															
mæ	2	墨默麦脉陌没{∽收}蛮瞒馒																																															
mæ	3	满螨																																															
mæ	5	慢漫																																															
fæ	1	翻番																																															
fæ	2	凡帆烦繁																																															
fæ	3	返反																																															
fæ	5	饭犯范贩泛																																															
næ	2	勒肋兰男难南蓝																																															
næ	3	懒揽览																																															
næ	5	烂难滥																																															
tæ	1	单丹担																																															
tæ	2	得德																																															
tæ	3	胆瘅掸																																															
tæ	5	担弹蛋旦石																																															
tʰæ	1	贪																																															
tʰæ	2	特弹谈坛																																															
tʰæ	3	毯坦																																															
tʰæ	5	叹炭碳																																															
sæ	1	三山																																															
sæ	2	蛇佘舌设折{∽本}闪{扁担∽∽}色																																															
sæ	3	伞陕闪散																																															
sæ	5	散善扇																																															
tsæ	1	粘沾																																															
tsæ	2	折哲浙侧{白，∽边{摘																																															
tsæ	3	斩展																																															
tsæ	5	占站战蘸																																															
tsʰæ	1	餐参																																															
tsʰæ	2	册拆择泽侧残蚕																																															
tsʰæ	3	惨阐{文}产{文}																																															
tsʰæ	5	灿忏																																															
zæ	2	热然燃																																															
zæ	3	染冉																																															
kæ	1	干柑甘杆																																															
kæ	2	格革隔疙骼仡嗝																																															
kæ	3	赶感敢																																															
kæ	5	干赣																																															
kʰæ	1	刊勘堪嵌																																															
kʰæ	2	客克刻咳																																															
kʰæ	3	砍坎																																															
kʰæ	5	看□{刀痕}																																															
ŋæ	1	安庵																																															
ŋæ	2	扼额严{白，门关∽}谙{猜想}																																															
ŋæ	3	□{∽汤}																																															
ŋæ	5	按案暗岸黯																																															
xæ	1	憨																																															
xæ	2	寒咸{白}黑吓{白}赫核骇																																															
xæ	3	喊罕																																															
xæ	5	汉汗陷{白}																																															
æ	2	儿而																																															
æ	3	耳饵洱迩																																															
æ	5	二贰																																															
iɛ	1	耶椰烟炎腌																																															
iɛ	2	叶爷页言盐																																															
iɛ	3	也野冶眼演																																															
