#a
p[53]爸疤巴[31]爬[55]把[45]霸欛壩[213]罷
tʰ[53]蛆[55]取娶{又}[45]趣
n[24]女{又}
l[24]旅裏呂[213]慮濾
θ[53]雖須鬚需[31]徐[24]序敘緒聚
tʃ[53]諸蛛株朱珠豬[55]煮主[45]著駐註注蛀鑄[213]住
tʃʰ[55]處娶[45]趣{又}處
ʃ[53]舒輸書[31]殊廚除[55]鼠黍暑[24]柱豎儲[45]絮[213]樹
ȵ[31]如愚娛魚[24]語乳[213]遇寓
k[53]居[31]渠[55]擧[24]巨拒距[45]據句鋸[213]具
kʰ[53]區驅拘駒
x[53]噓虛[55]許[45]去
ʔ[31]余{姓}餘虞于盂[24]雨與參{~與}給[213]榆愉譽預裕喻
#ŋ
ʔ[31]吳梧[24]伍五午[213]誤悟
#au
p[53]鮑包[31]刨[55]飽[45]豹爆
pʰ[53]拋[55]跑[45]泡砲炮雹
m[31]茅矛謀[24]卯[45]泡{不堅實}
tʃ[55]爪{~牙，~子}找[45]罩炸
tʃʰ[53]抄鈔[55]炒[45]吵
ʃ[55]稍捎
k[55]較絞狡攪搞[45]教教{~育，~書}覺
x[53]酵烤[55]考巧[45]孝
ʔ[53]歐[55]嘔[45]漚
#ɐu
m[24]畝某[213]茂貿貌
f[31]浮[55]否[213]埠
t[53]兜[31]頭投[55]抖陡斗酒[45]鬥[213]豆痘
tʰ[53]偷秋[45]透
n[55]紐扭
l[31]樓流溜劉留榴硫琉[55]摟[24]柳[213]漏
ts[53]鄒[55]走酒{又}[45]縐湊奏[213]袖{又}就
θ[53]羞修[55]搜[45]秀繡銹[213]袖
tʃ[53]周舟州洲[31]求球[55]久韭糾{又}久[24]舅[45]灸究晝救[213]舊驟
tʃʰ[53]抽[55]醜[45]臭
ʃ[53]收[31]酬仇愁綢稠籌[55]手首守[45]獸瘦[213]壽授售受
ȵ[55]朽揉[45]皺
k[53]溝[55]狗茍[45]夠構購媾
kʰ[213]叩扣寇靠
ŋ[53]勾鉤[31]牛[24]藕偶
x[31]侯喉猴[55]口[24]厚[213]後候
j[53]憂優悠幽休丘[31]尤郵由油游遊猶柔[24]有友[45]柚幼[213]釉又右宥祐
#ou
p[31]袍[55]保堡寶[24]抱[45]報[213]暴
m[31]毛[213]冒帽
t[53]刀[31]禱掏桃逃陶[55]棗早島倒搗倒{~水}[24]導[45]竈到[213]稻道盜
tʰ[53]操滔[55]草討[45]躁套
n[24]惱腦
l[53]撈[31]勞牢[24]老[213]澇
ts[53]遭糟[55]早{又}
θ[53]騷臊搔[31]糟曹[55]嫂[24]皂造掃{~帚}[45]掃[213]糙
k[53]高膏羔糕[55]稿[45]告窖
ŋ[213]臥熬肉熬傲
x[53]薅[31]蒿毫[55]好[45]好[213]號
ʔ[53]蒿[45]襖
#iu
p[53]標彪[31]瓢嫖[55]表
pʰ[53]飄漂{~亮，又}[45]漂{~亮，又}漂{白}票
m[31]苗描[24]秒妙[213]廟
t[53]丟刁貂雕[31]條調[45]釣弔[213]掉調
tʰ[53]鍬挑[45]跳
n[24]鳥[213]尿
l[31]聊遼療[24]了[213]料
ts[53]樵焦蕉椒
tsʰ[53]俏
θ[53]梢消宵硝蕭簫捎[55]小[45]笑
tʃ[53]朝昭招[24]趙照[213]兆
ʃ[53]燒[31]朝瞧潮[55]少[45]少[213]紹
ȵ[31]搖謠遙澆饒[55]擾繞圍繞道
kʰ[45]竅
x[55]曉
ʔ[53]邀腰要[31]窰姚[55]妖[24]舀[45]要
#ai
p[31]牌排[55]擺[45]拜[213]敗稗
pʰ[45]派
m[31]埋[55]歪[24]買[45]賣
f[45]快筷塊
t[53]歹[45]戴帶[213]大
tʰ[45]太泰態
n[24]乃奶
l[53]拉[45]賴
θ[53]腮{又}
tʃ[53]齋[45]債
tʃʰ[53]差猜
ʃ[53]篩[31]柒[45]曬
k[53]揩佳皆街階[55]解[45]界芥□戒介
kʰ[55]啟{又}
ŋ[31]捱
x[31]鞋[45]蟹械
kʷ[53]乖[55]拐[45]怪
ʔ[55]矮
w[31]懷槐淮
#ɐi
p[45]閉
pʰ[53]批
m[24]米
t[53]低[31]題提啼蹄堤[55]抵牴底[45]帝[213]第隸遞弟
tʰ[53]梯[55]體[45]替涕剃
n[31]尼泥
l[31]犁黎[24]禮[213]麗例厲勵
ts[53]擠劑[45]祭際濟
tsʰ[53]妻淒
θ[53]西犀[31]齊臍[55]洗[45]婿細
tʃ[45]制製
ʃ[55]使駛[45]勢世[213]誓
k[53]雞[45]計繼
kʰ[53]溪[55]啟[45]契
ŋ[213]魏僞藝
x[213]系
kʷ[53]歸龜規[31]葵[55]軌鬼[45]貴桂季{又}[213]跪櫃
kʰʷ[53]虧[45]愧
w[53]威揮輝徽[31]葦爲維違帷桅圍[55]委毀[24]偉[45]畏餵慧[213]胃謂猬衛爲諱惠位
#oi
t[53]災[31]抬臺[55]載{年~}[45]再載{~重}[213]貸待怠代袋
tʰ[31]胎[55]彩採睬[45]蔡菜
n[213]奈耐
l[31]來
ts[53]栽[31]災{又}
θ[53]腮[31]才財材裁纔[24]在
k[53]該[55]改[45]蓋
ŋ[45]艾
x[53]開[31]孩[55]海[24]害礙
ʔ[53]哀[45]愛
#ui
p[53]杯悲{又}[31]培陪賠[24]倍輩背貝[213]疿
pʰ[53]坯[45]佩配
m[31]梅枚媒霉[24]每美[213]妹
f[53]灰[55]悔
t[53]堆[55]嘴[45]對[213]隊兌
tʰ[53]推[55]腿[45]脆退
n[24]女{又}
l[31]雷擂[24]累{疲}累積[45]類[213]淚
tsʰ[53]催崔
θ[31]隨隋[45]碎歲[213]罪翠睡穗
tʃ[53]追
tʃʰ[53]吹炊
ʃ[53]衰[31]垂誰槌錘[55]水[45]稅帥賽塞
ȵ[53]錐
kʰ[45]潰繪
ŋ[24]外
ʔ[31]回[213]會{~計}匯會
#am
t[53]擔{~任}[31]談痰譚[55]膽[24]淡[45]擔{挑~}
tʰ[53]貪[45]探{試~}
n[31]男南
l[53]籃[31]藍[55]覽攬[24]覽{又}[213]濫
tsʰ[53]參差[55]慘
θ[53]三[31]蠶
tʃ[55]斬[45]蘸[213]站
tʃʰ[45]滲
ʃ[53]衫
k[53]監[55]減
kʰ[55]坎砍
ŋ[31]巖
ʔ[31]函銜[45]喊[213]莧陷餡
#ɐm
l[31]林淋臨
θ[53]心[31]尋
tʃ[53]今金針斟[31]琴禽擒[55]枕[45]禁{~止，~不住}
tʃʰ[53]侵[45]寢
ʃ[53]參{人~}森深[31]沉[55]嬸審沈[213]甚
ȵ[55]陰[213]任
kʰ[53]襟
j[53]音陰
#ʌm
k[53]甘柑泔[55]敢感
x[53]堪[31]含
ʔ[45]暗
#im
t[31]甜[55]點典[24]舔[45]店
n[53]黏拈[213]驗念
l[31]鐮簾帘廉[24]臉鮎斂
ts[53]尖[213]漸
tsʰ[53]籖簽箋殲遷
tʃ[53]沾粘貼[45]佔
ʃ[31]蟬[55]陜
ȵ[31]嚴[24]染
k[53]兼[31]鉗[55]檢[45]劍
x[53]謙[55]險[45]欠
j[31]鹽簷嫌[55]掩[45]淹厭[213]閻醃
#an
p[53]班斑頒[55]板版[213]扮辦
pʰ[53]攀[45]盼
m[31]蠻[24]晚[213]萬蔓漫幔慢邁
f[53]翻番[31]帆凡煩繁礬[55]反[45]販[213]範犯飯
t[53]丹單[31]檀彈[45]旦[213]但彈蛋
tʰ[53]餐灘攤[55]坦毯[45]炭歎
n[31]難[213]難
l[31]蘭攔欄[213]爛
ts[45]贊[213]濺
tsʰ[53]餐{又}
θ[31]殘[45]傘散了散
tʃ[55]盞[213]賺棧
tʃʰ[55]產鏟
ʃ[53]山閂栓
k[53]姦奸艱間[55]□繭簡柬揀碱[45]間
ŋ[31]顏[24]眼[213]雁
x[31]閑閒[24]限
kʷ[53]關[45]慣
w[53]彎灣[31]還環頑[55]挽[213]患宦玩{又}
ʔ[45]晏
#ɐn
p[53]賓殯奔[31]頻貧墳{又}[213]笨
pʰ[55]品[45]噴
m[31]文紋民聞[213]問
f[53]葷婚熏薰芬紛分勳[31]墳[55]粉[45]糞奮訓[213]份憤忿
t[53]敦墩鈍遁[213]盾頓屯
tʰ[53]吞
l[31]麟燐鄰崙輪倫[213]論
ts[53]津[45]進俊
tsʰ[53]親
θ[53]辛薪新[31]秦旬循巡[55]筍[24]儘[45]信盡迅訊
tʃ[53]斤筋巾珍真[31]勤芹[55]僅準緊[24]近[45]振震鎮[213]陣
tʃʰ[53]春[55]蠢[45]趁診疹襯
ʃ[53]身申伸[31]純蒓醇□神陳塵晨辰臣[45]腎[213]慎順
ȵ[31]仁人[24]忍引[213]閏認潤
k[53]跟根
ŋ[31]銀
x[55]很墾懇[213]恨
kʷ[53]均鈞君軍[31]群裙[55]滾[45]棍[213]菌
kʰʷ[53]昆崑坤[31]綑混{又}[45]困
ʔ[53]恩
j[53]因姻欣殷恩{又}[31]寅勻[55]隱[45]印[213]孕
w[53]溫瘟昏[31]雲魂暈[55]穩允[213]運渾韻
#øn
k[53]肝竿乾干[55]趕桿稈[45]幹
x[31]寒韓[55]刊[24]旱[45]看{~守，~見}漢[213]汗
ʔ[53]安鞍[45]按案
#in
p[53]鞭邊[31]便[55]匾[45]變[213]便辮辨辯扁
pʰ[53]篇偏徧編[45]遍騙片
m[31]綿棉眠[24]免勉[213]面
t[53]顛[31]田填[55]剪[45]箭薦煎[213]殿佃電
tʰ[53]天[55]淺
n[31]年[55]攆
l[55]憐蓮連[213]練鍊煉
ts[55]剪{又}[45]箭{又}薦{又}煎{又}
tsʰ[53]千
θ[53]仙鮮先[31]錢前[55]癬[45]線[213]賤
tʃ[53]氈[55]碾展[45]戰
ʃ[31]纏[45]扇搧
ȵ[31]言然燃研[55]研{又}
k[53]肩堅[31]虔[24]件儉[45]見建[213]健腱建{又}
x[53]掀牽[55]顯[45]憲獻
ʔ[53]煙[31]賢乾延[24]演[45]晏燕嚥[213]硯現
#un
p[53]般搬[31]盆盤[55]本[24]伴[45]半
pʰ[53]潘[45]判
m[31]瞞門[24]滿[213]悶
f[53]歡寬[55]緩款
t[53]尊遵端[31]團[55]短[24]斷絕[45]斷決{~斷}[213]鍛段緞
tʰ[53]村[45]寸
n[24]暖[213]嫩
l[31]聯[24]卵[45]戀[213]亂
ts[45]鑚
θ[53]宣孫酸[31]存泉全[55]損選[45]算蒜[213]篆
k[53]觀冠官[55]管館[45]貫灌罐觀道{~觀}冠{~軍}
ʔ[55]剜豌碗[213]玩遊喚煥玩耍換
#yn
tʃ[53]專磚[55]轉[45]轉[213]傳
tʃʰ[53]川穿[55]喘[45]串釧
ȵ[31]原源[24]軟[213]願
k[53]捐[31]顴權拳[55]捲[45]絹眷卷[213]倦
x[53]圈{~子，豬~}[45]楦勸
ʔ[53]冤[31]員袁園轅援完鉛丸園元緣玄[55]犬[24]遠[45]怨[213]院縣
#uɐn
x[55]混[45]困
#aŋ
p[31]彭膨棚
pʰ[45]胖
m[45]猛
l[45]冷
tʃ[53]爭箏
tʃʰ[53]撑
ʃ[53]生牲甥[31]澄[55]省
k[53]庚耕更{~改，打~}粳[45]更
kʰ[53]羹
kʰʷ[53]轟
w[31]横
#ɐŋ
p[53]崩[31]朋□
m[31]盟
t[53]增登燈曾僧[31]騰謄藤疼[55]等[45]登[213]鄧
n[31]能
l[31]楞
θ[31]曾層[213]贈
x[53]坑[31]恒衡行{~為}[55]肯啃[213]幸杏
#oŋ
p[31]篷
pʰ[55]捧[45]碰
m[31]蒙[213]夢孟
f[53]風瘋封峯鋒蜂豐[31]逢縫{~衣，~裂}蓬馮[55]諷奉{又}[45]放[213]鳳俸奉
t[53]東冬[31]銅桐童瞳筒同[55]董懂[45]粽凍[213]洞動
tʰ[53]聰悤蔥囪通[55]桶捅統[45]痛
n[31]膿濃農
l[31]隆龍聾籠[55]嚨壠攏寵[213]弄
θ[53]鬆[31]松從[45]宋送[213]頌
tʃ[53]中忠鐘鍾盅終[31]窘竆[55]種{~子，~樹}腫[45]眾中[213]仲訟誦
tʃʰ[53]舂衝充
ʃ[31]叢重崇蟲[213]重誦{又}
k[53]供{~養，~給}恭弓躬宮工功攻[31]竆{又}[55]拱鞏[45]槓貢[213]共
x[53]凶{吉~}兇{~惡}空胸[31]紅雄洪鴻虹弘宏[55]哄恐孔[45]烘控空
ʔ[53]翁[45]甕
j[31]茸融容鎔絨戎熊榮蓉[55]擁勇[213]用
#øŋ
p[53]邦幫[31]旁[55]榜綁[24]棒
m[31]亡忙[24]網[213]望忘
t[53]當贓[31]堂唐糖塘搪[55]擋黨[45]當葬
tʰ[53]蒼湯倉[55]趟倘躺[45]燙趟{又}
n[31]瓤囊
l[31]郎廊狼[213]浪
ts[45]髒葬{又}[213]藏臟
θ[53]嗓桑[31]藏[45]喪{婚~，~失}
tʃ[53]莊裝樁[45]壯[213]狀
tʃʰ[53]瘡窗倉[55]創{又}[45]撞闖創
ʃ[53]雙霜[31]牀[55]爽
k[53]江岡剛綱缸肛[55]港耕[45]鋼降下{~降}服
kʰ[53]慷康扛筐[45]抗炕骯
x[53]糠[31]行航杭降{~服，又}[213]項巷
#eŋ
p[53]冰兵[31]平評坪瓶屏萍[55]丙秉餅[24]並併[213]病
pʰ[45]聘拼
m[31]明鳴名銘
t[53]晶丁釘睛[31]亭停廷庭[55]井頂鼎[24]艇[45]訂[213]定
tʰ[53]清青廳[55]挺請[45]聽
l[31]鈴伶零陵凌菱靈[45]拎[213]吝
ts[53]睛{又}晶{又}精[24]嶺領[213]另令
θ[53]腥星[31]情晴[55]省醒[45]性姓[213]靜淨{又}
tʃ[53]正征偵貞蒸[55]整[45]證癥政正
tʃʰ[53]稱{~桿，~心}[45]秤
ʃ[53]升聲[31]乘承丞城成盛繩呈程[45]聖勝[213]剩盛
k[53]京荊驚經[31]瓊[55]頸景警[45]勁敬鏡境[213]竟競
kʰ[55]傾頃
x[53]兄興輕[45]興慶
j[53]嬰纓鸚櫻應鷹[31]蠅盈贏形型刑仍扔迎[55]影[45]應
w[31]螢營[24]永
#iaŋ
t[55]漿獎[45]醬將
tʰ[53]槍[55]搶[45]嗆{噎~，~煙}
n[31]娘
l[31]涼量糧梁粱良[55]輛[24]兩倆[213]亮諒量
ts[53]將[55]獎{又}[213]匠{又}
θ[53]相箱廂湘襄鑲[31]詳祥翔墻[55]想[45]相[213]像象橡匠
tʃ[53]張章樟[55]長掌[45]帳賬脹漲障仗[213]漲{水~}杖
tʃʰ[53]倡昌[55]廠[45]唱
ʃ[53]商傷[31]長腸場常嘗償[55]賞[24]丈[45]暢上[213]上尚
ȵ[213]壤攘嚷讓
k[53]薑[31]強
kʰ[53]腔疆僵姜
ŋ[24]仰
x[53]香鄉[55]享響餉[45]向
ʔ[53]央秧殃[31]洋楊陽羊[24]養癢[213]樣恙
#uɔŋ
f[53]謊荒慌芳方[31]妨防房[55]晃倣紡彷坊
k[53]光[31]狂逛[55]港{又}廣
kʰ[45]礦況
w[53]汪[31]黃皇蝗王[55]汪{又}[24]往[213]晃旺
#ap
t[45]搭[21]踏
tʰ[45]塔
n[21]納
l[21]臘
θ[21]雜
tʃ[45]及鍘
tʃʰ[45]插
k[45]甲閘夾裌
ʔ[45]鴨
#ɐp
n[5]粒
l[21]立
θ[21]習集{又}
tʃ[5]執汁急拾
tʃʰ[45]給{~你，~予}級
ʃ[45]濕[21]十
ȵ[21]入
x[5]吸恰
#op
k[45]鴿
x[21]合盒
#ip
t[21]疊碟諜碟
tʰ[45]貼帖
n[45]捏
ts[45]接
ʃ[45]涉
k[45]澀怯
x[45]協
j[5]醃[45]葉
#at
p[5]八[45]八[21]拔
m[45]抹[21]襪
f[45]法發髮
tʰ[45]塌
l[21]辣
tsʰ[45]擦察刷
tʃ[45]紮札扎
ʃ[45]殺
k[45]匣
x[45]瞎
w[21]滑
#ɐt
p[5]不畢筆
pʰ[5]匹
m[21]勿物蜜密
f[21]乏罰佛
t[5]卒[21]突達
tʰ[5]七
l[21]栗律
ts[5]卒{又}[21]疾
tsʰ[5]漆
θ[5]率
tʃ[5]吉質[21]姪
tʃʰ[5]出
ʃ[5]室瑟蝨失[21]術述實
ȵ[21]日
w[21]核{果~}核轄
#it
p[5]鼈必[21]別
pʰ[5]撇
m[21]滅
t[5]跌
tʰ[5]鐵[5]切
l[21]列烈裂獵
ts[5]節哲折浙折{~底}
θ[5]□截泄
tʃʰ[5]徹撤設切
ʃ[21]舌
ȵ[21]熱
k[5]結潔[21]傑
x[5]歇
ʔ[5]噎
#ut
p[5]潑[45]撥
m[21]末沫沒
t[21]奪
tʰ[5]脫
ts[21]絕
θ[5]雪[21]絕{又}
ʔ[21]活
#yt
l[21]劣
tʃ[5]拙
ʃ[5]說
kʰ[5]缺決
x[5]血
ʔ[5]乙[21]越悅閱
#uɐt
k[5]骨橘
ʔ[5]屈忽掘
#uat
k[45]刮括
ʔ[45]挖
#ak
p[45]伯百[21]白
pʰ[45]柏栢
tʃ[45]責窄[21]摘擇{~菜}宅擇{選~}澤
tʃʰ[45]策冊拆
k[45]革格隔
ŋ[21]額
x[45]客嚇
w[21]獲劃或畫
#ɐk
p[5]北
m[21]墨默脈麥
t[5]得德[21]特
l[21]勒肋
ts[5]則
tsʰ[5]側廁測
θ[5]塞[21]賊
kʰ[5]刻克
x[5]黑
w[5]握
#ok
m[21]目牧木
f[5]複腹復福[21]服伏
t[5]足[21]獨牘讀毒
l[21]祿陸六鹿錄
ts[21]族俗
θ[5]宿粟宿{星~}縮[21]俗{又}續
tʃ[5]觸囑竹濁祝粥鐲[21]軸
tʃʰ[5]築速畜蓄畜{~牧}
ʃ[5]叔[21]屬贖熟
ȵ[21]育玉獄辱褥肉欲
k[5]菊穀谷[21]局
kʰ[5]曲麯
x[5]哭
ʔ[5]屋
#øk
p[5]剝駁博[21]薄
pʰ[5]僕撲
m[5]幕[21]莫
t[5]作
tʰ[5]託托
l[5]烙酪洛駱絡[21]樂{~趣，~器}落
ts[5]作{又}[21]昨
θ[5]索削[21]鑿昨{又}
tʃ[5]捉
ʃ[21]濁
k[5]角閣各
kʰ[5]確
ŋ[21]岳
x[5]殼[21]學
#ek
p[5]壁璧逼迫
pʰ[5]劈
t[5]的積{又}滴脊即績迹[21]敵狄笛
tʰ[5]剔踢
l[45]曆力[21]歷
ts[21]席籍
θ[5]恤錫惜析[45]惜息熄
tʃ[5]織職隻[21]直值植織{又}
tʃʰ[5]尺赤
ʃ[5]式適釋色識[21]食石蝕
ȵ[21]逆額
k[5]繫{~鞋帶}激擊[21]劇極
kʰ[5]劇
ŋ[45]額{又}[21]逆
x[5]喫
w[21]域疫役
j[5]益[45]亦譯易
#iak
t[45]嚼
l[21]略
tʃ[45]桌
ʃ[21]勺著
ȵ[21]虐瘧弱若
k[45]腳
kʰ[45]覺卻
j[5]約[21]鑰藥
#uɔk
k[45]國郭
kʰ[45]擴
