	注釋：=文讀，-白讀
ts	[1]查{～夫：男人，～某：女人}[2]昨{～日：前天}[3]早
tsʰ	[1]差{～別}叉{～手：雙手交叉}岔[2]柴{訓讀}材查{～考}[3]吵-炒-[5]詫吒姹[6]嘈{～～滾：鬧哄哄}
s	[1]捎{用手抓取}柵{籬～}些[2]傻
k	[1]膠鉸咳{～嗽}虼{～蚤}交{～定}茭{～tsi5：稻草編成的袋子}筊{～liaʔ8：竹器}鮫{馬～}咬{～喇吧：地名}栲絞{～轆：滑輪}□{～睡}茄{雪～}袈{～袈裟}吉{～貝：棉花}家{～己}[3]絞攪{～鬧}[5]教漖{含水分多}校{校準}窖{地～}[6]咬共{介詞，我～伊講}
kʰ	[1]骹{腳}胛{～脊}奇{量詞，一～箸}茭{～白筍}尻{～穿：臀部}喀{拍～嗆：打噴嚏}[3]卡{關～}巧{奇～}[5]敲{叩、敲}揩{～油}
ɡ	[2]牙{敗～}
h	[1]哈[3]哈{吆喝牛馬聲}[5]孝-{帶～：戴孝}
∅	[1]阿亞{～洲}鴉丫[3]仔{詞尾或詞嵌，桌～、爸～囝}啞[5]亞{～軍}婭[6]也{～好}
#ia	
t	[1]爹
ts	[1]這{處所；這兒}遮嗟[3]姐者赭鍺[5]蔗炙{麵～：麵筋}借={～口}柘{～榮：地名}[6]謝{姓}炸{油～粿}
tsʰ	[1]車硨奢[2]斜勺{～仔}
s	[1]賒[2]佘{姓}斜=邪佘豺{～狗}蛇=[3]寫捨{～施}[5]舍瀉赦卸[6]謝{多～}射麝社榭
dz	[1]遮{～風：屏風}[3]惹
k	[2]崎{高～：地名}[5]寄[6]徛{陡峭}崎{陡峭}伽{丁～夫：中藥}
kʰ	[1]奇{～數}□{私～：私蓄}迦{釋～牟尼}[2]騎-[6]徛{站；住}伽{～藍：菩薩}
ɡ	[2]蜈{～蚣}□{蟧～：喜蛛}□{搬拿，～椅}□{臭～～：極臭}
h	[1]靴桸{勺子，匏～}遐{那兒}[2]蟻-瓦-{厝～}
∅	[1]埃{轟～：塵埃}[2]爺耶椰琊[3]野冶也{～先：古人名}[5]□{累；厭煩}也{之乎者～}[6]夜□{～種：撒播種子}
#ua	
p	[5]貝{吉～：棉花}
pʰ	[1]拋{～錠}[5]破{～柴}
b	[2]磨峇{～仔：鱷魚}
t	[2]□{鹹～：醬菜類}汰{～內：地名}[5]帶-□{居住}[6]大-舵-
tʰ	[1]拖-[5]泰{長～：地名}[6]汰{清洗}豸{蟲～}
l	[2]籮-[6]賴-{姓}偌{～大：多大}
ts	[1]抓撾{老～}[2]蛇-誰[3]紙-笊[6]誓{咒～}□{趟、次}綴{線～}
tsʰ	[5]蔡[6]□{娶；引，～路}漈{～頭：地名}
s	[1]沙-鯊痧砂-施{灑落}[3]徙-刷耍漱灑{～家}硒{灰～}[5]續{接～}
k	[1]瓜歌-過-{老}柯{姓；木名}[2]□{～腳：歇腳}[3]寡{有一～：有一些}[5]掛卦蓋-芥褂過{罪～}怪{見～}
kʰ	[1]誇跨垮胯[2]□{白～～：白花花}[3]可{小～：輕微}[5]□{擱置；依靠}跨{徛～：站馬步}
ɡ	[3]我-[5]哦{嘆詞，表驚奇、讚歎}[6]外-
h	[1]化{熄滅，火～去}花嘩華[2]鏵樺[3]華{姓}[5]化{文～}[6]嘩{～～叫：喧鬧}
∅	[1]蛙窪娃媧椏{樹～}挖{～苦}蝸[3]倚{靠近，～年}瓦=[5]□{溶，～田；溶制，～醬清}[6]畫-話
#ɔ	
p	[1]埔晡{下～：下午}□{腐朽}蒲{～薑：木名}□{籠～}埠{～頭}夫{tsa1～：男人}[2]□{豆～}莆{～田}蒲匍哺{反～}□{圓～}捕苞{蓮～：蓮蓬}袍{龍～}[3]補脯{菜～}哺{～乳}[5]布佈怖傅{姓}播[6]步部哺{咀}埠{石～}
pʰ	[1]鋪麩-{麥～}[2]扶-{拾起；奉承}菩[3]普譜浦圃埔{黃～}溥[5]鋪{量詞，十華里}[6]簿□{制糖作坊}
b	[2]模漠{沙～}摹膜□{腫一～}謀牟眸[3]某姥牡□{江～柴}畝[6]幕慕募暮墓=戊茂貿懋
t	[1]都{首～}[2]徒圖途塗屠{姓}荼投廚{～子}[3]肚{腹～：肚子}堵賭睹屠{～殺}陡鬥{北～}抖蚪[5]鬥{戰～}妒□{洇水；滲過}[6]度鍍渡杜肚{又，豬～}豆逗{～號}□{～猴：螻蛄}痘竇
tʰ	[1]偷=[2]頭=塗{泥土}[3]土{～地}吐{伸出、凸出}[5]吐{～血}兔菟透[6]渡{以液體助食物下咽，～湯}
l	[1]□{微焦}□{著～：一種皮膚病}[2]盧顱鱸轤廬爐蘆鸕婁摟瘺樓=蔞髏[3]魯櫓虜鹵努{～力：勞駕}□{搖～：搖晃}[6]路賂輅露鷺蕗漏裸陋鹵{鹽～}
ts	[1]租鄒芻{～議}謅雛[3]祖阻組詛俎殂沮走=[5]奏=腠輳湊揍皺縐[6]助驟{步～}乍祚
tsʰ	[1]粗初=□{～屎：大糞}[3]楚礎[5]醋措錯{舉直～諸枉}湊酢腠{又}輳{又}
s	[1]蘇穌酥疏=蔬=梳=搜甦□{～腰：背稍彎}[3]所{又}叟溲瘦艘溯擻漱[5]素嗦愫數訴嗽疏{奏～}
k	[1]姑菇枯怙骷詁蛄沽酤觚舊{～鎮：地名}句{～踐}孤辜鴣家{翁～}[2]糊-{米～}膏{～藥}[3]古估牯鈷{茶～}罟狗=枸苟購媾蠱鼓臌瞽賈{商～}垢個{量詞；個}構[5]故固痼錮雇顧夠詬構{又}
kʰ	[1]箍呼{～雞}□{茶～：茶餅}□{目～：眼眶}□{塊}[2]糊{粘，纏}□{趨～：依賴}[3]苦許{姓}口=滸{～茂：地名}古{～縣：地名}可{寧～}[5]庫褲寇蔻袴絝{紈～}叩{～首}
ɡ	[2]吳蜈{～蜞}吾梧浯{～嶼：地名}[6]五-伍{五的大寫}誤悟晤寤
h	[1]乎呼罅呼{嗚～}□{排場，請甲真～}[2]胡葫葫蝴瑚湖糊猴=弧狐侯□{水中撈物}[3]虎琥唬否滸{水～}缶吼[5]庫□{發語詞，含責問義}[6]戶護滬扈互雨-後=逅厚={忠～}候{～補}祜後
∅	[1]烏鎢嗚{～呼}鄔謳鷗[2]胡{姓}壺盂[3]□{挖}嘔漚[5]惡{可～}[6]芋
#o	
p	[1]玻婆{阿～、姑～}褒鄱[2]婆{又}□{船～邊：船舷}[3]保堡褓煲葆寶鴇[5]報簸{顛～}[6]暴剖{～白}
pʰ	[1]波坡皤[2]葡[3]頗{偏～}叵跛[5]破=剖{解～}□{鬆脆，～豆}樸{～實}[6]抱-部{量詞，一～冊}
b	[2]無{沒有}[3]母姆拇{大頭～：大拇指}[6]帽磨{石～}
t	[1]多哆刀[2]它駝鴕舵陀佗跎沱砣酡淘陶淘逃濤燾□{鍛煉、學習}[3]島搗倒{顛～}禱朵剁垛躲跺[5]倒{～水}到[6]導道蹈盜悼惰稻墮纛
tʰ	[1]拖滔韜絛□{癡，戇～～：不懂事}叨饕咷[2]桃佗{佚～：玩要}□{雞～仔：未成熟的雞}[3]討妥[5]套唾橢
l	[1]啰{伽裏～：離結果尚遠}□{姣～：女人輕浮}[2]羅鑼邏籮=牢螺=勞澇癆撈騾□{粘～：稠糊}哪{～吒}醪{混濁}[3]老惱腦瑙栳潦{～草}□{o1～：讚美}[5]□{個子高}□{就}[6]□{燒～：暖和}□{視力差，目珠～～}
ts	[1]嘈{胃～：胃不適}[2]曹遭槽嘈漕[3]左棗澡藻早=[5]做佐灶[6]坐座造皂{塗、畫}
tsʰ	[1]磋蹉搓操{～行}臊{腥}嵯[3]草=[5]錯糙挫坐莝{砍}銼操{曹～：人名}噪造{～詣；～次}
s	[1]梭唆騷搔嗦挲{撫摩}搓{～草索：編草繩}蓑娑[2]□{蟲爬行；磨蹭}[3]嫂鎖瑣嗩[5]燥掃{糞～：垃圾}躁[6]唆{使～：挑撥、教唆}
k	[1]哥歌□{癩～：麻風病}□{柑～仔}高篙{竹～}膏羔糕戈堝鍋睾皋□{井仔～}[2]□{茹～～：亂糟糟}個{量詞}翗{豛～：地名}[3]果稿縞槁鎬杲裹=顆[5]告誥郜{姓}過□{劃，～船}個{～體}[6]號{年～：年份}
kʰ	[1]科蝌苛{～刻}屙訶{～子}軻珂柯=窠[3]考洘{水分少}拷烤栲可坷舸□{擲}[5]靠課錁誥{又}犒
ɡ	[2]鵝俄蛾峨哦娥遨熬鼇嗷訛莪{～術}翱嗥[6]傲臥餓驁
h	[1]號{怒～}呵{～～：微熱}[2]禾和河荷何豪壕毫曷[3]好[6]號賀浩鶴禍皓昊顥高耗荷{負～}和{～詩}
∅	[1]□{～lo3：讚美}屙蒿{茼～：蔬菜}撾{又，老～}倭苛{～政}屙萵窩蝸鍋渦鏖□{煨，～雞酒}[2]蠔{牡蠣}蠔{牡蠣}嚎{～仔：呼豬聲}[3]襖婀媼□{扭傷，手～著}[5]澳奧懊塢{船～}[6]呵{又}
#io	
p	[1]標鏢膘嘌{笑～、～歌}[3]表-錶[6]鰾-
pʰ	[2]薸{浮萍}[5]票漂
b	[2]描瞄[3]渺{輕薄而小}[6]廟
t	[2]潮跳{跳躍}長{～泰：地名}[5]釣吊{中醫療法，用藥力祛除體內傷、膿}[6]趙-掉-{發抖}度{～晬：周歲}□{在，佇～：在}□{在鍋裏小煮一陣}
tʰ	[1]挑{～刺}刁{～仔糖}[5]糶
l	[2]撩{用刀等從上選取，～油}蜊{～仔}[6]略{～～仔}
ts	[1]招-椒蕉[3]少-[5]照醮[6]嚼{反～：反芻}
tsʰ	[1]□{雄性發情}[5]笑-唱-□{挺～：仰臥}[6]耀{用燈照射}
s	[1]燒-相{互相，～拍}霄{雲～：地名}[3]小-
dz	[6]尿-
k	[2]橋蕎茄[5]叫[6]轎藠{露～：藠頭}
kʰ	[5]竅{做～：行巫術}
ɡ	[2]橈{～pe1：短槳}□{白～：大蛤蜊}偶{～的：同名者互稱}[3]睨{做媚眼}
h	[1]□{兩棒相擊，使一棒拋遠}[3]□{驅趕聲、趕出，～出去}
∅	[1]腰幺{一的另稱}邀{養育，～囝}[2]搖窯[3]毆{以杖擊}
#e	
p	[1]□{竹片}□{陰戶}[3]捭{有目標的投擲}[5]蔽
pʰ	[1]批{～評；一張～：一封信}𠜱{～肉：剖肉}[3]䫌{喙～：面頰}[5]□{碎片，碗～}紕劈{～肉：割肉}[6]稗
b	[2]迷謎醚[3]買[6]賣𣍐{不；不會}袂
t	[1]低坻{糞～：垃圾堆}□{蠔～：面制油炸餅}茶{沙～醬}[2]題蹄[3]短-底-貯{裝，盛}[5]戴{姓}帝蒂諦□{量詞；塊，一～}締[6]地代{朝～}袋-弟悌遞第埭棣纻{～仔布：蘭麻織的布}
tʰ	[1]胎推{～辭：推託}□{斜靠而臥，～椅}釵梯=銻[2]提堤啼[3]體[5]替退剃涕睇啻
l	[1]奶{哭娘～：哭喪}[2]麗{高～參}璃犁梨螺-腡個{量詞}[3]醴蠡禮奶{娘～}詈{婦人咒罵}[5]□{磨擦、打磨，～破皮}[6]麗{美～}儷驪厲勵礪蠣□{草～：除草器}□{扒，～火灰}戾唳籬{飯～}荔{～枝}隸鑢{鋸～}鱧
ts	[1]災-{著～：瘟疫}劑躋遮鄒{華安讀音}□{～落去：蔫}[2]齊臍薺{荸～}[3]姐{映～：舊指婢女為妾者}這{近指代詞}濟{～南}□{～泄：不悅之狀}[5]際祭啐晬{度～：周歲}濟{經～}霽儕{同～}擠[6]坐-座-罪{～過}□{多}
tsʰ	[1]初-{～一}妻淒萋棲{兩～動物}[3]扯[5]切{一～}脆粞{壓掉水份的米漿，粿～}□{涮；涮具，鼎～}[6]坐{儲存，～貨；賠，～錢；道歉}□{下沉，～清，～落去}
s	[1]西{～醫}恓茜{金魚～}梳-疏-蔬犀[2]□{頷～：圍嘴兒}[3]洗-黍{俗指高粱}所銑[5]細-{小，～漢}
k	[1]雞街-稽羈嵇笄[2]鮭{醃漬的水產品，麥螺～}[3]改解□{向目標投擲}[5]計界{四～：到處}疥解{～送}繼
kʰ	[1]溪□{割掉}□{挨～～：小兒生病時愛糾纏}[2]□{～～：涎著臉要}[3]啟[5]契□{吐}喫{啃}
ɡ	[2]倪{姓}霓□{～～：懷疑；厭惡}[3]詣{造～}倪{端～}鬩[5]穢{掃～：掃地}[6]藝=毅-囈羿{後～}
h	[1]□{眯眼看，目～～}[2]奚蹊□{擠擦，～過去}攜[3]□{遠指代詞}嘿[6]系蟹{毛～}
∅	[1]挨{磨，～粿；拉，～弦仔：拉胡；擠}[2]鞋個{的，助詞}[3]矮-□{呼人詞}[5]□{呼人詞}[6]解{會；可以、能夠}
#ue	
p	[1]杯{杯子；亦稱尚杯，占卜用具}飛-[2]培陪賠裴{姓}菠{～薐仔：菠菜}[3]掊{扒拉，～開}[5]貝鋇輩背{名詞}褙□{病名}[6]揹倍焙蓓棓{船尾扇舵}狽佩珮悖
pʰ	[1]坯{半成品，粗～}胚{豬～仔}醅{豆～}□{～死命}[2]皮[5]配呸{從口中吐出}□{碎片}轡[6]被-{名詞}
b	[1]梅{人名用}[2]梅煤媒玫枚莓酶黴糜{又}[3]每尾美{角～：地名}[6]未{尚未}
t	[2]兌頹[5]綴{跟隨，～人去}對{動詞，聯～：對對子}
tʰ	[2]□{血～仔：病名}[5]退蛻[6]□{笨拙}
l	[2]羸[3]餒[6]內=
ts	[3]贅{魚～仔：贅疣}[5]最贅{入～}[6]罪睡{ka1～：睡覺}綴{線～}
tsʰ	[1]吹-炊-{蒸}[2]箠[3]髓[6]□{找}
s	[1]衰□{胡～仔：蠛蠓}[2]垂[5]稅帥歲[6]□{液體順容器邊流下來}
dz	[2]挼{壓捏、揉進，～殘：摧殘}蕤[6]稅芮{姓}睿耒{～耜}
k	[3]果{～子}粿{年糕}裹{包，～粽}□{墊，～高}[5]過{傳染；～程}會{～計}髻{雞～：雞冠}膾儈劊噲繪檜鱖{～魚}[6]□{將人的手擰到背後，～捘螺；不順，～手}
kʰ	[1]盔詼恢魁[2]瘸葵{～扇}[3]課{～堂：地名}[5]課{工～：工作}
ɡ	[6]外
h	[1]灰恢{又}[2]回和{～尚}茴迥徊蛔[3]火夥夥{多}[5]貨歲賄悔海晦[6]會{開～}繪薈憒聵潰
∅	[1]鍋{土鍋}□{挖}猥喂{應答詞}[3]挖[5]穢[6]衛□{糠，糠～仔}
#ɛ	
p	[1]扒{用筷子扒飯入口}[2]爬琶杷扒{抓撓，～癢}筢{～dzi2：筢子}[3]把-{～門；一～花生}靶[6]爸{老～}耙
pʰ	[5]帕{兜住；包物的布}[6]□{象聲詞，～～走}
b	[3]馬-碼{石～：地名}瑪
t	[2]茶-
tʰ	[3]□{拉～食：吃東西時浪費}[6]䖳{海蜇}
l	[1]咧{哩哩～～：多嘴}□{用刀尖劃開}[5]□{加～骹：擱腳}[6]□{噱～～：口澀感}
ts	[1]查渣楂猹咱[5]炸{爆～}詐債榨□{一下”合音}[6]寨-
tsʰ	[1]叉杈差{出～}岔釵{又}[2]查{～字典}[5]廁[6]唶{漏～～}
s	[1]紗沙砂裟[3]□{～好}[5]灑{～水}□{重物往下猛擊，～著頭殼}[6]□{黏液，腸仔～}石{～榴}□{病，人～}
k	[1]家加傢笳茄伽{瑜～}跏痂鉫嘉葭佳[2]枷[3]假{真～}瘕賈{姓}[5]架駕稼嫁價假{放～}[6]下{低}
kʰ	[2]揢{卡住}[3]□{“起來”合音}
ɡ	[1]□{好，真～}[2]牙芽研迓訝蚜衙[6]藝{無～：害羞}
h	[1]瘕{喉病，聲～～：沙啞}[2]蝦-霞遐暇瑕[6]嗄{陷～聲：嘶啞聲}下夏廈
∅	[3]瘂{瘖～}呃{吐，～出來}[6]廈{～門}下{量詞，三～；底，～骹：底下}
#iu	
p	[1]彪
pʰ	[1]□{快跑}
b	[2]繆{綢～}[6]謬繆{姓}
t	[1]丟{緊一～}[2]綢稠=惆籌疇儔躊妯[3]肘{ta1～：形容孩子自立能力強}[5]晝[6]粙{稻}紂宙胄籀
tʰ	[1]抽紬{衣襟貼邊，掛～}[2]頭{首領，含貶義，～個}
l	[1]溜蹓{街～：不務正業者}□{胡～：泥鰍}[2]留榴瘤騮遛□{翻選剔除不良者，～柑仔}劉=瀏鎏[3]柳紐{～仔：紐扣}鈕{～仔：紐扣}綹{量詞，一～面線}[5]溜{油滑，～痞}□{用繩套拴豬狗等，～豬仔}[6]□{青魚}餾{再蒸一次}
ts	[1]州洲周週舟啁啾啁珠{目～：眼睛}[3]酒守{～門}帚[5]蛀-咒[6]就鷲蹴
tsʰ	[1]秋鞦楸湫鰍{又}鬚{鬍～}羞{用食指刮臉以示羞人}[2]愁仇{姓}[3]手-帚{掃～}[5]啾{拍加～：打噴嗅}[6]樹-
s	[1]收修羞{～恥}饈[2]囚泅{～水：游泳}仇讎售{銷～}酬[3]守={保～}首手=艏{船頭部分}醜[5]秀繡鏽琇獸袖宿{星～}守{太～：官名}狩[6]受授綬壽岫{鳥～：鳥窩}
dz	[2]柔揉{擦洗}鞣鞣魷[3]蹂{～躪}
k	[1]□{縮入}[2]求球裘俅逑銶賕猶虯遒{又}[3]九=玖久=糾赳韭=[5]救究灸=□{縮短、縮小，布～水}[6]廄疚咎柩舅=臼=桕舊=
kʰ	[1]丘=邱=蚯鳩龜{～茲：古國名}[2]虯{蜷曲，～毛}[3]□{拉}[6]䊆{軟而韌}
ɡ	[3]□{拉}□{青～～：未成熟}
h	[1]休庥貅髹鵂咻[2]襦{棉～：棉襖}[3]朽[5]溴{元索}□{噴灑，～水}臭嗅[6]複=
∅	[1]優憂疣攸悠幽呦麀[2]尤猶由油郵柚蚰鈾斿遊遊蝣酋{又}輶猷繇[3]友誘莠酉有黝牖[5]幼蚴[6]釉又右佑囿宥侑鼬
#ui	
p	[2]肥-[3]痱{～仔}[5]痱{又，秋～}[6]吠-□{尿～：椿象}
pʰ	[3]呸{表示斥責、不屑之聲}[5]屁□{～面}沸
b	[1]□{眼小、眼微合}微{～～仔笑}
t	[1]追堆[2]捶搥[5]對碓{水～}[6]隊墜{耳～}懟隧墮
tʰ	[1]推梯-[2]錘槌□{笨、鈍；不尖}[3]腿[5]頹{又，～廢}[6]縋{繩懸物，～重}
l	[1]鐳{銅～}[2]雷鐳{元素}擂縲{～祖}[3]累{積～}纍瘰磊蕊壘蕾儡誄{～文}[6]累{拖～}淚類褸{又}縋{又}□{向下拋石頭}
ts	[1]錐椎騅□{ka1～：斑鳩}□{交～：榛子}□{瘡面發紅狀}[2]摧{用刀橫截}[3]水嘴{～臉}[5]醉[6]萃翠瘁粹
tsʰ	[1]崔催炊{～事員}推{又}摧{又}吹[3]璀揣惴髓[5]翠碎淬脆{幹～}喙{口，嘴}
s	[1]荽{芫～}蓑{棕～}□{毛～：劉海兒}雖綏缞[2]隨隋垂陲箠睡誰[3]水={風～}嫷{真～：很美}[5]碎誶[6]穗遂隧{～道}燧邃瑞祟
k	[1]歸巋規龜=機{布～}閨奎瑰{～寶}皈跬圭矽□{雞～：嗦子}[2]葵=揆逵馗夔[3]鬼幾{多少}詭宄{奸～}[5]貴季桂瑰{玫～}檜{～樹}聵悸癸[6]跪櫃簣饋匱□{母畜有孕，掛～}
kʰ	[1]開-虧悝睽[3]軌傀晷詭{又}跬{又}[5]氣-愧喟
ɡ	[2]危桅嵬隗巍[6]魏{姓}偽
h	[1]飛=非菲扉霏緋啡{嗎～}蜚{～聲}妃揮暉輝琿撝麾徽[2]肥淝□{陶瓷}瓷{訓讀，陶瓷}磁{～窯，地名}[3]匪菲{～薄}誹斐翡俳腓榧毀[5]費廢肺=諱芾狒卉喙[6]惠蕙蟪{～蛄}慧彗吠=
∅	[1]威葳崴衣-{胎盤}逶□{刀等用舊磨損}恚[2]唯維惟帷濰圍違闈為{行～}桅遺{～產}[3]偉緯葦韋瑋煒祎韙委萎諉痿[5]喂[6]胃謂渭蝟為{因～}位遺{贈與}
#ai	
p	[2]排徘俳牌擺{～設}[3]跛捭{～合}擺[5]拜[6]敗稗{～史}憊
pʰ	[5]派沛霈湃
b	[1]□{女陰}[2]眉楣埋霾[3]□{壞}䆀{壞}
