来源	**《安徽全椒县志》与胖丁实地调查结合，****“****胖丁****”****整理修改**
tʂ	①抓□{眉～着}③爪吒{哪～}
ʂ	③耍
k	①瓜③寡剐{把肉～干净着}④挂卦褂
kʰ	①夸③胯侉垮④跨挎
x	①花②华划④话化华画桦
v	①哇蛙娲②娃③瓦搲{～水}④洼瓦{～匠}搲{伸手去拿：～不到}
	#ei
p	①碑卑背悲杯③比{打～方}④臂避备倍焙篦被背闭弊毙庇币辈贝
pʰ	①胚②陪赔裴④佩配
m	②媒煤莓眉霉枚玫③美每镁④昧妹魅媚寐
f	①飞非菲妃②肥淝③翡匪诽④费废肺吠吠痱
t	①爹堆④兑队碓{～窝子}
tʰ	①推③腿④退蜕
l	①□{骑车子～到树上了}②雷擂镭③累磊垒蕾④累泪类内芮
ts	③姐嘴咀{地名用字}④最醉罪借
tsʰ	①催崔摧炊{～子，水壶}②随（白）④脆翠萃粹淬
s	①虽尿②隋髓遂携邪斜③写史④碎穗岁隧谢卸
tʂ	①遮知{知了}蔗{～糖}
tʂʰ	①车□{桌子搞～得了}③扯
ʂ	①奢赊②蛇佘③舍④舍社
k	③给
kʰ	②尅{～人，打人}
	#uəi
tʂ	①追锥椎④坠缀赘缒
tʂʰ	①炊吹②锤垂捶槌
ʂ	③水④睡瑞
ɻ	③蕊④睿锐
k	①闺规龟归③诡轨鬼④桂柜贵鳜
kʰ	①盔亏窥②葵奎魁逵夔馗④愧溃馈匮跪
x	①灰辉挥徽晖恢②茴回蛔③悔毁④汇会烩惠讳
v	①威煨②维微危围惟违为纬圩③伟韦委伪萎④为位喂味胃慰魏渭
	#æ
p	③摆④拜败稗
pʰ	②牌排④派
m	②埋霾③买④卖迈
f	①□{叫疼声}
t	①呆③逮歹④待怠戴代贷袋带大{～夫}汰{～衣服}呔{～!伙计啊}
tʰ	①胎台{～州}②抬苔跆薹④太泰态钛汰
l	①□{语气词}②来莱③奶乃□{～草}④赖濑籁癞睐耐奈
ts	①灾栽哉③仔宰崽载④再在载
tsʰ	①猜②财材裁财③彩采睬④菜蔡
s	①塞腮鳃④赛
tʂ	①蜘斋③赭{地名，芜湖赭山}者④债寨柘{地名，巢湖柘皋}侧{身子坐～得着}
tʂʰ	①差钗②柴豺③踩
ʂ	①筛④晒
k	①该街③改解（白）④盖钙丐溉芥庎{～栏，城里人谓之碗橱}界{界首，地名}
kʰ	①开揩③凯铠楷④慨概
x	③蟹海④害亥氦骇
ŋ	①唉挨哀埃②捱呆□{这件事不是～的吗，即肯定的事}③矮霭④爱艾暧□{老在那～，即磨磨蹭蹭}
ø	②儿③而尔耳饵④二贰
	#iæ
tɕ	①皆阶秸枷{连枷，脱粒用的农具}④届诫械介界戒
ɕ	②谐④懈
ŋ	②癌④碍
ø	①椰③也冶
	#uɛ
tʂ	③拽④拽
tʂʰ	①揣④踹
ʂ	①衰摔③甩④帅率
k	①乖③拐踝{螺丝踝：脚踝}④怪
kʰ	③蒯④刽会快块筷侩
x	②淮槐怀③□{左右摇晃得走，老鸭～蛋}④坏
v	①歪②崴④外
	#ɔ
p	①包胞苞褒③保堡宝饱④抱报暴鲍豹爆刨菢{～小鸡}
pʰ	①泡抛□{～乎乎的，软的}②跑袍④泡炮
m	①猫②矛茅毛髦③卯{暗含次序，不小心漏掉}④贸茂貌帽冒
t	①刀③祷岛导倒到{找不～了}④到道倒盗稻
tʰ	①韬②涛滔陶逃桃萄淘③讨④套
l	①捞唠②牢劳挠痨③脑瑙恼老佬姥{姥姥，姑姑}④涝闹淖{～泥，烂泥}□{甜食，肥肉太腻，～人}
ʦ	①糟遭③早澡枣藻④灶皂
ʦʰ	①操②槽曹漕③草④造燥糙
s	①骚缫搔③扫嫂④□{快，搞～毫子}
tʂ	①朝招昭钊③找爪④召罩赵兆照□{可以，行；个～，行不行}
tʂʰ	①超抄钞焯②潮朝巢嘲③吵炒④钞{管你有钱有～}
ʂ	①烧稍梢筲{～箕，淘米洗菜的用具}②韶{爱出风头}绍{介～}③少④少邵哨
ɻ	①绕{～起来}②饶③扰绕{～线，缠～}④二绕{～路}
k	①交高糕皋膏羔③搞稿□{不见了，搞～得了}④告{□：跟，同；～你讲}
kʰ	①敲（白）③考烤拷④铐靠犒
x	①蒿②号毫豪嚎壕濠蚝③好④号耗浩昊皓
ŋ	②熬獒敖③袄④奥懊{～悔}傲澳
	#iɔ
p	①标彪镖飙膘③表婊裱瀌④□{偷偷看到，我～到着}
pʰ	①飘漂②瓢嫖③漂④票漂
m	①喵②苗描③秒渺藐淼④庙妙
t	①雕叼刁貂碉凋③屌鸟④掉钓调貂
tʰ	①挑□{汤匙，～子}②调迢苕③挑{～明}④跳眺
n	②燎疗聊撩僚潦镣③鸟袅④撂料
tɕ	①教浇椒骄焦郊娇胶蕉礁③狡搅剿缴饺绞④校{学～，～对}较轿噍{咀嚼}
tɕʰ	①锹②桥侨瞧樵谯荞乔{拿～，自抬身价}③巧{价格便宜}④撬窍翘俏
ɕ	①萧肖潇消宵硝销消嚣逍枵{薄或液体稀}②淆③小晓④酵笑孝效校笑哮啸
ø	①腰邀妖腰要约{用称～}②摇瑶尧瑶谣窑姚尧遥夭③舀杳咬④要耀跃{大～进}
	#ɤɯ
pʰ	①剖
ʦ	①绉诌③走④奏揍邹骤
tsʰ	②愁③瞅④凑
s	①嗖馊艘③搜叟④瘦嗽{咳～}
t	①兜都③陡抖④斗逗豆窦
tʰ	①偷②头投④透
l	②楼娄髅镂③搂篓缕④漏陋
tʂ	①周州洲舟③肘帚扭{～开瓶盖}④咒轴昼纣胄（0）昼{上～，上午}
tʂʰ	①抽②仇筹稠酬绸畴惆踌③丑④臭
ʂ	①收③手首守④兽受售寿授狩绶
ɻ	②柔揉蹂④肉□{慢吞吞，太～了}
k	①沟勾钩③狗苟枸④够购构垢
kʰ	①抠眍{眼～进去了}③口④扣寇蔻
x	①齁②侯喉猴③吼候{等待，～我一阵}④后厚
ŋ	①欧殴鸥区③呕偶藕④怄{～气}
	#iɤɯ
m	④谬
t	①丢
tɕ	①灸揪纠③久九鸠韭④救究臼舅旧疚
tɕʰ	①蚯秋邱丘阄{拈～子}□{烟熏人眼，～眼}②囚求球仇裘□{抓着人不放}
ɕ	①休貅③朽④秀绣袖锈溴臭
ts	①揫鬏③酒④就
tsʰ	①秋□{烟熏人眼，～眼}②囚
s	①修羞④秀绣袖锈
ø	①幽悠忧优②油由游邮尤犹③有友酉④又右幼佑诱柚鼬祐
	#ẽ
tʂ	①毡沾粘詹③展④占战{颤抖；心直～，炮竹把窗子炸直～}
tʂʰ	②缠禅{褒禅山}
ʂ	①扇煽③闪陕④善扇鳝膳鳝蟮
ɻ	②然燃③染冉苒
	#iɪ̃
p	①边鞭编③贬扁匾④变便辩辨辫汴
pʰ	①偏篇翩③□{屁眼}④片骗
m	②棉绵眠③免勉缅冕④面
t	①颠癫巅滇掂踮③点典碘④殿店电奠甸垫惦淀
tʰ	①天添②田填甜③舔腆
n	①拈{捡}②年粘黏连怜莲帘廉联涟镰③撵碾捻脸敛④念廿恋练炼链
tɕ	①监兼坚肩搛奸艰③减捡检俭茧戬碱简茧柬④见建贱件剑健键涧鉴舰
tɕʰ	①鹐谦铅牵②乾虔钳③遣谴缱④欠歉
ɕ	①掀②嫌咸闲娴③显险④县献苋陷
ts	①尖歼煎③践剪④荐箭渐
tsʰ	①签阡扦千迁②全泉荃痊前钱潜③浅④纤倩
s	①宣先仙鲜暄喧先{～生}籼{～稻}②旋璇漩③选癣④旋现羡线腺
ø	①烟焉腌阉胭嫣颜严②言延严岩檐炎盐沿③掩淹衍④燕厌宴验艳焰研焱苑
	#yɪ̃
tɕ	①娟捐绢鹃涓③卷④卷倦眷毽
tɕʰ	②权拳③犬④劝
ɕ	①轩萱②玄悬④眩炫
ø	①渊鸢鸳冤②阎元原员缘园圆源袁猿媛援③远阮④愿怨院
	#õ
p	①搬般{一～大}④半伴拌
pʰ	①潘②盘蟠磐④判畔叛绊
m	①满②馒瞒④漫
t	①端③短断{拦截，把路～着}④断段锻缎
tʰ	①湍②团
l	②峦銮鸾孪③卵暖④乱
ʦ	①钻③纂④钻攥
ʦʰ	①窜蹿④窜篡
s	①酸④算蒜
tʂ	①专砖颛③转④传转撰篆
tʂʰ	①穿川②船传椽③喘④穿钏
ɻ	③软
k	①官观棺冠{鸡～子}③管馆④冠灌罐
kʰ	①宽③款
x	①欢②桓③缓④换焕唤浣涣宦
ø	①豌蜿②完丸烷纨玩{古～}③宛碗挽婉惋④腕
	#ən
p	①奔③本④笨迸
pʰ	①喷怦②盆
m	②门们母{舅母}④闷母{老母鸡，老母猪}
f	①分纷芬②坟焚③粉④奋愤粪份分
t	①登灯蹬蹲吨墩③等④邓凳瞪顿遁盾钝炖
tʰ	①吞②疼腾藤滕誊屯臀囤豚④褪{后退，往后～；去除，把衣服～的}
l	①□{随便应付}抡②棱能伦轮仑沦③冷④愣嫩论
ʦ	①僧曾增尊遵樽鳟争睁筝③怎④赠挣
ʦʰ	①参村皴撑②岑曾层存③碜{食物中夹杂砂石，～牙}④蹭寸衬
s	①孙狲森生笙牲甥参③省损笋榫④渗
tʂ	①诊真珍针贞斟甄侦砧征蒸③枕缜稹整拯④镇阵振震圳赈正证政郑症
tʂʰ	①伸郴称②臣陈尘宸成城乘诚承盛程丞橙③惩逞④称趁称秤
ʂ	①身深申绅声升②辰晨神什绳③沈审婶④甚肾蜃圣胜盛剩
ɻ	①扔②人任仁仍③忍④任认刃
k	①跟根更耕庚羹③耿梗④亘更
kʰ	①坑吭③肯恳垦啃④掯{低着头，头～着}
x	①哼亨②痕恒衡蘅③很狠哄④恨
ŋ	①恩樱②嚚{脸皮厚，做事过分，一般教训孩子}④硬
	#uŋ
p	①崩绷④蹦
pʰ	①抨烹②蓬朋彭鹏棚篷澎膨③捧④碰
m	①闷蒙②蒙盟萌朦檬③蒙猛④梦孟
f	①风丰封峰蜂锋枫疯②冯逢缝④凤奉缝
t	①东冬③董懂④动洞冻栋
tʰ	①通②同铜童桐仝潼③统桶筒酮□{搬迁，这家店～到其他地方了}④痛
l	②龙笼隆聋胧侬浓侬脓③陇垄拢④弄
ʦ	①宗踪综鬃棕③总④纵粽
ʦʰ	①聪葱匆②从丛崇重{重讲一边}④冲
tʂ	①中终忠钟衷盅种肿④中种重众仲
tʂʰ	①充冲②重虫③宠
s	①松嵩②怂③耸悚④送宋诵颂讼
k	①公功宫攻工恭弓龚蚣③拱巩贡④共贡供
kʰ	①空③孔恐④空控
x	①轰烘②红弘洪鸿宏泓③哄④讧
	#ioŋ
tɕ	③炯炅窘
tɕʰ	②穷穹
ɕ	①兄凶胸②熊雄
ø	①庸②荣容蓉融绒③雍勇涌拥④用
	#iən
p	①斌彬宾滨缤濒兵冰槟③饼禀丙秉炳柄④鬓殡病并
pʰ	①拼乒娉②贫频颦嫔平凭瓶萍苹评坪③品④聘
m	②民明名鸣冥铭茗③敏闵闽④命
t	①丁钉叮③鼎顶④定订腚
tʰ	①听厅②亭庭廷停婷霆蜓③挺艇
l	①拎②您宁凝柠林临邻麟鳞磷霖琳淋陵灵凌零菱龄玲铃聆③拧凛领岭④赁吝蔺令另
ʦ	①津精睛晶③井④尽进晋浸静靖
ʦʰ	①亲侵②秦寻{～死,～钱}③寝④沁
s	①心新辛薪莘锌馅芯星腥猩惺③省醒擤{～鼻子}④信姓性
tɕ	①今金斤巾筋经惊京荆旌茎鲸③锦紧仅瑾谨景警颈④近禁劲敬境镜竞
tɕʰ	①钦②琴勤禽擒芹
ɕ	①欣馨兴②行形邢刑型④兴幸杏
ø	①音阴因殷姻茵应英莺婴鹰缨鹦瑛②银吟淫寅迎营盈莹萤荧萦赢楹蝇③引隐饮荫瘾蚓影颍郢颖④饮印应映
	#uən
tʂ	①谆③准
tʂʰ	①春椿②鹑③蠢
ʂ	②纯唇淳醇③吮④顺舜瞬
ɻ	②戎茸
ʦ	①尊{文}遵{文}樽{文}鳟{文}
ʦʰ	①村{文}皴{文}②存{文}④寸{文}
s	①孙{文}狲{文}③损{文}笋{文}榫{文}
k	③滚衮④棍
kʰ	①坤昆鲲③捆④困睏
x	①昏婚荤②横魂浑混馄④混
l	①抡{文}②伦{文}轮{文}仑{文}沦{文}④论{文}嫩
ɻ	④闰
ø	①温瘟翁嗡②文闻雯纹蚊③稳吻刎紊炆{～糖}④问汶瓮
	#yən
ʨ	①肫军君均钧④俊骏郡峻竣菌
tɕʰ	②群裙琼③倾顷
ɕ	①熏勋薰曛②巡循旬荀询④训逊讯驯殉汛
ø	①晕氲②云芸匀耘③允陨殒永泳咏④运韵蕴孕酝熨润{～凉的，很舒服的凉}
	#ɑ̃
p	①班斑颁扳癍帮邦梆③绑榜膀版阪板④傍棒蚌磅办
pʰ	①滂乓②旁螃庞彷爿④胖瓣襻{衣服～子}
m	①慢②忙芒茫盲邙蛮③莽蟒④曼
f	①方芳帆翻藩幡②房防妨矾凡烦繁樊③访仿纺反返④放饭犯范泛贩
t	①当铛裆丹单担③党挡胆掸④当荡砀但旦弹担淡诞蛋氮
tʰ	①汤趟贪滩摊瘫坍②堂糖唐棠塘螳谈弹谭潭坛昙痰檀③倘躺淌坦毯④趟烫叹探炭碳
l	①□{语气词，～！把东西拿下子}②狼郎廊琅囊蓝拦兰栏岚阑澜斓婪男难南楠腩③懒揽览缆榄□{左右摇晃的用水冲洗，～碗}朗④浪阆㫰{晾晒，～衣服}烂滥难
ʦ	①脏赃簪②㜺{好看}③攒④藏葬奘赞蘸
ʦʰ	①苍沧仓舱参餐②藏残蚕惭馋③惨④灿璨粲□{摩擦，～到墙了}
s	①三叁桑③嗓搡伞散馓④散丧□{厉害，你真～}
tʂ	①张章璋漳蟑獐樟□{切，～菜，～肉}③长掌涨斩盏崭辗④丈杖帐障胀暂站湛栈绽
tʂʰ	①昌娼倡猖搀掺②长常尝嫦肠偿蝉禅婵潺蟾③场敞氅产铲④唱怅畅倡忏
ʂ	①伤商山删衫珊杉③赏晌④上尚
ɻ	②瓤③酿壤攘④让
k	①间{白}干甘肝竿柑刚缸纲钢冈豇③拣敢感赶杆橄秆擀港岗埂{田～}④干赣杠虹{出～行：～家，～路，步～}
kʰ	①康糠看堪勘刊②扛③慷砍坎槛侃④抗炕亢伉看阚瞰
x	①夯憨酣鼾②行杭航衔寒韩含函涵邯③喊罕④汉翰焊旱悍捍憾撼限{～定}
ŋ	①肮②昂④盎
	#iɑ̃
l	②娘梁良量凉粮粱③仰魉两④量亮辆谅
tɕ	①江将姜僵疆缰③讲蒋奖桨④犟降酱匠
tɕʰ	①枪羌腔②墙强蔷祥详降翔③抢强
ɕ	①相香乡湘箱镶襄③想响享饷④相向像象橡④项巷
ø	①鸯央秧鞅②阳杨扬洋羊③养氧痒④样漾
	#uɑ̃
tʂ	①装庄妆桩③奘{粗大}④状壮赚
tʂʰ	①窗疮②床□{上下摇晃}③闯④创
ʂ	①双霜栓闩拴③爽④涮
k	①光关鳏③广④逛惯贯掼
kʰ	①框匡筐诓圈{绕个～子}②狂诳环鬈{卷发，～毛}蜷{腿～着，～鸡}④况旷矿眶
x	①慌荒②黄皇煌惶璜磺凰蝗还鬟③谎愰④晃患幻
v	①汪湾弯②亡王顽③往枉网惘晚挽④望忘妄旺万
	#æʔ
p	八拔
f	法乏发伐罚筏
t	答搭沓达
tʰ	塔踏
l	蜡腊捺辣
ʦ	杂
s	撒萨靸：拖鞋或穿鞋的一种方式
tʂ	扎眨闸炸札铡
tʂʰ	插察
ʂ	杀煞
x	瞎{白}
	#iæʔ
tɕ	甲夹
tɕʰ	恰掐
ɕ	狭匣侠瞎辖
ø	押压鸭
	#uæʔ
ʂ	刷
k	刮
x	滑猾划
v	挖袜
	#ɛʔ
p	北百柏伯白帛
pʰ	拍迫魄
m	陌麦墨默
ʦ	宅窄摘择则贼
ʦʰ	泽拆策侧测册
s	塞
t	德得
tʰ	特
l	肋勒
k	格革隔
kʰ	客刻克
x	赫吓核黑
ŋ	额扼
	#əʔ
s	色虱涩瑟啬
tʂ	折哲蛰折浙辙
tʂʰ	撤彻澈
ʂ	摄涉舌设折
ɻ	热
	#ieʔ
p	别鳖憋
pʰ	撇
m	灭蔑
t	跌叠碟
tʰ	贴帖蝶铁
n	聂镊蹑猎列烈裂捏孽劣拟
ʦ	接捷节截绝
ʦʰ	妾切
s	泄雪屑
tɕ	劫揭结洁
tɕʰ	怯
ɕ	胁歇
ø	业噎叶页
	#yeʔ
tɕ	决诀厥
tɕʰ	缺
ɕ	血穴
ø	月悦阅越粤
	ʅʔ
tʂ	执汁蛰质置只直值织职植
tʂʰ	吃秩赤斥尺
ʂ	十湿拾失室适释石食蚀识饰
ɻ	入日
	iʔ
p	笔必碧璧壁逼
pʰ	匹僻劈
m	蜜密觅
t	的滴嫡敌笛狄
tʰ	踢剔
n	粒立栗率律溺历匿力
tɕ	急级给及吉击激极
tɕʰ	泣乞吃
ɕ	吸
ʦ	辑集缉疾迹积籍绩寂即鲫
ʦʰ	七漆戚
s	习袭悉膝昔惜席夕锡析息媳熄蟋
ø	一乙逸益亦译液抑易
	#uʔ
p	不
pʰ	卜扑朴
m	木目牧
f	佛福副幅蝠腹覆伏复
t	独读犊笃督毒
tʰ	突秃
l	禄六陆绿录
ʦ	卒足□{塞，瓶～子，～进去}
ʦʰ	猝族促触
s	速宿肃粟俗续蟀
tʂ	竹筑逐轴祝粥烛嘱蜀
tʂʰ	出畜触
ʂ	术述叔熟淑束属
ɻ	入日辱肉{～桂}
k	国谷骨
kʰ	哭窟
x	核忽或惑
ø	物勿屋
	#yʔ
tɕ	橘菊锔局倔
tɕʰ	黢屈掘曲
ɕ	蓄
ø	役疫狱欲浴郁
	#oʔ
p	拔钵拨博薄剥驳
pʰ	泼泊
m	末沫没莫幕寞摸{摸牌，摸鱼摸虾，摸黑}
f	缚
t	铎沰
tʰ	脱托
n	诺落骆洛络乐
ʦ	作昨凿
ʦʰ	撮
s	索
k	葛鸽郭括各阁角（白）
kʰ	磕渴阔廓扩
x	合喝镬霍获活鹤盒
ŋ	鄂恶
	#ioʔ
l	略掠虐疟
tɕ	脚觉爵嚼
tɕʰ	鹊雀却确
ɕ	穴削
ø	乐岳约跃药育
	#uoʔ
tʂ	镯拙着桌卓啄浊捉酌
tʂʰ	戳绰
ʂ	说勺芍朔
ɻ	弱
ø	握
