ɔ
tʂ　[1]猪蛛株朱烛珠[3]拄主[5]柱助住蛀注铸祝
tʂʰ　[1]初□{□手：伸手}[2]厨橱锄除楚[3]储[5]怵处{相处}
ʂ　[1]梳蔬淑书舒输{输液}[2]熟[3]暑叔蜀曙鼠黍数[5]树竖漱墅
ʐ　[1]输[2]如[3]儒辱擩[5]褥
k　[1]孤估姑[3]鼓股古[5]固故顾雇
kʰ　[1]枯[3]苦[5]库裤酷
x　[1]呼糊{糊泥}[2]胡和湖狐壶核{桃核}[3]虎[5]户护互瓠{瓠子}
ø　[1]蜈乌污诬巫坞[2]梧吴[3]五捂午武舞[5]务雾误恶物
y
n　[3]女
l　[2]驴[3]吕屡铝旅缕[5]虑滤
ts　[2]□{由于空隙小而发紧。}[5]聚
tsʰ　[1]蛆[3]娶取
s　[1]需[2]徐[5]续序蓄续
tɕ　[1]居车{车马炮}[2]局[3]举[5]巨句具俱距锯剧
tɕʰ　[1]区[2]渠[5]去{去掉}
ɕ　[1]虚[3]许
ø　[1]淤[2]余鱼渔娱榆愉[3]雨羽语[5]遇喻预欲浴玉狱
ʅ
tʂ　[1]知蜘脂支枝肢之芝汁[2]植值{不值得}直[3]纸只止趾址[5]志痣致痔治智制
tʂʰ　[1]眵痴[2]池驰迟[3]嗤耻齿[5]翅
ʂ　[1]施师狮尸屎诗[2]时十[3]使史驶始[5]市试事世势誓是氏逝示视士柿
ʐ　[5]日
ə
tʂ　[3]遮者
tʂʰ　[1]车[3]扯[5]撤射□{不正经}
ʂ　[1]赊[2]蛇[3]舍[5]社射摄
ʐ　[3]惹
k　[1]歌[3]哥[5]个
kʰ　[1]科[3]可[5]课□{特别喜欢}
x　[2]河荷和{和气}禾合盒核[5]贺
ŋ　[1]俄[2]蛾额鹅讹[5]饿
iə
p　[2]白别{别离}[5]别{别扭}
pʰ　[3]撇
t　[1]爹[2]叠碟蝶谍
n　[2]□{第三人称单数}
l　[3]□{用刀划着割。}[5]□{指建筑物发生了倾斜。}
ts　[2]劫截[3]姐[5]借
tsʰ　[1]□{用东西擦。}
s　[1]些[2]邪斜[3]写[5]卸谢泄灭
tɕ　[1]皆街[2]杰[3]解{解开}[5]介戒
tɕʰ　[2]茄
ɕ　[1]歇[2]谐鞋协[3]□{拆房屋等}[5]解{姓}解{懈}
ø　[2]爷[3]□{身体向后失去平衡。}[5]液腋夜业
uo
p　[1]波菠玻[2]博薄[3]播簸{簸一簸}[5]簸{簸箕}
pʰ　[1]坡[2]婆[3]叵[5]破
m　[2]模摹魔磨{磨刀}摩馍膜[3]抹{抹墙}[5]磨{石磨}
f　[2]佛
t　[1]多□{被雨淋}[2]夺踱[3]躲[5]垛跺剁
tʰ　[1]托拖[2]鸵驮[3]妥[5]唾
n　[2]挪[5]糯
l　[2]逻罗锣箩骡[5]摞
ts　[2]嚼[3]左撮[5]坐座
tsʰ　[1]撮搓[2]矬[5]挫措错
s　[1]梭[3]锁所
tʂ　[2]镯{镯子}
tʂʰ　[2]戳□{挑气。}
ʂ　[2]勺学[5]硕
ʐ　[3]□{吐}[5]弱
k　[1]锅[3]果[5]过
kʰ　[1]棵□{多指用棍子打}
x　[2]活{活命}和{和面}[3]火伙[5]祸货霍
ø　[1]窝踒[2]□{五个的合音}[3]我[5]卧
yə
ts　[2]绝
tsʰ　[1]□{灯泡由于钨丝断而不亮}
s　[2]□{风不定方向的吹}穴
tɕ　[2]□{骂人}橛{橛子}[5]□{屁股向一边歪}
tɕʰ　[3]□{用手掰}[2]瘸
ɕ　[1]靴
ai
p　[2]白{白吃}[3]□{生气}[5]拜败
pʰ　[2]排牌[5]派
m　[2]埋[3]买[5]卖迈
t　[1]呆待{待一会儿}[3]逮歹[5]戴贷黛代袋待怠带
tʰ　[1]胎[2]台抬[5]太泰
n　[3]乃[5]耐
l　[2]来[3]□{用抓住猛拽}[5]赖
ts　[1]灾栽[3]宰[5]在再载{载重}
tsʰ　[1]猜[2]才材财裁[3]彩[5]菜蔡
s　[1]腮鳃[5]赛塞
tʂ　[1]斋[2]宅[5]债寨
tʂʰ　[1]差{出差}[2]豺柴[3]□{用脚踩}
ʂ　[1]筛[3]甩[5]晒
ʐ　[3]□{扔}
tɕʰ　[3]□{起来的合音。}
k　[1]该[3]改[5]概盖
kʰ　[1]开[3]楷
x　[2]孩[3]海[5]害
ŋ　[1]哀埃矮[2]挨[5]碍爱
uai
tʂ　[3]□{得意}[5]拽
tʂʰ　[5]踹{脚底向外踢。}
ʂ　[1]衰摔[3]甩[5]帅率
k　[1]乖[3]枴[5]怪□{过来的合音。}
kʰ　[3]□{用胳膊挎着}[5]块快
x　[2]怀槐淮[5]坏
ø　[1]歪[3]崴[5]外
ei
p　[1]悲杯背{背书包}[5]备贝倍背{后背}辈焙{焙干}
pʰ　[1]胚坯呸[2]培陪赔[5]配佩
m　[2]眉楣梅枚媒煤[3]每美[5]妹昧
f　[1]飞妃□{叹词，突然受到疼痛时发出的声音。}[2]肥[5]费废疿{疿子}
t　[2]□{非常舒服。}
l　[2]雷[5]累{连累}
ts　[2]贼
ʂ　[2]谁
k　[3]给
x　[1]嘿
iei
p　[1]笔北
m　[1]蜜密
l　[1]力
ts　[1]集籍
tsʰ　[1]戚七漆
s　[1]悉息析锡惜
tɕ　[1]级
ɕ　[1]吸
ø　[1]一
uei
t　[3]□{撞车}□{互相抵消}[5]对队兑
tʰ　[1]推[3]腿[5]退蜕
n　[5]内
l　[3]垒[5]累类泪
ts　[1]堆[3]嘴[5]罪醉最
tsʰ　[1]摧催崔□{灯泡由于钨丝断而不亮}[5]脆翠粹
s　[1]虽[2]随髓隧[5]穗碎岁
tʂ　[1]追椎锥[5]缀坠赘
tʂʰ　[1]吹炊[2]垂锤
ʂ　[3]水[5]睡税
ʐ　[5]瑞锐
k　[1]闺龟规归[3]轨鬼[5]贵桂柜
kʰ　[1]盔亏[2]魁花环葵奎[5]愧溃跪
x　[1]恢灰挥辉徽[2]回[3]毁[5]会惠慧贿汇
ø　[1]危维唯微威[2]违围为{作为}[3]委尾苇伟[5]卫为{为什么}位未味胃魏
au
p　[1]包胞雹[3]饱保堡宝[5]抱豹爆报暴菢{菢小鸡}
pʰ　[1]抛泡{气泡}[2]刨袍[3]跑[5]泡{炮在水里}炮疱
m　[2]毛茅猫[3]毛{一毛}[5]冒帽貌贸茂
t　[1]刀叨蚤{圪蚤}[3]岛倒{打倒}导[5]萄{葡萄}倒{倒水}道稻到盗
tʰ　[1]滔掏淘{淘米}涛[2]陶桃逃[3]讨[5]套
n　[1]孬[2]挠[3]脑恼[5]闹
l　[1]捞唠[2]牢劳[3]老[5]涝
ts　[1]遭糟[3]早枣澡[5]皂造躁灶
tsʰ　[1]操{操作}[2]曹槽[3]草騲{騲鸡}
s　[1]骚臊[2]嫂[3]扫[5]扫{扫帚}
tʂ　[1]召招沼{沼气}[3]找□{说话带外地口音}[5]罩笊{笊篱}赵兆
tʂʰ　[1]抄钞超[2]朝{朝代}巢潮[3]炒吵
ʂ　[1]梢捎烧[2]绍[3]少{多少}[5]潲{潲雨}少{少年}邵
ʐ　[2]饶[3]扰[5]耀绕
k　[1]高膏羔糕[3]稿搞[5]告膏{膏油}
kʰ　[3]考烤[5]靠铐拷
x　[1]薅[2]豪壕毫号{呼号}[3]好{好坏}[5]好{喜好}耗
ŋ　[1]熬{熬白菜}[2]熬{熬夜}[3]袄[5]傲鏊{烙饼用具}奥懊澳
iau
p　[1]镖膘彪标[2]□{不要的合音}[3]婊裱表[5]摽
pʰ　[1]飘漂[2]嫖瓢[5]票
m　[2]苗描[3]秒[5]庙妙
t　[1]刁貂雕[5]钓弔掉调{音调}调{调动}
tʰ　[1]挑{挑选}[2]笤条调[3]挑{挑事}[5]跳粜{卖出米}
n　[3]鸟[5]尿
l　[2]嘹潦聊撩{撩起来}[3]了{了结}燎{火燎眉毛}[5]料撂尥{尥蹶子}
ts　[1]焦蕉椒[5]醮{打醮}
tsʰ　[1]劁{阉割}悄{静悄悄}[2]瞧
s　[1]消宵霄硝销[3]小[5]笑
tɕ　[1]浇骄娇交郊胶教{教书}[3]绞饺搅狡侥[5]教{教育}校{校对}较酵觉{睡觉}轿叫
tɕʰ　[1]敲[2]桥荞侨乔[3]巧[5]跷俏窍
ɕ　[1]嚣萧箫[3]晓[5]孝效校{学校}校{上校}
ø　[1]妖邀腰要{要求}[2]摇谣窑[3]咬舀[5]要{重要}
əu
pʰ　[1]剖
m　[2]谋[3]某
t　[1]兜[3]抖陡[5]斗嗽{咳嗽}豆逗
tʰ　[1]偷[2]头投[5]透
l　[1]搂[2]楼耧[3]搂{搂抱}[5]露漏陋
ts　[3]走[5]揍奏
tsʰ　[5]凑
s　[1]搜飕馊
tʂ　[1]周舟州诌粥洲[2]妯轴[3]肘□{用手举}[5]纣咒宙皱骤
tʂʰ　[1]抽□{从下面向上用力扶起或掀起}[2]仇酬绸愁稠筹[3]丑[5]臭
ʂ　[1]收[3]手首守[5]受瘦兽寿授售
ʐ　[1]□{扔}[2]柔揉[5]肉
k　[1]勾钩沟[3]狗枸[5]够构购
kʰ　[1]抠[3]口[5]扣{扣住}
x　[2]喉猴瘊{瘊子}[3]吼[5]后厚候
ŋ　[1]欧[3]藕偶[5]沤怄
iəu
m　[5]□{没有的合音。}
t　[1]丢
n　[2]牛钮[3]纽扭[5]拗
l　[1]溜[2]流刘留硫[3]柳[5]榴馏六
ts　[1]揪[3]酒[5]就{就着}
tsʰ　[1]秋
s　[1]修休[2]□{媳妇}[5]秀绣锈袖
tɕ　[1]纠鸠灸[3]九久韭[5]就救臼舅旧
tɕʰ　[1]丘蚯[2]求球[3]糗
ø　[1]优幽悠尤[2]邮油游[3]有友[5]又幼右祐诱柚
ã
p　[1]班斑颁扳般搬[3]板版[5]扮办瓣伴拌半绊
pʰ　[1]攀潘[2]盘[5]盼襻判叛畔
m　[2]蛮瞒馒[3]满[5]慢漫幔
f　[1]帆藩翻番[2]烦繁凡[3]反[5]范犯贩饭嬎{鸟下蛋}
t　[1]担丹单[3]胆[5]淡担{挑担}诞旦但弹{子弹}蛋
tʰ　[1]贪滩瘫摊[2]谈痰弹{弹琴}潭谭[3]毯[5]探炭叹
n　[2]南难{难易}男[3]□{用舌头舔}[5]难{患难}
l　[2]蓝篮拦兰栏[3]揽览缆懒[5]滥烂
ts　[1]簪[2]咱[3]攒[5]暂赞
tsʰ　[1]餐参[2]惭残[3]惨
s　[1]三[3]散{鞋带散了}伞[5]散
tʂ　[1]占{占卜}沾粘{粘贴}[3]盏斩展眨[5]站蘸绽战
tʂʰ　[1]掺[2]缠蝉禅{禅宗}[3]产[5]颤
ʂ　[1]山衫删[3]闪[5]疝善扇禅{禅让}膳
ʐ　[2]然[3]染
k　[1]甘泔干{干湿}肝竿柑[3]感敢橄擀[5]干{干活}
kʰ　[1]勘刊看{看门}[3]砍[5]看{看见}
x　[1]憨[2]还{还有}含寒韩[3]喊[5]憾旱汗焊
ŋ　[1]安鞍[3]俺[5]揞暗岸按
iã
p　[1]鞭编边[3]扁匾贬[5]遍辫辨辩变便{方便}
pʰ　[1]篇偏[2]便{便宜}[5]骗片
m　[2]绵眠棉[3]免娩缅勉[5]面
t　[1]掂颠[3]点典[5]店电殿奠垫
tʰ　[1]天添[2]甜田填[3]舔腆
n　[1]捻[2]年黏鲇[3]碾辇[5]念
l　[2]连莲联廉镰[3]脸[5]练炼
ts　[1]尖歼煎肩坚[3]剪[5]渐箭贱剑溅践
tsʰ　[1]签牵千[2]钱前[3]浅
s　[1]仙先鲜[5]线
tɕ　[1]奸艰监间[3]简拣减检[5]谏件涧键舰建健腱见
tɕʰ　[1]铅谦迁[2]钳乾[5]欠嵌
ɕ　[1]掀[2]嫌贤衔咸闲[3]险显[5]陷现限羡献县
ø　[1]淹烟阉[2]沿严炎谚言研颜[3]掩眼演[5]验燕宴厌焰延雁砚
uã
p　[5]褂
t　[1]端□{鸟类用嘴戳}[3]短[5]断锻段缎煅
tʰ　[2]团糰
n　[3]暖[5]□{握在手心当中}
l　[2]鸾[3]卵[5]乱
ts　[1]鑚{木工用具}[5]钻
tsʰ　[1]蹿{喷射}汆{汆丸子}[2]攒{攒到一块儿}[5]窜
s　[1]酸[5]算蒜
tʂ　[1]专砖[3]转{转眼}[5]赚转{转圆圈}传{传记}
tʂʰ　[1]川穿[2]船传{传递}椽[3]喘[5]串
ʂ　[1]闩拴[5]涮
ʐ　[3]软阮
k　[1]官棺观关冠{衣冠}[3]管馆[5]贯灌惯罐观{寺观}冠{冠军}
kʰ　[1]宽[3]款
x　[1]欢[2]还{还原}环[3]缓[5]换唤幻患宦
ø　[1]弯湾[2]玩完丸顽[3]晚挽碗[5]万
yã
l　[3]□{用铁锹沿着地面锄土。}
tsʰ　[2]全泉
s　[1]宣喧[2]选[3]选[5]旋
tɕ　[1]捐[3]捲[5]卷倦圈{猪圈}
tɕʰ　[1]圈[2]拳[3]权颧犬[5]劝
ɕ　[1]暄{物体内部空隙多而松软。}
ø　[1]冤渊[2]园援辕元原源圆员[3]远[5]院怨愿
ən
p　[1]奔锛[3]本[5]笨
pʰ　[1]喷[2]盆
m　[1]闷[2]门[5]闷{憋闷}
f　[1]分纷[2]坟焚[3]粉[5]粪奋份
s　[5]□{一块儿。}
tʂ　[1]珍贞侦真[3]诊疹[5]阵枕镇振震
tʂʰ　[1]深[2]沉趁晨臣陈尘[5]称{相称}
ʂ　[1]森参身申伸[2]神[3]沈审婶[5]慎甚肾渗{渗水}
ʐ　[2]人仁[3]忍[5]任刃认
k　[1]根跟[3]□{相挨的两事物，其中一事物较硬对另一事物产生损坏}[5]□{与“脆”相对}
kʰ　[3]肯垦恳啃
x　[3]很[5]恨
ŋ　[5]恩
in
p　[1]彬宾槟[5]殡鬓
pʰ　[1]拼[2]贫频[3]品[5]聘
m　[2]民[3]敏抿
l　[1]拎[2]林淋邻麟临磷粼鳞[5]赁
ts　[1]浸津[3]尽{尽着}[5]进晋
tsʰ　[1]侵亲[2]秦
s　[1]心辛新薪[2]□{娶}[5]信讯
tɕ　[1]今金禁襟巾斤筋[3]紧[5]妗近尽劲{有劲}
tɕʰ　[2]芹勤琴擒
ɕ　[1]欣辛
ø　[1]因殷姻音阴荫{屋子很荫}[2]淫银[3]引隐[5]印窨{地窨子}饮{饮马}
uən
t　[1]敦蹲墩[3]□{捅}[5]钝饨盾沌顿
tʰ　[2]屯豚臀[5]□{脱衣服}
l　[2]伦沦轮[5]论嫩
ts　[1]尊遵[5]俊
tsʰ　[1]村皴[2]存[5]寸
s　[1]孙[3]损
tʂ　[3]准
tʂʰ　[1]椿春[2]唇纯醇[3]蠢
ʂ　[2]□{不正经}[5]顺
ʐ　[5]润闰
k　[3]滚[5]棍
kʰ　[1]昆坤[3]捆[5]困
x　[1]昏婚[2]魂馄浑[5]混{相混}
ø　[1]温瘟[2]文蚊闻[3]稳[5]问
yn
ts　[5]俊
s　[2]循巡[5]迅
tɕ　[1]君军均钧菌[5]郡
tɕʰ　[2]群裙
ɕ　[1]熏勋薰[2]寻[5]训
ø　[1]晕[2]允云匀[5]晕{眼晕}韵运孕
aŋ
p　[1]梆帮邦[3]膀榜绑[5]傍磅棒
pʰ　[2]旁螃庞[5]胖
m　[2]忙芒盲茫[3]莽蟒
f　[1]方芳[2]肪妨房防[3]仿纺访仿{仿相}[5]放
t　[1]铛裆当{应当}[3]党挡[5]档当{当作}荡
tʰ　[1]蹚汤[2]堂搪棠唐糖塘[3]倘躺[5]烫趟
n　[2]囔囊[3]攮{用刀子攮}[5]齉
l　[2]郎廊螂狼[3]朗[5]浪
ts　[1]脏赃□{用东西敲击}[5]奘葬藏{西藏}
tsʰ　[1]仓沧舱苍[2]藏[5]□{摩擦}
s　[1]桑丧{婚丧}[3]嗓搡[5]丧{丧失}
tʂ　[1]张章樟[3]掌长涨[5]丈杖仗账帐胀障瘴
tʂʰ　[1]昌娼猖[2]长{长短}肠嫦场{扬场}常尝偿[3]厂场[5]畅唱倡
ʂ　[1]伤裳商[2]晌[3]赏[5]上尚
ʐ　[1]秧穰嚷[2]□{软}[3]壤攘瓤[5]让
k　[1]刚缸纲钢肛冈[3]港[5]杠钢{钢刀布}
kʰ　[1]康糠[3]□{顶}[5]抗炕扛
x　[1]夯{打夯}[2]行{银行}航杭
ŋ　[1]昂
iaŋ
n　[2]娘[5]酿
l　[2]良凉量{量长短}梁粱[3]两[5]亮谅辆量{数量}
ts　[1]将{将来}浆[3]蒋奖[5]匠酱将{大将}
tsʰ　[1]枪[2]墙[3]抢[5]呛
s　[1]相{互相}箱厢湘镶[2]详祥[3]想[5]相{相貌}象像橡
tɕ　[1]疆僵缰姜江豇{豇豆}[3]讲耩{耩地}[5]降{下降}强{倔强}
tɕʰ　[1]腔[2]强{强大}[3]强{发强}
ɕ　[1]香乡[2]降{投降}[3]响享[5]向项
ø　[1]央殃[2]羊洋杨阳扬疡[3]养痒[5]样
uaŋ
tʂ　[1]庄装[5]壮状
tʂʰ　[1]疮窗[2]床[3]闯[5]撞创
ʂ　[1]双霜孀[3]爽
k　[1]光咣[3]广[5]逛
kʰ　[1]匡筐哐[2]狂[5]旷眶况矿
x　[1]荒慌[2]黄簧皇蝗[3]幌谎晃{晃眼}[5]晃{晃动}
ø　[1]汪枉[2]王亡[3]往[5]忘旺妄望
əŋ
p　[1]崩嘣[5]蹦
pʰ　[1]嘭烹[2]鹏彭篷蓬膨朋[3]捧[5]碰
m　[1]懵蒙{蒙骗}[2]盟萌檬蒙[3]猛蒙[5]孟梦
f　[1]风封峰蜂锋枫疯丰[2]逢冯[3]讽[5]凤奉缝
t　[1]登蹬噔灯[3]等[5]凳邓瞪{瞪眼}澄{水浑，澄一澄}
tʰ　[1]□{把凉了的熟食蒸热或烤热}[2]腾藤疼
n　[1]□{婴儿学站立}[2]能[5]弄
l　[3]冷[5]楞
ts　[1]曾增[5]憎赠
tsʰ　[1]噌[2]层曾{曾经}[5]蹭
s　[1]僧
tʂ　[1]蒸争筝正{正月}征□{欠}[3]拯整[5]证症郑政正
tʂʰ　[1]程撑铛{烙饼用具}称{称呼}[2]橙澄乘承丞成城诚盛{盛满了}呈[3]逞[5]称{一杆称}
ʂ　[1]升牲声生甥[2]绳[3]省[5]胜剩圣盛{兴盛}
ʐ　[1]仍扔
k　[1]庚羹更{更换}[3]耕梗颈耿[5]更
kʰ　[1]坑吭[5]□{碰}
x　[1]亨[2]恒[5]横
ŋ　[1]嗯
iŋ
p　[1]冰兵[3]丙饼柄[5]病并
pʰ　[1]乒[2]冯苹平瓶屏萍坪评
m　[2]鸣明名[5]命
t　[1]丁钉{铁钉}疔[3]顶鼎[5]定钉{钉住}订{订约}
tʰ　[1]听厅[2]亭停廷庭蜓[3]挺艇[5]□{对吃的一种不文明称呼。}
n　[2]宁凝[3]拧[5]拧{脾气倔}宁{宁可}
l　[1]凌[2]零灵菱陵[3]领岭[5]令另
ts　[1]精晶[3]井[5]睛静净
tsʰ　[1]青蜻清[2]情晴□{晴受}[3]请
s　[1]星腥[3]省醒[5]性姓
tɕ　[1]京鲸惊经[3]景警[5]敬竟镜颈径
tɕʰ　[1]卿轻[5]庆
ɕ　[1]兴{兴旺}[2]形型刑行{行为}[5]幸杏兴{高兴}
k　[5]□{脏。}
ø　[1]应{应用}鹰樱英婴缨鹦莺[2]赢盈蝇映营萤迎[3]影颖[5]硬应{应用}
oŋ
t　[1]东咚冬[3]董懂[5]冻动洞栋
tʰ　[1]通[2]同铜桐童瞳[3]桶统筒捅[5]痛
n　[1]□{将就着继续}[2]浓农脓[5]□{由于太软而发烂}
l　[1]隆[2]笼珑龙聋[3]拢垄笼{笼罩}垅[5]弄
ts　[1]综鬃宗[3]总[5]纵
tsʰ　[1]聪葱[2]丛从
s　[1]松嵩[2]□{笨}[5]送宋诵颂讼
tʂ　[1]中钟盅忠终[3]种{种类}肿[5]中{射中}众重{轻重}种{种树}
tʂʰ　[1]充冲[2]崇虫重[3]宠[5]冲{冲床}
ʐ　[2]荣戎融绒容蓉镕[3]冗
k　[1]公蚣工供{供不起}功弓躬宫攻[3]汞供巩[5]贡供共
kʰ　[1]空[3]孔恐[5]控空{空缺}
x　[1]烘[2]红洪鸿虹[3]哄
ø　[1]翁嗡
ioŋ
tɕ　[3]迥
tɕʰ　[2]穷[3]倾
ɕ　[1]兄胸凶[2]雄熊
ø　[1]拥庸[3]永勇甬泳[5]用
ɚ
[2]儿[5]二贰[3]耳
əʔ
p　[7]八拨不剥
pʰ　[7]泼瀑
m　[7]抹末沫{沫子}没摸木
f　[7]复发福服发
t　[7]答搭达得德
tʰ　[7]踏塌沓塔特溻{汗塌湿了}
n　[7]纳
l　[7]拉腊辣蜡
ts　[7]脊
tsʰ　[7]擦侧测
s　[7]撒塞色
tʂ　[7]哲蜇折浙秩侄质织职值植窄摘责值直折{折叠}
tʂʰ　[7]厕尺插拆册吃
ʂ　[7]湿执涩杀舌设实室失食识适石
ʐ　[7]热
k　[7]割葛各阁革隔搁胳格
kʰ　[7]磕刻克渴客
x　[7]喝黑
ŋ　[7]俄恶{善恶}
iəʔ
p　[7]鳖柏憋笔毕必北逼百
pʰ　[7]拍劈
m　[7]灭篾密蜜墨麦脉
t　[7]跌滴
tʰ　[7]帖贴铁踢剔
n　[7]聂镊蹑捏
l　[7]猎立粒列烈裂劣力历
ts　[7]接集辑节积
tsʰ　[7]切七漆
s　[7]习悉息熄析锡
tɕ　[7]夹袷甲结洁挟急级揭疾吉脚极激
tɕʰ　[7]掐
ɕ　[7]瞎血歇蝎
ø　[7]鸭压押页叶业噎乙一药
uəʔ
t　[7]掇{掇饭}
tʰ　[7]脱突托囟秃拖驼
n　[7]诺□{用手握}
l　[7]捋{捋袖}落烙骆酪洛络乐鹿啰
ts　[7]作{工作}昨做
tsʰ　[7]促□{用簸箕除}
s　[7]速宿缩唆□{吮吸}
tʂ　[7]捉桌啄竹筑触烛
tʂʰ　[7]出焯{把菜放在水里焯焯}
ʂ　[7]刷说属束
ʐ　[7]入
k　[7]箍谷刮骨郭国
kʰ　[7]窟哭括阔扩
x　[7]豁忽劐{用刀劐开}或获
ø　[7]握屋挖袜
yəʔ
n　[7]女
l　[7]律略掠绿
ts　[7]足{知足}
tsʰ　[7]□{冷热水混合}
s　[7]雪薛削
tɕ　[7]决诀□{大锄}角掘
tɕʰ　[7]雀确曲{曲折}
ø　[7]悦阅约乐岳钥育月越
