"繁体"	"简体"	"IPA"	"注释"	"来源"	""	"#符號說明："	"音標後的“*”表示讀音可能存疑，如聲母z、dz，dʐ、ʐ歸屬存疑，陽上陽去歸屬存疑等。"
"臭"	"臭"	"ɕiʏ5"	""	"蘇州同音常用字彙"	""	""	""
"嗅"	"嗅"	"ɕiʏ5"	""	"蘇州同音常用字彙"	""	""	""
"收"	"收"	"ʃəʏ1"	"~割"	"翹舌"	""	""	""
"奢"	"奢"	"ʃəʏ1"	"~侈"	"翹舌"	""	""	""
"手"	"手"	"ʃəʏ3"	""	"翹舌"	""	""	""
"首"	"首"	"ʃəʏ3"	""	"翹舌"	""	""	""
"守"	"守"	"ʃəʏ3"	""	"翹舌"	""	""	""
"獸"	"兽"	"ʃəʏ5"	"野~"	"翹舌"	""	""	""
"狩"	"狩"	"ʃəʏ5"	""	"翹舌"	""	""	""
"揉"	"揉"	"ʒəʏ2"	""	"翹舌"	""	""	""
"蹂"	"蹂"	"ʒəʏ2"	""	"翹舌"	""	""	""
"糅"	"糅"	"ʒəʏ2"	""	"翹舌"	""	""	""
"肉"	"肉"	"ʒəʏ2"	"讀書音"	"翹舌"	""	""	""
"社"	"社"	"ʒəʏ4*"	"~會"	"翹舌"	""	""	""
"壽"	"寿"	"ʒəʏ6"	""	"翹舌"	""	""	""
"授"	"授"	"ʒəʏ6"	""	"翹舌"	""	""	""
"綬"	"绶"	"ʒəʏ6"	""	"翹舌"	""	""	""
"射"	"射"	"ʒəʏ6*"	""	"翹舌"	""	""	""
"儔"	"俦"	"dʒəʏ2"	""	"翹舌"	""	""	""
"躊"	"踌"	"dʒəʏ2"	""	"蘇州同音字彙1892"	""	""	""
"疇"	"畴"	"dʒəʏ2"	""	"翹舌"	""	""	""
"躇"	"躇"	"dʒəʏ2"	""	"翹舌"	""	""	""
"籌"	"筹"	"dʒəʏ2"	"~碼"	"翹舌"	""	""	""
"綢"	"绸"	"dʒəʏ2"	"~緞"	"翹舌"	""	""	""
"紬"	"䌷"	"dʒəʏ2"	""	"蘇州同音字彙1892"	""	""	""
"仇"	"仇"	"dʒəʏ2"	""	"蘇州同音字彙1892"	""	""	""
"裯"	"裯"	"dʒəʏ2"	""	"翹舌"	""	""	""
"稠"	"稠"	"dʒəʏ2"	""	"翹舌"	""	""	""
"柔"	"柔"	"dʒəʏ2"	""	"翹舌"	""	""	""
"揉"	"揉"	"dʒəʏ2"	""	"翹舌"	""	""	""
"讎"	"雠"	"dʒəʏ2"	"~定"	"翹舌"	""	""	""
"酬"	"酬"	"dʒəʏ2"	"~謝。本音"	"翹舌"	""	""	""
"酬"	"酬"	"dʒəʏ4"	""	"蘇州同音字彙1892"	""	""	""
"惆"	"惆"	"dʒəʏ2"	"讀書音"	"翹舌"	""	""	""
"受"	"受"	"ʒəʏ6"	""	"蘇州同音字彙1892"	""	""	""
"受"	"受"	"dʒəʏ4"	""	"翹舌"	""	""	""
"胄"	"胄"	"dʒəʏ6"	""	"翹舌"	""	""	""
"酎"	"酎"	"dʒəʏ6"	""	"翹舌"	""	""	""
"宙"	"宙"	"dʒəʏ6"	""	"翹舌"	""	""	""
"籀"	"籀"	"dʒəʏ6"	""	"翹舌"	""	""	""
"紂"	"纣"	"dʒəʏ6"	""	"翹舌"	""	""	""
"售"	"售"	"dʒəʏ6"	"出~"	"翹舌"	""	""	""
"柷"	"柷"	"tʃoʔ7"	""	"翹舌"	""	""	""
"祝"	"祝"	"tʃoʔ7"	"姓"	"翹舌"	""	""	""
"粥"	"粥"	"tʃoʔ7"	""	"翹舌"	""	""	""
"竹"	"竹"	"tʃoʔ7"	"~筱"	"翹舌"	""	""	""
"竺"	"竺"	"tʃoʔ7"	""	"翹舌"	""	""	""
"涿"	"涿"	"tʃoʔ7"	""	"翹舌"	""	""	""
"椓"	"椓"	"tʃoʔ7"	""	"翹舌"	""	""	""
"琢"	"琢"	"tʃoʔ7"	"雕~"	"翹舌"	""	""	""
"諑"	"诼"	"tʃoʔ7"	""	"翹舌"	""	""	""
"啄"	"啄"	"tʃoʔ7"	""	"翹舌"	""	""	""
"卓"	"卓"	"tʃoʔ7"	""	"翹舌"	""	""	""
"桌"	"桌"	"tʃoʔ7"	"半~"	"翹舌"	""	""	""
"囑"	"嘱"	"tʃoʔ7"	"~托"	"翹舌"	""	""	""
"喌"	"喌"	"tʃoʔ7"	"~~，呼雞聲"	"翹舌"	""	""	""
"倬"	"倬"	"tʃoʔ7"	""	"翹舌"	""	""	""
"斲"	"斲"	"tʃoʔ7"	""	"翹舌"	""	""	""
"菿"	"菿"	"tʃoʔ7"	""	"翹舌"	""	""	""
"燭"	"烛"	"tʃoʔ7"	""	"翹舌"	""	""	""
"矚"	"瞩"	"tʃoʔ7"	""	"翹舌"	""	""	""
"斸"	"斸"	"tʃoʔ7"	""	"翹舌"	""	""	""
"瘃"	"瘃"	"tʃoʔ7"	""	"翹舌"	""	""	""
"捉"	"捉"	"tʃoʔ7"	""	"翹舌"	""	""	""
"穛"	"穛"	"tʃoʔ7"	""	"翹舌"	""	""	""
"篧"	"篧"	"tʃoʔ7"	""	"翹舌"	""	""	""
"浞"	"浞"	"tʃoʔ7"	""	"翹舌"	""	""	""
"觸"	"触"	"tʃʰoʔ7"	"抵~"	"翹舌"	""	""	""
"歜"	"歜"	"tʃʰoʔ7"	""	"翹舌"	""	""	""
"搐"	"搐"	"tʃʰoʔ7"	""	"翹舌"	""	""	""
"矗"	"矗"	"tʃʰoʔ7"	"~燈，舊時放在官署或官僚家庭大門兩側的一種成對的高腳燈籠"	"翹舌"	""	""	""
"戳"	"戳"	"tʃʰoʔ7"	"打一個~子"	"翹舌"	""	""	""
"齪"	"龊"	"tʃʰoʔ7"	""	"翹舌"	""	""	""
"畜"	"畜"	"tʃʰoʔ7"	"六~"	"翹舌"	""	""	""
"搠"	"搠"	"tʃʰoʔ7"	"橫~槍"	"翹舌"	""	""	""
"束"	"束"	"tʃʰoʔ7"	"一~柴"	"翹舌"	""	""	""
"束"	"束"	"ʃoʔ7"	""	"翹舌"	""	""	""
"蹜"	"蹜"	"ʃoʔ7"	""	"翹舌"	""	""	""
"縮"	"缩"	"ʃoʔ7"	""	"翹舌"	""	""	""
"朔"	"朔"	"ʃoʔ7"	"~望"	"翹舌"	""	""	""
"箾"	"箾"	"ʃoʔ7"	""	"翹舌"	""	""	""
"嗍"	"嗍"	"ʃoʔ7"	"嘴裏~進去"	"翹舌"	""	""	""
"叔"	"叔"	"ʃoʔ7"	"~~"	"翹舌"	""	""	""
"菽"	"菽"	"ʃoʔ7"	""	"翹舌"	""	""	""
"俶"	"俶"	"ʃoʔ7"	""	"翹舌"	""	""	""
"贖"	"赎"	"ʒoʔ8"	"~當頭，如期用錢把送到典當鋪去當的貨物贖出來"	"翹舌"	""	""	""
"屬"	"属"	"ʒoʔ8"	""	"翹舌"	""	""	""
"肉"	"肉"	"ʒoʔ8"	""	"翹舌"	""	""	""
"朒"	"朒"	"ʒoʔ8"	""	"翹舌"	""	""	""
"淑"	"淑"	"ʒoʔ8"	""	"翹舌"	""	""	""
"琡"	"琡"	"ʒoʔ8"	""	"翹舌"	""	""	""
"孰"	"孰"	"ʒoʔ8"	""	"翹舌"	""	""	""
"熟"	"熟"	"ʒoʔ8"	"生~"	"翹舌"	""	""	""
"塾"	"塾"	"ʒoʔ8"	""	"翹舌"	""	""	""
"辱"	"辱"	"ʒoʔ8"	"羞~"	"翹舌"	""	""	""
"蓐"	"蓐"	"ʒoʔ8"	""	"翹舌"	""	""	""
"縟"	"缛"	"ʒoʔ8"	""	"翹舌"	""	""	""
"褥"	"褥"	"ʒoʔ8"	""	"翹舌"	""	""	""
"鄏"	"鄏"	"ʒoʔ8"	""	"翹舌"	""	""	""
"溽"	"溽"	"ʒoʔ8"	""	"翹舌"	""	""	""
"沭"	"沭"	"ʒoʔ8"	""	"翹舌"	""	""	""
"射"	"射"	"ʒoʔ8"	""	"蘇州同音字彙1892"	""	""	""
"蜀"	"蜀"	"dʒoʔ8"	""	"翹舌"	""	""	""
"濁"	"浊"	"dʒoʔ8"	""	"翹舌"	""	""	""
"鐲"	"镯"	"dʒoʔ8"	""	"翹舌"	""	""	""
"濯"	"濯"	"dʒoʔ8"	""	"翹舌"	""	""	""
"擢"	"擢"	"dʒoʔ8"	""	"翹舌"	""	""	""
"蠋"	"蠋"	"dʒoʔ8"	""	"翹舌"	""	""	""
"躅"	"躅"	"dʒoʔ8"	""	"翹舌"	""	""	""
"逐"	"逐"	"dʒoʔ8"	"追~"	"翹舌"	""	""	""
"舳"	"舳"	"dʒoʔ8"	""	"翹舌"	""	""	""
"軸"	"轴"	"dʒoʔ8"	"文讀"	"翹舌"	""	""	""
"質"	"质"	"tʃəʔ7"	"~地"	"翹舌"	""	""	""
"鑕"	"锧"	"tʃəʔ7"	""	"翹舌"	""	""	""
"騭"	"骘"	"tʃəʔ7"	""	"翹舌"	""	""	""
"隲"	"骘"	"tʃəʔ7"	""	"蘇州同音字彙1892"	""	""	""
"桎"	"桎"	"tʃəʔ7"	""	"翹舌"	""	""	""
"織"	"织"	"tʃəʔ7"	""	"翹舌"	""	""	""
"職"	"职"	"tʃəʔ7"	""	"翹舌"	""	""	""
"樴"	"樴"	"tʃəʔ7"	""	"翹舌"	""	""	""
"炙"	"炙"	"tʃəʔ7"	"~骨"	"翹舌"	""	""	""
"蹠"	"蹠"	"tʃəʔ7"	""	"翹舌"	""	""	""
"摭"	"摭"	"tʃəʔ7"	""	"翹舌"	""	""	""
"櫛"	"栉"	"tʃəʔ7"	""	"翹舌"	""	""	""
"汁"	"汁"	"tʃəʔ7"	""	"翹舌"	""	""	""
"執"	"执"	"tʃəʔ7"	""	"翹舌"	""	""	""
"讋"	"詟"	"tʃəʔ7"	""	"翹舌"	""	""	""
"慴"	"慴"	"tʃəʔ7"	""	"翹舌"	""	""	""
"褶"	"褶"	"tʃəʔ7"	"~襇"	"翹舌"	""	""	""
"浙"	"浙"	"tʃəʔ7"	"~江"	"翹舌"	""	""	""
"哲"	"哲"	"tʃəʔ7"	""	"翹舌"	""	""	""
"淛"	"淛"	"tʃəʔ7"	""	"翹舌"	""	""	""
"窒"	"窒"	"tʃəʔ7"	""	"翹舌"	""	""	""
"秷"	"秷"	"tʃəʔ7"	""	"翹舌"	""	""	""
"挃"	"挃"	"tʃəʔ7"	""	"翹舌"	""	""	""
"厔"	"厔"	"tʃəʔ7"	""	"翹舌"	""	""	""
"拙"	"拙"	"tʃəʔ7"	""	"翹舌"	""	""	""
"棁"	"棁"	"tʃəʔ7"	""	"翹舌"	""	""	""
"窋"	"窋"	"tʃəʔ7"	""	"翹舌"	""	""	""
"絀"	"绌"	"tʃəʔ7"	"支~"	"翹舌"	""	""	""
"縶"	"絷"	"tʃəʔ7"	""	"翹舌"	""	""	""
"哳"	"哳"	"tʃəʔ7"	""	"翹舌"	""	""	""
"柮"	"柮"	"tʃəʔ7"	""	"翹舌"	""	""	""
"咄"	"咄"	"tʃəʔ7"	""	"鄉音字類"	""	""	""
"咄"	"咄"	"tʃʰəʔ7"	""	"蘇州同音常用字彙"	""	""	""
"這"	"这"	"tʃəʔ7"	"~個"	"翹舌"	""	""	""
"轍"	"辙"	"tʃʰəʔ7"	"覆~"	"翹舌"	""	""	""
"澈"	"澈"	"tʃʰəʔ7"	"清~"	"翹舌"	""	""	""
"徹"	"彻"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"撤"	"撤"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"硩"	"硩"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"輒"	"辄"	"tʃʰəʔ7"	"動~得咎"	"翹舌"	""	""	""
"輟"	"辍"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"啜"	"啜"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"醊"	"醊"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"畷"	"畷"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"歠"	"歠"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"罬"	"罬"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"咄"	"咄"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"黜"	"黜"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"怵"	"怵"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"掣"	"掣"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"飭"	"饬"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"敕"	"敕"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"叱"	"叱"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"赤"	"赤"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"尺"	"尺"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"斥"	"斥"	"tʃʰəʔ7"	""	"翹舌"	""	""	""
"餙"	"饰"	"ʃəʔ7"	""	"蘇州同音字彙1892"	""	""	""
"式"	"式"	"ʃəʔ7"	"樣~"	"翹舌"	""	""	""
"軾"	"轼"	"ʃəʔ7"	""	"翹舌"	""	""	""
"拭"	"拭"	"ʃəʔ7"	""	"翹舌"	""	""	""
"識"	"识"	"ʃəʔ7"	"~字"	"翹舌"	""	""	""
"飾"	"饰"	"ʃəʔ7"	""	"翹舌"	""	""	""
"室"	"室"	"ʃəʔ7"	""	"翹舌"	""	""	""
"失"	"失"	"ʃəʔ7"	""	"翹舌"	""	""	""
"釋"	"释"	"ʃəʔ7"	"解~"	"翹舌"	""	""	""
"適"	"适"	"ʃəʔ7"	"~意"	"翹舌"	""	""	""
"螫"	"螫"	"ʃəʔ7"	"文讀"	"翹舌"	""	""	""
"奭"	"奭"	"ʃəʔ7"	""	"翹舌"	""	""	""
"襫"	"襫"	"ʃəʔ7"	""	"翹舌"	""	""	""
"說"	"说"	"ʃəʔ7"	""	"翹舌"	""	""	""
"設"	"设"	"ʃəʔ7"	"建~"	"翹舌"	""	""	""
"濕"	"湿"	"ʃəʔ7"	""	"翹舌"	""	""	""
"攝"	"摄"	"ʃəʔ7"	"~影"	"翹舌"	""	""	""
"欇"	"欇"	"ʃəʔ7"	""	"翹舌"	""	""	""
"揲"	"揲"	"ʃəʔ7"	""	"翹舌"	""	""	""
"刷"	"刷"	"ʃəʔ7"	"板~"	"翹舌"	""	""	""
"十"	"十"	"ʒəʔ8"	""	"翹舌"	""	""	""
"什"	"什"	"ʒəʔ8"	"~貨"	"翹舌"	""	""	""
"拾"	"拾"	"ʒəʔ8"	""	"翹舌"	""	""	""
"日"	"日"	"ʒəʔ8"	"文讀"	"翹舌"	""	""	""
"馹"	"驲"	"ʒəʔ8"	""	"翹舌"	""	""	""
"入"	"入"	"ʒəʔ8"	"出~"	"翹舌"	""	""	""
"舌"	"舌"	"ʒəʔ8"	""	"翹舌"	""	""	""
"寔"	"寔"	"ʒəʔ8"	""	"翹舌"	""	""	""
"埴"	"埴"	"ʒəʔ8"	""	"翹舌"	""	""	""
"實"	"实"	"ʒəʔ8"	"老~"	"翹舌"	""	""	""
"蝕"	"蚀"	"ʒəʔ8"	"~本"	"翹舌"	""	""	""
"食"	"食"	"ʒəʔ8"	"火~，每日的飯食，熟食"	"翹舌"	""	""	""
"熱"	"热"	"ʒəʔ8"	"文讀"	"翹舌"	""	""	""
"石"	"石"	"ʒəʔ8"	"文讀"	"翹舌"	""	""	""
"碩"	"硕"	"ʒəʔ8"	""	"翹舌"	""	""	""
"袥"	"袥"	"ʒəʔ8"	""	"翹舌"	""	""	""
"鼫"	"鼫"	"ʒəʔ8"	""	"翹舌"	""	""	""
"踅"	"踅"	"ʒəʔ8"	""	"蘇州同音字彙1892"	""	""	""
"姪"	"姪"	"dʒəʔ8"	""	"翹舌"	""	""	""
"秩"	"秩"	"dʒəʔ8"	""	"翹舌"	""	""	""
"豒"	"豒"	"dʒəʔ8"	""	"翹舌"	""	""	""
"秫"	"秫"	"dʒəʔ8"	""	"翹舌"	""	""	""
"朮"	"术"	"dʒəʔ8"	""	"蘇州同音字彙1892"	""	""	""
"述"	"述"	"dʒəʔ8"	""	"翹舌"	""	""	""
"直"	"直"	"dʒəʔ8"	"曲~"	"翹舌"	""	""	""
"值"	"值"	"dʒəʔ8"	"價~"	"翹舌"	""	""	""
"植"	"植"	"dʒəʔ8"	"種~"	"翹舌"	""	""	""
"殖"	"殖"	"dʒəʔ8"	""	"翹舌"	""	""	""
"陟"	"陟"	"dʒəʔ8"	""	"翹舌"	""	""	""
"涉"	"涉"	"dʒəʔ8"	"幹~"	"翹舌"	""	""	""
"擲"	"掷"	"dʒəʔ8"	"拋~"	"翹舌"	""	""	""
"躑"	"踯"	"dʒəʔ8"	""	"翹舌"	""	""	""
"湜"	"湜"	"dʒəʔ8"	""	"翹舌"	""	""	""
"蜇"	"蜇"	"dʒəʔ8"	"海~"	"翹舌"	""	""	""
"蟄"	"蛰"	"dʒəʔ8"	"驚~"	"翹舌"	""	""	""
"禚"	"禚"	"tʃɑʔ7"	""	"翹舌"	""	""	""
"勺"	"勺"	"tʃɑʔ7"	""	"翹舌"	""	""	""
"妁"	"妁"	"tʃɑʔ7"	""	"翹舌"	""	""	""
"灼"	"灼"	"tʃɑʔ7"	"豆~"	"翹舌"	""	""	""
"彴"	"彴"	"tʃɑʔ7"	""	"翹舌"	""	""	""
"斫"	"斫"	"tʃɑʔ7"	""	"翹舌"	""	""	""
"酌"	"酌"	"tʃɑʔ7"	"我搭倷斟~斟~阿有啥個好法子"	"翹舌"	""	""	""
"斮"	"斮"	"tʃɑʔ7"	""	"翹舌"	""	""	""
"着"	"着"	"tʃɑʔ7"	"~衣裳"	"翹舌"	""	""	""
"汋"	"汋"	"tʃɑʔ7"	""	"翹舌"	""	""	""
"綽"	"绰"	"tʃʰɑʔ7"	"~~有餘"	"翹舌"	""	""	""
"㲋"	"㲋"	"tʃʰɑʔ7"	""	"翹舌"	""	""	""
"㚟"	"㚟"	"tʃʰɑʔ7"	""	"翹舌"	""	""	""
"婼"	"婼"	"tʃʰɑʔ7"	""	"翹舌"	""	""	""
"扱"	"扱"	"tʃʰɑʔ7"	"~過去"	"翹舌"	""	""	""
"爍"	"烁"	"ʃɑʔ7"	"閃閃~~"	"翹舌"	""	""	""
"鑠"	"铄"	"ʃɑʔ7"	""	"翹舌"	""	""	""
"若"	"若"	"ʒɑʔ8"	""	"翹舌"	""	""	""
"弱"	"弱"	"ʒɑʔ8"	"~國"	"翹舌"	""	""	""
"芍"	"芍"	"ʒɑʔ8"	"~藥"	"翹舌"	""	""	""
"㫤"	"昶"	"tʃʰaŋ5"	""	"翹舌"	""	""	""
"㸐"	"然"	"ʒœ̃2"	""	"翹舌"	""	""	""
"乿"	"治"	"dʒʯ6"	""	"翹舌"	""	""	""
"治"	"治"	"dʒʯ6"	""	"蘇州同音字彙1892"	""	""	""
"佇"	"伫"	"dʒʯ4"	""	"翹舌"	""	""	""
"雉"	"雉"	"dʒʯ6"	""	"蘇州同音字彙1892"	""	""	""
"佔"	"占"	"tʃœ̃1"	"~據"	"翹舌"	""	""	""
"佔"	"占"	"tʃœ̃5"	""	"蘇州同音字彙1892"	""	""	""
"占"	"占"	"tʃœ̃1"	""	"蘇州同音字彙1892"	""	""	""
"凖"	"准"	"tʃən3"	"~備"	"翹舌"	""	""	""
"刅"	"创"	"tʃʰɔŋ5"	""	"翹舌"	""	""	""
"刱"	"创"	"tʃʰɔŋ5"	""	"翹舌"	""	""	""
"塚"	"冢"	"tʃoŋ3"	""	"翹舌"	""	""	""
"冢"	"冢"	"tʃoŋ3"	""	"蘇州同音字彙1892"	""	""	""
"宂"	"冗"	"ʒoŋ4"	""	"翹舌"	""	""	""
"屍"	"尸"	"ʃʯ1"	""	"翹舌"	""	""	""
"尸"	"尸"	"ʃʯ1"	""	"蘇州同音字彙1892"	""	""	""
"徵"	"征"	"tʃən1"	"~兵"	"翹舌"	""	""	""
"征"	"征"	"tʃən1"	""	"蘇州同音字彙1892"	""	""	""
"箴"	"箴"	"tʃən1"	""	"蘇州同音字彙1892"	""	""	""
"捨"	"舍"	"ʃɑ3"	"讀書音"	"翹舌"	""	""	""
"捨"	"舍"	"so3"	"白讀：弗~得"	"蘇州同音常用字彙"	""	""	""
"摺"	"折"	"tʃəʔ7"	"~子"	"翹舌"	""	""	""
"折"	"折"	"tʃəʔ7"	""	"蘇州同音字彙1892"	""	""	""
"昇"	"升"	"ʃən1"	""	"翹舌"	""	""	""
"升"	"升"	"ʃən1"	""	"蘇州同音字彙1892"	""	""	""
"冲"	"冲"	"tʃʰoŋ1"	""	"翹舌"	""	""	""
"樝"	"楂"	"tʃɑ1"	"讀書音"	"翹舌"	""	""	""
"沖"	"冲"	"tʃʰoŋ1"	"~開水"	"翹舌"	""	""	""
"翀"	"翀"	"tʃʰoŋ1"	""	"蘇州同音字彙1892"	""	""	""
"牕"	"窗"	"tʃʰɔŋ1"	""	"翹舌"	""	""	""
"窗"	"窗"	"tʃʰɔŋ1"	""	"蘇州同音字彙1892"	""	""	""
"窓"	"窗"	"tʃʰɔŋ1"	""	"蘇州同音字彙1892"	""	""	""
"犫"	"犨"	"dʒəʏ2"	""	"翹舌"	""	""	""
"眎"	"视"	"ʒʯ6"	""	"翹舌"	""	""	""
"矟"	"槊"	"ʃoʔ7"	""	"翹舌"	""	""	""
"竚"	"伫"	"dʒʯ4"	""	"翹舌"	""	""	""
"筍"	"笋"	"ʃən3"	""	"翹舌"	""	""	""
"築"	"筑"	"tʃoʔ7"	"建~"	"翹舌"	""	""	""
"粧"	"妆"	"tʃɔŋ1"	""	"翹舌"	""	""	""
"糚"	"妆"	"tʃɔŋ1"	""	"翹舌"	""	""	""
"緻"	"致"	"tʃʯ5"	"精~"	"翹舌"	""	""	""
"致"	"致"	"tʃʯ5"	""	"蘇州同音字彙1892"	""	""	""
"蓴"	"莼"	"ʒən2"	"~菜"	"翹舌"	""	""	""
"術"	"术"	"dʒəʔ8"	""	"翹舌"	""	""	""
"衝"	"冲"	"tʃʰoŋ1"	""	"翹舌"	""	""	""
"袠"	"帙"	"dʒəʔ8"	""	"翹舌"	""	""	""
"製"	"制"	"tʃʯ5"	"~造"	"翹舌"	""	""	""
"註"	"注"	"tʃʯ5"	""	"翹舌"	""	""	""
"誌"	"志"	"tʃʯ5"	""	"翹舌"	""	""	""
"志"	"志"	"tʃʯ5"	""	"蘇州同音字彙1892"	""	""	""
"週"	"周"	"tʃəʏ1"	"一~"	"翹舌"	""	""	""
"周"	"周"	"tʃəʏ1"	""	"蘇州同音字彙1892"	""	""	""
"遶"	"绕"	"ʒɐɵ4"	"文讀：圍~"	"翹舌"	""	""	""
"醜"	"丑"	"tʃʰəʏ3"	"出~"	"翹舌"	""	""	""
"丑"	"丑"	"tʃʰəʏ3"	""	"蘇州同音字彙1892"	""	""	""
"陞"	"升"	"ʃən1"	""	"翹舌"	""	""	""
"麞"	"獐"	"tʃaŋ1"	""	"翹舌"	""	""	""
"鼂"	"晁"	"dʒɐɵ2"	""	"翹舌"	""	""	""
"齣"	"出"	"tʃʰəʔ7"	"算啥個一~"	"翹舌"	""	""	""
"出"	"出"	"tʃʰəʔ7"	""	"蘇州同音常用字彙"	""	""	""
"𤏸"	"着"	"dʒɑʔ8*"	"燒~哉"	"翹舌"	""	""	""
"着"	"着"	"dʒɑʔ8"	""	"蘇州同音字彙1892"	""	""	""
"捱"	"捱"	"ɑ1"	"聲調類推自《集韻》。但該字一般讀[ŋɑ223]"	"蘇州同音常用字彙"	""	""	""
"⿰委矣"	"⿰委矣"	"ɑ5"	""	"蘇州同音字彙1892"	""	""	""
"唉"	"唉"	"e1"	"歎聲"	"蘇州同音字彙1892"	""	""	""
"嬡"	"嫒"	"e5"	""	"蘇州同音字彙1892"	""	""	""
"鸚"	"鹦"	"aŋ1"	"~哥"	"蘇州同音字彙1892"	""	""	""
"罌"	"罂"	"aŋ1"	""	"蘇州同音字彙1892"	""	""	""
"噢"	"噢"	"ɐɵ1"	""	"蘇州同音字彙1892"	""	""	""
"扷"	"扷"	"ɐɵ5"	"《集韻》：烏到切，音奧"	"蘇州同音字彙1892"	""	""	""
"咆"	"咆"	"bɐɵ2"	""	"蘇州同音字彙1892"	""	""	""
"勽"	"勽"	"bɐɵ6"	"同“抱”"	"蘇州同音字彙1892"	""	""	""
"菢"	"菢"	"bɐɵ6"	"孵"	"蘇州同音字彙1892"	""	""	""
"抱"	"抱"	"bɐɵ6"	""	"蘇州同音字彙1892"	""	""	""
"鉋"	"铇"	"bɐɵ6"	""	"蘇州同音字彙1892"	""	""	""
"鮑"	"鲍"	"bɐɵ6"	"姓"	"蘇州同音字彙1892"	""	""	""
"脖"	"脖"	"bəʔ8"	""	"蘇州同音字彙1892"	""	""	""
"綍"	"綍"	"bəʔ8"	""	"蘇州同音字彙1892"	""	""	""
"葡"	"葡"	"bəʔ8"	"~萄"	"蘇州同音字彙1892"	""	""	""
"别"	"别"	"bəʔ8"	"~人"	"蘇州同音字彙1892"	""	""	""
"𢨋"	"誖"	"bəʔ8"	"~弗倒"	"蘇州同音字彙1892"	""	""	""
"盆"	"盆"	"bən2"	""	"蘇州同音字彙1892"	""	""	""
"坌"	"坌"	"bən6"	""	"蘇州同音字彙1892"	""	""	""
"俾"	"俾"	"bi2"	""	"蘇州同音字彙1892"	""	""	""
"被"	"被"	"bi2"	"~頭"	"蘇州同音字彙1892"	""	""	""
"蚍"	"蚍"	"bi2"	""	"蘇州同音字彙1892"	""	""	""
"疲"	"疲"	"bi2"	""	"蘇州同音字彙1892"	""	""	""
"髲"	"髲"	"bi2"	""	"蘇州同音字彙1892"	""	""	""
"髲"	"髲"	"bi6"	"~子。聲調據韻書類推而得"	"蘇州同音常用字彙"	""	""	""
"狴"	"狴"	"bi4"	"～犴"	"蘇州同音字彙1892"	""	""	""
"𡚁"	"𡚁"	"bi6"	"同“弊”"	"蘇州同音字彙1892"	""	""	""
"篦"	"篦"	"bi6"	""	"蘇州同音字彙1892"	""	""	""
"斃"	"斃"	"bi6"	""	"蘇州同音字彙1892"	""	""	""
"嫖"	"嫖"	"biɐɵ2"	""	"蘇州同音字彙1892"	""	""	""
"别"	"别"	"biɪʔ8"	""	"蘇州同音字彙1892"	""	""	""
"弼"	"弼"	"biɪʔ8"	""	"蘇州同音字彙1892"	""	""	""
"鼻"	"鼻"	"bəʔ8"	"白讀"	"蘇州同音字彙1892"	""	""	""
"趴"	"趴"	"bo2"	""	"蘇州同音字彙1892"	""	""	""
"把"	"把"	"bo4"	""	"蘇州同音字彙1892"	""	""	""
"樸"	"朴"	"boʔ8"	""	"蘇州同音字彙1892"	""	""	""
"曝"	"曝"	"boʔ8"	"~光"	"蘇州同音字彙1892"	""	""	""
"伴"	"伴"	"bœ̃6"	"陪~"	"蘇州同音字彙1892"	""	""	""
"拌"	"拌"	"bœ̃6"	""	"蘇州同音字彙1892"	""	""	""
"磅"	"磅"	"bɔŋ2"	""	"蘇州同音字彙1892"	""	""	""
"磅"	"磅"	"pɔŋ3"	"一~。韻書中都讀平聲，故理論音應爲pɑ̃1"	"蘇州同音常用字彙"	""	""	""
"膀"	"膀"	"bɔŋ2"	""	"蘇州同音字彙1892"	""	""	""
"謗"	"谤"	"bɔŋ6"	""	"蘇州同音字彙1892"	""	""	""
"謗"	"谤"	"pɔŋ5"	"聲調類推自《廣韻》"	"蘇州同音常用字彙"	""	""	""
"汏"	"汏"	"dɑ6"	"~衣裳"	"蘇州同音字彙1892"	""	""	""
"玳"	"玳"	"dɑ6"	"白讀"	"蘇州同音字彙1892"	""	""	""
"𠯈"	"𠯈"	"dɑ6"	"嘗"	"蘇州同音字彙1892"	""	""	""
